突破类型	品级	最高品级	可提升需求等级	等级上限改变	小兵等阶	升至本级突破消耗	升至本级返还	突破基础攻击	突破基础物防	突破基础法防	突破基础血量	突破攻击成长	突破物防成长	突破法防成长	突破血量成长
3	0	2	0	30	1	material.1:-0,user.gold:-0	material.1:0,user.gold:0	267	167	167	3214	9	5	5	110
3	1	2	30	40	1	material.1:-20,user.gold:-13900	material.1:20,user.gold:13900	398	248	248	4778	10	6	6	122
3	2	2	40	50	2	material.1:-20,user.gold:-15200	material.1:40,user.gold:29100	561	350	350	6733	11	7	7	137
3	3	2	50	60	2	material.1:-40,user.gold:-35700	material.1:80,user.gold:64800	756	472	472	9078	12	8	8	153
3	4	2	60	70	3	material.1:-70,user.gold:-58600	material.1:150,user.gold:123400	984	615	615	11815	14	8	8	171
3	5	2	70	80	3	material.1:-140,user.gold:-94600	material.1:290,user.gold:218000	1245	778	778	14943	15	9	9	189
3	6	2	80	100	4	material.1:-500,user.gold:-400000	material.1:790,user.gold:618000	1864	1165	1165	22371	18	11	11	225
3	7	2	100	120	4	material.1:-800,user.gold:-712000	material.1:1590,user.gold:1330000	2613	1633	1633	31363	21	13	13	263
3	8	2	120	140	5	material.1:-1100,user.gold:-1070000	material.1:2690,user.gold:2400000	3493	2183	2183	41919	25	15	15	301
3	9	2	140	160	5	material.1:-1400,user.gold:-1450000	material.1:4090,user.gold:3850000	4503	2814	2814	54039	28	17	17	339
3	10	2	160	180	6	material.1:-1800,user.gold:-1920000	material.1:5890,user.gold:5770000	5643	3527	3527	67722	31	19	19	378
4	0	4	0	30	1	material.1:-0,user.gold:-0	material.1:0,user.gold:0	464	290	290	5576	16	10	10	192
4	1	4	30	40	1	material.1:-20,user.gold:-13900	material.1:20,user.gold:13900	690	431	431	8289	17	11	11	212
4	2	4	40	50	2	material.1:-20,user.gold:-15200	material.1:40,user.gold:29100	973	608	608	11680	19	12	12	238
4	3	4	50	60	2	material.1:-40,user.gold:-35700	material.1:80,user.gold:64800	1312	820	820	15750	22	13	13	266
4	4	4	60	70	3	material.1:-70,user.gold:-58600	material.1:150,user.gold:123400	1708	1067	1067	20497	24	15	15	297
4	5	4	70	80	3	material.1:-140,user.gold:-94600	material.1:290,user.gold:218000	2160	1350	1350	25923	27	17	17	328
4	6	4	80	100	4	material.1:-500,user.gold:-400000	material.1:790,user.gold:618000	3234	2021	2021	38810	32	20	20	392
4	7	4	100	120	4	material.1:-800,user.gold:-712000	material.1:1590,user.gold:1330000	4534	2833	2833	54409	38	23	23	457
4	8	4	120	140	5	material.1:-1100,user.gold:-1070000	material.1:2690,user.gold:2400000	6060	3787	3787	72722	43	27	27	523
4	9	4	140	160	5	material.1:-1400,user.gold:-1450000	material.1:4090,user.gold:3850000	7812	4882	4882	93747	49	30	30	589
4	10	4	160	180	6	material.1:-1800,user.gold:-1920000	material.1:5890,user.gold:5770000	9790	6119	6119	117486	54	34	34	656
5	0	6	0	30	1	material.1:-0,user.gold:-0	material.1:0,user.gold:0	848	530	530	10176	29	18	18	350
5	1	6	30	40	1	material.1:-20,user.gold:-13900	material.1:20,user.gold:13900	1260	787	787	15127	32	20	20	387
5	2	6	40	50	2	material.1:-20,user.gold:-15200	material.1:40,user.gold:29100	1776	1110	1110	21315	36	22	22	435
5	3	6	50	60	2	material.1:-40,user.gold:-35700	material.1:80,user.gold:64800	2395	1496	1496	28741	40	25	25	487
5	4	6	60	70	3	material.1:-70,user.gold:-58600	material.1:150,user.gold:123400	3117	1948	1948	37405	45	28	28	542
5	5	6	70	80	3	material.1:-140,user.gold:-94600	material.1:290,user.gold:218000	3942	2463	2463	47306	49	31	31	598
5	6	6	80	100	4	material.1:-500,user.gold:-400000	material.1:790,user.gold:618000	5901	3688	3688	70822	59	37	37	715
5	7	6	100	120	4	material.1:-800,user.gold:-712000	material.1:1590,user.gold:1330000	8274	5171	5171	99289	69	43	43	834
5	8	6	120	140	5	material.1:-1100,user.gold:-1070000	material.1:2690,user.gold:2400000	11058	6911	6911	132706	79	49	49	954
5	9	6	140	160	5	material.1:-1400,user.gold:-1450000	material.1:4090,user.gold:3850000	14256	8910	8910	171074	89	56	56	1075
5	10	6	160	180	6	material.1:-1800,user.gold:-1920000	material.1:5890,user.gold:5770000	17866	11166	11166	214393	99	62	62	1197
6	0	10	0	30	1	material.1:-0,user.gold:-0	material.1:0,user.gold:0	1480	925	925	17760	51	31	31	612
6	1	10	30	40	1	material.1:-20,user.gold:-13900	material.1:20,user.gold:13900	2200	1375	1375	26400	56	35	35	676
6	2	10	40	50	2	material.1:-20,user.gold:-15200	material.1:40,user.gold:29100	3100	1937	1937	37200	63	39	39	759
6	3	10	50	60	2	material.1:-40,user.gold:-35700	material.1:80,user.gold:64800	4180	2612	2612	50160	70	44	44	850
6	4	10	60	70	3	material.1:-70,user.gold:-58600	material.1:150,user.gold:123400	5440	3400	3400	65280	78	49	49	946
6	5	10	70	80	3	material.1:-140,user.gold:-94600	material.1:290,user.gold:218000	6880	4300	4300	82560	87	54	54	1045
6	6	10	80	100	4	material.1:-500,user.gold:-400000	material.1:790,user.gold:618000	10300	6437	6437	123600	104	65	65	1248
6	7	10	100	120	4	material.1:-800,user.gold:-712000	material.1:1590,user.gold:1330000	14440	9025	9025	173280	121	75	75	1456
6	8	10	120	140	5	material.1:-1100,user.gold:-1070000	material.1:2690,user.gold:2400000	19300	12062	12062	231600	138	86	86	1666
6	9	10	140	160	5	material.1:-1400,user.gold:-1450000	material.1:4090,user.gold:3850000	24880	15550	15550	298560	156	97	97	1877
6	10	10	160	180	6	material.1:-1800,user.gold:-1920000	material.1:5890,user.gold:5770000	31180	19487	19487	374160	174	108	108	2090
101	0	2	0	30	1	material.1:-0,user.gold:-0	material.1:0,user.gold:0	185	115	115	2220	6	3	3	76
101	1	2	30	40	1	material.1:-20,user.gold:-13900	material.1:20,user.gold:13900	275	171	171	3300	7	4	4	84
101	2	2	40	50	2	material.1:-20,user.gold:-15200	material.1:40,user.gold:29100	387	242	242	4650	7	4	4	94
101	3	2	50	60	2	material.1:-40,user.gold:-35700	material.1:80,user.gold:64800	522	326	326	6270	8	5	5	106
101	4	2	60	70	3	material.1:-70,user.gold:-58600	material.1:150,user.gold:123400	680	425	425	8160	9	6	6	118
101	5	2	70	80	3	material.1:-140,user.gold:-94600	material.1:290,user.gold:218000	860	537	537	10320	10	6	6	130
101	6	2	80	100	4	material.1:-500,user.gold:-400000	material.1:790,user.gold:618000	1287	804	804	15450	13	8	8	156
101	7	2	100	120	4	material.1:-800,user.gold:-712000	material.1:1590,user.gold:1330000	1805	1128	1128	21660	15	9	9	182
101	8	2	120	140	5	material.1:-1100,user.gold:-1070000	material.1:2690,user.gold:2400000	2412	1507	1507	28950	17	10	10	208
101	9	2	140	160	5	material.1:-1400,user.gold:-1450000	material.1:4090,user.gold:3850000	3110	1943	1943	37320	19	12	12	234
101	10	2	160	180	6	material.1:-1800,user.gold:-1920000	material.1:5890,user.gold:5770000	3897	2435	2435	46770	21	13	13	261
102	0	2	0	30	1	material.1:-0,user.gold:-0	material.1:0,user.gold:0	195	122	122	2344	6	4	4	80
102	1	2	30	40	1	material.1:-20,user.gold:-13900	material.1:20,user.gold:13900	290	181	181	3484	7	4	4	89
102	2	2	40	50	2	material.1:-20,user.gold:-15200	material.1:40,user.gold:29100	409	255	255	4910	8	5	5	100
102	3	2	50	60	2	material.1:-40,user.gold:-35700	material.1:80,user.gold:64800	551	344	344	6621	9	5	5	112
102	4	2	60	70	3	material.1:-70,user.gold:-58600	material.1:150,user.gold:123400	718	448	448	8616	10	6	6	124
102	5	2	70	80	3	material.1:-140,user.gold:-94600	material.1:290,user.gold:218000	908	567	567	10897	11	7	7	137
102	6	2	80	100	4	material.1:-500,user.gold:-400000	material.1:790,user.gold:618000	1359	849	849	16315	13	8	8	164
102	7	2	100	120	4	material.1:-800,user.gold:-712000	material.1:1590,user.gold:1330000	1906	1191	1191	22872	16	10	10	192
102	8	2	120	140	5	material.1:-1100,user.gold:-1070000	material.1:2690,user.gold:2400000	2547	1592	1592	30571	18	11	11	219
102	9	2	140	160	5	material.1:-1400,user.gold:-1450000	material.1:4090,user.gold:3850000	3284	2052	2052	39409	20	12	12	247
102	10	2	160	180	6	material.1:-1800,user.gold:-1920000	material.1:5890,user.gold:5770000	4115	2572	2572	49389	22	14	14	275
103	0	2	0	30	1	material.1:-0,user.gold:-0	material.1:0,user.gold:0	267	167	167	3214	9	5	5	110
103	1	2	30	40	1	material.1:-20,user.gold:-13900	material.1:20,user.gold:13900	398	248	248	4778	10	6	6	122
103	2	2	40	50	2	material.1:-20,user.gold:-15200	material.1:40,user.gold:29100	561	350	350	6733	11	7	7	137
103	3	2	50	60	2	material.1:-40,user.gold:-35700	material.1:80,user.gold:64800	756	472	472	9078	12	8	8	153
103	4	2	60	70	3	material.1:-70,user.gold:-58600	material.1:150,user.gold:123400	984	615	615	11815	14	8	8	171
103	5	2	70	80	3	material.1:-140,user.gold:-94600	material.1:290,user.gold:218000	1245	778	778	14943	15	9	9	189
103	6	2	80	100	4	material.1:-500,user.gold:-400000	material.1:790,user.gold:618000	1864	1165	1165	22371	18	11	11	225
103	7	2	100	120	4	material.1:-800,user.gold:-712000	material.1:1590,user.gold:1330000	2613	1633	1633	31363	21	13	13	263
103	8	2	120	140	5	material.1:-1100,user.gold:-1070000	material.1:2690,user.gold:2400000	3493	2183	2183	41919	25	15	15	301
103	9	2	140	160	5	material.1:-1400,user.gold:-1450000	material.1:4090,user.gold:3850000	4503	2814	2814	54039	28	17	17	339
103	10	2	160	180	6	material.1:-1800,user.gold:-1920000	material.1:5890,user.gold:5770000	5643	3527	3527	67722	31	19	19	378
104	0	4	0	30	1	material.1:-0,user.gold:-0	material.1:0,user.gold:0	464	290	290	5576	16	10	10	192
104	1	4	30	40	1	material.1:-20,user.gold:-13900	material.1:20,user.gold:13900	690	431	431	8289	17	11	11	212
104	2	4	40	50	2	material.1:-20,user.gold:-15200	material.1:40,user.gold:29100	973	608	608	11680	19	12	12	238
104	3	4	50	60	2	material.1:-40,user.gold:-35700	material.1:80,user.gold:64800	1312	820	820	15750	22	13	13	266
104	4	4	60	70	3	material.1:-70,user.gold:-58600	material.1:150,user.gold:123400	1708	1067	1067	20497	24	15	15	297
104	5	4	70	80	3	material.1:-140,user.gold:-94600	material.1:290,user.gold:218000	2160	1350	1350	25923	27	17	17	328
104	6	4	80	100	4	material.1:-500,user.gold:-400000	material.1:790,user.gold:618000	3234	2021	2021	38810	32	20	20	392
104	7	4	100	120	4	material.1:-800,user.gold:-712000	material.1:1590,user.gold:1330000	4534	2833	2833	54409	38	23	23	457
104	8	4	120	140	5	material.1:-1100,user.gold:-1070000	material.1:2690,user.gold:2400000	6060	3787	3787	72722	43	27	27	523
104	9	4	140	160	5	material.1:-1400,user.gold:-1450000	material.1:4090,user.gold:3850000	7812	4882	4882	93747	49	30	30	589
104	10	4	160	180	6	material.1:-1800,user.gold:-1920000	material.1:5890,user.gold:5770000	9790	6119	6119	117486	54	34	34	656
105	0	6	0	30	1	material.1:-0,user.gold:-0	material.1:0,user.gold:0	848	530	530	10176	29	18	18	350
105	1	6	30	40	1	material.1:-20,user.gold:-13900	material.1:20,user.gold:13900	1260	787	787	15127	32	20	20	387
105	2	6	40	50	2	material.1:-20,user.gold:-15200	material.1:40,user.gold:29100	1776	1110	1110	21315	36	22	22	435
105	3	6	50	60	2	material.1:-40,user.gold:-35700	material.1:80,user.gold:64800	2395	1496	1496	28741	40	25	25	487
105	4	6	60	70	3	material.1:-70,user.gold:-58600	material.1:150,user.gold:123400	3117	1948	1948	37405	45	28	28	542
105	5	6	70	80	3	material.1:-140,user.gold:-94600	material.1:290,user.gold:218000	3942	2463	2463	47306	49	31	31	598
105	6	6	80	100	4	material.1:-500,user.gold:-400000	material.1:790,user.gold:618000	5901	3688	3688	70822	59	37	37	715
105	7	6	100	120	4	material.1:-800,user.gold:-712000	material.1:1590,user.gold:1330000	8274	5171	5171	99289	69	43	43	834
105	8	6	120	140	5	material.1:-1100,user.gold:-1070000	material.1:2690,user.gold:2400000	11058	6911	6911	132706	79	49	49	954
105	9	6	140	160	5	material.1:-1400,user.gold:-1450000	material.1:4090,user.gold:3850000	14256	8910	8910	171074	89	56	56	1075
105	10	6	160	180	6	material.1:-1800,user.gold:-1920000	material.1:5890,user.gold:5770000	17866	11166	11166	214393	99	62	62	1197
106	0	10	0	30	1	material.1:-0,user.gold:-0	material.1:0,user.gold:0	1480	925	925	17760	51	31	31	612
106	1	10	30	40	1	material.1:-20,user.gold:-13900	material.1:20,user.gold:13900	2200	1375	1375	26400	56	35	35	676
106	2	10	40	50	2	material.1:-20,user.gold:-15200	material.1:40,user.gold:29100	3100	1937	1937	37200	63	39	39	759
106	3	10	50	60	2	material.1:-40,user.gold:-35700	material.1:80,user.gold:64800	4180	2612	2612	50160	70	44	44	850
106	4	10	60	70	3	material.1:-70,user.gold:-58600	material.1:150,user.gold:123400	5440	3400	3400	65280	78	49	49	946
106	5	10	70	80	3	material.1:-140,user.gold:-94600	material.1:290,user.gold:218000	6880	4300	4300	82560	87	54	54	1045
106	6	10	80	100	4	material.1:-500,user.gold:-400000	material.1:790,user.gold:618000	10300	6437	6437	123600	104	65	65	1248
106	7	10	100	120	4	material.1:-800,user.gold:-712000	material.1:1590,user.gold:1330000	14440	9025	9025	173280	121	75	75	1456
106	8	10	120	140	5	material.1:-1100,user.gold:-1070000	material.1:2690,user.gold:2400000	19300	12062	12062	231600	138	86	86	1666
106	9	10	140	160	5	material.1:-1400,user.gold:-1450000	material.1:4090,user.gold:3850000	24880	15550	15550	298560	156	97	97	1877
106	10	10	160	180	6	material.1:-1800,user.gold:-1920000	material.1:5890,user.gold:5770000	31180	19487	19487	374160	174	108	108	2090
