矿格	宝藏分布1	宝藏分布2	宝藏分布3	宝藏分布4	宝藏分布5	宝藏分布6	宝藏分布7	宝藏分布8	宝藏分布9	宝藏分布10	金刚石分布1	金刚石分布2	金刚石分布3	金刚石分布4	金刚石分布5	金刚石分布6	金刚石分布7	金刚石分布8	金刚石分布9	金刚石分布10
25	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
26	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
28	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
30	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
31	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
32	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
35	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0
36	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
38	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
40	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
41	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
42	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
43	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
44	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
45	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
46	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
48	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
49	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
50	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
51	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
53	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
55	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1
56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
57	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
59	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
62	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
63	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
69	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
70	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
74	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
76	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
77	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
82	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
83	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
84	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
85	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0
87	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
89	0	0	1	0	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0
90	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
92	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
96	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
98	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
99	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
