Key	文本内容1
text_rollNoticeHtmStr_8	<font color="#ffffffff" size="20">Great work! Congrats to </font><font color="#ff3300ff" size="20"><s1></font><font color="#ffffffff" size="20"> for reaching Lv.</font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20">.</font>
text_rollNoticeHtmStr_9	<font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20"> has worked hard and increased Fate of</font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20"> to Lv.</font><font color="#ff3300ff" size="20"><s3></font><font color="#ffffffff" size="20">.</font>
text_rollNoticeHtmStr_10	<font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20"> has trained hard and upgraded troops of</font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20"> to Rank </font><font color="#ff3300ff" size="20"><s3></font><font color="#ffffffff" size="20">.</font>
text_rollNoticeHtmStr_11	<font color="#ffffffff" size="20">Congrats to </font><font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20"> for upgrading </font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20"> to 4-star, your power has greatly increased!</font>
text_rollNoticeHtmStr_12	<font color="#ffffffff" size="20">Congrats to </font><font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20"> for upgrading </font><font color="#ffff00ff" size="20"><s2></font><font color="#ffffffff" size="20"> to 5-star, gaining unrivaled power!</font>
text_rollNoticeHtmStr_14	<font color="#ffffffff" size="20" strokeSize="1" strokeColor="#000000ff">Please join the official chat group: </font><font color="#25ed25ff" size="20" strokeSize="1"strokeColor="#000000ff">952846837</font><font color="#ffffffff" size="20" strokeSize="1" strokeColor="#000000ff"> (Free pack upon joining). Our official WeChat public account: </font><font color="#25ed25ff" size="20" strokeSize="1" strokeColor="#000000ff">lzdld2018</font><font color="#ffffffff" size="20" strokeSize="1" strokeColor="#000000ff"> (Follow for a surprise!)</font>
text_rollNoticeStr_1	Congrats to <s1> for recruiting <s2> in Tavern, your power has greatly increased!
text_rollNoticeStr_2	Congrats to <s1> for crafting <s2>, your power has greatly increased!
text_rollNoticeStr_3	Congrats to <s1> for defeating <s2> and becoming king!
text_rollNoticeStr_4	<s1> defeated <s2> and is now the Arena Overlord. Your name will live on forever!
text_rollNoticeStr_5	<s1> defeated <s2> and is now No.<s3> in Arena, making a name for yourself!
text_rollNoticeStr_6	Congrats to <s1> server <s2> for winning the Battle of Kings. None can stand in your way!
text_rollNoticeStr_7	Congrats to <s1> for exchanging rum for the 5-star hero <s2>.
text_rollNoticeStr_8	Great work! Congrats to <s1> for reaching Lv.<s2>.
text_rollNoticeStr_9	<s1> has worked hard and increased Fate of <s2> to Lv.<s3>.
text_rollNoticeStr_10	<s1> has trained hard and upgraded troops of <s2> to Rank <s3>.
text_rollNoticeStr_11	Congrats to <s1> for upgrading <s2> to 4-star, your power has greatly increased!
text_rollNoticeStr_12	Congrats to <s1> for upgrading <s2> to 5-star, gaining unrivaled power!
text_rollNoticeStr_14	Please join the official chat group: 952846837 (Free pack upon joining). Our official WeChat public account: lzdld2018 (Follow for a surprise!)
text_systemNotice	System Notice
text_territoryLogHtmStr_1	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff"> is unstoppable and activated a Stone Tablet in your territory.</font>
text_territoryLogHtmStr_2	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff"> is unstoppable and activated a Stone Tablet in the </font><font size = #"24"，color="#ff1e00ff">{2}</font><font size = #"24"，color="#ffffffff"> Territory.</font>
text_territoryLogHtmStr_3	<font size = #"24"，color="#ffffffff">The </font><font size = #"24"，color="#ffcc00ff">{1}</font><font size = #"24"，color="#ffffffff"> in your Territory has been plundered by </font><font size = #"24"，color="#ff1e00ff">{3} of the {2} Territory</font><font size = #"24"，color="#ffffffff"> and the output is reduced.</font>
text_territoryLogHtmStr_4	<font size = #"24"，color="#ffffffff">Your legion has activated the </font><font size = #"24"，color="#ffcc00ff">Porta</font><font size = #"24"，color="#ffffffff">.</font>
text_territoryLogHtmStr_5	<font size = #"24"，color="#ffffffff">The <font size = #"24"，color="#ffcc00ff">Portal</font><font size = #"24"，color="#ffffffff"> has surged and has sensed the location of the enemies\' territory.</font>
text_territoryLogHtmStr_6	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff"> visited the </font><font size = #"24"，color="#ffcc00ff">{2}</font><font size = #"24"，color="#ffffffff"> and dispelled the fog in the distance.</font>
text_territoryLogHtmStr_7	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff"> successfully occupied the </font><font size = #"24"，color="#ffcc00ff">{2}</font><font size = #"24"，color="#ffffffff"> and bring daily benefits to the legion members.</font>
text_territoryLogHtmStr_8	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff"> went through a bad fight and repelled </font><font size = #"24"，color="#ff1e00ff">{3} of the {2} Territory</font><font size = #"24"，color="#ffffffff"> in your territory.</font>
text_territoryLogHtmStr_9	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff"> was defeated by </font><font size = #"24"，color="#ff1e00ff">{3} of the {2} Trritory</font><font size = #"24"，color="#ffffffff"> in enemy territory.</font>
text_territoryLogHtmStr_10	<font size = #"24"，color="#ff1e00ff">The {2} of {1} Territory</font><font size = #"24"，color="#ffffffff"> is madly slaughtering in your Territory.</font>
text_territoryLogHtmStr_11	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff"> plundered the </font><font size = #"24"，color="#ffcc00ff">{3}</font><font size = #"24"，color="#ffffffff"> in the </font><font size = #"24"，color="#ff1e00ff">{2}</font><font size = #"24"，color="#ffffffff"> Territory and harvested a lot.</font>
text_territoryLogStr_1	{1} is unstoppable and activated a Stone Tablet in your territory.
text_territoryLogStr_2	{1} is unstoppable and activated a Stone Tablet in the {2} Territory.
text_territoryLogStr_3	The {1} in your Territory has been plundered by {3} of the {2} Territory and the output is reduced.
text_territoryLogStr_4	Your legion has activated the Portal.
text_territoryLogStr_5	The Portal has surged and has sensed the location of the enemies\' territory.
text_territoryLogStr_6	{1} visited the {2} and dispelled the fog in the distance.
text_territoryLogStr_7	{1} successfully occupied the {2} and bring daily benefits to the legion members.
text_territoryLogStr_8	{1} went through a bad fight and repelled {3} of the {2} Territory in your territory.
text_territoryLogStr_9	{1} was defeated by {3} of the {2} Territory in enemy territory.
text_territoryLogStr_10	{2} of {1} Territory is madly slaughtering in your territory.
text_territoryLogStr_11	{1} plundered the {3} in the {2} Territory and harvested a lot.
text_dragonLimit_1	VIP 9 Exclusive Pack
text_dragonLimit_2	Superior 1st Top-up
text_dragonLimit_3	Byne Arrive Pack
text_dragonLimit_4	Carnival Day 4
text_av_activittes_lucky_dragon	Fortune
text_av_activittes_open_rank_level	Timed Lord Level Rankings
text_av_activittes_open_rank_ff	5Days Winner Ranking
text_av_activittes_open_rank_ff_10	10Days Winner Ranking
text_av_activittes_open_rank_ff_15	15Days Winner Ranking
text_av_activittes_levelUp	Level Up
text_av_activittes_open_seven	Carnival
text_av_activittes_first_pay	1st Top-up
text_av_activittes_sign	Sign In
text_av_activittes_sign_high	Luxury Sign In
text_av_activittes_level	Level Pack
text_av_activittes_vip_gift	VIP Exclusive Pack
text_av_activittes_grow_fund	Growth Fund
text_av_activittes_war_college	Academy
text_av_activittes_week_card	Perks Card
text_av_activittes_month_card	SP Perks Card
text_av_activittes_gift_bag	Pack
text_av_activittes_assets_feed	Resource
text_av_activittes_perks	Perks
text_av_activittes_todaydouble	Village Double
text_av_activittes_login_goodgift	Login Reward
text_av_activittes_human_arms	Adv. Holy Weapon
text_av_activittes_human_wing	Adv. Holy Wings
text_av_activittes_human_mount	Adv. Holy Mount
text_av_activittes_tavern_recruit	Tavern Party
text_av_activittes_expend_gift	Total Spending
text_av_activittes_ordinary_recruit	Normal Recruit
text_av_activittes_senior_recruit	Fancy Recruit
text_av_activittes_limit_exchange	Timed Exchange
text_av_activittes_alasd_pray	Genie Wish
text_av_activittes_investment	Grand Investment
text_av_activittes_day_recharge	Diamond Carnival
text_av_activittes_accumulate_recharge	Total Recharge Gift
text_av_activittes_day_exchange	Holiday Exchange
text_av_activittes_manually	Handbook
text_av_activittes_open_holiday	Carnival
text_av_activittes_lucky_rotate	Lucky Wheel
text_av_activittes_doappraise	Rating
text_av_activittes_zero_gift	$0 Giftpack
text_av_activittes_doddqqgroup	 
text_av_activittes_open_rank_recharge	Recharge Ranking
text_av_activittes_open_rank_expense	Consume Ranking
text_av_activittes_facebook	facebook
text_av_activittes_single_recharge	Purchase Gift
text_av_activittes_exchange_item	Reward Exchange
text_av_activittes_accumulate_daily	Daily Recharge
text_av_activittes_level_up	Level Up
text_av_activittes_follow_rewards	Fans Benefit
text_av_activittes_help_equip	The aid of dwarfs
text_av_activittes_help_octopus	Octopus\' Treasure
text_av_activittes_destiny_rotate	Wheel of Fate
text_avmanually_recruit1	Normal Recruit for 1 time
text_avmanually_recruit2	Fancy Recruit for 1 time
text_avmanually_diggingBox	Get the ultimate chest in Dragonite Mine
text_avmanually_hero	Compound a 6-star Hero
text_avmanually_speedUp	Idle Speedup for 1 time
text_avmanually_goblin	Capture a Goblin for 1 time
text_avmanually_arena4	Top 10 in Server Arena 
text_avmanually_arena5	Ranked Top10 in C.S. Arena
text_avmanually_arena6	Ranked Top10 in Majesty Arena
text_avmanually_king	Be the King in Royal Clash
text_av_firstPay_desc_1	Total Purchases {1} Golden Diamonds to instantly receive: 
text_av_buyaward_week	Limited Sale
text_av_buyaward_week_1	Limited Sale
text_av_buyaward_week_2	Limited Sale
text_av_buyaward_week_3	Limited Sale
text_av_buyaward_week_4	Limited Sale
text_av_buyaward_week_5	Limited Sale
text_av_buyaward_week_6	Limited Sale
text_av_buyaward_week_7	Limited Sale
text_popwindowopenseven_desc_1	None
text_popwindowopenseven_desc_2	None
text_av_openseven_notice_1	Blue Diamond
text_av_openseven_notice_2	Pharaoh
text_av_openseven_notice_3	Thunder Shoulder Pads
text_av_openseven_notice_4	Lightning Dragon
text_av_openseven_notice_5	Thunder Cloak
text_av_openseven_notice_6	Mythic Hero
text_av_openseven_notice_7	Emperor of Death
text_av_openseven_tab_0_1	Daily Benefits
text_av_openseven_tab_0_2	Limited Sale
text_av_openseven_tab_1_1	Nor. Adventure
text_av_openseven_tab_1_2	Hero Collect
text_av_openseven_tab_2_1	Bronze Arena
text_av_openseven_tab_2_2	Bronze Arena
text_av_openseven_tab_3_1	Advance Dragon
text_av_openseven_tab_3_2	Advance Dragon
text_av_openseven_tab_4_1	Equip Gears
text_av_openseven_tab_4_2	Equip Gears
text_av_openseven_tab_5_1	Royal Clash
text_av_openseven_tab_5_2	Royal Clash
text_av_openseven_tab_6_1	Transcend Hero
text_av_openseven_tab_6_2	Slot Awakening
text_av_openseven_tab_7_1	Power Overlord
text_av_openseven_tab_7_2	Holy Weapon
text_av_openseven_desc_login	Login Gift
text_av_openseven_desc_sale	Huge discount equals great deals.
text_av_openseven_desc_level	Lord reaches Lv.{2}
text_av_openseven_desc_pay	Buy a total of {2}
text_av_openseven_desc_payOnce	${1} in a single recharge {2} times
text_av_openseven_desc_battle	Clear adventure stage [{2} - Normal]
text_av_openseven_desc_elite	Clear adventure stage [{2} - Elite]
text_av_openseven_desc_soldierLevel	Upgrade {2} hero troops to rank {1}
text_av_openseven_desc_roleReborn	Transcend {2} heroes to +{1}
text_av_openseven_desc_digging	Get {2} treasures in Dragonite Mining
text_av_openseven_desc_dragon	Upgrade {2} dragons to Lv. {1}
text_av_openseven_desc_weapon	Advance Holy Weapon to Rank {2}
text_av_openseven_desc_wing	Advance Holy Wings to Rank {2}
text_av_openseven_desc_partAwake	Hero Gear Slots awakened to a total of {2} stars
text_av_openseven_desc_gemLevel	Inlay gems with total level of {2}
text_av_openseven_desc_towerTier	Reach F{2} in Courage Tower
text_av_openseven_desc_destiny	Enhance Fate to +{1} for {2} heroes
text_av_openseven_desc_heroShopRefresh	Refresh Hero Store {2} times
text_av_openseven_desc_heroShopBuy	Total of {2} Hero Store purchases
text_av_openseven_desc_equiprefine	Combined refine rank of {2} on equipped gear
text_av_openseven_desc_fightForce	Reach {1} power
text_av_openseven_desc_equipUpgrade	Equip {2} gear enhanced to Lv.{1}
text_av_openseven_desc_arenaRank1	Reach Top {1} in Bronze or better Arena
text_av_openseven_desc_arenaRank2	Reach Top {1} in Server Arena
text_av_openseven_desc_arenaRank3	Reach Top {1} in Gold or better Arena
text_av_openseven_desc_arenaRank4	Reach Top {1} in C.S. Arena
text_av_openseven_desc_arenaRank5	Reach Top {1} in Diamond or better Arena
text_av_openseven_desc_arenaRank6	Reach Top {1} in Majesty Arena
text_av_openseven_desc_roleReborn1	Wear {2} common or better gears
text_av_openseven_desc_roleReborn2	Wear {2} uncommon or better gears
text_av_openseven_desc_roleReborn3	Wear {2} rare or better gears
text_av_openseven_desc_roleReborn4	Wear {2} epic or better gears
text_av_openseven_desc_roleReborn5	Wear {2} mythic or better gears
text_av_openseven_desc_position0	Reach [King] nobility in Royal Clash
text_av_openseven_desc_position1	Reach [Prince] nobility in Royal Clash
text_av_openseven_desc_position2	Reach [Duke] nobility in Royal Clash
text_av_openseven_desc_position3	Reach [Marquis] nobility in Royal Clash
text_av_openseven_desc_position4	Reach [Earl] nobility in Royal Clash
text_av_openseven_desc_position5	Reach [Viscount] nobility in Royal Clash
text_av_openseven_desc_position6	Reach [Baron] nobility in Royal Clash
text_av_openseven_desc_position7	Reach [Honor] nobility in Royal Clash
text_av_openseven_desc_position8	Reach [Lord] nobility in Royal Clash
text_av_openseven_desc_position9	Reach [Knight] nobility in Royal Clash
text_av_openseven_desc_position10	Reach [Citizen] nobility in Royal Clash
text_av_openseven_desc_starHero	Collect {2} {1}-Star Hero
text_av_openseven_desc_giftBuy_1_1	Day 1 Discount Pack #1
text_av_openseven_desc_giftBuy_1_2	Day 1 Discount Pack #1
text_av_openseven_desc_giftBuy_1_3	Day 1 Discount Pack #2
text_av_openseven_desc_giftBuy_1_4	Day 1 Discount Pack #3
text_av_openseven_desc_giftBuy_1_5	Day 1 Discount Pack #4
text_av_openseven_desc_giftBuy_1_6	Day 1 Discount Pack #5
text_av_openseven_desc_giftBuy_1_7	Day 1 Discount Pack #6
text_av_openseven_desc_giftBuy_2_1	Day 2 Discount Pack #1
text_av_openseven_desc_giftBuy_2_2	Day 2 Discount Pack #1
text_av_openseven_desc_giftBuy_2_3	Day 2 Discount Pack #2
text_av_openseven_desc_giftBuy_2_4	Day 2 Discount Pack #3
text_av_openseven_desc_giftBuy_2_5	Day 2 Discount Pack #4
text_av_openseven_desc_giftBuy_2_6	Day 2 Discount Pack #5
text_av_openseven_desc_giftBuy_2_7	Day 2 Discount Pack #6
text_av_openseven_desc_giftBuy_3_1	Day 3 Discount Pack #1
text_av_openseven_desc_giftBuy_3_2	Day 3 Discount Pack #1
text_av_openseven_desc_giftBuy_3_3	Day 3 Discount Pack #2
text_av_openseven_desc_giftBuy_3_4	Day 3 Discount Pack #3
text_av_openseven_desc_giftBuy_3_5	Day 3 Discount Pack #4
text_av_openseven_desc_giftBuy_3_6	Day 3 Discount Pack #5
text_av_openseven_desc_giftBuy_3_7	Day 3 Discount Pack #6
text_av_openseven_desc_giftBuy_4_1	Day 4 Discount Pack #1
text_av_openseven_desc_giftBuy_4_2	Day 4 Discount Pack #1
text_av_openseven_desc_giftBuy_4_3	Day 4 Discount Pack #2
text_av_openseven_desc_giftBuy_4_4	Day 4 Discount Pack #3
text_av_openseven_desc_giftBuy_4_5	Day 4 Discount Pack #4
text_av_openseven_desc_giftBuy_4_6	Day 4 Discount Pack #5
text_av_openseven_desc_giftBuy_4_7	Day 4 Discount Pack #6
text_av_openseven_desc_giftBuy_5_1	Day 5 Discount Pack #1
text_av_openseven_desc_giftBuy_5_2	Day 5 Discount Pack #1
text_av_openseven_desc_giftBuy_5_3	Day 5 Discount Pack #2
text_av_openseven_desc_giftBuy_5_4	Day 5 Discount Pack #3
text_av_openseven_desc_giftBuy_5_5	Day 5 Discount Pack #4
text_av_openseven_desc_giftBuy_5_6	Day 5 Discount Pack #5
text_av_openseven_desc_giftBuy_5_7	Day 5 Discount Pack #6
text_av_openseven_desc_giftBuy_6_1	Day 6 Discount Pack #1
text_av_openseven_desc_giftBuy_6_2	Day 6 Discount Pack #1
text_av_openseven_desc_giftBuy_6_3	Day 6 Discount Pack #2
text_av_openseven_desc_giftBuy_6_4	Day 6 Discount Pack #3
text_av_openseven_desc_giftBuy_6_5	Day 6 Discount Pack #4
text_av_openseven_desc_giftBuy_6_6	Day 6 Discount Pack #5
text_av_openseven_desc_giftBuy_6_7	Day 6 Discount Pack #6
text_av_openseven_desc_giftBuy_7_1	Day 7 Discount Pack #1
text_av_openseven_desc_giftBuy_7_2	Day 7 Discount Pack #1
text_av_openseven_desc_giftBuy_7_3	Day 7 Discount Pack #2
text_av_openseven_desc_giftBuy_7_4	Day 7 Discount Pack #3
text_av_openseven_desc_giftBuy_7_5	Day 7 Discount Pack #4
text_av_openseven_desc_giftBuy_7_6	Day 7 Discount Pack #5
text_av_openseven_desc_giftBuy_7_7	Day 7 Discount Pack #6
text_av_openholiday_notice_1	Carnival Quests
text_av_openholiday_notice_2	Carnival Benefits
text_av_openholiday_notice_3	Grand Sale
text_av_openholiday_tab_1_1	Arena Expert
text_av_openholiday_tab_1_2	Recruit Expert
text_av_openholiday_tab_1_3	Lucky Wheel Expert
text_av_openholiday_tab_1_4	Hero Expert
text_av_openholiday_tab_2_1	Carnival Pack
text_av_openholiday_tab_2_2	Discount Pack
text_av_openholiday_tab_2_3	Recharge Gift
text_av_openholiday_tab_2_4	Login Carnival
text_av_openholiday_tab_3_1	5-Star Hero Sale
text_av_openholiday_tab_3_2	SP Lucky Coin Sale
text_av_openholiday_tab_3_3	Gear Sale
text_av_openholiday_tab_3_4	Horn Sale
text_av_openholiday_desc_battlefight	Complete any stage {2} times
text_av_openholiday_desc_arena	Complete {2} Arena challenges
text_av_openholiday_desc_tavern	Normal Recruit {2} times in Tavern
text_av_openholiday_desc_RecruitNum	Recruit for {2} times in Tavern
text_av_openholiday_desc_fancyRecruitNum	Fancy Recruit for {2} times in Tavern
text_av_openholiday_desc_luckyRotateNum	Spin for {2} times in Lucky Wheel
text_av_openholiday_desc_cave	Get () treasures from Dragonite Mine
text_av_openholiday_top_desc_2_1	Carnival Benefits! Continuous login to get gifts! Time limited special discount!
text_av_openholiday_top_desc_3_1	Grand Sale! Special Discount!
text_av_openholiday_desc_giftBuy1	Carnival Pack #1
text_av_openholiday_desc_giftBuy2	Carnival Pack #2
text_av_openholiday_desc_giftBuy3	Carnival Pack #3
text_av_openholiday_desc_giftBuy4	Carnival Pack #4
text_av_openholiday_desc_giftBuy5	Carnival Pack #5
text_av_openholiday_desc_giftBuy6	Carnival Pack #6
text_av_openholiday_desc_giftBuy7	Carnival Pack #7
text_av_openholiday_desc_cashBuy	Limited purchase {2} times
text_av_openholiday_desc_paid	Buy a total of {2} Golden Diamonds
text_av_openholiday_desc_login	Login for {2} days in total
text_av_openholiday_desc_sale1	Huge discount equals great deals.
text_av_openholiday_desc_sale2	Huge discount equals great deals.
text_av_openholiday_desc_sale3	Huge discount equals great deals.
text_av_openholiday_desc_sale4	Huge discount equals great deals.
text_av_giftbag_name_1	Daily Victor Pack
text_av_giftbag_name_2	Daily Majesty Pack
text_av_giftbag_name_3	Daily Supreme Pack
text_av_giftbag_name_4	$1.99 Special Pack
text_av_giftbag_name_5	$11.99 Special Pack
text_av_giftbag_name_6	$1.99 Special Pack
text_av_giftbag_name_7	$1.99 Special Pack
text_av_giftbag_name_8	$1.99 Special Pack
text_av_giftbag_name_9	$1.99 Special Pack
text_av_giftbag_name_10	$1.99 Special Pack
text_av_giftbag_name_1000	Sacred Stone Pack
text_av_giftbag_name_1009	Resource Pack#2
text_av_giftbag_name_1010	Resource Pack#1
text_av_giftbag_name_1020	Dragon Trainer Pack
text_av_giftbag_name_1030	Transcend Hero Pack#1
text_av_giftbag_name_1031	Transcend Hero Pack#2
text_av_giftbag_name_1040	Gear Master Pack
text_av_giftbag_name_1050	Rune Master Pack
text_av_giftbag_name_1060	Awakening Master Pack
text_av_giftbag_name_1070	Gem Master Pack
text_av_giftbag_name_1080	Fate Boost Pack
text_av_giftbag_name_2010	Monthly Pack#1
text_av_giftbag_name_2020	Monthly Pack#2
text_av_giftbag_name_2030	Monthly Pack#3
text_av_giftbag_name_2040	Monthly Pack#4
text_av_giftbag_name_2050	Monthly Pack#5
text_av_giftbag_name_2060	Monthly Pack#6
text_av_giftbag_name_3010	Time-limited Sale#1
text_av_giftbag_name_3020	Time-limited Sale#2
text_av_giftbag_name_3030	Time-limited Sale#3
text_av_giftbag_name_3040	Time-limited Sale#4
text_av_giftbag_name_3050	Time-limited Sale#5
text_av_giftbag_name_3060	Time-limited Sale#6
text_av_giftbag_name_3070	Time-limited Sale#7
text_av_giftbag_name_3080	Time-limited Sale#8
text_av_giftbag_name_3090	Time-limited Sale#9
text_av_giftbag_name_10101	Holy Weapon Adv. Pack #1
text_av_giftbag_name_10102	Holy Weapon Adv. Pack #2
text_av_giftbag_name_10103	Holy Weapon Adv. Pack #3
text_av_giftbag_name_10104	Holy Weapon Adv. Pack #4
text_av_giftbag_name_10105	Holy Weapon Adv. Pack #5
text_av_giftbag_name_10201	Holy Wings Adv. Pack #1
text_av_giftbag_name_10202	Holy Wings Adv. Pack #2
text_av_giftbag_name_10203	Holy Wings Adv. Pack #3
text_av_giftbag_name_10204	Holy Wings Adv. Pack #4
text_av_giftbag_name_10205	Holy Wings Adv. Pack #5
text_av_giftbag_name_10301	Holy Mount Adv. Pack #1
text_av_giftbag_name_10302	Holy Mount Adv. Pack #2
text_av_giftbag_name_10303	Holy Mount Adv. Pack #3
text_av_giftbag_name_10304	Holy Mount Adv. Pack #4
text_av_giftbag_name_10305	Holy Mount Adv. Pack #5
text_av_giftbag_name_10111	Holy Weapon Adv. Pack #1
text_av_giftbag_name_10112	Holy Weapon Adv. Pack #2
text_av_giftbag_name_10113	Holy Weapon Adv. Pack #3
text_av_giftbag_name_10114	Holy Weapon Adv. Pack #4
text_av_giftbag_name_10115	Holy Weapon Adv. Pack #5
text_av_giftbag_name_10211	Holy Wings Adv. Pack #1
text_av_giftbag_name_10212	Holy Wings Adv. Pack #2
text_av_giftbag_name_10213	Holy Wings Adv. Pack #3
text_av_giftbag_name_10214	Holy Wings Adv. Pack #4
text_av_giftbag_name_10215	Holy Wings Adv. Pack #5
text_av_giftbag_name_10311	Holy Mount Adv. Pack #1
text_av_giftbag_name_10312	Holy Mount Adv. Pack #2
text_av_giftbag_name_10313	Holy Mount Adv. Pack #3
text_av_giftbag_name_10314	Holy Mount Adv. Pack #4
text_av_giftbag_name_10315	Holy Mount Adv. Pack #5
text_av_giftbag_name_4010	Luxury Assist Pack #1
text_av_giftbag_name_4011	Luxury Assist Pack #2
text_av_giftbag_name_4012	Luxury Assist Pack #3
text_av_giftbag_name_4013	Luxury Assist Pack #4
text_av_giftbag_name_4014	Luxury Assist Pack #5
text_av_giftbag_name_4015	Luxury Assist Pack #6
text_av_giftbag_name_4049	Ancient Superme Pack
text_av_giftbag_name_4050	Byne Arrive Pack
text_av_giftbag_name_4051	Genesis Superme Pack
text_av_giftbag_name_4101	Ice Supreme Pack
text_av_giftbag_name_4102	Thunder Supreme Pack
text_av_giftbag_name_4103	Dragonscale Supreme Pack
text_av_giftbag_name_4104	Time Speedup Pack
text_av_giftbag_name_1110	Weekly Benefit Pack#1
text_av_giftbag_name_1120	Weekly Benefit Pack#2
text_av_giftbag_name_1130	Weekly Benefit Pack#3
text_av_giftbag_name_1140	Weekly Benefit Pack#4
text_av_giftbag_name_1150	Weekly Benefit Pack#5
text_av_giftbag_name_1160	Weekly Benefit Pack#6
text_av_giftbag_name_6001	Diamond Hero Pack#1
text_av_giftbag_name_6002	Diamond Hero Pack#2
text_av_giftbag_name_6003	Diamond Upgrade Pack#1
text_av_giftbag_name_6004	Diamond Lucky Pack#1
text_av_giftbag_name_6005	Holy Weapon Pack#1
text_av_giftbag_name_6006	Holy Wing Pack#2
text_av_giftbag_name_6007	Holy Mount Pack#3
text_av_giftbag_name_7010	Rhino Pack#1
text_av_giftbag_name_7020	Thunder Pack#1
text_av_giftbag_name_7030	Thunder Pack#2
text_av_giftbag_name_7040	Thunder Pack#3
text_av_giftbag_name_7050	Dragon Scale Pack#1
text_av_giftbag_name_7060	Dragon Scale Pack#2
text_av_giftbag_name_7070	Dragon Scale Pack#3
text_av_giftbag_name_7080	Dragon Scale Pack#4
text_av_giftbag_name_7090	Dragon Pack#1
text_av_giftbag_name_8010	Dragonscale Supreme Pack#2
text_av_giftbag_name_8020	Dragonscale Supreme Pack#3
text_av_giftbag_name_9010	Dragon Supreme Pack#1
text_av_giftbag_name_9011	Dragon Supreme Pack#2
text_av_giftbag_name_9012	Dragon Supreme Pack#3
text_av_giftbag_name_9013	Dragon Supreme Pack#1
text_av_giftbag_name_9014	Dragon Supreme Pack#2
text_av_giftbag_name_9015	Dragon Supreme Pack#3
text_av_giftbag_name_9016	Dragon Supreme Pack#1
text_av_giftbag_name_9017	Dragon Supreme Pack#2
text_av_giftbag_name_9018	Dragon Supreme Pack#3
text_av_giftbag_name_9019	Thor Supreme Pack#1
text_av_giftbag_name_9020	Thor Supreme Pack#2
text_av_giftbag_name_9021	Thor Supreme Pack#3
text_av_giftbag_name_101	Coin Supply 
text_av_giftbag_name_102	EXP Supply
text_av_giftbag_name_103	Transcend Stone Supply
text_av_giftbag_name_104	Fancy Recruit Supply
