索引ID	装备名称	类型	是否远古装备	品质	颜色方案	等级	主属性类型	主属性值	命中基准值	命中浮动百分比	闪避基准值	闪避浮动百分比	暴击基准值	暴击浮动百分比	韧性基准值	韧性浮动百分比	熔炼升品概率	熔炼值	洗练花费金币(0锁定)	洗练花费金币(1锁定)	洗练花费金币(2锁定)	洗练花费金币(3锁定)	传承花费金币	拆解花费金币	拆解获得	图片	描述	出售价格	获取途径
330601	神威护腰	3	0	3	3	60	4	3551	121	40	182	40	121	40	389	40	30	40	150	180	220	260	100	0		72.png	这件特别牛掰	100	501
340601	神威护腰	3	0	4	4	60	4	4971	121	40	182	40	121	40	389	40	30	60	150	180	220	260	100	0		72.png	这件特别牛掰	100	501
350601	神威护腰	3	0	5	5	60	4	7102	121	40	182	40	121	40	389	40	15	100	150	180	220	260	100	0		72.png	这件特别牛掰	100	501
310701	天霸护腰	3	0	1	1	70	4	1879	150	40	225	40	150	40	480	40	70	10	370	440	530	640	100	0		82.png	这件特别牛掰	100	501
320701	天霸护腰	3	0	2	2	70	4	3288	150	40	225	40	150	40	480	40	50	20	370	440	530	640	100	0		82.png	这件特别牛掰	100	501
330701	天霸护腰	3	0	3	3	70	4	4697	150	40	225	40	150	40	480	40	30	40	370	440	530	640	100	0		82.png	这件特别牛掰	100	501
340701	天霸护腰	3	0	4	4	70	4	6576	150	40	225	40	150	40	480	40	30	60	370	440	530	640	100	0		82.png	这件特别牛掰	100	501
350701	天霸护腰	3	0	5	5	70	4	9394	150	40	225	40	150	40	480	40	15	100	370	440	530	640	100	0		82.png	这件特别牛掰	100	501
310801	龙魂护腰	3	0	1	1	80	4	2485	179	40	268	40	179	40	571	40	70	10	930	1100	1300	1600	100	0		92.png	这件特别牛掰	100	501
320801	龙魂护腰	3	0	2	2	80	4	4349	179	40	268	40	179	40	571	40	50	20	930	1100	1300	1600	100	0		92.png	这件特别牛掰	100	501
330801	龙魂护腰	3	0	3	3	80	4	6213	179	40	268	40	179	40	571	40	30	40	930	1100	1300	1600	100	0		92.png	这件特别牛掰	100	501
340801	龙魂护腰	3	0	4	4	80	4	8698	179	40	268	40	179	40	571	40	30	60	930	1100	1300	1600	100	0		92.png	这件特别牛掰	100	501
350801	龙魂护腰	3	0	5	5	80	4	12426	179	40	268	40	179	40	571	40	15	100	930	1100	1300	1600	100	0		92.png	这件特别牛掰	100	501
310901	轩辕护腰	3	0	1	1	90	4	3287	214	40	321	40	214	40	686	40	70	10	2600	3100	3700	4400	100	0		102.png	这件特别牛掰	100	501
320901	轩辕护腰	3	0	2	2	90	4	5753	214	40	321	40	214	40	686	40	50	20	2600	3100	3700	4400	100	0		102.png	这件特别牛掰	100	501
330901	轩辕护腰	3	0	3	3	90	4	8218	214	40	321	40	214	40	686	40	30	40	2600	3100	3700	4400	100	0		102.png	这件特别牛掰	100	501
340901	轩辕护腰	3	0	4	4	90	4	11505	214	40	321	40	214	40	686	40	30	60	2600	3100	3700	4400	100	0		102.png	这件特别牛掰	100	501
350901	轩辕护腰	3	0	5	5	90	4	16436	214	40	321	40	214	40	686	40	15	100	2600	3100	3700	4400	100	0		102.png	这件特别牛掰	100	501
311001	四神护腰	3	0	1	1	100	4	4348	250	40	375	40	250	40	800	40	70	10	5900	7100	8500	10200	100	0		112.png	这件特别牛掰	100	501
321001	四神护腰	3	0	2	2	100	4	7609	250	40	375	40	250	40	800	40	50	20	5900	7100	8500	10200	100	0		112.png	这件特别牛掰	100	501
331001	四神护腰	3	0	3	3	100	4	10870	250	40	375	40	250	40	800	40	30	40	5900	7100	8500	10200	100	0		112.png	这件特别牛掰	100	501
341001	四神护腰	3	0	4	4	100	4	15218	250	40	375	40	250	40	800	40	30	60	5900	7100	8500	10200	100	0		112.png	这件特别牛掰	100	501
351001	四神护腰	3	0	5	5	100	4	21741	250	40	375	40	250	40	800	40	15	100	5900	7100	8500	10200	100	0		112.png	这件特别牛掰	100	501
410011	英雄之铠	4	0	1	1	1	2	27	5	10	23	10	6	10	27	10	80	10	10	12	15	18	100	0		15.png	这件特别牛掰	100	501
420011	英雄之铠	4	0	2	2	1	2	47	5	10	23	10	6	10	27	10	80	20	10	12	15	18	100	0		15.png	这件特别牛掰	100	501
430011	英雄之铠	4	0	3	3	1	2	67	5	10	23	10	6	10	27	10	70	40	10	12	15	18	100	0		15.png	这件特别牛掰	100	501
440011	英雄之铠	4	0	4	4	1	2	94	5	10	23	10	6	10	27	10	60	60	10	12	15	18	100	0		15.png	这件特别牛掰	100	501
450011	英雄之铠	4	0	5	5	1	2	134	5	10	23	10	6	10	27	10	1	100	10	12	15	18	100	0		15.png	这件特别牛掰	100	501
410101	青鳞之铠	4	0	1	1	10	2	35	9	15	43	15	12	15	52	15	80	10	15	20	25	30	100	0		25.png	这件特别牛掰	100	501
420101	青鳞之铠	4	0	2	2	10	2	62	9	15	43	15	12	15	52	15	70	20	15	20	25	30	100	0		25.png	这件特别牛掰	100	501
430101	青鳞之铠	4	0	3	3	10	2	88	9	15	43	15	12	15	52	15	70	40	15	20	25	30	100	0		25.png	这件特别牛掰	100	501
440101	青鳞之铠	4	0	4	4	10	2	123	9	15	43	15	12	15	52	15	60	60	15	20	25	30	100	0		25.png	这件特别牛掰	100	501
450101	青鳞之铠	4	0	5	5	10	2	176	9	15	43	15	12	15	52	15	5	100	15	20	25	30	100	0		25.png	这件特别牛掰	100	501
410201	龙甲之铠	4	0	1	1	20	2	46	17	20	83	20	23	20	100	20	80	10	20	25	30	35	100	0		35.png	这件特别牛掰	100	501
420201	龙甲之铠	4	0	2	2	20	2	81	17	20	83	20	23	20	100	20	70	20	20	25	30	35	100	0		35.png	这件特别牛掰	100	501
430201	龙甲之铠	4	0	3	3	20	2	116	17	20	83	20	23	20	100	20	70	40	20	25	30	35	100	0		35.png	这件特别牛掰	100	501
