关键字	变量值	说明
shipperExtra	1.5	运镖良辰吉时资源翻倍系数
shipperClearRobCDCash	30	押镖清除抢夺CD时间消耗
shipperImmediate	80	押镖立即完成消耗
resignVipRequire	1	补签VIP等级要求
resignCashCost	30	补签消耗元宝数
guardRepressLimitEachDay	2	武将巡逻玩家每日镇压暴乱次数限制
guardProduceIntervalTime	720	武将巡逻生产奖励的时间间隔秒
guardMessIntervalTime	9000	武将巡逻暴乱的时间间隔秒
guardHourType1	1	武将巡逻驻守时间类型1
guardHourType2	3	武将巡逻驻守时间类型2
guardHourType3	8	武将巡逻驻守时间类型3
guardSoulCostPerHour	100	武将巡逻每小时消耗的将魂数
guardIntervalFragment	0.2	武将驻守每个间隔产出的碎片数量
guardRepressRecordDay	7	镇压消息最大保存天数
worldwarOpenLevel	40	武圣争霸开启等级
worldwarPlayerLimit	1000	武圣争霸单服人数限制
altarRewardPrayCount	5	祭坛翻倍奖励祈祷次数
altarRewardTime	5	祭坛翻倍奖励倍数
worldwarRefreshRankTime	60	跨服战排行榜刷新间隔的秒数
worldwarScoreDiff	1000	武圣争霸实力相同玩家积分差值
worldwarWaveRatio	100	武圣争霸各积分段玩家波动系数
worldwarMatchRange	20	武圣争霸匹配人数范围
worldwarMatchLimitPerDay	10	武圣争霸每日匹配上限
worldwarBuyMatchCash	20	武圣争霸每日购买匹配上限
worldwarBuyBattleCash	20	武圣争霸每日购买战斗元宝
worldwarRankBalanceTime	20.5	武圣争霸积分赛奖励结算时间
worldwarBattleLimitPerDay	10	武圣争霸每日挑战次数上限
worldwarShopSellCount	6	武圣争霸商店卖物品数量
worldwarShopRefreshInterval	2	武圣争霸商店刷新间隔小时数
worldwarShopRefreshCashCost	20	武圣争霸刷新消耗元宝数
countryChallengeLimit	3	皇城争霸挑战次数上限
countryReportCount	10	皇城争霸最大战报数
countryRankPositionLimit	3	皇城争霸排行榜最小官阶
countryBalanceTime	20	皇城争霸每日结算时间
renameCashCost	666	改名消耗的元宝数
chatContentMaxLength	100	聊天内容的最大字数
banChatDuration	24	禁言持续时间小时数
honorUserBulletCount	8	荣誉殿堂单个用户印象显示最大条数
honorBulletMaxCount	50	荣誉殿堂单个用户印象保存最大条数
weekGiftAwardCount	6	周礼包物品个数
monthCardDuration	30	月卡持续天数
levelGiftExtraDays	7	等级礼包可获得额外奖励的天数
initMakeEquip	250101	初始打造的装备
hookTimePerDay	8	每天组队挂机的小时数
onHookUserCount	15	挂机界面显示的用户数
hookQueueCount	7	挂机大厅刷新队伍个数
queueUserLimit	5	每个队伍的人数上限
hookAwardInterval	30	挂机奖励时间间隔分钟数
hookReposLimit	16	挂机仓库大小
hookReposPerExtend	4	挂机仓库每次扩展的大小
hookReposMaxVol	36	挂机仓库最大大小
hookReposExtendCost	100	挂机仓库每次扩展消耗
invadeLegionCount	3	掠夺刷新的军团个数
limitBuyBuyCount	10	每日限购购买次数
limitBuyCutCount	5	每日限购砍价次数
arenaWinXp	40	竞技场挑战成功获得的经验
arenaLossXp	40	竞技场挑战失败获得的经验
initSmelt	2000	初始熔炼值
patrolMaterial	200034	加速挂机令ID
petitionInitFan	0	请愿羽扇初始化个数
petitionMaxFan	10	请愿羽扇储量上限
petitionFanCD	300	请愿每个羽扇恢复需要秒数
legionShopRefreshCashCost	50	军团商店刷新消耗元宝数
legionShopRefreshInterval	24	军团商店刷新时间间隔小时数
legionShopSellCount	6	军团商店销售数量
maxFood	600	粮草的上限
grabBoonPerDay	10	每日抢红包个数上限
rouletteFreeReset	2	命运转盘每日免费重置次数
rouletteResetCash	30	命运转盘重置元宝消耗
marketOpenLevel	20	新黑市开启等级
marketPriceCount	12	新黑市价格变动最大次数
skillSlotUpgradeFailReturn	0.2	卡槽强化失败返还比例
battleSpeedUpLvLimit1	5	战斗加速等级限制1
battleSpeedUpLvLimit2	15	战斗加速等级限制2
mergeEquipCurrWeight	95	神器碎片合成当前等级权重
mergeEquipNextWeight	5	神器碎片合成下个等级权重
tavernDayHotCount	3	酒馆每日热点橙将数量
tavernHotAwardCount	6	酒馆热点招募奖励数量
tavernLimitHotDay	1	酒馆限时红将刷新天数间隔
tavernHotVIPRequire	3	酒馆热点招募VIP限制
tavernHotLuck	4	酒馆热点招募单次幸运值增加
tavernHotExchangeLuck	100	酒馆热点奖励兑换幸运值
tavernHotCashCost	488	酒馆热点招募元宝消耗
tavernHotFreeInterval	24	酒馆热点招募免费时间间隔小时数
tavernHotRefreshCost	200	热点招募刷新消耗
chartEnemyFormation	77001	将星录敌方阵型
towerRankListLimit	50	千重楼排行榜个数
legionRankListLimit	20	军团排行榜个数
worldwarRankListLimit	50	群雄争霸排行榜个数
fightForceRankListLimit	50	战斗力排行榜个数
arenaRankListLimit	50	擂台排行榜个数
arenaChanllengeUnitCost	6	擂台挑战CD单位时间消耗元宝数
arenaChanllengeUnitTime	60	擂台挑战CD单位时间
arenaChallengeCD	0	擂台挑战CD分钟数
heroQualityCostItem	300018	武将升品消耗的道具ID
countryJadeRoomCount	60	合璧房间数
countryJadePageRoomCount	4	合璧每页房间数量
countryJadeNeedTime	600	合璧需要时间
countryJadeProtectTime	120	合璧保护时间
countryJadeReportCount	10	战报保存数量
countryJadeMergeCount	2	玩家合璧次数
countryJadeFreeCount	2	玩家领壁次数
countryJadeShoutCD	30	喊话CD
countryJadeOpenDays	1,2,3,4,5,6,7	国家玉璧开启天
countryJadeOpenTime	0	国家玉璧开启时间
countryJadeOpenKeepTime	1440	国家玉璧开启持续时间（分）
countryJadeJadePrice	20	领取玉璧需要的国家币
legionWarShopRefreshCashCost	200	军团战商店刷新消耗元宝数
legionWarShopSellCount	10	军团战商店销售数量
countryJadeCloseJadeTime	2	合璧关闭前不能合璧的分钟数
luckyWheelTurnPond	4	幸运转盘每次转动奖池元宝增加数
luckyWheelTurnScore	1	幸运转盘每次转动积分增加数
luckyWheelRankRequire	200	幸运转盘进入排行榜的积分要求
luckyWheelCostItemId	200065	幸运转盘转动消耗道具ID
luckyWheelCost	20	幸运转盘转动元宝消耗
towerHireCount	2	千层塔每天雇佣人数
destinyNum	12	天命副本每难度限制最大波数
tavernLuckVIP	8	名人招募的VIP等级限制
tavernLuckScore	50	每张橙卡对应的人品值
growFund	888	成长基金
growFundUpgrade	2000	升级成长基金
growFundVip	1	购买成长基金Vip要求
growFundUpgradeVip	3	升级成长基金Vip要求
dragonGemSwapNum	2	龙晶同级转换需要数量
dragonGemMergeNum	3	龙晶转高级转换需要数量
arenaColdSpeedVipLimit	1	擂台清冷却vip限制
trainSpeedVipLimit	5	训练加速vip限制
shipperSpeedVipLimit	7	押镖加速vip限制
autoFunsionNeedVip	2	一键熔炼需要VIP
autoProgressTenVip	2	扫荡十次VIP开启(或者等级满足也开启)
skipPVPBattleVip	4	PVPVIP跳过战斗
skipPVPBattleLevel	40	PVP等级跳过战斗
trainSlotOpenCost4	300	4号训练位开开启金币消耗
autoRefineNeedVip	1	一键洗练需要VIP
autoRefineMaxNum	50	最大一键洗练次数
towergemShopRefreshInterval	86400	爬塔宝石商店刷新时间
activityTavernRecruitCount	200	酒馆招募每次招募多少次领取奖励
countryJadeExchangeCost	20	国家玉璧左右壁更换消耗
diggingToolInit	15	矿锄初始数
diggingHeight	10	挖矿矿区深度
diggingWidth	10	挖矿矿区宽度
diggingToolPerDeal	2	每次购买矿稿数量
diggingGemCount	4	挖矿矿区每次出现的龙晶矿数量
diggingGemRange	8	挖矿矿区龙晶矿出现的保底范围
diggingDragonRecover	5	挖矿放掉小恐龙矿锄恢复数
diggingMonsterProportion	0.7	挖矿怪物属性比例
exchangeRate	10	元宝和真实货币汇率
legionTrialShopRefreshCost	50	军团试炼商店刷新消耗
chatLevelLimit	15	聊天等级限制
chatSpeakLevelLimit	15	世界聊天发言等级限制
tavernCostLoveNum	30	爱心值消耗
lastActiveTime	300	玩家最后活动时间300秒内为在线
bossScoreRankListLimit	50	好友积分排行榜显示数量
shasCountPerDay	3	行军令每日发放数量
shasMaxCount	15	行军令最大数量
loginPopWindowLevelLimit	5	登陆弹窗等级限制
foodLimit	1200	系统粮草上限（超出直接系统吞掉）
vouchmoney	30	每日特惠达成条件充值金额（元）
promoteOrangeVipRestrict	5	橙将转盘开启VIP等级
promoteRedVipRestrict	9	红将转盘开启VIP等级
promoteOrangeCost	98	橙将转盘单抽元宝价格
promoteRedCost	198	红将转盘单抽元宝价格
promoteOrangeCostTen	980	橙将转盘十抽元宝价格
promoteRedCostTen	1980	红将转盘十抽元宝价格
promoteOrangeDiscount	0.5	橙将转盘抽取数量折算红将转盘抽取数量
promoteRedLuckConvert	1	红将抽奖次数与排行榜次数兑换比例
promoteRedRankRestrict	100	排行榜最低抽数要求
promoteRedRankTime	3	排行榜周期时间（天）
promoteQualityLimit	5	武将升阶最低品质
promoteRedRankBegin	2017:8:2:5:0:0	封将红将排行榜开启时间
promoteRedRankEnd	2017:8:7:4:59:59	封将红将排行榜结束时间
bagNewItemLimitLevel	40	背包道具不显示新的等级
lordLootWeight1	5	乐浪太守掉落组1权重
lordLootWeight2	95	乐浪太守掉落组2权重
stepItemId	350003	步步惊喜物品id
perStepItemNum	1	走一步消耗翠晶石数量
tenStepItemNum	10	走十步消耗翠晶石数量
stepItemCostNum	50	1个翠晶石消耗的元宝
stepItemGiveNum	3	步步惊喜每日赠送道具数量
perShipperCashAdd	6	每次运镖元宝刷新增加兑换值
shipperExchangeLimit	100	兑换红色物资需要的兑换值
skyGasCostId	400	人皇精气石物品ID
skyBloodCostId	401	人皇精血石物品ID
maxLimitMatCount	50	最大限时道具数量
partMaxAwakeLimit	3	部位极限觉醒开放需求普通觉醒星级限制
partEmbedLimit1	1	部位镶嵌槽位1开启需求普通觉醒星级限制(0为默认开启)
partEmbedLimit2	2	部位镶嵌槽位2开启需求普通觉醒星级限制(0为默认开启)
partEmbedLimit3	3	部位镶嵌槽位3开启需求普通觉醒星级限制(0为默认开启)
partEmbedLimit4	4	部位镶嵌槽位4开启需求普通觉醒星级限制(0为默认开启)
