A到B城	路径坐标X	路径坐标Y	路线坐标X	路线坐标Y
24-73	1640|2020	1380|1150	1779|1765|1758|1758|1769|1789|1811|1840|1865|1893|1919|1946|1973|1999|2028|2056|2081|2106|2136	1474|1453|1431|1408|1384|1364|1349|1338|1325|1310|1299|1291|1285|1275|1269|1274|1286|1298|1306
25-69	2969	1415	2895|2900|2900|2899|2891|2883|2870|2851|2829|2798|2769	1551|1526|1503|1480|1453|1431|1410|1395|1380|1370|1363
25-70	2921	1520	2915|2943|2960|2974|2988|2996|3008|3025	1566|1548|1524|1498|1473|1444|1416|1398
25-71	3270	1590	2919|2948|2973|2999|3026|3055|3081|3110|3145|3179|3204|3225|3251|3276|3300|3318|3330	1583|1589|1590|1586|1583|1586|1590|1591|1588|1580|1575|1569|1561|1550|1534|1515|1493
26-27	137	770	139|135|139|150|155|154|159|170|183|198|206|209	618|645|670|694|718|748|775|799|819|841|863|885
26-28	347|369	542|372	186|216|245|273|298|314|320|326|340|359|383|408	596|600|599|593|580|559|533|509|485|473|464|458
26-29	10	402	161|164|164|163|166|171|183|198|216|234|253|275|295|315|339|363|388|411|435|454	565|543|516|488|461|438|419|400|381|364|345|331|314|301|289|276|268|253|236|216
27-30	416	1021	229|253|274|299|320|341|360|374|381|380|375	936|954|968|979|989|1003|1020|1043|1069|1094|1118
27-31	416	650	244|269|286|308|329|356|379|410|441|465|493|520|541	904|896|878|856|841|830|821|818|821|828|836|851|865
28-31	589|469	597|830	471|496|511|524|528|524|518|509|500|498|504|516|531|538|541|545|551	469|484|504|524|548|573|595|616|638|668|695|718|741|764.667|791|818|841
28-32	630	530	466|495|521|541|564|580|599|609|618|633|653	455|459|471|489|508|525|549|574|596|624|646
29-33	920	40	488|511|543|565|593|619|643|670|696|728|755|785|809|833|849|864|869|869|866|861	201|210|208|195|185|176|173|175|179|188|196|210|229|249|268|291|320|343|371|401
30-34	343|80	1293|1350	365|365|361|349|335|316|298|274|255|238|220|203|186	1176|1203|1224|1243|1259|1273|1283|1289|1296|1308|1320|1339|1359
30-35	508	1266	384|401|421|445|465|490|513|535|559	1178|1196|1210|1223|1233|1246|1259|1270|1283
31-36	770	1000	585|603|624|644|661|684|704|721|741|755|766|780	895|920|939|949|959|969|984|1004|1025|1048|1070|1096
32-33	900	590	705|729|755|775|794|814|829|845|854|861|865|865|864	666|669|665|658|649|630|611|589|568|543|514|490|468
32-37	905	751	706|730|758|779|808|833|864|895|928|955|986|1014|1041	684|701|716|724|733|739|745|748|749|749|748|741|733
33-37	940	630	856|861|869|878|890|906|926|946|970|991|1014|1040	464|493|520|540|560|581|604|624|643|661|681|699
33-38	1060	248	879|910|939|954|974|990|1006|1028|1054|1083|1109	449|445|434|421|403|385|366|354|349|354|363
34-39	310|394	1500|1460	193|213|236|258|279|305|329|356|389|414|445	1413|1428|1443|1455|1466|1480|1489|1496|1500|1500|1498
35-39	500	1380	576|560|548|541|536|529|520|508|494	1311|1324|1343|1365|1386|1406|1428|1450|1469
35-40	860	1100	630|659|689|719|745|769|794|823|856|881|910|936	1310|1313|1310|1300|1283|1266|1251|1241|1239|1251|1268|1288
36-40	1000	1150	819|851|881|901|920|939|958|966|971	1134|1140|1149|1161|1179|1200|1225|1250|1280
36-41	980	880	818|840|859|878|894|906|924|941|961|979	1115|1106|1094|1075|1051|1026|1006|991|978|965
37-42	1120	902	1085|1089|1098|1111|1129|1148|1164|1183|1208|1226|1250|1271|1294	748|774|798|820|844|864|883|903|925|944|961|975|988
37-43	1260	840	1099|1119|1143|1166|1188|1216|1245|1275|1306|1333|1356	745|761|778|790|799|810|813|811|808|800|794
38-44	1256|1256	440|550	1165|1191|1210|1223|1231|1239|1248|1261|1278	379|393|409|431|456|483|508|536|561
38-45	1320	220	1178|1208|1231|1249|1273|1303|1333|1365|1391|1418|1443|1468|1496	381|376|365|351|340|334|336|341|354|370|385|398|405
39-46	690|800	1400|1400	500|529|558|580|603|624|645|666|688|718|746|768|780|784|785|788|798	1503|1508|1505|1494|1483|1466|1454|1448|1443|1444|1451|1464|1484|1509|1531|1558|1589
40-46	790|692	1300|1424	931|900|871|846|826|806|794|785|783|783|785|790|798	1323|1331|1343|1358|1375|1394|1416|1446|1474|1500|1529|1563|1591
41-42	1226	892	1029|1056|1085|1113|1141|1169|1195|1218|1246|1283	954|955|951|943|938|944|954|968|981|993
42-47	1280	1220	1336|1345|1344|1338|1326|1316|1308|1303|1306|1318	1029|1053|1086|1116|1148|1174|1198|1230|1255|1278
42-48	1549	1084	1341|1360|1386|1410|1435|1456|1479|1494|1508|1519	1025|1046|1060|1069|1080|1096|1116|1139|1159|1180
42-49	1649	861	1359|1386|1414|1440|1466|1496|1523|1549|1578|1605|1638|1665|1689|1708|1729	1014|1015|1011|1001|995|989|985|981|983|984|991|1004|1019|1033|1048
43-44	1375	724	1380|1375|1371|1371|1371|1365|1349|1325	751|730|708|688|664|639|620|601
43-50	1594	770	1408|1433|1459|1485|1513|1540|1569|1599|1623|1646	785|794|798|800|804|808|816|824|833|843
44-45	1447	537	1338|1368|1396|1418|1433|1444|1455|1470|1488|1506	594|588|576|561|541|520|500|480|461|443
44-75	1496|1636	570|680	1335|1359|1385|1414|1441|1469|1494|1515|1538|1563|1593|1621|1653|1676|1703|1734|1761	604|614|618|615|611|609|611|620|631|639|643|643|638|631|620|608|601
45-75	1793	542	1551|1573|1598|1625|1649|1678|1708|1734|1760|1778|1788	439|461|479|494|504|514|524|535|548|565|584
48-73	2000|2050	1330|1210	1560|1586|1618|1649|1681|1709|1739|1768|1795|1819|1844|1866|1894|1925|1949|1974|2000|2033|2061|2085|2114|2139	1231|1241|1244|1248|1248|1244|1244|1254|1263|1274|1284|1296|1301|1299|1289|1279|1271|1266|1276|1288|1299|1304
49-72	1920	830	1784|1809|1824|1835|1848|1861|1884|1910|1940|1970|2005|2034|2064	1071|1060|1045|1029|1013|995|980|969|963|963|965|969|974
50-75	1801	727	1705|1728|1745|1763|1771|1778|1784|1785|1788|1788|1789	845|831|815|799|776|756|735|711|685|656|631
51-52	2960	460	3065|3046|3018|2988|2959|2931|2896|2868|2843|2814|2785	579|565|554|545|540|536|538|540|546|549|548
51-53	3115	418	3076|3071|3074|3084|3088|3085|3079|3061|3046|3031|3014|2988	576|559|539|515|484|456|433|408|388|366|349|330
51-54	3380	378	3116|3144|3173|3201|3224|3246|3259|3270|3286|3303|3325|3351|3381|3405	586|583|589|599|599|591|570|545|523|500|486|481|480|479
52-55	2771	728	2751|2750|2754|2759|2769|2781|2794|2810|2828|2845	581|608|635|656|681|705|724|745|768|786
52-56	2721	268	2770|2774|2769|2748|2728|2704|2674|2645|2616|2589|2564|2536|2510|2483	524|501|480|460|445|433|423|421|424|431|440|446|450|446
53-56	2700	387	2943|2919|2896|2869|2836|2811|2780|2749|2723|2691|2661|2634|2601|2575|2546|2518|2488	335|348|359|370|379|385|389|396|406|414|416|414|419|429|440|445|444
53-57	2815	120	2945|2929|2910|2886|2863|2839|2813|2783|2755|2719|2686|2659|2629|2595	291|274|259|243|234|225|219|216|210|211|214|210|201|186
54-58	3540|3250	614|734	3459|3468|3474|3476|3475|3470|3458|3445|3424|3404|3378|3356|3346|3349|3361|3368	490|510|535|558|581|609|633|651|671|686|704|721|748|774|796|821
55-58	3178	550	2878|2909|2940|2960|2990|3024|3055|3081|3111|3138|3166|3195|3221|3249|3273|3294|3321|3346	809|806|795|778|761|753|745|736|730|728|728|734|744|758|771|784|805|830
55-59	2700	750	2830|2805|2773|2741|2718|2695|2673|2650|2629|2606	818|820|824|831|841|853|866|879|894|908
55-60	2974	929	2876|2899|2913|2920|2926|2934|2936|2926	813|830|854|879|901|931|963|985
56-61	2300	631	2456|2446|2429|2413|2403|2403|2405	479|506|534|558|585|618|650
57-62	2480|2288	250|200	2528|2501|2478|2451|2424|2390|2361|2343|2324|2300|2271	181|199|216|231|238|243|254|268|289|311|323
57-63	2565	108	2533|2506|2480|2453|2419|2386|2355|2326|2296|2268|2235|2205|2170|2139	171|164|150|138|135|129|125|128|128|131|129|121|110|99
58-60	3197|3000	1020|952	3373|3366|3348|3325|3293|3260|3231|3204|3169|3141|3111|3079|3046|3013|2980|2946	886|913|931|948|959|965|969|971|970|969|980|983|974|980|990|1000
58-64	3241	1053	3368|3361|3349|3334|3316|3298|3278|3258|3238|3214|3196|3174|3149|3126|3100	884|909|929|946|963|981|999|1020|1036|1058|1081|1100|1123|1140|1158
58-65	3580|3317	990|1092	3394|3409|3425|3439|3453|3459|3459|3455|3439|3421|3405|3393|3385|3376	870|885|901|921|940|964|991|1019|1040|1065|1083|1104|1123|1145
59-61	2522	770	2573|2564|2555|2543|2535|2524|2513|2498|2478|2450	889|868|849|829|803|778|754|729|706|691
59-66	2590	1074	2593|2595|2593|2588|2581|2573|2561|2541|2518|2490	945|979|1008|1030|1055|1080|1101|1118|1134|1153
60-64	3008	1135	2931|2964|2989|3001|3015|3035	1028|1045|1068|1096|1121|1146
60-66	2701	950	2878|2850|2818|2783|2749|2718|2691|2660|2631|2604|2579|2555|2533|2496	1033|1031|1030|1028|1033|1044|1053|1060|1070|1081|1096|1114|1130|1146
61-67	2425	558	2394|2383|2370|2349|2323|2294|2269|2246|2219|2185	668|650|634|624|619|608|591|576|570|563
62-67	2000	450	2226|2206|2185|2163|2143|2124|2114|2115|2125	356|374|390|409|428|449|475|501|525
62-68	2055	445	2219|2196|2170|2145|2113|2083|2048|2019|1984|1948|1916|1890|1865|1841	354|369|378|383|386|391|390|385|374|361|349|336|321|310
63-68	1825	33	2079|2049|2020|1991|1966|1934|1914|1893|1875|1858|1844|1834	90|103|113|121|133|148|165|183|199|223|248|268
64-69	2965|2750	1254|1190	3039|3018|2989|2960|2929|2894|2863|2830|2806|2790|2776|2765	1203|1219|1231|1240|1241|1240|1241|1246|1258|1279|1303|1324
64-70	3000	1284	3076|3081|3076|3063|3048|3035|3034|3039	1195|1219|1243|1268|1284|1309|1339|1368
65-70	3232	1347	3365|3356|3346|3330|3309|3291|3273|3251|3229|3204|3178|3146|3119|3089	1199|1220|1238|1255|1270|1286|1301|1321|1338|1348|1356|1366|1375|1383
65-71	3420	1352	3389|3400|3409|3411|3410|3406|3403|3395|3386|3370	1194|1225|1258|1288|1316|1345|1370|1394|1416|1438
66-72	2325|2250	1220|1034	2429|2400|2374|2344|2314|2298|2280|2261|2244|2229|2214|2196|2174|2151|2126	1168|1168|1169|1169|1163|1151|1136|1119|1096|1073|1051|1033|1018|1004|994
66-73	2300	1276	2440|2416|2393|2369|2338|2303|2274|2253|2226|2196	1193|1209|1224|1236|1248|1258|1268|1281|1298|1304
66-74	2791	1334	2484|2509|2531|2551|2565|2580|2593|2604|2608|2605|2599|2586|2571|2551|2530|2506	1178|1188|1198|1216|1231|1251|1273|1300|1330|1354|1380|1405|1429|1445|1459|1470
67-75	2001	570	2124|2094|2064|2034|2001|1965|1931|1903|1870|1833	568|576|589|593|593|593|590|590|588|595
68-75	1985	490	1846|1863|1878|1886|1894|1901|1904|1904|1899|1888|1868|1850|1828	319|339|361|389|415|443|471|501|533|555|575|591|599
70-71	3200	1200	3078|3099|3125|3141|3168|3191|3219|3241|3259|3279|3295|3309|3325	1385|1381|1373|1364|1355|1348|1344|1349|1361|1379|1395|1413|1435
