关卡ID	战斗ID	挑战限制	限制参数	首通奖励
101902	2007111	level	10	user.gold:60000,user.hero_exp:70000,material.1:13
101903	2007112	level	10	user.gold:60000,user.hero_exp:70000,material.1:13
101904	2007113	level	10	user.gold:60000,user.hero_exp:70000,material.1:14
101905	2007114	level	10	user.gold:60000,user.hero_exp:70000,material.1:14
102000	2007115	level	13	user.bindcash:100
102001	2007116	level	13	user.gold:60000,user.hero_exp:70000,material.1:14
102002	2007117	level	13	user.gold:60000,user.hero_exp:70000,material.1:14
102003	2007118	level	13	user.gold:60000,user.hero_exp:80000,material.1:14
102004	2007119	level	13	user.gold:60000,user.hero_exp:80000,material.1:14
102005	2007120	level	13	user.gold:60000,user.hero_exp:80000,material.1:14
102100	2007121	level	15	user.bindcash:100
102101	2007122	level	15	user.gold:60000,user.hero_exp:80000,material.1:14
102102	2007123	level	15	user.gold:60000,user.hero_exp:80000,material.1:14
102103	2007124	level	15	user.gold:60000,user.hero_exp:80000,material.1:14
102104	2007125	level	15	user.gold:70000,user.hero_exp:80000,material.1:14
102105	2007126	level	15	user.gold:70000,user.hero_exp:80000,material.1:14
102200	2007127	level	18	user.bindcash:100
102201	2007128	level	18	user.gold:70000,user.hero_exp:90000,material.1:14
102202	2007129	level	18	user.gold:70000,user.hero_exp:90000,material.1:14
102203	2007130	level	18	user.gold:70000,user.hero_exp:90000,material.1:15
102204	2007131	level	18	user.gold:70000,user.hero_exp:90000,material.1:15
102205	2007132	level	18	user.gold:80000,user.hero_exp:90000,material.1:15
102300	2007133	level	20	user.bindcash:100
102301	2007134	level	20	user.gold:80000,user.hero_exp:90000,material.1:15
102302	2007135	level	20	user.gold:90000,user.hero_exp:90000,material.1:15
102303	2007136	level	20	user.gold:90000,user.hero_exp:90000,material.1:15
102304	2007137	level	20	user.gold:90000,user.hero_exp:100000,material.1:15
102305	2007138	level	20	user.gold:90000,user.hero_exp:100000,material.1:15
102400	2007139	level	23	user.bindcash:100
102401	2007140	level	23	user.gold:90000,user.hero_exp:100000,material.1:15
102402	2007141	level	23	user.gold:90000,user.hero_exp:100000,material.1:15
102403	2007142	level	23	user.gold:90000,user.hero_exp:100000,material.1:15
102404	2007143	level	23	user.gold:90000,user.hero_exp:100000,material.1:15
102405	2007144	level	23	user.gold:90000,user.hero_exp:100000,material.1:15
102500	2007145	level	25	user.bindcash:100
102501	2007146	level	25	user.gold:90000,user.hero_exp:100000,material.1:15
102502	2007147	level	25	user.gold:90000,user.hero_exp:100000,material.1:15
102503	2007148	level	25	user.gold:90000,user.hero_exp:100000,material.1:15
102504	2007149	level	25	user.gold:90000,user.hero_exp:100000,material.1:15
102505	2007150	level	25	user.gold:90000,user.hero_exp:100000,material.1:15
102600	2007151	level	28	user.bindcash:100
102601	2007152	level	28	user.gold:90000,user.hero_exp:100000,material.1:15
102602	2007153	level	28	user.gold:90000,user.hero_exp:100000,material.1:15
102603	2007154	level	28	user.gold:90000,user.hero_exp:110000,material.1:15
102604	2007155	level	28	user.gold:90000,user.hero_exp:110000,material.1:15
102605	2007156	level	28	user.gold:90000,user.hero_exp:110000,material.1:15
102700	2007157	level	30	user.bindcash:100
102701	2007158	level	30	user.gold:90000,user.hero_exp:110000,material.1:15
102702	2007159	level	30	user.gold:100000,user.hero_exp:110000,material.1:15
102703	2007160	level	30	user.gold:100000,user.hero_exp:110000,material.1:15
102704	2007161	level	30	user.gold:100000,user.hero_exp:120000,material.1:15
102705	2007162	level	30	user.gold:100000,user.hero_exp:120000,material.1:15
102800	2007163	level	33	user.bindcash:100
102801	2007164	level	33	user.gold:100000,user.hero_exp:120000,material.1:15
102802	2007165	level	33	user.gold:100000,user.hero_exp:120000,material.1:15
102803	2007166	level	33	user.gold:100000,user.hero_exp:120000,material.1:15
102804	2007167	level	33	user.gold:100000,user.hero_exp:120000,material.1:15
102805	2007168	level	33	user.gold:100000,user.hero_exp:120000,material.1:15
102900	2007169	level	35	user.bindcash:100
102901	2007170	level	35	user.gold:100000,user.hero_exp:120000,material.1:15
102902	2007171	level	35	user.gold:100000,user.hero_exp:120000,material.1:16
102903	2007172	level	35	user.gold:100000,user.hero_exp:120000,material.1:16
102904	2007173	level	35	user.gold:100000,user.hero_exp:120000,material.1:16
102905	2007174	level	35	user.gold:100000,user.hero_exp:120000,material.1:16
103000	2007175	level	38	user.bindcash:100
103001	2007176	level	38	user.gold:100000,user.hero_exp:120000,material.1:16
103002	2007177	level	38	user.gold:100000,user.hero_exp:120000,material.1:16
103003	2007178	level	38	user.gold:100000,user.hero_exp:130000,material.1:16
103004	2007179	level	38	user.gold:100000,user.hero_exp:130000,material.1:16
103005	2007180	level	38	user.gold:100000,user.hero_exp:130000,material.1:16
103100	2007181	level	40	user.bindcash:100
103101	2007182	level	40	user.gold:100000,user.hero_exp:130000,material.1:16
103102	2007183	level	40	user.gold:100000,user.hero_exp:130000,material.1:16
103103	2007184	level	40	user.gold:110000,user.hero_exp:130000,material.1:16
103104	2007185	level	40	user.gold:110000,user.hero_exp:130000,material.1:16
103105	2007186	level	40	user.gold:110000,user.hero_exp:130000,material.1:16
103200	2007187	level	42	user.bindcash:100
103201	2007188	level	42	user.gold:110000,user.hero_exp:130000,material.1:16
103202	2007189	level	42	user.gold:110000,user.hero_exp:130000,material.1:16
103203	2007190	level	42	user.gold:110000,user.hero_exp:130000,material.1:16
103204	2007191	level	42	user.gold:110000,user.hero_exp:130000,material.1:16
103205	2007192	level	42	user.gold:110000,user.hero_exp:130000,material.1:16
103300	2007193	level	43	user.bindcash:100
103301	2007194	level	43	user.gold:110000,user.hero_exp:130000,material.1:16
103302	2007195	level	43	user.gold:110000,user.hero_exp:140000,material.1:16
103303	2007196	level	43	user.gold:110000,user.hero_exp:140000,material.1:16
103304	2007197	level	43	user.gold:110000,user.hero_exp:140000,material.1:16
103305	2007198	level	43	user.gold:110000,user.hero_exp:140000,material.1:16
103400	2007199	level	45	user.bindcash:100
103401	2007200	level	45	user.gold:110000,user.hero_exp:140000,material.1:16
103402	2007201	level	45	user.gold:110000,user.hero_exp:140000,material.1:16
103403	2007202	level	45	user.gold:110000,user.hero_exp:140000,material.1:16
103404	2007203	level	45	user.gold:110000,user.hero_exp:140000,material.1:16
103405	2007204	level	45	user.gold:110000,user.hero_exp:140000,material.1:16
103500	2007205	level	47	user.bindcash:100
103501	2007206	level	47	user.gold:110000,user.hero_exp:140000,material.1:17
103502	2007207	level	47	user.gold:110000,user.hero_exp:140000,material.1:17
103503	2007208	level	47	user.gold:110000,user.hero_exp:140000,material.1:17
103504	2007209	level	47	user.gold:110000,user.hero_exp:140000,material.1:17
103505	2007210	level	47	user.gold:110000,user.hero_exp:140000,material.1:17
103600	2007211	level	48	user.bindcash:100
103601	2007212	level	48	user.gold:110000,user.hero_exp:140000,material.1:17
103602	2007213	level	48	user.gold:110000,user.hero_exp:140000,material.1:17
103603	2007214	level	48	user.gold:110000,user.hero_exp:140000,material.1:17
103604	2007215	level	48	user.gold:110000,user.hero_exp:140000,material.1:17
103605	2007216	level	48	user.gold:110000,user.hero_exp:150000,material.1:17
103700	2007217	level	50	user.bindcash:100
103701	2007218	level	50	user.gold:110000,user.hero_exp:150000,material.1:17
103702	2007219	level	50	user.gold:110000,user.hero_exp:150000,material.1:17
103703	2007220	level	50	user.gold:110000,user.hero_exp:150000,material.1:17
103704	2007221	level	50	user.gold:110000,user.hero_exp:150000,material.1:17
103705	2007222	level	50	user.gold:110000,user.hero_exp:150000,material.1:17
103800	2007223	level	52	user.bindcash:100
103801	2007224	level	52	user.gold:110000,user.hero_exp:150000,material.1:17
103802	2007225	level	52	user.gold:110000,user.hero_exp:150000,material.1:17
103803	2007226	level	52	user.gold:110000,user.hero_exp:150000,material.1:17
103804	2007227	level	52	user.gold:120000,user.hero_exp:150000,material.1:17
103805	2007228	level	52	user.gold:120000,user.hero_exp:150000,material.1:17
103900	2007229	level	53	user.bindcash:100
103901	2007230	level	53	user.gold:120000,user.hero_exp:150000,material.1:17
103902	2007231	level	53	user.gold:120000,user.hero_exp:150000,material.1:18
103903	2007232	level	53	user.gold:120000,user.hero_exp:150000,material.1:18
103904	2007233	level	53	user.gold:120000,user.hero_exp:150000,material.1:18
103905	2007234	level	53	user.gold:120000,user.hero_exp:150000,material.1:18
104000	2007235	level	55	user.bindcash:100
104001	2007236	level	55	user.gold:120000,user.hero_exp:150000,material.1:18
104002	2007237	level	55	user.gold:120000,user.hero_exp:150000,material.1:18
104003	2007238	level	55	user.gold:120000,user.hero_exp:160000,material.1:18
104004	2007239	level	55	user.gold:120000,user.hero_exp:160000,material.1:18
104005	2007240	level	55	user.gold:120000,user.hero_exp:160000,material.1:18
104100	2007241	level	57	user.bindcash:100
104101	2007242	level	57	user.gold:120000,user.hero_exp:160000,material.1:18
104102	2007243	level	57	user.gold:120000,user.hero_exp:160000,material.1:18
104103	2007244	level	57	user.gold:120000,user.hero_exp:160000,material.1:18
104104	2007245	level	57	user.gold:120000,user.hero_exp:160000,material.1:18
104105	2007246	level	57	user.gold:120000,user.hero_exp:160000,material.1:18
104200	2007247	level	58	user.bindcash:100
104201	2007248	level	58	user.gold:120000,user.hero_exp:160000,material.1:18
104202	2007249	level	58	user.gold:120000,user.hero_exp:160000,material.1:18
104203	2007250	level	58	user.gold:120000,user.hero_exp:160000,material.1:18
104204	2007251	level	58	user.gold:120000,user.hero_exp:160000,material.1:18
104205	2007252	level	58	user.gold:120000,user.hero_exp:160000,material.1:18
104300	2007253	level	60	user.bindcash:100
104301	2007254	level	60	user.gold:120000,user.hero_exp:160000,material.1:18
104302	2007255	level	60	user.gold:120000,user.hero_exp:160000,material.1:18
104303	2007256	level	60	user.gold:120000,user.hero_exp:160000,material.1:18
104304	2007257	level	60	user.gold:120000,user.hero_exp:160000,material.1:18
104305	2007258	level	60	user.gold:120000,user.hero_exp:160000,material.1:18
104400	2007259	level	62	user.bindcash:100
104401	2007260	level	62	user.gold:120000,user.hero_exp:160000,material.1:18
104402	2007261	level	62	user.gold:120000,user.hero_exp:160000,material.1:18
104403	2007262	level	62	user.gold:120000,user.hero_exp:160000,material.1:18
104404	2007263	level	62	user.gold:120000,user.hero_exp:160000,material.1:18
104405	2007264	level	62	user.gold:120000,user.hero_exp:160000,material.1:18
104500	2007265	level	63	user.bindcash:100
104501	2007266	level	63	user.gold:120000,user.hero_exp:160000,material.1:18
104502	2007267	level	63	user.gold:120000,user.hero_exp:160000,material.1:18
104503	2007268	level	63	user.gold:120000,user.hero_exp:160000,material.1:18
104504	2007269	level	63	user.gold:120000,user.hero_exp:160000,material.1:18
104505	2007270	level	63	user.gold:120000,user.hero_exp:160000,material.1:18
104600	2007271	level	65	user.bindcash:100
104601	2007272	level	65	user.gold:120000,user.hero_exp:160000,material.1:18
104602	2007273	level	65	user.gold:120000,user.hero_exp:160000,material.1:18
104603	2007274	level	65	user.gold:120000,user.hero_exp:170000,material.1:18
104604	2007275	level	65	user.gold:120000,user.hero_exp:170000,material.1:18
104605	2007276	level	65	user.gold:120000,user.hero_exp:170000,material.1:18
104700	2007277	level	67	user.bindcash:100
104701	2007278	level	67	user.gold:120000,user.hero_exp:170000,material.1:18
104702	2007279	level	67	user.gold:120000,user.hero_exp:170000,material.1:18
104703	2007280	level	67	user.gold:120000,user.hero_exp:170000,material.1:18
104704	2007281	level	67	user.gold:130000,user.hero_exp:170000,material.1:18
104705	2007282	level	67	user.gold:130000,user.hero_exp:170000,material.1:18
104800	2007283	level	68	user.bindcash:100
104801	2007284	level	68	user.gold:130000,user.hero_exp:170000,material.1:18
104802	2007285	level	68	user.gold:130000,user.hero_exp:170000,material.1:18
104803	2007286	level	68	user.gold:130000,user.hero_exp:170000,material.1:18
104804	2007287	level	68	user.gold:130000,user.hero_exp:170000,material.1:18
104805	2007288	level	68	user.gold:130000,user.hero_exp:170000,material.1:18
104900	2007289	level	70	user.bindcash:100
104901	2007290	level	70	user.gold:130000,user.hero_exp:170000,material.1:18
104902	2007291	level	70	user.gold:130000,user.hero_exp:170000,material.1:18
104903	2007292	level	70	user.gold:130000,user.hero_exp:170000,material.1:18
104904	2007293	level	70	user.gold:130000,user.hero_exp:170000,material.1:18
104905	2007294	level	70	user.gold:130000,user.hero_exp:170000,material.1:18
105000	2007295	level	72	user.bindcash:100
105001	2007296	level	72	user.gold:130000,user.hero_exp:170000,material.1:18
105002	2007297	level	72	user.gold:130000,user.hero_exp:170000,material.1:18
105003	2007298	level	72	user.gold:130000,user.hero_exp:170000,material.1:18
105004	2007299	level	72	user.gold:130000,user.hero_exp:170000,material.1:18
105005	2007300	level	72	user.gold:130000,user.hero_exp:170000,material.1:18
105100	2007301	level	73	user.bindcash:100
105101	2007302	level	73	user.gold:130000,user.hero_exp:170000,material.1:18
105102	2007303	level	73	user.gold:130000,user.hero_exp:170000,material.1:18
105103	2007304	level	73	user.gold:130000,user.hero_exp:170000,material.1:18
105104	2007305	level	73	user.gold:130000,user.hero_exp:170000,material.1:18
105105	2007306	level	73	user.gold:130000,user.hero_exp:170000,material.1:19
105200	2007307	level	75	user.bindcash:100
105201	2007308	level	75	user.gold:130000,user.hero_exp:170000,material.1:19
105202	2007309	level	75	user.gold:130000,user.hero_exp:170000,material.1:19
105203	2007310	level	75	user.gold:130000,user.hero_exp:170000,material.1:19
105204	2007311	level	75	user.gold:130000,user.hero_exp:170000,material.1:19
105205	2007312	level	75	user.gold:130000,user.hero_exp:170000,material.1:19
105300	2007313	level	77	user.bindcash:100
105301	2007314	level	77	user.gold:130000,user.hero_exp:170000,material.1:19
105302	2007315	level	77	user.gold:130000,user.hero_exp:170000,material.1:19
105303	2007316	level	77	user.gold:130000,user.hero_exp:170000,material.1:19
105304	2007317	level	77	user.gold:130000,user.hero_exp:170000,material.1:19
105305	2007318	level	77	user.gold:130000,user.hero_exp:170000,material.1:19
105400	2007319	level	78	user.bindcash:100
105401	2007320	level	78	user.gold:130000,user.hero_exp:170000,material.1:19
105402	2007321	level	78	user.gold:130000,user.hero_exp:170000,material.1:19
105403	2007322	level	78	user.gold:130000,user.hero_exp:170000,material.1:19
105404	2007323	level	78	user.gold:130000,user.hero_exp:170000,material.1:19
105405	2007324	level	78	user.gold:130000,user.hero_exp:170000,material.1:19
105500	2007325	level	80	user.bindcash:100
105501	2007326	level	80	user.gold:130000,user.hero_exp:170000,material.1:19
105502	2007327	level	80	user.gold:130000,user.hero_exp:170000,material.1:19
105503	2007328	level	80	user.gold:130000,user.hero_exp:170000,material.1:19
105504	2007329	level	80	user.gold:130000,user.hero_exp:170000,material.1:19
105505	2007330	level	80	user.gold:130000,user.hero_exp:170000,material.1:19
105600	2007331	level	82	user.bindcash:100
105601	2007332	level	82	user.gold:130000,user.hero_exp:170000,material.1:19
105602	2007333	level	82	user.gold:130000,user.hero_exp:170000,material.1:19
105603	2007334	level	82	user.gold:130000,user.hero_exp:170000,material.1:19
105604	2007335	level	82	user.gold:130000,user.hero_exp:170000,material.1:19
105605	2007336	level	82	user.gold:130000,user.hero_exp:170000,material.1:19
105700	2007337	level	83	user.bindcash:100
105701	2007338	level	83	user.gold:130000,user.hero_exp:170000,material.1:19
105702	2007339	level	83	user.gold:130000,user.hero_exp:170000,material.1:19
105703	2007340	level	83	user.gold:130000,user.hero_exp:170000,material.1:19
105704	2007341	level	83	user.gold:130000,user.hero_exp:170000,material.1:19
105705	2007342	level	83	user.gold:130000,user.hero_exp:170000,material.1:19
105800	2007343	level	85	user.bindcash:100
105801	2007344	level	85	user.gold:130000,user.hero_exp:170000,material.1:19
105802	2007345	level	85	user.gold:130000,user.hero_exp:170000,material.1:19
105803	2007346	level	85	user.gold:130000,user.hero_exp:170000,material.1:19
105804	2007347	level	85	user.gold:130000,user.hero_exp:170000,material.1:19
105805	2007348	level	85	user.gold:130000,user.hero_exp:170000,material.1:19
105900	2007349	level	87	user.bindcash:100
105901	2007350	level	87	user.gold:130000,user.hero_exp:170000,material.1:19
105902	2007351	level	87	user.gold:130000,user.hero_exp:170000,material.1:19
105903	2007352	level	87	user.gold:130000,user.hero_exp:170000,material.1:19
105904	2007353	level	87	user.gold:130000,user.hero_exp:170000,material.1:19
105905	2007354	level	87	user.gold:130000,user.hero_exp:170000,material.1:19
106000	2007355	level	88	user.bindcash:100
106001	2007356	level	88	user.gold:130000,user.hero_exp:170000,material.1:19
106002	2007357	level	88	user.gold:130000,user.hero_exp:170000,material.1:19
106003	2007358	level	88	user.gold:130000,user.hero_exp:170000,material.1:19
106004	2007359	level	88	user.gold:130000,user.hero_exp:170000,material.1:19
106005	2007360	level	88	user.gold:130000,user.hero_exp:180000,material.1:19
106100	2007361	level	90	user.bindcash:100
106101	2007362	level	90	user.gold:130000,user.hero_exp:180000,material.1:19
106102	2007363	level	90	user.gold:130000,user.hero_exp:180000,material.1:19
106103	2007364	level	90	user.gold:130000,user.hero_exp:180000,material.1:19
106104	2007365	level	90	user.gold:130000,user.hero_exp:180000,material.1:19
106105	2007366	level	90	user.gold:130000,user.hero_exp:180000,material.1:19
106200	2007367	level	91	user.bindcash:100
106201	2007368	level	91	user.gold:130000,user.hero_exp:180000,material.1:19
106202	2007369	level	91	user.gold:130000,user.hero_exp:180000,material.1:19
106203	2007370	level	91	user.gold:130000,user.hero_exp:180000,material.1:19
106204	2007371	level	91	user.gold:130000,user.hero_exp:180000,material.1:19
106205	2007372	level	91	user.gold:140000,user.hero_exp:180000,material.1:19
106300	2007373	level	93	user.bindcash:100
106301	2007374	level	93	user.gold:140000,user.hero_exp:180000,material.1:19
106302	2007375	level	93	user.gold:140000,user.hero_exp:180000,material.1:19
106303	2007376	level	93	user.gold:140000,user.hero_exp:180000,material.1:19
106304	2007377	level	93	user.gold:140000,user.hero_exp:180000,material.1:19
106305	2007378	level	93	user.gold:140000,user.hero_exp:180000,material.1:19
106400	2007379	level	94	user.bindcash:100
106401	2007380	level	94	user.gold:140000,user.hero_exp:180000,material.1:19
106402	2007381	level	94	user.gold:140000,user.hero_exp:180000,material.1:19
106403	2007382	level	94	user.gold:140000,user.hero_exp:180000,material.1:19
106404	2007383	level	94	user.gold:140000,user.hero_exp:180000,material.1:19
106405	2007384	level	94	user.gold:140000,user.hero_exp:180000,material.1:19
106500	2007385	level	96	user.bindcash:100
106501	2007386	level	96	user.gold:140000,user.hero_exp:180000,material.1:19
106502	2007387	level	96	user.gold:140000,user.hero_exp:180000,material.1:19
106503	2007388	level	96	user.gold:140000,user.hero_exp:180000,material.1:19
106504	2007389	level	96	user.gold:140000,user.hero_exp:180000,material.1:19
106505	2007390	level	96	user.gold:140000,user.hero_exp:180000,material.1:19
106600	2007391	level	97	user.bindcash:100
106601	2007392	level	97	user.gold:140000,user.hero_exp:180000,material.1:19
106602	2007393	level	97	user.gold:140000,user.hero_exp:180000,material.1:20
106603	2007394	level	97	user.gold:140000,user.hero_exp:180000,material.1:20
106604	2007395	level	97	user.gold:140000,user.hero_exp:180000,material.1:20
106605	2007396	level	97	user.gold:140000,user.hero_exp:180000,material.1:20
106700	2007397	level	99	user.bindcash:100
106701	2007398	level	99	user.gold:140000,user.hero_exp:180000,material.1:20
106702	2007399	level	99	user.gold:140000,user.hero_exp:180000,material.1:20
106703	2007400	level	99	user.gold:140000,user.hero_exp:180000,material.1:20
106704	2007401	level	99	user.gold:140000,user.hero_exp:180000,material.1:20
106705	2007402	level	99	user.gold:140000,user.hero_exp:180000,material.1:20
106800	2007403	level	100	user.bindcash:100
106801	2007404	level	100	user.gold:140000,user.hero_exp:180000,material.1:20
106802	2007405	level	100	user.gold:140000,user.hero_exp:180000,material.1:20
106803	2007406	level	100	user.gold:140000,user.hero_exp:180000,material.1:20
106804	2007407	level	100	user.gold:140000,user.hero_exp:180000,material.1:20
106805	2007408	level	100	user.gold:140000,user.hero_exp:180000,material.1:20
106900	2007409	level	102	user.bindcash:100
106901	2007410	level	102	user.gold:140000,user.hero_exp:180000,material.1:20
106902	2007411	level	102	user.gold:140000,user.hero_exp:180000,material.1:20
106903	2007412	level	102	user.gold:140000,user.hero_exp:180000,material.1:20
106904	2007413	level	102	user.gold:140000,user.hero_exp:180000,material.1:20
106905	2007414	level	102	user.gold:140000,user.hero_exp:180000,material.1:20
107000	2007415	level	103	user.bindcash:100
107001	2007416	level	103	user.gold:140000,user.hero_exp:180000,material.1:20
107002	2007417	level	103	user.gold:140000,user.hero_exp:180000,material.1:20
