城池ID	城池组ID	等级限制	探索星星要求	地图碎片ID	城池名称	城池类型	城池类型2	是否翻转	默认势力	boss展示	城市坐标X	城市坐标Y	山贼坐标	背景块	功能开启	新手引导标示	开启龙	是否开启功能	是否显示进贡	进贡	战斗背景	小战斗ID	战斗ID	普通消耗粮草	普通掉落经验	挑战次数上限	掉落道具组ID	小战斗首次掉落道具	首次掉落道具	精英怪物ID	精英消耗粮草	精英掉落经验	精英挑战次数上限	精英掉落道具组ID	精英首次掉落道具	切磋怪物ID	切磋消耗粮草	切磋掉落经验	切磋挑战次数上限	切磋掉落道具组ID	太守消耗粮草	太守产出ID	巡逻每轮金币	巡逻每轮经验	巡逻掉落装备等级	巡逻掉落装备品质	巡逻掉落装备部位1	巡逻掉落装备部位2	巡逻掉落装备个数	描述	切磋描述
15	5	1	36	18	15.平原	5	7	1	6	0	3473.67	3232.8	17|100|1|-1|200	4	0	27	0	任务	1	equip.150201.0:1,equip.350201.0:1,material.200001:50	1		15	5	user.xp:200	99	15			215	5	user.xp:200	30	215	dress.123:1	405	5	user.xp:200	5	405	2	615	59	30	20	4	0	0	1	    汉献帝建安十一年，平原国除为郡。建安十八年，曹操分平原郡、乐安郡与勃海郡数县置乐陵郡。平原郡之乐陵、厌次两县改属乐陵郡，后曹植封侯于此。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
16	5	1	36	19	16.邺城	2	9	0	6	0	3234.15	3048.92	17|100|1|-1|200	10	0	8	0	精英关卡	1		1		16	5	user.xp:200	99	16			216	5	user.xp:200	30	216	dress.124:1	406	5	user.xp:200	5	406	2	616	60	30	20	4	4	0	1	    公元191年，袁绍自韩馥的手中夺取此地，公元204年，曹操大破审配而取代之 	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
17	5	1	36	17	17.壶关	4	1	0	6	0	3083.79	3197.89	17|100|1|-1|200	4	altar	13	0	祭坛	1		1	20171|20172	17	5	user.xp:200	99	17	10171|10172		217	5	user.xp:200	30	217	dress.125:1	409	5	user.xp:200	5	409	2	617	61	30	20	4	0	0	1	    壶关，又名壶关山、壶口山、壶山、崞口。以两峰夹峙而中虚，壮如壶口，故名，是一处天然的军事要地。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
18	5	1	36	16	18.太原	2	1	0	6	0	2867.91	3082.18	19|300|1|-100|100	3	0	0	0		1		1	20181|20182	18	5	user.xp:200	99	18	10181|10182		218	5	user.xp:200	30	218	dress.126:1	410	5	user.xp:200	5	410	2	618	61	30	20	4	0	0	1	    晋阳，也称龙城。控带山河，踞天下之肩背”，“襟四塞之要冲，控五原之都邑。太原三面环山，黄河第二大支流汾河自北向南流经，有“锦绣太原城”的美誉。 	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
19	5	1	36	15	19.上党	4	2	1	6	1	2604.72	3190.13	19|300|1|-100|100	3	0	12	0	军团	1	equip.150301.0:1,equip.250301.0:1,equip.350301.0:1,equip.450301.0:1,equip.550301.0:1,equip.650301.0:1	1	20191|20192	19	5	user.xp:200	99	19	10191|10192		219	5	user.xp:200	30	219	dress.121:1	411	5	user.xp:200	5	411	2	619	62	30	20	4	6	2	1	    两汉时，上党郡隶并州、冀州，建安元年移治于壶关城。三国时张杨曾任当地太守，后来和匈奴於夫罗投靠袁绍阵营。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
20	6	1	93	23	20.弘农	7	1	1	6	0	2808.35	2831.71	22|200|1|-100|100	9	0	25	0	太守争夺	1		1	20201|20202	20	5	user.xp:200	99	20	10201|10202	user.food:2	220	5	user.xp:200	30	220	dress.122:1	412	5	user.xp:200	5	412	2	620	63	30	30	4	3	5	1	    中国汉朝至唐朝的一个郡治，西汉元鼎四年，汉武帝设立弘农郡，设郡治在秦国名关函谷关，县名也是弘农，东汉、三国沿置，遭到董卓废黜的少帝，被任命为弘农王，流放至此地。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
21	6	1	93	24	21.函谷关	4	1	1	6	0	2587.13	2922.48	22|200|1|-100|100	9	shop	14	0	商店	1		1	20211|20212	21	5	user.xp:200	99	21	10211|10212	user.gold:40000	221	5	user.xp:200	30	221	dress.123:1	413	5	user.xp:200	5	413	2	621	63	30	30	4	0	0	1	    函谷关，西据高原，东临绝涧，南接秦岭，北塞黄河，是中国历史上建置最早的雄关要塞之一。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
22	6	1	93	25	22.潼关	5	4	1	6	0	2436.84	2777.04	22|200|1|-100|100	9	0	0	0		1		1	20221|20222	22	5	user.xp:200	99	22	10221|10222		222	5	user.xp:200	30	222	dress.124:1	414	5	user.xp:200	5	414	2	622	64	30	30	4	0	0	1	    东汉末，曹操为预防关西兵乱，于建安元年始设潼关，并同时废弃函谷关。东汉建安十六年，曹操与马超、韩遂在潼关大战，潼关之名，始见于史。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
23	6	1	93	22	23.洛阳	2	5	0	6	0	2607.68	2631.38	22|200|1|-100|100	9	0	26	0	切磋	1	equip.150301.0:1,equip.250301.0:1,equip.350301.0:1,equip.450301.0:1,equip.550301.0:1,equip.650301.0:1	1	20231|20232	23	5	user.xp:200	99	23	10231|10232	user.food:5	223	5	user.xp:200	30	223	dress.125:1	415	5	user.xp:200	5	415	2	623	65	30	30	4	0	0	1	    古称雒阳，因地处洛河之阳而得名。黄初元年，魏文帝曹丕定都洛阳，变雒阳为洛阳，设司隶校尉部。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
24	6	1	93	21	24.荥阳	1	2	0	6	1	2881.51	2574.21	22|200|1|-100|100	9	0	0	5		1		1	20241|20242	24	5	user.xp:200	99	24	10241|10242	card.10009:1	224	5	user.xp:200	30	224	dress.126:1	418	5	user.xp:200	5	418	2	624	65	30	30	4	1	0	1	    汉王刘邦在彭城大败后逃至下邑，收集散亡的士卒，于汉二年五月驻军荥阳南。 	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
25	7	1	117	14	25.泾阳	2	1	0	11	0	2361.76	3042.52	26|200|1|-100|100	3	0	0	0		1		1	20251|20252	25	5	user.xp:200	99	25	10251|10252		225	5	user.xp:200	30	225	dress.131:1	416	5	user.xp:200	5	416	2	625	66	30	30	4	0	0	1	    曹魏划分全国为12个州，池阳县属曹魏雍州冯翊郡。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
26	7	1	117	13	26.咸阳	9	1	1	11	0	1967.37	2756.82	26|200|1|-100|100	8	0	29	0	突破	1	material.1:50	1	20261|20262	26	5	user.xp:200	99	26	10261|10262		226	5	user.xp:200	30	226	dress.132:1	417	5	user.xp:200	5	417	2	626	67	30	30	4	4	0	1	    位于陕西省八百里秦川腹地，渭水穿南，嵕山亘北，山水俱阳，故称咸阳。咸阳也是古丝绸之路的第一站，中原地区通往大西北的要冲。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
27	7	1	117	12	27.安定	7	2	1	11	0	2044.87	3043.76	28|50|-200|-1|100	8	train	10	0	训练馆	1	equip.450301.0:1,equip.650301.0:1,equip.550301.0:1	1	20271|20272	27	5	user.xp:200	99	27	10271|10272		227	5	user.xp:200	30	227	dress.133:1	419	5	user.xp:200	5	419	2	627	67	30	30	4	0	0	1	    三国时安定郡属雍州，治临泾县，领临泾、彭阳、泾阳、泾阴、阴密、乌支、朝那6县。公元211年，马超在渭水之战中失利，败逃至此，后受追击，逃往冀城。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
28	7	1	117	11	28.街亭	7	2	1	11	0	1743.53	3183.35	28|50|-200|-1|100	8	arena	9	0	竞技场	1		1	20281|20282	28	5	user.xp:200	99	28	10281|10282		228	5	user.xp:200	30	228	dress.134:1	420	5	user.xp:200	5	420	2	628	68	30	30	4	6	0	1	    街亭之战发生于诸葛亮第一次北伐战争期间，也是这次北伐战争中一场决定性战事。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
29	8	1	138	10	29.秦川	4	1	0	11	1	1659.26	2798.61	32|100|1|-20|100	8	boat	11	0	玩法大厅	1	equip.150301.0:1,equip.350301.0:1	1	20291|20292	29	5	user.xp:200	99	29	10291|10292		229	5	user.xp:200	30	229	dress.135:1	421	5	user.xp:200	5	421	2	629	69	30	30	4	0	0	1	    《三国志·蜀志·诸葛亮传》：“天下有变，则命一上将将荆州之军以向宛、洛，将军身率益州之众出于秦川，百姓孰敢不箪食壶浆以迎将军者乎？” 	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
30	8	33	138	9	30.陈仓	4	1	0	11	0	1409.72	2630.79	33|100|1|-20|100	8	0	102	0		1	equip.150401.0:1,equip.250401.0:1,equip.350401.0:1,equip.450401.0:1,equip.550401.0:1,equip.650401.0:1	1	20301|20302	30	5	user.xp:200	99	30	10301|10302		230	5	user.xp:200	30	230	dress.136:1	423	5	user.xp:200	5	423	2	630	69	30	30	4	0	0	1	    陈仓之战，蜀汉诸葛亮第二次北伐时，与曹魏的一场战役。魏将郝昭以千余之兵拒守诸葛亮数万大军，双方相持二十余日，诸葛亮无计可破，因粮尽而被迫退兵。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
31	8	1	138	8	31.散关	7	2	0	11	0	1115.89	2475.62	33|100|1|-20|100	8	0	0	0		1		1	20311|20312	31	5	user.xp:200	99	31	10311|10312		231	5	user.xp:200	30	231	dress.131:1	425	5	user.xp:200	5	425	2	631	70	30	30	4	2	0	1	    《三国志》：“（建兴六年）春，亮复出散关，围陈仓，曹真拒之。”	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
32	8	1	138	6	32.祁山	9	1	0	11	0	1014.35	2766.31	32|100|1|-20|100	7	0	21	0	挖矿	1	equip.450401.0:1,material.200001:2	1	20321|20322	32	5	user.xp:200	99	32	10321|10322	user.gold:19500,dragon.101:1	232	5	user.xp:200	30	232	dress.132:1	426	5	user.xp:200	5	426	2	632	71	30	40	5	0	0	1	    祁山位于西汉水北侧，西起北岈。连山秀举，罗峰兢峙，被誉为“九州”之名阻，天下之奇峻，地扼蜀陇咽喉；势控攻守要冲，为魏蜀必争之地。诸葛亮出兵北伐曹魏，六出祁山。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
33	8	1	138	7	33.天水	1	2	0	11	1	1340.01	2848.79	32|100|1|-20|100	8	0	0	6		1	equip.650401.0:1,material.200001:2	1	20331|20332	33	5	user.xp:200	99	33	10331|10332	card.10010:1	233	5	user.xp:200	30	233	dress.133:1	427	5	user.xp:200	5	427	2	633	72	30	40	5	0	0	1	    三国魏复名天水郡，为秦州治。仍治冀县，领6县。这里是蜀汉名将-姜维的出生地。诸葛亮在第一次北伐时，使妙计让姜维归降。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
34	9	1	168	5	34.武都	9	1	0	5	1	477.21	2947.78	34|150|1|-100|100	7	0	0	0	合璧	1		1	20341|20342	34	5	user.xp:200	99	34	10341|10342		234	5	user.xp:200	30	234	dress.134:1	428	5	user.xp:200	5	428	2	634	73	30	40	5	3	5	1	    蜀汉建兴七年，诸葛亮派姜维、陈式取武都、阴平二郡，属蜀汉益州武都郡，下隶下辨、武都、故道、河池、沮、羌道六县，郡治复置下辨。263年10月，魏将邓艾率兵南下。经武都，出阴平，用奇兵陷成都，导致了蜀汉政权的覆灭。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
35	9	40	168	4	35.陇西	4	1	0	5	0	895.72	3047.69	34|150|1|-100|100	7	0	104	0		1		1	20351|20352	35	5	user.xp:200	99	35	10351|10352		235	5	user.xp:200	30	235	dress.135:1	429	5	user.xp:200	5	429	2	635	74	30	40	5	1	0	1	    属于魏国，魏国初设置秦州，属秦州，后秦州并入雍州，属雍州，郡治迁至襄武县，辖地县数目减少。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
36	9	1	168	3	36.西凉	2	4	1	5	0	1338.7	3231.05	35|150|1|-100|100	2	0	41	0	神器合成	0	equip.150401.0:1,material.200001:2	1	20361|20362	36	5	user.xp:200	99	36	10361|10362		236	5	user.xp:200	30	236	dress.136:1	431	5	user.xp:200	5	431	2	636	75	30	40	5	0	0	1	    西凉有两军，一支是凉州军阀董卓的部队（凉州政府军），董卓死后由部将李傕率领。另一支是马腾、韩遂的部队（凉州起义军），后马超继任西凉军首领。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
37	10	1	186	2	37.张掖	4	1	0	5	0	1594.23	3581.67	38|250|1|-160|200	2	0	0	0		1	equip.250401.0:1,material.200001:2	1	20371|20372	37	5	user.xp:200	99	37	10371|10372		237	5	user.xp:200	30	237	dress.141:1	433	5	user.xp:200	5	433	2	637	76	30	40	5	0	0	1	    以“张国臂掖，以通西域”而得名，河西走廊中段。别名“甘州”，素有“桑麻之地”、“渔米之乡”之美称。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
38	10	1	186	1	38.酒泉	8	2	0	5	0	963.73	3538.15	38|250|1|-160|200	1	0	42	0		1		1	20381|20382	38	5	user.xp:200	99	38	10381|10382		238	5	user.xp:200	30	238	dress.142:1	434	5	user.xp:200	5	434	2	638	77	30	40	5	4	0	1	    酒泉为汉代河西四郡之一，是中原通往西域的交通要塞，丝绸之路的重镇。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
39	10	1	186	61	39.敦煌	1	2	1	5	1	532.45	3665.92	39|250|-100|-120|100	1	0	0	7		1	equip.350401.0:1,material.200001:2	1	20391|20392	39	5	user.xp:200	99	39	10391|10392	card.10011:1	239	5	user.xp:200	30	239	dress.143:1	435	5	user.xp:200	5	435	2	639	78	30	40	5	0	0	1	    敦煌位于通往西域、中亚和欧洲的交通要道——丝绸之路上，拥有繁荣的商贸活动。以“敦煌石窟”、“敦煌壁画”闻名天下。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
40	11	1	204	26	40.长安	2	5	0	7	0	2117.45	2624.75	40|250|-1|-120|100	9	0	0	0	皇城争霸	1		1	20401|20402	40	5	user.xp:200	99	40	10401|10402		240	5	user.xp:200	30	240	dress.144:1	436	5	user.xp:200	5	436	2	640	79	30	40	5	6	0	1	    汉末年，天下纷争，汉室势微，初平元年，西凉军阀董卓挟汉献帝迁都长安，192年4月，董卓被王允、吕布刺杀，192年6月，董卓部将李傕等人又攻入长安，后又相互连兵攻杀。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
41	11	44	204	27	41.武关	6	4	1	7	0	2316.87	2395.09	43|-250|-50|-120|100	9	0	106	0		1	equip.550401.0:1,material.200001:4	1	20411|20412	41	5	user.xp:200	99	41	10411|10412		241	5	user.xp:200	30	241	dress.145:1	438	5	user.xp:200	5	438	2	641	80	30	40	5	0	0	1	    与函谷关、萧关、大散关成为“秦之四塞”。武关历史悠久，远在春秋时即以建置，名曰“少习关”，战国时改为“武关”。关城建立在峡谷间一座较为平坦的高地上，北依高峻的少习山，南濒险要。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
42	11	1	204	28	42.虎牢关	6	4	0	7	0	2795.87	2391.93	43|250|-100|-120|100	9	boat3	44	0	战役	1		1	20421|20422	42	5	user.xp:200	99	42	10421|10422	user.shas:6	242	5	user.xp:200	30	242	dress.146:1	440	5	user.xp:200	5	440	2	642	82	30	40	5	2	0	1	    虎牢关是洛阳东边门户和重要的关隘，因周穆王在此牢虎而得名。虎牢关前，三英战吕布。让虎牢关名垂天下。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
43	11	1	204	29	43.宛城	5	4	0	7	0	2591.33	2235.74	43|-250|-50|-120|100	9	boat2	20	0	巡逻	1	equip.150501.0:1,material.200001:4	1	20431|20432	43	5	user.xp:200	99	43	10431|10432		243	5	user.xp:200	30	243	dress.141:1	442	5	user.xp:200	5	442	2	643	84	30	40	5	0	0	1	    三国时期这里曾为张肃的据点。197年，张肃奇袭曹操，使典韦、曹昂、曹安民皆战死。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
