类型	名称	描述	资源	是否有次数限制	前往位置	是否返回当前界面	访问限制
1801	text_getWayName1801	text_getWayDesc1801	altar1.png	0	altar1	1	modelopen:altar
1802	text_getWayName1802	text_getWayDesc1802	altar2.png	0	altar2	1	modelopen:altar
1803	text_getWayName1803	text_getWayDesc1803	altar3.png	0	altar3	1	modelopen:altar
1804	text_getWayName1804	text_getWayDesc1804	altar4.png	0	altar4	1	modelopen:altar
1901	text_getWayName1901	text_getWayDesc1901	equipSplit.png	0	equipSplit	0	0
2001	text_getWayName2001	text_getWayDesc2001	heroSplit.png	0	heroSplit	0	0
2101	text_getWayName2101	text_getWayDesc2101	runeSplit.png	0	runeSplit	1	0
2201	text_getWayName2201	text_getWayDesc2201	statueAward.png	0	statueAward	0	modelopen:statueAward
2301	text_getWayName2301	text_getWayDesc2301	lucky_rotate.png	0	activity:lucky_rotate	1	0
2401	text_getWayName2401	text_getWayDesc2401	evolution.png	0	evolution	1	modelopen:evolution
2501	text_getWayName2501	text_getWayDesc2501	limit_exchange.png	0	activity:limit_exchange	1	0
10101	text_getWayName10100	text_getWayDesc10100	shop101.png	0	shop:101	1	modelopen:shop
10102	text_getWayName10100	text_getWayDesc10100	shop101.png	0	shop:102	1	modelopen:shop
10111	text_getWayName10100	text_getWayDesc10100	shop101.png	0	shop:101:5:1	1	modelopen:shop
10201	text_getWayName10201	text_getWayDesc10201	shop201.png	0	shop:201	1	modelopen:shop
10202	text_getWayName10202	text_getWayDesc10202	shop201.png	0	shop:202	1	modelopen:shop
10301	text_getWayName10301	text_getWayDesc10301	shop301.png	0	shop:301	1	modelopen:equipRefine
10302	text_getWayName10302	text_getWayDesc10302	shop302.png	0	shop:302	1	modelopen:equipShop
10303	text_getWayName10303	text_getWayDesc10303	shop303.png	0	shop:303	1	modelopen:equipShop
10304	text_getWayName10304	text_getWayDesc10304	shop304.png	0	shop:304	1	modelopen:equip5
10305	text_getWayName10305	text_getWayDesc10305	shop305.png	0	shop:305	1	modelopen:equip6
10306	text_getWayName10306	text_getWayDesc10306	shop306.png	0	shop:306	1	modelopen:equip7
10401	text_getWayName10401	text_getWayDesc10401	shop401.png	0	shop:401	1	modelopen:task
10501	text_getWayName10501	text_getWayDesc10501	shop501.png	0	shop:501	1	modelopen:arena
10601	text_getWayName10601	text_getWayDesc10601	shop601.png	0	shop:601	1	modelopen:team
10701	text_getWayName10701	text_getWayDesc10701	shop701.png	0	shop:701	1	modelopen:legion
10801	text_getWayName10801	text_getWayDesc10801	shop801.png	0	shop:801	1	modelopen:kingMe
20001	text_getWayName20001	text_getWayDesc20001	shop7011.png	0	shop:701	1	modelopen:legion
30001	text_getWayName30001	text_getWayDesc30001	activity:sign_high.png	0	activity:sign_high	1	0
30002	text_getWayName30002	text_getWayDesc30002	perks4.png	0	perks4	1	0
