城池ID	城池组ID(1-蓝；2-绿；3-红)	城池名称	城池类型	是否翻转	城市坐标X	城市坐标Y	路点X轴偏移	路点Y轴偏移	背景块	相邻城池	守卫数量	守卫战力修正	城池积分	城池属性效果	城池属性值
22	1	22.潼关	1	0	1179	1530	-26	-34	17	17|46	10	0.06	10	11|12	10|10
23	1	23.洛阳	1	0	1557	1577	-26	-34	11	18|47	10	0.06	10	11|12	10|10
24	1	24.荥阳	1	0	1824	1530	-26	-34	18	18|48|73	10	0.06	10	11|12	10|10
25	1	[关隘].函谷关	2	1	2909	1615	-26	-50	13	20|21|69|70|71	10	0.2	30	11|12	30|30
26	2	[主城].咸阳	3	0	207	642	-46	-50	22	27|28|29	0	0	0	0	0
27	2	27.安定	1	0	236	951	-26	-34	22	26|30|31	15	0.2	15	11|12	30|30
28	2	28.街亭	1	0	469	497	-26	-34	29	26|31|32	15	0.2	15	11|12	30|30
29	2	29.秦川	1	0	489	237	-26	-34	29	26|33	15	0.2	15	11|12	30|30
30	2	30.陈仓	1	0	393	1193	-26	-34	15	27|34|35	13	0.15	15	11|12	20|20
31	2	31.散关	1	0	591	918	-26	-34	23	27|28|36	13	0.15	15	11|12	20|20
32	2	32.祁山	1	0	705	701	-26	-34	23	28|33|37	13	0.15	15	11|12	20|20
33	2	33.天水	1	0	880	478	-26	-34	30	29|32|37|38	13	0.15	15	11|12	20|20
34	2	34.武都	1	0	194	1430	-26	-34	15	30|39	12	0.1	10	11|12	15|15
35	2	35.陇西	1	0	624	1340	-26	-34	16	30|39|40	12	0.1	10	11|12	15|15
36	2	36.西凉	1	0	819	1161	-26	-34	16	31|40|41	12	0.1	10	11|12	15|15
37	2	37.张掖	1	0	1107	761	-26	-34	24	32|33|42|43	12	0.1	10	11|12	15|15
38	2	38.酒泉	1	0	1166	412	-26	-34	31	33|44|45	12	0.1	10	11|12	15|15
39	2	39.敦煌	1	0	502	1530	-26	-34	15	34|35|46	12	0.1	10	11|12	15|15
40	2	40.长安	1	0	992	1354	-26	-34	16	35|36|46	10	0.06	10	11|12	10|10
41	2	41.武关	1	0	1026	982	-26	-34	24	36|42	10	0.06	10	11|12	10|10
42	2	[关隘].虎牢关	2	0	1349	1044	-26	-50	24	37|41|47|48|49	10	0.2	30	11|12	30|30
43	2	43.宛城	1	0	1414	819	-26	-34	24	37|44|50	10	0.06	10	11|12	10|10
44	2	44.博望坡	1	0	1336	630	-26	-34	24	38|43|45|75	10	0.06	10	11|12	10|10
45	2	45.新野	1	0	1559	444	-26	-34	32	38|44|75	10	0.06	10	11|12	10|10
46	2	[关隘].剑门关	2	0	835	1664	-26	-50	9	15|16|22|39|40	10	0.2	30	11|12	30|30
47	2	47.上庸	1	0	1360	1346	-26	-34	17	23|42	10	0.06	10	11|12	10|10
48	2	48.阆中	1	0	1564	1255	-26	-34	18	24|42|73	10	0.06	10	11|12	10|10
49	2	49.夷陵	1	0	1779	1111	-26	-34	18	42|72	10	0.06	10	11|12	10|10
50	2	50.公安	1	0	1701	887	-26	-34	25	43|75	10	0.06	10	11|12	10|10
51	3	[主城].江陵	3	0	3145	648	-46	-50	28	52|53|54	0	0	0	0	0
52	3	52.江夏	1	0	2781	588	-26	-34	27	51|55|56	15	0.2	15	11|12	30|30
53	3	53.长坂坡	1	0	2995	357	-26	-34	34	51|56|57	15	0.2	15	11|12	30|30
54	3	54.襄阳	1	0	3465	514	-26	-34	35	51|58	15	0.2	15	11|12	30|30
55	3	55.巴丘	1	0	2878	843	-26	-34	27	52|58|59|60	13	0.15	15	11|12	20|20
56	3	56.武陵	1	0	2487	481	-26	-34	33	52|53|61	13	0.15	15	11|12	20|20
57	3	57.零陵	1	0	2588	211	-26	-34	34	53|62|63	13	0.15	15	11|12	20|20
58	3	58.桂阳	1	0	3397	892	-26	-34	28	54|55|60|64|65	13	0.15	15	11|12	20|20
59	3	59.南海	1	0	2606	954	-26	-34	27	55|61|66	12	0.1	10	11|12	15|15
60	3	60.桂林	1	0	2931	1056	-26	-34	20	55|58|64|66	12	0.1	10	11|12	15|15
61	3	61.交趾	1	0	2438	727	-26	-34	26	56|59|67	12	0.1	10	11|12	15|15
62	3	62.长沙	1	0	2267	371	-26	-34	33	57|67|68	12	0.1	10	11|12	15|15
63	3	63.豫章	1	0	2142	126	-26	-34	33	57|68	12	0.1	10	11|12	15|15
64	3	64.赤壁	1	0	3085	1214	-26	-34	21	58|60|69|70	12	0.1	10	11|12	15|15
65	3	65.华容	1	0	3391	1209	-26	-34	21	58|70|71	10	0.06	10	11|12	10|10
66	3	[关隘].嘉峪关	2	1	2485	1208	-26	-50	19	59|60|72|73|74	10	0.2	30	11|12	30|30
67	3	67.柴桑	1	0	2175	589	-26	-34	26	61|62|75	10	0.06	10	11|12	10|10
68	3	68.鄱阳	1	0	1843	340	-26	-34	32	62|63|75	10	0.06	10	11|12	10|10
69	3	69.庐陵	1	0	2770	1396	-26	-34	20	25|64	10	0.06	10	11|12	10|10
70	3	70.建安	1	0	3074	1425	-26	-34	21	25|64|65|71	10	0.06	10	11|12	10|10
71	3	71.丹阳	1	0	3369	1496	-26	-34	21	25|65|70	10	0.06	10	11|12	10|10
72	3	72.会稽	1	0	2126	1024	-26	-34	26	49|66	10	0.06	10	11|12	10|10
73	3	73.吴郡	1	0	2187	1345	-26	-34	19	24|48|66	10	0.06	10	11|12	10|10
74	3	74.牛渚	1	0	2498	1521	-26	-34	19	19|66	10	0.06	10	11|12	10|10
75	3	[关隘].阳平关	2	1	1827	640	-26	-50	25	44|45|50|67|68	10	0.2	30	11|12	30|30
