强化等级	需求君主等级	白装至本级消耗	绿装至本级消耗	蓝装至本级消耗	紫装至本级消耗	橙装至本级消耗	红装至本级消耗	金装至本级消耗
39	20	user.gold:-170	user.gold:-210	user.gold:-250	user.gold:-290	user.gold:-330	user.gold:-370	user.gold:-410
40	20	user.gold:-170	user.gold:-210	user.gold:-250	user.gold:-290	user.gold:-330	user.gold:-370	user.gold:-410
41	21	user.gold:-180	user.gold:-220	user.gold:-260	user.gold:-310	user.gold:-350	user.gold:-390	user.gold:-430
42	21	user.gold:-180	user.gold:-220	user.gold:-260	user.gold:-310	user.gold:-350	user.gold:-390	user.gold:-430
43	22	user.gold:-200	user.gold:-240	user.gold:-290	user.gold:-340	user.gold:-390	user.gold:-440	user.gold:-480
44	22	user.gold:-200	user.gold:-240	user.gold:-290	user.gold:-340	user.gold:-390	user.gold:-440	user.gold:-480
45	23	user.gold:-210	user.gold:-260	user.gold:-310	user.gold:-360	user.gold:-410	user.gold:-460	user.gold:-510
46	23	user.gold:-210	user.gold:-260	user.gold:-310	user.gold:-360	user.gold:-410	user.gold:-460	user.gold:-510
47	24	user.gold:-220	user.gold:-280	user.gold:-330	user.gold:-390	user.gold:-440	user.gold:-500	user.gold:-550
48	24	user.gold:-220	user.gold:-280	user.gold:-330	user.gold:-390	user.gold:-440	user.gold:-500	user.gold:-550
49	25	user.gold:-240	user.gold:-300	user.gold:-360	user.gold:-420	user.gold:-480	user.gold:-540	user.gold:-600
50	25	user.gold:-240	user.gold:-300	user.gold:-360	user.gold:-420	user.gold:-480	user.gold:-540	user.gold:-600
51	26	user.gold:-260	user.gold:-320	user.gold:-390	user.gold:-450	user.gold:-520	user.gold:-580	user.gold:-640
52	26	user.gold:-260	user.gold:-320	user.gold:-390	user.gold:-450	user.gold:-520	user.gold:-580	user.gold:-640
53	27	user.gold:-280	user.gold:-350	user.gold:-420	user.gold:-490	user.gold:-560	user.gold:-630	user.gold:-700
54	27	user.gold:-280	user.gold:-350	user.gold:-420	user.gold:-490	user.gold:-560	user.gold:-630	user.gold:-700
55	28	user.gold:-300	user.gold:-370	user.gold:-450	user.gold:-520	user.gold:-600	user.gold:-670	user.gold:-740
56	28	user.gold:-300	user.gold:-370	user.gold:-450	user.gold:-520	user.gold:-600	user.gold:-670	user.gold:-740
57	29	user.gold:-320	user.gold:-390	user.gold:-470	user.gold:-550	user.gold:-630	user.gold:-710	user.gold:-780
58	29	user.gold:-320	user.gold:-390	user.gold:-470	user.gold:-550	user.gold:-630	user.gold:-710	user.gold:-780
59	30	user.gold:-350	user.gold:-440	user.gold:-530	user.gold:-610	user.gold:-700	user.gold:-790	user.gold:-870
60	30	user.gold:-350	user.gold:-440	user.gold:-530	user.gold:-610	user.gold:-700	user.gold:-790	user.gold:-870
61	31	user.gold:-560	user.gold:-690	user.gold:-830	user.gold:-970	user.gold:-1110	user.gold:-1250	user.gold:-1380
62	31	user.gold:-560	user.gold:-690	user.gold:-830	user.gold:-970	user.gold:-1110	user.gold:-1250	user.gold:-1380
63	32	user.gold:-580	user.gold:-730	user.gold:-870	user.gold:-1020	user.gold:-1160	user.gold:-1310	user.gold:-1450
64	32	user.gold:-580	user.gold:-730	user.gold:-870	user.gold:-1020	user.gold:-1160	user.gold:-1310	user.gold:-1450
65	33	user.gold:-740	user.gold:-920	user.gold:-1100	user.gold:-1290	user.gold:-1470	user.gold:-1650	user.gold:-1830
66	33	user.gold:-740	user.gold:-920	user.gold:-1100	user.gold:-1290	user.gold:-1470	user.gold:-1650	user.gold:-1830
67	34	user.gold:-780	user.gold:-970	user.gold:-1170	user.gold:-1360	user.gold:-1560	user.gold:-1750	user.gold:-1940
68	34	user.gold:-780	user.gold:-970	user.gold:-1170	user.gold:-1360	user.gold:-1560	user.gold:-1750	user.gold:-1940
69	35	user.gold:-860	user.gold:-1070	user.gold:-1280	user.gold:-1500	user.gold:-1710	user.gold:-1920	user.gold:-2130
70	35	user.gold:-860	user.gold:-1070	user.gold:-1280	user.gold:-1500	user.gold:-1710	user.gold:-1920	user.gold:-2130
71	36	user.gold:-910	user.gold:-1140	user.gold:-1370	user.gold:-1590	user.gold:-1820	user.gold:-2050	user.gold:-2270
72	36	user.gold:-910	user.gold:-1140	user.gold:-1370	user.gold:-1590	user.gold:-1820	user.gold:-2050	user.gold:-2270
73	37	user.gold:-990	user.gold:-1240	user.gold:-1490	user.gold:-1730	user.gold:-1980	user.gold:-2230	user.gold:-2470
74	37	user.gold:-990	user.gold:-1240	user.gold:-1490	user.gold:-1730	user.gold:-1980	user.gold:-2230	user.gold:-2470
75	38	user.gold:-1060	user.gold:-1320	user.gold:-1580	user.gold:-1850	user.gold:-2110	user.gold:-2370	user.gold:-2630
76	38	user.gold:-1060	user.gold:-1320	user.gold:-1580	user.gold:-1850	user.gold:-2110	user.gold:-2370	user.gold:-2630
77	39	user.gold:-1160	user.gold:-1450	user.gold:-1740	user.gold:-2030	user.gold:-2320	user.gold:-2610	user.gold:-2900
78	39	user.gold:-1160	user.gold:-1450	user.gold:-1740	user.gold:-2030	user.gold:-2320	user.gold:-2610	user.gold:-2900
79	40	user.gold:-1240	user.gold:-1550	user.gold:-1860	user.gold:-2170	user.gold:-2480	user.gold:-2790	user.gold:-3100
80	40	user.gold:-1240	user.gold:-1550	user.gold:-1860	user.gold:-2170	user.gold:-2480	user.gold:-2790	user.gold:-3100
81	41	user.gold:-1310	user.gold:-1630	user.gold:-1960	user.gold:-2290	user.gold:-2610	user.gold:-2940	user.gold:-3260
82	41	user.gold:-1310	user.gold:-1630	user.gold:-1960	user.gold:-2290	user.gold:-2610	user.gold:-2940	user.gold:-3260
83	42	user.gold:-1410	user.gold:-1760	user.gold:-2120	user.gold:-2470	user.gold:-2820	user.gold:-3170	user.gold:-3520
84	42	user.gold:-1410	user.gold:-1760	user.gold:-2120	user.gold:-2470	user.gold:-2820	user.gold:-3170	user.gold:-3520
85	43	user.gold:-1560	user.gold:-1950	user.gold:-2340	user.gold:-2730	user.gold:-3120	user.gold:-3510	user.gold:-3890
86	43	user.gold:-1560	user.gold:-1950	user.gold:-2340	user.gold:-2730	user.gold:-3120	user.gold:-3510	user.gold:-3890
87	44	user.gold:-1660	user.gold:-2070	user.gold:-2490	user.gold:-2900	user.gold:-3320	user.gold:-3730	user.gold:-4140
88	44	user.gold:-1660	user.gold:-2070	user.gold:-2490	user.gold:-2900	user.gold:-3320	user.gold:-3730	user.gold:-4140
89	45	user.gold:-1780	user.gold:-2220	user.gold:-2660	user.gold:-3110	user.gold:-3550	user.gold:-3990	user.gold:-4430
90	45	user.gold:-1780	user.gold:-2220	user.gold:-2660	user.gold:-3110	user.gold:-3550	user.gold:-3990	user.gold:-4430
91	46	user.gold:-1900	user.gold:-2370	user.gold:-2850	user.gold:-3320	user.gold:-3800	user.gold:-4270	user.gold:-4740
92	46	user.gold:-1900	user.gold:-2370	user.gold:-2850	user.gold:-3320	user.gold:-3800	user.gold:-4270	user.gold:-4740
93	47	user.gold:-2100	user.gold:-2620	user.gold:-3150	user.gold:-3670	user.gold:-4200	user.gold:-4720	user.gold:-5240
94	47	user.gold:-2100	user.gold:-2620	user.gold:-3150	user.gold:-3670	user.gold:-4200	user.gold:-4720	user.gold:-5240
95	48	user.gold:-2250	user.gold:-2810	user.gold:-3380	user.gold:-3940	user.gold:-4500	user.gold:-5060	user.gold:-5620
96	48	user.gold:-2250	user.gold:-2810	user.gold:-3380	user.gold:-3940	user.gold:-4500	user.gold:-5060	user.gold:-5620
97	49	user.gold:-2570	user.gold:-3210	user.gold:-3860	user.gold:-4500	user.gold:-5140	user.gold:-5780	user.gold:-6420
98	49	user.gold:-2570	user.gold:-3210	user.gold:-3860	user.gold:-4500	user.gold:-5140	user.gold:-5780	user.gold:-6420
99	50	user.gold:-2760	user.gold:-3450	user.gold:-4140	user.gold:-4830	user.gold:-5520	user.gold:-6210	user.gold:-6900
100	50	user.gold:-2760	user.gold:-3450	user.gold:-4140	user.gold:-4830	user.gold:-5520	user.gold:-6210	user.gold:-6900
101	51	user.gold:-4480	user.gold:-5600	user.gold:-6720	user.gold:-7840	user.gold:-8960	user.gold:-10100	user.gold:-11200
102	51	user.gold:-4480	user.gold:-5600	user.gold:-6720	user.gold:-7840	user.gold:-8960	user.gold:-10100	user.gold:-11200
103	52	user.gold:-5240	user.gold:-6550	user.gold:-7860	user.gold:-9170	user.gold:-10500	user.gold:-11800	user.gold:-13100
104	52	user.gold:-5240	user.gold:-6550	user.gold:-7860	user.gold:-9170	user.gold:-10500	user.gold:-11800	user.gold:-13100
105	53	user.gold:-6040	user.gold:-7550	user.gold:-9060	user.gold:-10600	user.gold:-12100	user.gold:-13600	user.gold:-15100
106	53	user.gold:-6040	user.gold:-7550	user.gold:-9060	user.gold:-10600	user.gold:-12100	user.gold:-13600	user.gold:-15100
107	54	user.gold:-6560	user.gold:-8200	user.gold:-9840	user.gold:-11500	user.gold:-13100	user.gold:-14800	user.gold:-16400
108	54	user.gold:-6560	user.gold:-8200	user.gold:-9840	user.gold:-11500	user.gold:-13100	user.gold:-14800	user.gold:-16400
109	55	user.gold:-7320	user.gold:-9150	user.gold:-11000	user.gold:-12800	user.gold:-14600	user.gold:-16500	user.gold:-18300
110	55	user.gold:-7320	user.gold:-9150	user.gold:-11000	user.gold:-12800	user.gold:-14600	user.gold:-16500	user.gold:-18300
111	56	user.gold:-7880	user.gold:-9850	user.gold:-11800	user.gold:-13800	user.gold:-15800	user.gold:-17700	user.gold:-19700
112	56	user.gold:-7880	user.gold:-9850	user.gold:-11800	user.gold:-13800	user.gold:-15800	user.gold:-17700	user.gold:-19700
113	57	user.gold:-8680	user.gold:-10900	user.gold:-13000	user.gold:-15200	user.gold:-17400	user.gold:-19500	user.gold:-21700
114	57	user.gold:-8680	user.gold:-10900	user.gold:-13000	user.gold:-15200	user.gold:-17400	user.gold:-19500	user.gold:-21700
115	58	user.gold:-9400	user.gold:-11800	user.gold:-14100	user.gold:-16500	user.gold:-18800	user.gold:-21200	user.gold:-23500
116	58	user.gold:-9400	user.gold:-11800	user.gold:-14100	user.gold:-16500	user.gold:-18800	user.gold:-21200	user.gold:-23500
117	59	user.gold:-10400	user.gold:-13100	user.gold:-15700	user.gold:-18300	user.gold:-20900	user.gold:-23500	user.gold:-26100
118	59	user.gold:-10400	user.gold:-13100	user.gold:-15700	user.gold:-18300	user.gold:-20900	user.gold:-23500	user.gold:-26100
119	60	user.gold:-11300	user.gold:-14100	user.gold:-16900	user.gold:-19700	user.gold:-22600	user.gold:-25400	user.gold:-28200
120	60	user.gold:-11300	user.gold:-14100	user.gold:-16900	user.gold:-19700	user.gold:-22600	user.gold:-25400	user.gold:-28200
121	61	user.gold:-11600	user.gold:-14600	user.gold:-17500	user.gold:-20400	user.gold:-23300	user.gold:-26200	user.gold:-29100
122	61	user.gold:-11600	user.gold:-14600	user.gold:-17500	user.gold:-20400	user.gold:-23300	user.gold:-26200	user.gold:-29100
123	62	user.gold:-11900	user.gold:-14900	user.gold:-17900	user.gold:-20900	user.gold:-23800	user.gold:-26800	user.gold:-29800
124	62	user.gold:-11900	user.gold:-14900	user.gold:-17900	user.gold:-20900	user.gold:-23800	user.gold:-26800	user.gold:-29800
125	63	user.gold:-12600	user.gold:-15700	user.gold:-18800	user.gold:-22000	user.gold:-25100	user.gold:-28300	user.gold:-31400
126	63	user.gold:-12600	user.gold:-15700	user.gold:-18800	user.gold:-22000	user.gold:-25100	user.gold:-28300	user.gold:-31400
127	64	user.gold:-13000	user.gold:-16300	user.gold:-19500	user.gold:-22800	user.gold:-26000	user.gold:-29300	user.gold:-32500
128	64	user.gold:-13000	user.gold:-16300	user.gold:-19500	user.gold:-22800	user.gold:-26000	user.gold:-29300	user.gold:-32500
129	65	user.gold:-15000	user.gold:-18800	user.gold:-22500	user.gold:-26300	user.gold:-30000	user.gold:-33800	user.gold:-37500
130	65	user.gold:-15000	user.gold:-18800	user.gold:-22500	user.gold:-26300	user.gold:-30000	user.gold:-33800	user.gold:-37500
131	66	user.gold:-15400	user.gold:-19300	user.gold:-23200	user.gold:-27000	user.gold:-30900	user.gold:-34700	user.gold:-38600
132	66	user.gold:-15400	user.gold:-19300	user.gold:-23200	user.gold:-27000	user.gold:-30900	user.gold:-34700	user.gold:-38600
133	67	user.gold:-16100	user.gold:-20200	user.gold:-24200	user.gold:-28200	user.gold:-32200	user.gold:-36300	user.gold:-40300
134	67	user.gold:-16100	user.gold:-20200	user.gold:-24200	user.gold:-28200	user.gold:-32200	user.gold:-36300	user.gold:-40300
135	68	user.gold:-16600	user.gold:-20700	user.gold:-24800	user.gold:-29000	user.gold:-33100	user.gold:-37300	user.gold:-41400
136	68	user.gold:-16600	user.gold:-20700	user.gold:-24800	user.gold:-29000	user.gold:-33100	user.gold:-37300	user.gold:-41400
137	69	user.gold:-17000	user.gold:-21300	user.gold:-25600	user.gold:-29800	user.gold:-34100	user.gold:-38300	user.gold:-42600
138	69	user.gold:-17000	user.gold:-21300	user.gold:-25600	user.gold:-29800	user.gold:-34100	user.gold:-38300	user.gold:-42600
139	70	user.gold:-17600	user.gold:-22000	user.gold:-26300	user.gold:-30700	user.gold:-35100	user.gold:-39500	user.gold:-43900
140	70	user.gold:-17600	user.gold:-22000	user.gold:-26300	user.gold:-30700	user.gold:-35100	user.gold:-39500	user.gold:-43900
141	71	user.gold:-18500	user.gold:-23100	user.gold:-27700	user.gold:-32300	user.gold:-37000	user.gold:-41600	user.gold:-46200
142	71	user.gold:-18500	user.gold:-23100	user.gold:-27700	user.gold:-32300	user.gold:-37000	user.gold:-41600	user.gold:-46200
143	72	user.gold:-19000	user.gold:-23700	user.gold:-28400	user.gold:-33200	user.gold:-37900	user.gold:-42700	user.gold:-47400
144	72	user.gold:-19000	user.gold:-23700	user.gold:-28400	user.gold:-33200	user.gold:-37900	user.gold:-42700	user.gold:-47400
145	73	user.gold:-19500	user.gold:-24400	user.gold:-29300	user.gold:-34200	user.gold:-39000	user.gold:-43900	user.gold:-48800
146	73	user.gold:-19500	user.gold:-24400	user.gold:-29300	user.gold:-34200	user.gold:-39000	user.gold:-43900	user.gold:-48800
147	74	user.gold:-20200	user.gold:-25200	user.gold:-30200	user.gold:-35300	user.gold:-40300	user.gold:-45400	user.gold:-50400
148	74	user.gold:-20200	user.gold:-25200	user.gold:-30200	user.gold:-35300	user.gold:-40300	user.gold:-45400	user.gold:-50400
149	75	user.gold:-20700	user.gold:-25900	user.gold:-31100	user.gold:-36300	user.gold:-41400	user.gold:-46600	user.gold:-51800
150	75	user.gold:-20700	user.gold:-25900	user.gold:-31100	user.gold:-36300	user.gold:-41400	user.gold:-46600	user.gold:-51800
151	76	user.gold:-21400	user.gold:-26800	user.gold:-32100	user.gold:-37500	user.gold:-42800	user.gold:-48200	user.gold:-53500
152	76	user.gold:-21400	user.gold:-26800	user.gold:-32100	user.gold:-37500	user.gold:-42800	user.gold:-48200	user.gold:-53500
153	77	user.gold:-22000	user.gold:-27500	user.gold:-33000	user.gold:-38500	user.gold:-44000	user.gold:-49500	user.gold:-55000
154	77	user.gold:-22000	user.gold:-27500	user.gold:-33000	user.gold:-38500	user.gold:-44000	user.gold:-49500	user.gold:-55000
155	78	user.gold:-22600	user.gold:-28300	user.gold:-33900	user.gold:-39600	user.gold:-45200	user.gold:-50900	user.gold:-56500
156	78	user.gold:-22600	user.gold:-28300	user.gold:-33900	user.gold:-39600	user.gold:-45200	user.gold:-50900	user.gold:-56500
157	79	user.gold:-23300	user.gold:-29200	user.gold:-35000	user.gold:-40800	user.gold:-46600	user.gold:-52500	user.gold:-58300
158	79	user.gold:-23300	user.gold:-29200	user.gold:-35000	user.gold:-40800	user.gold:-46600	user.gold:-52500	user.gold:-58300
159	80	user.gold:-24000	user.gold:-30000	user.gold:-35900	user.gold:-41900	user.gold:-47900	user.gold:-53900	user.gold:-59900
160	80	user.gold:-24000	user.gold:-30000	user.gold:-35900	user.gold:-41900	user.gold:-47900	user.gold:-53900	user.gold:-59900
161	81	user.gold:-24800	user.gold:-31100	user.gold:-37300	user.gold:-43500	user.gold:-49700	user.gold:-55900	user.gold:-62100
162	81	user.gold:-24800	user.gold:-31100	user.gold:-37300	user.gold:-43500	user.gold:-49700	user.gold:-55900	user.gold:-62100
163	82	user.gold:-25500	user.gold:-31900	user.gold:-38300	user.gold:-44700	user.gold:-51000	user.gold:-57400	user.gold:-63800
164	82	user.gold:-25500	user.gold:-31900	user.gold:-38300	user.gold:-44700	user.gold:-51000	user.gold:-57400	user.gold:-63800
165	83	user.gold:-26200	user.gold:-32800	user.gold:-39300	user.gold:-45900	user.gold:-52400	user.gold:-59000	user.gold:-65500
166	83	user.gold:-26200	user.gold:-32800	user.gold:-39300	user.gold:-45900	user.gold:-52400	user.gold:-59000	user.gold:-65500
167	84	user.gold:-27100	user.gold:-33900	user.gold:-40600	user.gold:-47400	user.gold:-54200	user.gold:-60900	user.gold:-67700
168	84	user.gold:-27100	user.gold:-33900	user.gold:-40600	user.gold:-47400	user.gold:-54200	user.gold:-60900	user.gold:-67700
169	85	user.gold:-28000	user.gold:-35000	user.gold:-42000	user.gold:-49000	user.gold:-56000	user.gold:-63000	user.gold:-70000
170	85	user.gold:-28000	user.gold:-35000	user.gold:-42000	user.gold:-49000	user.gold:-56000	user.gold:-63000	user.gold:-70000
171	86	user.gold:-29000	user.gold:-36200	user.gold:-43400	user.gold:-50700	user.gold:-57900	user.gold:-65200	user.gold:-72400
172	86	user.gold:-29000	user.gold:-36200	user.gold:-43400	user.gold:-50700	user.gold:-57900	user.gold:-65200	user.gold:-72400
173	87	user.gold:-29800	user.gold:-37200	user.gold:-44600	user.gold:-52100	user.gold:-59500	user.gold:-67000	user.gold:-74400
174	87	user.gold:-29800	user.gold:-37200	user.gold:-44600	user.gold:-52100	user.gold:-59500	user.gold:-67000	user.gold:-74400
175	88	user.gold:-30700	user.gold:-38400	user.gold:-46000	user.gold:-53700	user.gold:-61400	user.gold:-69000	user.gold:-76700
176	88	user.gold:-30700	user.gold:-38400	user.gold:-46000	user.gold:-53700	user.gold:-61400	user.gold:-69000	user.gold:-76700
177	89	user.gold:-31500	user.gold:-39400	user.gold:-47300	user.gold:-55200	user.gold:-63000	user.gold:-70900	user.gold:-78800
178	89	user.gold:-31500	user.gold:-39400	user.gold:-47300	user.gold:-55200	user.gold:-63000	user.gold:-70900	user.gold:-78800
179	90	user.gold:-32400	user.gold:-40500	user.gold:-48500	user.gold:-56600	user.gold:-64700	user.gold:-72800	user.gold:-80900
180	90	user.gold:-32400	user.gold:-40500	user.gold:-48500	user.gold:-56600	user.gold:-64700	user.gold:-72800	user.gold:-80900
181	91	user.gold:-33500	user.gold:-41900	user.gold:-50200	user.gold:-58600	user.gold:-67000	user.gold:-75300	user.gold:-83700
182	91	user.gold:-33500	user.gold:-41900	user.gold:-50200	user.gold:-58600	user.gold:-67000	user.gold:-75300	user.gold:-83700
183	92	user.gold:-34400	user.gold:-43000	user.gold:-51500	user.gold:-60100	user.gold:-68700	user.gold:-77300	user.gold:-85900
184	92	user.gold:-34400	user.gold:-43000	user.gold:-51500	user.gold:-60100	user.gold:-68700	user.gold:-77300	user.gold:-85900
185	93	user.gold:-35300	user.gold:-44100	user.gold:-52900	user.gold:-61700	user.gold:-70600	user.gold:-79400	user.gold:-88200
186	93	user.gold:-35300	user.gold:-44100	user.gold:-52900	user.gold:-61700	user.gold:-70600	user.gold:-79400	user.gold:-88200
187	94	user.gold:-36400	user.gold:-45500	user.gold:-54600	user.gold:-63700	user.gold:-72800	user.gold:-81900	user.gold:-91000
188	94	user.gold:-36400	user.gold:-45500	user.gold:-54600	user.gold:-63700	user.gold:-72800	user.gold:-81900	user.gold:-91000
189	95	user.gold:-37400	user.gold:-46700	user.gold:-56000	user.gold:-65400	user.gold:-74700	user.gold:-84100	user.gold:-93400
190	95	user.gold:-37400	user.gold:-46700	user.gold:-56000	user.gold:-65400	user.gold:-74700	user.gold:-84100	user.gold:-93400
191	96	user.gold:-38300	user.gold:-47900	user.gold:-57500	user.gold:-67100	user.gold:-76600	user.gold:-86200	user.gold:-95800
192	96	user.gold:-38300	user.gold:-47900	user.gold:-57500	user.gold:-67100	user.gold:-76600	user.gold:-86200	user.gold:-95800
193	97	user.gold:-39500	user.gold:-49400	user.gold:-59300	user.gold:-69200	user.gold:-79000	user.gold:-88900	user.gold:-98800
194	97	user.gold:-39500	user.gold:-49400	user.gold:-59300	user.gold:-69200	user.gold:-79000	user.gold:-88900	user.gold:-98800
195	98	user.gold:-40800	user.gold:-51000	user.gold:-61200	user.gold:-71400	user.gold:-81600	user.gold:-91800	user.gold:-102000
196	98	user.gold:-40800	user.gold:-51000	user.gold:-61200	user.gold:-71400	user.gold:-81600	user.gold:-91800	user.gold:-102000
197	99	user.gold:-41600	user.gold:-52000	user.gold:-62400	user.gold:-72800	user.gold:-83200	user.gold:-93600	user.gold:-104000
198	99	user.gold:-41600	user.gold:-52000	user.gold:-62400	user.gold:-72800	user.gold:-83200	user.gold:-93600	user.gold:-104000
199	100	user.gold:-42000	user.gold:-52500	user.gold:-63000	user.gold:-73500	user.gold:-84000	user.gold:-94500	user.gold:-105000
200	100	user.gold:-42000	user.gold:-52500	user.gold:-63000	user.gold:-73500	user.gold:-84000	user.gold:-94500	user.gold:-105000
201	101	user.gold:-42400	user.gold:-53000	user.gold:-63600	user.gold:-74200	user.gold:-84800	user.gold:-95400	user.gold:-106000
202	101	user.gold:-42400	user.gold:-53000	user.gold:-63600	user.gold:-74200	user.gold:-84800	user.gold:-95400	user.gold:-106000
203	102	user.gold:-42800	user.gold:-53500	user.gold:-64200	user.gold:-74900	user.gold:-85600	user.gold:-96300	user.gold:-107000
204	102	user.gold:-42800	user.gold:-53500	user.gold:-64200	user.gold:-74900	user.gold:-85600	user.gold:-96300	user.gold:-107000
205	103	user.gold:-42800	user.gold:-53500	user.gold:-64200	user.gold:-74900	user.gold:-85600	user.gold:-96300	user.gold:-107000
206	103	user.gold:-42800	user.gold:-53500	user.gold:-64200	user.gold:-74900	user.gold:-85600	user.gold:-96300	user.gold:-107000
207	104	user.gold:-42800	user.gold:-53500	user.gold:-64200	user.gold:-74900	user.gold:-85600	user.gold:-96300	user.gold:-107000
208	104	user.gold:-42800	user.gold:-53500	user.gold:-64200	user.gold:-74900	user.gold:-85600	user.gold:-96300	user.gold:-107000
209	105	user.gold:-43200	user.gold:-54000	user.gold:-64800	user.gold:-75600	user.gold:-86400	user.gold:-97200	user.gold:-108000
210	105	user.gold:-43200	user.gold:-54000	user.gold:-64800	user.gold:-75600	user.gold:-86400	user.gold:-97200	user.gold:-108000
211	106	user.gold:-43200	user.gold:-54000	user.gold:-64800	user.gold:-75600	user.gold:-86400	user.gold:-97200	user.gold:-108000
212	106	user.gold:-43200	user.gold:-54000	user.gold:-64800	user.gold:-75600	user.gold:-86400	user.gold:-97200	user.gold:-108000
