等级	君主升级经验	君至本级后体力回复量	可觉醒部位数	英雄升级消耗	英雄升级消耗返还	搜寻任务刷新消耗钻石	巨龙技能基础攻击（重要）	出战武将数量	战队雕像赏赐掉落ID	领地金币堆	领地经验药水堆	技能槽位数量	训练馆产出经验	金矿产出	训练经验	君主经验（暂时不用）	拥军时间金币奖励	佣兵雇佣金币奖励	小兵技能升级消耗	祭坛奖励倍率1	祭坛奖励倍率2	祭坛奖励倍率3	祭坛奖励倍率4	群雄支持荣誉令牌奖励	皇城争霸挑战奖励	矿镐恢复上限	世界聊天次数上限1	功能开启展示	新手引导标识	我要变强_领主等级	我要变强_觉醒等级
26	7900	0	0	user.gold:-3100,user.hero_exp:-2100	user.gold:31460,user.hero_exp:18080	10	2800	7	7401	user.gold:810	user.hero_exp:1100	4	8900	8	4300	315	13	468	1214	100	100	100	100	100	user.salary:50	260	70	altar2|team|mine_digging	0	60	1
27	8500	0	0	user.gold:-3300,user.hero_exp:-2200	user.gold:34560,user.hero_exp:20180	10	2800	7	7401	user.gold:820	user.hero_exp:1100	4	9800	8	4400	325	13	468	1250	100	100	100	100	100	user.salary:50	260	70	altar2|team|mine_digging	0	60	1
28	9000	0	0	user.gold:-3500,user.hero_exp:-2400	user.gold:37860,user.hero_exp:22380	10	2800	7	7401	user.gold:820	user.hero_exp:1100	4	10800	8	4500	335	14	504	1285	100	100	100	100	100	user.salary:50	260	70	altar2|team|mine_digging	0	60	1
29	9600	0	0	user.gold:-3600,user.hero_exp:-2600	user.gold:41360,user.hero_exp:24780	10	2800	7	7401	user.gold:820	user.hero_exp:1200	4	11900	8	4700	345	14	504	1318	100	100	100	100	100	user.salary:50	260	70	altar2|team|mine_digging	0	60	1
30	9700	0	0	user.gold:-3700,user.hero_exp:-2600	user.gold:44960,user.hero_exp:27380	10	2900	7	7401	user.gold:820	user.hero_exp:1200	5	13000	10	4900	355	15	540	1350	100	100	100	100	100	user.salary:50	280	80	altar2|team|mine_digging	0	60	1
31	9800	0	0	user.gold:-3700,user.hero_exp:-2700	user.gold:48660,user.hero_exp:29980	10	3000	7	7401	user.gold:830	user.hero_exp:1200	5	14000	10	5100	365	15	540	1380	100	100	100	100	100	user.salary:50	280	80	team|mine_digging|altar3	0	60	1
32	9900	0	0	user.gold:-3700,user.hero_exp:-2800	user.gold:52360,user.hero_exp:32680	10	3050	7	7401	user.gold:830	user.hero_exp:1200	5	15000	10	5300	375	16	576	1409	100	100	100	100	100	user.salary:50	280	80	team|mine_digging|altar3	0	60	1
33	9900	0	0	user.gold:-3700,user.hero_exp:-2800	user.gold:56060,user.hero_exp:35480	10	3150	7	7401	user.gold:830	user.hero_exp:1300	5	15000	10	5450	385	17	612	1436	100	100	100	100	100	user.salary:50	280	80	team|mine_digging|altar3	0	60	1
34	10000	0	0	user.gold:-3700,user.hero_exp:-2900	user.gold:59760,user.hero_exp:38280	10	3250	7	7401	user.gold:830	user.hero_exp:1300	5	15000	10	5600	395	17	612	1462	100	100	100	100	100	user.salary:50	280	80	team|mine_digging|altar3	0	60	1
35	10500	0	0	user.gold:-4000,user.hero_exp:-3300	user.gold:63460,user.hero_exp:41180	10	3600	7	7401	user.gold:850	user.hero_exp:1400	5	15000	10	5800	405	18	648	1486	100	100	100	100	100	user.salary:50	300	80	team|mine_digging|altar3	0	60	1
36	10900	0	0	user.gold:-4000,user.hero_exp:-3500	user.gold:67460,user.hero_exp:44480	10	3700	7	7401	user.gold:860	user.hero_exp:1500	5	15000	10	6000	415	19	684	1508	100	100	100	100	100	user.salary:50	300	80	mine_digging|altar3|mine_trial	0	60	1
37	11400	0	0	user.gold:-4100,user.hero_exp:-3800	user.gold:71460,user.hero_exp:47980	10	3800	7	7401	user.gold:880	user.hero_exp:1700	5	15000	10	6200	425	20	720	1528	100	100	100	100	100	user.salary:50	300	80	mine_digging|altar3|mine_trial	0	60	1
38	11800	0	0	user.gold:-4200,user.hero_exp:-4100	user.gold:75560,user.hero_exp:51780	10	3850	7	7401	user.gold:890	user.hero_exp:1800	5	15000	10	6500	435	20	720	1546	100	100	100	100	100	user.salary:50	300	80	mine_digging|altar3|mine_trial	0	60	1
39	12300	0	0	user.gold:-4200,user.hero_exp:-4300	user.gold:79760,user.hero_exp:55880	10	3900	7	7401	user.gold:900	user.hero_exp:1900	5	15000	10	6700	445	21	756	1582	100	100	100	100	100	user.salary:50	300	80	mine_digging|altar3|mine_trial	0	60	1
40	25500	0	0	user.gold:-8500,user.hero_exp:-9200	user.gold:83960,user.hero_exp:60180	10	4050	7	7401	user.gold:920	user.hero_exp:2100	5	15000	14	6900	455	22	792	1763	100	100	100	100	100	user.salary:50	320	90	mine_digging|altar3|mine_trial	0	60	1
41	26400	0	0	user.gold:-8700,user.hero_exp:-9700	user.gold:92460,user.hero_exp:69380	10	4150	7	7401	user.gold:930	user.hero_exp:2200	5	15000	14	7200	465	23	828	2066	100	100	100	100	100	user.salary:50	320	90	altar3|mine_trial|tower	0	60	1
42	27600	0	0	user.gold:-8800,user.hero_exp:-10400	user.gold:101160,user.hero_exp:79080	10	4250	7	7401	user.gold:950	user.hero_exp:2400	5	15000	14	7800	475	24	864	2369	100	100	100	100	100	user.salary:50	320	90	altar3|mine_trial|tower	0	60	1
43	28500	0	0	user.gold:-8900,user.hero_exp:-10900	user.gold:109960,user.hero_exp:89480	10	4650	7	7401	user.gold:960	user.hero_exp:2500	5	15000	14	8600	485	25	900	2667	100	100	100	100	100	user.salary:50	320	90	altar3|mine_trial|tower	0	60	1
44	29300	0	0	user.gold:-9000,user.hero_exp:-11500	user.gold:118860,user.hero_exp:100380	10	4700	7	7401	user.gold:970	user.hero_exp:2600	5	15000	14	9900	495	26	936	2962	100	100	100	100	100	user.salary:50	320	90	altar3|mine_trial|tower	0	60	1
45	30600	0	0	user.gold:-9200,user.hero_exp:-12400	user.gold:127860,user.hero_exp:111880	10	4800	7	7401	user.gold:990	user.hero_exp:2800	5	15000	14	10200	505	27	972	3257	100	100	100	100	100	user.salary:50	340	90	altar3|mine_trial|tower	0	60	1
46	31400	0	0	user.gold:-9300,user.hero_exp:-13000	user.gold:137060,user.hero_exp:124280	10	4900	7	7401	user.gold:1000	user.hero_exp:2900	5	15000	14	11000	515	28	1008	3547	100	100	100	100	100	user.salary:50	340	90	altar3|mine_trial|tower	0	60	1
47	32600	0	0	user.gold:-9500,user.hero_exp:-13700	user.gold:146360,user.hero_exp:137280	10	5000	7	7401	user.gold:1000	user.hero_exp:3100	5	15000	14	12000	525	29	1044	3835	100	100	100	100	100	user.salary:50	340	90	altar3|mine_trial|tower	0	60	1
48	33500	0	0	user.gold:-9600,user.hero_exp:-14300	user.gold:155860,user.hero_exp:150980	10	5050	7	7401	user.gold:1000	user.hero_exp:3200	5	15000	14	13000	535	31	1116	4116	100	100	100	100	100	user.salary:50	340	90	altar3|mine_trial|tower	0	60	1
49	34500	0	0	user.gold:-9700,user.hero_exp:-14800	user.gold:165460,user.hero_exp:165280	10	5150	7	7401	user.gold:1000	user.hero_exp:3300	5	15000	14	14000	545	32	1152	4397	100	100	100	100	100	user.salary:50	340	90	altar3|mine_trial|tower	0	60	1
50	53700	0	0	user.gold:-20300,user.hero_exp:-23400	user.gold:175160,user.hero_exp:180080	10	5250	7	7401	user.gold:1100	user.hero_exp:3500	5	15000	18	15000	555	33	1188	5678	100	100	100	100	100	user.salary:50	360	100	altar3|mine_trial|tower	0	60	1
51	55200	0	0	user.gold:-20500,user.hero_exp:-24300	user.gold:195460,user.hero_exp:203480	10	7300	7	7401	user.gold:1100	user.hero_exp:3700	5	15000	18	16000	565	34	1224	6654	100	100	100	100	100	user.salary:50	360	100	altar3|mine_trial|tower	0	60	1
52	57100	0	0	user.gold:-20700,user.hero_exp:-25400	user.gold:215960,user.hero_exp:227780	10	7400	7	7401	user.gold:1100	user.hero_exp:3800	5	15000	18	17000	575	36	1296	7620	100	100	100	100	100	user.salary:50	360	100	altar3|mine_trial|tower	0	60	1
53	58700	0	0	user.gold:-21000,user.hero_exp:-26400	user.gold:236660,user.hero_exp:253180	10	7550	7	7401	user.gold:1100	user.hero_exp:4000	5	15000	18	18000	585	38	1368	8568	100	100	100	100	100	user.salary:50	360	100	altar3|mine_trial|tower	0	60	1
54	60300	0	0	user.gold:-21200,user.hero_exp:-27300	user.gold:257660,user.hero_exp:279580	10	7700	7	7401	user.gold:1100	user.hero_exp:4100	5	15000	18	20000	595	39	1404	9503	100	100	100	100	100	user.salary:50	360	100	altar3|mine_trial|tower	0	60	1
55	62100	0	0	user.gold:-21500,user.hero_exp:-28500	user.gold:278860,user.hero_exp:306880	10	7850	7	7401	user.gold:1100	user.hero_exp:4300	5	15000	18	22000	605	41	1476	10420	100	100	100	100	100	user.salary:50	380	100	altar3|mine_trial|tower	0	60	1
56	63700	0	0	user.gold:-21700,user.hero_exp:-29500	user.gold:300360,user.hero_exp:335380	10	8000	7	7401	user.gold:1200	user.hero_exp:4500	5	15000	18	25000	615	43	1548	11323	100	100	100	100	100	user.salary:50	380	100	altar3|mine_trial|tower	0	60	1
57	65900	0	0	user.gold:-22000,user.hero_exp:-30800	user.gold:322060,user.hero_exp:364880	10	8150	7	7401	user.gold:1200	user.hero_exp:4700	5	15000	18	27000	625	44	1584	12203	100	100	100	100	100	user.salary:50	380	100	altar3|mine_trial|tower	0	60	1
58	67500	0	0	user.gold:-22600,user.hero_exp:-31800	user.gold:344060,user.hero_exp:395680	10	8300	7	7401	user.gold:1200	user.hero_exp:4800	5	15000	18	29000	635	46	1656	13070	100	100	100	100	100	user.salary:50	380	100	altar3|mine_trial|tower	0	60	1
59	69100	0	0	user.gold:-22800,user.hero_exp:-32800	user.gold:366660,user.hero_exp:427480	10	8450	7	7401	user.gold:1200	user.hero_exp:5000	5	15000	18	32000	645	48	1728	13914	100	100	100	100	100	user.salary:50	380	100	altar3|mine_trial|tower	0	60	1
60	96700	0	0	user.gold:-31000,user.hero_exp:-46400	user.gold:389460,user.hero_exp:460280	10	8850	7	7401	user.gold:1200	user.hero_exp:5300	5	15000	21	34000	655	49	1764	16028	100	100	100	100	100	user.salary:50	400	110	altar3|mine_trial|tower	0	120	1
61	101000	0	0	user.gold:-31900,user.hero_exp:-48900	user.gold:420460,user.hero_exp:506680	10	9450	7	7401	user.gold:1300	user.hero_exp:5600	5	15000	21	36000	665	52	1872	17604	100	100	100	100	100	user.salary:50	400	110	mine_trial|tower	0	120	1
62	105000	0	0	user.gold:-32500,user.hero_exp:-51700	user.gold:452360,user.hero_exp:555580	10	10000	7	7401	user.gold:1300	user.hero_exp:5900	5	15000	21	38000	675	54	1944	19143	100	100	100	100	100	user.salary:50	400	110	mine_trial|tower	0	120	1
63	110000	0	0	user.gold:-33100,user.hero_exp:-54200	user.gold:484860,user.hero_exp:607280	10	10400	7	7401	user.gold:1300	user.hero_exp:6200	5	15000	21	40000	685	57	2052	20642	100	100	100	100	100	user.salary:50	400	110	mine_trial|tower	0	120	1
64	114000	0	0	user.gold:-33700,user.hero_exp:-57200	user.gold:517960,user.hero_exp:661480	10	10850	7	7401	user.gold:1400	user.hero_exp:6600	5	15000	21	42000	695	59	2124	22100	100	100	100	100	100	user.salary:50	400	110	mine_trial|tower	0	120	1
65	119000	0	0	user.gold:-34600,user.hero_exp:-61400	user.gold:551660,user.hero_exp:718680	10	11250	7	7401	user.gold:1400	user.hero_exp:6900	5	15000	21	43000	705	61	2196	23515	100	100	100	100	100	user.salary:50	420	110	mine_trial|tower	0	120	1
66	124000	0	0	user.gold:-35200,user.hero_exp:-64600	user.gold:586260,user.hero_exp:780080	10	11600	7	7401	user.gold:1400	user.hero_exp:7200	5	15000	21	45000	715	64	2304	24885	100	100	100	100	100	user.salary:50	420	110	mine_trial|tower	0	120	1
67	128000	0	0	user.gold:-39200,user.hero_exp:-69700	user.gold:621460,user.hero_exp:844680	10	12000	7	7401	user.gold:1500	user.hero_exp:7500	5	15000	21	47000	725	66	2376	26207	100	100	100	100	100	user.salary:50	420	110	mine_trial|tower	0	120	1
68	134000	0	0	user.gold:-39900,user.hero_exp:-73000	user.gold:660660,user.hero_exp:914380	10	12400	7	7401	user.gold:1500	user.hero_exp:7900	5	15000	21	49000	735	69	2484	27485	100	100	100	100	100	user.salary:50	420	110	mine_trial|tower	0	120	1
69	138000	0	0	user.gold:-40600,user.hero_exp:-76100	user.gold:700560,user.hero_exp:987380	10	12800	7	7401	user.gold:1600	user.hero_exp:8200	5	15000	21	51000	745	71	2556	28712	100	100	100	100	100	user.salary:50	420	110	mine_trial|tower	0	120	1
70	180000	0	0	user.gold:-51600,user.hero_exp:-99300	user.gold:741160,user.hero_exp:1063480	10	13150	7	7401	user.gold:1600	user.hero_exp:8600	5	15000	27	52000	753	74	2664	37208	100	100	100	100	100	user.salary:50	440	120	mine_trial|tower	0	120	1
71	185000	0	0	user.gold:-52700,user.hero_exp:-103000	user.gold:792760,user.hero_exp:1162780	10	18950	7	7401	user.gold:1600	user.hero_exp:9000	5	15000	27	54000	759	77	2772	43505	100	100	100	100	100	user.salary:50	440	120	mine_trial|tower	0	120	1
72	193000	0	0	user.gold:-53900,user.hero_exp:-108000	user.gold:845460,user.hero_exp:1265780	10	19600	7	7401	user.gold:1700	user.hero_exp:9300	5	15000	27	62000	765	81	2916	49592	100	100	100	100	100	user.salary:50	440	120	mine_trial|tower	0	120	1
73	199000	0	0	user.gold:-54700,user.hero_exp:-112000	user.gold:899360,user.hero_exp:1373780	10	20000	7	7401	user.gold:1700	user.hero_exp:9700	5	15000	27	71000	771	85	3060	55468	100	100	100	100	100	user.salary:50	440	120	mine_trial|tower	0	120	1
74	206000	0	0	user.gold:-55700,user.hero_exp:-117000	user.gold:954060,user.hero_exp:1485780	10	20400	7	7401	user.gold:1700	user.hero_exp:10100	5	15000	27	79000	777	88	3168	61119	100	100	100	100	100	user.salary:50	440	120	mine_trial|tower	0	120	1
75	212000	0	0	user.gold:-57600,user.hero_exp:-121000	user.gold:1009760,user.hero_exp:1602780	10	20800	7	7401	user.gold:1800	user.hero_exp:10500	5	15000	27	88000	783	92	3312	66541	100	100	100	100	100	user.salary:50	460	120	mine_trial|tower	0	120	1
76	220000	0	0	user.gold:-58700,user.hero_exp:-126000	user.gold:1067360,user.hero_exp:1723780	10	21200	7	7401	user.gold:1800	user.hero_exp:10900	5	15000	27	96000	789	96	3456	71724	100	100	100	100	100	user.salary:50	460	120	mine_trial|tower	0	120	1
77	227000	0	0	user.gold:-59700,user.hero_exp:-130000	user.gold:1126060,user.hero_exp:1849780	10	21550	7	7401	user.gold:1900	user.hero_exp:11300	5	15000	27	105000	795	100	3600	78628	100	100	100	100	100	user.salary:50	460	120	mine_trial|tower	0	120	1
78	234000	0	0	user.gold:-60800,user.hero_exp:-135000	user.gold:1185760,user.hero_exp:1979780	10	21950	7	7401	user.gold:1900	user.hero_exp:11700	5	15000	27	114000	801	103	3708	85633	100	100	100	100	100	user.salary:50	460	120	mine_trial|tower	0	120	1
79	241000	0	0	user.gold:-61800,user.hero_exp:-140000	user.gold:1246560,user.hero_exp:2114780	10	28250	7	7401	user.gold:1900	user.hero_exp:12100	5	15000	27	122000	807	107	3852	92734	100	100	100	100	100	user.salary:50	460	120	mine_trial|tower	0	120	1
80	331000	0	0	user.gold:-85700,user.hero_exp:-193000	user.gold:1308360,user.hero_exp:2254780	10	29400	7	7401	user.gold:2000	user.hero_exp:12300	5	15000	27	131000	813	111	3996	114818	100	100	100	100	100	user.salary:50	480	130	mine_trial|tower	0	120	1
81	342000	0	0	user.gold:-90400,user.hero_exp:-201000	user.gold:1394060,user.hero_exp:2447780	10	29850	7	7401	user.gold:2000	user.hero_exp:12500	5	15000	27	140000	819	116	4176	132440	100	100	100	100	100	user.salary:50	480	130	tower	0	120	1
82	352000	0	0	user.gold:-92600,user.hero_exp:-209000	user.gold:1484460,user.hero_exp:2648780	10	30550	7	7401	user.gold:2000	user.hero_exp:12700	5	15000	27	154000	825	122	4392	149194	100	100	100	100	100	user.salary:50	480	130	tower	0	120	1
83	362000	0	0	user.gold:-94900,user.hero_exp:-215000	user.gold:1577060,user.hero_exp:2857780	10	30850	7	7401	user.gold:2000	user.hero_exp:12900	5	15000	27	168000	831	127	4572	167193	100	100	100	100	100	user.salary:50	480	130	tower	0	120	1
84	375000	0	0	user.gold:-97500,user.hero_exp:-223000	user.gold:1671960,user.hero_exp:3072780	10	31150	7	7401	user.gold:2100	user.hero_exp:13100	5	15000	27	182000	837	133	4788	185443	100	100	100	100	100	user.salary:50	480	130	tower	0	120	1
85	387000	0	0	user.gold:-102000,user.hero_exp:-232000	user.gold:1769460,user.hero_exp:3295780	10	31500	7	7401	user.gold:2100	user.hero_exp:13400	5	15000	27	196000	843	138	4968	203944	100	100	100	100	100	user.salary:50	500	130	tower	0	120	1
86	400000	0	0	user.gold:-105000,user.hero_exp:-240000	user.gold:1871460,user.hero_exp:3527780	10	31800	7	7401	user.gold:2100	user.hero_exp:13600	5	15000	27	211000	849	144	5184	222696	100	100	100	100	100	user.salary:50	500	130	tower	0	120	1
87	413000	0	0	user.gold:-107000,user.hero_exp:-248000	user.gold:1976460,user.hero_exp:3767780	10	32150	7	7401	user.gold:2100	user.hero_exp:13800	5	15000	27	225000	855	149	5364	241698	100	100	100	100	100	user.salary:50	500	130	tower	0	120	1
88	428000	0	0	user.gold:-111000,user.hero_exp:-259000	user.gold:2083460,user.hero_exp:4015780	10	35300	7	7401	user.gold:2100	user.hero_exp:14000	5	15000	27	240000	861	155	5580	260953	100	100	100	100	100	user.salary:50	500	130	tower	0	120	1
89	444000	0	0	user.gold:-114000,user.hero_exp:-269000	user.gold:2194460,user.hero_exp:4274780	10	35600	7	7401	user.gold:2200	user.hero_exp:14200	5	15000	27	254000	867	160	5760	280460	100	100	100	100	100	user.salary:50	500	130	tower	0	120	1
90	461000	0	0	user.gold:-119000,user.hero_exp:-286000	user.gold:2308460,user.hero_exp:4543780	10	35900	7	7401	user.gold:2200	user.hero_exp:14500	5	15000	30	269000	873	166	5976	374008	100	100	100	100	100	user.salary:50	520	140	tower	0	120	1
91	476000	0	0	user.gold:-125000,user.hero_exp:-303000	user.gold:2427460,user.hero_exp:4829780	10	37350	7	7401	user.gold:2200	user.hero_exp:14700	5	15000	30	284000	879	166	5976	448365	100	100	100	100	100	user.salary:50	520	140	tower	0	120	1
92	494000	0	0	user.gold:-129000,user.hero_exp:-315000	user.gold:2552460,user.hero_exp:5132780	10	37650	7	7401	user.gold:2200	user.hero_exp:14900	5	15000	30	316000	885	166	5976	523727	100	100	100	100	100	user.salary:50	520	140	tower	0	120	1
93	513000	0	0	user.gold:-133000,user.hero_exp:-327000	user.gold:2681460,user.hero_exp:5447780	10	37950	7	7401	user.gold:2300	user.hero_exp:15100	5	15000	30	349000	891	166	5976	600099	100	100	100	100	100	user.salary:50	520	140	tower	0	120	1
94	534000	0	0	user.gold:-137000,user.hero_exp:-341000	user.gold:2814460,user.hero_exp:5774780	10	38200	7	7401	user.gold:2300	user.hero_exp:15400	5	15000	30	382000	897	166	5976	677476	100	100	100	100	100	user.salary:50	520	140	tower	0	120	1
95	553000	0	0	user.gold:-142000,user.hero_exp:-353000	user.gold:2951460,user.hero_exp:6115780	10	38900	7	7401	user.gold:2300	user.hero_exp:15600	5	15000	30	416000	903	166	5976	755864	100	100	100	100	100	user.salary:50	540	140	tower	0	120	1
96	574000	0	0	user.gold:-146000,user.hero_exp:-368000	user.gold:3093460,user.hero_exp:6468780	10	39150	7	7401	user.gold:2300	user.hero_exp:15800	5	15000	30	450000	910	166	5976	835256	100	100	100	100	100	user.salary:50	540	140	tower	0	120	1
97	597000	0	0	user.gold:-152000,user.hero_exp:-383000	user.gold:3239460,user.hero_exp:6836780	10	39350	7	7401	user.gold:2400	user.hero_exp:16100	5	15000	30	484000	917	166	5976	915659	100	100	100	100	100	user.salary:50	540	140	tower	0	120	1
