索引ID	技能等级	属性值	升至下级消耗
101	77	37110	user.sky_book:-13500
101	78	37840	user.sky_book:-13500
101	79	38570	user.sky_book:-13500
101	80	39300	user.sky_book:-18000
101	81	40100	user.sky_book:-18000
101	82	40900	user.sky_book:-18000
101	83	41700	user.sky_book:-18000
101	84	42500	user.sky_book:-18000
101	85	43300	user.sky_book:-18000
101	86	44100	user.sky_book:-18000
101	87	44900	user.sky_book:-18000
101	88	45700	user.sky_book:-18000
101	89	46500	user.sky_book:-18000
101	90	47300	user.sky_book:-24900
101	91	48190	user.sky_book:-24900
101	92	49080	user.sky_book:-24900
101	93	49970	user.sky_book:-24900
101	94	50860	user.sky_book:-24900
101	95	51750	user.sky_book:-24900
101	96	52640	user.sky_book:-24900
101	97	53530	user.sky_book:-24900
101	98	54420	user.sky_book:-24900
101	99	55310	user.sky_book:-24900
101	100	56200	user.sky_book:-24900
102	0	0	user.sky_book:-0
102	1	142	user.sky_book:-150
102	2	284	user.sky_book:-150
102	3	426	user.sky_book:-150
102	4	568	user.sky_book:-150
102	5	710	user.sky_book:-150
102	6	852	user.sky_book:-150
102	7	994	user.sky_book:-150
102	8	1136	user.sky_book:-150
102	9	1278	user.sky_book:-150
102	10	1420	user.sky_book:-1800
102	11	1597	user.sky_book:-1800
102	12	1774	user.sky_book:-1800
102	13	1951	user.sky_book:-1800
102	14	2128	user.sky_book:-1800
102	15	2305	user.sky_book:-1800
102	16	2482	user.sky_book:-1800
102	17	2659	user.sky_book:-1800
102	18	2836	user.sky_book:-1800
102	19	3013	user.sky_book:-1800
102	20	3190	user.sky_book:-3700
102	21	3443	user.sky_book:-3700
102	22	3696	user.sky_book:-3700
102	23	3949	user.sky_book:-3700
102	24	4202	user.sky_book:-3700
102	25	4455	user.sky_book:-3700
102	26	4708	user.sky_book:-3700
102	27	4961	user.sky_book:-3700
102	28	5214	user.sky_book:-3700
102	29	5467	user.sky_book:-3700
102	30	5720	user.sky_book:-4300
102	31	5959	user.sky_book:-4300
102	32	6198	user.sky_book:-4300
102	33	6437	user.sky_book:-4300
102	34	6676	user.sky_book:-4300
102	35	6915	user.sky_book:-4300
102	36	7154	user.sky_book:-4300
102	37	7393	user.sky_book:-4300
102	38	7632	user.sky_book:-4300
102	39	7871	user.sky_book:-4300
102	40	8110	user.sky_book:-5800
102	41	8389	user.sky_book:-5800
102	42	8668	user.sky_book:-5800
102	43	8947	user.sky_book:-5800
102	44	9226	user.sky_book:-5800
102	45	9505	user.sky_book:-5800
102	46	9784	user.sky_book:-5800
102	47	10063	user.sky_book:-5800
102	48	10342	user.sky_book:-5800
102	49	10621	user.sky_book:-5800
102	50	10900	user.sky_book:-7800
102	51	11230	user.sky_book:-7800
102	52	11560	user.sky_book:-7800
102	53	11890	user.sky_book:-7800
102	54	12220	user.sky_book:-7800
102	55	12550	user.sky_book:-7800
102	56	12880	user.sky_book:-7800
102	57	13210	user.sky_book:-7800
102	58	13540	user.sky_book:-7800
102	59	13870	user.sky_book:-7800
102	60	14200	user.sky_book:-10200
102	61	14560	user.sky_book:-10200
102	62	14920	user.sky_book:-10200
102	63	15280	user.sky_book:-10200
102	64	15640	user.sky_book:-10200
102	65	16000	user.sky_book:-10200
102	66	16360	user.sky_book:-10200
102	67	16720	user.sky_book:-10200
102	68	17080	user.sky_book:-10200
102	69	17440	user.sky_book:-10200
102	70	17800	user.sky_book:-13500
102	71	18210	user.sky_book:-13500
102	72	18620	user.sky_book:-13500
102	73	19030	user.sky_book:-13500
102	74	19440	user.sky_book:-13500
102	75	19850	user.sky_book:-13500
102	76	20260	user.sky_book:-13500
102	77	20670	user.sky_book:-13500
102	78	21080	user.sky_book:-13500
102	79	21490	user.sky_book:-13500
102	80	21900	user.sky_book:-18000
102	81	22350	user.sky_book:-18000
102	82	22800	user.sky_book:-18000
102	83	23250	user.sky_book:-18000
102	84	23700	user.sky_book:-18000
102	85	24150	user.sky_book:-18000
102	86	24600	user.sky_book:-18000
102	87	25050	user.sky_book:-18000
102	88	25500	user.sky_book:-18000
102	89	25950	user.sky_book:-18000
102	90	26400	user.sky_book:-24900
102	91	26890	user.sky_book:-24900
102	92	27380	user.sky_book:-24900
102	93	27870	user.sky_book:-24900
102	94	28360	user.sky_book:-24900
102	95	28850	user.sky_book:-24900
102	96	29340	user.sky_book:-24900
102	97	29830	user.sky_book:-24900
102	98	30320	user.sky_book:-24900
102	99	30810	user.sky_book:-24900
102	100	31300	user.sky_book:-24900
103	0	0	user.sky_book:-0
103	1	142	user.sky_book:-150
103	2	284	user.sky_book:-150
103	3	426	user.sky_book:-150
103	4	568	user.sky_book:-150
103	5	710	user.sky_book:-150
103	6	852	user.sky_book:-150
103	7	994	user.sky_book:-150
103	8	1136	user.sky_book:-150
103	9	1278	user.sky_book:-150
103	10	1420	user.sky_book:-1800
103	11	1597	user.sky_book:-1800
103	12	1774	user.sky_book:-1800
103	13	1951	user.sky_book:-1800
103	14	2128	user.sky_book:-1800
103	15	2305	user.sky_book:-1800
103	16	2482	user.sky_book:-1800
103	17	2659	user.sky_book:-1800
103	18	2836	user.sky_book:-1800
103	19	3013	user.sky_book:-1800
103	20	3190	user.sky_book:-3700
103	21	3443	user.sky_book:-3700
103	22	3696	user.sky_book:-3700
103	23	3949	user.sky_book:-3700
103	24	4202	user.sky_book:-3700
103	25	4455	user.sky_book:-3700
103	26	4708	user.sky_book:-3700
103	27	4961	user.sky_book:-3700
103	28	5214	user.sky_book:-3700
103	29	5467	user.sky_book:-3700
103	30	5720	user.sky_book:-4300
103	31	5959	user.sky_book:-4300
103	32	6198	user.sky_book:-4300
103	33	6437	user.sky_book:-4300
103	34	6676	user.sky_book:-4300
103	35	6915	user.sky_book:-4300
103	36	7154	user.sky_book:-4300
103	37	7393	user.sky_book:-4300
103	38	7632	user.sky_book:-4300
103	39	7871	user.sky_book:-4300
103	40	8110	user.sky_book:-5800
103	41	8389	user.sky_book:-5800
103	42	8668	user.sky_book:-5800
103	43	8947	user.sky_book:-5800
103	44	9226	user.sky_book:-5800
103	45	9505	user.sky_book:-5800
103	46	9784	user.sky_book:-5800
103	47	10063	user.sky_book:-5800
103	48	10342	user.sky_book:-5800
103	49	10621	user.sky_book:-5800
103	50	10900	user.sky_book:-7800
103	51	11230	user.sky_book:-7800
103	52	11560	user.sky_book:-7800
103	53	11890	user.sky_book:-7800
103	54	12220	user.sky_book:-7800
103	55	12550	user.sky_book:-7800
103	56	12880	user.sky_book:-7800
103	57	13210	user.sky_book:-7800
103	58	13540	user.sky_book:-7800
103	59	13870	user.sky_book:-7800
103	60	14200	user.sky_book:-10200
103	61	14560	user.sky_book:-10200
103	62	14920	user.sky_book:-10200
103	63	15280	user.sky_book:-10200
103	64	15640	user.sky_book:-10200
103	65	16000	user.sky_book:-10200
103	66	16360	user.sky_book:-10200
103	67	16720	user.sky_book:-10200
103	68	17080	user.sky_book:-10200
103	69	17440	user.sky_book:-10200
103	70	17800	user.sky_book:-13500
103	71	18210	user.sky_book:-13500
103	72	18620	user.sky_book:-13500
103	73	19030	user.sky_book:-13500
103	74	19440	user.sky_book:-13500
103	75	19850	user.sky_book:-13500
103	76	20260	user.sky_book:-13500
103	77	20670	user.sky_book:-13500
103	78	21080	user.sky_book:-13500
103	79	21490	user.sky_book:-13500
103	80	21900	user.sky_book:-18000
103	81	22350	user.sky_book:-18000
103	82	22800	user.sky_book:-18000
103	83	23250	user.sky_book:-18000
103	84	23700	user.sky_book:-18000
103	85	24150	user.sky_book:-18000
103	86	24600	user.sky_book:-18000
103	87	25050	user.sky_book:-18000
103	88	25500	user.sky_book:-18000
103	89	25950	user.sky_book:-18000
103	90	26400	user.sky_book:-24900
103	91	26890	user.sky_book:-24900
103	92	27380	user.sky_book:-24900
103	93	27870	user.sky_book:-24900
103	94	28360	user.sky_book:-24900
103	95	28850	user.sky_book:-24900
103	96	29340	user.sky_book:-24900
103	97	29830	user.sky_book:-24900
103	98	30320	user.sky_book:-24900
103	99	30810	user.sky_book:-24900
103	100	31300	user.sky_book:-24900
104	0	0	user.sky_book:-0
104	1	2940	user.sky_book:-150
104	2	5880	user.sky_book:-150
104	3	8820	user.sky_book:-150
104	4	11760	user.sky_book:-150
104	5	14700	user.sky_book:-150
104	6	17640	user.sky_book:-150
104	7	20580	user.sky_book:-150
104	8	23520	user.sky_book:-150
104	9	26460	user.sky_book:-150
104	10	29400	user.sky_book:-1800
104	11	33090	user.sky_book:-1800
104	12	36780	user.sky_book:-1800
104	13	40470	user.sky_book:-1800
104	14	44160	user.sky_book:-1800
104	15	47850	user.sky_book:-1800
104	16	51540	user.sky_book:-1800
104	17	55230	user.sky_book:-1800
104	18	58920	user.sky_book:-1800
104	19	62610	user.sky_book:-1800
104	20	66300	user.sky_book:-3700
104	21	71570	user.sky_book:-3700
104	22	76840	user.sky_book:-3700
104	23	82110	user.sky_book:-3700
104	24	87380	user.sky_book:-3700
104	25	92650	user.sky_book:-3700
104	26	97920	user.sky_book:-3700
104	27	103190	user.sky_book:-3700
104	28	108460	user.sky_book:-3700
104	29	113730	user.sky_book:-3700
104	30	119000	user.sky_book:-4300
104	31	123900	user.sky_book:-4300
104	32	128800	user.sky_book:-4300
104	33	133700	user.sky_book:-4300
104	34	138600	user.sky_book:-4300
104	35	143500	user.sky_book:-4300
104	36	148400	user.sky_book:-4300
104	37	153300	user.sky_book:-4300
104	38	158200	user.sky_book:-4300
104	39	163100	user.sky_book:-4300
104	40	168000	user.sky_book:-5800
104	41	173900	user.sky_book:-5800
104	42	179800	user.sky_book:-5800
104	43	185700	user.sky_book:-5800
104	44	191600	user.sky_book:-5800
104	45	197500	user.sky_book:-5800
104	46	203400	user.sky_book:-5800
104	47	209300	user.sky_book:-5800
104	48	215200	user.sky_book:-5800
104	49	221100	user.sky_book:-5800
104	50	227000	user.sky_book:-7800
104	51	233700	user.sky_book:-7800
104	52	240400	user.sky_book:-7800
104	53	247100	user.sky_book:-7800
104	54	253800	user.sky_book:-7800
104	55	260500	user.sky_book:-7800
104	56	267200	user.sky_book:-7800
104	57	273900	user.sky_book:-7800
104	58	280600	user.sky_book:-7800
104	59	287300	user.sky_book:-7800
104	60	294000	user.sky_book:-10200
104	61	301600	user.sky_book:-10200
104	62	309200	user.sky_book:-10200
104	63	316800	user.sky_book:-10200
104	64	324400	user.sky_book:-10200
104	65	332000	user.sky_book:-10200
104	66	339600	user.sky_book:-10200
104	67	347200	user.sky_book:-10200
104	68	354800	user.sky_book:-10200
104	69	362400	user.sky_book:-10200
104	70	370000	user.sky_book:-13500
104	71	378400	user.sky_book:-13500
104	72	386800	user.sky_book:-13500
104	73	395200	user.sky_book:-13500
104	74	403600	user.sky_book:-13500
104	75	412000	user.sky_book:-13500
104	76	420400	user.sky_book:-13500
104	77	428800	user.sky_book:-13500
104	78	437200	user.sky_book:-13500
104	79	445600	user.sky_book:-13500
104	80	454000	user.sky_book:-18000
104	81	463300	user.sky_book:-18000
104	82	472600	user.sky_book:-18000
104	83	481900	user.sky_book:-18000
104	84	491200	user.sky_book:-18000
104	85	500500	user.sky_book:-18000
104	86	509800	user.sky_book:-18000
104	87	519100	user.sky_book:-18000
104	88	528400	user.sky_book:-18000
104	89	537700	user.sky_book:-18000
104	90	547000	user.sky_book:-24900
104	91	557300	user.sky_book:-24900
104	92	567600	user.sky_book:-24900
104	93	577900	user.sky_book:-24900
104	94	588200	user.sky_book:-24900
104	95	598500	user.sky_book:-24900
104	96	608800	user.sky_book:-24900
104	97	619100	user.sky_book:-24900
104	98	629400	user.sky_book:-24900
104	99	639700	user.sky_book:-24900
104	100	650000	user.sky_book:-24900
201	0	0	user.sky_book:-0
201	1	3120	user.sky_book:-150
201	2	6240	user.sky_book:-150
201	3	9360	user.sky_book:-150
201	4	12480	user.sky_book:-150
201	5	15600	user.sky_book:-150
201	6	18720	user.sky_book:-150
201	7	21840	user.sky_book:-150
201	8	24960	user.sky_book:-150
201	9	28080	user.sky_book:-150
201	10	31200	user.sky_book:-1800
201	11	35130	user.sky_book:-1800
201	12	39060	user.sky_book:-1800
201	13	42990	user.sky_book:-1800
201	14	46920	user.sky_book:-1800
201	15	50850	user.sky_book:-1800
201	16	54780	user.sky_book:-1800
201	17	58710	user.sky_book:-1800
201	18	62640	user.sky_book:-1800
201	19	66570	user.sky_book:-1800
201	20	70500	user.sky_book:-3700
201	21	76050	user.sky_book:-3700
201	22	81600	user.sky_book:-3700
201	23	87150	user.sky_book:-3700
201	24	92700	user.sky_book:-3700
201	25	98250	user.sky_book:-3700
201	26	103800	user.sky_book:-3700
201	27	109350	user.sky_book:-3700
201	28	114900	user.sky_book:-3700
201	29	120450	user.sky_book:-3700
201	30	126000	user.sky_book:-4300
201	31	131300	user.sky_book:-4300
201	32	136600	user.sky_book:-4300
201	33	141900	user.sky_book:-4300
201	34	147200	user.sky_book:-4300
201	35	152500	user.sky_book:-4300
201	36	157800	user.sky_book:-4300
201	37	163100	user.sky_book:-4300
201	38	168400	user.sky_book:-4300
201	39	173700	user.sky_book:-4300
201	40	179000	user.sky_book:-5800
201	41	185200	user.sky_book:-5800
201	42	191400	user.sky_book:-5800
201	43	197600	user.sky_book:-5800
201	44	203800	user.sky_book:-5800
201	45	210000	user.sky_book:-5800
201	46	216200	user.sky_book:-5800
201	47	222400	user.sky_book:-5800
201	48	228600	user.sky_book:-5800
201	49	234800	user.sky_book:-5800
201	50	241000	user.sky_book:-7800
201	51	248100	user.sky_book:-7800
201	52	255200	user.sky_book:-7800
201	53	262300	user.sky_book:-7800
201	54	269400	user.sky_book:-7800
201	55	276500	user.sky_book:-7800
201	56	283600	user.sky_book:-7800
201	57	290700	user.sky_book:-7800
201	58	297800	user.sky_book:-7800
201	59	304900	user.sky_book:-7800
201	60	312000	user.sky_book:-10200
201	61	320100	user.sky_book:-10200
201	62	328200	user.sky_book:-10200
201	63	336300	user.sky_book:-10200
201	64	344400	user.sky_book:-10200
201	65	352500	user.sky_book:-10200
201	66	360600	user.sky_book:-10200
201	67	368700	user.sky_book:-10200
201	68	376800	user.sky_book:-10200
201	69	384900	user.sky_book:-10200
201	70	393000	user.sky_book:-13500
201	71	402000	user.sky_book:-13500
201	72	411000	user.sky_book:-13500
201	73	420000	user.sky_book:-13500
201	74	429000	user.sky_book:-13500
201	75	438000	user.sky_book:-13500
201	76	447000	user.sky_book:-13500
201	77	456000	user.sky_book:-13500
201	78	465000	user.sky_book:-13500
201	79	474000	user.sky_book:-13500
201	80	483000	user.sky_book:-18000
201	81	492900	user.sky_book:-18000
201	82	502800	user.sky_book:-18000
201	83	512700	user.sky_book:-18000
201	84	522600	user.sky_book:-18000
201	85	532500	user.sky_book:-18000
201	86	542400	user.sky_book:-18000
201	87	552300	user.sky_book:-18000
201	88	562200	user.sky_book:-18000
201	89	572100	user.sky_book:-18000
201	90	582000	user.sky_book:-24900
201	91	592800	user.sky_book:-24900
201	92	603600	user.sky_book:-24900
201	93	614400	user.sky_book:-24900
201	94	625200	user.sky_book:-24900
201	95	636000	user.sky_book:-24900
201	96	646800	user.sky_book:-24900
201	97	657600	user.sky_book:-24900
201	98	668400	user.sky_book:-24900
201	99	679200	user.sky_book:-24900
201	100	690000	user.sky_book:-24900
202	0	0	user.sky_book:-0
202	1	153	user.sky_book:-150
202	2	306	user.sky_book:-150
202	3	459	user.sky_book:-150
202	4	612	user.sky_book:-150
202	5	765	user.sky_book:-150
202	6	918	user.sky_book:-150
202	7	1071	user.sky_book:-150
202	8	1224	user.sky_book:-150
202	9	1377	user.sky_book:-150
202	10	1530	user.sky_book:-1800
202	11	1722	user.sky_book:-1800
202	12	1914	user.sky_book:-1800
202	13	2106	user.sky_book:-1800
202	14	2298	user.sky_book:-1800
202	15	2490	user.sky_book:-1800
202	16	2682	user.sky_book:-1800
202	17	2874	user.sky_book:-1800
202	18	3066	user.sky_book:-1800
202	19	3258	user.sky_book:-1800
202	20	3450	user.sky_book:-3700
202	21	3724	user.sky_book:-3700
202	22	3998	user.sky_book:-3700
202	23	4272	user.sky_book:-3700
202	24	4546	user.sky_book:-3700
202	25	4820	user.sky_book:-3700
202	26	5094	user.sky_book:-3700
202	27	5368	user.sky_book:-3700
202	28	5642	user.sky_book:-3700
202	29	5916	user.sky_book:-3700
202	30	6190	user.sky_book:-4300
202	31	6448	user.sky_book:-4300
202	32	6706	user.sky_book:-4300
202	33	6964	user.sky_book:-4300
202	34	7222	user.sky_book:-4300
202	35	7480	user.sky_book:-4300
202	36	7738	user.sky_book:-4300
202	37	7996	user.sky_book:-4300
202	38	8254	user.sky_book:-4300
202	39	8512	user.sky_book:-4300
202	40	8770	user.sky_book:-5800
202	41	9073	user.sky_book:-5800
202	42	9376	user.sky_book:-5800
202	43	9679	user.sky_book:-5800
202	44	9982	user.sky_book:-5800
202	45	10285	user.sky_book:-5800
202	46	10588	user.sky_book:-5800
202	47	10891	user.sky_book:-5800
202	48	11194	user.sky_book:-5800
202	49	11497	user.sky_book:-5800
202	50	11800	user.sky_book:-7800
202	51	12150	user.sky_book:-7800
202	52	12500	user.sky_book:-7800
202	53	12850	user.sky_book:-7800
202	54	13200	user.sky_book:-7800
202	55	13550	user.sky_book:-7800
202	56	13900	user.sky_book:-7800
202	57	14250	user.sky_book:-7800
202	58	14600	user.sky_book:-7800
202	59	14950	user.sky_book:-7800
202	60	15300	user.sky_book:-10200
202	61	15690	user.sky_book:-10200
202	62	16080	user.sky_book:-10200
202	63	16470	user.sky_book:-10200
202	64	16860	user.sky_book:-10200
202	65	17250	user.sky_book:-10200
202	66	17640	user.sky_book:-10200
202	67	18030	user.sky_book:-10200
202	68	18420	user.sky_book:-10200
202	69	18810	user.sky_book:-10200
202	70	19200	user.sky_book:-13500
202	71	19650	user.sky_book:-13500
202	72	20100	user.sky_book:-13500
202	73	20550	user.sky_book:-13500
202	74	21000	user.sky_book:-13500
202	75	21450	user.sky_book:-13500
202	76	21900	user.sky_book:-13500
202	77	22350	user.sky_book:-13500
202	78	22800	user.sky_book:-13500
202	79	23250	user.sky_book:-13500
202	80	23700	user.sky_book:-18000
202	81	24180	user.sky_book:-18000
202	82	24660	user.sky_book:-18000
202	83	25140	user.sky_book:-18000
202	84	25620	user.sky_book:-18000
202	85	26100	user.sky_book:-18000
202	86	26580	user.sky_book:-18000
202	87	27060	user.sky_book:-18000
202	88	27540	user.sky_book:-18000
202	89	28020	user.sky_book:-18000
202	90	28500	user.sky_book:-24900
202	91	29030	user.sky_book:-24900
202	92	29560	user.sky_book:-24900
202	93	30090	user.sky_book:-24900
202	94	30620	user.sky_book:-24900
202	95	31150	user.sky_book:-24900
202	96	31680	user.sky_book:-24900
202	97	32210	user.sky_book:-24900
202	98	32740	user.sky_book:-24900
202	99	33270	user.sky_book:-24900
202	100	33800	user.sky_book:-24900
203	0	0	user.sky_book:-0
203	1	236	user.sky_book:-150
203	2	472	user.sky_book:-150
203	3	708	user.sky_book:-150
203	4	944	user.sky_book:-150
203	5	1180	user.sky_book:-150
203	6	1416	user.sky_book:-150
203	7	1652	user.sky_book:-150
203	8	1888	user.sky_book:-150
203	9	2124	user.sky_book:-150
203	10	2360	user.sky_book:-1800
203	11	2656	user.sky_book:-1800
203	12	2952	user.sky_book:-1800
203	13	3248	user.sky_book:-1800
203	14	3544	user.sky_book:-1800
203	15	3840	user.sky_book:-1800
203	16	4136	user.sky_book:-1800
203	17	4432	user.sky_book:-1800
203	18	4728	user.sky_book:-1800
203	19	5024	user.sky_book:-1800
203	20	5320	user.sky_book:-3700
203	21	5741	user.sky_book:-3700
203	22	6162	user.sky_book:-3700
203	23	6583	user.sky_book:-3700
203	24	7004	user.sky_book:-3700
203	25	7425	user.sky_book:-3700
203	26	7846	user.sky_book:-3700
203	27	8267	user.sky_book:-3700
203	28	8688	user.sky_book:-3700
203	29	9109	user.sky_book:-3700
203	30	9530	user.sky_book:-4300
203	31	9927	user.sky_book:-4300
203	32	10324	user.sky_book:-4300
203	33	10721	user.sky_book:-4300
203	34	11118	user.sky_book:-4300
203	35	11515	user.sky_book:-4300
203	36	11912	user.sky_book:-4300
203	37	12309	user.sky_book:-4300
203	38	12706	user.sky_book:-4300
203	39	13103	user.sky_book:-4300
203	40	13500	user.sky_book:-5800
203	41	13970	user.sky_book:-5800
203	42	14440	user.sky_book:-5800
203	43	14910	user.sky_book:-5800
203	44	15380	user.sky_book:-5800
203	45	15850	user.sky_book:-5800
203	46	16320	user.sky_book:-5800
203	47	16790	user.sky_book:-5800
203	48	17260	user.sky_book:-5800
203	49	17730	user.sky_book:-5800
203	50	18200	user.sky_book:-7800
203	51	18740	user.sky_book:-7800
203	52	19280	user.sky_book:-7800
203	53	19820	user.sky_book:-7800
203	54	20360	user.sky_book:-7800
203	55	20900	user.sky_book:-7800
203	56	21440	user.sky_book:-7800
203	57	21980	user.sky_book:-7800
203	58	22520	user.sky_book:-7800
203	59	23060	user.sky_book:-7800
203	60	23600	user.sky_book:-10200
203	61	24200	user.sky_book:-10200
203	62	24800	user.sky_book:-10200
203	63	25400	user.sky_book:-10200
203	64	26000	user.sky_book:-10200
203	65	26600	user.sky_book:-10200
203	66	27200	user.sky_book:-10200
203	67	27800	user.sky_book:-10200
203	68	28400	user.sky_book:-10200
203	69	29000	user.sky_book:-10200
203	70	29600	user.sky_book:-13500
203	71	30280	user.sky_book:-13500
203	72	30960	user.sky_book:-13500
203	73	31640	user.sky_book:-13500
203	74	32320	user.sky_book:-13500
203	75	33000	user.sky_book:-13500
203	76	33680	user.sky_book:-13500
203	77	34360	user.sky_book:-13500
203	78	35040	user.sky_book:-13500
203	79	35720	user.sky_book:-13500
203	80	36400	user.sky_book:-18000
203	81	37150	user.sky_book:-18000
203	82	37900	user.sky_book:-18000
203	83	38650	user.sky_book:-18000
203	84	39400	user.sky_book:-18000
203	85	40150	user.sky_book:-18000
203	86	40900	user.sky_book:-18000
203	87	41650	user.sky_book:-18000
203	88	42400	user.sky_book:-18000
203	89	43150	user.sky_book:-18000
203	90	43900	user.sky_book:-24900
203	91	44720	user.sky_book:-24900
203	92	45540	user.sky_book:-24900
203	93	46360	user.sky_book:-24900
203	94	47180	user.sky_book:-24900
203	95	48000	user.sky_book:-24900
203	96	48820	user.sky_book:-24900
203	97	49640	user.sky_book:-24900
203	98	50460	user.sky_book:-24900
203	99	51280	user.sky_book:-24900
203	100	52100	user.sky_book:-24900
204	0	0	user.sky_book:-0
204	1	153	user.sky_book:-150
204	2	306	user.sky_book:-150
204	3	459	user.sky_book:-150
204	4	612	user.sky_book:-150
204	5	765	user.sky_book:-150
204	6	918	user.sky_book:-150
204	7	1071	user.sky_book:-150
204	8	1224	user.sky_book:-150
204	9	1377	user.sky_book:-150
204	10	1530	user.sky_book:-1800
204	11	1722	user.sky_book:-1800
204	12	1914	user.sky_book:-1800
204	13	2106	user.sky_book:-1800
204	14	2298	user.sky_book:-1800
204	15	2490	user.sky_book:-1800
204	16	2682	user.sky_book:-1800
204	17	2874	user.sky_book:-1800
204	18	3066	user.sky_book:-1800
204	19	3258	user.sky_book:-1800
204	20	3450	user.sky_book:-3700
204	21	3724	user.sky_book:-3700
204	22	3998	user.sky_book:-3700
204	23	4272	user.sky_book:-3700
204	24	4546	user.sky_book:-3700
204	25	4820	user.sky_book:-3700
204	26	5094	user.sky_book:-3700
204	27	5368	user.sky_book:-3700
204	28	5642	user.sky_book:-3700
204	29	5916	user.sky_book:-3700
204	30	6190	user.sky_book:-4300
204	31	6448	user.sky_book:-4300
204	32	6706	user.sky_book:-4300
204	33	6964	user.sky_book:-4300
204	34	7222	user.sky_book:-4300
204	35	7480	user.sky_book:-4300
204	36	7738	user.sky_book:-4300
204	37	7996	user.sky_book:-4300
204	38	8254	user.sky_book:-4300
204	39	8512	user.sky_book:-4300
204	40	8770	user.sky_book:-5800
204	41	9073	user.sky_book:-5800
204	42	9376	user.sky_book:-5800
204	43	9679	user.sky_book:-5800
204	44	9982	user.sky_book:-5800
204	45	10285	user.sky_book:-5800
204	46	10588	user.sky_book:-5800
204	47	10891	user.sky_book:-5800
204	48	11194	user.sky_book:-5800
204	49	11497	user.sky_book:-5800
204	50	11800	user.sky_book:-7800
204	51	12150	user.sky_book:-7800
204	52	12500	user.sky_book:-7800
204	53	12850	user.sky_book:-7800
204	54	13200	user.sky_book:-7800
204	55	13550	user.sky_book:-7800
204	56	13900	user.sky_book:-7800
204	57	14250	user.sky_book:-7800
204	58	14600	user.sky_book:-7800
204	59	14950	user.sky_book:-7800
204	60	15300	user.sky_book:-10200
204	61	15690	user.sky_book:-10200
204	62	16080	user.sky_book:-10200
204	63	16470	user.sky_book:-10200
204	64	16860	user.sky_book:-10200
204	65	17250	user.sky_book:-10200
204	66	17640	user.sky_book:-10200
204	67	18030	user.sky_book:-10200
204	68	18420	user.sky_book:-10200
204	69	18810	user.sky_book:-10200
204	70	19200	user.sky_book:-13500
204	71	19650	user.sky_book:-13500
204	72	20100	user.sky_book:-13500
