索引id	武将等级	兵种ID	品质	基础攻击	基础血量	基础怒气	基础武防	基础魔防	基础命中率万分比	基础闪避率万分比	基础暴击率万分比	基础韧性率万分比	伤害加成	伤害减免	无视护甲万分比	无视技防万分比	治疗加成	怒气回复加成	负面抗性	暴击伤害	暴击减伤	技能伤害加成	技能伤害减免	突破等级	技能等级
80421	1	3	0	1000	5700	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80423	1	3	0	1000	5700	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80511	1	3	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80513	1	3	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80521	1	3	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80522	1	3	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80523	1	3	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80611	1	3	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80612	1	3	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80621	1	3	0	1000	4950	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80622	1	3	0	1000	4950	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80623	1	3	0	1000	4950	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
1000001	1	1	0	227	547	0	141	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1000002	1	1	0	234	563	0	145	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1000003	2	1	0	241	869	0	149	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1000004	3	1	0	254	1224	0	156	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1000005	4	1	0	267	1612	0	163	163	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1
1000006	5	1	0	280	2033	1	171	171	2	2	2	2	2	2	0	0	0	0	0	1	0	0	2	0	1
1000007	5	1	0	287	3470	1	174	174	3	3	3	3	3	3	0	0	0	0	0	1	0	1	2	0	1
1000008	6	1	0	293	3552	1	178	178	3	3	3	3	3	3	1	1	1	1	1	2	0	1	3	0	1
1000009	7	1	0	306	3715	2	185	185	5	5	5	5	5	5	1	1	1	1	1	3	0	1	4	0	1
1000010	8	1	0	320	3878	3	192	192	7	7	7	7	7	7	1	1	1	1	1	4	0	2	5	0	1
1000011	9	1	0	333	4041	4	200	200	9	9	9	9	9	9	2	2	2	2	2	5	0	3	7	0	1
1000012	10	1	0	358	4396	5	226	226	11	11	11	11	11	11	3	3	3	3	3	6	0	3	8	0	1
1000013	10	1	0	436	5344	6	276	276	12	12	12	12	12	12	3	3	3	3	3	7	0	4	9	0	1
1000014	11	1	0	515	6292	6	325	325	13	13	13	13	13	13	3	3	3	3	3	8	0	4	10	0	1
1000015	12	1	0	528	8076	8	333	333	16	16	16	16	16	16	4	4	4	4	4	9	0	5	12	0	1
1000016	13	1	0	541	8286	9	342	342	18	18	18	18	18	18	5	5	5	5	5	11	0	6	14	0	1
1000017	14	1	0	555	8496	10	350	350	21	21	21	21	21	21	6	6	6	6	6	13	0	7	16	0	1
1000018	15	1	0	568	8706	12	359	359	24	24	24	24	24	24	6	6	6	6	6	15	0	8	19	0	1
1000019	15	1	0	646	9891	13	408	408	26	26	26	26	26	26	7	7	7	7	7	16	0	8	20	0	1
1000020	16	1	0	725	11076	14	457	457	28	28	28	28	28	28	7	7	7	7	7	17	0	9	21	0	1
1000021	17	1	0	738	11286	15	466	466	31	31	31	31	31	31	8	8	8	8	8	19	0	10	24	0	1
1000022	18	1	0	751	11496	17	475	475	35	35	35	35	35	35	9	9	9	9	9	21	0	11	27	0	1
1000023	19	1	0	764	11706	19	483	483	39	39	39	39	39	39	10	10	10	10	10	23	0	13	30	0	1
1000024	20	1	0	777	11916	21	492	492	43	43	43	43	43	43	11	11	11	11	11	26	0	14	33	0	1
1000025	20	1	0	863	13123	22	535	535	45	45	45	45	45	45	12	12	12	12	12	27	0	15	35	0	1
1000026	25	1	0	1016	15351	32	617	617	65	65	65	65	65	65	18	18	18	18	18	40	0	21	51	0	1
1000027	25	1	0	1021	15427	33	620	620	66	66	66	66	66	66	18	18	18	18	18	41	0	22	52	0	1
1000028	25	1	0	1028	15529	34	624	624	68	68	68	68	68	68	19	19	19	19	19	42	0	23	53	0	1
1000029	26	1	0	1033	15606	35	627	627	70	70	70	70	70	70	19	19	19	19	19	43	0	23	54	0	1
1000030	26	1	0	1041	15733	36	632	632	73	73	73	73	73	73	20	20	20	20	20	44	0	24	56	0	1
1000031	28	1	0	1066	16116	40	646	646	80	80	80	80	80	80	22	22	22	22	22	49	0	27	63	0	1
1000032	29	1	0	1083	16371	43	656	656	86	86	86	86	86	86	24	24	24	24	24	52	0	28	67	0	1
1000033	30	1	0	1137	17185	46	690	690	92	92	92	92	92	92	25	25	25	25	25	56	0	30	71	0	1
1000034	31	1	0	1191	18002	49	724	724	97	97	97	97	97	97	27	27	27	27	27	59	0	32	76	0	1
1000035	32	1	0	1246	18823	52	759	759	103	103	103	103	103	103	28	28	28	28	28	63	0	34	80	0	1
1000036	33	1	0	1301	19647	55	794	794	109	109	109	109	109	109	30	30	30	30	30	67	0	36	85	0	1
1000037	34	1	0	1356	20474	58	829	829	116	116	116	116	116	116	32	32	32	32	32	71	0	38	90	0	1
1000038	35	1	0	1539	23257	61	944	944	122	122	122	122	122	122	34	34	34	34	34	75	0	40	95	0	1
1000039	35	1	0	1545	23342	61	948	948	123	123	123	123	123	123	34	34	34	34	34	75	0	41	96	0	1
1000040	35	1	0	1556	23512	62	955	955	124	124	124	124	124	124	34	34	34	34	34	76	0	41	97	0	1
1000041	35	1	0	1561	23597	62	959	959	125	125	125	125	125	125	34	34	34	34	34	76	0	41	97	0	1
1000042	35	1	0	1573	23767	63	966	966	126	126	126	126	126	126	35	35	35	35	35	77	0	42	98	0	1
1000043	35	1	0	1578	23852	63	970	970	127	127	127	127	127	127	35	35	35	35	35	77	0	42	99	0	1
1000044	35	1	0	1590	24022	64	977	977	128	128	128	128	128	128	35	35	35	35	35	78	0	42	100	0	1
1000045	40	1	0	1844	27849	78	1140	1140	156	156	156	156	156	156	43	43	43	43	43	96	0	52	122	1	1
1000046	41	1	0	1915	28932	82	1186	1186	164	164	164	164	164	164	45	45	45	45	45	100	0	54	128	1	1
1000047	42	1	0	1986	30020	86	1232	1232	171	171	171	171	171	171	47	47	47	47	47	105	0	57	133	1	1
1000048	43	1	0	2201	33272	89	1368	1368	179	179	179	179	179	179	49	49	49	49	49	109	0	59	139	1	1
1000049	44	1	0	2272	34369	93	1414	1414	187	187	187	187	187	187	52	52	52	52	52	114	0	62	145	1	1
1000050	45	1	0	2344	35470	97	1461	1461	195	195	195	195	195	195	54	54	54	54	54	119	0	65	152	1	1
1000051	46	1	0	2416	36576	101	1508	1508	203	203	203	203	203	203	56	56	56	56	56	124	0	67	158	1	1
1000052	46	1	0	2431	36798	102	1517	1517	204	204	204	204	204	204	56	56	56	56	56	125	0	68	159	1	1
1000053	46	1	0	2438	36909	102	1522	1522	205	205	205	205	205	205	57	57	57	57	57	125	0	68	160	1	1
1000054	46	1	0	2452	37131	103	1531	1531	207	207	207	207	207	207	57	57	57	57	57	126	0	69	161	1	1
1000055	46	1	0	2467	37353	104	1541	1541	208	208	208	208	208	208	58	58	58	58	58	127	0	69	162	1	1
1000056	46	1	0	2474	37464	105	1545	1545	209	209	209	209	209	209	58	58	58	58	58	128	0	70	163	1	1
1000057	48	1	0	2561	38801	110	1602	1602	219	219	219	219	219	219	61	61	61	61	61	134	0	73	171	1	1
1000058	48	1	0	2568	38913	110	1607	1607	220	220	220	220	220	220	61	61	61	61	61	135	0	73	171	1	1
1000059	48	1	0	2575	39025	110	1612	1612	221	221	221	221	221	221	61	61	61	61	61	135	0	73	172	1	1
1000060	48	1	0	2582	39137	111	1617	1617	222	222	222	222	222	222	61	61	61	61	61	136	0	74	173	1	1
1000061	48	1	0	2590	39249	111	1621	1621	222	222	222	222	222	222	62	62	62	62	62	136	0	74	173	1	1
1000062	48	1	0	2597	39361	112	1626	1626	223	223	223	223	223	223	62	62	62	62	62	137	0	74	174	1	1
1000063	48	1	0	2597	39361	112	1626	1626	223	223	223	223	223	223	62	62	62	62	62	137	0	74	174	1	1
1000064	48	1	0	2604	39473	112	1631	1631	224	224	224	224	224	224	62	62	62	62	62	137	0	75	175	1	1
1000065	48	1	0	2612	39585	113	1636	1636	225	225	225	225	225	225	62	62	62	62	62	138	0	75	175	1	1
1000066	48	1	0	2619	39697	113	1640	1640	226	226	226	226	226	226	63	63	63	63	63	138	0	75	176	1	1
1000067	48	1	0	2626	39809	113	1645	1645	227	227	227	227	227	227	63	63	63	63	63	139	0	75	177	1	1
1000068	49	1	0	2633	39921	114	1650	1650	228	228	228	228	228	228	63	63	63	63	63	139	0	76	177	1	1
1000069	49	1	0	2658	40306	115	1666	1666	230	230	230	230	230	230	64	64	64	64	64	141	0	77	179	1	1
1000070	49	1	0	2692	40820	117	1688	1688	234	234	234	234	234	234	65	65	65	65	65	143	0	78	182	1	1
1000071	50	2	0	2717	41205	118	1704	1704	236	236	236	236	236	236	65	65	65	65	65	144	0	79	184	2	1
1000072	50	2	0	3044	46215	119	1908	1908	239	239	239	239	239	239	66	66	66	66	66	146	0	79	186	2	1
1000073	50	2	0	3263	49555	120	2043	2043	241	241	241	241	241	241	67	67	67	67	67	147	0	80	187	2	1
1000074	50	2	0	3590	54565	122	2247	2247	243	243	243	243	243	243	67	67	67	67	67	149	0	81	189	2	1
1000075	52	2	0	3936	59769	127	2456	2456	254	254	254	254	254	254	70	70	70	70	70	155	0	84	198	2	1
1000076	52	2	0	3961	60143	128	2471	2471	256	256	256	256	256	256	71	71	71	71	71	156	0	85	199	2	1
1000077	52	2	0	3987	60518	129	2486	2486	257	257	257	257	257	257	71	71	71	71	71	158	0	86	201	2	1
1000078	52	2	0	4013	60892	130	2501	2501	259	259	259	259	259	259	72	72	72	72	72	159	0	86	202	2	1
1000079	52	2	0	4038	61267	131	2516	2516	261	261	261	261	261	261	72	72	72	72	72	160	0	87	203	2	1
1000080	53	2	0	4064	61641	131	2531	2531	263	263	263	263	263	263	73	73	73	73	73	161	0	87	205	2	1
1000081	53	2	0	4090	62018	132	2546	2546	265	265	265	265	265	265	73	73	73	73	73	162	0	88	206	2	1
1000082	53	2	0	4115	62394	133	2561	2561	267	267	267	267	267	267	74	74	74	74	74	163	0	89	208	2	1
1000083	53	2	0	4141	62770	134	2576	2576	268	268	268	268	268	268	74	74	74	74	74	164	0	89	209	2	1
1000084	53	2	0	4167	63146	135	2591	2591	270	270	270	270	270	270	75	75	75	75	75	165	0	90	211	2	1
1000085	54	2	0	4193	63523	136	2606	2606	272	272	272	272	272	272	75	75	75	75	75	166	0	91	212	2	1
1000086	54	2	0	4219	63916	137	2621	2621	274	274	274	274	274	274	76	76	76	76	76	168	0	91	213	2	1
1000087	54	2	0	4246	64310	138	2637	2637	276	276	276	276	276	276	76	76	76	76	76	169	0	92	215	2	1
1000088	54	2	0	4273	64704	139	2653	2653	278	278	278	278	278	278	77	77	77	77	77	170	0	92	216	2	1
1000089	54	2	0	4300	65097	140	2668	2668	280	280	280	280	280	280	77	77	77	77	77	171	0	93	218	2	1
1000090	55	2	0	4327	65491	141	2684	2684	281	281	281	281	281	281	78	78	78	78	78	172	0	94	219	2	1
1000091	55	2	0	4354	65886	142	2700	2700	283	283	283	283	283	283	79	79	79	79	79	173	0	94	221	2	1
1000092	55	2	0	4381	66282	143	2715	2715	285	285	285	285	285	285	79	79	79	79	79	174	0	95	222	2	1
1000093	55	2	0	4408	66677	144	2731	2731	287	287	287	287	287	287	80	80	80	80	80	176	0	96	224	2	1
1000094	55	2	0	4435	67073	145	2747	2747	289	289	289	289	289	289	80	80	80	80	80	177	0	96	225	2	1
1000095	56	2	0	4462	67468	146	2762	2762	291	291	291	291	291	291	81	81	81	81	81	178	0	97	227	2	1
1000096	56	2	0	4503	68064	147	2786	2786	294	294	294	294	294	294	81	81	81	81	81	180	0	98	229	2	1
1000097	56	2	0	4530	68461	148	2802	2802	296	296	296	296	296	296	82	82	82	82	82	181	0	98	230	2	1
1000098	56	2	0	4571	69057	149	2825	2825	299	299	299	299	299	299	83	83	83	83	83	183	0	99	233	2	1
1000099	60	2	0	5173	77914	165	3179	3179	330	330	330	330	330	330	92	92	92	92	92	202	0	110	257	3	1
1000100	60	2	0	5214	78532	166	3204	3204	331	331	331	331	331	331	92	92	92	92	92	203	0	110	258	3	1
1000101	60	2	0	5255	79149	166	3230	3230	332	332	332	332	332	332	92	92	92	92	92	203	0	111	259	3	1
1000102	60	2	0	5295	79767	167	3256	3256	333	333	333	333	333	333	92	92	92	92	92	204	0	111	260	3	1
1000103	60	2	0	5336	80385	167	3281	3281	334	334	334	334	334	334	93	93	93	93	93	204	0	111	260	3	1
1000104	60	2	0	5377	81003	168	3307	3307	335	335	335	335	335	335	93	93	93	93	93	205	0	112	261	3	1
1000105	60	2	0	5377	81003	168	3307	3307	335	335	335	335	335	335	93	93	93	93	93	205	0	112	261	3	1
1000106	60	2	0	5417	81620	168	3333	3333	336	336	336	336	336	336	93	93	93	93	93	206	0	112	262	3	1
1000107	60	2	0	5458	82238	169	3358	3358	337	337	337	337	337	337	94	94	94	94	94	206	0	112	263	3	1
1000108	60	2	0	5498	82856	169	3384	3384	338	338	338	338	338	338	94	94	94	94	94	207	0	113	264	3	1
1000109	60	2	0	5539	83473	170	3410	3410	339	339	339	339	339	339	94	94	94	94	94	208	0	113	264	3	1
1000110	61	2	0	5580	84091	170	3435	3435	340	340	340	340	340	340	94	94	94	94	94	208	0	113	265	3	1
1000111	61	2	0	5621	84717	171	3461	3461	341	341	341	341	341	341	95	95	95	95	95	209	0	114	266	3	1
1000112	61	2	0	5662	85343	171	3487	3487	342	342	342	342	342	342	95	95	95	95	95	209	0	114	267	3	1
1000113	61	2	0	5703	85968	172	3513	3513	343	343	343	343	343	343	95	95	95	95	95	210	0	114	268	3	1
1000114	61	2	0	5744	86594	172	3539	3539	344	344	344	344	344	344	96	96	96	96	96	211	0	115	268	3	1
1000115	61	2	0	5785	87220	173	3565	3565	345	345	345	345	345	345	96	96	96	96	96	211	0	115	269	3	1
1000116	61	2	0	5826	87845	173	3590	3590	346	346	346	346	346	346	96	96	96	96	96	212	0	115	270	3	1
1000117	61	2	0	5867	88471	174	3616	3616	348	348	348	348	348	348	96	96	96	96	96	213	0	116	271	3	1
1000118	61	2	0	5908	89097	174	3642	3642	349	349	349	349	349	349	97	97	97	97	97	213	0	116	272	3	1
1000119	61	2	0	5949	89722	175	3668	3668	350	350	350	350	350	350	97	97	97	97	97	214	0	116	272	3	1
1000120	62	2	0	5990	90348	175	3694	3694	351	351	351	351	351	351	97	97	97	97	97	215	0	117	273	3	1
1000121	62	2	0	6020	90813	176	3713	3713	352	352	352	352	352	352	98	98	98	98	98	215	0	117	274	3	1
1000122	62	2	0	6051	91278	176	3733	3733	353	353	353	353	353	353	98	98	98	98	98	216	0	117	275	3	1
1000123	62	2	0	6081	91743	177	3752	3752	354	354	354	354	354	354	98	98	98	98	98	216	0	118	276	3	1
1000124	62	2	0	6112	92207	178	3771	3771	355	355	355	355	355	355	98	98	98	98	98	217	0	118	276	3	1
1000125	62	2	0	6142	92672	178	3790	3790	356	356	356	356	356	356	99	99	99	99	99	218	0	119	277	3	1
1000126	62	2	0	6172	93137	179	3810	3810	357	357	357	357	357	357	99	99	99	99	99	218	0	119	278	3	1
1000127	62	2	0	6203	93602	179	3829	3829	358	358	358	358	358	358	99	99	99	99	99	219	0	119	279	3	1
1000128	62	2	0	6233	94067	180	3848	3848	359	359	359	359	359	359	100	100	100	100	100	220	0	120	280	3	1
1000129	62	2	0	6264	94532	180	3868	3868	360	360	360	360	360	360	100	100	100	100	100	220	0	120	280	3	1
1000130	63	2	0	6294	94996	181	3887	3887	361	361	361	361	361	361	100	100	100	100	100	221	0	120	281	3	1
1000131	63	2	0	6325	95469	181	3907	3907	362	362	362	362	362	362	100	100	100	100	100	222	0	121	282	3	1
1000132	63	2	0	6356	95941	182	3926	3926	363	363	363	363	363	363	101	101	101	101	101	222	0	121	283	3	1
1000133	63	2	0	6387	96414	182	3946	3946	364	364	364	364	364	364	101	101	101	101	101	223	0	121	284	3	1
1000134	63	2	0	6417	96886	183	3965	3965	365	365	365	365	365	365	101	101	101	101	101	224	0	122	285	3	1
1000135	63	2	0	6448	97359	183	3985	3985	366	366	366	366	366	366	102	102	102	102	102	224	0	122	285	3	1
1000136	63	2	0	6479	97831	184	4005	4005	367	367	367	367	367	367	102	102	102	102	102	225	0	122	286	3	1
1000137	63	2	0	6510	98303	184	4024	4024	368	368	368	368	368	368	102	102	102	102	102	225	0	123	287	3	1
1000138	63	2	0	6541	98776	185	4044	4044	369	369	369	369	369	369	102	102	102	102	102	226	0	123	288	3	1
1000139	63	2	0	6572	99248	185	4064	4064	371	371	371	371	371	371	103	103	103	103	103	227	0	123	289	3	1
1000140	64	2	0	6603	99721	186	4083	4083	372	372	372	372	372	372	103	103	103	103	103	227	0	124	290	3	1
1000141	64	2	0	6634	100196	186	4103	4103	373	373	373	373	373	373	103	103	103	103	103	228	0	124	290	3	1
1000142	64	2	0	6665	100671	187	4123	4123	374	374	374	374	374	374	104	104	104	104	104	229	0	125	291	3	1
1000143	64	2	0	6696	101146	188	4142	4142	375	375	375	375	375	375	104	104	104	104	104	229	0	125	292	3	1
1000144	64	2	0	6727	101621	188	4162	4162	376	376	376	376	376	376	104	104	104	104	104	230	0	125	293	3	1
1000145	64	2	0	6758	102096	189	4182	4182	377	377	377	377	377	377	105	105	105	105	105	231	0	126	294	3	1
1000146	64	2	0	6789	102571	189	4202	4202	378	378	378	378	378	378	105	105	105	105	105	231	0	126	295	3	1
1000147	64	2	0	6820	103046	190	4221	4221	379	379	379	379	379	379	105	105	105	105	105	232	0	126	295	3	1
1000148	64	2	0	6851	103522	190	4241	4241	380	380	380	380	380	380	105	105	105	105	105	233	0	127	296	3	1
1000149	64	2	0	6882	103997	191	4261	4261	381	381	381	381	381	381	106	106	106	106	106	233	0	127	297	3	1
1000150	66	2	0	7225	109250	197	4479	4479	393	393	393	393	393	393	109	109	109	109	109	241	0	131	306	3	1
1000151	66	2	0	7257	109740	197	4500	4500	394	394	394	394	394	394	109	109	109	109	109	241	0	131	307	3	1
1000152	66	2	0	7257	109740	197	4500	4500	394	394	394	394	394	394	109	109	109	109	109	241	0	131	307	3	1
1000153	66	2	0	7289	110229	198	4520	4520	395	395	395	395	395	395	110	110	110	110	110	242	0	132	308	3	1
1000154	66	2	0	7289	110229	198	4520	4520	395	395	395	395	395	395	110	110	110	110	110	242	0	132	308	3	1
1000155	66	2	0	7321	110718	198	4540	4540	396	396	396	396	396	396	110	110	110	110	110	243	0	132	309	3	1
1000156	66	2	0	7321	110718	198	4540	4540	396	396	396	396	396	396	110	110	110	110	110	243	0	132	309	3	1
1000157	66	2	0	7353	111207	199	4561	4561	398	398	398	398	398	398	110	110	110	110	110	243	0	132	310	3	1
1000158	66	2	0	7353	111207	199	4561	4561	398	398	398	398	398	398	110	110	110	110	110	243	0	132	310	3	1
1000159	66	2	0	7385	111696	199	4581	4581	399	399	399	399	399	399	111	111	111	111	111	244	0	133	311	3	1
1000160	66	2	0	7417	112186	200	4602	4602	400	400	400	400	400	400	111	111	111	111	111	245	0	133	311	3	1
1000161	66	2	0	7417	112186	200	4602	4602	400	400	400	400	400	400	111	111	111	111	111	245	0	133	311	3	1
1000162	66	2	0	7449	112675	201	4622	4622	401	401	401	401	401	401	111	111	111	111	111	245	0	134	312	3	1
1000163	66	2	0	7449	112675	201	4622	4622	401	401	401	401	401	401	111	111	111	111	111	245	0	134	312	3	1
1000164	66	2	0	7481	113164	201	4642	4642	402	402	402	402	402	402	112	112	112	112	112	246	0	134	313	3	1
1000165	66	2	0	7481	113164	201	4642	4642	402	402	402	402	402	402	112	112	112	112	112	246	0	134	313	3	1
1000166	66	2	0	7513	113653	202	4663	4663	403	403	403	403	403	403	112	112	112	112	112	247	0	134	314	3	1
1000167	66	2	0	7513	113653	202	4663	4663	403	403	403	403	403	403	112	112	112	112	112	247	0	134	314	3	1
1000168	67	2	0	7544	114142	202	4683	4683	404	404	404	404	404	404	112	112	112	112	112	247	0	135	315	3	1
1000169	67	2	0	7577	114634	203	4703	4703	405	405	405	405	405	405	112	112	112	112	112	248	0	135	316	3	1
1000170	67	2	0	7577	114634	203	4703	4703	405	405	405	405	405	405	112	112	112	112	112	248	0	135	316	3	1
1000171	67	2	0	7609	115126	203	4724	4724	406	406	406	406	406	406	113	113	113	113	113	249	0	135	317	3	1
1000172	67	2	0	7641	115618	204	4744	4744	407	407	407	407	407	407	113	113	113	113	113	249	0	136	317	3	1
1000173	67	2	0	7641	115618	204	4744	4744	407	407	407	407	407	407	113	113	113	113	113	249	0	136	317	3	1
1000174	67	2	0	7673	116110	204	4765	4765	409	409	409	409	409	409	113	113	113	113	113	250	0	136	318	3	1
1000175	67	2	0	7705	116602	205	4785	4785	410	410	410	410	410	410	114	114	114	114	114	251	0	137	319	3	1
1000176	67	2	0	7705	116602	205	4785	4785	410	410	410	410	410	410	114	114	114	114	114	251	0	137	319	3	1
1000177	67	2	0	7737	117094	206	4806	4806	411	411	411	411	411	411	114	114	114	114	114	251	0	137	320	3	1
1000178	67	2	0	7769	117586	206	4826	4826	412	412	412	412	412	412	114	114	114	114	114	252	0	137	321	3	1
1000179	67	2	0	7769	117586	206	4826	4826	412	412	412	412	412	412	114	114	114	114	114	252	0	137	321	3	1
1000180	67	2	0	7801	118078	207	4847	4847	413	413	413	413	413	413	115	115	115	115	115	253	0	138	322	3	1
1000181	67	2	0	7833	118570	207	4867	4867	414	414	414	414	414	414	115	115	115	115	115	253	0	138	323	3	1
1000182	67	2	0	7833	118570	207	4867	4867	414	414	414	414	414	414	115	115	115	115	115	253	0	138	323	3	1
1000183	68	2	0	7865	119062	208	4888	4888	415	415	415	415	415	415	115	115	115	115	115	254	0	138	324	3	1
1000184	68	2	0	7898	119557	208	4908	4908	416	416	416	416	416	416	116	116	116	116	116	255	0	139	324	3	1
1000185	68	2	0	7930	120052	209	4929	4929	417	417	417	417	417	417	116	116	116	116	116	255	0	139	325	3	1
1000186	68	2	0	7962	120548	209	4950	4950	419	419	419	419	419	419	116	116	116	116	116	256	0	139	326	3	1
1000187	68	2	0	7962	120548	209	4950	4950	419	419	419	419	419	419	116	116	116	116	116	256	0	139	326	3	1
1000188	68	2	0	7995	121043	210	4970	4970	420	420	420	420	420	420	116	116	116	116	116	257	0	140	327	3	1
1000189	68	2	0	8027	121538	211	4991	4991	421	421	421	421	421	421	117	117	117	117	117	258	0	140	328	3	1
1000190	68	2	0	8059	122033	211	5012	5012	422	422	422	422	422	422	117	117	117	117	117	258	0	141	329	3	1
1000191	68	2	0	8091	122529	212	5032	5032	423	423	423	423	423	423	117	117	117	117	117	259	0	141	330	3	1
1000192	68	2	0	8124	123024	212	5053	5053	424	424	424	424	424	424	118	118	118	118	118	260	0	141	331	3	1
1000193	68	2	0	8124	123024	212	5053	5053	424	424	424	424	424	424	118	118	118	118	118	260	0	141	331	3	1
1000194	68	2	0	8156	123519	213	5073	5073	425	425	425	425	425	425	118	118	118	118	118	260	0	142	331	3	1
1000195	69	2	0	8188	124015	213	5094	5094	426	426	426	426	426	426	118	118	118	118	118	261	0	142	332	3	1
1000196	69	2	0	8219	124484	214	5114	5114	428	428	428	428	428	428	119	119	119	119	119	262	0	143	333	3	1
1000197	69	2	0	8219	124484	214	5114	5114	428	428	428	428	428	428	119	119	119	119	119	262	0	143	333	3	1
1000198	69	2	0	8250	124954	215	5135	5135	429	429	429	429	429	429	119	119	119	119	119	262	0	143	334	3	1
1000199	69	2	0	8281	125424	215	5155	5155	430	430	430	430	430	430	119	119	119	119	119	263	0	143	335	3	1
1000200	69	2	0	8312	125894	216	5175	5175	431	431	431	431	431	431	120	120	120	120	120	264	0	144	336	3	1
1000201	69	2	0	8312	125894	216	5175	5175	431	431	431	431	431	431	120	120	120	120	120	264	0	144	336	3	1
1000202	69	2	0	8343	126363	216	5195	5195	432	432	432	432	432	432	120	120	120	120	120	264	0	144	337	3	1
1000203	69	2	0	8374	126833	217	5215	5215	433	433	433	433	433	433	120	120	120	120	120	265	0	144	338	3	1
1000204	69	2	0	8374	126833	217	5215	5215	433	433	433	433	433	433	120	120	120	120	120	265	0	144	338	3	1
1000205	69	2	0	8405	127303	217	5236	5236	434	434	434	434	434	434	121	121	121	121	121	266	0	145	338	3	1
1000206	69	2	0	8436	127772	218	5256	5256	436	436	436	436	436	436	121	121	121	121	121	267	0	145	339	3	1
1000207	69	2	0	8467	128242	219	5276	5276	437	437	437	437	437	437	121	121	121	121	121	267	0	146	340	3	1
