编号	主怪	战斗力	位置1	位置2	位置3	位置4	位置5	位置6	位置7	位置8	位置9	英雄模板ID1	英雄模板ID2	英雄模板ID3	英雄模板ID4	英雄模板ID5	英雄模板ID6	英雄模板ID7	英雄模板ID8	英雄模板ID9
1000068	2	403124	0	1010068	1000068	1000068	1000068	1000068	1000068	1000068	0	0	5005	5001	5006	5009	5010	5011	5024	0
1000069	2	407429	0	1010069	1000069	1000069	0	1000069	1000069	1000069	1000069	0	5016	5004	5001	0	5015	5006	5027	5008
1000070	2	413693	1000070	1010070	1000070	1000070	1000070	1000070	1000070	0	0	5004	5003	5011	5006	5014	5028	5009	0	0
1000071	2	417091	1000071	1010071	1000071	1000071	0	0	1000071	1000071	1000071	5010	5028	5024	5019	0	0	5005	5020	5008
1000072	2	438010	1000072	1010072	0	0	1000072	1000072	1000072	1000072	1000072	5001	5023	0	0	5002	5027	5026	5015	5004
1000073	2	452207	1000073	1010073	0	1000073	1000073	1000073	1000073	1000073	0	5013	5010	0	5004	5018	5021	5015	5001	0
1000074	2	472033	0	1010074	1000074	1000074	0	1000074	1000074	1000074	1000074	0	5018	5014	5019	0	5005	5021	5027	5025
1000075	2	502618	0	1010075	1000075	1000075	0	1000075	1000075	1000075	1000075	0	5020	5009	5019	0	5024	5025	5022	5016
1000076	2	506647	1000076	1010076	1000076	0	0	1000076	1000076	1000076	1000076	5012	5002	5004	0	0	5008	5022	5007	5027
1000077	2	509360	1000077	1010077	1000077	1000077	1000077	1000077	0	1000077	0	5004	5007	5010	5021	5020	5003	0	5002	0
1000078	2	513339	1000078	1010078	1000078	1000078	1000078	1000078	0	0	1000078	5014	5005	5007	5004	5009	5028	0	0	5027
1000079	2	516308	1000079	1010079	0	1000079	1000079	1000079	1000079	1000079	0	5028	5023	0	5027	5001	5016	5008	5015	0
1000080	2	520152	0	1010080	0	1000080	1000080	1000080	1000080	1000080	1000080	0	5009	0	5004	5026	5007	5010	5027	5012
1000081	2	523201	1000081	1010081	1000081	1000081	1000081	1000081	1000081	0	0	5022	5011	5007	5001	5017	5028	5013	0	0
1000082	2	527238	0	1010082	1000082	1000082	1000082	0	1000082	1000082	1000082	0	5017	5027	5021	5014	0	5015	5012	5024
1000083	2	529708	1000083	1010083	1000083	1000083	0	1000083	0	1000083	1000083	5004	5023	5013	5022	0	5010	0	5005	5006
1000084	2	533773	1000084	1010084	1000084	1000084	1000084	0	1000084	1000084	0	5018	5028	5023	5007	5013	0	5014	5025	0
1000085	2	536701	1000085	1010085	1000085	1000085	1000085	0	1000085	0	1000085	5008	5020	5016	5013	5001	0	5003	0	5011
1000086	2	540940	1000086	1010086	0	1000086	1000086	1000086	0	1000086	1000086	5021	5010	0	5013	5009	5025	0	5015	5016
1000087	2	544152	1000087	1010087	0	1000087	1000087	1000087	1000087	1000087	0	5012	6017	0	5021	5025	5019	6026	5016	0
1000088	2	548246	1000088	1010088	0	1000088	1000088	0	1000088	1000088	1000088	5027	6007	0	6011	5026	0	5017	5002	5013
1000089	2	551562	0	1010089	1000089	1000089	1000089	0	1000089	1000089	1000089	0	6012	5027	5018	5024	0	5022	5004	6006
1000090	2	555053	1000090	1010090	1000090	1000090	1000090	1000090	0	1000090	0	5025	6008	5010	6012	5024	5028	0	5022	0
1000091	2	559117	1000091	1010091	1000091	0	1000091	1000091	1000091	0	1000091	5010	6022	6027	0	5001	5005	5012	0	5017
1000092	2	562217	1000092	1010092	1000092	1000092	0	1000092	1000092	0	1000092	5002	6010	5019	6021	0	5024	5001	0	5017
1000093	2	566500	1000093	1010093	0	1000093	1000093	0	1000093	1000093	1000093	6014	6027	0	5024	5025	0	5022	5002	5005
1000094	2	569541	1000094	1010094	0	1000094	1000094	0	1000094	1000094	1000094	5007	6025	0	6001	5020	0	5027	5017	5019
1000095	2	573644	1000095	1010095	1000095	1000095	0	0	1000095	1000095	1000095	5019	6025	5021	5022	0	0	6027	5008	5018
1000096	2	578448	1000096	1010096	1000096	1000096	1000096	0	0	1000096	1000096	5026	6004	5011	5012	6019	0	0	5017	5020
1000097	2	582348	1000097	1010097	1000097	0	1000097	1000097	1000097	1000097	0	5014	6004	5008	0	6013	5001	5020	5027	0
1000098	2	587999	1000098	1010098	1000098	1000098	0	0	1000098	1000098	1000098	5022	6003	5008	6013	0	0	5002	5024	5021
1000099	2	655996	1000099	1010099	1000099	0	1000099	1000099	1000099	1000099	0	5014	6024	5010	0	5008	6011	5027	5001	0
1000100	2	659304	0	1010100	1000100	1000100	1000100	0	1000100	1000100	1000100	0	6010	5009	5014	5004	0	5001	5021	6019
1000101	2	662235	1000101	1010101	1000101	0	1000101	0	1000101	1000101	1000101	6023	6005	5004	0	5015	0	5008	5002	5028
1000102	2	665463	1000102	1010102	1000102	1000102	1000102	0	0	1000102	1000102	5022	6007	5004	5005	5013	0	0	5002	6003
1000103	2	669236	1000103	1010103	1000103	0	1000103	0	1000103	1000103	1000103	5006	6003	5012	0	5028	0	5016	5002	6010
1000104	2	672523	1000104	1010104	0	1000104	0	1000104	1000104	1000104	1000104	5019	6028	0	5012	0	5003	5016	5024	6008
1000105	2	672523	1000105	1010105	0	0	1000105	1000105	1000105	1000105	1000105	5022	6002	0	0	5017	5011	6003	5023	5020
1000106	2	675539	1000106	1010106	1000106	1000106	1000106	1000106	0	0	1000106	5026	6018	6014	5022	5019	5025	0	0	5012
1000107	2	679414	1000107	1010107	1000107	1000107	1000107	1000107	0	1000107	0	5022	6002	5012	5018	5006	6010	0	5015	0
1000108	2	682615	1000108	1010108	1000108	0	1000108	1000108	1000108	1000108	0	5011	6005	5023	0	6007	5002	5019	5025	0
1000109	2	685812	1000109	1010109	1000109	0	0	1000109	1000109	1000109	1000109	5004	6024	5021	0	0	5010	5020	6028	5016
1000110	2	688639	1000110	1010110	1000110	0	1000110	1000110	1000110	1000110	0	5012	6015	5022	0	5019	5013	5004	6025	0
1000111	2	692889	1000111	1010111	0	1000111	1000111	1000111	1000111	1000111	0	5020	6019	0	5016	5004	5025	6017	5014	0
1000112	2	695741	0	1010112	0	1000112	1000112	1000112	1000112	1000112	1000112	0	6028	0	5008	6009	5010	5012	5013	5023
1000113	2	698925	0	1010113	1000113	0	1000113	1000113	1000113	1000113	1000113	0	6023	5027	0	6020	5010	5015	5024	5002
1000114	2	703021	0	1010114	1000114	0	1000114	1000114	1000114	1000114	1000114	0	6006	5003	0	5024	6010	5015	5012	5016
1000115	2	706063	1000115	1010115	0	1000115	0	1000115	1000115	1000115	1000115	5011	6020	0	5012	0	5008	5027	6004	5015
1000116	2	709068	1000116	1010116	0	1000116	1000116	1000116	1000116	0	1000116	5001	6019	0	5003	5017	6024	5026	0	5020
1000117	2	712807	1000117	1010117	1000117	0	1000117	1000117	1000117	0	1000117	5012	6021	6024	0	5003	5002	5019	0	5001
1000118	2	716671	1000118	1010118	1000118	1000118	1000118	0	1000118	0	1000118	5008	6028	6003	5012	5013	0	5018	0	5015
1000119	2	719790	0	1010119	1000119	1000119	1000119	1000119	1000119	1000119	0	0	6026	6009	5023	5002	5024	5016	5005	0
1000120	2	722877	1000120	1010120	1000120	1000120	1000120	1000120	1000120	0	0	5027	6018	5019	5005	5021	6003	5011	0	0
1000121	2	726328	1000121	1010121	1000121	1000121	1000121	0	0	1000121	1000121	5028	6009	6027	5010	5021	0	0	5020	5011
1000122	2	728829	1000122	1010122	1000122	1000122	1000122	0	1000122	0	1000122	6028	6006	5008	5010	5020	0	5005	0	5011
1000123	2	731329	1000123	1010123	1000123	0	1000123	1000123	1000123	0	1000123	5020	6014	5013	0	5023	5005	6007	0	5003
1000124	2	734104	0	1010124	1000124	1000124	1000124	1000124	1000124	1000124	0	0	6003	5007	6021	5009	5015	5008	5016	0
1000125	2	737526	1000125	1010125	0	0	1000125	1000125	1000125	1000125	1000125	5017	6007	0	0	6003	5026	5027	5014	5022
1000126	2	740031	0	1010126	1000126	1000126	0	1000126	1000126	1000126	1000126	0	6026	5024	5015	0	5023	6006	5005	5001
1000127	2	742689	1000127	1010127	0	1000127	1000127	1000127	0	1000127	1000127	6006	6002	0	5027	5014	5008	0	5010	5017
1000128	2	746174	1000128	1010128	1000128	0	1000128	1000128	1000128	0	1000128	5002	6021	5022	0	6001	5008	5005	0	5009
1000129	2	748487	0	1010129	1000129	0	1000129	1000129	1000129	1000129	1000129	0	6010	5007	0	5020	5013	5018	6022	5015
1000130	2	751126	1000130	1010130	1000130	1000130	0	0	1000130	1000130	1000130	5006	6017	5012	5008	0	0	5013	6001	5009
1000131	2	753844	1000131	1010131	1000131	1000131	1000131	0	0	1000131	1000131	5018	6024	5025	5027	5004	0	0	5013	6008
1000132	2	757217	0	1010132	1000132	0	1000132	1000132	1000132	1000132	1000132	0	6019	6014	0	5017	5015	5005	5026	5006
1000133	2	759791	0	1010133	1000133	1000133	1000133	1000133	1000133	0	1000133	0	6013	5009	5017	5010	5016	6005	0	5026
1000134	2	762619	0	1010134	1000134	1000134	1000134	1000134	1000134	0	1000134	0	6013	5010	5012	6002	5003	5020	0	5006
1000135	2	765904	1000135	1010135	0	0	1000135	1000135	1000135	1000135	1000135	5010	6014	0	0	5026	6005	5018	5003	5017
1000136	2	768641	1000136	1010136	1000136	0	1000136	1000136	0	1000136	1000136	5018	6001	5022	0	6011	5007	0	5010	5023
1000137	2	771156	1000137	1010137	1000137	1000137	1000137	0	1000137	1000137	0	5011	6013	5012	5006	6001	0	5027	5022	0
1000138	2	773899	1000138	1010138	0	1000138	1000138	1000138	1000138	1000138	0	5013	6020	0	6012	5023	5010	5024	5017	0
1000139	2	777792	1000139	1010139	1000139	1000139	0	1000139	1000139	0	1000139	5011	6027	5008	5002	0	5005	5015	0	6022
1000140	2	780500	0	1010140	1000140	1000140	1000140	0	1000140	1000140	1000140	0	6013	6004	5018	5006	0	5028	5003	5016
1000141	2	782975	1000141	1010141	1000141	1000141	0	1000141	1000141	1000141	0	5019	6009	5015	6004	0	5018	5013	5006	0
1000142	2	786574	1000142	1010142	1000142	0	1000142	0	1000142	1000142	1000142	5028	6016	5024	0	6027	0	5020	5013	5004
1000143	2	789119	1000143	1010143	1000143	0	1000143	0	1000143	1000143	1000143	5003	6006	6011	0	5015	0	5007	5018	5017
1000144	2	791801	0	1010144	1000144	0	1000144	1000144	1000144	1000144	1000144	0	6025	6020	0	5024	5026	5001	5021	5018
1000145	2	795398	0	1010145	1000145	1000145	1000145	1000145	0	1000145	1000145	0	6020	5002	5007	6008	5025	0	5019	5013
1000146	2	797744	1000146	1010146	1000146	1000146	1000146	1000146	1000146	0	0	5005	6022	5018	5023	5019	5001	6014	0	0
1000147	2	800508	1000147	1010147	1000147	0	1000147	1000147	1000147	1000147	0	5005	6026	5009	0	5019	5015	6003	5008	0
1000148	2	803063	1000148	1010148	1000148	1000148	0	1000148	1000148	1000148	0	5012	6026	5028	5007	0	5017	5001	6008	0
1000149	2	806455	1000149	1010149	0	1000149	1000149	1000149	1000149	1000149	0	5022	6012	0	6003	5024	5010	5014	5011	0
1000150	2	838551	0	1010150	1000150	1000150	1000150	1000150	1000150	0	1000150	0	6007	5023	6014	5020	5021	5004	0	5002
1000151	2	840971	0	1010151	1000151	1000151	1000151	0	1000151	1000151	1000151	0	6011	6015	5026	5024	0	5019	5004	6005
1000152	2	840971	1000152	1010152	0	1000152	1000152	1000152	1000152	0	1000152	5013	6021	0	5014	6009	6006	5022	0	5005
1000153	2	844588	1000153	1010153	1000153	1000153	1000153	1000153	0	1000153	0	6013	6027	5005	5008	5028	6018	0	5003	0
1000154	2	844588	1000154	1010154	0	1000154	1000154	1000154	0	1000154	1000154	5024	6005	0	5002	5017	5020	0	6003	6007
1000155	2	847276	1000155	1010155	1000155	0	0	1000155	1000155	1000155	1000155	5012	6014	5018	0	0	5015	6028	5005	6009
1000156	2	847276	1000156	1010156	0	0	1000156	1000156	1000156	1000156	1000156	6009	6003	0	0	6023	5014	5005	5015	5007
1000157	2	850346	1000157	1010157	1000157	1000157	0	1000157	1000157	1000157	0	5017	6005	5015	5023	0	5009	6014	6025	0
1000158	2	850346	0	1010158	1000158	1000158	1000158	0	1000158	1000158	1000158	0	6026	5012	5001	5006	0	6021	5019	6017
1000159	2	853899	0	1010159	1000159	1000159	1000159	1000159	1000159	1000159	0	0	6006	5003	5025	6028	5021	5026	6017	0
1000160	2	856762	1000160	1010160	1000160	0	0	1000160	1000160	1000160	1000160	5008	6006	6005	0	0	5014	6011	5025	5010
1000161	2	856762	0	1010161	1000161	1000161	1000161	1000161	1000161	0	1000161	0	6006	5020	5008	5019	5005	6002	0	6014
1000162	2	859328	1000162	1010162	1000162	1000162	1000162	0	1000162	1000162	0	5024	6023	5005	6011	5015	0	6022	5004	0
1000163	2	859328	1000163	1010163	1000163	1000163	1000163	1000163	1000163	0	0	5021	6014	5012	5008	6002	5027	6019	0	0
1000164	2	862751	1000164	1010164	1000164	0	1000164	1000164	0	1000164	1000164	5015	6012	6022	0	5028	5020	0	6011	5013
1000165	2	862751	1000165	1010165	1000165	0	1000165	0	1000165	1000165	1000165	6027	6002	5017	0	5020	0	6009	5016	5022
1000166	2	865621	1000166	1010166	1000166	1000166	1000166	0	0	1000166	1000166	5014	6013	6028	6024	5012	0	0	5017	5011
1000167	2	865621	1000167	1010167	1000167	1000167	1000167	1000167	0	0	1000167	6013	6008	5023	6006	5022	5027	0	0	5003
1000168	2	868022	1000168	1010168	0	1000168	0	1000168	1000168	1000168	1000168	6007	6002	0	5025	0	6023	5020	5019	5013
1000169	2	870875	1000169	1010169	1000169	1000169	1000169	1000169	0	1000169	0	6020	6021	5003	5004	5019	6026	0	5009	0
1000170	2	870875	1000170	1010170	1000170	0	1000170	1000170	1000170	1000170	0	5003	6017	5007	0	6006	6022	5011	5010	0
1000171	2	874506	1000171	1010171	1000171	0	1000171	1000171	1000171	0	1000171	6022	6027	5018	0	5002	5019	6012	0	5009
1000172	2	877087	1000172	1010172	1000172	0	1000172	1000172	0	1000172	1000172	5016	6028	5012	0	5023	6003	0	6002	5018
1000173	2	877087	0	1010173	1000173	1000173	0	1000173	1000173	1000173	1000173	0	6007	5014	5003	0	5008	6002	6015	5028
1000174	2	880187	1000174	1010174	1000174	1000174	1000174	1000174	0	1000174	0	6026	6014	5015	6024	5009	5017	0	5006	0
1000175	2	884009	1000175	1010175	1000175	1000175	1000175	1000175	0	0	1000175	5023	6009	6013	5020	5014	5019	0	0	6008
1000176	2	884009	0	1010176	1000176	1000176	0	1000176	1000176	1000176	1000176	0	6008	5021	5013	0	6002	5014	6012	5003
1000177	2	886608	1000177	1010177	1000177	0	1000177	1000177	1000177	1000177	0	6003	6005	5021	0	5016	6018	5014	5006	0
1000178	2	889283	1000178	1010178	1000178	1000178	1000178	0	1000178	0	1000178	6019	6026	6013	5008	5011	0	5020	0	5002
1000179	2	889283	1000179	1010179	1000179	0	1000179	1000179	1000179	1000179	0	5026	6017	5006	0	5001	6011	5021	6013	0
1000180	2	893111	1000180	1010180	0	1000180	0	1000180	1000180	1000180	1000180	5020	6019	0	5012	0	6022	5024	5001	6015
1000181	2	895525	1000181	1010181	0	1000181	1000181	1000181	1000181	1000181	0	5014	6001	0	5007	5013	6015	6027	5026	0
1000182	2	895525	1000182	1010182	1000182	0	1000182	1000182	1000182	1000182	0	5028	6014	5020	0	6015	5007	5026	6025	0
1000183	2	898299	1000183	1010183	0	1000183	1000183	1000183	1000183	0	1000183	5020	6011	0	6003	5006	6012	5027	0	5010
1000184	2	901861	0	1010184	1000184	0	1000184	1000184	1000184	1000184	1000184	0	6022	6008	0	5001	6019	5018	5014	5025
1000185	2	904452	0	1010185	1000185	1000185	1000185	1000185	1000185	1000185	0	0	6003	5012	5027	5019	6023	6025	5008	0
1000186	2	907649	1000186	1010186	1000186	1000186	0	1000186	1000186	1000186	0	5009	6017	5010	5024	0	6026	5025	6018	0
1000187	2	907649	1000187	1010187	1000187	0	1000187	1000187	1000187	0	1000187	5015	6020	5010	0	6002	6006	5016	0	5027
1000188	2	910549	1000188	1010188	1000188	1000188	1000188	1000188	1000188	0	0	5016	6010	6015	6004	5025	5001	5019	0	0
1000189	2	914172	0	1010189	1000189	1000189	1000189	1000189	1000189	0	1000189	0	6025	6026	5027	5007	6002	5022	0	5011
1000190	2	916613	1000190	1010190	1000190	1000190	1000190	0	0	1000190	1000190	6015	6009	6028	5027	5025	0	0	5023	5024
1000191	2	919508	1000191	1010191	1000191	1000191	1000191	1000191	0	0	1000191	5020	6021	5013	5027	5023	6015	0	0	6008
1000192	2	923038	0	1010192	1000192	1000192	0	1000192	1000192	1000192	1000192	0	6012	6016	5003	0	5002	5008	6007	5027
1000193	2	923038	1000193	1010193	1000193	1000193	1000193	0	1000193	0	1000193	6008	6007	5001	5002	5013	0	6026	0	5003
1000194	2	925588	0	1010194	0	1000194	1000194	1000194	1000194	1000194	1000194	0	6007	0	6002	5021	5019	5014	6009	5001
1000195	2	928335	1000195	1010195	1000195	0	0	1000195	1000195	1000195	1000195	5011	6023	5002	0	0	5010	6019	5013	6018
1000196	2	932381	1000196	1010196	1000196	1000196	1000196	1000196	0	1000196	0	6013	6025	5019	6016	5022	5010	0	5023	0
1000197	2	932381	1000197	1010197	1000197	1000197	0	1000197	1000197	0	1000197	5001	6013	5015	5005	0	5009	6020	0	6023
1000198	2	934925	0	1010198	1000198	1000198	1000198	1000198	0	1000198	1000198	0	6011	5002	6003	5013	6016	0	5027	5001
1000199	2	937578	1000199	1010199	1000199	1000199	1000199	1000199	1000199	0	0	5022	6007	6026	5025	5019	6006	5021	0	0
1000200	2	941259	0	1010200	1000200	0	1000200	1000200	1000200	1000200	1000200	0	6026	5024	0	5020	6002	6016	5028	5015
1000201	2	941259	1000201	1010201	0	0	1000201	1000201	1000201	1000201	1000201	5021	6028	0	0	6024	6027	5001	5023	5007
1000202	2	943597	1000202	1010202	1000202	1000202	0	1000202	1000202	0	1000202	5005	6013	5021	5026	0	6018	5014	0	6028
1000203	2	946410	1000203	1010203	1000203	1000203	1000203	1000203	0	0	1000203	6015	6023	5007	6017	5026	5025	0	0	5022
