礼包ID(可乱序)	排序	开关状态（1:开启、0:关闭）	显示vip等级	红点显示（0:单次提示，1:循环显示）	所属页签	购买前置礼包	是否有后置礼包	触发前置条件	关闭条件	触发条件	触发条件参数1	触发后生存时间	礼包名称	品质颜色	限购次数	次数显示（0:剩余，1:限购）	图标	奖励1	支付类型(1:充值、2:道具花费)	充值ID	消耗道具	原价
1311	41	0	0	1	1	0	0	0	0	weekLoop	1	0	text_av_giftbag_name_1311	purple.png	1	0	giftbag_1050.png	user.vip_xp:250,user.bindcash:250,material.42:1,material.41:9000	1	13	0	0
1312	42	0	0	1	1	0	1	0	0	weekLoop	1	0	text_av_giftbag_name_1312	orange.png	2	0	giftbag_1050.png	user.vip_xp:500,user.bindcash:500,material.42:1,material.41:15000	1	14	0	0
1313	43	0	0	1	1	1312	1	0	0	weekLoop	1	0	text_av_giftbag_name_1313	orange.png	2	0	giftbag_1050.png	user.vip_xp:1000,user.bindcash:1000,material.42:1,material.41:30000	1	16	0	0
1314	44	0	0	1	1	1313	1	0	0	weekLoop	1	0	text_av_giftbag_name_1314	red.png	2	0	giftbag_1050.png	user.vip_xp:2500,user.bindcash:2500,material.42:1,material.41:75000	1	17	0	0
1315	45	0	0	1	1	1314	0	0	0	weekLoop	1	0	text_av_giftbag_name_1315	golden.png	3	0	giftbag_1050.png	user.vip_xp:5000,user.bindcash:5000,material.42:1,material.41:150000	1	19	0	0
1321	46	0	0	1	1	0	0	0	0	weekLoop	1	0	text_av_giftbag_name_1311	purple.png	1	0	giftbag_1050.png	user.vip_xp:250,user.bindcash:250,material.42:1,material.41:9000	1	13	0	0
1322	47	0	0	1	1	0	1	0	0	weekLoop	1	0	text_av_giftbag_name_1312	orange.png	2	0	giftbag_1050.png	user.vip_xp:500,user.bindcash:500,material.42:1,material.41:15000	1	14	0	0
1323	48	0	0	1	1	1322	1	0	0	weekLoop	1	0	text_av_giftbag_name_1313	orange.png	2	0	giftbag_1050.png	user.vip_xp:1000,user.bindcash:1000,material.42:1,material.41:30000	1	16	0	0
1324	49	0	0	1	1	1323	1	0	0	weekLoop	1	0	text_av_giftbag_name_1314	red.png	2	0	giftbag_1050.png	user.vip_xp:2500,user.bindcash:2500,material.42:1,material.41:75000	1	17	0	0
1325	50	0	0	1	1	1324	0	0	0	weekLoop	1	0	text_av_giftbag_name_1315	golden.png	3	0	giftbag_1050.png	user.vip_xp:5000,user.bindcash:5000,material.42:1,material.41:150000	1	19	0	0
1411	51	0	0	1	1	0	0	0	0	weekLoop	1	0	text_av_giftbag_name_1411	purple.png	1	0	giftbag_1050.png	user.vip_xp:250,user.bindcash:250,user.wand:10,user.gold:3000000	1	13	0	0
1412	52	1	0	1	1	0	1	0	0	weekLoop	1	0	text_av_giftbag_name_1412	orange.png	2	0	giftbag_1050.png	user.vip_xp:500,user.bindcash:500,user.wand:15,user.gold:3000000	1	14	0	0
1413	53	1	0	1	1	1412	1	0	0	weekLoop	1	0	text_av_giftbag_name_1413	orange.png	2	0	giftbag_1050.png	user.vip_xp:1000,user.bindcash:1000,user.wand:30,user.gold:6000000	1	16	0	0
1414	54	1	0	1	1	1413	1	0	0	weekLoop	1	0	text_av_giftbag_name_1414	red.png	2	0	giftbag_1050.png	user.vip_xp:2500,user.bindcash:2500,user.wand:50,user.gold:15000000	1	17	0	0
1415	55	1	0	1	1	1414	0	0	0	weekLoop	1	0	text_av_giftbag_name_1415	golden.png	3	0	giftbag_1050.png	user.vip_xp:5000,user.bindcash:5000,user.wand:100,user.gold:30000000	1	19	0	0
1421	56	0	0	1	1	0	0	0	0	weekLoop	1	0	text_av_giftbag_name_1411	purple.png	1	0	giftbag_1050.png	user.vip_xp:250,user.bindcash:250,user.wand:10,user.gold:15000000	1	13	0	0
1422	57	0	0	1	1	0	1	0	0	weekLoop	1	0	text_av_giftbag_name_1412	orange.png	2	0	giftbag_1050.png	user.vip_xp:500,user.bindcash:500,user.wand:20,user.gold:25000000	1	14	0	0
1423	58	0	0	1	1	1422	1	0	0	weekLoop	1	0	text_av_giftbag_name_1413	orange.png	2	0	giftbag_1050.png	user.vip_xp:1000,user.bindcash:1000,user.wand:35,user.gold:40000000	1	16	0	0
1424	59	0	0	1	1	1423	1	0	0	weekLoop	1	0	text_av_giftbag_name_1414	red.png	2	0	giftbag_1050.png	user.vip_xp:2500,user.bindcash:2500,user.wand:70,user.gold:100000000	1	17	0	0
1425	60	0	0	1	1	1424	0	0	0	weekLoop	1	0	text_av_giftbag_name_1415	golden.png	3	0	giftbag_1050.png	user.vip_xp:5000,user.bindcash:5000,user.wand:100,user.gold:200000000	1	19	0	0
1511	61	0	0	1	1	0	0	0	0	weekLoop	1	0	text_av_giftbag_name_1511	purple.png	1	0	giftbag_1050.png	user.vip_xp:250,user.bindcash:250,user.rotate_ncoin:10,user.rotate_hcoin:1	1	13	0	0
1512	62	1	0	1	1	0	1	0	0	weekLoop	1	0	text_av_giftbag_name_1512	orange.png	2	0	giftbag_1050.png	user.vip_xp:500,user.bindcash:500,user.rotate_ncoin:15,user.rotate_hcoin:2	1	14	0	0
1513	63	1	0	1	1	1512	1	0	0	weekLoop	1	0	text_av_giftbag_name_1513	orange.png	2	0	giftbag_1050.png	user.vip_xp:1000,user.bindcash:1000,user.rotate_ncoin:20,user.rotate_hcoin:4	1	16	0	0
1514	64	1	0	1	1	1513	1	0	0	weekLoop	1	0	text_av_giftbag_name_1514	red.png	2	0	giftbag_1050.png	user.vip_xp:2500,user.bindcash:2500,user.rotate_ncoin:30,user.rotate_hcoin:10	1	17	0	0
1515	65	1	0	1	1	1514	0	0	0	weekLoop	1	0	text_av_giftbag_name_1515	golden.png	3	0	giftbag_1050.png	user.vip_xp:5000,user.bindcash:5000,user.rotate_ncoin:40,user.rotate_hcoin:20	1	19	0	0
1521	66	0	0	1	1	0	0	0	0	weekLoop	1	0	text_av_giftbag_name_1511	purple.png	1	0	giftbag_1050.png	user.vip_xp:250,user.bindcash:250,user.rotate_ncoin:10,user.rotate_hcoin:1	1	13	0	0
1522	67	0	0	1	1	0	1	0	0	weekLoop	1	0	text_av_giftbag_name_1512	orange.png	2	0	giftbag_1050.png	user.vip_xp:500,user.bindcash:500,user.rotate_ncoin:15,user.rotate_hcoin:2	1	14	0	0
1523	68	0	0	1	1	1522	1	0	0	weekLoop	1	0	text_av_giftbag_name_1513	orange.png	2	0	giftbag_1050.png	user.vip_xp:1000,user.bindcash:1000,user.rotate_ncoin:20,user.rotate_hcoin:4	1	16	0	0
1524	69	0	0	1	1	1523	1	0	0	weekLoop	1	0	text_av_giftbag_name_1514	red.png	2	0	giftbag_1050.png	user.vip_xp:2500,user.bindcash:2500,user.rotate_ncoin:30,user.rotate_hcoin:10	1	17	0	0
1525	70	0	0	1	1	1524	0	0	0	weekLoop	1	0	text_av_giftbag_name_1515	golden.png	3	0	giftbag_1050.png	user.vip_xp:5000,user.bindcash:5000,user.rotate_ncoin:40,user.rotate_hcoin:20	1	19	0	0
2010	4	1	0	1	1	0	1	gameday.2	0	monthLoop	1	0	text_av_giftbag_name_2010	purple.png	1	0	giftbag_10101.png	material.950:20	2	0	user.cash:-250	0
2011	4	0	0	1	1	0	1	0	0	monthLoop	1	0	text_av_giftbag_name_2010	purple.png	1	0	giftbag_10101.png	material.950:20	2	0	user.cash:-250	0
2020	4	1	0	1	1	2010	1	gameday.2	0	monthLoop	1	0	text_av_giftbag_name_2020	orange.png	1	0	giftbag_10102.png	material.950:40	2	0	user.cash:-500	0
2021	4	0	0	1	1	2011	1	0	0	monthLoop	1	0	text_av_giftbag_name_2020	orange.png	1	0	giftbag_10102.png	material.950:40	2	0	user.cash:-500	0
2030	4	1	0	1	1	2020	1	gameday.2	0	monthLoop	1	0	text_av_giftbag_name_2030	orange.png	1	0	giftbag_10102.png	material.950:70	2	0	user.cash:-1500	0
2031	4	0	0	1	1	2021	1	0	0	monthLoop	1	0	text_av_giftbag_name_2030	orange.png	1	0	giftbag_10102.png	material.950:70	2	0	user.cash:-1500	0
2040	4	1	0	1	1	2030	1	gameday.2	0	monthLoop	1	0	text_av_giftbag_name_2040	red.png	1	0	giftbag_10102.png	material.950:100	2	0	user.cash:-2500	0
2041	4	0	0	1	1	2031	1	0	0	monthLoop	1	0	text_av_giftbag_name_2040	red.png	1	0	giftbag_10102.png	material.950:100	2	0	user.cash:-2500	0
2050	4	1	0	1	1	2040	0	gameday.2	0	monthLoop	1	0	text_av_giftbag_name_2050	golden.png	1	0	giftbag_10201.png	material.950:200	2	0	user.cash:-5000	0
2051	4	0	0	1	1	2041	0	0	0	monthLoop	1	0	text_av_giftbag_name_2050	golden.png	1	0	giftbag_10201.png	material.950:200	2	0	user.cash:-5000	0
2060	4	0	1	1	1	0	0	0	0	monthLoop	1	0	text_av_giftbag_name_2060	golden.png	1	0	giftbag_10202.png	user.bindcash:1400,user.rotate_hcoin:3,user.htoken:30,material.33:1	2	0	user.cash:-5000	0
2061	4	0	1	1	1	0	0	0	0	monthLoop	1	0	text_av_giftbag_name_2060	golden.png	1	0	giftbag_10202.png	user.bindcash:1400,user.rotate_hcoin:8,user.htoken:30,material.34:1	2	0	user.cash:-5000	0
10101	150	1	1	1	4	0	1	gameday.7	0	weekLoop	1	0	text_av_giftbag_name_10101	purple.png	1	0	giftbag_10101.png	user.vip_xp:250,user.bindcash:250,material.100:150	1	13	0	0
10102	151	1	1	1	4	10101	1	gameday.7	0	weekLoop	1	0	text_av_giftbag_name_10102	orange.png	2	0	giftbag_10102.png	user.vip_xp:500,user.bindcash:500,material.100:300	1	14	0	0
10103	152	1	1	1	4	10102	1	gameday.7	0	weekLoop	1	0	text_av_giftbag_name_10103	orange.png	2	0	giftbag_10103.png	user.vip_xp:1000,user.bindcash:1000,material.100:500	1	16	0	0
10104	153	1	1	1	4	10103	1	gameday.7	0	weekLoop	1	0	text_av_giftbag_name_10104	red.png	2	0	giftbag_10104.png	user.vip_xp:2500,user.bindcash:2500,material.100:1000	1	17	0	0
10105	154	1	1	1	4	10104	0	gameday.7	0	weekLoop	1	0	text_av_giftbag_name_10105	golden.png	3	0	giftbag_10104.png	user.vip_xp:5000,user.bindcash:5000,material.100:1500	1	19	0	0
10201	155	1	1	1	4	0	1	gameday.10	0	weekLoop	1	0	text_av_giftbag_name_10201	purple.png	1	0	giftbag_10201.png	user.vip_xp:250,user.bindcash:250,material.200:150	1	13	0	0
10202	156	1	1	1	4	10201	1	gameday.10	0	weekLoop	1	0	text_av_giftbag_name_10202	orange.png	2	0	giftbag_10202.png	user.vip_xp:500,user.bindcash:500,material.200:300	1	14	0	0
10203	157	1	1	1	4	10202	1	gameday.10	0	weekLoop	1	0	text_av_giftbag_name_10203	orange.png	2	0	giftbag_10203.png	user.vip_xp:1000,user.bindcash:1000,material.200:500	1	16	0	0
10204	158	1	1	1	4	10203	1	gameday.10	0	weekLoop	1	0	text_av_giftbag_name_10204	red.png	2	0	giftbag_10204.png	user.vip_xp:2500,user.bindcash:2500,material.200:1000	1	17	0	0
10205	159	1	1	1	4	10204	0	gameday.10	0	weekLoop	1	0	text_av_giftbag_name_10205	golden.png	3	0	giftbag_10204.png	user.vip_xp:5000,user.bindcash:5000,material.200:1500	1	19	0	0
10301	160	1	1	1	4	0	1	gameday.13	0	weekLoop	1	0	text_av_giftbag_name_10301	purple.png	1	0	giftbag_10301.png	user.vip_xp:250,user.bindcash:250,material.300:150	1	13	0	0
10302	161	1	1	1	4	10301	1	gameday.13	0	weekLoop	1	0	text_av_giftbag_name_10302	orange.png	2	0	giftbag_10302.png	user.vip_xp:500,user.bindcash:500,material.300:300	1	14	0	0
10303	162	1	1	1	4	10302	1	gameday.13	0	weekLoop	1	0	text_av_giftbag_name_10303	orange.png	2	0	giftbag_10303.png	user.vip_xp:1000,user.bindcash:1000,material.300:500	1	16	0	0
10304	163	1	1	1	4	10303	1	gameday.13	0	weekLoop	1	0	text_av_giftbag_name_10304	red.png	2	0	giftbag_10304.png	user.vip_xp:2500,user.bindcash:2500,material.300:1000	1	17	0	0
10305	164	1	1	1	4	10304	0	gameday.13	0	weekLoop	1	0	text_av_giftbag_name_10305	golden.png	3	0	giftbag_10304.png	user.vip_xp:5000,user.bindcash:5000,material.300:1500	1	19	0	0
10111	210	1	1	1	4	0	1	gameday.36	0	fixedTime	2020:01:25	3	text_av_giftbag_name_10111	purple.png	1	0	giftbag_10101.png	user.vip_xp:250,user.bindcash:250,material.100:150	1	13	0	0
10112	211	1	1	1	4	10111	1	gameday.36	0	fixedTime	2020:01:25	3	text_av_giftbag_name_10112	orange.png	2	0	giftbag_10102.png	user.vip_xp:500,user.bindcash:500,material.100:300	1	14	0	0
10113	212	1	1	1	4	10112	1	gameday.36	0	fixedTime	2020:01:25	3	text_av_giftbag_name_10113	orange.png	2	0	giftbag_10103.png	user.vip_xp:1000,user.bindcash:1000,material.100:500	1	16	0	0
10114	213	1	1	1	4	10113	1	gameday.36	0	fixedTime	2020:01:25	3	text_av_giftbag_name_10114	red.png	2	0	giftbag_10104.png	user.vip_xp:2500,user.bindcash:2500,material.100:1000	1	17	0	0
10115	214	1	1	1	4	10114	0	gameday.36	0	fixedTime	2020:01:25	3	text_av_giftbag_name_10115	golden.png	3	0	giftbag_10104.png	user.vip_xp:5000,user.bindcash:5000,material.100:1500	1	19	0	0
10211	215	1	1	1	4	0	1	gameday.36	0	fixedTime	2020:02:01	3	text_av_giftbag_name_10211	purple.png	1	0	giftbag_10201.png	user.vip_xp:250,user.bindcash:250,material.200:150	1	13	0	0
10212	216	1	1	1	4	10211	1	gameday.36	0	fixedTime	2020:02:01	3	text_av_giftbag_name_10212	orange.png	2	0	giftbag_10202.png	user.vip_xp:500,user.bindcash:500,material.200:300	1	14	0	0
10213	217	1	1	1	4	10212	1	gameday.36	0	fixedTime	2020:02:01	3	text_av_giftbag_name_10213	orange.png	2	0	giftbag_10203.png	user.vip_xp:1000,user.bindcash:1000,material.200:500	1	16	0	0
10214	218	1	1	1	4	10213	1	gameday.36	0	fixedTime	2020:02:01	3	text_av_giftbag_name_10214	red.png	2	0	giftbag_10204.png	user.vip_xp:2500,user.bindcash:2500,material.200:1000	1	17	0	0
10215	219	1	1	1	4	10214	0	gameday.36	0	fixedTime	2020:02:01	3	text_av_giftbag_name_10215	golden.png	3	0	giftbag_10204.png	user.vip_xp:5000,user.bindcash:5000,material.200:1500	1	19	0	0
10311	220	1	1	1	4	0	1	gameday.36	0	fixedTime	2020:02:08	3	text_av_giftbag_name_10311	purple.png	1	0	giftbag_10301.png	user.vip_xp:250,user.bindcash:250,material.300:150	1	13	0	0
10312	221	1	1	1	4	10311	1	gameday.36	0	fixedTime	2020:02:08	3	text_av_giftbag_name_10312	orange.png	2	0	giftbag_10302.png	user.vip_xp:500,user.bindcash:500,material.300:300	1	14	0	0
10313	222	1	1	1	4	10312	1	gameday.36	0	fixedTime	2020:02:08	3	text_av_giftbag_name_10313	orange.png	2	0	giftbag_10303.png	user.vip_xp:1000,user.bindcash:1000,material.300:500	1	16	0	0
10314	223	1	1	1	4	10313	1	gameday.36	0	fixedTime	2020:02:08	3	text_av_giftbag_name_10314	red.png	2	0	giftbag_10304.png	user.vip_xp:2500,user.bindcash:2500,material.300:1000	1	17	0	0
10315	224	1	1	1	4	10314	0	gameday.36	0	fixedTime	2020:02:08	3	text_av_giftbag_name_10315	golden.png	3	0	giftbag_10304.png	user.vip_xp:5000,user.bindcash:5000,material.300:1500	1	19	0	0
4013	314	1	3	0	5	0	0	0	0	gameDay	1	0	text_av_giftbag_name_4010	orange.png	1	1	giftbag_4010.png	user.vip_xp:2500,skyweapon.8.2:1,user.htoken:15	1	17	0	0
4014	315	1	3	0	5	0	0	0	0	gameDay	1	0	text_av_giftbag_name_4011	red.png	1	1	giftbag_4011.png	user.vip_xp:2500,skywing.8.2:1,user.htoken:15	1	17	0	0
4015	316	1	3	0	5	0	0	0	0	gameDay	1	0	text_av_giftbag_name_4012	golden.png	1	1	giftbag_4011.png	user.vip_xp:2500,skymount.8.2:1,user.htoken:15	1	17	0	0
4016	309	1	1	0	5	0	0	0	0	gameDay	8	0	text_av_giftbag_name_1030	orange.png	7	1	giftbag_4011.png	user.vip_xp:250,user.gold:5000000,user.hero_exp:10000000	1	13	0	0
4017	308	0	1	0	5	0	0	0	0	gameDay	10	0	text_av_giftbag_name_1031	golden.png	2	1	giftbag_4011.png	user.vip_xp:5000,user.gold:50000000,user.hero_exp:100000000,material.1:2500	1	19	0	0
4101	310	1	3	0	4	0	0	0	0	gameDay	1	3	text_av_giftbag_name_4102	orange.png	2	0	giftbag_4011.png	user.vip_xp:600,equip.10401.0:1,equip.20401.0:1,equip.30401.0:1,equip.40401.0:1,equip.50401.0:1,equip.60401.0:1	1	15	0	0
4102	312	1	3	0	5	0	0	0	0	gameDay	6	0	text_av_giftbag_name_4104	red.png	1	1	giftbag_4011.png	user.vip_xp:3500,material.31:1,material.32:1,material.33:1,material.34:1	1	18	0	0
4103	313	1	3	0	5	0	0	0	0	gameDay	6	0	text_av_giftbag_name_4050	golden.png	1	1	giftbag_4011.png	user.vip_xp:5000,wake_dragon.5:1,material.100401:5,material.100402:5,dragon.1003:5	1	19	0	0
4104	307	1	1	0	4	0	0	0	0	gameDay	7	3	text_av_giftbag_name_4103	golden.png	1	0	giftbag_4011.png	user.vip_xp:1000,equip.10501.0:1,equip.20501.0:1,equip.30501.0:1,equip.40501.0:1,equip.50501.0:1,equip.60501.0:1	1	16	0	0
3010	412	1	1	0	4	0	0	0	0	loginDay	1	3	text_av_giftbag_name_3010	purple.png	1	1	giftbag_4011.png	user.vip_xp:250,user.bindcash:250,user.ntoken:50,fragment.3001:20,fragment.2001:20,fragment.2002:20	1	13	0	0
3020	413	1	1	0	4	0	0	0	0	loginDay	1	3	text_av_giftbag_name_3020	purple.png	1	1	giftbag_4011.png	user.vip_xp:250,user.bindcash:250,material.1:200,material.101703:1,material.31:1	1	13	0	0
3030	414	1	1	0	4	0	0	0	0	loginDay	1	3	text_av_giftbag_name_3030	purple.png	1	1	giftbag_4011.png	user.vip_xp:250,user.bindcash:250,user.wand:10,user.htoken:5,material.31:1	1	13	0	0
3040	411	1	1	0	4	0	0	level.25	0	loginDay	1	3	text_av_giftbag_name_3040	purple.png	1	1	giftbag_4011.png	user.vip_xp:250,user.bindcash:250,material.100401:1,material.100402:1,material.31:1	1	13	0	0
3050	410	0	1	0	4	0	0	level.40	0	loginDay	1	3	text_av_giftbag_name_3050	purple.png	1	1	giftbag_4011.png	user.vip_xp:250,user.bindcash:250,material.42:1,material.41:4500,gem.106:1	1	13	0	0
3060	409	1	1	0	4	0	0	0	0	gameDay	7	3	text_av_giftbag_name_3060	purple.png	1	1	giftbag_4011.png	user.vip_xp:250,user.bindcash:250,skyweapon.7.1:7,material.100:100,material.400:1	1	13	0	0
3070	408	1	1	0	4	0	0	0	0	gameDay	10	3	text_av_giftbag_name_3070	purple.png	1	1	giftbag_4011.png	user.vip_xp:250,user.bindcash:250,skywing.7.1:7,material.200:100,material.400:1	1	13	0	0
3080	407	1	1	0	4	0	0	0	0	gameDay	13	3	text_av_giftbag_name_3080	purple.png	1	1	giftbag_4011.png	user.vip_xp:250,user.bindcash:250,skymount.7.1:7,material.300:100,material.400:1	1	13	0	0
3090	406	1	1	0	4	0	0	level.100	0	loginDay	1	20	text_av_giftbag_name_3090	purple.png	1	1	giftbag_4011.png	user.vip_xp:250,user.bindcash:250,rune.1004:1,rune.2004:1,rune.3004:1,rune.4004:1	1	13	0	0
