格子ID	一次性元素	固定元素	可能产生随机元素	特殊格子	位置
375		creature.16	1		16|2
376			1		16|9
377			1		16|10
378			1		16|11
379			1		16|12
380			1		16|13
381			1		16|14
382			1		16|15
383			1		16|16
384			1		16|20
385			1		16|21
386			1		16|22
387			1		16|23
388			1		16|24
389			1		16|25
390			1		16|26
391			1		16|27
392			1		16|28
393		creature.12	1		16|29
394		element.14	1		16|30
395			1		16|34
396		mine.5	1		16|35
397		element.14	1		16|38
398		creature.9	1		16|39
399			1		16|40
400			1		16|41
401			1		16|42
402			1		16|43
403			1		17|1
404			1		17|2
405		element.14	1		17|5
406	9|element.107	element.13	1		17|6
407			1		17|11
408			1		17|12
409			1		17|13
410			1		17|14
411			1		17|15
412			1		17|20
413			1		17|21
414			1		17|22
415			1		17|23
416			1		17|24
417			1		17|25
418			1		17|26
419			1		17|27
420			1		17|28
421		creature.11	1		17|34
422			1		17|39
423			1		17|40
424			1		17|41
425			1		18|0
426			1		18|1
427			1		18|2
428			1		18|3
429		creature.17	1		18|4
430		element.15	1		18|5
431			1		18|12
432			1		18|13
433			1		18|14
434			1		18|15
435			1		18|16
436			1		18|17
437			1		18|21
438			1		18|22
439			1		18|23
440			1		18|24
441			1		18|25
442			1		18|26
443			1		18|27
444			1		18|28
445			1		18|32
446			1		18|33
447			1		18|34
448			1		18|35
449			1		18|39
450			1		18|40
451			1		18|41
452			1		19|0
453			1		19|1
454			1		19|2
455			1		19|3
456			1		19|12
457			1		19|13
458			1		19|14
459			1		19|15
460			1		19|16
461			1		19|17
462			1		19|20
463			1		19|21
464			1		19|22
465			1		19|23
466			1		19|24
467			1		19|25
468			1		19|26
469			1		19|27
470			1		19|28
471			1		19|29
472			1		19|30
473			1		19|31
474			1		19|32
475			1		19|33
476			1		19|34
477			1		19|35
478			1		19|39
479			1		19|40
480		element.5	1		19|43
481		element.9	1		19|44
482			1		20|0
483			1		20|1
484			1		20|2
485			1		20|3
486			1		20|4
487			1		20|5
488			1		20|6
489			1		20|11
490			1		20|12
491			1		20|13
492			1		20|14
493			1		20|15
494			1		20|16
495			1		20|17
496			1		20|20
497			1		20|21
498			1		20|22
499			1		20|23
500			1		20|24
501			1		20|25
502			1		20|26
503			1		20|27
504			1		20|28
505			1		20|29
506			1		20|30
507			1		20|34
508			1		20|35
509		creature.10	1		20|39
510	5|element.103	element.13	1		20|42
511		element.15	1		20|43
512		element.15	1		20|44
513			1		21|3
514			1		21|4
515			1		21|5
516			1		21|6
517			1		21|10
518			1		21|11
519			1		21|12
520			1		21|13
521			1		21|14
522			1		21|15
523			1		21|16
524			1		21|17
525			1		21|18
526		creature.2	1		21|19
527			1		21|34
528			1		21|35
529			1		21|36
530			1		21|37
531			1		21|38
532			1		21|39
533			1		21|40
534		element.15	1		21|42
535			1		21|43
536			1		22|3
537			1		22|4
538			1		22|5
539			1		22|6
540			1		22|9
541			1		22|10
542			1		22|11
543			1		22|12
544			1		22|13
545			1		22|14
546			1		22|15
547			1		22|16
548			1		22|17
549			1		22|18
550			1		22|19
551			1		22|34
552			1		22|35
553			1		22|36
554			1		22|37
555			1		22|38
556			1		22|39
557			1		22|40
558			1		22|41
559			1		22|42
560		element.14	1		23|-1
561		element.3	1		23|0
562			1		23|2
563			1		23|3
564			1		23|4
565			1		23|5
566			1		23|6
567		element.15	1		23|7
568		creature.18	1		23|8
569			1		23|9
570			1		23|10
571			1		23|11
572			0		23|12
573			0		23|13
574			1		23|14
575			1		23|15
576			1		23|16
577			1		23|17
578			1		23|18
579			1		23|19
580			1		23|20
581			1		23|21
582			1		23|22
583			1		23|23
584			1		23|24
585			1		23|25
586			1		23|26
587			1		23|27
588			1		23|28
589			1		23|29
590			1		23|30
591			1		23|38
592			1		23|39
593			1		23|40
594			1		23|41
595		element.15	1		24|-1
596		creature.19	1		24|0
597			1		24|1
598			1		24|2
599			1		24|3
600			1		24|4
601			1		24|5
602		element.15	1		24|6
603		element.14	1		24|7
604			1		24|10
605			0		24|11
606		element.2	1		24|12
607			0		24|13
608			1		24|14
609			1		24|15
610			1		24|16
611			1		24|17
612			1		24|18
613			1		24|19
614			1		24|20
615			1		24|21
616			1		24|22
617			1		24|23
618			1		24|24
619			1		24|25
620			1		24|26
621			1		24|27
622			1		24|28
623			1		24|29
624			1		24|30
625			1		24|31
626			1		24|38
627			1		24|39
628			1		24|40
629			1		25|0
630			1		25|1
631			1		25|3
632			1		25|4
633			1		25|5
634			1		25|6
635			1		25|10
636			0		25|11
637			0		25|12
638			1		25|13
639			1		25|14
640			1		25|15
641			1		25|16
642			1		25|17
643			1		25|18
644			1		25|19
645			1		25|20
646			1		25|21
647			1		25|22
648			1		25|27
649			1		25|28
650			1		25|29
651			1		25|30
652			1		25|31
653			1		25|32
654			1		25|33
655			1		25|34
656			1		25|35
657			1		25|37
658			1		26|-1
659			1		26|0
660			1		26|3
661			1		26|4
662			1		26|5
663			1		26|6
664			1		26|10
665			1		26|11
666			1		26|12
667			1		26|13
668			1		26|14
669			1		26|15
670			1		26|16
671			1		26|17
672			1		26|18
673			1		26|19
674			1		26|20
675			1		26|21
676			1		26|28
677			1		26|29
678			1		26|30
679			1		26|31
680			1		26|32
681			1		26|33
682			1		26|34
683			1		26|35
684		creature.3	1		26|36
685			1		27|-2
686			1		27|-1
687		element.15	1		27|2
688			1		27|3
689			1		27|4
690			1		27|5
691			1		27|6
692			1		27|19
693			1		27|20
694			1		27|21
695			1		27|29
696			1		27|30
697			1		27|31
698			1		27|32
699			1		27|33
700			1		27|34
701			1		27|35
702			1		28|-3
703			1		28|-2
704		element.4	1		28|1
705		element.15	1		28|2
706			1		28|3
707		element.15	1		28|4
708		element.6	1		28|5
709			1		28|19
710			1		28|20
711		creature.20	1		28|21
712		element.15	1		28|22
713		element.9	1		28|23
714			1		28|24
715			1		29|-3
716			1		29|-2
717			1		29|2
718			1		29|3
719	10|element.108	element.13	1		29|4
720		element.14	1		29|14
721		element.3	1		29|15
722		element.14	1		29|21
723			1		29|22
724			1		29|23
725			1		29|24
726			1		30|-3
727			1		30|-2
728			1		30|2
729		element.15	1		30|3
730		element.14	1		30|9
731		element.15	1		30|10
732		element.15	1		30|13
733		element.17	1		30|14
734		element.17	1		30|15
735			1		30|23
736			1		30|24
737			1		31|-3
738			1		31|-2
739			1		31|-1
740			1		31|0
741			1		31|1
742			1		31|2
743		element.17	1		31|9
744		creature.23	1		31|10
745			1		31|11
746			1		31|12
747		element.17	1		31|13
748		element.15	1		31|14
749			1		31|17
750			1		31|18
751		creature.21	1		31|23
752			1		32|-3
753			1		32|-2
754			1		32|-1
755			1		32|0
756			1		32|1
757		element.15	1		32|5
758		element.17	1		32|6
759			1		32|10
760			1		32|13
761			1		32|14
762			1		32|16
763			1		32|17
764			1		32|18
765			1		32|19
766			1		32|20
767		element.15	1		32|21
768		element.17	1		32|22
769			1		33|-3
770			1		33|-2
771			1		33|-1
772			1		33|0
773		element.17	1		33|4
774	1|element.19	element.20	1		33|5
775	15|element.113	element.12	1		33|6
776			1		33|9
777			1		33|10
778			1		33|13
779		creature.22	1		33|14
780			1		33|15
781		creature.26	1		34|-2
782		element.15	1		34|4
783		element.15	1		34|5
784		creature.24	1		34|6
785			1		34|9
786		element.15	1		35|-3
787		element.15	1		35|-2
788			1		35|6
789			1		35|7
790			1		35|8
791		element.15	1		36|-4
792		element.14	1		36|-3
793		element.13	1		36|-2
794			1		36|5
795			1		36|6
796			1		36|7
797		element.17	1		37|-5
798		element.15	1		37|-4
799		element.15	1		37|-3
800		element.15	1		37|-2
801		element.17	1		37|-1
802		creature.25	1		37|0
803			1		37|1
804			1		37|2
805			1		37|3
806			1		37|4
807		element.3	1		38|-5
808		element.15	1		38|-4
809		element.13	1		38|-3
810		element.14	1		38|-2
811		element.15	1		38|-1
