缘分id	缘分	缘分武将	缘分武将1	缘分武将2	缘分武将3	缘分武将4	属性ID1	属性类型（1固定值，2百分比）	属性加成	属性ID2	属性类型2（1固定值，2百分比）	属性加成2
600101	text_fateName_19	6001	6002	0	0	0	1	2	9	0	0	0
600102	text_fateName_41	6001	5015	0	0	0	2	2	18	3	2	18
600103	text_fateName_56	6001	5019	5008	0	0	4	2	25	0	0	0
600104	text_fateName_24	6001	5018	5007	4003	0	1	2	15	4	2	15
600201	text_fateName_19	6001	6002	0	0	0	1	2	9	0	0	0
600202	text_fateName_42	6002	5013	0	0	0	1	2	9	0	0	0
600203	text_fateName_57	6002	6003	6007	0	0	4	2	25	0	0	0
600204	text_fateName_27	6002	5014	5009	5001	0	1	2	24	0	0	0
600301	text_fateName_20	6003	6004	0	0	0	1	2	9	0	0	0
600302	text_fateName_43	6003	5007	0	0	0	1	2	9	0	0	0
600303	text_fateName_57	6002	6003	6007	0	0	4	2	25	0	0	0
600304	text_fateName_29	6003	5012	5017	4005	0	1	2	15	4	2	15
600401	text_fateName_20	6003	6004	0	0	0	1	2	9	0	0	0
600402	text_fateName_44	6004	4006	0	0	0	1	2	9	0	0	0
600403	text_fateName_58	6004	6005	6008	0	0	1	2	15	0	0	0
600404	text_fateName_26	6004	5004	5006	5008	0	1	2	24	0	0	0
600501	text_fateName_21	6005	6006	0	0	0	4	2	15	0	0	0
600502	text_fateName_45	6005	5011	0	0	0	4	2	15	0	0	0
600503	text_fateName_58	6004	6005	6008	0	0	1	2	15	0	0	0
600504	text_fateName_30	6005	5003	5005	4006	0	1	2	15	4	2	15
600601	text_fateName_21	6005	6006	0	0	0	4	2	15	0	0	0
600602	text_fateName_46	6006	5002	0	0	0	4	2	15	0	0	0
600603	text_fateName_55	6006	5002	5020	0	0	1	2	15	0	0	0
600604	text_fateName_28	6006	5002	5015	5019	0	1	2	24	0	0	0
600701	text_fateName_22	6007	6008	0	0	0	1	2	9	0	0	0
600702	text_fateName_47	6007	5020	0	0	0	4	2	15	0	0	0
600703	text_fateName_57	6002	6003	6007	0	0	4	2	25	0	0	0
600704	text_fateName_25	6007	5010	5011	4001	0	1	2	15	4	2	15
600801	text_fateName_22	6007	6008	0	0	0	1	2	9	0	0	0
600802	text_fateName_48	6008	5016	0	0	0	1	2	9	0	0	0
600803	text_fateName_58	6004	6005	6008	0	0	1	2	15	0	0	0
600804	text_fateName_23	6008	5016	5013	5020	0	1	2	24	0	0	0
1500101	text_fateName_9	15001	15002	0	0	0	4	2	15	0	0	0
1500102	text_fateName_36	15001	5013	0	0	0	4	2	15	0	0	0
1500103	text_fateName_49	15001	5017	5003	0	0	2	2	30	3	2	30
1500104	text_fateName_27	6002	5014	5009	15001	0	1	2	24	0	0	0
1500201	text_fateName_9	15001	15002	0	0	0	4	2	15	0	0	0
1500202	text_fateName_32	15002	5015	0	0	0	1	2	9	0	0	0
1500203	text_fateName_55	6006	15002	5020	0	0	1	2	15	0	0	0
1500204	text_fateName_28	6006	15002	5015	5019	0	1	2	24	0	0	0
1500301	text_fateName_10	15003	15004	0	0	0	1	2	9	0	0	0
1500302	text_fateName_38	15003	5017	0	0	0	2	2	18	3	2	18
1500303	text_fateName_49	5001	5017	15003	0	0	2	2	30	3	2	30
1500304	text_fateName_30	6005	15003	5005	4006	0	1	2	15	4	2	15
1500401	text_fateName_10	15003	15004	0	0	0	1	2	9	0	0	0
1500402	text_fateName_39	15004	5012	0	0	0	1	2	9	0	0	0
1500403	text_fateName_52	15004	5006	5016	0	0	1	2	15	0	0	0
1500404	text_fateName_26	6004	15004	5006	5008	0	1	2	24	0	0	0
1500501	text_fateName_11	15005	15006	0	0	0	1	2	9	0	0	0
1500502	text_fateName_37	15005	5011	0	0	0	1	2	9	0	0	0
1500503	text_fateName_50	15005	5009	5011	0	0	1	2	15	0	0	0
1500504	text_fateName_30	6005	5003	15005	4006	0	1	2	15	4	2	15
1500601	text_fateName_11	15005	15006	0	0	0	1	2	9	0	0	0
1500602	text_fateName_34	15006	5014	0	0	0	1	2	9	0	0	0
1500603	text_fateName_52	5004	15006	5016	0	0	1	2	15	0	0	0
1500604	text_fateName_26	6004	5004	15006	5008	0	1	2	24	0	0	0
1500701	text_fateName_12	15007	15008	0	0	0	1	2	9	0	0	0
1500702	text_fateName_33	15007	5009	0	0	0	4	2	15	0	0	0
1500703	text_fateName_51	5012	5015	15007	0	0	4	2	25	0	0	0
1500704	text_fateName_24	6001	5018	15007	4003	0	1	2	15	4	2	15
1500801	text_fateName_12	15007	15008	0	0	0	1	2	9	0	0	0
1500802	text_fateName_31	15008	5010	0	0	0	1	2	9	0	0	0
1500803	text_fateName_53	15008	5010	5018	0	0	1	2	15	0	0	0
1500804	text_fateName_26	6004	5004	5006	15008	0	1	2	24	0	0	0
1500901	text_fateName_13	15009	15010	0	0	0	1	2	9	0	0	0
1500902	text_fateName_33	5007	15009	0	0	0	4	2	15	0	0	0
1500903	text_fateName_50	5005	15009	5011	0	0	1	2	15	0	0	0
1500904	text_fateName_27	6002	5014	15009	5001	0	1	2	24	0	0	0
1501001	text_fateName_13	15009	15010	0	0	0	1	2	9	0	0	0
1501002	text_fateName_31	5008	15010	0	0	0	1	2	9	0	0	0
1501003	text_fateName_53	5008	15010	5018	0	0	1	2	15	0	0	0
1501004	text_fateName_25	6007	15010	5011	4001	0	1	2	15	4	2	15
1501101	text_fateName_14	15011	15012	0	0	0	4	2	15	0	0	0
1501102	text_fateName_37	5005	15011	0	0	0	1	2	9	0	0	0
1501103	text_fateName_50	5005	5009	15011	0	0	1	2	15	0	0	0
1501104	text_fateName_25	6007	5010	15011	4001	0	1	2	15	4	2	15
1501201	text_fateName_14	15011	15012	0	0	0	4	2	15	0	0	0
1501202	text_fateName_39	5004	15012	0	0	0	1	2	9	0	0	0
1501203	text_fateName_51	15012	5015	5007	0	0	4	2	25	0	0	0
1501204	text_fateName_29	6003	15012	5017	4005	0	1	2	15	4	2	15
1501301	text_fateName_15	15013	15014	0	0	0	1	2	9	0	0	0
1501302	text_fateName_36	5001	15013	0	0	0	4	2	15	0	0	0
1501303	text_fateName_54	15013	5014	5019	0	0	4	2	25	0	0	0
1501304	text_fateName_23	6008	5016	15013	5020	0	1	2	24	0	0	0
1501401	text_fateName_15	15013	15014	0	0	0	1	2	9	0	0	0
1501402	text_fateName_34	5006	15014	0	0	0	1	2	9	0	0	0
1501403	text_fateName_54	5013	15014	5019	0	0	4	2	25	0	0	0
1501404	text_fateName_27	6002	15014	5009	5001	0	1	2	24	0	0	0
1501501	text_fateName_16	15015	15016	0	0	0	1	2	9	0	0	0
1501502	text_fateName_32	5002	15015	0	0	0	1	2	9	0	0	0
1501503	text_fateName_51	5012	15015	5007	0	0	4	2	25	0	0	0
1501504	text_fateName_28	6006	5002	15015	5019	0	1	2	24	0	0	0
1501601	text_fateName_16	15015	15016	0	0	0	1	2	9	0	0	0
1501602	text_fateName_35	15016	5019	0	0	0	1	2	9	0	0	0
1501603	text_fateName_52	5004	5006	15016	0	0	1	2	15	0	0	0
1501604	text_fateName_23	6008	15016	5013	5020	0	1	2	24	0	0	0
1501701	text_fateName_17	15017	15018	0	0	0	4	2	15	0	0	0
1501702	text_fateName_38	5003	15017	0	0	0	2	2	18	3	2	18
1501703	text_fateName_49	5001	15017	5003	0	0	2	2	30	3	2	30
1501704	text_fateName_29	6003	5012	15017	4005	0	1	2	15	4	2	15
1501801	text_fateName_17	15017	15018	0	0	0	4	2	15	0	0	0
1501802	text_fateName_40	15018	5020	0	0	0	4	2	15	0	0	0
1501803	text_fateName_53	5008	5010	15018	0	0	1	2	15	0	0	0
1501804	text_fateName_24	6001	15018	5007	4003	0	1	2	15	4	2	15
1501901	text_fateName_18	15019	15020	0	0	0	1	2	9	0	0	0
1501902	text_fateName_35	5016	15019	0	0	0	1	2	9	0	0	0
1501903	text_fateName_54	5013	5014	15019	0	0	4	2	25	0	0	0
1501904	text_fateName_28	6006	5002	5015	15019	0	1	2	24	0	0	0
1502001	text_fateName_18	15019	15020	0	0	0	1	2	9	0	0	0
1502002	text_fateName_40	5018	15020	0	0	0	4	2	15	0	0	0
1502003	text_fateName_55	6006	5002	15020	0	0	1	2	15	0	0	0
1502004	text_fateName_23	6008	5016	5013	15020	0	1	2	24	0	0	0
2500101	text_fateName_9	25001	25002	0	0	0	4	2	20	0	0	0
2500102	text_fateName_36	25001	15013	0	0	0	4	2	20	0	0	0
2500103	text_fateName_49	25001	15017	15003	0	0	2	2	36	3	2	36
2500104	text_fateName_27	6002	15014	15009	25001	0	1	2	32	0	0	0
2500201	text_fateName_9	25001	25002	0	0	0	4	2	20	0	0	0
2500202	text_fateName_32	25002	15015	0	0	0	1	2	12	0	0	0
2500203	text_fateName_55	6006	25002	15020	0	0	1	2	18	0	0	0
2500204	text_fateName_28	6006	25002	15015	15019	0	1	2	32	0	0	0
2500301	text_fateName_10	25003	25004	0	0	0	1	2	12	0	0	0
2500302	text_fateName_38	25003	15017	0	0	0	2	2	24	3	2	24
2500303	text_fateName_49	15001	15017	25003	0	0	2	2	36	3	2	36
2500304	text_fateName_30	6005	25003	15005	4006	0	1	2	20	4	2	20
2500401	text_fateName_10	25003	25004	0	0	0	1	2	12	0	0	0
2500402	text_fateName_39	25004	15012	0	0	0	1	2	12	0	0	0
2500403	text_fateName_52	25004	15006	15016	0	0	1	2	18	0	0	0
2500404	text_fateName_26	6004	25004	15006	15008	0	1	2	32	0	0	0
2500501	text_fateName_11	25005	25006	0	0	0	1	2	12	0	0	0
2500502	text_fateName_37	25005	15011	0	0	0	1	2	12	0	0	0
2500503	text_fateName_50	25005	15009	15011	0	0	1	2	18	0	0	0
2500504	text_fateName_30	6005	15003	25005	4006	0	1	2	20	4	2	20
2500601	text_fateName_11	25005	25006	0	0	0	1	2	12	0	0	0
2500602	text_fateName_34	25006	15014	0	0	0	1	2	12	0	0	0
2500603	text_fateName_52	15004	25006	15016	0	0	1	2	18	0	0	0
2500604	text_fateName_26	6004	15004	25006	15008	0	1	2	32	0	0	0
2500701	text_fateName_12	25007	25008	0	0	0	1	2	12	0	0	0
2500702	text_fateName_33	25007	15009	0	0	0	4	2	20	0	0	0
2500703	text_fateName_51	15012	15015	25007	0	0	4	2	30	0	0	0
2500704	text_fateName_24	6001	15018	25007	4003	0	1	2	20	4	2	20
2500801	text_fateName_12	25007	25008	0	0	0	1	2	12	0	0	0
2500802	text_fateName_31	25008	15010	0	0	0	1	2	12	0	0	0
2500803	text_fateName_53	25008	15010	15018	0	0	1	2	18	0	0	0
2500804	text_fateName_26	6004	15004	15006	25008	0	1	2	32	0	0	0
2500901	text_fateName_13	25009	25010	0	0	0	1	2	12	0	0	0
2500902	text_fateName_33	15007	25009	0	0	0	4	2	20	0	0	0
2500903	text_fateName_50	15005	25009	15011	0	0	1	2	18	0	0	0
2500904	text_fateName_27	6002	15014	25009	15001	0	1	2	32	0	0	0
2501001	text_fateName_13	25009	25010	0	0	0	1	2	12	0	0	0
2501002	text_fateName_31	15008	25010	0	0	0	1	2	12	0	0	0
2501003	text_fateName_53	15008	25010	15018	0	0	1	2	18	0	0	0
2501004	text_fateName_25	6007	25010	15011	4001	0	1	2	20	4	2	20
2501101	text_fateName_14	25011	25012	0	0	0	4	2	20	0	0	0
2501102	text_fateName_37	15005	25011	0	0	0	1	2	12	0	0	0
2501103	text_fateName_50	15005	15009	25011	0	0	1	2	18	0	0	0
2501104	text_fateName_25	6007	15010	25011	4001	0	1	2	20	4	2	20
2501201	text_fateName_14	25011	25012	0	0	0	4	2	20	0	0	0
2501202	text_fateName_39	15004	25012	0	0	0	1	2	12	0	0	0
2501203	text_fateName_51	25012	15015	15007	0	0	4	2	30	0	0	0
2501204	text_fateName_29	6003	25012	15017	4005	0	1	2	20	4	2	20
2501301	text_fateName_15	25013	25014	0	0	0	1	2	12	0	0	0
2501302	text_fateName_36	15001	25013	0	0	0	4	2	20	0	0	0
2501303	text_fateName_54	25013	15014	15019	0	0	4	2	30	0	0	0
2501304	text_fateName_23	6008	15016	25013	15020	0	1	2	32	0	0	0
2501401	text_fateName_15	25013	25014	0	0	0	1	2	12	0	0	0
2501402	text_fateName_34	15006	25014	0	0	0	1	2	12	0	0	0
2501403	text_fateName_54	15013	25014	15019	0	0	4	2	30	0	0	0
2501404	text_fateName_27	6002	25014	15009	15001	0	1	2	32	0	0	0
2501501	text_fateName_16	25015	25016	0	0	0	1	2	12	0	0	0
2501502	text_fateName_32	15002	25015	0	0	0	1	2	12	0	0	0
2501503	text_fateName_51	15012	25015	15007	0	0	4	2	30	0	0	0
2501504	text_fateName_28	6006	15002	25015	15019	0	1	2	32	0	0	0
2501601	text_fateName_16	25015	25016	0	0	0	1	2	12	0	0	0
2501602	text_fateName_35	25016	15019	0	0	0	1	2	12	0	0	0
2501603	text_fateName_52	15004	15006	25016	0	0	1	2	18	0	0	0
2501604	text_fateName_23	6008	25016	15013	15020	0	1	2	32	0	0	0
2501701	text_fateName_17	25017	25018	0	0	0	4	2	20	0	0	0
2501702	text_fateName_38	15003	25017	0	0	0	2	2	24	3	2	24
2501703	text_fateName_49	15001	25017	15003	0	0	2	2	36	3	2	36
2501704	text_fateName_29	6003	15012	25017	4005	0	1	2	20	4	2	20
2501801	text_fateName_17	25017	25018	0	0	0	4	2	20	0	0	0
2501802	text_fateName_40	25018	15020	0	0	0	4	2	20	0	0	0
2501803	text_fateName_53	15008	15010	25018	0	0	1	2	18	0	0	0
2501804	text_fateName_24	6001	25018	15007	4003	0	1	2	20	4	2	20
2501901	text_fateName_18	25019	25020	0	0	0	1	2	12	0	0	0
2501902	text_fateName_35	15016	25019	0	0	0	1	2	12	0	0	0
2501903	text_fateName_54	15013	15014	25019	0	0	4	2	30	0	0	0
2501904	text_fateName_28	6006	15002	15015	25019	0	1	2	32	0	0	0
2502001	text_fateName_18	25019	25020	0	0	0	1	2	12	0	0	0
2502002	text_fateName_40	15018	25020	0	0	0	4	2	20	0	0	0
2502003	text_fateName_55	6006	15002	25020	0	0	1	2	18	0	0	0
2502004	text_fateName_23	6008	15016	15013	25020	0	1	2	32	0	0	0
2600101	text_fateName_19	26001	26002	0	0	0	1	2	12	0	0	0
2600102	text_fateName_41	26001	15015	0	0	0	2	2	24	3	2	24
2600103	text_fateName_56	26001	15019	15008	0	0	4	2	30	0	0	0
2600104	text_fateName_24	26001	15018	15007	4003	0	1	2	20	4	2	20
2600201	text_fateName_19	26001	26002	0	0	0	1	2	12	0	0	0
2600202	text_fateName_42	26002	15013	0	0	0	1	2	12	0	0	0
2600203	text_fateName_57	26002	6003	6007	0	0	4	2	30	0	0	0
2600204	text_fateName_27	26002	15014	15009	15001	0	1	2	32	0	0	0
2600301	text_fateName_20	26003	26004	0	0	0	1	2	12	0	0	0
2600302	text_fateName_43	26003	15007	0	0	0	1	2	12	0	0	0
2600303	text_fateName_57	6002	26003	6007	0	0	4	2	30	0	0	0
2600304	text_fateName_29	26003	15012	15017	4005	0	1	2	20	4	2	20
2600401	text_fateName_20	26003	26004	0	0	0	1	2	12	0	0	0
2600402	text_fateName_44	26004	4006	0	0	0	1	2	12	0	0	0
2600403	text_fateName_58	26004	6005	6008	0	0	1	2	18	0	0	0
2600404	text_fateName_26	26004	15004	15006	15008	0	1	2	32	0	0	0
2600501	text_fateName_21	26005	26006	0	0	0	4	2	20	0	0	0
2600502	text_fateName_45	26005	15011	0	0	0	4	2	20	0	0	0
2600503	text_fateName_58	6004	26005	6008	0	0	1	2	18	0	0	0
2600504	text_fateName_30	26005	15003	15005	4006	0	1	2	20	4	2	20
2600601	text_fateName_21	26005	26006	0	0	0	4	2	20	0	0	0
2600602	text_fateName_46	26006	15002	0	0	0	4	2	20	0	0	0
2600603	text_fateName_55	26006	15002	15020	0	0	1	2	18	0	0	0
2600604	text_fateName_28	26006	15002	15015	15019	0	1	2	32	0	0	0
2600701	text_fateName_22	26007	26008	0	0	0	1	2	12	0	0	0
2600702	text_fateName_47	26007	15020	0	0	0	4	2	20	0	0	0
2600703	text_fateName_57	6002	6003	26007	0	0	4	2	30	0	0	0
2600704	text_fateName_25	26007	15010	15011	4001	0	1	2	20	4	2	20
2600801	text_fateName_22	26007	26008	0	0	0	1	2	12	0	0	0
2600802	text_fateName_48	26008	15016	0	0	0	1	2	12	0	0	0
2600803	text_fateName_58	6004	6005	26008	0	0	1	2	18	0	0	0
2600804	text_fateName_23	26008	15016	15013	15020	0	1	2	32	0	0	0
