装备类型	装备品质	装备天赋值	主要属性类型	最高改良星级	主属性基础值未改良	主属性基础值_1星	主属性基础值_2星	主属性基础值_3星	主属性基础值_4星	主属性基础值_5星	主属性基础值_6星	特殊属性	特殊属性值_0星	特殊属性值_1星	特殊属性值_2星	特殊属性值_3星	特殊属性值_4星	特殊属性值_5星	特殊属性值_6星	分解固定返还	分解固定返还1	分解固定返还2	分解固定返还3	分解固定返还4	分解固定返还5	分解固定返还6
3	5	9|10|11|11|11|11|11	1|2|3|4	2	1810|1130|1130|21700	2810|1760|1760|33800	4150|2590|2590|49800	4150|2590|2590|49800	4150|2590|2590|49800	4150|2590|2590|49800	4150|2590|2590|49800	23	1200	1500	1800	1800	1800	1800	1800	user.smelt:10000	user.smelt:20000,user.gold:457500	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000
3	6	12|13|14|15|15|15|15	1|2|3|4	3	6500|4060|4060|78000	8340|5210|5210|100000	10500|6560|6560|126000	13000|8130|8130|156000	13000|8130|8130|156000	13000|8130|8130|156000	13000|8130|8130|156000	23	2100	2400	2700	3000	3000	3000	3000	user.smelt:25000	user.smelt:50000,user.gold:560000	user.smelt:100000,user.gold:2240000	user.smelt:200000,user.gold:6160000	user.smelt:200000,user.gold:6160000	user.smelt:200000,user.gold:6160000	user.smelt:200000,user.gold:6160000
3	7	16|17|18|19|20|20|20	1|2|3|4	4	15900|9920|9920|190000	21400|13400|13400|257000	28000|17500|17500|336000	35900|22400|22400|431000	45100|28200|28200|541000	45100|28200|28200|541000	45100|28200|28200|541000	23	3300	3600	3900	4200	4500	4500	4500	user.smelt:50000	user.smelt:100000,user.gold:970000	user.smelt:200000,user.gold:3885000	user.smelt:400000,user.gold:10685000	user.smelt:800000,user.gold:25255000	user.smelt:800000,user.gold:25255000	user.smelt:800000,user.gold:25255000
4	1	2|2|2|2|2|2|2	1|2|3|4	0	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	12	100	100	100	100	100	100	100	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10
4	2	3|3|3|3|3|3|3	1|2|3|4	0	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	12	150	150	150	150	150	150	150	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50
4	3	5|6|6|6|6|6|6	1|2|3|4	1	260|160|160|3140	400|250|250|4760	400|250|250|4760	400|250|250|4760	400|250|250|4760	400|250|250|4760	400|250|250|4760	12	200	300	300	300	300	300	300	user.smelt:500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500
4	4	7|8|8|8|8|8|8	1|2|3|4	1	570|360|360|6880	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	12	600	900	900	900	900	900	900	user.smelt:2500	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000
4	5	9|10|11|11|11|11|11	1|2|3|4	2	1810|1130|1130|21700	2810|1760|1760|33800	4150|2590|2590|49800	4150|2590|2590|49800	4150|2590|2590|49800	4150|2590|2590|49800	4150|2590|2590|49800	12	1200	1500	1800	1800	1800	1800	1800	user.smelt:10000	user.smelt:20000,user.gold:457500	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000
4	6	12|13|14|15|15|15|15	1|2|3|4	3	6500|4060|4060|78000	8340|5210|5210|100000	10500|6560|6560|126000	13000|8130|8130|156000	13000|8130|8130|156000	13000|8130|8130|156000	13000|8130|8130|156000	12	2100	2400	2700	3000	3000	3000	3000	user.smelt:25000	user.smelt:50000,user.gold:560000	user.smelt:100000,user.gold:2240000	user.smelt:200000,user.gold:6160000	user.smelt:200000,user.gold:6160000	user.smelt:200000,user.gold:6160000	user.smelt:200000,user.gold:6160000
4	7	16|17|18|19|20|20|20	1|2|3|4	4	15900|9920|9920|190000	21400|13400|13400|257000	28000|17500|17500|336000	35900|22400|22400|431000	45100|28200|28200|541000	45100|28200|28200|541000	45100|28200|28200|541000	12	3300	3600	3900	4200	4500	4500	4500	user.smelt:50000	user.smelt:100000,user.gold:970000	user.smelt:200000,user.gold:3885000	user.smelt:400000,user.gold:10685000	user.smelt:800000,user.gold:25255000	user.smelt:800000,user.gold:25255000	user.smelt:800000,user.gold:25255000
5	1	2|2|2|2|2|2|2	1|2|3|4	0	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	21	100	100	100	100	100	100	100	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10
5	2	3|3|3|3|3|3|3	1|2|3|4	0	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	21	150	150	150	150	150	150	150	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50
5	3	5|6|6|6|6|6|6	1|2|3|4	1	260|160|160|3140	400|250|250|4760	400|250|250|4760	400|250|250|4760	400|250|250|4760	400|250|250|4760	400|250|250|4760	21	200	300	300	300	300	300	300	user.smelt:500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500
5	4	7|8|8|8|8|8|8	1|2|3|4	1	570|360|360|6880	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	21	600	900	900	900	900	900	900	user.smelt:2500	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000
5	5	9|10|11|11|11|11|11	1|2|3|4	2	1810|1130|1130|21700	2810|1760|1760|33800	4150|2590|2590|49800	4150|2590|2590|49800	4150|2590|2590|49800	4150|2590|2590|49800	4150|2590|2590|49800	21	1200	1500	1800	1800	1800	1800	1800	user.smelt:10000	user.smelt:20000,user.gold:457500	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000
5	6	12|13|14|15|15|15|15	1|2|3|4	3	6500|4060|4060|78000	8340|5210|5210|100000	10500|6560|6560|126000	13000|8130|8130|156000	13000|8130|8130|156000	13000|8130|8130|156000	13000|8130|8130|156000	21	2100	2400	2700	3000	3000	3000	3000	user.smelt:25000	user.smelt:50000,user.gold:560000	user.smelt:100000,user.gold:2240000	user.smelt:200000,user.gold:6160000	user.smelt:200000,user.gold:6160000	user.smelt:200000,user.gold:6160000	user.smelt:200000,user.gold:6160000
5	7	16|17|18|19|20|20|20	1|2|3|4	4	15900|9920|9920|190000	21400|13400|13400|257000	28000|17500|17500|336000	35900|22400|22400|431000	45100|28200|28200|541000	45100|28200|28200|541000	45100|28200|28200|541000	21	3300	3600	3900	4200	4500	4500	4500	user.smelt:50000	user.smelt:100000,user.gold:970000	user.smelt:200000,user.gold:3885000	user.smelt:400000,user.gold:10685000	user.smelt:800000,user.gold:25255000	user.smelt:800000,user.gold:25255000	user.smelt:800000,user.gold:25255000
6	1	2|2|2|2|2|2|2	1|2|3|4	0	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	22	100	100	100	100	100	100	100	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10
6	2	3|3|3|3|3|3|3	1|2|3|4	0	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	22	150	150	150	150	150	150	150	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50
6	3	5|6|6|6|6|6|6	1|2|3|4	1	260|160|160|3140	400|250|250|4760	400|250|250|4760	400|250|250|4760	400|250|250|4760	400|250|250|4760	400|250|250|4760	22	200	300	300	300	300	300	300	user.smelt:500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500
6	4	7|8|8|8|8|8|8	1|2|3|4	1	570|360|360|6880	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	22	600	900	900	900	900	900	900	user.smelt:2500	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000
6	5	9|10|11|11|11|11|11	1|2|3|4	2	1810|1130|1130|21700	2810|1760|1760|33800	4150|2590|2590|49800	4150|2590|2590|49800	4150|2590|2590|49800	4150|2590|2590|49800	4150|2590|2590|49800	22	1200	1500	1800	1800	1800	1800	1800	user.smelt:10000	user.smelt:20000,user.gold:457500	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000
6	6	12|13|14|15|15|15|15	1|2|3|4	3	6500|4060|4060|78000	8340|5210|5210|100000	10500|6560|6560|126000	13000|8130|8130|156000	13000|8130|8130|156000	13000|8130|8130|156000	13000|8130|8130|156000	22	2100	2400	2700	3000	3000	3000	3000	user.smelt:25000	user.smelt:50000,user.gold:560000	user.smelt:100000,user.gold:2240000	user.smelt:200000,user.gold:6160000	user.smelt:200000,user.gold:6160000	user.smelt:200000,user.gold:6160000	user.smelt:200000,user.gold:6160000
6	7	16|17|18|19|20|20|20	1|2|3|4	4	15900|9920|9920|190000	21400|13400|13400|257000	28000|17500|17500|336000	35900|22400|22400|431000	45100|28200|28200|541000	45100|28200|28200|541000	45100|28200|28200|541000	22	3300	3600	3900	4200	4500	4500	4500	user.smelt:50000	user.smelt:100000,user.gold:970000	user.smelt:200000,user.gold:3885000	user.smelt:400000,user.gold:10685000	user.smelt:800000,user.gold:25255000	user.smelt:800000,user.gold:25255000	user.smelt:800000,user.gold:25255000
