关键字	英文
ROLE_GEM_CONFIRM_INFO10	Deconstruct to receive:
ROLE_GEM_CONFIRM_INFO11	Deconstructing cannot be undone
ROLE_DESTINY_TITLE	Treasure Destiny
ROLE_DESTINY_TITLE1	Formation Bonds
ROLE_DESTINY_TITLE2	Gallery Destiny
ROLE_DESTINY_INFO1	Get the designated treasures to activate stat bonuses
ROLE_DESTINY_INFO2	[Transcend all to +%d]
ROLE_DESTINY_INFO3	[Deploy all]
ROLE_DESTINY_INFO4	Illuminate in gallery to activate stats
ROLE_LIST_TITLE1	Deploy
ROLE_LIST_TITLE2	Shards
ROLE_LIST_TITLE3	Cards
ROLE_EXCHANGE_TITLE	Switch Hero Effects
ROLE_EXCHANGE_DESC1	Level is transferred
ROLE_EXCHANGE_DESC2	Troops are transferred
ROLE_EXCHANGE_DESC3	Gear is transferred
ROLE_EXCHANGE_DESC4	Slots are transferred
ROLE_EXCHANGE_DESC5	Fate is transferred
ROLE_EXCHANGE_DESC6	Returns hero transcend materials
ROLE_EXCHANGE_DESC7	Returns title promotion materials
ROLE_EXCHANGE_DESC8	Returns hero rank up materials
ROLE_EXCHANGE_PERCENT	100%
ROLE_EXCHANGE_TIPS	Note: Switch your heroes at ease
ROLE_SELECT_TITLE1	Select Hero
ROLE_SELECT_TITLE2	Switch Hero
ROLE_SELECT_INFO1	No heroes now
ROLE_SELECT_INFO2	Owned: 
ROLE_SELECT_INFO3	Deploy
ROLE_SELECT_INFO4	Switch
ROLE_SELECT_INFO5	Heroes used as mercenaries cannot be removed
ROLE_SELECT_INFO6	You deconstructed 1 %s card and got %s souls.
ROLE_SELECT_INFO7	Deconstruct a high quality hero?
ROLE_SELECT_INFO8	Unlocks at Lv.%d
ROLE_SELECT_INFO9	Quick Gear Change
ROLE_BASE_ATTR_LABEL	Base Stats
ROLE_WINDOW_TILTE_PART	Hero Gear Slots
ROLE_WINDOW_TILTE_SOLDIER	Troops
ROLE_WINDOW_TILTE_SOLDIER_INFO	Troops Details
ROLE_SOLDIER_SUB_TITLE	Troops Star Up
ROLE_SOLDIER_TIPS1	All troops inherit 100% of hero stats
ROLE_SOLDIER_TIPS2	Damage +%d
ROLE_SOLDIER_TIPS3	No skills
ROLE_SOLDIER_TIPS4	Troops Armor:
ROLE_SOLDIER_TIPS5	New Skill:
ROLE_WINDOW_TITLE_1	Deploy Heroes
ROLE_WINDOW_TITLE_3	Hero Shard
ROLE_WINDOW_TITLE_2	Hero
ROLE_EQUIP_TIPS_1	Refine unlocks at Lv.%d
ROLE_EQUIP_TIPS_2	Enhance unlocks at Lv.%d
ROLE_SKILL_TYPE_1	Normal Skill
ROLE_SKILL_TYPE_2	Rage Skill
ROLE_FATE_INFO_1	Destiny Activation:
SKILL_TIPS_DESC_1	Casts on full rage
SKILL_TIPS_DESC_2	Every attack
SKILL_TIPS_DESC_3	casts
SKILL_TIPS_DESC_4	After upgrading
ROLE_TIPS_TITLE_1	Stat Bonus Details
ROLE_TIPS_INFOTX_1	Rating
ROLE_TIPS_INFOTX_2	High rating means higher base stats.
ROLE_TIPS_INFOTX_3	Base Stats
ROLE_TIPS_INFOTX_4	Slot Bonus
ROLE_TIPS_INFOTX_5	Enhance Bonus
ROLE_TIPS_INFOTX_6	Refine Bonus
ROLE_TIPS_INFOTX_7	Deploy all for a power boost
ROLE_TIPS_INFOTX_8	Hero rank %s to unlock %s
ROLE_TIPS_INFOTX_9	Normal Skill
ROLE_TIPS_INFOTX_10	Rage Skill
ROLE_TIPS_INFOTX_11	Hero Base
ROLE_STR_HERO_LEVEL_NOT_ENOUGH	Level too low
ROLE_TIANMING_INFO	Current skill level: %d
GEM_SELECT_TITLE	Select Gem
GEM_SELECT_INFO1	No gems to inlay
GEM_SELECT_INFO2	Slot can only inlay
STR_POSCANTOPEN1	Lv.%d to unlock
STR_POSCANTOPEN2	Deploy a new hero
STR_POSCANTOPEN3	No heroes now
EQUIP_QUALITY_TX1	Common Gear
EQUIP_QUALITY_TX2	Uncommon Gear
EQUIP_QUALITY_TX3	Rare Gear
EQUIP_QUALITY_TX4	Epic Gear
EQUIP_QUALITY_TX5	Mythic Gear
EQUIP_QUALITY_TX6	Ancient Gear
EQUIP_QUALITY_TX7	Genesis Gear
HERO_QUALITY_TX1	Common Heroes
HERO_QUALITY_TX2	Uncommon Heroes
HERO_QUALITY_TX3	Rare Heroes
HERO_QUALITY_TX4	Epic Heroes
HERO_QUALITY_TX5	Mythic Heroes
HERO_QUALITY_TX6	Ancient Heroes
HERO_QUALITY_TX7	Genesis Heroes
BAG_TAB_STR1	item
BAG_TAB_STR2	Gem
BAG_TAB_STR3	Gear
BAG_TAB_STR4	Shards
BAG_TAB_STR5	No items
BAG_BTN_STR1	Use
BAG_BTN_STR2	View
BAG_BTN_STR3	Craft
BAG_BTN_STR4	Skip
BAG_BTN_STR5	Acquire
BAG_BTN_STR6	Increase
BAG_BTN_STR7	Sell
MATERIAL_NOT_ENOUGH	Not enough materials
STR_NEEDLV	Requires hero Lv.%s
MAINSCENE_BTN_STE1	Adventure
MAINSCENE_BTN_STE2	Return
SIDEBR_BTN_STR1	Hero
SIDEBR_BTN_STR2	Bag
SIDEBR_BTN_STR3	Team
SIDEBR_BTN_STR4	Quests
SIDEBR_BTN_STR5	Reports
SIDEBR_BTN_STR6	Artifact
SIDEBR_BTN_STR7	Timed
SIDEBR_BTN_STR8	Events
SIDEBR_BTN_STR9	Guide
SIDEBR_BTN_STR10	Rankings
SIDEBR_BTN_STR11	Monarch
SIDEBR_BTN_STR12	Territory
SIDEBR_BTN_STR14	Cave Hunt
SIDEBR_BTN_STR18	Village Raid
SIDEBR_BTN_STR19	Power Up
AREAN_TITLE_TX1	Arena Achievements
AREAN_TITLE_TX2	Lv.%s
AREAN_TITLE_TX3	%s Arena
AREAN_BTN_TX1	Switch
AREAN_BTN_TX2	Formation
AREAN_BTN_TX3	Reports
AREAN_BTN_TX4	Rankings
AREAN_BTN_TX5	Store
AREAN_BTN_TX6	Achievement
AREAN_BTN_TX7	Challenge
AREAN_BTN_TX8	View
AREAN_BTN_TX9	Self
AREAN_BTN_TX10	Sweep
AREAN_TIP_TX1	Daily free challenges:
AREAN_TIP_TX2	Daily
AREAN_TIP_TX3	Rank rewards sent out in the mail
AREAN_TIP_TX4	Current Rank Rewards
AREAN_TIP_TX5	Rank:
AREAN_TIP_TX6	No challenges remained
AREAN_TIP_TX7	No purchases remained
AREAN_TIP_TX8	%s Reward
AREAN_TIP_TX9	Current Rank:
AREAN_TIP_TX10	Record Highest
AREAN_TIP_TX11	%s Achievement Preview
AREAN_TIP_TX12	%s rank %d
AREAN_TIP_TX13	Rank increased by %d
AREAN_TIP_TX14	You haven\'t unlocked this Arena. Go to the required stage?
AREAN_TIP_TX15	You\'ve already joined the %s Arena. If you join a new Arena, your old Arena rank will be cleared!
AREAN_TIP_TX16	You\'re too strong, go and check out some other arenas!
AREAN_TIP_TX17	Rank unchanged
AREAN_TIP_TX18	Extra winnings:
ARENA_BUY_CHALLENGE	Spend %d diamonds to buy 1 Arena challenge?
ARENA_BUY_CHALLENGE_TIMES	%d daily purchases remained
ARENA_AWARDS_GET_TIME	Rank rewards are sent in the mail every day at %s:00.
ARENA_LEVEL_STR_1	Bronze
ARENA_LEVEL_STR_2	Silver
ARENA_LEVEL_STR_3	Gold
ARENA_LEVEL_STR_4	Violet Gold
ARENA_LEVEL_STR_5	Diamond
ARENA_LEVEL_STR_6	Majesty
ARENA_TIPS_1	[%s.%s] to unlock
ARENA_TIPS_2	[%s.%s]
ARENA_SERVER_TITLE	%d Server
HOOK_MIAN_TITLE1	Base Camp Idle
HOOK_MIAN_TITLE2	Capture Goblins
HOOK_MIAN_TITLE3	Exploration Quests
HOOK_MIAN_TITLE4	Magic Circle
HOOK_MIAN_EXPLAIN1	Once the Magic Circle is unlocked, the energy released by killing monsters in Idle mode has a chance to be converted into the required resource. The Magic Circle will stop operating if your are offline for more than %d days.
HOOK_MIAN_EXPLAIN2	Conversion Circle
HOOK_MIAN_EXPLAIN3	Once activated, the Magic Circle will continuously work
HOOK_MIAN_EXPLAIN4	Activating the Magic Circle requires
HOOK_MIAN_EXPLAIN5	Magic Circle Conversion Rate Explanation
HOOK_MIAN_EXPLAIN6	The higher the energy conversion rate, the more resources are produced every day.
HOOK_MIAN_EXPLAIN7	Base Conversion Rate
HOOK_MIAN_EXPLAIN8	Conversion Rate
HOOK_MIAN_BTNTX1	Idle
HOOK_MIAN_BTNTX2	Boss
HOOK_MIAN_BTNTX3	Search
HOOK_MIAN_BTNTX4	Challenge
HOOK_MIAN_BTNTX5	Claim All
HOOK_MIAN_BTNTX6	Idle Speedup
HOOK_MIAN_BTNTX7	Claim the Reward
HOOK_MIAN_BTNTX8	Get Now
HOOK_MIAN_BTNTX9	View Details
HOOK_MIAN_INFOTX1	Challenge Lv.%d to increase Idle rewards.
HOOK_MIAN_INFOTX2	Required power:
HOOK_MIAN_INFOTX3	%d/hr
HOOK_MIAN_INFOTX4	Current benefit state:
HOOK_MIAN_INFOTX5	Benefits paused
HOOK_MIAN_INFOTX6	Not obtained
HOOK_MIAN_INFOTX7	You haven\'t found any stronger monsters
HOOK_MIAN_INFOTX8	Goblins might drop
HOOK_MIAN_INFOTX9	Beat every
HOOK_MIAN_INFOTX10	to unlock a
HOOK_MIAN_INFOTX11	Guaranteed Drop
HOOK_MIAN_INFOTX12	Remaining daily explorations:
HOOK_MIAN_INFOTX13	Higher level quests offer better rewards
HOOK_MIAN_INFOTX14	[S]
HOOK_MIAN_INFOTX15	%d minutes
HOOK_MIAN_INFOTX16	Free (%d)
HOOK_MIAN_INFOTX17	Remaining time:
HOOK_MIAN_INFOTX18	Complete Now
HOOK_MIAN_INFOTX19	Explore
HOOK_MIAN_INFOTX20	Challenge Lv.%s monster to increase idle rewards:
HOOK_MIAN_INFOTX21	Spend
HOOK_MIAN_INFOTX22	To get %d hours of benefits?
HOOK_MIAN_INFOTX23	Remaining daily speedups: %d/%d
HOOK_MIAN_INFOTX24	Instantly complete this exploration
HOOK_MIAN_INFOTX25	Idle Speedup
HOOK_MIAN_INFOTX26	Dispatch a Hero
HOOK_MIAN_INFOTX27	Dispatch a Patrol
HOOK_MIAN_INFOTX29	No times remained
HOOK_MIAN_INFOTX30	Adds 1 exploration
HOOK_MIAN_INFOTX31	You\'re VIP %d, you can purchase %d more times.
HOOK_MIAN_INFOTX32	Purchases
HOOK_MIAN_INFOTX33	No purchases remained
HOOK_MIAN_INFOTX34	Select a hero to explore
HOOK_MIAN_INFOTX35	Dispatching
HOOK_MIAN_INFOTX36	Search Results
HOOK_MIAN_INFOTX37	Already max star level
HOOK_MIAN_INFOTX38	No searches remained
HOOK_MIAN_INFOTX39	Quest rewards:
HOOK_MIAN_INFOTX40	Searching......
HOOK_MIAN_INFOTX41	Increases star level of the current exploration
HOOK_MIAN_INFOTX42	Star Up Confirmation
HOOK_MIAN_INFOTX43	Quest reset
HOOK_MIAN_INFOTX44	%s has started exploring
HOOK_MIAN_INFOTX45	Monster Challenge
HOOK_MIAN_INFOTX46	Do you want to reset?
HOOK_MIAN_INFOTX47	Max Star Quest
HOOK_MIAN_INFOTX48	Super Quest
HOOK_MIAN_INFOTX49	Confirm to Reset
HOOK_MIAN_INFOTX50	New loot:
HOOK_MIAN_INFOTX51	No resources to claim
HOOK_MIAN_INFOTX52	Required level:
HOOK_MIAN_INFOTX53	Benefits:
HOOK_MIAN_INFOTX54	Loot:
HOOK_MIAN_INFOTX55	Only up to 24 hours of Idle benefits can be saved!
HOOK_MIAN_INFOTX56	New loot unlocked:
HOOK_MIAN_INFOTX57	Select a hero
HOOK_MIAN_INFOTX58	Hero Search Reward
HOOK_MIAN_INFOTX59	The reward determined by the selected hero.
HOOK_MIAN_INFOTX60	Production Increase
HOOK_MIAN_INFOTX61	Magic Circle Production Increase
HOOK_MIAN_INFOTX62	Required power: 
HOOK_MONSTER_INFOTX1	Normal Monster
HOOK_MONSTER_INFOTX2	Medium Monster
HOOK_MONSTER_INFOTX3	Large Monster
HOOK_MONSTER_INFOTX4	Elite Monster
HOOK_MONSTER_INFOTX5	Rare Monster
HOOK_MONSTER_INFOTX6	Challenge progress:
HOOK_MONSTER_INFOTX7	Challenge Reward:
HOOK_MONSTER_INFOTX8	Complete all previous challenges
HOOK_MONSTER_INFOTX9	You already claimed all rewards.
HOOK_MONSTER_INFOTX10	Challenge requirements:
TAVERN_MAIN_INFO1	Timed hero:
TAVERN_MAIN_INFO2	Time remained:
TAVERN_MAIN_INFO3	Spend %s to get the timed hero.
TAVERN_MAIN_INFO4	Refresh successful
TAVERN_MAIN_INFO5	Free
TAVERN_MAIN_INFO6	To free
TAVERN_MAIN_INFO7	Daily Gold Recruit:
TAVERN_MAIN_INFO8	Recruit Again
TAVERN_MAIN_INFO9	times to get
TAVERN_MAIN_INFO10	Mythic Hero
TAVERN_MAIN_INFO11	Single Recruit
TAVERN_MAIN_INFO12	Recruit*10
TAVERN_MAIN_INFO13	No Gold Recruit times remained
TAVERN_MAIN_INFO14	Chance to get:
TAVERN_MAIN_INFO15	100% Gift
TAVERN_MAIN_INFO16	Friendly Recruit
TAVERN_MAIN_INFO17	Recruit*%d
TAVERN_MAIN_INFO18	Refresh the timed hero?
TAVERN_MAIN_INFO19	Exchange
TAVERN_MAIN_INFO20	No Gold Recruit times remained
TAVERN_MAIN_INFO21	Not enough %s to recruit
CUSTOMS_MAP_BTNTX1	Normal
CUSTOMS_MAP_BTNTX2	Elite
CUSTOMS_MAP_BTNTX3	Hard
CUSTOMS_MAP_BTNTX4	Challenge
CUSTOMS_MAP_BTNTX5	Sweep %d times
CUSTOMS_MAP_BTNTX6	Sweep
CUSTOMS_MAP_BTNTX7	Spar
CUSTOMS_MAP_BTNTX8	Loot
CUSTOMS_MAP_BTNTX9	Info
CUSTOMS_MAP_INFOTX1	Daily challenges:
CUSTOMS_MAP_INFOTX2	Normal rewards:
CUSTOMS_MAP_INFOTX3	Possible loot:
CUSTOMS_MAP_INFOTX4	Sweep:
CUSTOMS_MAP_INFOTX5	Cost:
CUSTOMS_MAP_INFOTX6	No challenges remained
CUSTOMS_MAP_INFOTX7	Data error
CUSTOMS_MAP_INFOTX8	Stage %d
CUSTOMS_MAP_INFOTX9	Sweep Results
CUSTOMS_MAP_INFOTX10	Increase VIP level to reset more times per day.
CUSTOMS_MAP_INFOTX11	Unlock
CUSTOMS_MAP_INFOTX12	Daily Times
CUSTOMS_MAP_INFOTX13	New Feature Unlocked
CUSTOMS_MAP_INFOTX14	Clear the stage to unlock Sweep
CUSTOMS_MAP_INFOTX15	New Dragon
CUSTOMS_MAP_INFOTX16	Stage info:
CUSTOMS_MAP_INFOTX17	Reset challenges
CUSTOMS_MAP_INFOTX18	You are VIP %d, you can purchase %d more times.
CUSTOMS_MAP_INFO19	Inheritance Book activation:
CUSTOMS_MAP_INFO20	Inheritance Book:
CUSTOMS_MAP_INFO21	Activate to get:
CUSTOMS_MAP_INFO22	First clear stage [%s.%s]
STORE_STR_INFOTX01	Limit
STORE_STR_INFOTX02	purchases
STORE_STR_INFOTX03	Buy
STORE_STR_INFOTX04	Next refresh
STORE_STR_INFOTX05	Chances:
STORE_STR_INFOTX06	Refresh successful
STORE_STR_INFOTX07	Lv.%d to unlock
STORE_STR_INFOTX08	Sold Out
STORE_STR_INFOTX09	Purchase requirements not met
STORE_STR_INFOTX10	Item sold out
STORE_STR_INFOTX11	Purchase amount:
STORE_STR_INFOTX12	Total price:
STORE_STR_INFOTX13	(Remained: %d)
STORE_STR_INFOTX14	Remained: %d
STORE_STR_INFOTX15	You aren\'t qualified to buy
STORE_STR_INFOTX16	Item sold out
STORE_STR_INFOTX17	No daily refreshes remained
STORE_STR_INFOTX18	%s to unlock
STORE_STR_INFOTX19	Upgrade to Lv.%d to buy %d more times.
STORE_STR_INFOTX20	Upgrade to VIP %d to buy %d more times.
STORE_STR_INFOTX21	Confirm to Refresh
STORE_STR_INFOTX22	Refresh store items?
STORE_STR_INFOTX23	Legion Lv.%d to unlock
STORE_STR_INFOTX24	Team Lv.%d to unlock
STORE_STR_INFOTX25	Beat Courage Tower F%d
STORE_BTN_TX1	Refresh
STORE_BTN_TX2	Free refresh (%d)
BATTLE_STR_ERROR	Battle Error
TAVERN_BTN_TX1	Refresh
TAVERN_BTN_TX2	Exchange
TAVERN_BTN_TX3	Gallery
TAVERN_BTN_TX4	Introduction
TAVERN_BTN_TX5	Recruit
GETWAY_MAIN_INFO1	Refine up to a max of level %d.
GETWAY_MAIN_INFO2	[Enhance Growth]
GETWAY_MAIN_INFO3	[Refine Growth]
GETWAY_MAIN_INFO4	[%d Pieces Effect]
COMMON_EQUIP	Equip
COMMON_EQUIPOFF	Remove
COMMON_JIE	Rank
SOLDIER0	Rank
SOLDIER1	Rank 1
SOLDIER2	Rank 2
SOLDIER3	Rank 3
SOLDIER4	Rank 4
SOLDIER5	Rank 5
SOLDIER6	Rank 6
SOLDIER7	Rank 7
SOLDIER8	Rank 8
SOLDIER9	Rank 9
SOLDIER10	Rank 10
STRENGTH_SOLDIER	Troop Command
SOLDIER_UPGRADE_STR_1	Troop stats increased
SOLDIER_UPGRADE_STR_2	Max troop capacity:
SOLDIER_UPGRADE_STR_3	Damage increase against %s:
SOLDIER_UPGRADE_STR_4	Congrats on gaining more troops
SOLDIER_UPGRADE_STR_5	Congrats on unlocking a new skill
SOLDIER_UPGRADE_STR_6	Congrats on unlocking
SOLDIER_MAX	Fully Advanced
COMMON_RELEASE	Rescue
COMMON_ALREADY_FINISH	Completed
COMMON_ALREADY_CONTROL	Subdued
COMMON_ALREADY_RELEASED	Rescued
COMMON_ALREADY_CAN_RELEASED	Rescue
COMMON_ALREADY_GOT	Obtained
COMMON_NOT_GOT	Not obtained
COMMON_ALREADY_UNLOCK	Unlocked
COMMON_ALREADY_ACTIVE	Activated
COMMON_NOT_ACTIVE	Not activated
COMMON_MAINROLE	Lord
COMMON_STR_QUE	?
COMMON_STR_RESOLVE	Deconstruct
COMMON_STR_MERGE	Craft
COMMON_STR_MERGE_SUSS	Craft Successful
COMMON_STR_MERGE_FAIL	Craft Failed
COMMON_STR_ASSIST	Deploy
COMMON_STR_GET	Acquire
COMMON_STR_OWN	Owned: 
COMMON_STR_LQ	Claim
COMMON_STR_NOFINISH	Incomplete
COMMON_STR_FIGHT	Power
COMMON_STR_OK	Confirm
STR_OK_1	Confirm
STR_CANCEL_1	Cancel
COMMON_STR_CANCLE	Cancel
COMMON_BUY_TIMES_OVER	No purchases remained
COMMON_NO_CASH	Not enough diamonds
COMMON_NO_GOLD	Not enough gold
COMMON_RANK_MING	Rank
COMMON_RANK_MING1	After rank
COMMON_RANK_GRADE	Lv.%d
COMMON_STR_LEVELOPEN	Lord Lv.%d to unlock
COMMON_STR_USE_CUSTOM_OPEN	Clear stage %s to use
COMMON_STR_RELEASE_VILLAGE_OPEN	Rescue [%s.%s] to unlock
COMMON_STR_NOTOPEN	The feature not available now
COMMON_STR_CONTINUE	Tap anywhere to continue
COMMON_STR_QUIT	Tap anywhere to leave
COMMON_STR_NOTENOUGH	Not enough %s, go buy %snow?
COMMON_STR_COST	Spend
COMMON_STR_COST1	Confirm to spend
COMMON_STR_CONGRATS	Congratulation 
COMMON_STR_PARTDESC	Gear slot:
COMMON_STR_DELETE	Delete
COMMON_STR_ALLDELETE	Delete All
COMMON_STR_ONLINE	Online
COMMON_STR_ERROR	Error: %s
FOOD_RED_NOT_ENOUGH	Not enough Red Stamina
FOOD_ERROR_SHOW	Stamina displays error
STR_CONNECTING	Network connecting
COLOR_1	Common
COLOR_2	Uncommon
COLOR_3	Rare
COLOR_4	Epic
COLOR_5	Mythic
COLOR_6	Ancient
COLOR_7	Genesis
COMMON_QUALITY_1	Common
COMMON_QUALITY_2	Uncommon
COMMON_QUALITY_3	Rare
COMMON_QUALITY_4	Epic
COMMON_QUALITY_5	Mythic
COMMON_QUALITY_6	Ancient
COMMON_QUALITY_7	Genesis
COMMON_QUALITY_STR	Quality
COMMON_COLOR_STR	 
COMMON_COLLECT_STR	Collected:
COMMON_NOT_EMBED	No gems inlaid
COMMON_STR_GEM_NAME_1	Ruby
COMMON_STR_GEM_NAME_2	Topaz
COMMON_STR_GEM_NAME_3	Sapphire
COMMON_STR_GEM_NAME_4	Emerald
COMMON_STR_NUM_LABEL	Amount:
COMMON_STR_SOLDIER_NAME_1	Infantry
COMMON_STR_SOLDIER_NAME_2	Ranged
COMMON_STR_SOLDIER_NAME_3	Rider
COMMON_STR_INPUT_LIMIT	Up to %d characters
COMMON_STR_NOT_OPEN	Not open
COMMON_STR_HAS_PASS	Cleared
SOLDIER_LEGION_1	Infantry Legion
SOLDIER_LEGION_2	Ranged Legion
SOLDIER_LEGION_3	Rider Legion
STR_ARMS_THANKS_1	Prioritize attacking the closest enemies in the same row. Can take attacks from 2 enemy melee units.
STR_ARMS_THANKS_2	Prioritize attacking the closest enemies on the battlefield.
STR_ARMS_THANKS_3	When there are no enemy legions directly ahead, prioritize attacking the closest back row enemy legions.
STR_COUNTER_RELATION	Unit Strengths
STR_BATTLE_CANCEL	Cancel Casting
