技能组id	英雄名字	普攻技能	怒气技能	自动技能1	自动技能1所需普攻次数
501600	大法师[橙]	50160001	50160201	50160101	4
501601	大法师[红]	50160001	50161201	50161101	4
501602	大法师[金]	50160001	50162201	50162101	4
501700	巨盾守卫[橙]	50170001	50170201	50170101	4
501701	巨盾守卫[红]	50170001	50171201	50171101	4
501702	巨盾守卫[金]	50170001	50172201	50172101	4
501800	银月射手[橙]	50180001	50180201	50180101	4
501801	银月射手[红]	50180001	50181201	50181101	4
501802	银月射手[金]	50180001	50182201	50182101	4
511800	银月射手[橙]连击	51180001	50180201	50180101	4
511801	银月射手[红]连击	51181001	50181201	50181101	4
511802	银月射手[金]连击	51182001	50182201	50182101	4
501900	末法骑士[橙]	50190001	50190201	50190101	4
501901	末法骑士[红]	50190001	50191201	50191101	4
501902	末法骑士[金]	50190001	50192201	50192101	4
502000	守墓人[橙]	50200001	50200201	50200101	4
502001	守墓人[红]	50200001	50201201	50201101	4
502002	守墓人[金]	50200001	50202201	50202101	4
502100	正义之子[橙]	60010001	60010201	60010101	4
502101	正义之子[红]	60010001	60011201	60011101	4
502102	正义之子[金]	60010001	60012201	60012101	4
502200	古怪巫师[橙]	60020001	60020201	60020101	4
502201	古怪巫师[红]	60020001	60021201	60021101	4
502202	古怪巫师[金]	60020001	60022201	60022101	4
502300	狮鹫骑士[橙]	60030001	60030201	60030101	4
502301	狮鹫骑士[红]	60030001	60031201	60031101	4
502302	狮鹫骑士[金]	60030001	60032201	60032101	4
502400	精灵王子[橙]	60040001	60040201	60040101	4
502401	精灵王子[红]	60040001	60041201	60041101	4
502402	精灵王子[金]	60040001	60042201	60042101	4
502500	潮汐之灾[橙]	60050001	60050201	60050101	4
502501	潮汐之灾[红]	60050001	60051201	60051101	4
502502	潮汐之灾[金]	60050001	60052201	60052101	4
502600	海洋之灵[橙]	60060001	60060201	60060101	4
502601	海洋之灵[红]	60060001	60061201	60061101	4
502602	海洋之灵[金]	60060001	60062201	60062101	4
502700	死亡大帝[橙]	60070001	60070201	60070101	4
502701	死亡大帝[红]	60070001	60071201	60071101	4
502702	死亡大帝[金]	60070001	60072201	60072101	4
502800	驯龙女巫[橙]	60080001	60080201	60080101	4
502801	驯龙女巫[红]	60080001	60081201	60081101	4
502802	驯龙女巫[金]	60080001	60082201	60082101	4
502900	孙坚[橙]	50290001	50290201	50290101	4
502901	孙坚[红]	50290001	50291201	50291101	4
502902	孙坚[金]	50290001	50292201	50292101	4
503000	南华老仙[橙]	50300001	50300201	50300101	4
503001	南华老仙[红]	50300001	50301201	50301101	4
503002	南华老仙[金]	50300001	50302201	50302101	4
503100	马超[橙]	50310001	50310201	50310101	4
503101	马超[红]	50310001	50311201	50311101	4
503102	马超[金]	50310001	50312201	50312101	4
503200	洛神[橙]	50320001	50320201	50320101	4
503201	洛神[红]	50320001	50321201	50321101	4
503202	洛神[金]	50320001	50322201	50322101	4
400502010	猪群袭击-小猪	41050201	0	0	4
400502020	猪群袭击-小猪	41050202	0	0	4
400502030	猪群袭击-小猪	41050203	0	0	4
400502040	猪群袭击-小猪	41050204	0	0	4
400502050	猪群袭击-小猪	41050205	0	0	4
400502060	猪群袭击-小猪	41050206	0	0	4
400502070	猪群袭击-小猪	41050207	0	0	4
400502080	猪群袭击-小猪	41050208	0	0	4
400502090	猪群袭击-小猪	41050209	0	0	4
400502100	猪群袭击-小猪	41050210	0	0	4
400502110	猪群袭击-小猪	41050211	0	0	4
400502120	猪群袭击-小猪	41050212	0	0	4
400502130	猪群袭击-小猪	41050213	0	0	4
400502140	猪群袭击-小猪	41050214	0	0	4
400502150	猪群袭击-小猪	41050215	0	0	4
51100201	骷髅兵	51100201	0	0	4
51100202	骷髅兵	51100202	0	0	4
51100203	骷髅兵	51100203	0	0	4
51100204	骷髅兵	51100204	0	0	4
51100205	骷髅兵	51100205	0	0	4
51100206	骷髅兵	51100206	0	0	4
51100207	骷髅兵	51100207	0	0	4
51100208	骷髅兵	51100208	0	0	4
51100209	骷髅兵	51100209	0	0	4
51100210	骷髅兵	51100210	0	0	4
51100211	骷髅兵	51100211	0	0	4
51100212	骷髅兵	51100212	0	0	4
51100213	骷髅兵	51100213	0	0	4
51100214	骷髅兵	51100214	0	0	4
51100215	骷髅兵	51100215	0	0	4
51101201	骷髅兵	51101201	0	0	4
51101202	骷髅兵	51101202	0	0	4
51101203	骷髅兵	51101203	0	0	4
51101204	骷髅兵	51101204	0	0	4
51101205	骷髅兵	51101205	0	0	4
51101206	骷髅兵	51101206	0	0	4
51101207	骷髅兵	51101207	0	0	4
51101208	骷髅兵	51101208	0	0	4
51101209	骷髅兵	51101209	0	0	4
51101210	骷髅兵	51101210	0	0	4
51101211	骷髅兵	51101211	0	0	4
51101212	骷髅兵	51101212	0	0	4
51101213	骷髅兵	51101213	0	0	4
51101214	骷髅兵	51101214	0	0	4
51101215	骷髅兵	51101215	0	0	4
51102201	骷髅兵	51102201	0	0	4
51102202	骷髅兵	51102202	0	0	4
51102203	骷髅兵	51102203	0	0	4
51102204	骷髅兵	51102204	0	0	4
51102205	骷髅兵	51102205	0	0	4
51102206	骷髅兵	51102206	0	0	4
51102207	骷髅兵	51102207	0	0	4
51102208	骷髅兵	51102208	0	0	4
51102209	骷髅兵	51102209	0	0	4
51102210	骷髅兵	51102210	0	0	4
51102211	骷髅兵	51102211	0	0	4
51102212	骷髅兵	51102212	0	0	4
51102213	骷髅兵	51102213	0	0	4
51102214	骷髅兵	51102214	0	0	4
51102215	骷髅兵	51102215	0	0	4
51130101	蛇棒- 普攻	51130101	0	0	4
51130102	蛇棒- 普攻	51130102	0	0	4
51130103	蛇棒- 普攻	51130103	0	0	4
51130104	蛇棒- 普攻	51130104	0	0	4
51130105	蛇棒- 普攻	51130105	0	0	4
51130106	蛇棒- 普攻	51130106	0	0	4
51130107	蛇棒- 普攻	51130107	0	0	4
51130108	蛇棒- 普攻	51130108	0	0	4
51130109	蛇棒- 普攻	51130109	0	0	4
51130110	蛇棒- 普攻	51130110	0	0	4
51130111	蛇棒- 普攻	51130111	0	0	4
51130112	蛇棒- 普攻	51130112	0	0	4
51130113	蛇棒- 普攻	51130113	0	0	4
51130114	蛇棒- 普攻	51130114	0	0	4
51130115	蛇棒- 普攻	51130115	0	0	4
51131101	蛇棒- 普攻	51131101	0	0	4
51131102	蛇棒- 普攻	51131102	0	0	4
51131103	蛇棒- 普攻	51131103	0	0	4
51131104	蛇棒- 普攻	51131104	0	0	4
51131105	蛇棒- 普攻	51131105	0	0	4
51131106	蛇棒- 普攻	51131106	0	0	4
51131107	蛇棒- 普攻	51131107	0	0	4
51131108	蛇棒- 普攻	51131108	0	0	4
51131109	蛇棒- 普攻	51131109	0	0	4
51131110	蛇棒- 普攻	51131110	0	0	4
51131111	蛇棒- 普攻	51131111	0	0	4
51131112	蛇棒- 普攻	51131112	0	0	4
51131113	蛇棒- 普攻	51131113	0	0	4
51131114	蛇棒- 普攻	51131114	0	0	4
51131115	蛇棒- 普攻	51131115	0	0	4
51132101	蛇棒- 普攻	51132101	0	0	4
51132102	蛇棒- 普攻	51132102	0	0	4
51132103	蛇棒- 普攻	51132103	0	0	4
51132104	蛇棒- 普攻	51132104	0	0	4
51132105	蛇棒- 普攻	51132105	0	0	4
51132106	蛇棒- 普攻	51132106	0	0	4
51132107	蛇棒- 普攻	51132107	0	0	4
51132108	蛇棒- 普攻	51132108	0	0	4
51132109	蛇棒- 普攻	51132109	0	0	4
51132110	蛇棒- 普攻	51132110	0	0	4
51132111	蛇棒- 普攻	51132111	0	0	4
51132112	蛇棒- 普攻	51132112	0	0	4
51132113	蛇棒- 普攻	51132113	0	0	4
51132114	蛇棒- 普攻	51132114	0	0	4
51132115	蛇棒- 普攻	51132115	0	0	4
61030201	狮鹫骑士分身	61030201	0	0	4
61030202	狮鹫骑士分身	61030202	0	0	4
61030203	狮鹫骑士分身	61030203	0	0	4
61030204	狮鹫骑士分身	61030204	0	0	4
61030205	狮鹫骑士分身	61030205	0	0	4
61030206	狮鹫骑士分身	61030206	0	0	4
61030207	狮鹫骑士分身	61030207	0	0	4
61030208	狮鹫骑士分身	61030208	0	0	4
61030209	狮鹫骑士分身	61030209	0	0	4
61030210	狮鹫骑士分身	61030210	0	0	4
61030211	狮鹫骑士分身	61030211	0	0	4
61030212	狮鹫骑士分身	61030212	0	0	4
61030213	狮鹫骑士分身	61030213	0	0	4
61030214	狮鹫骑士分身	61030214	0	0	4
61030215	狮鹫骑士分身	61030215	0	0	4
61031201	狮鹫骑士分身	61031201	0	0	4
61031202	狮鹫骑士分身	61031202	0	0	4
61031203	狮鹫骑士分身	61031203	0	0	4
61031204	狮鹫骑士分身	61031204	0	0	4
61031205	狮鹫骑士分身	61031205	0	0	4
61031206	狮鹫骑士分身	61031206	0	0	4
61031207	狮鹫骑士分身	61031207	0	0	4
61031208	狮鹫骑士分身	61031208	0	0	4
61031209	狮鹫骑士分身	61031209	0	0	4
61031210	狮鹫骑士分身	61031210	0	0	4
61031211	狮鹫骑士分身	61031211	0	0	4
61031212	狮鹫骑士分身	61031212	0	0	4
61031213	狮鹫骑士分身	61031213	0	0	4
61031214	狮鹫骑士分身	61031214	0	0	4
61031215	狮鹫骑士分身	61031215	0	0	4
61032201	狮鹫骑士分身	61032201	0	0	4
61032202	狮鹫骑士分身	61032202	0	0	4
61032203	狮鹫骑士分身	61032203	0	0	4
61032204	狮鹫骑士分身	61032204	0	0	4
61032205	狮鹫骑士分身	61032205	0	0	4
61032206	狮鹫骑士分身	61032206	0	0	4
61032207	狮鹫骑士分身	61032207	0	0	4
61032208	狮鹫骑士分身	61032208	0	0	4
61032209	狮鹫骑士分身	61032209	0	0	4
61032210	狮鹫骑士分身	61032210	0	0	4
61032211	狮鹫骑士分身	61032211	0	0	4
61032212	狮鹫骑士分身	61032212	0	0	4
61032213	狮鹫骑士分身	61032213	0	0	4
61032214	狮鹫骑士分身	61032214	0	0	4
61032215	狮鹫骑士分身	61032215	0	0	4
61020101	熔岩精灵	61020101	0	0	4
61020102	熔岩精灵	61020102	0	0	4
61020103	熔岩精灵	61020103	0	0	4
61020104	熔岩精灵	61020104	0	0	4
61020105	熔岩精灵	61020105	0	0	4
61020106	熔岩精灵	61020106	0	0	4
61020107	熔岩精灵	61020107	0	0	4
61020108	熔岩精灵	61020108	0	0	4
61020109	熔岩精灵	61020109	0	0	4
61020110	熔岩精灵	61020110	0	0	4
61020111	熔岩精灵	61020111	0	0	4
61020112	熔岩精灵	61020112	0	0	4
61020113	熔岩精灵	61020113	0	0	4
61020114	熔岩精灵	61020114	0	0	4
61020115	熔岩精灵	61020115	0	0	4
61021101	熔岩精灵	61021101	0	0	4
61021102	熔岩精灵	61021102	0	0	4
61021103	熔岩精灵	61021103	0	0	4
61021104	熔岩精灵	61021104	0	0	4
61021105	熔岩精灵	61021105	0	0	4
61021106	熔岩精灵	61021106	0	0	4
61021107	熔岩精灵	61021107	0	0	4
61021108	熔岩精灵	61021108	0	0	4
61021109	熔岩精灵	61021109	0	0	4
61021110	熔岩精灵	61021110	0	0	4
61021111	熔岩精灵	61021111	0	0	4
61021112	熔岩精灵	61021112	0	0	4
61021113	熔岩精灵	61021113	0	0	4
61021114	熔岩精灵	61021114	0	0	4
61021115	熔岩精灵	61021115	0	0	4
61022101	熔岩精灵	61022101	0	0	4
61022102	熔岩精灵	61022102	0	0	4
61022103	熔岩精灵	61022103	0	0	4
61022104	熔岩精灵	61022104	0	0	4
61022105	熔岩精灵	61022105	0	0	4
61022106	熔岩精灵	61022106	0	0	4
61022107	熔岩精灵	61022107	0	0	4
61022108	熔岩精灵	61022108	0	0	4
61022109	熔岩精灵	61022109	0	0	4
61022110	熔岩精灵	61022110	0	0	4
61022111	熔岩精灵	61022111	0	0	4
61022112	熔岩精灵	61022112	0	0	4
61022113	熔岩精灵	61022113	0	0	4
61022114	熔岩精灵	61022114	0	0	4
61022115	熔岩精灵	61022115	0	0	4
61020201	地狱火	61020201	0	0	4
61020202	地狱火	61020202	0	0	4
61020203	地狱火	61020203	0	0	4
61020204	地狱火	61020204	0	0	4
61020205	地狱火	61020205	0	0	4
61020206	地狱火	61020206	0	0	4
61020207	地狱火	61020207	0	0	4
61020208	地狱火	61020208	0	0	4
61020209	地狱火	61020209	0	0	4
61020210	地狱火	61020210	0	0	4
61020211	地狱火	61020211	0	0	4
61020212	地狱火	61020212	0	0	4
61020213	地狱火	61020213	0	0	4
61020214	地狱火	61020214	0	0	4
61020215	地狱火	61020215	0	0	4
61021201	地狱火	61021201	0	0	4
61021202	地狱火	61021202	0	0	4
61021203	地狱火	61021203	0	0	4
61021204	地狱火	61021204	0	0	4
61021205	地狱火	61021205	0	0	4
61021206	地狱火	61021206	0	0	4
61021207	地狱火	61021207	0	0	4
61021208	地狱火	61021208	0	0	4
61021209	地狱火	61021209	0	0	4
61021210	地狱火	61021210	0	0	4
61021211	地狱火	61021211	0	0	4
61021212	地狱火	61021212	0	0	4
61021213	地狱火	61021213	0	0	4
61021214	地狱火	61021214	0	0	4
61021215	地狱火	61021215	0	0	4
61022201	地狱火	61022201	0	0	4
61022202	地狱火	61022202	0	0	4
61022203	地狱火	61022203	0	0	4
61022204	地狱火	61022204	0	0	4
61022205	地狱火	61022205	0	0	4
61022206	地狱火	61022206	0	0	4
61022207	地狱火	61022207	0	0	4
61022208	地狱火	61022208	0	0	4
61022209	地狱火	61022209	0	0	4
61022210	地狱火	61022210	0	0	4
61022211	地狱火	61022211	0	0	4
61022212	地狱火	61022212	0	0	4
61022213	地狱火	61022213	0	0	4
61022214	地狱火	61022214	0	0	4
61022215	地狱火	61022215	0	0	4
1000000	主角	10000001	10000401	10000101	4
1000001	主角	10000001	10000501	10000201	4
1000002	主角	10000001	10000601	10000301	4
100000	木桩	0	0	0	4
