编号	名称	颜色方案	等级	宝石类型	属性类型	穿戴部位ID	值	特效方案	升级获得宝石	图标	描述	获取途径
212	text_gemNameId_212	7	12	2	2	1|2|3|4|5|6	34500	17	0	gem212.png	text_gemDescId_max	1301|1302|603
301	text_gemNameId_301	1	1	3	3	1|2|3|4|5|6	42	11	302	gem301.png	text_gemDescId_normal	1301|1302|603
302	text_gemNameId_302	2	2	3	3	1|2|3|4|5|6	120	12	303	gem302.png	text_gemDescId_normal	1301|1302|603
303	text_gemNameId_303	3	3	3	3	1|2|3|4|5|6	250	13	304	gem303.png	text_gemDescId_normal	1301|1302|603
304	text_gemNameId_304	4	4	3	3	1|2|3|4|5|6	460	14	305	gem304.png	text_gemDescId_normal	1301|1302|603
305	text_gemNameId_305	5	5	3	3	1|2|3|4|5|6	800	15	306	gem305.png	text_gemDescId_normal	1301|1302|603
306	text_gemNameId_306	5	6	3	3	1|2|3|4|5|6	1400	15	307	gem306.png	text_gemDescId_normal	1301|1302|603
307	text_gemNameId_307	6	7	3	3	1|2|3|4|5|6	2460	16	308	gem307.png	text_gemDescId_normal	1301|1302|603
308	text_gemNameId_308	6	8	3	3	1|2|3|4|5|6	4330	16	309	gem308.png	text_gemDescId_normal	1301|1302|603
309	text_gemNameId_309	6	9	3	3	1|2|3|4|5|6	7540	16	310	gem309.png	text_gemDescId_normal	1301|1302|603
310	text_gemNameId_310	7	10	3	3	1|2|3|4|5|6	12900	17	311	gem310.png	text_gemDescId_normal	1301|1302|603
311	text_gemNameId_311	7	11	3	3	1|2|3|4|5|6	21400	17	312	gem311.png	text_gemDescId_normal	1301|1302|603
312	text_gemNameId_312	7	12	3	3	1|2|3|4|5|6	34500	17	0	gem312.png	text_gemDescId_max	1301|1302|603
401	text_gemNameId_401	1	1	4	4	1|2|3|4|5|6	810	11	302	gem401.png	text_gemDescId_normal	1301|1302|603
402	text_gemNameId_402	2	2	4	4	1|2|3|4|5|6	2310	12	303	gem402.png	text_gemDescId_normal	1301|1302|603
403	text_gemNameId_403	3	3	4	4	1|2|3|4|5|6	4840	13	304	gem403.png	text_gemDescId_normal	1301|1302|603
404	text_gemNameId_404	4	4	4	4	1|2|3|4|5|6	8820	14	305	gem404.png	text_gemDescId_normal	1301|1302|603
405	text_gemNameId_405	5	5	4	4	1|2|3|4|5|6	15400	15	306	gem405.png	text_gemDescId_normal	1301|1302|603
406	text_gemNameId_406	5	6	4	4	1|2|3|4|5|6	26800	15	307	gem406.png	text_gemDescId_normal	1301|1302|603
407	text_gemNameId_407	6	7	4	4	1|2|3|4|5|6	47200	16	308	gem407.png	text_gemDescId_normal	1301|1302|603
408	text_gemNameId_408	6	8	4	4	1|2|3|4|5|6	83100	16	309	gem408.png	text_gemDescId_normal	1301|1302|603
409	text_gemNameId_409	6	9	4	4	1|2|3|4|5|6	145000	16	310	gem409.png	text_gemDescId_normal	1301|1302|603
410	text_gemNameId_410	7	10	4	4	1|2|3|4|5|6	247000	17	311	gem410.png	text_gemDescId_normal	1301|1302|603
411	text_gemNameId_411	7	11	4	4	1|2|3|4|5|6	410000	17	312	gem411.png	text_gemDescId_normal	1301|1302|603
412	text_gemNameId_412	7	12	4	4	1|2|3|4|5|6	662000	17	0	gem412.png	text_gemDescId_max	1301|1302|603
