索引ID	获得道具	抬头	颜色方案	抬头ICON	区域名称	区域ICON	展示类型	展示参数	缩放系数	Y修正	获得条件参数	主角外形改变	主角头像改变
43	user.bindcash:1	text_customType_5	7	5	text_customAreaName_11	map_5.png	hero	zulong	1	12	4|150	5	nan5.png
44	material.101705:1	text_customType_5	7	5	text_customAreaName_11	map_5.png	icon	zulong	0.8	0	5|15	5	nan5.png
45	user.htoken:10	text_customType_5	7	5	text_customAreaName_11	map_5.png	icon	zulong	0.8	0	5|30	5	nan5.png
46	material.101705:1	text_customType_5	7	5	text_customAreaName_11	map_5.png	icon	zulong	0.8	0	5|45	5	nan5.png
47	rune.1005:1	text_customType_5	7	5	text_customAreaName_11	map_5.png	icon	zulong	0.8	0	5|60	5	nan5.png
48	fragment.5021:60	text_customType_5	7	5	text_customAreaName_11	map_5.png	model	zhengyizhizi	1	12	5|75	5	nan5.png
49	material.101705:1	text_customType_5	7	5	text_customAreaName_11	map_5.png	icon	zulong	0.8	0	5|90	5	nan5.png
50	material.950:60	text_customType_5	7	5	text_customAreaName_11	map_5.png	icon	zulong	0.8	0	5|105	5	nan5.png
51	material.101705:1	text_customType_5	7	5	text_customAreaName_11	map_5.png	icon	zulong	0.8	0	5|120	5	nan5.png
52	rune.1006:1	text_customType_5	7	5	text_customAreaName_11	map_5.png	icon	zulong	0.8	0	5|135	5	nan5.png
53	material.399998:1	text_customType_5	7	5	text_customAreaName_11	map_5.png	hero	zulong	1	12	5|150	6	nan6.png
