等级	技能战力系数	攻击	护甲	技防	生命	无视护甲%	无视技防%	暴击伤害%	暴击减伤%	移动速度	攻击速度	伤害加成%	伤害减免%	技能暴击率%	负面抗性%	治疗加成%	掉落道具加成	掉落金币加成	初始怒气	怒气回复%	命中几率%	闪避几率%	暴击几率%	抗暴几率%	移动速度%	攻击速度%	PvP伤害加成%	PvP伤害减免%	技能伤害加成%	技能伤害减免%
27	51	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
28	51	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
29	54	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
30	54	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
31	57	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
32	60	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
33	63	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
34	66	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
35	75	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
36	78	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
37	81	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
38	84	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
39	87	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
40	90	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
41	93	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
42	99	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
43	108	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
44	111	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
45	117	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
46	120	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
47	123	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
48	126	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
49	129	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
50	135	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
51	189	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
52	195	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
53	201	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
54	207	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
55	216	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
56	222	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
57	228	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
58	234	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
59	243	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
60	258	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
61	279	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
62	297	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
63	312	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
64	330	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
65	345	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
66	360	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
67	375	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
68	393	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
69	408	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
70	423	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
71	621	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
72	648	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
73	669	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
74	687	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
75	708	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
76	729	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
77	747	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
78	768	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
79	993	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
80	1041	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
81	1065	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
82	1101	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
83	1122	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
84	1143	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
85	1167	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
86	1188	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
87	1212	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
88	1350	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
89	1371	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
90	1395	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
91	1464	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
92	1488	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
93	1512	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
94	1533	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
95	1575	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
96	1596	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
97	1617	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
98	1641	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
99	1662	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
100	1737	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
101	2337	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
102	2379	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
103	2424	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
104	2469	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
105	2538	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
106	2583	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
107	2670	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
108	2715	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
109	2760	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
110	2805	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
111	2850	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
112	2895	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
113	2943	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
114	3060	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
115	3108	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
116	3153	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
117	3201	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
118	3246	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
119	3294	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
120	3348	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
121	3468	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
122	3561	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
123	3624	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
124	3684	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
125	3747	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
126	3855	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
127	3918	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
128	3981	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
129	4083	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
130	4146	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
131	4212	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
132	4323	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
133	4389	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
134	4455	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
135	4560	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
136	4629	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
137	4740	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
138	4809	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
139	4878	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
140	4953	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
141	5064	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
142	5175	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
143	5241	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
144	5349	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
145	5418	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
146	5484	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
147	5601	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
148	5667	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
149	5736	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
150	5805	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
151	5871	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
152	5940	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
153	6447	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
154	6516	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
155	6585	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
156	6654	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
157	6723	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
158	6792	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
159	6864	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
160	6942	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
161	7053	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
162	7164	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
163	7281	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
