索引ID	元素名称	缩放系数	资源类型	是否漂浮	路径	资源名	锚点偏移_x	锚点偏移_y	图片	按钮文字	归属提示	访问后文字提示	访问事件	界面展示类型	访问后是否消失	访问奖励	随机元素数量	功能描述	描述1	描述2	描述3
12	text_materialsNameId_101201	0.6	2	0	material	fengjiangbx	0.5	0.2	daily_task12.png	text_nil	text_nil	text_nil	3	0	1	material.101201:1	0	text_nil	text_dfelementDesc1_12	text_nil	text_nil
13	text_dfelementName_13	0.55	2	0	user	hero_exp	0.5	0.2	daily_task13.png	text_nil	text_nil	text_nil	3	0	1	level.dfHeroExp:1	0	text_nil	text_dfelementDesc1_13	text_nil	text_nil
14	text_materialsNameId_310004	0.5	2	0	material	longjinyinji	0.5	0.2	daily_task14.png	text_nil	text_nil	text_nil	3	0	1	material.310004:1	0	text_nil	text_dfelementDesc1_14	text_nil	text_nil
15	text_dfelementName_15	0.7	2	0	map_element	element_gold	0.5	0.1	daily_task14.png	text_nil	text_nil	text_nil	3	0	1	level.dfGold:1	0	text_nil	text_dfelementDesc1_15	text_nil	text_nil
17	text_materialsNameId_100001	0.6	2	0	material	gem_bag_1	0.5	0.2	daily_task14.png	text_nil	text_nil	text_nil	3	0	1	material.100001:1	0	text_nil	text_dfelementDesc1_17	text_nil	text_nil
18	text_materialsNameId_100002	0.6	2	0	material	gem_bag_3	0.5	0.2	daily_task14.png	text_nil	text_nil	text_nil	3	0	1	material.100002:1	0	text_nil	text_dfelementDesc1_18	text_nil	text_nil
19	text_userName_htoken	0.6	2	1	user	recruit2	0.5	0.2	daily_task14.png	text_nil	text_nil	text_nil	3	0	1	user.htoken:10	0	text_nil	text_userDesc_htoken	text_nil	text_nil
20	text_userName_htoken	0.6	2	1	user	recruit2	0.5	0.2	daily_task14.png	text_nil	text_nil	text_nil	3	0	1	user.htoken:1	0	text_nil	text_userDesc_htoken	text_nil	text_nil
101	text_heroEquipConfName_10401	0.4	2	1	equip	xiniu_1	0.5	0	daily_task14.png	text_nil	text_nil	text_nil	3	0	1	equip.10301.0:1	0	text_nil	text_heroEquipConfDesc_10401	text_nil	text_nil
102	text_heroEquipConfName_20401	0.4	2	1	equip	xiniu_2	0.5	0	daily_task15.png	text_nil	text_nil	text_nil	3	0	1	equip.20301.0:1	0	text_nil	text_heroEquipConfDesc_20401	text_nil	text_nil
103	text_heroEquipConfName_30401	0.4	2	1	equip	xiniu_3	0.5	0	daily_task16.png	text_nil	text_nil	text_nil	3	0	1	equip.30301.0:1	0	text_nil	text_heroEquipConfDesc_30401	text_nil	text_nil
104	text_heroEquipConfName_40401	0.4	2	1	equip	xiniu_4	0.5	0	daily_task17.png	text_nil	text_nil	text_nil	3	0	1	equip.40301.0:1	0	text_nil	text_heroEquipConfDesc_40401	text_nil	text_nil
105	text_heroEquipConfName_50401	0.4	2	1	equip	xiniu_5	0.5	0	daily_task18.png	text_nil	text_nil	text_nil	3	0	1	equip.50301.0:1	0	text_nil	text_heroEquipConfDesc_50401	text_nil	text_nil
106	text_heroEquipConfName_60401	0.4	2	1	equip	xiniu_6	0.5	0	daily_task19.png	text_nil	text_nil	text_nil	3	0	1	equip.60301.0:1	0	text_nil	text_heroEquipConfDesc_60401	text_nil	text_nil
107	text_heroEquipConfName_10502	0.4	2	1	equip	zhanhun_1	0.5	0	daily_task19.png	text_nil	text_nil	text_nil	3	0	1	equip.10401.0:1	0	text_nil	text_heroEquipConfDesc_10502	text_nil	text_nil
108	text_heroEquipConfName_20502	0.4	2	1	equip	zhanhun_2	0.5	0	daily_task19.png	text_nil	text_nil	text_nil	3	0	1	equip.20401.0:1	0	text_nil	text_heroEquipConfDesc_20502	text_nil	text_nil
109	text_heroEquipConfName_30502	0.4	2	1	equip	zhanhun_3	0.5	0	daily_task19.png	text_nil	text_nil	text_nil	3	0	1	equip.30401.0:1	0	text_nil	text_heroEquipConfDesc_30502	text_nil	text_nil
110	text_heroEquipConfName_40502	0.4	2	1	equip	zhanhun_4	0.5	0	daily_task19.png	text_nil	text_nil	text_nil	3	0	1	equip.40401.0:1	0	text_nil	text_heroEquipConfDesc_40502	text_nil	text_nil
111	text_heroEquipConfName_50502	0.4	2	1	equip	zhanhun_5	0.5	0	daily_task19.png	text_nil	text_nil	text_nil	3	0	1	equip.50401.0:1	0	text_nil	text_heroEquipConfDesc_50502	text_nil	text_nil
112	text_heroEquipConfName_60502	0.4	2	1	equip	zhanhun_6	0.5	0	daily_task19.png	text_nil	text_nil	text_nil	3	0	1	equip.60401.0:1	0	text_nil	text_heroEquipConfDesc_60502	text_nil	text_nil
113	text_heroEquipConfName_60503	0.4	2	1	equip	kuangbao_6	0.5	0	daily_task19.png	text_nil	text_nil	text_nil	3	0	1	equip.60501.0:1	0	text_nil	text_heroEquipConfDesc_60503	text_nil	text_nil
