任务类型	等级	1星奖励	2星奖励	3星奖励	4星奖励	5星奖励
1	181	material.1:33,user.bindcash:20	material.1:39,user.bindcash:20	material.1:46,user.bindcash:20	material.1:59,user.bindcash:20	material.1:65,user.bindcash:20
1	191	material.1:34,user.bindcash:20	material.1:41,user.bindcash:20	material.1:48,user.bindcash:20	material.1:61,user.bindcash:20	material.1:68,user.bindcash:20
1	201	material.1:36,user.bindcash:20	material.1:43,user.bindcash:20	material.1:50,user.bindcash:20	material.1:64,user.bindcash:20	material.1:72,user.bindcash:20
1	211	material.1:38,user.bindcash:20	material.1:45,user.bindcash:20	material.1:53,user.bindcash:20	material.1:68,user.bindcash:20	material.1:75,user.bindcash:20
1	221	material.1:39,user.bindcash:20	material.1:47,user.bindcash:20	material.1:55,user.bindcash:20	material.1:71,user.bindcash:20	material.1:79,user.bindcash:20
1	231	material.1:41,user.bindcash:20	material.1:50,user.bindcash:20	material.1:58,user.bindcash:20	material.1:75,user.bindcash:20	material.1:83,user.bindcash:20
1	241	material.1:43,user.bindcash:20	material.1:52,user.bindcash:20	material.1:60,user.bindcash:20	material.1:78,user.bindcash:20	material.1:86,user.bindcash:20
1	251	material.1:43,user.bindcash:20	material.1:52,user.bindcash:20	material.1:60,user.bindcash:20	material.1:78,user.bindcash:20	material.1:86,user.bindcash:20
1	261	material.1:43,user.bindcash:20	material.1:52,user.bindcash:20	material.1:60,user.bindcash:20	material.1:78,user.bindcash:20	material.1:86,user.bindcash:20
1	271	material.1:43,user.bindcash:20	material.1:52,user.bindcash:20	material.1:60,user.bindcash:20	material.1:78,user.bindcash:20	material.1:86,user.bindcash:20
1	281	material.1:43,user.bindcash:20	material.1:52,user.bindcash:20	material.1:60,user.bindcash:20	material.1:78,user.bindcash:20	material.1:86,user.bindcash:20
1	291	material.1:43,user.bindcash:20	material.1:52,user.bindcash:20	material.1:60,user.bindcash:20	material.1:78,user.bindcash:20	material.1:86,user.bindcash:20
1	301	material.1:43,user.bindcash:20	material.1:52,user.bindcash:20	material.1:60,user.bindcash:20	material.1:78,user.bindcash:20	material.1:86,user.bindcash:20
1	311	material.1:43,user.bindcash:20	material.1:52,user.bindcash:20	material.1:60,user.bindcash:20	material.1:78,user.bindcash:20	material.1:86,user.bindcash:20
1	321	material.1:43,user.bindcash:20	material.1:52,user.bindcash:20	material.1:60,user.bindcash:20	material.1:78,user.bindcash:20	material.1:86,user.bindcash:20
1	331	material.1:43,user.bindcash:20	material.1:52,user.bindcash:20	material.1:60,user.bindcash:20	material.1:78,user.bindcash:20	material.1:86,user.bindcash:20
1	341	material.1:43,user.bindcash:20	material.1:52,user.bindcash:20	material.1:60,user.bindcash:20	material.1:78,user.bindcash:20	material.1:86,user.bindcash:20
1	351	material.1:43,user.bindcash:20	material.1:52,user.bindcash:20	material.1:60,user.bindcash:20	material.1:78,user.bindcash:20	material.1:86,user.bindcash:20
2	1	user.hero_exp:5800,user.bindcash:20	user.hero_exp:7000,user.bindcash:20	user.hero_exp:8200,user.bindcash:20	user.hero_exp:10500,user.bindcash:20	user.hero_exp:11700,user.bindcash:20
2	11	user.hero_exp:11200,user.bindcash:20	user.hero_exp:13500,user.bindcash:20	user.hero_exp:15700,user.bindcash:20	user.hero_exp:20200,user.bindcash:20	user.hero_exp:22500,user.bindcash:20
2	21	user.hero_exp:16800,user.bindcash:20	user.hero_exp:20200,user.bindcash:20	user.hero_exp:23600,user.bindcash:20	user.hero_exp:30300,user.bindcash:20	user.hero_exp:33700,user.bindcash:20
2	31	user.hero_exp:21600,user.bindcash:20	user.hero_exp:25900,user.bindcash:20	user.hero_exp:30200,user.bindcash:20	user.hero_exp:38900,user.bindcash:20	user.hero_exp:43200,user.bindcash:20
2	41	user.hero_exp:39500,user.bindcash:20	user.hero_exp:47400,user.bindcash:20	user.hero_exp:55300,user.bindcash:20	user.hero_exp:71200,user.bindcash:20	user.hero_exp:79100,user.bindcash:20
2	51	user.hero_exp:65900,user.bindcash:20	user.hero_exp:79100,user.bindcash:20	user.hero_exp:92200,user.bindcash:20	user.hero_exp:119000,user.bindcash:20	user.hero_exp:132000,user.bindcash:20
2	61	user.hero_exp:100000,user.bindcash:20	user.hero_exp:121000,user.bindcash:20	user.hero_exp:141000,user.bindcash:20	user.hero_exp:181000,user.bindcash:20	user.hero_exp:201000,user.bindcash:20
2	71	user.hero_exp:161000,user.bindcash:20	user.hero_exp:193000,user.bindcash:20	user.hero_exp:226000,user.bindcash:20	user.hero_exp:290000,user.bindcash:20	user.hero_exp:322000,user.bindcash:20
2	81	user.hero_exp:225000,user.bindcash:20	user.hero_exp:270000,user.bindcash:20	user.hero_exp:315000,user.bindcash:20	user.hero_exp:406000,user.bindcash:20	user.hero_exp:451000,user.bindcash:20
2	91	user.hero_exp:264000,user.bindcash:20	user.hero_exp:316000,user.bindcash:20	user.hero_exp:369000,user.bindcash:20	user.hero_exp:475000,user.bindcash:20	user.hero_exp:527000,user.bindcash:20
2	101	user.hero_exp:306000,user.bindcash:20	user.hero_exp:367000,user.bindcash:20	user.hero_exp:429000,user.bindcash:20	user.hero_exp:551000,user.bindcash:20	user.hero_exp:612000,user.bindcash:20
2	111	user.hero_exp:350000,user.bindcash:20	user.hero_exp:420000,user.bindcash:20	user.hero_exp:490000,user.bindcash:20	user.hero_exp:630000,user.bindcash:20	user.hero_exp:700000,user.bindcash:20
2	121	user.hero_exp:390000,user.bindcash:20	user.hero_exp:468000,user.bindcash:20	user.hero_exp:546000,user.bindcash:20	user.hero_exp:702000,user.bindcash:20	user.hero_exp:780000,user.bindcash:20
2	131	user.hero_exp:399000,user.bindcash:20	user.hero_exp:479000,user.bindcash:20	user.hero_exp:559000,user.bindcash:20	user.hero_exp:718000,user.bindcash:20	user.hero_exp:798000,user.bindcash:20
2	141	user.hero_exp:409000,user.bindcash:20	user.hero_exp:491000,user.bindcash:20	user.hero_exp:573000,user.bindcash:20	user.hero_exp:737000,user.bindcash:20	user.hero_exp:819000,user.bindcash:20
2	151	user.hero_exp:421000,user.bindcash:20	user.hero_exp:505000,user.bindcash:20	user.hero_exp:589000,user.bindcash:20	user.hero_exp:758000,user.bindcash:20	user.hero_exp:842000,user.bindcash:20
2	161	user.hero_exp:434000,user.bindcash:20	user.hero_exp:521000,user.bindcash:20	user.hero_exp:608000,user.bindcash:20	user.hero_exp:781000,user.bindcash:20	user.hero_exp:868000,user.bindcash:20
2	171	user.hero_exp:448000,user.bindcash:20	user.hero_exp:538000,user.bindcash:20	user.hero_exp:628000,user.bindcash:20	user.hero_exp:807000,user.bindcash:20	user.hero_exp:897000,user.bindcash:20
2	181	user.hero_exp:464000,user.bindcash:20	user.hero_exp:557000,user.bindcash:20	user.hero_exp:650000,user.bindcash:20	user.hero_exp:836000,user.bindcash:20	user.hero_exp:928000,user.bindcash:20
2	191	user.hero_exp:481000,user.bindcash:20	user.hero_exp:577000,user.bindcash:20	user.hero_exp:674000,user.bindcash:20	user.hero_exp:866000,user.bindcash:20	user.hero_exp:962000,user.bindcash:20
2	201	user.hero_exp:500000,user.bindcash:20	user.hero_exp:600000,user.bindcash:20	user.hero_exp:700000,user.bindcash:20	user.hero_exp:900000,user.bindcash:20	user.hero_exp:1000000,user.bindcash:20
2	211	user.hero_exp:519000,user.bindcash:20	user.hero_exp:623000,user.bindcash:20	user.hero_exp:727000,user.bindcash:20	user.hero_exp:935000,user.bindcash:20	user.hero_exp:1040000,user.bindcash:20
2	221	user.hero_exp:541000,user.bindcash:20	user.hero_exp:649000,user.bindcash:20	user.hero_exp:757000,user.bindcash:20	user.hero_exp:973000,user.bindcash:20	user.hero_exp:1080000,user.bindcash:20
2	231	user.hero_exp:563000,user.bindcash:20	user.hero_exp:676000,user.bindcash:20	user.hero_exp:788000,user.bindcash:20	user.hero_exp:1010000,user.bindcash:20	user.hero_exp:1130000,user.bindcash:20
2	241	user.hero_exp:583000,user.bindcash:20	user.hero_exp:700000,user.bindcash:20	user.hero_exp:816000,user.bindcash:20	user.hero_exp:1050000,user.bindcash:20	user.hero_exp:1170000,user.bindcash:20
2	251	user.hero_exp:583000,user.bindcash:20	user.hero_exp:700000,user.bindcash:20	user.hero_exp:816000,user.bindcash:20	user.hero_exp:1050000,user.bindcash:20	user.hero_exp:1170000,user.bindcash:20
2	261	user.hero_exp:583000,user.bindcash:20	user.hero_exp:700000,user.bindcash:20	user.hero_exp:816000,user.bindcash:20	user.hero_exp:1050000,user.bindcash:20	user.hero_exp:1170000,user.bindcash:20
2	271	user.hero_exp:583000,user.bindcash:20	user.hero_exp:700000,user.bindcash:20	user.hero_exp:816000,user.bindcash:20	user.hero_exp:1050000,user.bindcash:20	user.hero_exp:1170000,user.bindcash:20
2	281	user.hero_exp:583000,user.bindcash:20	user.hero_exp:700000,user.bindcash:20	user.hero_exp:816000,user.bindcash:20	user.hero_exp:1050000,user.bindcash:20	user.hero_exp:1170000,user.bindcash:20
2	291	user.hero_exp:583000,user.bindcash:20	user.hero_exp:700000,user.bindcash:20	user.hero_exp:816000,user.bindcash:20	user.hero_exp:1050000,user.bindcash:20	user.hero_exp:1170000,user.bindcash:20
2	301	user.hero_exp:583000,user.bindcash:20	user.hero_exp:700000,user.bindcash:20	user.hero_exp:816000,user.bindcash:20	user.hero_exp:1050000,user.bindcash:20	user.hero_exp:1170000,user.bindcash:20
2	311	user.hero_exp:583000,user.bindcash:20	user.hero_exp:700000,user.bindcash:20	user.hero_exp:816000,user.bindcash:20	user.hero_exp:1050000,user.bindcash:20	user.hero_exp:1170000,user.bindcash:20
2	321	user.hero_exp:583000,user.bindcash:20	user.hero_exp:700000,user.bindcash:20	user.hero_exp:816000,user.bindcash:20	user.hero_exp:1050000,user.bindcash:20	user.hero_exp:1170000,user.bindcash:20
2	331	user.hero_exp:583000,user.bindcash:20	user.hero_exp:700000,user.bindcash:20	user.hero_exp:816000,user.bindcash:20	user.hero_exp:1050000,user.bindcash:20	user.hero_exp:1170000,user.bindcash:20
2	341	user.hero_exp:583000,user.bindcash:20	user.hero_exp:700000,user.bindcash:20	user.hero_exp:816000,user.bindcash:20	user.hero_exp:1050000,user.bindcash:20	user.hero_exp:1170000,user.bindcash:20
2	351	user.hero_exp:583000,user.bindcash:20	user.hero_exp:700000,user.bindcash:20	user.hero_exp:816000,user.bindcash:20	user.hero_exp:1050000,user.bindcash:20	user.hero_exp:1170000,user.bindcash:20
3	1	user.gold:52100,user.bindcash:20	user.gold:62500,user.bindcash:20	user.gold:72900,user.bindcash:20	user.gold:93700,user.bindcash:20	user.gold:104000,user.bindcash:20
3	11	user.gold:54200,user.bindcash:20	user.gold:65100,user.bindcash:20	user.gold:75900,user.bindcash:20	user.gold:97600,user.bindcash:20	user.gold:108000,user.bindcash:20
3	21	user.gold:56600,user.bindcash:20	user.gold:67900,user.bindcash:20	user.gold:79200,user.bindcash:20	user.gold:102000,user.bindcash:20	user.gold:113000,user.bindcash:20
3	31	user.gold:58500,user.bindcash:20	user.gold:70200,user.bindcash:20	user.gold:82000,user.bindcash:20	user.gold:105000,user.bindcash:20	user.gold:117000,user.bindcash:20
3	41	user.gold:65700,user.bindcash:20	user.gold:78800,user.bindcash:20	user.gold:91900,user.bindcash:20	user.gold:118000,user.bindcash:20	user.gold:131000,user.bindcash:20
3	51	user.gold:76500,user.bindcash:20	user.gold:91800,user.bindcash:20	user.gold:107000,user.bindcash:20	user.gold:138000,user.bindcash:20	user.gold:153000,user.bindcash:20
3	61	user.gold:90500,user.bindcash:20	user.gold:109000,user.bindcash:20	user.gold:127000,user.bindcash:20	user.gold:163000,user.bindcash:20	user.gold:181000,user.bindcash:20
3	71	user.gold:115000,user.bindcash:20	user.gold:138000,user.bindcash:20	user.gold:161000,user.bindcash:20	user.gold:207000,user.bindcash:20	user.gold:230000,user.bindcash:20
3	81	user.gold:141000,user.bindcash:20	user.gold:169000,user.bindcash:20	user.gold:197000,user.bindcash:20	user.gold:254000,user.bindcash:20	user.gold:282000,user.bindcash:20
3	91	user.gold:157000,user.bindcash:20	user.gold:188000,user.bindcash:20	user.gold:219000,user.bindcash:20	user.gold:282000,user.bindcash:20	user.gold:313000,user.bindcash:20
3	101	user.gold:174000,user.bindcash:20	user.gold:209000,user.bindcash:20	user.gold:243000,user.bindcash:20	user.gold:313000,user.bindcash:20	user.gold:348000,user.bindcash:20
3	111	user.gold:192000,user.bindcash:20	user.gold:230000,user.bindcash:20	user.gold:268000,user.bindcash:20	user.gold:345000,user.bindcash:20	user.gold:383000,user.bindcash:20
3	121	user.gold:208000,user.bindcash:20	user.gold:250000,user.bindcash:20	user.gold:291000,user.bindcash:20	user.gold:374000,user.bindcash:20	user.gold:416000,user.bindcash:20
3	131	user.gold:213000,user.bindcash:20	user.gold:255000,user.bindcash:20	user.gold:298000,user.bindcash:20	user.gold:383000,user.bindcash:20	user.gold:426000,user.bindcash:20
3	141	user.gold:218000,user.bindcash:20	user.gold:262000,user.bindcash:20	user.gold:305000,user.bindcash:20	user.gold:393000,user.bindcash:20	user.gold:436000,user.bindcash:20
3	151	user.gold:224000,user.bindcash:20	user.gold:269000,user.bindcash:20	user.gold:314000,user.bindcash:20	user.gold:404000,user.bindcash:20	user.gold:449000,user.bindcash:20
3	161	user.gold:232000,user.bindcash:20	user.gold:278000,user.bindcash:20	user.gold:324000,user.bindcash:20	user.gold:417000,user.bindcash:20	user.gold:463000,user.bindcash:20
3	171	user.gold:239000,user.bindcash:20	user.gold:287000,user.bindcash:20	user.gold:335000,user.bindcash:20	user.gold:430000,user.bindcash:20	user.gold:478000,user.bindcash:20
3	181	user.gold:248000,user.bindcash:20	user.gold:297000,user.bindcash:20	user.gold:347000,user.bindcash:20	user.gold:446000,user.bindcash:20	user.gold:495000,user.bindcash:20
3	191	user.gold:257000,user.bindcash:20	user.gold:308000,user.bindcash:20	user.gold:359000,user.bindcash:20	user.gold:462000,user.bindcash:20	user.gold:513000,user.bindcash:20
3	201	user.gold:267000,user.bindcash:20	user.gold:320000,user.bindcash:20	user.gold:373000,user.bindcash:20	user.gold:480000,user.bindcash:20	user.gold:533000,user.bindcash:20
3	211	user.gold:277000,user.bindcash:20	user.gold:333000,user.bindcash:20	user.gold:388000,user.bindcash:20	user.gold:499000,user.bindcash:20	user.gold:554000,user.bindcash:20
3	221	user.gold:288000,user.bindcash:20	user.gold:346000,user.bindcash:20	user.gold:404000,user.bindcash:20	user.gold:519000,user.bindcash:20	user.gold:577000,user.bindcash:20
3	231	user.gold:300000,user.bindcash:20	user.gold:360000,user.bindcash:20	user.gold:420000,user.bindcash:20	user.gold:540000,user.bindcash:20	user.gold:600000,user.bindcash:20
3	241	user.gold:311000,user.bindcash:20	user.gold:373000,user.bindcash:20	user.gold:435000,user.bindcash:20	user.gold:560000,user.bindcash:20	user.gold:622000,user.bindcash:20
3	251	user.gold:311000,user.bindcash:20	user.gold:373000,user.bindcash:20	user.gold:435000,user.bindcash:20	user.gold:560000,user.bindcash:20	user.gold:622000,user.bindcash:20
3	261	user.gold:311000,user.bindcash:20	user.gold:373000,user.bindcash:20	user.gold:435000,user.bindcash:20	user.gold:560000,user.bindcash:20	user.gold:622000,user.bindcash:20
3	271	user.gold:311000,user.bindcash:20	user.gold:373000,user.bindcash:20	user.gold:435000,user.bindcash:20	user.gold:560000,user.bindcash:20	user.gold:622000,user.bindcash:20
3	281	user.gold:311000,user.bindcash:20	user.gold:373000,user.bindcash:20	user.gold:435000,user.bindcash:20	user.gold:560000,user.bindcash:20	user.gold:622000,user.bindcash:20
3	291	user.gold:311000,user.bindcash:20	user.gold:373000,user.bindcash:20	user.gold:435000,user.bindcash:20	user.gold:560000,user.bindcash:20	user.gold:622000,user.bindcash:20
3	301	user.gold:311000,user.bindcash:20	user.gold:373000,user.bindcash:20	user.gold:435000,user.bindcash:20	user.gold:560000,user.bindcash:20	user.gold:622000,user.bindcash:20
3	311	user.gold:311000,user.bindcash:20	user.gold:373000,user.bindcash:20	user.gold:435000,user.bindcash:20	user.gold:560000,user.bindcash:20	user.gold:622000,user.bindcash:20
3	321	user.gold:311000,user.bindcash:20	user.gold:373000,user.bindcash:20	user.gold:435000,user.bindcash:20	user.gold:560000,user.bindcash:20	user.gold:622000,user.bindcash:20
3	331	user.gold:311000,user.bindcash:20	user.gold:373000,user.bindcash:20	user.gold:435000,user.bindcash:20	user.gold:560000,user.bindcash:20	user.gold:622000,user.bindcash:20
3	341	user.gold:311000,user.bindcash:20	user.gold:373000,user.bindcash:20	user.gold:435000,user.bindcash:20	user.gold:560000,user.bindcash:20	user.gold:622000,user.bindcash:20
3	351	user.gold:311000,user.bindcash:20	user.gold:373000,user.bindcash:20	user.gold:435000,user.bindcash:20	user.gold:560000,user.bindcash:20	user.gold:622000,user.bindcash:20
4	1	material.100002:1,user.bindcash:20	material.100002:2,user.bindcash:20	material.100002:3,user.bindcash:20	material.100002:4,user.bindcash:20	material.100002:5,user.bindcash:20
5	1	material.950:1,group.3001.0:5	material.950:2,group.3001.0:5	material.930:1,group.3001.0:5	material.4:1,group.3001.0:5	material.950:5,group.3001.0:5
