装备品质	精炼等阶	升至本阶所需精炼经验	头盔加成类型(1-属性，2-效果)	参数	武器加成类型	参数1	护腰加成类型	参数2	铠甲加成类型	参数3	靴子加成类型	参数4	挂饰加成类型	参数5
7	52	1230	0	0	0	0	0	0	0	0	0	0	0	0
7	53	1320	0	0	0	0	0	0	0	0	0	0	0	0
7	54	1430	0	0	0	0	0	0	0	0	0	0	0	0
7	55	1540	0	0	0	0	0	0	0	0	0	0	0	0
7	56	1610	0	0	0	0	0	0	0	0	0	0	0	0
7	57	1660	0	0	0	0	0	0	0	0	0	0	0	0
7	58	1710	0	0	0	0	0	0	0	0	0	0	0	0
7	59	1770	0	0	0	0	0	0	0	0	0	0	0	0
7	60	1830	0	0	0	0	0	0	0	0	0	0	0	0
7	61	1890	0	0	0	0	0	0	0	0	0	0	0	0
7	62	1950	0	0	0	0	0	0	0	0	0	0	0	0
7	63	2020	0	0	0	0	0	0	0	0	0	0	0	0
7	64	2100	0	0	0	0	0	0	0	0	0	0	0	0
7	65	2180	0	0	0	0	0	0	0	0	0	0	0	0
7	66	2260	0	0	0	0	0	0	0	0	0	0	0	0
7	67	2350	0	0	0	0	0	0	0	0	0	0	0	0
7	68	2450	0	0	0	0	0	0	0	0	0	0	0	0
7	69	2560	0	0	0	0	0	0	0	0	0	0	0	0
7	70	2680	0	0	0	0	0	0	0	0	0	0	0	0
7	71	2800	0	0	0	0	0	0	0	0	0	0	0	0
7	72	2930	0	0	0	0	0	0	0	0	0	0	0	0
7	73	3080	0	0	0	0	0	0	0	0	0	0	0	0
7	74	3260	0	0	0	0	0	0	0	0	0	0	0	0
7	75	3440	0	0	0	0	0	0	0	0	0	0	0	0
7	76	3630	0	0	0	0	0	0	0	0	0	0	0	0
7	77	3850	0	0	0	0	0	0	0	0	0	0	0	0
7	78	4100	0	0	0	0	0	0	0	0	0	0	0	0
7	79	4400	0	0	0	0	0	0	0	0	0	0	0	0
7	80	4720	0	0	0	0	0	0	0	0	0	0	0	0
