索引ID	掉落	基础掉率（亿分比）	掉落开启限制	掉落开启参数	掉落关闭限制	掉落关闭参数
51	material.1:1	22523556	custom	1|51	custom	1|52
52	material.1:1	22578173	custom	1|52	custom	1|53
53	material.1:1	22632988	custom	1|53	custom	1|54
54	material.1:1	22688000	custom	1|54	custom	1|55
55	material.1:1	22743210	custom	1|55	custom	1|56
56	material.1:1	22798617	custom	1|56	custom	1|57
57	material.1:1	22854222	custom	1|57	custom	1|58
58	material.1:1	22910025	custom	1|58	custom	1|59
59	material.1:1	22966025	custom	1|59	custom	1|60
60	material.1:1	23022222	custom	1|60	custom	1|61
61	material.1:1	23078617	custom	1|61	custom	1|62
62	material.1:1	23135210	custom	1|62	custom	1|63
63	material.1:1	23192000	custom	1|63	custom	1|64
64	material.1:1	23248988	custom	1|64	custom	1|65
65	material.1:1	23306173	custom	1|65	custom	1|66
66	material.1:1	23363556	custom	1|66	custom	1|67
67	material.1:1	23421136	custom	1|67	custom	1|68
68	material.1:1	23478914	custom	1|68	custom	1|69
69	material.1:1	23536889	custom	1|69	custom	1|70
70	material.1:1	23595062	custom	1|70	custom	1|71
71	material.1:1	23653432	custom	1|71	custom	1|72
72	material.1:1	23712000	custom	1|72	custom	1|73
73	material.1:1	23770765	custom	1|73	custom	1|74
74	material.1:1	23829728	custom	1|74	custom	1|75
75	material.1:1	23888889	custom	1|75	custom	1|76
76	material.1:1	23948247	custom	1|76	custom	1|77
77	material.1:1	24007802	custom	1|77	custom	1|78
78	material.1:1	24067556	custom	1|78	custom	1|79
79	material.1:1	24127506	custom	1|79	custom	1|80
80	material.1:1	24187654	custom	1|80	custom	1|81
81	material.1:1	24248000	custom	1|81	custom	1|82
82	material.1:1	24308543	custom	1|82	custom	1|83
83	material.1:1	24369284	custom	1|83	custom	1|84
84	material.1:1	24430222	custom	1|84	custom	1|85
85	material.1:1	24491358	custom	1|85	custom	1|86
86	material.1:1	24552691	custom	1|86	custom	1|87
87	material.1:1	24614222	custom	1|87	custom	1|88
88	material.1:1	24675951	custom	1|88	custom	1|89
89	material.1:1	24737877	custom	1|89	custom	1|90
90	material.1:1	24800000	custom	1|90	custom	1|91
91	material.1:1	24862321	custom	1|91	custom	1|92
92	material.1:1	24924840	custom	1|92	custom	1|93
93	material.1:1	24987556	custom	1|93	custom	1|94
94	material.1:1	25050469	custom	1|94	custom	1|95
95	material.1:1	25113580	custom	1|95	custom	1|96
96	material.1:1	25176889	custom	1|96	custom	1|97
97	material.1:1	25240395	custom	1|97	custom	1|98
98	material.1:1	25304099	custom	1|98	custom	1|99
99	material.1:1	25368000	custom	1|99	custom	1|100
100	material.1:1	25432099	custom	1|100	custom	1|101
101	material.1:1	25496395	custom	1|101	custom	1|102
102	material.1:1	25560889	custom	1|102	custom	1|103
103	material.1:1	25625580	custom	1|103	custom	1|104
104	material.1:1	25690469	custom	1|104	custom	1|105
105	material.1:1	25755556	custom	1|105	custom	1|106
106	material.1:1	25820840	custom	1|106	custom	1|107
107	material.1:1	25886321	custom	1|107	custom	1|108
108	material.1:1	25952000	custom	1|108	custom	1|109
109	material.1:1	26017877	custom	1|109	custom	1|110
110	material.1:1	26083951	custom	1|110	custom	1|111
111	material.1:1	26150222	custom	1|111	custom	1|112
112	material.1:1	26216691	custom	1|112	custom	1|113
113	material.1:1	26283358	custom	1|113	custom	1|114
114	material.1:1	26350222	custom	1|114	custom	1|115
115	material.1:1	26417284	custom	1|115	custom	1|116
116	material.1:1	26484543	custom	1|116	custom	1|117
117	material.1:1	26552000	custom	1|117	custom	1|118
118	material.1:1	26619654	custom	1|118	custom	1|119
119	material.1:1	26687506	custom	1|119	custom	1|120
120	material.1:1	26755556	custom	1|120	custom	1|121
121	material.1:1	26823802	custom	1|121	custom	1|122
122	material.1:1	26892247	custom	1|122	custom	1|123
123	material.1:1	26960889	custom	1|123	custom	1|124
124	material.1:1	27029728	custom	1|124	custom	1|125
125	material.1:1	27098765	custom	1|125	custom	1|126
126	material.1:1	27168000	custom	1|126	custom	1|127
127	material.1:1	27237432	custom	1|127	custom	1|128
128	material.1:1	27307062	custom	1|128	custom	1|129
129	material.1:1	27376889	custom	1|129	custom	1|130
130	material.1:1	27446914	custom	1|130	custom	1|131
131	material.1:1	27517136	custom	1|131	custom	1|132
132	material.1:1	27587556	custom	1|132	custom	1|133
133	material.1:1	27658173	custom	1|133	custom	1|134
134	material.1:1	27728988	custom	1|134	custom	1|135
135	material.1:1	27800000	custom	1|135	custom	1|136
136	material.1:1	27871210	custom	1|136	custom	1|137
137	material.1:1	27942617	custom	1|137	custom	1|138
138	material.1:1	28014222	custom	1|138	custom	1|139
139	material.1:1	28086025	custom	1|139	custom	1|140
140	material.1:1	28158025	custom	1|140	custom	1|141
141	material.1:1	28230222	custom	1|141	custom	1|142
142	material.1:1	28302617	custom	1|142	custom	1|143
143	material.1:1	28375210	custom	1|143	custom	1|144
144	material.1:1	28448000	custom	1|144	custom	1|145
145	material.1:1	28520988	custom	1|145	custom	1|146
146	material.1:1	28594173	custom	1|146	custom	1|147
147	material.1:1	28667556	custom	1|147	custom	1|148
148	material.1:1	28741136	custom	1|148	custom	1|149
149	material.1:1	28814914	custom	1|149	custom	1|150
150	material.1:1	28888889	custom	1|150	custom	1|151
151	material.1:1	28963062	custom	2|1	custom	2|2
152	material.1:1	29037432	custom	2|2	custom	2|3
153	material.1:1	29112000	custom	2|3	custom	2|4
154	material.1:1	29186765	custom	2|4	custom	2|5
155	material.1:1	29261728	custom	2|5	custom	2|6
156	material.1:1	29336889	custom	2|6	custom	2|7
157	material.1:1	29412247	custom	2|7	custom	2|8
158	material.1:1	29487802	custom	2|8	custom	2|9
159	material.1:1	29563556	custom	2|9	custom	2|10
160	material.1:1	29639506	custom	2|10	custom	2|11
161	material.1:1	29715654	custom	2|11	custom	2|12
162	material.1:1	29792000	custom	2|12	custom	2|13
163	material.1:1	29868543	custom	2|13	custom	2|14
164	material.1:1	29945284	custom	2|14	custom	2|15
165	material.1:1	30022222	custom	2|15	custom	2|16
166	material.1:1	30099358	custom	2|16	custom	2|17
167	material.1:1	30176691	custom	2|17	custom	2|18
168	material.1:1	30254222	custom	2|18	custom	2|19
169	material.1:1	30331951	custom	2|19	custom	2|20
170	material.1:1	30409877	custom	2|20	custom	2|21
171	material.1:1	30488000	custom	2|21	custom	2|22
172	material.1:1	30566321	custom	2|22	custom	2|23
173	material.1:1	30644840	custom	2|23	custom	2|24
174	material.1:1	30723556	custom	2|24	custom	2|25
175	material.1:1	30802469	custom	2|25	custom	2|26
176	material.1:1	30881580	custom	2|26	custom	2|27
177	material.1:1	30960889	custom	2|27	custom	2|28
178	material.1:1	31040395	custom	2|28	custom	2|29
179	material.1:1	31120099	custom	2|29	custom	2|30
180	material.1:1	31200000	custom	2|30	custom	2|31
181	material.1:1	31280099	custom	2|31	custom	2|32
182	material.1:1	31360395	custom	2|32	custom	2|33
183	material.1:1	31440889	custom	2|33	custom	2|34
184	material.1:1	31521580	custom	2|34	custom	2|35
185	material.1:1	31602469	custom	2|35	custom	2|36
186	material.1:1	31683556	custom	2|36	custom	2|37
187	material.1:1	31764840	custom	2|37	custom	2|38
188	material.1:1	31846321	custom	2|38	custom	2|39
189	material.1:1	31928000	custom	2|39	custom	2|40
190	material.1:1	32009877	custom	2|40	custom	2|41
191	material.1:1	32091951	custom	2|41	custom	2|42
192	material.1:1	32174222	custom	2|42	custom	2|43
193	material.1:1	32256691	custom	2|43	custom	2|44
194	material.1:1	32339358	custom	2|44	custom	2|45
195	material.1:1	32422222	custom	2|45	custom	2|46
196	material.1:1	32505284	custom	2|46	custom	2|47
197	material.1:1	32588543	custom	2|47	custom	2|48
198	material.1:1	32672000	custom	2|48	custom	2|49
199	material.1:1	32755654	custom	2|49	custom	2|50
200	material.1:1	32839506	custom	2|50	custom	2|51
201	material.1:1	32923556	custom	2|51	custom	2|52
202	material.1:1	33007802	custom	2|52	custom	2|53
203	material.1:1	33092247	custom	2|53	custom	2|54
204	material.1:1	33176889	custom	2|54	custom	2|55
205	material.1:1	33261728	custom	2|55	custom	2|56
206	material.1:1	33346765	custom	2|56	custom	2|57
207	material.1:1	33432000	custom	2|57	custom	2|58
208	material.1:1	33517432	custom	2|58	custom	2|59
209	material.1:1	33603062	custom	2|59	custom	2|60
210	material.1:1	33688889	custom	2|60	custom	2|61
211	material.1:1	33774914	custom	2|61	custom	2|62
212	material.1:1	33861136	custom	2|62	custom	2|63
213	material.1:1	33947556	custom	2|63	custom	2|64
214	material.1:1	34034173	custom	2|64	custom	2|65
215	material.1:1	34120988	custom	2|65	custom	2|66
216	material.1:1	34208000	custom	2|66	custom	2|67
217	material.1:1	34295210	custom	2|67	custom	2|68
218	material.1:1	34382617	custom	2|68	custom	2|69
219	material.1:1	34470222	custom	2|69	custom	2|70
220	material.1:1	34558025	custom	2|70	custom	2|71
221	material.1:1	34646025	custom	2|71	custom	2|72
222	material.1:1	34734222	custom	2|72	custom	2|73
223	material.1:1	34822617	custom	2|73	custom	2|74
224	material.1:1	34911210	custom	2|74	custom	2|75
225	material.1:1	35000000	custom	2|75	custom	2|76
226	material.1:1	35088988	custom	2|76	custom	2|77
227	material.1:1	35178173	custom	2|77	custom	2|78
228	material.1:1	35267556	custom	2|78	custom	2|79
229	material.1:1	35357136	custom	2|79	custom	2|80
230	material.1:1	35446914	custom	2|80	custom	2|81
231	material.1:1	35536889	custom	2|81	custom	2|82
232	material.1:1	35627062	custom	2|82	custom	2|83
233	material.1:1	35717432	custom	2|83	custom	2|84
234	material.1:1	35808000	custom	2|84	custom	2|85
235	material.1:1	35898765	custom	2|85	custom	2|86
236	material.1:1	35989728	custom	2|86	custom	2|87
237	material.1:1	36080889	custom	2|87	custom	2|88
238	material.1:1	36172247	custom	2|88	custom	2|89
239	material.1:1	36263802	custom	2|89	custom	2|90
240	material.1:1	36355556	custom	2|90	custom	2|91
241	material.1:1	36447506	custom	2|91	custom	2|92
242	material.1:1	36539654	custom	2|92	custom	2|93
243	material.1:1	36632000	custom	2|93	custom	2|94
244	material.1:1	36724543	custom	2|94	custom	2|95
245	material.1:1	36817284	custom	2|95	custom	2|96
246	material.1:1	36910222	custom	2|96	custom	2|97
247	material.1:1	37003358	custom	2|97	custom	2|98
248	material.1:1	37096691	custom	2|98	custom	2|99
249	material.1:1	37190222	custom	2|99	custom	2|100
250	material.1:1	37283951	custom	2|100	custom	2|101
251	material.1:1	37377877	custom	2|101	custom	2|102
252	material.1:1	37472000	custom	2|102	custom	2|103
253	material.1:1	37566321	custom	2|103	custom	2|104
254	material.1:1	37660840	custom	2|104	custom	2|105
255	material.1:1	37755556	custom	2|105	custom	2|106
256	material.1:1	37850469	custom	2|106	custom	2|107
257	material.1:1	37945580	custom	2|107	custom	2|108
258	material.1:1	38040889	custom	2|108	custom	2|109
259	material.1:1	38136395	custom	2|109	custom	2|110
260	material.1:1	38232099	custom	2|110	custom	2|111
261	material.1:1	38328000	custom	2|111	custom	2|112
262	material.1:1	38424099	custom	2|112	custom	2|113
263	material.1:1	38520395	custom	2|113	custom	2|114
264	material.1:1	38616889	custom	2|114	custom	2|115
265	material.1:1	38713580	custom	2|115	custom	2|116
266	material.1:1	38810469	custom	2|116	custom	2|117
267	material.1:1	38907556	custom	2|117	custom	2|118
268	material.1:1	39004840	custom	2|118	custom	2|119
269	material.1:1	39102321	custom	2|119	custom	2|120
270	material.1:1	39200000	custom	2|120	custom	2|121
271	material.1:1	39297877	custom	2|121	custom	2|122
272	material.1:1	39395951	custom	2|122	custom	2|123
273	material.1:1	39494222	custom	2|123	custom	2|124
274	material.1:1	39592691	custom	2|124	custom	2|125
275	material.1:1	39691358	custom	2|125	custom	2|126
276	material.1:1	39790222	custom	2|126	custom	2|127
277	material.1:1	39889284	custom	2|127	custom	2|128
278	material.1:1	39988543	custom	2|128	custom	2|129
279	material.1:1	40088000	custom	2|129	custom	2|130
280	material.1:1	40187654	custom	2|130	custom	2|131
281	material.1:1	40287506	custom	2|131	custom	2|132
282	material.1:1	40387556	custom	2|132	custom	2|133
283	material.1:1	40487802	custom	2|133	custom	2|134
284	material.1:1	40588247	custom	2|134	custom	2|135
285	material.1:1	40688889	custom	2|135	custom	2|136
286	material.1:1	40789728	custom	2|136	custom	2|137
287	material.1:1	40890765	custom	2|137	custom	2|138
288	material.1:1	40992000	custom	2|138	custom	2|139
289	material.1:1	41093432	custom	2|139	custom	2|140
290	material.1:1	41195062	custom	2|140	custom	2|141
291	material.1:1	41296889	custom	2|141	custom	2|142
292	material.1:1	41398914	custom	2|142	custom	2|143
293	material.1:1	41501136	custom	2|143	custom	2|144
294	material.1:1	41603556	custom	2|144	custom	2|145
295	material.1:1	41706173	custom	2|145	custom	2|146
296	material.1:1	41808988	custom	2|146	custom	2|147
297	material.1:1	41912000	custom	2|147	custom	2|148
298	material.1:1	42015210	custom	2|148	custom	2|149
299	material.1:1	42118617	custom	2|149	custom	2|150
300	material.1:1	42222222	custom	2|150	custom	2|151
301	material.1:1	42326025	custom	3|1	custom	3|2
302	material.1:1	42430025	custom	3|2	custom	3|3
303	material.1:1	42534222	custom	3|3	custom	3|4
304	material.1:1	42638617	custom	3|4	custom	3|5
305	material.1:1	42743210	custom	3|5	custom	3|6
306	material.1:1	42848000	custom	3|6	custom	3|7
307	material.1:1	42952988	custom	3|7	custom	3|8
308	material.1:1	43058173	custom	3|8	custom	3|9
309	material.1:1	43163556	custom	3|9	custom	3|10
310	material.1:1	43269136	custom	3|10	custom	3|11
311	material.1:1	43374914	custom	3|11	custom	3|12
312	material.1:1	43480889	custom	3|12	custom	3|13
313	material.1:1	43587062	custom	3|13	custom	3|14
314	material.1:1	43693432	custom	3|14	custom	3|15
315	material.1:1	43800000	custom	3|15	custom	3|16
316	material.1:1	43906765	custom	3|16	custom	3|17
317	material.1:1	44013728	custom	3|17	custom	3|18
318	material.1:1	44120889	custom	3|18	custom	3|19
319	material.1:1	44228247	custom	3|19	custom	3|20
320	material.1:1	44335802	custom	3|20	custom	3|21
321	material.1:1	44443556	custom	3|21	custom	3|22
322	material.1:1	44551506	custom	3|22	custom	3|23
323	material.1:1	44659654	custom	3|23	custom	3|24
324	material.1:1	44768000	custom	3|24	custom	3|25
325	material.1:1	44876543	custom	3|25	custom	3|26
326	material.1:1	44985284	custom	3|26	custom	3|27
327	material.1:1	45094222	custom	3|27	custom	3|28
328	material.1:1	45203358	custom	3|28	custom	3|29
329	material.1:1	45312691	custom	3|29	custom	3|30
330	material.1:1	45422222	custom	3|30	custom	3|31
331	material.1:1	45531951	custom	3|31	custom	3|32
332	material.1:1	45641877	custom	3|32	custom	3|33
333	material.1:1	45752000	custom	3|33	custom	3|34
334	material.1:1	45862321	custom	3|34	custom	3|35
335	material.1:1	45972840	custom	3|35	custom	3|36
336	material.1:1	46083556	custom	3|36	custom	3|37
337	material.1:1	46194469	custom	3|37	custom	3|38
338	material.1:1	46305580	custom	3|38	custom	3|39
339	material.1:1	46416889	custom	3|39	custom	3|40
340	material.1:1	46528395	custom	3|40	custom	3|41
341	material.1:1	46640099	custom	3|41	custom	3|42
342	material.1:1	46752000	custom	3|42	custom	3|43
343	material.1:1	46864099	custom	3|43	custom	3|44
344	material.1:1	46976395	custom	3|44	custom	3|45
345	material.1:1	47088889	custom	3|45	custom	3|46
346	material.1:1	47201580	custom	3|46	custom	3|47
347	material.1:1	47314469	custom	3|47	custom	3|48
348	material.1:1	47427556	custom	3|48	custom	3|49
349	material.1:1	47540840	custom	3|49	custom	3|50
350	material.1:1	47654321	custom	3|50	custom	3|51
351	material.1:1	47768000	custom	3|51	custom	3|52
352	material.1:1	47881877	custom	3|52	custom	3|53
353	material.1:1	47995951	custom	3|53	custom	3|54
354	material.1:1	48110222	custom	3|54	custom	3|55
355	material.1:1	48224691	custom	3|55	custom	3|56
356	material.1:1	48339358	custom	3|56	custom	3|57
357	material.1:1	48454222	custom	3|57	custom	3|58
358	material.1:1	48569284	custom	3|58	custom	3|59
359	material.1:1	48684543	custom	3|59	custom	3|60
360	material.1:1	48800000	custom	3|60	custom	3|61
361	material.1:1	48915654	custom	3|61	custom	3|62
362	material.1:1	49031506	custom	3|62	custom	3|63
363	material.1:1	49147556	custom	3|63	custom	3|64
364	material.1:1	49263802	custom	3|64	custom	3|65
365	material.1:1	49380247	custom	3|65	custom	3|66
366	material.1:1	49496889	custom	3|66	custom	3|67
367	material.1:1	49613728	custom	3|67	custom	3|68
368	material.1:1	49730765	custom	3|68	custom	3|69
369	material.1:1	49848000	custom	3|69	custom	3|70
370	material.1:1	49965432	custom	3|70	custom	3|71
371	material.1:1	50083062	custom	3|71	custom	3|72
372	material.1:1	50200889	custom	3|72	custom	3|73
373	material.1:1	50318914	custom	3|73	custom	3|74
374	material.1:1	50437136	custom	3|74	custom	3|75
375	material.1:1	50555556	custom	3|75	custom	3|76
376	material.1:1	50674173	custom	3|76	custom	3|77
377	material.1:1	50792988	custom	3|77	custom	3|78
378	material.1:1	50912000	custom	3|78	custom	3|79
379	material.1:1	51031210	custom	3|79	custom	3|80
380	material.1:1	51150617	custom	3|80	custom	3|81
381	material.1:1	51270222	custom	3|81	custom	3|82
382	material.1:1	51390025	custom	3|82	custom	3|83
383	material.1:1	51510025	custom	3|83	custom	3|84
384	material.1:1	51630222	custom	3|84	custom	3|85
385	material.1:1	51750617	custom	3|85	custom	3|86
386	material.1:1	51871210	custom	3|86	custom	3|87
387	material.1:1	51992000	custom	3|87	custom	3|88
388	material.1:1	52112988	custom	3|88	custom	3|89
389	material.1:1	52234173	custom	3|89	custom	3|90
390	material.1:1	52355556	custom	3|90	custom	3|91
391	material.1:1	52477136	custom	3|91	custom	3|92
392	material.1:1	52598914	custom	3|92	custom	3|93
393	material.1:1	52720889	custom	3|93	custom	3|94
394	material.1:1	52843062	custom	3|94	custom	3|95
395	material.1:1	52965432	custom	3|95	custom	3|96
396	material.1:1	53088000	custom	3|96	custom	3|97
397	material.1:1	53210765	custom	3|97	custom	3|98
398	material.1:1	53333728	custom	3|98	custom	3|99
399	material.1:1	53456889	custom	3|99	custom	3|100
400	material.1:1	53580247	custom	3|100	custom	3|101
401	material.1:1	53703802	custom	3|101	custom	3|102
402	material.1:1	53827556	custom	3|102	custom	3|103
403	material.1:1	53951506	custom	3|103	custom	3|104
404	material.1:1	54075654	custom	3|104	custom	3|105
405	material.1:1	54200000	custom	3|105	custom	3|106
406	material.1:1	54324543	custom	3|106	custom	3|107
407	material.1:1	54449284	custom	3|107	custom	3|108
408	material.1:1	54574222	custom	3|108	custom	3|109
409	material.1:1	54699358	custom	3|109	custom	3|110
410	material.1:1	54824691	custom	3|110	custom	3|111
411	material.1:1	54950222	custom	3|111	custom	3|112
412	material.1:1	55075951	custom	3|112	custom	3|113
413	material.1:1	55201877	custom	3|113	custom	3|114
414	material.1:1	55328000	custom	3|114	custom	3|115
415	material.1:1	55454321	custom	3|115	custom	3|116
416	material.1:1	55580840	custom	3|116	custom	3|117
417	material.1:1	55707556	custom	3|117	custom	3|118
418	material.1:1	55834469	custom	3|118	custom	3|119
419	material.1:1	55961580	custom	3|119	custom	3|120
420	material.1:1	56088889	custom	3|120	custom	3|121
421	material.1:1	56216395	custom	3|121	custom	3|122
422	material.1:1	56344099	custom	3|122	custom	3|123
423	material.1:1	56472000	custom	3|123	custom	3|124
424	material.1:1	56600099	custom	3|124	custom	3|125
425	material.1:1	56728395	custom	3|125	custom	3|126
426	material.1:1	56856889	custom	3|126	custom	3|127
427	material.1:1	56985580	custom	3|127	custom	3|128
428	material.1:1	57114469	custom	3|128	custom	3|129
429	material.1:1	57243556	custom	3|129	custom	3|130
430	material.1:1	57372840	custom	3|130	custom	3|131
431	material.1:1	57502321	custom	3|131	custom	3|132
432	material.1:1	57632000	custom	3|132	custom	3|133
433	material.1:1	57761877	custom	3|133	custom	3|134
434	material.1:1	57891951	custom	3|134	custom	3|135
435	material.1:1	58022222	custom	3|135	custom	3|136
436	material.1:1	58152691	custom	3|136	custom	3|137
437	material.1:1	58283358	custom	3|137	custom	3|138
438	material.1:1	58414222	custom	3|138	custom	3|139
439	material.1:1	58545284	custom	3|139	custom	3|140
440	material.1:1	58676543	custom	3|140	custom	3|141
441	material.1:1	58808000	custom	3|141	custom	3|142
442	material.1:1	58939654	custom	3|142	custom	3|143
443	material.1:1	59071506	custom	3|143	custom	3|144
444	material.1:1	59203556	custom	3|144	custom	3|145
445	material.1:1	59335802	custom	3|145	custom	3|146
446	material.1:1	59468247	custom	3|146	custom	3|147
447	material.1:1	59600889	custom	3|147	custom	3|148
448	material.1:1	59733728	custom	3|148	custom	3|149
449	material.1:1	59866765	custom	3|149	custom	3|150
450	material.1:1	60000000	custom	3|150	custom	3|151
451	material.1:1	60066889	custom	4|1	custom	4|2
452	material.1:1	60134222	custom	4|2	custom	4|3
453	material.1:1	60202000	custom	4|3	custom	4|4
454	material.1:1	60270222	custom	4|4	custom	4|5
455	material.1:1	60338889	custom	4|5	custom	4|6
456	material.1:1	60408000	custom	4|6	custom	4|7
457	material.1:1	60477556	custom	4|7	custom	4|8
458	material.1:1	60547556	custom	4|8	custom	4|9
459	material.1:1	60618000	custom	4|9	custom	4|10
460	material.1:1	60688889	custom	4|10	custom	4|11
461	material.1:1	60760222	custom	4|11	custom	4|12
462	material.1:1	60832000	custom	4|12	custom	4|13
463	material.1:1	60904222	custom	4|13	custom	4|14
464	material.1:1	60976889	custom	4|14	custom	4|15
465	material.1:1	61050000	custom	4|15	custom	4|16
466	material.1:1	61123556	custom	4|16	custom	4|17
467	material.1:1	61197556	custom	4|17	custom	4|18
468	material.1:1	61272000	custom	4|18	custom	4|19
469	material.1:1	61346889	custom	4|19	custom	4|20
470	material.1:1	61422222	custom	4|20	custom	4|21
471	material.1:1	61498000	custom	4|21	custom	4|22
472	material.1:1	61574222	custom	4|22	custom	4|23
473	material.1:1	61650889	custom	4|23	custom	4|24
474	material.1:1	61728000	custom	4|24	custom	4|25
475	material.1:1	61805556	custom	4|25	custom	4|26
476	material.1:1	61883556	custom	4|26	custom	4|27
477	material.1:1	61962000	custom	4|27	custom	4|28
478	material.1:1	62040889	custom	4|28	custom	4|29
479	material.1:1	62120222	custom	4|29	custom	4|30
480	material.1:1	62200000	custom	4|30	custom	4|31
481	material.1:1	62280222	custom	4|31	custom	4|32
482	material.1:1	62360889	custom	4|32	custom	4|33
483	material.1:1	62442000	custom	4|33	custom	4|34
484	material.1:1	62523556	custom	4|34	custom	4|35
485	material.1:1	62605556	custom	4|35	custom	4|36
486	material.1:1	62688000	custom	4|36	custom	4|37
487	material.1:1	62770889	custom	4|37	custom	4|38
488	material.1:1	62854222	custom	4|38	custom	4|39
489	material.1:1	62938000	custom	4|39	custom	4|40
490	material.1:1	63022222	custom	4|40	custom	4|41
491	material.1:1	63106889	custom	4|41	custom	4|42
492	material.1:1	63192000	custom	4|42	custom	4|43
493	material.1:1	63277556	custom	4|43	custom	4|44
494	material.1:1	63363556	custom	4|44	custom	4|45
495	material.1:1	63450000	custom	4|45	custom	4|46
496	material.1:1	63536889	custom	4|46	custom	4|47
497	material.1:1	63624222	custom	4|47	custom	4|48
498	material.1:1	63712000	custom	4|48	custom	4|49
499	material.1:1	63800222	custom	4|49	custom	4|50
500	material.1:1	63888889	custom	4|50	custom	4|51
501	material.1:1	63978000	custom	4|51	custom	4|52
502	material.1:1	64067556	custom	4|52	custom	4|53
503	material.1:1	64157556	custom	4|53	custom	4|54
504	material.1:1	64248000	custom	4|54	custom	4|55
505	material.1:1	64338889	custom	4|55	custom	4|56
506	material.1:1	64430222	custom	4|56	custom	4|57
507	material.1:1	64522000	custom	4|57	custom	4|58
508	material.1:1	64614222	custom	4|58	custom	4|59
509	material.1:1	64706889	custom	4|59	custom	4|60
510	material.1:1	64800000	custom	4|60	custom	4|61
511	material.1:1	64893556	custom	4|61	custom	4|62
512	material.1:1	64987556	custom	4|62	custom	4|63
513	material.1:1	65082000	custom	4|63	custom	4|64
514	material.1:1	65176889	custom	4|64	custom	4|65
515	material.1:1	65272222	custom	4|65	custom	4|66
516	material.1:1	65368000	custom	4|66	custom	4|67
517	material.1:1	65464222	custom	4|67	custom	4|68
518	material.1:1	65560889	custom	4|68	custom	4|69
519	material.1:1	65658000	custom	4|69	custom	4|70
520	material.1:1	65755556	custom	4|70	custom	4|71
521	material.1:1	65853556	custom	4|71	custom	4|72
522	material.1:1	65952000	custom	4|72	custom	4|73
523	material.1:1	66050889	custom	4|73	custom	4|74
524	material.1:1	66150222	custom	4|74	custom	4|75
525	material.1:1	66250000	custom	4|75	custom	4|76
526	material.1:1	66350222	custom	4|76	custom	4|77
527	material.1:1	66450889	custom	4|77	custom	4|78
528	material.1:1	66552000	custom	4|78	custom	4|79
529	material.1:1	66653556	custom	4|79	custom	4|80
530	material.1:1	66755556	custom	4|80	custom	4|81
531	material.1:1	66858000	custom	4|81	custom	4|82
532	material.1:1	66960889	custom	4|82	custom	4|83
