关键字	变量值3	说明
legionRefreshLimit	10	加入军团时，单次刷新出的军团上限
legionAutoBreakTime	60	军团自动解散时间（单位：天）
legionBuildProgressLimit	20|30|60|100	军团建设宝箱领取所需建设度
legionFuncOpenLimit_bonfire	2	军团功能开启需求军团等级——军团篝火
legionFuncOpenLimit_build	1	军团功能开启需求军团等级——军团建设
legionBonfire_expInterval	300	军团篝火——经验增长间隔（单位：秒）
legionBonfire_openTime	19|20|21|22	军团篝火——开启时间（配置4个）
legionBonfire_openTimeDefault	1	军团篝火默认的开启时间（配置为在上一个数组中的位置）
legionBonfire_operate1	10|2|3|1	军团篝火——添柴（上限次数|出特殊奖励次数下限|出特殊奖励次数上限|CD分钟）
legionBonfire_operate2	5|1|2|2	军团篝火——加火（上限次数|出特殊奖励次数下限|出特殊奖励次数上限|CD分钟）
legionBonfire_operateCost1	user.gold:-12000	军团篝火——添柴消耗
legionBonfire_operateCost2	user.mixcash:-50	军团篝火——加火消耗
legionBonfire_prepareTime	10	军团篝火——准备时长（单位：分钟）
legionBonfire_totalTime	120	军团篝火——总时长（单位：分钟）
legionKickBaseCost	user.legion_exp:-0	军团踢人基础消耗
legionKickSet	24|100	军团踢人设置：保护时间（小时）|额外扣除百分比
legionLogLimit	50	军团日志最大条数限制
legionContributeConversionRate	1	军团经验转化历史贡献转化率
legionBossTime	10:00-22:00	军团BOSS活动时段
legionBossAwardTime	10	军团BOSS发奖延迟时间（单位：分钟）
legionBossAakbTimes	1	军团BOSS最大鼓舞次数
legionBossChallengeTimes	5	军团BOSS最大挑战次数
legionWarMinJoinLevel	1	军团战最小参战军团等级
legionWarMinShowLevel	1	军团战最小可查看军团等级
legionWarJoinDay	11	军团所在服务器开服大于14天才能参加军团战
legionWarWinScore	10	军团战胜利得分
legionWarLoseScore	-4	军团战失败扣分
legionWarDispatchNum	2	军团战每个玩家可被增派的次数
legionWarMinJoinMembers	10	军团战军团参战最少人数
legionWarAttackNum	4	军团战每个玩家可攻击次数
legionWarCombatLockTime	30	军团战挑战布阵时间(s)
legionWarBuildVelocity	2	军团战玩家初始修筑速度(每分钟)
legionWarScoreAwardRatio	0.2	军团战修筑奖励与修筑值的兑换比例
legionWarBuildAward	user.legionwar:1	军团战修筑奖励
legionWarExploreRefreshCost	user.mixcash:-10	军团战探索刷新钻石消耗
legionWarExploreBasicTimes	2	军团战探索每轮基础次数
legionWarExploreRefreshFreeTimes	1	军团战探索每轮免费刷新次数
legionWarExploreQuickAchieve	user.bindcash:-50	军团战探索马上完成消耗
rankListLimit_team	50	排行榜显示限制-战队
rankListLimit_legion	50	排行榜显示限制-军团
rankListLimit_kingMe	50	排行榜显示限制-王城争霸
rankListLimit_tower	50	排行榜显示限制-勇者之塔
rankListLimit_fight	50	排行榜显示限制-战斗力
rankListLimit_level	50	排行榜显示限制-等级
rankListLimit_arena	50	排行榜显示限制-竞技场
rankListLimit_worldwar	50	排行榜显示限制-王者之战
rankListLimit_legionwar	50	排行榜显示限制-军团战
decomposeHeroQuality	4|5|6|7	分解英雄品质
decomposeEquipQuality	2|3|4|5|6|7	分解装备品质
decomposeRuneQuality	1|2|3|4|5|6|7	分解符文品质(“品质0“为符文精华)
mailMaxCount	100	邮件-邮箱私人邮件最大个数
arenaMailExpireDay	7	邮件-竞技场邮件过期天数
awardMailExpireDay	15	邮件-奖励邮件过期天数
mailTitileMaxLength	20	邮件-邮件标题最大长度
mailContentMaxLength	200	邮件-邮件内容最大长度
runeLootSpecialList	1001|2001|3001|4001	符文-特殊掉落（符文ID）
trialOneKeyLimitLevel	0	秘境矿洞一键探索开启玩家等级限制（配置为0则为，通过等级无法开启）
trialOneKeyLimitVip	2	秘境矿洞一键探索开启VIP等级限制
altarRewardPrayCount	6	祭坛翻倍奖励祈祷次数
altarRewardTime	2	祭坛翻倍奖励倍数
shoutCostId	300004	聊天喊话消耗材料id
dailyFoodNoon	6-14	午间粮饷时间段
dailyFoodEvening	15-23	晚间粮饷时间段
countrySalaryTime	12-21	皇城争霸每日俸禄发放时段
countryChallengeLimit	99999	皇城争霸挑战次数上限
countryReportCount	10	皇城争霸最大战报数
countryBalanceTime	22	皇城争霸每日结算时间
battleSpeedUp3	0	战斗开启3倍加速需求VIP等级
exploreBossInit	1|2|3	大本营探索初始BOSS
diggingToolInit	15	矿锄初始数
diggingHeight	10	挖矿矿区深度
diggingWidth	10	挖矿矿区宽度
diggingToolPerDeal	2	每次购买矿稿数量
diggingGemCount	4	挖矿矿区每次出现的龙晶矿数量
diggingGemRange	8	挖矿矿区龙晶矿出现的保底范围
diggingDragonRecover	5	挖矿放掉小恐龙矿锄恢复数
diggingMonsterProportion	0.7	挖矿怪物属性比例
territoryWarPersonalInterval	1	村庄争夺个人奖励间隔（分钟）
territoryWarPersonalMaxHour	8	村庄争夺个人单次占领时长（小时）
territoryWarPersonalDefendTime	5	村庄争夺个人保护时间（分钟）
territoryWarPersonalLootWeight1	0	村庄争夺个人掉落类型1权重
territoryWarPersonalLootWeight2	100	村庄争夺个人掉落类型2权重
territoryWarPersonalChallengeCost	user.rob:-1	村庄争夺个人占领消耗
territoryWarTeamInterval	1	村庄争夺领主奖励结算间隔（分钟）
territoryWarTeamDefendTime	10	村庄争夺领主保护时间（分钟）
territoryWarTeamWeaken	-0.1	村庄领主争夺单次胜利战力降低比例
territoryWarTeamChallengeCost	user.mixcash:-50	村庄争夺领主发起占领消耗
mpRecoveryBeAttack	2	受击时怒气恢复
mpRecoveryKill	2000	击杀恢复怒气
teamManorStatueAwardCD	12	战队雕像奖励CD（小时）
weekCardDuration	30	周卡持续天数
weekCardSpecialAward	fragment.5027:60,skyweapon.9.1:30	周卡购买特殊奖励
monthCardDuration	30	月卡持续天数
monthCardSpecialAward	fragment.5028:60,skywing.9.1:30	月卡购买特殊奖励
doubleCardAward	material.950:2,material.940:5,user.rotate_ncoin:1	双卡礼包额外奖励
seniorRrecruitExtraRum	user.wine:5	单次奢华招募额外朗姆酒
innateNum1	1	1星英雄天赋条数
innateNum2	2	2星英雄天赋条数
innateNum3	4	3星英雄天赋条数
innateNum4	6	4星英雄天赋条数
innateNum5	8	5星英雄天赋条数
innateNum6	10	6星英雄天赋条数
innateSpecialPower1	20000	特殊天赋1加成战力
innateSpecialPower2	50000	特殊天赋2加成战力
avAlasdPrayPrayNum	7	灯神祈愿每天恢复祈愿点数
avAlasdPrayOnlineTime	5	灯神祈愿恢复祈愿点数在线时间（min）
permuteHeroExpend4	user.wand:-1,user.mixcash:-50	置换4星英雄消耗（优先消耗资源1，2）
permuteHeroExpend5	user.wand:-10,user.mixcash:-500	置换5星英雄消耗（优先消耗资源1，2）
permuteHeroApproveQuality	5|6|7	可置换英雄品质
worldwarRefreshRankTime	60	王者之战排行榜刷新间隔的秒数
worldwarScoreDiff	500	王者之战实力相同玩家积分差值
worldwarWaveRatio	100	王者之战各积分段玩家波动系数
worldwarMatchRange	20	王者之战匹配人数范围（用于积分赛阶段玩家匹配）
worldwarBattleLimitPerDay	10	王者之战积分赛每日免费挑战次数
worldwarMatchCd	5	王者之战积分赛刷新对手CD时间（s）
worldwarBuyBattle	user.mixcash:-20	王者之战积分赛额外挑战次数购买消耗
worldwarWorshipAward	user.bindcash:10,user.gold:100000	王者之战膜拜奖励
worldwarSupportAward	user.bindcash:10,user.hero_exp:100000	王者之战支持奖励
worldwarSupportValue	10000	王者之战单次支持身价
worldwarRobotLevel	35	王者之战保底机器人等级
worldwarRobotPower	250000	王者之战保底机器人战力
worldwarPlayerLimit	10000	王者之战单服人数限制（应该没用了，配大一点，保留字段）
worldwarPlayerLimit	10000	王者之战单服人数限制（应该没用了，配大一点，保留字段）
resignFirstWeekNextDayReward	uires/ui_new/activity/week_sign/avsitw.png	七日签到首周第2日奖励美术资源（暂时废弃）
resignFirstWeekReward	uires/ui_new/activity/investment/avintw.png	七日签到首周第7日奖励美术资源
resignSecondWeekReward	uires/ui_new/activity/investment/avintw.png	七日签到第二周第7日奖励美术资源
territorialwarsShow	material.950:1,material.954:1,group.2005.0:1,group.2004.0:1,material.1:1,user.legion:1	领地入口道具展示配置
legionwarShow	material.950:1,user.rotate_ncoin:1,material.100002:1,material.100001:1,user.sky_book:100,user.bindcash:1,user.legionwar:1	军团战入口道具展示配置
territorialwarBossShow	material.950:1,material.940:1,user.wand:1,user.bindcash:1,user.gold:1,user.legion:1	领地BOSS展示
territorialwarTransferCost	user.action_point:-8	领地入侵快捷传送消耗
territorialwarJoinDay	5	所在服务器开服大于5天才能参加领地入侵玩法
investmentPurchaseRequiresVipLevel	3	一本万利购买要求VIP等级
investmentDiamondPurchaseCost	user.mixcash:-998	一本万利购买花费钻石
day_rechargeDailyBuyGoldenDiamond	1000	钻石狂欢每日任务要求购买金钻
buy_awerdServerLimitBuyTime 	20:0:0	购买活动全服限购开启时间
customWealLimitVipFirst	0	冒险赢钻石活动参与限定VIP
customWealLimitVip	4	冒险赢钻石活动额外奖励限定VIP
customWealVipShowLevel	0	冒险赢钻石活动额外VIP奖励可见等级
dragonBeadLootSpecialList	2	龙珠-功能开启特殊掉落
dragonBeadChangeNeed	material.300006:-6	龙珠兑换需求道具数量
loginPopWindowLevelLimit	7	登陆弹窗开启等级
doAppraiseAward	user.bindcash:100	好评弹窗奖励
avSignHighDailyBuyGoldenDiamond	50	豪华签到每日签到要求购买金钻
avLuckyRotateAllbestRewardNum	20	幸运转盘跨服极品奖励显示条数
avLuckyRotateRewardNum	50	幸运转盘个人奖励显示条数
avLuckyRotateHighJoinLimitVip	0	高级幸运转盘参与VIP等级限制
heroEvolutionLimitDay	1	所在服务器开服天数大于等于8天才能进行英雄合成
heroReturnTier1	100	升品返还百分比（材料1）
heroReturnTier2	100	升品返还百分比（材料2）
heroReturnLevel1	100	升级返还百分比（材料1）
heroReturnLevel2	100	升级返还百分比（材料2）
heroReturnAwake1	100	升级返还百分比（材料1）
heroReturnAwake2	20	升级返还百分比（材料2）
heroReturnPart1	100	升级返还百分比（材料1）
equipTalantResetCost	user.mixcash:-100	装备天赋重置消耗
avmanuallyGradeExp	100	龙纹手册每级升级经验
avmanuallyRechargeId	16	龙纹手册额外奖励充值ID
convoyScoreDecay	80	护送任务积分衰减百分比
convoyAwardDecay	80	护送任务协助奖励衰减百分比
convoyPowerInitial	80	护送战斗点初始点数
convoyPowerInterval	18	护送战斗点回复间隔分钟
convoyPowerMax	180	护送战斗点上限
convoyPowerCost	20	护送战斗点单次挑战消耗
convoyDoubleTime	13:50-18:30|21:00-22:00	护送双倍积分时段
avmanuallyGradeExp	100	龙纹手册每级升级经验
avmanuallyRechargeId	16	龙纹手册额外奖励充值ID
avmanuallyVipExp	user.vip_xp:1000,user.cash:1000	龙纹手册额外奖励充值后获得道具
qqGroupAward1	user.bindcash:200,user.gold:1000000	加QQ群礼包码1奖励展示
qqGroupAward2	material.940:40,material.31:1	加QQ群礼包码2奖励展示
avExchangeItemRechargeCashGetscore	1	积分兑换充值1金钻获得积分数量
avZerogiftBuyRechargeid	12	0元礼包购买花费rechargeID
avZerogiftBuyAward	user.bindcash:500	0元礼包购买获得道具
avZerogiftGmRechargeid	avzerogift_1	0元礼包GM充值参数
avLevelupReceiveTime	24	等级提升免费领取时间（小时）
avLevelupRechargeReceiveaward	user.vip_xp:60,user.xp:164000,user.hero_exp:10000000,material.31:1,user.htoken:1	等级提升充值领取获得奖励内容
avLevelupReceiveaward	user.xp:164000,user.hero_exp:10000000,material.31:1,user.htoken:1	等级提升免费领取获得奖励内容
avLevelupBuyRechargeid	10	等级提升购买花费rechargeID
avLevelupGmRechargeid	avlevelup_1	等级提升GM充值参数
avOctopusOpen	1|3|5|7	章鱼宝藏活动开启星期几
avOctopusDay	1	章鱼活动每轮持续几天
avOctopusAwardPreview	material.100402:1,user.bindcash:100,user.htoken:1,material.950:10	章鱼活动奖励预览
fatewheelBuyHero_expNum	user.hero_exp:100000	命运之轮购买经验药水数量
fatewheelBuyHero_expNumCost	user.cash:-100	命运之轮购买经验药水花费
fatewheelBuyFortuneCoinNum	user.fate_coin:1	命运之轮购买经验药水赠送命运币数量
summitArenaChallengeTimes	5	巅峰竞技场挑战次数（每日重置，购买补足）
summitArenaTime	10:00-22:00	巅峰竞技场奖励时段
summitArenaWeekEndTime	22:00	巅峰竞技场周挑战终止时间点（周日）
summitArenaWeekMailTime	22:30	巅峰竞技场周奖励奖励时间点（周日）
summitArenaRobotPowerMin	17106	巅峰竞技场机器人战力MIN
summitArenaRobotPowerMax	65485	巅峰竞技场机器人战力MAX
summitArenaRobotPowerCoefficient	50	巅峰竞技场机器人战力系数
summitArenaRobotLvMin	12	巅峰竞技场机器人等级MIN
summitArenaRobotLvMax	25	巅峰竞技场机器人等级MAX
summitArenaRobotLvCoefficient	50	巅峰竞技场机器人等级系数
