符文等级	攻击1	攻击万分比1	护甲1	护甲万分比1	技防1	技防万分比1	生命1	生命万分比1	攻击2	攻击万分比2	护甲2	护甲万分比2	技防2	技防万分比2	生命2	生命万分比2	攻击3	攻击万分比3	护甲3	护甲万分比3	技防3	技防万分比3	生命3	生命万分比3	攻击4	攻击万分比4	护甲4	护甲万分比4	技防4	技防万分比4	生命4	生命万分比4	攻击5	攻击万分比5	护甲5	护甲万分比5	技防5	技防万分比5	生命5	生命万分比5	攻击6	攻击万分比6	护甲6	护甲万分比6	技防6	技防万分比6	生命6	生命万分比6	攻击7	攻击万分比7	护甲7	护甲万分比7	技防7	技防万分比7	生命7	生命万分比7
8	266	2	666	9	666	9	5328	4	377	3	943	13	943	13	7549	5	555	5	1387	20	1387	20	11101	8	777	7	1942	28	1942	28	15542	11	1110	10	2775	40	2775	40	22203	16	1554	14	3885	56	3885	56	31084	23	2220	20	5550	80	5550	80	44407	33
9	288	2	720	9	720	9	5766	4	408	3	1021	13	1021	13	8169	5	600	5	1501	20	1501	20	12014	8	841	7	2102	28	2102	28	16820	11	1201	10	3003	40	3003	40	24028	16	1682	14	4205	56	4205	56	33640	23	2402	20	6007	80	6007	80	48057	33
10	313	7	783	28	783	28	6264	12	443	10	1109	40	1109	40	8874	17	652	15	1631	60	1631	60	13051	25	913	21	2283	84	2283	84	18271	35	1305	30	3262	120	3262	120	26102	50	1827	42	4567	168	4567	168	36543	70	2610	60	6525	240	6525	240	52205	100
11	337	7	842	28	842	28	6741	12	477	10	1193	40	1193	40	9550	17	702	15	1755	60	1755	60	14044	25	983	21	2457	84	2457	84	19662	35	1404	30	3511	120	3511	120	28088	50	1966	42	4915	168	4915	168	39324	70	2808	60	7022	240	7022	240	56177	100
12	362	7	905	28	905	28	7240	12	512	10	1282	40	1282	40	10256	17	754	15	1885	60	1885	60	15083	25	1055	21	2639	84	2639	84	21117	35	1508	30	3770	120	3770	120	30167	50	2111	42	5279	168	5279	168	42234	70	3016	60	7541	240	7541	240	60335	100
13	390	7	977	28	977	28	7817	12	553	10	1384	40	1384	40	11074	17	814	15	2035	60	2035	60	16285	25	1139	21	2849	84	2849	84	22799	35	1628	30	4071	120	4071	120	32570	50	2279	42	5699	168	5699	168	45599	70	3257	60	8142	240	8142	240	65141	100
14	417	7	1044	28	1044	28	8357	12	591	10	1479	40	1479	40	11839	17	870	15	2176	60	2176	60	17411	25	1218	21	3046	84	3046	84	24375	35	1741	30	4352	120	4352	120	34822	50	2437	42	6093	168	6093	168	48751	70	3482	60	8705	240	8705	240	69645	100
15	449	14	1122	57	1122	57	8983	24	636	20	1590	81	1590	81	12727	34	935	30	2339	120	2339	120	18716	50	1310	42	3275	168	3275	168	26202	70	1871	60	4679	240	4679	240	37432	100	2620	84	6550	336	6550	336	52405	140	3743	120	9358	480	9358	480	74865	200
16	486	14	1215	57	1215	57	9725	24	688	20	1722	81	1722	81	13778	34	1013	30	2532	120	2532	120	20262	50	1418	42	3545	168	3545	168	28367	70	2026	60	5065	240	5065	240	40524	100	2836	84	7091	336	7091	336	56734	140	4052	120	10131	480	10131	480	81049	200
17	529	14	1323	57	1323	57	10588	24	749	20	1874	81	1874	81	14999	34	1102	30	2757	120	2757	120	22058	50	1544	42	3860	168	3860	168	30881	70	2205	60	5514	240	5514	240	44116	100	3088	84	7720	336	7720	336	61763	140	4411	120	11029	480	11029	480	88233	200
18	575	14	1439	57	1439	57	11515	24	815	20	2039	81	2039	81	16313	34	1199	30	2998	120	2998	120	23990	50	1679	42	4198	168	4198	168	33586	70	2399	60	5997	240	5997	240	47981	100	3358	84	8396	336	8396	336	67173	140	4798	120	11995	480	11995	480	95962	200
19	624	14	1562	57	1562	57	12497	24	885	20	2213	81	2213	81	17705	34	1301	30	3254	120	3254	120	26037	50	1822	42	4556	168	4556	168	36452	70	2603	60	6509	240	6509	240	52074	100	3645	84	9113	336	9113	336	72904	140	5207	120	13018	480	13018	480	104149	200
20	677	25	1693	100	1693	100	13550	42	959	35	2399	142	2399	142	19196	59	1411	52	3528	210	3528	210	28229	87	1976	73	4940	294	4940	294	39521	122	2822	105	7057	420	7057	420	56459	175	3952	147	9880	588	9880	588	79043	245	5645	210	14114	840	14114	840	112919	350
21	727	25	1818	100	1818	100	14550	42	1030	35	2576	142	2576	142	20613	59	1515	52	3789	210	3789	210	30313	87	2121	73	5304	294	5304	294	42438	122	3031	105	7578	420	7578	420	60626	175	4243	147	10609	588	10609	588	84877	245	6062	210	15156	840	15156	840	121253	350
22	786	25	1965	100	1965	100	15725	42	1113	35	2784	142	2784	142	22277	59	1638	52	4095	210	4095	210	32760	87	2293	73	5733	294	5733	294	45864	122	3276	105	8190	420	8190	420	65521	175	4586	147	11466	588	11466	588	91729	245	6552	210	16380	840	16380	840	131042	350
23	848	25	2120	100	2120	100	16965	42	1201	35	3004	142	3004	142	24034	59	1767	52	4418	210	4418	210	35345	87	2474	73	6185	294	6185	294	49483	122	3534	105	8836	420	8836	420	70690	175	4948	147	12370	588	12370	588	98966	245	7069	210	17672	840	17672	840	141380	350
24	913	25	2284	100	2284	100	18279	42	1294	35	3237	142	3237	142	25896	59	1904	52	4760	210	4760	210	38083	87	2665	73	6664	294	6664	294	53316	122	3808	105	9520	420	9520	420	76166	175	5331	147	13329	588	13329	588	106632	245	7616	210	19041	840	19041	840	152332	350
25	983	39	2457	158	2457	158	19663	66	1392	56	3482	224	3482	224	27857	93	2048	82	5120	330	5120	330	40966	137	2867	115	7169	462	7169	462	57352	192	4096	165	10241	660	10241	660	81932	275	5735	231	14338	924	14338	924	114705	385	8193	330	20483	1320	20483	1320	163865	550
26	1048	39	2620	158	2620	158	20967	66	1485	56	3712	224	3712	224	29703	93	2184	82	5460	330	5460	330	43682	137	3057	115	7644	462	7644	462	61155	192	4368	165	10920	660	10920	660	87364	275	6115	231	15288	924	15288	924	122310	385	8736	330	21841	1320	21841	1320	174729	550
27	1124	39	2811	158	2811	158	22495	66	1593	56	3983	224	3983	224	31869	93	2343	82	5858	330	5858	330	46866	137	3280	115	8201	462	8201	462	65612	192	4686	165	11716	660	11716	660	93732	275	6561	231	16403	924	16403	924	131225	385	9373	330	23433	1320	23433	1320	187464	550
28	1204	39	3012	158	3012	158	24098	66	1706	56	4267	224	4267	224	34139	93	2510	82	6275	330	6275	330	50205	137	3514	115	8785	462	8785	462	70287	192	5020	165	12551	660	12551	660	100410	275	7028	231	17571	924	17571	924	140574	385	10041	330	25102	1320	25102	1320	200820	550
29	1289	39	3223	158	3223	158	25784	66	1826	56	4566	224	4566	224	36528	93	2685	82	6714	330	6714	330	53718	137	3760	115	9400	462	9400	462	75205	192	5371	165	13429	660	13429	660	107436	275	7520	231	18801	924	18801	924	150410	385	10743	330	26859	1320	26859	1320	214872	550
30	1377	57	3443	230	3443	230	27548	96	1951	81	4878	326	4878	326	39027	136	2869	120	7174	480	7174	480	57393	200	4017	168	10043	672	10043	672	80350	280	5739	240	14348	960	14348	960	114786	400	8035	336	20087	1344	20087	1344	160700	560	11478	480	28696	1920	28696	1920	229572	800
31	1490	57	3725	230	3725	230	29805	96	2111	81	5278	326	5278	326	42224	136	3104	120	7761	480	7761	480	62094	200	4346	168	10866	672	10866	672	86932	280	6209	240	15523	960	15523	960	124189	400	8693	336	21733	1344	21733	1344	173864	560	12418	480	31047	1920	31047	1920	248378	800
32	1610	57	4025	230	4025	230	32202	96	2281	81	5702	326	5702	326	45620	136	3354	120	8386	480	8386	480	67089	200	4696	168	11740	672	11740	672	93924	280	6708	240	16772	960	16772	960	134178	400	9392	336	23481	1344	23481	1344	187849	560	13417	480	33544	1920	33544	1920	268356	800
33	1736	57	4341	230	4341	230	34728	96	2459	81	6149	326	6149	326	49198	136	3617	120	9043	480	9043	480	72350	200	5064	168	12661	672	12661	672	101290	280	7235	240	18087	960	18087	960	144700	400	10129	336	25322	1344	25322	1344	202580	560	14470	480	36175	1920	36175	1920	289400	800
34	1869	57	4672	230	4672	230	37383	96	2648	81	6620	326	6620	326	52960	136	3894	120	9735	480	9735	480	77883	200	5451	168	13629	672	13629	672	109036	280	7788	240	19470	960	19470	960	155766	400	10903	336	27259	1344	27259	1344	218072	560	15576	480	38941	1920	38941	1920	311532	800
35	2022	79	5056	316	5056	316	40455	132	2865	112	7164	448	7164	448	57312	187	4214	165	10535	660	10535	660	84283	275	5899	231	14749	924	14749	924	117996	385	8428	330	21070	1320	21070	1320	168566	550	11799	462	29499	1848	29499	1848	235992	770	16856	660	42141	2640	42141	2640	337132	1100
36	2171	79	5428	316	5428	316	43427	132	3076	112	7690	448	7690	448	61521	187	4523	165	11309	660	11309	660	90473	275	6333	231	15832	924	15832	924	126662	385	9047	330	22618	1320	22618	1320	180946	550	12666	462	31665	1848	31665	1848	253324	770	18094	660	45236	2640	45236	2640	361892	1100
37	2326	79	5817	316	5817	316	46539	132	3296	112	8241	448	8241	448	65931	187	4847	165	12119	660	12119	660	96957	275	6787	231	16967	924	16967	924	135740	385	9695	330	24239	1320	24239	1320	193915	550	13574	462	33935	1848	33935	1848	271481	770	19391	660	48478	2640	48478	2640	387830	1100
38	2490	79	6225	316	6225	316	49807	132	3528	112	8820	448	8820	448	70561	187	5188	165	12970	660	12970	660	103766	275	7263	231	18159	924	18159	924	145272	385	10376	330	25941	1320	25941	1320	207532	550	14527	462	36318	1848	36318	1848	290545	770	20753	660	51883	2640	51883	2640	415065	1100
39	2662	79	6655	316	6655	316	53243	132	3771	112	9428	448	9428	448	75428	187	5546	165	13865	660	13865	660	110924	275	7764	231	19411	924	19411	924	155293	385	11092	330	27731	1320	27731	1320	221848	550	15529	462	38823	1848	38823	1848	310587	770	22184	660	55462	2640	55462	2640	443696	1100
40	2858	104	7145	417	7145	417	57164	174	4049	147	10122	591	10122	591	80982	246	5954	217	14886	870	14886	870	119091	362	8336	304	20841	1218	20841	1218	166728	507	11909	435	29772	1740	29772	1740	238183	725	16672	609	41682	2436	41682	2436	333456	1015	23818	870	59545	3480	59545	3480	476366	1450
41	3046	104	7615	417	7615	417	60927	174	4315	147	10789	591	10789	591	86313	246	6346	217	15866	870	15866	870	126932	362	8885	304	22213	1218	22213	1218	177704	507	12693	435	31733	1740	31733	1740	253864	725	17770	609	44426	2436	44426	2436	355409	1015	25386	870	63466	3480	63466	3480	507728	1450
42	3243	104	8108	417	8108	417	64869	174	4594	147	11487	591	11487	591	91898	246	6757	217	16893	870	16893	870	135145	362	9460	304	23650	1218	23650	1218	189203	507	13514	435	33786	1740	33786	1740	270290	725	18920	609	47300	2436	47300	2436	378406	1015	27029	870	67572	3480	67572	3480	540581	1450
43	3449	104	8623	417	8623	417	68986	174	4886	147	12216	591	12216	591	97730	246	7186	217	17965	870	17965	870	143721	362	10060	304	25151	1218	25151	1218	201210	507	14372	435	35930	1740	35930	1740	287443	725	20121	609	50302	2436	50302	2436	402420	1015	28744	870	71860	3480	71860	3480	574886	1450
44	3663	104	9158	417	9158	417	73270	174	5189	147	12974	591	12974	591	103799	246	7632	217	19080	870	19080	870	152646	362	10685	304	26713	1218	26713	1218	213704	507	15264	435	38161	1740	38161	1740	305292	725	21370	609	53426	2436	53426	2436	427409	1015	30529	870	76323	3480	76323	3480	610585	1450
45	3907	133	9767	532	9767	532	78142	222	5535	188	13837	754	13837	754	110702	314	8139	277	20349	1110	20349	1110	162797	462	11395	388	28489	1554	28489	1554	227916	647	16279	555	40699	2220	40699	2220	325594	925	22791	777	56979	3108	56979	3108	455832	1295	32559	1110	81398	4440	81398	4440	651188	1850
