兵种ID	等级	星级	升下阶消耗	装备1ID	装备1数量	装备2ID	装备2数量	装备3ID	装备3数量	装备4ID	装备4数量	套装1	套装2	套装3	套装4	属性1	属性值1	百分比1	属性2	属性值2	百分比2	属性3	属性值3	百分比3	属性4	属性值4	百分比4
1	9	3	0	181	280	182	280	183	280	184	280	1|637	2|398	3|398	4|7650	1	18016	0	2	11260	0	3	11260	0	4	216203	0
1	9	4	0	181	300	182	300	183	300	184	300	1|687	2|430	3|430	4|8254	1	19079	0	2	11924	0	3	11924	0	4	228953	0
1	9	5	material.6:-1050	0	0	0	0	0	0	0	0	0	0	0	0	1	20225	0	2	12641	0	3	12641	0	4	242711	0
1	10	0	0	191	830	192	830	193	830	194	830	1|571	2|357	3|357	4|6862	1	22574	0	2	14109	0	3	14109	0	4	270897	0
1	10	1	0	191	900	192	900	193	900	194	900	1|582	2|363	3|363	4|6978	1	23527	0	2	14704	0	3	14704	0	4	282335	0
1	10	2	0	191	930	192	930	193	930	194	930	1|591	2|369	3|369	4|7092	1	24497	0	2	15310	0	3	15310	0	4	293966	0
1	10	3	0	191	950	192	950	193	950	194	950	1|600	2|375	3|375	4|7207	1	25482	0	2	15926	0	3	15926	0	4	305787	0
1	10	4	0	191	980	192	980	193	980	194	980	1|610	2|381	3|381	4|7320	1	26483	0	2	16552	0	3	16552	0	4	317799	0
1	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27500	0	2	17187	0	3	17187	0	4	330000	0
2	1	0	0	101	1	102	1	103	1	104	1	1|28	2|18	3|18	4|351	1	0	0	2	0	0	3	0	0	4	0	0
2	1	1	0	101	1	102	1	103	1	104	1	1|24	2|15	3|15	4|291	1	48	0	2	30	0	3	30	0	4	586	0
2	1	2	0	101	1	102	1	103	1	104	1	1|30	2|19	3|19	4|367	1	89	0	2	55	0	3	55	0	4	1071	0
2	1	3	0	101	1	102	1	103	1	104	1	1|30	2|19	3|19	4|372	1	140	0	2	87	0	3	87	0	4	1683	0
2	1	4	0	101	1	102	1	103	1	104	1	1|34	2|21	3|21	4|405	1	191	0	2	119	0	3	119	0	4	2303	0
2	1	5	material.6:-2	0	0	0	0	0	0	0	0	0	0	0	0	1	248	0	2	155	0	3	155	0	4	2978	0
2	2	0	0	111	1	112	1	113	1	114	1	1|35	2|22	3|22	4|425	1	333	0	2	208	0	3	208	0	4	3997	0
2	2	1	0	111	1	112	1	113	1	114	1	1|36	2|22	3|22	4|442	1	392	0	2	245	0	3	245	0	4	4706	0
2	2	2	0	111	1	112	1	113	1	114	1	1|38	2|24	3|24	4|459	1	453	0	2	283	0	3	283	0	4	5443	0
2	2	3	0	111	1	112	1	113	1	114	1	1|39	2|24	3|24	4|477	1	517	0	2	323	0	3	323	0	4	6209	0
2	2	4	0	111	1	112	1	113	1	114	1	1|41	2|25	3|25	4|495	1	583	0	2	364	0	3	364	0	4	7005	0
2	2	5	material.6:-5	0	0	0	0	0	0	0	0	0	0	0	0	1	652	0	2	407	0	3	407	0	4	7830	0
2	3	0	0	121	2	122	2	123	2	124	2	1|47	2|29	3|29	4|567	1	805	0	2	503	0	3	503	0	4	9667	0
2	3	1	0	121	2	122	2	123	2	124	2	1|53	2|33	3|33	4|639	1	884	0	2	552	0	3	552	0	4	10612	0
2	3	2	0	121	2	122	2	123	2	124	2	1|55	2|34	3|34	4|661	1	973	0	2	608	0	3	608	0	4	11678	0
2	3	3	0	121	2	122	2	123	2	124	2	1|57	2|36	3|36	4|685	1	1065	0	2	665	0	3	665	0	4	12781	0
2	3	4	0	121	2	122	2	123	2	124	2	1|58	2|36	3|36	4|706	1	1160	0	2	725	0	3	725	0	4	13923	0
2	3	5	material.6:-10	0	0	0	0	0	0	0	0	0	0	0	0	1	1258	0	2	786	0	3	786	0	4	15101	0
2	4	0	0	131	5	132	5	133	5	134	5	1|66	2|41	3|41	4|793	1	1498	0	2	936	0	3	936	0	4	17979	0
2	4	1	0	131	5	132	5	133	5	134	5	1|67	2|42	3|42	4|813	1	1608	0	2	1005	0	3	1005	0	4	19301	0
2	4	2	0	131	5	132	5	133	5	134	5	1|75	2|47	3|47	4|910	1	1721	0	2	1075	0	3	1075	0	4	20657	0
2	4	3	0	131	5	132	5	133	5	134	5	1|78	2|49	3|49	4|936	1	1847	0	2	1154	0	3	1154	0	4	22174	0
2	4	4	0	131	5	132	5	133	5	134	5	1|80	2|49	3|49	4|962	1	1977	0	2	1236	0	3	1236	0	4	23734	0
2	4	5	material.6:-24	0	0	0	0	0	0	0	0	0	0	0	0	1	2111	0	2	1319	0	3	1319	0	4	25338	0
2	5	0	0	141	10	142	10	143	10	144	10	1|88	2|55	3|55	4|1059	1	2455	0	2	1534	0	3	1534	0	4	29461	0
2	5	1	0	141	10	142	10	143	10	144	10	1|90	2|56	3|56	4|1085	1	2602	0	2	1626	0	3	1626	0	4	31227	0
2	5	2	0	141	10	142	10	143	10	144	10	1|92	2|57	3|57	4|1110	1	2753	0	2	1720	0	3	1720	0	4	33036	0
2	5	3	0	141	11	142	11	143	11	144	11	1|102	2|64	3|64	4|1227	1	2907	0	2	1816	0	3	1816	0	4	34886	0
2	5	4	0	141	11	142	11	143	11	144	11	1|105	2|65	3|65	4|1256	1	3077	0	2	1923	0	3	1923	0	4	36931	0
2	5	5	material.6:-45	0	0	0	0	0	0	0	0	0	0	0	0	1	3252	0	2	2032	0	3	2032	0	4	39025	0
2	6	0	0	151	22	152	22	153	22	154	22	1|117	2|73	3|73	4|1399	1	3904	0	2	2440	0	3	2440	0	4	46859	0
2	6	1	0	151	23	152	23	153	23	154	23	1|118	2|74	3|74	4|1427	1	4099	0	2	2562	0	3	2562	0	4	49192	0
2	6	2	0	151	24	152	24	153	24	154	24	1|130	2|81	3|81	4|1561	1	4297	0	2	2686	0	3	2686	0	4	51571	0
2	6	3	0	151	25	152	25	153	25	154	25	1|132	2|82	3|82	4|1593	1	4514	0	2	2821	0	3	2821	0	4	54173	0
2	6	4	0	151	26	152	26	153	26	154	26	1|135	2|84	3|84	4|1625	1	4735	0	2	2959	0	3	2959	0	4	56828	0
2	6	5	material.6:-140	0	0	0	0	0	0	0	0	0	0	0	0	1	4961	0	2	3100	0	3	3100	0	4	59537	0
2	7	0	0	161	60	162	60	163	60	164	60	1|309	2|193	3|193	4|3704	1	5688	0	2	3555	0	3	3555	0	4	68264	0
2	7	1	0	161	62	162	62	163	62	164	62	1|337	2|210	3|210	4|4047	1	6203	0	2	3877	0	3	3877	0	4	74438	0
2	7	2	0	161	71	162	71	163	71	164	71	1|346	2|216	3|216	4|4165	1	6765	0	2	4228	0	3	4228	0	4	81183	0
2	7	3	0	161	73	162	73	163	73	164	73	1|357	2|223	3|223	4|4281	1	7343	0	2	4589	0	3	4589	0	4	88125	0
2	7	4	0	161	76	162	76	163	76	164	76	1|397	2|248	3|248	4|4767	1	7938	0	2	4961	0	3	4961	0	4	95261	0
2	7	5	material.6:-400	0	0	0	0	0	0	0	0	0	0	0	0	1	8600	0	2	5375	0	3	5375	0	4	103206	0
2	8	0	0	171	140	172	140	173	140	174	140	1|432	2|270	3|270	4|5196	1	9629	0	2	6018	0	3	6018	0	4	115551	0
2	8	1	0	171	140	172	140	173	140	174	140	1|465	2|291	3|291	4|5586	1	10350	0	2	6469	0	3	6469	0	4	124211	0
2	8	2	0	171	150	172	150	173	150	174	150	1|477	2|298	3|298	4|5725	1	11126	0	2	6954	0	3	6954	0	4	133521	0
2	8	3	0	171	170	172	170	173	170	174	170	1|489	2|305	3|305	4|5862	1	11921	0	2	7451	0	3	7451	0	4	143063	0
2	8	4	0	171	170	172	170	173	170	174	170	1|534	2|333	3|333	4|6408	1	12736	0	2	7960	0	3	7960	0	4	152833	0
2	8	5	material.6:-590	0	0	0	0	0	0	0	0	0	0	0	0	1	13626	0	2	8516	0	3	8516	0	4	163514	0
2	9	0	0	181	250	182	250	183	250	184	250	1|574	2|359	3|359	4|6897	1	14999	0	2	9374	0	3	9374	0	4	179994	0
2	9	1	0	181	260	182	260	183	260	184	260	1|611	2|382	3|382	4|7335	1	15957	0	2	9973	0	3	9973	0	4	191490	0
2	9	2	0	181	270	182	270	183	270	184	270	1|624	2|390	3|390	4|7492	1	16976	0	2	10610	0	3	10610	0	4	203715	0
2	9	3	0	181	280	182	280	183	280	184	280	1|637	2|398	3|398	4|7650	1	18016	0	2	11260	0	3	11260	0	4	216203	0
2	9	4	0	181	300	182	300	183	300	184	300	1|687	2|430	3|430	4|8254	1	19079	0	2	11924	0	3	11924	0	4	228953	0
2	9	5	material.6:-1050	0	0	0	0	0	0	0	0	0	0	0	0	1	20225	0	2	12641	0	3	12641	0	4	242711	0
2	10	0	0	191	830	192	830	193	830	194	830	1|571	2|357	3|357	4|6862	1	22574	0	2	14109	0	3	14109	0	4	270897	0
2	10	1	0	191	900	192	900	193	900	194	900	1|582	2|363	3|363	4|6978	1	23527	0	2	14704	0	3	14704	0	4	282335	0
2	10	2	0	191	930	192	930	193	930	194	930	1|591	2|369	3|369	4|7092	1	24497	0	2	15310	0	3	15310	0	4	293966	0
2	10	3	0	191	950	192	950	193	950	194	950	1|600	2|375	3|375	4|7207	1	25482	0	2	15926	0	3	15926	0	4	305787	0
2	10	4	0	191	980	192	980	193	980	194	980	1|610	2|381	3|381	4|7320	1	26483	0	2	16552	0	3	16552	0	4	317799	0
2	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27500	0	2	17187	0	3	17187	0	4	330000	0
3	1	0	0	101	1	102	1	103	1	104	1	1|28	2|18	3|18	4|351	1	0	0	2	0	0	3	0	0	4	0	0
3	1	1	0	101	1	102	1	103	1	104	1	1|24	2|15	3|15	4|291	1	48	0	2	30	0	3	30	0	4	586	0
3	1	2	0	101	1	102	1	103	1	104	1	1|30	2|19	3|19	4|367	1	89	0	2	55	0	3	55	0	4	1071	0
3	1	3	0	101	1	102	1	103	1	104	1	1|30	2|19	3|19	4|372	1	140	0	2	87	0	3	87	0	4	1683	0
3	1	4	0	101	1	102	1	103	1	104	1	1|34	2|21	3|21	4|405	1	191	0	2	119	0	3	119	0	4	2303	0
3	1	5	material.6:-2	0	0	0	0	0	0	0	0	0	0	0	0	1	248	0	2	155	0	3	155	0	4	2978	0
3	2	0	0	111	1	112	1	113	1	114	1	1|35	2|22	3|22	4|425	1	333	0	2	208	0	3	208	0	4	3997	0
3	2	1	0	111	1	112	1	113	1	114	1	1|36	2|22	3|22	4|442	1	392	0	2	245	0	3	245	0	4	4706	0
3	2	2	0	111	1	112	1	113	1	114	1	1|38	2|24	3|24	4|459	1	453	0	2	283	0	3	283	0	4	5443	0
3	2	3	0	111	1	112	1	113	1	114	1	1|39	2|24	3|24	4|477	1	517	0	2	323	0	3	323	0	4	6209	0
3	2	4	0	111	1	112	1	113	1	114	1	1|41	2|25	3|25	4|495	1	583	0	2	364	0	3	364	0	4	7005	0
3	2	5	material.6:-5	0	0	0	0	0	0	0	0	0	0	0	0	1	652	0	2	407	0	3	407	0	4	7830	0
3	3	0	0	121	2	122	2	123	2	124	2	1|47	2|29	3|29	4|567	1	805	0	2	503	0	3	503	0	4	9667	0
3	3	1	0	121	2	122	2	123	2	124	2	1|53	2|33	3|33	4|639	1	884	0	2	552	0	3	552	0	4	10612	0
3	3	2	0	121	2	122	2	123	2	124	2	1|55	2|34	3|34	4|661	1	973	0	2	608	0	3	608	0	4	11678	0
3	3	3	0	121	2	122	2	123	2	124	2	1|57	2|36	3|36	4|685	1	1065	0	2	665	0	3	665	0	4	12781	0
3	3	4	0	121	2	122	2	123	2	124	2	1|58	2|36	3|36	4|706	1	1160	0	2	725	0	3	725	0	4	13923	0
3	3	5	material.6:-10	0	0	0	0	0	0	0	0	0	0	0	0	1	1258	0	2	786	0	3	786	0	4	15101	0
3	4	0	0	131	5	132	5	133	5	134	5	1|66	2|41	3|41	4|793	1	1498	0	2	936	0	3	936	0	4	17979	0
3	4	1	0	131	5	132	5	133	5	134	5	1|67	2|42	3|42	4|813	1	1608	0	2	1005	0	3	1005	0	4	19301	0
3	4	2	0	131	5	132	5	133	5	134	5	1|75	2|47	3|47	4|910	1	1721	0	2	1075	0	3	1075	0	4	20657	0
3	4	3	0	131	5	132	5	133	5	134	5	1|78	2|49	3|49	4|936	1	1847	0	2	1154	0	3	1154	0	4	22174	0
3	4	4	0	131	5	132	5	133	5	134	5	1|80	2|49	3|49	4|962	1	1977	0	2	1236	0	3	1236	0	4	23734	0
3	4	5	material.6:-24	0	0	0	0	0	0	0	0	0	0	0	0	1	2111	0	2	1319	0	3	1319	0	4	25338	0
3	5	0	0	141	10	142	10	143	10	144	10	1|88	2|55	3|55	4|1059	1	2455	0	2	1534	0	3	1534	0	4	29461	0
3	5	1	0	141	10	142	10	143	10	144	10	1|90	2|56	3|56	4|1085	1	2602	0	2	1626	0	3	1626	0	4	31227	0
3	5	2	0	141	10	142	10	143	10	144	10	1|92	2|57	3|57	4|1110	1	2753	0	2	1720	0	3	1720	0	4	33036	0
3	5	3	0	141	11	142	11	143	11	144	11	1|102	2|64	3|64	4|1227	1	2907	0	2	1816	0	3	1816	0	4	34886	0
3	5	4	0	141	11	142	11	143	11	144	11	1|105	2|65	3|65	4|1256	1	3077	0	2	1923	0	3	1923	0	4	36931	0
3	5	5	material.6:-45	0	0	0	0	0	0	0	0	0	0	0	0	1	3252	0	2	2032	0	3	2032	0	4	39025	0
3	6	0	0	151	22	152	22	153	22	154	22	1|117	2|73	3|73	4|1399	1	3904	0	2	2440	0	3	2440	0	4	46859	0
3	6	1	0	151	23	152	23	153	23	154	23	1|118	2|74	3|74	4|1427	1	4099	0	2	2562	0	3	2562	0	4	49192	0
3	6	2	0	151	24	152	24	153	24	154	24	1|130	2|81	3|81	4|1561	1	4297	0	2	2686	0	3	2686	0	4	51571	0
3	6	3	0	151	25	152	25	153	25	154	25	1|132	2|82	3|82	4|1593	1	4514	0	2	2821	0	3	2821	0	4	54173	0
3	6	4	0	151	26	152	26	153	26	154	26	1|135	2|84	3|84	4|1625	1	4735	0	2	2959	0	3	2959	0	4	56828	0
3	6	5	material.6:-140	0	0	0	0	0	0	0	0	0	0	0	0	1	4961	0	2	3100	0	3	3100	0	4	59537	0
3	7	0	0	161	60	162	60	163	60	164	60	1|309	2|193	3|193	4|3704	1	5688	0	2	3555	0	3	3555	0	4	68264	0
3	7	1	0	161	62	162	62	163	62	164	62	1|337	2|210	3|210	4|4047	1	6203	0	2	3877	0	3	3877	0	4	74438	0
3	7	2	0	161	71	162	71	163	71	164	71	1|346	2|216	3|216	4|4165	1	6765	0	2	4228	0	3	4228	0	4	81183	0
3	7	3	0	161	73	162	73	163	73	164	73	1|357	2|223	3|223	4|4281	1	7343	0	2	4589	0	3	4589	0	4	88125	0
3	7	4	0	161	76	162	76	163	76	164	76	1|397	2|248	3|248	4|4767	1	7938	0	2	4961	0	3	4961	0	4	95261	0
3	7	5	material.6:-400	0	0	0	0	0	0	0	0	0	0	0	0	1	8600	0	2	5375	0	3	5375	0	4	103206	0
3	8	0	0	171	140	172	140	173	140	174	140	1|432	2|270	3|270	4|5196	1	9629	0	2	6018	0	3	6018	0	4	115551	0
3	8	1	0	171	140	172	140	173	140	174	140	1|465	2|291	3|291	4|5586	1	10350	0	2	6469	0	3	6469	0	4	124211	0
3	8	2	0	171	150	172	150	173	150	174	150	1|477	2|298	3|298	4|5725	1	11126	0	2	6954	0	3	6954	0	4	133521	0
3	8	3	0	171	170	172	170	173	170	174	170	1|489	2|305	3|305	4|5862	1	11921	0	2	7451	0	3	7451	0	4	143063	0
3	8	4	0	171	170	172	170	173	170	174	170	1|534	2|333	3|333	4|6408	1	12736	0	2	7960	0	3	7960	0	4	152833	0
3	8	5	material.6:-590	0	0	0	0	0	0	0	0	0	0	0	0	1	13626	0	2	8516	0	3	8516	0	4	163514	0
3	9	0	0	181	250	182	250	183	250	184	250	1|574	2|359	3|359	4|6897	1	14999	0	2	9374	0	3	9374	0	4	179994	0
3	9	1	0	181	260	182	260	183	260	184	260	1|611	2|382	3|382	4|7335	1	15957	0	2	9973	0	3	9973	0	4	191490	0
3	9	2	0	181	270	182	270	183	270	184	270	1|624	2|390	3|390	4|7492	1	16976	0	2	10610	0	3	10610	0	4	203715	0
3	9	3	0	181	280	182	280	183	280	184	280	1|637	2|398	3|398	4|7650	1	18016	0	2	11260	0	3	11260	0	4	216203	0
3	9	4	0	181	300	182	300	183	300	184	300	1|687	2|430	3|430	4|8254	1	19079	0	2	11924	0	3	11924	0	4	228953	0
3	9	5	material.6:-1050	0	0	0	0	0	0	0	0	0	0	0	0	1	20225	0	2	12641	0	3	12641	0	4	242711	0
3	10	0	0	191	830	192	830	193	830	194	830	1|571	2|357	3|357	4|6862	1	22574	0	2	14109	0	3	14109	0	4	270897	0
3	10	1	0	191	900	192	900	193	900	194	900	1|582	2|363	3|363	4|6978	1	23527	0	2	14704	0	3	14704	0	4	282335	0
3	10	2	0	191	930	192	930	193	930	194	930	1|591	2|369	3|369	4|7092	1	24497	0	2	15310	0	3	15310	0	4	293966	0
3	10	3	0	191	950	192	950	193	950	194	950	1|600	2|375	3|375	4|7207	1	25482	0	2	15926	0	3	15926	0	4	305787	0
3	10	4	0	191	980	192	980	193	980	194	980	1|610	2|381	3|381	4|7320	1	26483	0	2	16552	0	3	16552	0	4	317799	0
3	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27500	0	2	17187	0	3	17187	0	4	330000	0
