物品组id	组内ID	最低刷出等级	最高刷出等级	最低刷出天数	最高刷出天数	可见条件	购买限次	出现特殊条件	购买方式	获得物品	组权重	购买条件类型	购买条件参数	购买单价	根据次数成长购买单价	标注
10301	10	0	999	6	120	0	1	0	0	equip.40501.0:1	100	0	0	user.rotate_score:-6000	0	0
10301	11	0	999	6	120	0	1	0	0	equip.50501.0:1	100	0	0	user.rotate_score:-6000	0	0
10301	12	0	999	6	120	0	1	0	0	equip.60501.0:1	100	0	0	user.rotate_score:-6000	0	0
10301	13	0	999	30	9999	0	1	0	0	equip.10601.0:1	100	0	0	user.rotate_score:-15000	0	0
10301	14	0	999	30	9999	0	1	0	0	equip.20601.0:1	100	0	0	user.rotate_score:-15000	0	0
10301	15	0	999	30	9999	0	1	0	0	equip.30601.0:1	100	0	0	user.rotate_score:-15000	0	0
10301	16	0	999	30	9999	0	1	0	0	equip.40601.0:1	100	0	0	user.rotate_score:-15000	0	0
10301	17	0	999	30	9999	0	1	0	0	equip.50601.0:1	100	0	0	user.rotate_score:-15000	0	0
10301	18	0	999	30	9999	0	1	0	0	equip.60601.0:1	100	0	0	user.rotate_score:-15000	0	0
10301	19	0	999	90	9999	0	1	0	0	equip.10701.0:1	100	0	0	user.rotate_score:-30000	0	0
10301	20	0	999	90	9999	0	1	0	0	equip.20701.0:1	100	0	0	user.rotate_score:-30000	0	0
10301	21	0	999	90	9999	0	1	0	0	equip.30701.0:1	100	0	0	user.rotate_score:-30000	0	0
10301	22	0	999	90	9999	0	1	0	0	equip.40701.0:1	100	0	0	user.rotate_score:-30000	0	0
10301	23	0	999	90	9999	0	1	0	0	equip.50701.0:1	100	0	0	user.rotate_score:-30000	0	0
10301	24	0	999	90	9999	0	1	0	0	equip.60701.0:1	100	0	0	user.rotate_score:-30000	0	0
10302	1	0	999	1	45	0	1	0	0	rune.1003:1	100	level	100	user.rotate_score:-760	0	0
10302	2	0	999	1	45	0	1	0	0	rune.2003:1	100	level	100	user.rotate_score:-760	0	0
10302	3	0	999	1	45	0	1	0	0	rune.3003:1	100	level	100	user.rotate_score:-760	0	0
10302	4	0	999	1	45	0	1	0	0	rune.4003:1	100	level	100	user.rotate_score:-760	0	0
10302	5	0	999	1	60	0	1	0	0	rune.1004:1	100	level	100	user.rotate_score:-1500	0	0
10302	6	0	999	1	60	0	1	0	0	rune.2004:1	100	level	100	user.rotate_score:-1500	0	0
10302	7	0	999	1	60	0	1	0	0	rune.3004:1	100	level	100	user.rotate_score:-1500	0	0
10302	8	0	999	1	60	0	1	0	0	rune.4004:1	100	level	100	user.rotate_score:-1500	0	0
10302	9	0	999	10	9999	0	1	0	0	rune.1005:1	100	level	100	user.rotate_score:-7600	0	0
10302	10	0	999	10	9999	0	1	0	0	rune.2005:1	100	level	100	user.rotate_score:-7600	0	0
10302	11	0	999	10	9999	0	1	0	0	rune.3005:1	100	level	100	user.rotate_score:-7600	0	0
10302	12	0	999	10	9999	0	1	0	0	rune.4005:1	100	level	100	user.rotate_score:-7600	0	0
10302	13	0	999	30	9999	0	1	0	0	rune.1006:1	100	level	100	user.rotate_score:-21000	0	0
10302	14	0	999	30	9999	0	1	0	0	rune.2006:1	100	level	100	user.rotate_score:-21000	0	0
10302	15	0	999	30	9999	0	1	0	0	rune.3006:1	100	level	100	user.rotate_score:-21000	0	0
10302	16	0	999	30	9999	0	1	0	0	rune.4006:1	100	level	100	user.rotate_score:-21000	0	0
10302	17	0	999	60	9999	0	1	0	0	rune.1007:1	100	level	100	user.rotate_score:-60000	0	0
10302	18	0	999	60	9999	0	1	0	0	rune.2007:1	100	level	100	user.rotate_score:-60000	0	0
10302	19	0	999	60	9999	0	1	0	0	rune.3007:1	100	level	100	user.rotate_score:-60000	0	0
10302	20	0	999	60	9999	0	1	0	0	rune.4007:1	100	level	100	user.rotate_score:-60000	0	0
10303	1	0	999	1	9999	0	1	0	0	gem.105:1	200	0	0	user.rotate_score:-720	0	0
10303	2	0	999	1	9999	0	1	0	0	gem.205:1	100	0	0	user.rotate_score:-720	0	0
10303	3	0	999	1	9999	0	1	0	0	gem.305:1	100	0	0	user.rotate_score:-720	0	0
10303	4	0	999	1	9999	0	1	0	0	gem.405:1	200	0	0	user.rotate_score:-720	0	0
10303	5	0	999	1	9999	0	1	0	0	gem.106:1	100	0	0	user.rotate_score:-2200	0	0
10303	6	0	999	1	9999	0	1	0	0	gem.206:1	50	0	0	user.rotate_score:-2200	0	0
10303	7	0	999	1	9999	0	1	0	0	gem.306:1	50	0	0	user.rotate_score:-2200	0	0
10303	8	0	999	1	9999	0	1	0	0	gem.406:1	100	0	0	user.rotate_score:-2200	0	0
10303	9	0	999	1	9999	0	1	0	0	gem.107:1	50	0	0	user.rotate_score:-6600	0	0
10303	10	0	999	1	9999	0	1	0	0	gem.207:1	25	0	0	user.rotate_score:-6600	0	0
10303	11	0	999	1	9999	0	1	0	0	gem.307:1	25	0	0	user.rotate_score:-6600	0	0
10303	12	0	999	1	9999	0	1	0	0	gem.407:1	50	0	0	user.rotate_score:-6600	0	0
10303	13	0	999	1	9999	0	1	0	0	gem.108:1	25	0	0	user.rotate_score:-19600	0	0
10303	14	0	999	1	9999	0	1	0	0	gem.208:1	12	0	0	user.rotate_score:-19600	0	0
10303	15	0	999	1	9999	0	1	0	0	gem.308:1	12	0	0	user.rotate_score:-19600	0	0
10303	16	0	999	1	9999	0	1	0	0	gem.408:1	25	0	0	user.rotate_score:-19600	0	0
10304	1	0	999	1	9999	0	1	0	0	material.940:40	100	0	0	user.rotate_score:-600	0	0
10304	2	0	999	1	9999	0	1	0	0	material.950:60	100	0	0	user.rotate_score:-5400	0	0
10304	3	0	999	22	9999	0	1	0	0	fragment.5021:60	50	gameday	22	user.rotate_score:-5400	0	0
10304	4	0	999	22	9999	0	1	0	0	fragment.5022:60	25	gameday	22	user.rotate_score:-5400	0	0
10304	5	0	999	15	9999	0	1	0	0	fragment.5023:60	50	gameday	15	user.rotate_score:-5400	0	0
10304	6	0	999	15	9999	0	1	0	0	fragment.5024:60	25	gameday	15	user.rotate_score:-5400	0	0
10304	7	0	999	8	9999	0	1	0	0	fragment.5025:60	50	gameday	8	user.rotate_score:-5400	0	0
10304	8	0	999	8	9999	0	1	0	0	fragment.5026:60	25	gameday	8	user.rotate_score:-5400	0	0
10304	9	0	999	1	9999	0	1	0	0	fragment.5027:60	50	gameday	1	user.rotate_score:-5400	0	0
10304	10	0	999	1	9999	0	1	0	0	fragment.5028:60	25	gameday	1	user.rotate_score:-5400	0	0
20101	1	0	9999	1	9999	0	1	0	1	fragment.1001:10	400	0	0	user.soul:-25	0	0
20101	2	0	9999	1	9999	0	1	0	1	fragment.1002:10	400	0	0	user.soul:-25	0	0
20101	3	0	9999	1	9999	0	1	0	1	fragment.2001:10	600	0	0	user.soul:-50	0	0
20101	4	0	9999	1	9999	0	1	0	1	fragment.2002:10	600	0	0	user.soul:-50	0	0
20101	5	0	9999	1	9999	0	1	0	1	fragment.3001:10	1000	0	0	user.soul:-125	0	0
20101	6	0	9999	1	9999	0	1	0	1	fragment.3002:10	1000	0	0	user.soul:-125	0	0
20101	7	0	9999	1	9999	0	1	0	1	fragment.4003:10	554	0	0	user.soul:-250	0	0
20101	8	0	9999	1	9999	0	1	0	1	fragment.4004:10	276	0	0	user.soul:-250	0	0
20101	9	0	9999	1	9999	0	1	0	1	fragment.4007:10	554	0	0	user.soul:-250	0	0
20101	10	0	9999	1	9999	0	1	0	1	fragment.4008:10	276	0	0	user.soul:-250	0	0
20101	11	0	9999	1	9999	0	1	0	1	fragment.4011:10	554	0	0	user.soul:-250	0	0
20101	12	0	9999	1	9999	0	1	0	1	fragment.4012:10	554	0	0	user.soul:-250	0	0
20101	13	0	9999	1	9999	0	1	0	1	fragment.4013:10	276	0	0	user.soul:-250	0	0
20101	14	0	9999	1	9999	0	1	0	1	fragment.4014:10	276	0	0	user.soul:-250	0	0
20101	15	0	9999	1	9999	0	1	0	1	fragment.4017:10	554	0	0	user.soul:-250	0	0
20101	16	0	9999	1	9999	0	1	0	1	fragment.4018:10	276	0	0	user.soul:-250	0	0
20101	17	0	9999	1	9999	0	1	0	1	fragment.4019:10	554	0	0	user.soul:-250	0	0
20101	18	0	9999	1	9999	0	1	0	1	fragment.4020:10	276	0	0	user.soul:-250	0	0
20101	19	0	9999	1	9999	0	1	0	1	fragment.5001:10	333	0	0	user.soul:-1500	0	0
20101	20	0	9999	1	9999	0	1	0	1	fragment.5002:10	166	0	0	user.soul:-1500	0	0
20101	21	0	9999	1	9999	0	1	0	1	fragment.5005:10	333	0	0	user.soul:-1500	0	0
20101	22	0	9999	1	9999	0	1	0	1	fragment.5006:10	166	0	0	user.soul:-1500	0	0
20101	23	0	9999	1	9999	0	1	0	1	fragment.5009:10	333	0	0	user.soul:-1500	0	0
20101	24	0	9999	1	9999	0	1	0	1	fragment.5010:10	166	0	0	user.soul:-1500	0	0
20101	25	0	9999	1	9999	0	1	0	1	fragment.5015:10	333	0	0	user.soul:-1500	0	0
20101	26	0	9999	1	9999	0	1	0	1	fragment.5016:10	166	0	0	user.soul:-1500	0	0
20101	27	0	9999	22	9999	0	1	0	1	fragment.5021:10	166	0	0	user.soul:-1500	0	0
20101	28	0	9999	22	9999	0	1	0	1	fragment.5022:10	83	0	0	user.soul:-1500	0	0
20101	29	0	9999	15	9999	0	1	0	1	fragment.5023:10	166	0	0	user.soul:-1500	0	0
20101	30	0	9999	15	9999	0	1	0	1	fragment.5024:10	83	0	0	user.soul:-1500	0	0
20101	31	0	9999	8	9999	0	1	0	1	fragment.5025:10	166	0	0	user.soul:-1500	0	0
20101	32	0	9999	8	9999	0	1	0	1	fragment.5026:10	83	0	0	user.soul:-1500	0	0
20101	33	0	9999	1	9999	0	1	0	1	fragment.5027:10	166	0	0	user.soul:-1500	0	0
20101	34	0	9999	1	9999	0	1	0	1	fragment.5028:10	83	0	0	user.soul:-1500	0	0
20102	1	0	9999	1	9999	0	1	0	1	fragment.1001:10	400	vip	2	user.soul:-25	0	0
20102	2	0	9999	1	9999	0	1	0	1	fragment.1002:10	400	vip	2	user.soul:-25	0	0
20102	3	0	9999	1	9999	0	1	0	1	fragment.2001:10	600	vip	2	user.soul:-50	0	0
20102	4	0	9999	1	9999	0	1	0	1	fragment.2002:10	600	vip	2	user.soul:-50	0	0
20102	5	0	9999	1	9999	0	1	0	1	fragment.3001:10	1000	vip	2	user.soul:-125	0	0
20102	6	0	9999	1	9999	0	1	0	1	fragment.3002:10	1000	vip	2	user.soul:-125	0	0
20102	7	0	9999	1	9999	0	1	0	1	fragment.4003:10	554	vip	2	user.soul:-250	0	0
20102	8	0	9999	1	9999	0	1	0	1	fragment.4004:10	276	vip	2	user.soul:-250	0	0
20102	9	0	9999	1	9999	0	1	0	1	fragment.4007:10	554	vip	2	user.soul:-250	0	0
20102	10	0	9999	1	9999	0	1	0	1	fragment.4008:10	276	vip	2	user.soul:-250	0	0
20102	11	0	9999	1	9999	0	1	0	1	fragment.4011:10	554	vip	2	user.soul:-250	0	0
20102	12	0	9999	1	9999	0	1	0	1	fragment.4012:10	554	vip	2	user.soul:-250	0	0
20102	13	0	9999	1	9999	0	1	0	1	fragment.4013:10	276	vip	2	user.soul:-250	0	0
20102	14	0	9999	1	9999	0	1	0	1	fragment.4014:10	276	vip	2	user.soul:-250	0	0
20102	15	0	9999	1	9999	0	1	0	1	fragment.4017:10	554	vip	2	user.soul:-250	0	0
20102	16	0	9999	1	9999	0	1	0	1	fragment.4018:10	276	vip	2	user.soul:-250	0	0
20102	17	0	9999	1	9999	0	1	0	1	fragment.4019:10	554	vip	2	user.soul:-250	0	0
20102	18	0	9999	1	9999	0	1	0	1	fragment.4020:10	276	vip	2	user.soul:-250	0	0
20102	19	0	9999	1	9999	0	1	0	1	fragment.5001:10	333	vip	2	user.soul:-1500	0	0
20102	20	0	9999	1	9999	0	1	0	1	fragment.5002:10	166	vip	2	user.soul:-1500	0	0
20102	21	0	9999	1	9999	0	1	0	1	fragment.5005:10	333	vip	2	user.soul:-1500	0	0
20102	22	0	9999	1	9999	0	1	0	1	fragment.5006:10	166	vip	2	user.soul:-1500	0	0
20102	23	0	9999	1	9999	0	1	0	1	fragment.5009:10	333	vip	2	user.soul:-1500	0	0
20102	24	0	9999	1	9999	0	1	0	1	fragment.5010:10	166	vip	2	user.soul:-1500	0	0
20102	25	0	9999	1	9999	0	1	0	1	fragment.5015:10	333	vip	2	user.soul:-1500	0	0
20102	26	0	9999	1	9999	0	1	0	1	fragment.5016:10	166	vip	2	user.soul:-1500	0	0
20102	27	0	9999	22	9999	0	1	0	1	fragment.5021:10	166	vip	2	user.soul:-1500	0	0
20102	28	0	9999	22	9999	0	1	0	1	fragment.5022:10	83	vip	2	user.soul:-1500	0	0
20102	29	0	9999	15	9999	0	1	0	1	fragment.5023:10	166	vip	2	user.soul:-1500	0	0
20102	30	0	9999	15	9999	0	1	0	1	fragment.5024:10	83	vip	2	user.soul:-1500	0	0
20102	31	0	9999	8	9999	0	1	0	1	fragment.5025:10	166	vip	2	user.soul:-1500	0	0
20102	32	0	9999	8	9999	0	1	0	1	fragment.5026:10	83	vip	2	user.soul:-1500	0	0
20102	33	0	9999	1	9999	0	1	0	1	fragment.5027:10	166	vip	2	user.soul:-1500	0	0
20102	34	0	9999	1	9999	0	1	0	1	fragment.5028:10	83	vip	2	user.soul:-1500	0	0
30101	1	0	9999	1	9999	0	0	0	0	material.5:10	10000	0	0	user.smelt:-100	0	0
30102	1	0	9999	1	9999	0	0	0	0	material.101201:1	10000	0	0	user.smelt:-1000	0	0
30103	1	0	9999	1	9999	0	0	0	0	material.50:1	10000	0	0	user.smelt:-1000	0	0
30104	1	0	9999	1	9999	level.80	0	0	0	material.51:1	10000	0	0	user.smelt:-2000	0	0
30105	1	0	9999	1	9999	level.180	0	0	0	material.52:1	10000	0	0	user.smelt:-5000	0	0
30106	1	0	9999	1	9999	level.240	0	0	0	material.53:1	10000	0	0	user.smelt:-10000	0	0
30201	1	0	9999	1	9999	0	0	0	0	equip.10301.0:1	10000	0	0	user.smelt:-1000	0	0
30202	1	0	9999	1	9999	0	0	0	0	equip.20301.0:1	10000	0	0	user.smelt:-1000	0	0
30203	1	0	9999	1	9999	0	0	0	0	equip.30301.0:1	10000	0	0	user.smelt:-1000	0	0
30204	1	0	9999	1	9999	0	0	0	0	equip.40301.0:1	10000	0	0	user.smelt:-1000	0	0
30205	1	0	9999	1	9999	0	0	0	0	equip.50301.0:1	10000	0	0	user.smelt:-1000	0	0
30206	1	0	9999	1	9999	0	0	0	0	equip.60301.0:1	10000	0	0	user.smelt:-1000	0	0
30301	1	0	9999	1	9999	0	0	0	0	equip.10401.0:1	10000	level	60	user.smelt:-5000	0	0
30302	1	0	9999	1	9999	0	0	0	0	equip.20401.0:1	10000	level	60	user.smelt:-5000	0	0
30303	1	0	9999	1	9999	0	0	0	0	equip.30401.0:1	10000	level	60	user.smelt:-5000	0	0
30304	1	0	9999	1	9999	0	0	0	0	equip.40401.0:1	10000	level	60	user.smelt:-5000	0	0
30305	1	0	9999	1	9999	0	0	0	0	equip.50401.0:1	10000	level	60	user.smelt:-5000	0	0
30306	1	0	9999	1	9999	0	0	0	0	equip.60401.0:1	10000	level	60	user.smelt:-5000	0	0
30401	1	0	9999	1	9999	0	0	0	0	equip.10501.0:1	10000	level	90	user.smelt:-20000,user.legionwar:-2000	0	0
30402	1	0	9999	1	9999	0	0	0	0	equip.20501.0:1	10000	level	90	user.smelt:-20000,user.legionwar:-2000	0	0
30403	1	0	9999	1	9999	0	0	0	0	equip.30501.0:1	10000	level	90	user.smelt:-20000,user.legionwar:-2000	0	0
30404	1	0	9999	1	9999	0	0	0	0	equip.40501.0:1	10000	level	90	user.smelt:-20000,user.legionwar:-2000	0	0
30405	1	0	9999	1	9999	0	0	0	0	equip.50501.0:1	10000	level	90	user.smelt:-20000,user.legionwar:-2000	0	0
30406	1	0	9999	1	9999	0	0	0	0	equip.60501.0:1	10000	level	90	user.smelt:-20000,user.legionwar:-2000	0	0
30501	1	0	9999	1	9999	0	0	0	0	equip.10601.0:1	10000	level	180	user.smelt:-50000,user.legionwar:-4000	0	0
30502	1	0	9999	1	9999	0	0	0	0	equip.20601.0:1	10000	level	180	user.smelt:-50000,user.legionwar:-4000	0	0
30503	1	0	9999	1	9999	0	0	0	0	equip.30601.0:1	10000	level	180	user.smelt:-50000,user.legionwar:-4000	0	0
30504	1	0	9999	1	9999	0	0	0	0	equip.40601.0:1	10000	level	180	user.smelt:-50000,user.legionwar:-4000	0	0
30505	1	0	9999	1	9999	0	0	0	0	equip.50601.0:1	10000	level	180	user.smelt:-50000,user.legionwar:-4000	0	0
30506	1	0	9999	1	9999	0	0	0	0	equip.60601.0:1	10000	level	180	user.smelt:-50000,user.legionwar:-4000	0	0
30601	1	0	9999	1	9999	0	0	0	0	equip.10701.0:1	10000	level	240	user.smelt:-100000,user.legionwar:-10000	0	0
30602	1	0	9999	1	9999	0	0	0	0	equip.20701.0:1	10000	level	240	user.smelt:-100000,user.legionwar:-10000	0	0
30603	1	0	9999	1	9999	0	0	0	0	equip.30701.0:1	10000	level	240	user.smelt:-100000,user.legionwar:-10000	0	0
30604	1	0	9999	1	9999	0	0	0	0	equip.40701.0:1	10000	level	240	user.smelt:-100000,user.legionwar:-10000	0	0
30605	1	0	9999	1	9999	0	0	0	0	equip.50701.0:1	10000	level	240	user.smelt:-100000,user.legionwar:-10000	0	0
30606	1	0	9999	1	9999	0	0	0	0	equip.60701.0:1	10000	level	240	user.smelt:-100000,user.legionwar:-10000	0	0
40101	1	0	9999	1	9999	0	0	0	0	fragment.4013:10	10000	0	0	user.active:-250	0	0
40102	1	0	9999	1	9999	0	0	0	0	material.101201:1	10000	0	0	user.active:-250	0	0
40103	1	0	9999	1	9999	0	0	0	0	material.950:20	10000	0	0	user.active:-3000	0	0
40104	1	0	9999	1	9999	0	0	0	0	fragment.5027:60	10000	0	0	user.active:-9000	0	0
50101	1	0	9999	1	9999	0	0	0	0	material.930:10	10000	0	0	user.arena:-150	0	0
50102	1	0	9999	1	9999	0	0	0	0	material.940:10	10000	0	0	user.arena:-500	0	0
50103	1	0	9999	1	9999	0	0	0	0	user.wand:1	10000	0	0	user.arena:-500	0	0
50104	1	0	9999	1	9999	0	0	0	0	user.htoken:1	10000	0	0	user.arena:-2500	0	0
50105	1	0	9999	1	9999	0	0	0	0	material.950:20	10000	0	0	user.arena:-6000	0	0
70101	1	0	9999	1	9999	0	0	0	0	fragment.4013:10	10000	0	0	user.legion:-500	0	0
70102	1	0	9999	1	9999	0	0	0	0	material.100001:10	10000	0	0	user.legion:-600	0	0
70103	1	0	9999	1	9999	0	0	0	0	material.100002:10	10000	0	0	user.legion:-6000	0	0
70104	1	0	9999	1	9999	0	0	0	0	fragment.5028:60	10000	0	0	user.legion:-18000	0	text_shopUniversalGoodsLabel_1
80101	1	0	9999	1	9999	0	0	0	0	material.100:10	10000	0	0	user.salary:-6000	0	0
80102	1	0	9999	1	9999	gameday.10	0	0	0	material.200:10	10000	0	0	user.salary:-6000	0	0
80103	1	0	9999	1	9999	gameday.13	0	0	0	material.300:10	10000	0	0	user.salary:-6000	0	0
80104	1	0	9999	1	9999	0	10	0	0	material.100:10	10000	position	31	user.salary:-500	0	0
80105	1	0	9999	1	9999	gameday.10	10	0	0	material.200:10	10000	position	27	user.salary:-500	0	0
80106	1	0	9999	1	9999	gameday.13	10	0	0	material.300:10	10000	position	23	user.salary:-500	0	0
80107	1	0	9999	1	9999	0	5	0	0	user.sky_book:500	10000	position	19	user.salary:-600	0	0
80108	1	0	9999	1	9999	0	5	0	0	material.100:10	10000	position	15	user.salary:-400	0	0
80109	1	0	9999	1	9999	gameday.10	5	0	0	material.200:10	10000	position	11	user.salary:-400	0	0
80110	1	0	9999	1	9999	gameday.13	5	0	0	material.300:10	10000	position	7	user.salary:-400	0	0
80111	1	0	9999	1	9999	0	1	0	0	user.sky_book:1000	10000	position	3	user.salary:-1200	0	0
80112	1	0	9999	1	9999	0	1	0	0	material.400:1	10000	position	2	user.salary:-10000	0	0
80113	1	0	9999	1	9999	0	1	0	0	skyweapon.6.1:7	10000	position	2	user.mixcash:-2000	0	0
80114	1	0	9999	1	9999	0	1	0	0	user.sky_book:1500	10000	position	1	user.salary:-1800	0	0
80115	1	0	9999	1	9999	0	1	0	0	material.401:1	10000	position	1	user.salary:-20000	0	0
80116	1	0	9999	1	9999	0	1	0	0	skywing.6.1:7	10000	position	1	user.mixcash:-2000	0	0
90101	1	0	9999	1	9999	0	0	0	0	group.20000003.0:1	10000	tower	50	user.rune_crystal:-100	0	0
90102	1	0	9999	1	9999	0	0	0	0	group.20000004.0:1	10000	tower	100	user.rune_crystal:-500	0	0
90103	1	0	9999	1	9999	0	0	0	0	user.rune_crystal2:1	10000	tower	200	user.rune_crystal:-1000	0	0
90104	1	0	9999	1	9999	0	0	0	0	group.20000005.0:1	10000	tower	200	user.rune_crystal2:-10,user.rune_crystal:-1500	0	0
90105	1	0	9999	1	9999	tower.250	0	0	0	group.20000006.0:1	10000	tower	250	user.rune_crystal2:-50,user.rune_crystal:-2500	0	0
90106	1	0	9999	1	9999	tower.300	0	0	0	group.20000007.0:1	10000	tower	300	user.rune_crystal2:-400	0	0
