模型ID	资源路径	模型	头像图片	全身像图片	战斗模型缩放	受击特效缩放	buff特效缩放	战斗血条高度	界面显示Y轴偏移	受击特效挂载点上X	受击特效挂载点上Y	受击特效挂载点中X	受击特效挂载点中Y	受击特效挂载点下X	受击特效挂载点下Y	音效1	死亡音效
5017	animation	judunshouwei	judunshouwei.png	caocao.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5018	animation	yinyuesheshou	yinyuesheshou.png	zhouyu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5019	animation	mofaqishi	mofaqishi.png	lvbu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5020	animation	shoumuren	shoumuren.png	zuoci.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5021	animation	zhengyizhizi	zhengyizhizi.png	caocao.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5022	animation	guguaiwushi	guguaiwushi.png	zhouyu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5023	animation	shijiuqishi	shijiuqishi.png	lvbu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5024	animation	jinglingyouxia	jinglingyouxia.png	zuoci.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5025	animation	chaoxizhizai	chaoxizhizai.png	lvbu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5026	animation	haiyangzhiling	haiyangzhiling.png	zuoci.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5027	animation	siwangdadi	siwangdadi.png	caocao.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5028	animation	xunlongnvwu	xunlongluoli.png	zhouyu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
9000	animation	npc_dazhangyu	default.png	dragon_icon.png	100	100	100	110	0	0	60	0	30	0	0	0	0
200001	animation	playerskill_heilong	dragon_10.png	zuoci.png	100	100	100	100	0	0	80	0	50	0	20	0	0
10000	animation	nan_ma	nan1.png	zhugong.png	35	35	35	80	0	0	80	0	40	0	0	0	0
10001	animation	nan_zhanlang	nan1.png	zhugong.png	35	35	35	80	0	0	80	0	40	0	0	0	0
10002	animation	nan_zhanshi	nan1.png	zhugong.png	35	35	35	80	0	0	80	0	40	0	0	0	0
10003	animation	nan_gulong	nan1.png	zhugong.png	35	35	35	80	0	0	80	0	40	0	0	0	0
10004	animation	nan_jinlong	nan1.png	zhugong.png	35	35	35	80	0	0	80	0	40	0	0	0	0
10005	animation	nan_juebanfeixinggulong	nan1.png	zhugong.png	35	35	35	80	0	0	80	0	40	0	0	0	0
10006	animation	nan_tieqi	nan1.png	zhugong.png	35	35	35	80	0	0	80	0	40	0	0	0	0
10007	animation	nan_heilianyang	nan1.png	zhugong.png	35	35	35	80	0	0	80	0	40	0	0	0	0
10008	animation	nan_huoyanma	nan1.png	zhugong.png	35	35	35	80	0	0	80	0	40	0	0	0	0
10009	animation	nan_heilong	nan1.png	zhugong.png	35	35	35	80	0	0	80	0	40	0	0	0	0
10010	animation	nan_silingma	nan1.png	zhugong.png	35	35	35	80	0	0	80	0	40	0	0	0	0
10011	animation	nan_feixinggulong	nan1.png	zhugong.png	35	35	35	80	0	0	80	0	40	0	0	0	0
15101	animation	bubing_1	default.png	bubing1.png	65	20	20	30	0	0	25	0	13	0	0	0	0
15102	animation	bubing_2	default.png	bubing2.png	65	20	20	30	0	0	25	0	13	0	0	0	0
15103	animation	bubing_3	default.png	bubing3.png	65	20	20	30	0	0	25	0	13	0	0	0	0
15104	animation	bubing_4	default.png	bubing4.png	65	20	20	30	0	0	25	0	13	0	0	0	0
15105	animation	bubing_5	default.png	bubing5.png	65	20	20	30	0	0	25	0	13	0	0	0	0
15201	animation	gongbing_1	default.png	gongbing1.png	65	20	20	30	0	0	25	0	13	0	0	0	0
15202	animation	gongbing_2	default.png	gongbing2.png	65	20	20	30	0	0	25	0	13	0	0	0	0
15203	animation	gongbing_3	default.png	gongbing3.png	65	20	20	30	0	0	25	0	13	0	0	0	0
15204	animation	gongbing_4	default.png	gongbing4.png	65	20	20	30	0	0	25	0	13	0	0	0	0
15205	animation	gongbing_5	default.png	gongbing5.png	65	20	20	30	0	0	25	0	13	0	0	0	0
15301	animation	qibing_1	default.png	qibing1.png	65	20	20	30	0	0	25	0	13	0	0	0	0
15302	animation	qibing_2	default.png	qibing2.png	65	20	20	30	0	0	25	0	13	0	0	0	0
15303	animation	qibing_3	default.png	qibing3.png	65	20	20	30	0	0	25	0	13	0	0	0	0
15304	animation	qibing_4	default.png	qibing4.png	65	20	20	30	0	0	25	0	13	0	0	0	0
15305	animation	qibing_5	default.png	qibing5.png	65	20	20	30	0	0	25	0	13	0	0	0	0
16001	animation	summon_playerskill_xunlongbaobao	default.png	qibing1.png	50	50	50	60	0	0	60	0	25	0	0	0	0
17001	animation	summon_yezhuqishi	default.png	qibing3.png	40	40	35	30	0	0	40	0	0	0	0	0	0
17002	animation	summon_rongyanguai	default.png	qibing3.png	50	50	50	60	0	0	60	0	0	0	0	0	0
17003	animation	summon_diyuhuo	default.png	qibing3.png	70	70	70	100	0	0	120	0	0	0	0	0	0
17004	animation	summon_shebang	default.png	qibing4.png	25	25	25	30	0	0	60	0	0	0	0	0	0
17006	animation	summon_kuloubing	default.png	qibing4.png	25	25	25	30	0	0	60	0	0	0	0	0	0
19999	animation	invisible_summon	default.png	qibing5.png	70	100	100	30	0	0	0	0	0	0	0	0	0
