技能Id	技能名称	技能说明	注释	技能类型	触发释放条件	目标选择时间类型	范围选择类型	直接选择目标类型	范围选择中心点类型	范围选择目标类型	目标偏移	是否显示范围	范围选择目标最大个数	扇形角度	圆形和扇形范围半径	矩形范围X1	矩形范围X2	矩形范围Y1	矩形范围Y2	施法动作	子弹Id	子弹延迟发射（ms）	子弹数量	子弹间隔时间毫秒	子弹发射类型	技能冒字	全屏头像	技能释放音效	技能受击音效	技能特效Id	技能特效Id2	受击特效	受击特效挂载点位置	受击特效渲染层级	特效循环次数	效果产生次数	效果产生延迟时间	效果产生间隔	效果类型(0没有效果，1普通效果，2真实伤害)	屏幕震动时间毫秒(只支持近战或者bulletType为2的技能)	震动强度横向	震动强度纵向	效果类型（1伤害，2加血）	是否显示数字	伤害类型（按武将类型，0物理，1魔法）	是否无视闪避	无视护甲万分比	无视技防万分比	附加暴击率万分比	附加吸血万分比	附加吸血固定值	抽怒万分比	消怒万分比	额外伤害类型	额外伤害值	伤害系数	召唤物ID	召唤物数量	召唤物死亡类型	存在时间（毫秒）	攻击次数	被攻击次数	召唤位置(1攻击者，2受攻击者，3技能的目标点)	召唤物出生相对位置1前方2后方	产生的buff	BUFF生效几率（万分比）	BUFF持续时间（毫秒）	施放者BUFF	释放者BUFF生效几率（万分比）	释放者BUFF持续时间（毫秒）	驱散效果(1驱散负面，2驱散正面，3驱散所有)	特殊处理	特殊脚本	脚本参数	技能喊话图片	技能icon	技能描述	技能参数	对比描述
52	0	学院英雄用攻击（野猪骑士）1级	学院英雄用攻击（野猪骑士）	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	attack	0	0	0	0	2	0	0	0	media/effect/qibing_atk_01.mp3	0	0	0	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	0	0	0
53	0	学院英雄用攻击（小萝莉）1级	学院英雄用攻击（小萝莉）	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	attack	40040000	0	1	0	1	0	0	0	media/effect/gongbing_atk_01.mp3	0	0	0	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	0	0	0
200	0	弓兵通用普攻（弓箭）1级	弓兵通用普攻（弓箭）	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	attack	201	0	1	0	1	0	0	0	media/effect/gongbing_atk_01.mp3	0	0	0	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	0	0	0
201	0	弓兵通用普攻（弓箭）1级	弓兵通用普攻（弓箭）	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	attack	201	0	1	0	1	0	0	0	media/effect/gongbing_atk_01.mp3	0	0	0	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	0	0	0
202	0	弓兵通用普攻（弓箭）1级	弓兵通用普攻（弓箭）	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	attack	202	0	1	0	1	0	0	0	media/effect/gongbing_atk_01.mp3	0	0	0	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	0	0	0
203	0	弓兵通用普攻（弓箭）1级	弓兵通用普攻（弓箭）	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	attack	203	0	1	0	1	0	0	0	media/effect/gongbing_atk_01.mp3	0	0	0	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	0	0	0
204	0	弓兵通用普攻（弓箭）1级	弓兵通用普攻（弓箭）	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	attack	204	0	1	0	1	0	0	0	media/effect/gongbing_atk_01.mp3	0	0	0	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	0	0	0
205	0	弓兵通用普攻（弓箭）1级	弓兵通用普攻（弓箭）	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	attack	204	0	1	0	1	0	0	0	media/effect/gongbing_atk_01.mp3	0	0	0	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	0	0	0
206	0	弓兵通用普攻（弓箭）1级	弓兵通用普攻（弓箭）	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	attack	205	0	1	0	1	0	0	0	media/effect/gongbing_atk_01.mp3	0	0	0	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	0	0	0
77101	0	普攻1级	提纲龙BOSS	1	0	2	1	60	0	0	0	0	7	0	0	0	0	0	0	attack	888	0	1	0	1	0	0	0	0	0	0	hit_hlboss_00	2	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	0	0	0
77201	text_skill_200001_name_1	龙炎火雨1级	提纲龙BOSS	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	4950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
77202	text_skill_200001_name_1	龙炎火雨2级	提纲龙BOSS	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	5311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
77203	text_skill_200001_name_1	龙炎火雨3级	提纲龙BOSS	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	5672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
77204	text_skill_200001_name_1	龙炎火雨4级	提纲龙BOSS	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	6033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
77205	text_skill_200001_name_1	龙炎火雨5级	提纲龙BOSS	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	6394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
77206	text_skill_200001_name_1	龙炎火雨6级	提纲龙BOSS	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	6755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
77207	text_skill_200001_name_1	龙炎火雨7级	提纲龙BOSS	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	7116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
77208	text_skill_200001_name_1	龙炎火雨8级	提纲龙BOSS	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	7477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
77209	text_skill_200001_name_1	龙炎火雨9级	提纲龙BOSS	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	7838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
77210	text_skill_200001_name_1	龙炎火雨10级	提纲龙BOSS	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	8199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
77211	text_skill_200001_name_1	龙炎火雨11级	提纲龙BOSS	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	8560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
77212	text_skill_200001_name_1	龙炎火雨12级	提纲龙BOSS	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	8921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
77213	text_skill_200001_name_1	龙炎火雨13级	提纲龙BOSS	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	9282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
77214	text_skill_200001_name_1	龙炎火雨14级	提纲龙BOSS	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	9643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
77215	text_skill_200001_name_1	龙炎火雨15级	提纲龙BOSS	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	10004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
77301	text_skill_200001_name_2	龙崖1级	提纲龙BOSS	1	0	2	1	60	0	0	0	0	7	0	0	0	0	0	0	skill2	0	0	0	0	2	0	0	0	0	0	0	skill_hlboss_01	3	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	200	1000	59400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	text_skill_200001_desc_2_0	0	0
77302	text_skill_200001_name_2	龙崖2级	提纲龙BOSS	1	0	2	1	60	0	0	0	0	7	0	0	0	0	0	0	skill2	0	0	0	0	2	0	0	0	0	0	0	skill_hlboss_01	3	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	200	1000	61586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	text_skill_200001_desc_2_0	0	0
77303	text_skill_200001_name_2	龙崖3级	提纲龙BOSS	1	0	2	1	60	0	0	0	0	7	0	0	0	0	0	0	skill2	0	0	0	0	2	0	0	0	0	0	0	skill_hlboss_01	3	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	200	1000	63772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	text_skill_200001_desc_2_0	0	0
77304	text_skill_200001_name_2	龙崖4级	提纲龙BOSS	1	0	2	1	60	0	0	0	0	7	0	0	0	0	0	0	skill2	0	0	0	0	2	0	0	0	0	0	0	skill_hlboss_01	3	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	200	1000	65958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	text_skill_200001_desc_2_0	0	0
77305	text_skill_200001_name_2	龙崖5级	提纲龙BOSS	1	0	2	1	60	0	0	0	0	7	0	0	0	0	0	0	skill2	0	0	0	0	2	0	0	0	0	0	0	skill_hlboss_01	3	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	200	1000	68144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	text_skill_200001_desc_2_0	0	0
77306	text_skill_200001_name_2	龙崖6级	提纲龙BOSS	1	0	2	1	60	0	0	0	0	7	0	0	0	0	0	0	skill2	0	0	0	0	2	0	0	0	0	0	0	skill_hlboss_01	3	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	200	1000	70330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	text_skill_200001_desc_2_0	0	0
77307	text_skill_200001_name_2	龙崖7级	提纲龙BOSS	1	0	2	1	60	0	0	0	0	7	0	0	0	0	0	0	skill2	0	0	0	0	2	0	0	0	0	0	0	skill_hlboss_01	3	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	200	1000	72516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	text_skill_200001_desc_2_0	0	0
77308	text_skill_200001_name_2	龙崖8级	提纲龙BOSS	1	0	2	1	60	0	0	0	0	7	0	0	0	0	0	0	skill2	0	0	0	0	2	0	0	0	0	0	0	skill_hlboss_01	3	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	200	1000	74702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	text_skill_200001_desc_2_0	0	0
77309	text_skill_200001_name_2	龙崖9级	提纲龙BOSS	1	0	2	1	60	0	0	0	0	7	0	0	0	0	0	0	skill2	0	0	0	0	2	0	0	0	0	0	0	skill_hlboss_01	3	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	200	1000	76888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	text_skill_200001_desc_2_0	0	0
77310	text_skill_200001_name_2	龙崖10级	提纲龙BOSS	1	0	2	1	60	0	0	0	0	7	0	0	0	0	0	0	skill2	0	0	0	0	2	0	0	0	0	0	0	skill_hlboss_01	3	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	200	1000	79074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	text_skill_200001_desc_2_0	0	0
77311	text_skill_200001_name_2	龙崖11级	提纲龙BOSS	1	0	2	1	60	0	0	0	0	7	0	0	0	0	0	0	skill2	0	0	0	0	2	0	0	0	0	0	0	skill_hlboss_01	3	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	200	1000	81260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	text_skill_200001_desc_2_0	0	0
77312	text_skill_200001_name_2	龙崖12级	提纲龙BOSS	1	0	2	1	60	0	0	0	0	7	0	0	0	0	0	0	skill2	0	0	0	0	2	0	0	0	0	0	0	skill_hlboss_01	3	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	200	1000	83446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	text_skill_200001_desc_2_0	0	0
77313	text_skill_200001_name_2	龙崖13级	提纲龙BOSS	1	0	2	1	60	0	0	0	0	7	0	0	0	0	0	0	skill2	0	0	0	0	2	0	0	0	0	0	0	skill_hlboss_01	3	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	200	1000	85632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	text_skill_200001_desc_2_0	0	0
77314	text_skill_200001_name_2	龙崖14级	提纲龙BOSS	1	0	2	1	60	0	0	0	0	7	0	0	0	0	0	0	skill2	0	0	0	0	2	0	0	0	0	0	0	skill_hlboss_01	3	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	200	1000	87818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	text_skill_200001_desc_2_0	0	0
77315	text_skill_200001_name_2	龙崖15级	提纲龙BOSS	1	0	2	1	60	0	0	0	0	7	0	0	0	0	0	0	skill2	0	0	0	0	2	0	0	0	0	0	0	skill_hlboss_01	3	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	200	1000	90004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	text_skill_200001_desc_2_0	0	0
88101	0	普攻1级	军团龙boss	1	0	2	1	60	0	0	0	0	7	0	0	0	0	0	0	attack	888	0	1	0	1	0	0	0	0	0	0	hit_hlboss_00	2	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	0	0	0
88201	text_skill_200001_name_1	龙炎火雨1级	军团龙boss	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	4950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
88202	text_skill_200001_name_1	龙炎火雨2级	军团龙boss	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	5311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
88203	text_skill_200001_name_1	龙炎火雨3级	军团龙boss	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	5672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
88204	text_skill_200001_name_1	龙炎火雨4级	军团龙boss	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	6033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
88205	text_skill_200001_name_1	龙炎火雨5级	军团龙boss	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	6394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
88206	text_skill_200001_name_1	龙炎火雨6级	军团龙boss	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	6755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
88207	text_skill_200001_name_1	龙炎火雨7级	军团龙boss	1	0	2	2	0	2	3	0	0	999	0	0	-1140	1140	-768	768	skill1	0	0	0	0	2	0	0	0	0	888	0	0	0	0	0	4	300	1000	1	3000	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	7116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1.png	text_skill_200001_desc_1_0	0	0
