编号	名称	类别	资源类别	品质	颜色方案	星级	兵种角标	特效方案	背包类型	背包页签	排序	使用方式	使用类型	子类型	展示类型	使用效果	功能	合成、使用等级限制	合成生成道具	合成数量	使用、合成消耗	使用消耗1	是否可出售	出售价格	图标	描述	前往查看	是否显示加号	获取途径	商店快速购买索引
100	text_materialsNameId_100	material	material	5	5	0	0	0	item	normal	1900	0	0	0	0	0		1	0	0	0	0	0	0	weapstone.png	text_materialsDescId_100	0	shop:101:3:1	10101|10801	0
101	text_materialsNameId_101	limitmat	material	4	4	0	0	0	item	normal	1900	0	0	0	0	0		1	0	0	0	0	0	0	weapstone1.png	text_materialsDescId_101	0	0	10101|10801	0
102	text_materialsNameId_102	limitmat	material	4	4	0	0	0	item	normal	1900	0	0	0	0	0		1	0	0	0	0	0	0	weapstone2.png	text_materialsDescId_102	0	0	10101|10801	0
103	text_materialsNameId_103	limitmat	material	4	4	0	0	0	item	normal	1900	0	0	0	0	0		1	0	0	0	0	0	0	weapstone3.png	text_materialsDescId_103	0	0	10101|10801	0
104	text_materialsNameId_104	limitmat	material	4	4	0	0	0	item	normal	1900	0	0	0	0	0		1	0	0	0	0	0	0	weapstone4.png	text_materialsDescId_104	0	0	10101|10801	0
105	text_materialsNameId_105	limitmat	material	4	4	0	0	0	item	normal	1900	0	0	0	0	0		1	0	0	0	0	0	0	weapstone5.png	text_materialsDescId_105	0	0	10101|10801	0
106	text_materialsNameId_106	limitmat	material	4	4	0	0	0	item	normal	1900	0	0	0	0	0		1	0	0	0	0	0	0	weapstone6.png	text_materialsDescId_106	0	0	10101|10801	0
107	text_materialsNameId_107	limitmat	material	4	4	0	0	0	item	normal	1900	0	0	0	0	0		1	0	0	0	0	0	0	weapstone7.png	text_materialsDescId_107	0	0	10101|10801	0
108	text_materialsNameId_108	limitmat	material	4	4	0	0	0	item	normal	1900	0	0	0	0	0		1	0	0	0	0	0	0	weapstone8.png	text_materialsDescId_108	0	0	10101|10801	0
109	text_materialsNameId_109	limitmat	material	4	4	0	0	0	item	normal	1900	0	0	0	0	0		1	0	0	0	0	0	0	weapstone9.png	text_materialsDescId_109	0	0	10101|10801	0
110	text_materialsNameId_110	limitmat	material	4	4	0	0	0	item	normal	1900	0	0	0	0	0		1	0	0	0	0	0	0	weapstone10.png	text_materialsDescId_110	0	0	10101|10801	0
200	text_materialsNameId_200	material	material	5	5	0	0	0	item	normal	1910	0	0	0	0	0		1	0	0	0	0	0	0	wingstone.png	text_materialsDescId_200	0	shop:101:3:2	10101|10801	0
201	text_materialsNameId_201	limitmat	material	4	4	0	0	0	item	normal	1910	0	0	0	0	0		1	0	0	0	0	0	0	wingstone1.png	text_materialsDescId_201	0	0	10101|10801	0
202	text_materialsNameId_202	limitmat	material	4	4	0	0	0	item	normal	1910	0	0	0	0	0		1	0	0	0	0	0	0	wingstone2.png	text_materialsDescId_202	0	0	10101|10801	0
203	text_materialsNameId_203	limitmat	material	4	4	0	0	0	item	normal	1910	0	0	0	0	0		1	0	0	0	0	0	0	wingstone3.png	text_materialsDescId_203	0	0	10101|10801	0
204	text_materialsNameId_204	limitmat	material	4	4	0	0	0	item	normal	1910	0	0	0	0	0		1	0	0	0	0	0	0	wingstone4.png	text_materialsDescId_204	0	0	10101|10801	0
205	text_materialsNameId_205	limitmat	material	4	4	0	0	0	item	normal	1910	0	0	0	0	0		1	0	0	0	0	0	0	wingstone5.png	text_materialsDescId_205	0	0	10101|10801	0
206	text_materialsNameId_206	limitmat	material	4	4	0	0	0	item	normal	1910	0	0	0	0	0		1	0	0	0	0	0	0	wingstone6.png	text_materialsDescId_206	0	0	10101|10801	0
207	text_materialsNameId_207	limitmat	material	4	4	0	0	0	item	normal	1910	0	0	0	0	0		1	0	0	0	0	0	0	wingstone7.png	text_materialsDescId_207	0	0	10101|10801	0
208	text_materialsNameId_208	limitmat	material	4	4	0	0	0	item	normal	1910	0	0	0	0	0		1	0	0	0	0	0	0	wingstone8.png	text_materialsDescId_208	0	0	10101|10801	0
209	text_materialsNameId_209	limitmat	material	4	4	0	0	0	item	normal	1910	0	0	0	0	0		1	0	0	0	0	0	0	wingstone9.png	text_materialsDescId_209	0	0	10101|10801	0
210	text_materialsNameId_210	limitmat	material	4	4	0	0	0	item	normal	1910	0	0	0	0	0		1	0	0	0	0	0	0	wingstone10.png	text_materialsDescId_210	0	0	10101|10801	0
300	text_materialsNameId_300	material	material	5	5	0	0	0	item	normal	1920	0	0	0	0	0		1	0	0	0	0	0	0	mountstone.png	text_materialsDescId_300	0	shop:101:3:3	10101|10801	0
301	text_materialsNameId_301	limitmat	material	4	4	0	0	0	item	normal	1920	0	0	0	0	0		1	0	0	0	0	0	0	mountstone1.png	text_materialsDescId_301	0	0	10101|10801	0
302	text_materialsNameId_302	limitmat	material	4	4	0	0	0	item	normal	1920	0	0	0	0	0		1	0	0	0	0	0	0	mountstone2.png	text_materialsDescId_302	0	0	10101|10801	0
303	text_materialsNameId_303	limitmat	material	4	4	0	0	0	item	normal	1920	0	0	0	0	0		1	0	0	0	0	0	0	mountstone3.png	text_materialsDescId_303	0	0	10101|10801	0
304	text_materialsNameId_304	limitmat	material	4	4	0	0	0	item	normal	1920	0	0	0	0	0		1	0	0	0	0	0	0	mountstone4.png	text_materialsDescId_304	0	0	10101|10801	0
305	text_materialsNameId_305	limitmat	material	4	4	0	0	0	item	normal	1920	0	0	0	0	0		1	0	0	0	0	0	0	mountstone5.png	text_materialsDescId_305	0	0	10101|10801	0
306	text_materialsNameId_306	limitmat	material	4	4	0	0	0	item	normal	1920	0	0	0	0	0		1	0	0	0	0	0	0	mountstone6.png	text_materialsDescId_306	0	0	10101|10801	0
307	text_materialsNameId_307	limitmat	material	4	4	0	0	0	item	normal	1920	0	0	0	0	0		1	0	0	0	0	0	0	mountstone7.png	text_materialsDescId_307	0	0	10101|10801	0
308	text_materialsNameId_308	limitmat	material	4	4	0	0	0	item	normal	1920	0	0	0	0	0		1	0	0	0	0	0	0	mountstone8.png	text_materialsDescId_308	0	0	10101|10801	0
309	text_materialsNameId_309	limitmat	material	4	4	0	0	0	item	normal	1920	0	0	0	0	0		1	0	0	0	0	0	0	mountstone9.png	text_materialsDescId_309	0	0	10101|10801	0
310	text_materialsNameId_310	limitmat	material	4	4	0	0	0	item	normal	1920	0	0	0	0	0		1	0	0	0	0	0	0	mountstone10.png	text_materialsDescId_310	0	0	10101|10801	0
400	text_materialsNameId_400	material	material	6	6	0	0	16	item	normal	1930	0	0	0	0	0		1	0	0	0	0	0	0	moonstone.png	text_materialsDescId_400	0	0	10801	0
401	text_materialsNameId_401	material	material	7	7	0	0	17	item	normal	1930	0	0	0	0	0		1	0	0	0	0	0	0	sunstone.png	text_materialsDescId_401	0	0	10801	0
930	text_materialsNameId_930	material	material	4	4	3	0	0	item	fragment	900	2	0	0	0	0		1	group.10000009.0:1	20	0	0	0	0	hero4.png	text_materialsDescId_930	0	0	400|603	0
940	text_materialsNameId_940	material	material	5	5	4	0	15	item	fragment	900	2	0	0	0	0		1	group.10000012.0:1	40	0	0	0	0	hero5.png	text_materialsDescId_940	0	0	400|603	0
950	text_materialsNameId_950	material	material	6	6	5	0	16	item	fragment	900	2	0	0	0	0		1	group.10000013.0:1	60	0	0	0	0	hero6.png	text_materialsDescId_950	0	0	400|603|10101	0
1001	text_materialsNameId_1001	fragment	hero	4	4	1	0	0	0	0	0	1	0	0	0	1001		1	0	20	0	0	0	0	lvyijianshi.png	text_materialsDescId_1001	0	0	400|10201|603	0
1002	text_materialsNameId_1002	fragment	hero	4	4	1	0	0	0	0	0	1	0	0	0	1002		1	0	20	0	0	0	0	xiaoluoli.png	text_materialsDescId_1002	0	0	400|10201|603	0
2001	text_materialsNameId_2001	fragment	hero	4	4	2	0	0	0	0	0	1	0	0	0	2001		1	0	20	0	0	0	0	yezhuqishi.png	text_materialsDescId_2001	0	0	400|10201|603	0
2002	text_materialsNameId_2002	fragment	hero	4	4	2	0	0	0	0	0	1	0	0	0	2002		1	0	20	0	0	0	0	fengyuzhe.png	text_materialsDescId_2002	0	0	400|10201|603	0
3001	text_materialsNameId_3001	fragment	hero	4	4	3	0	0	0	0	0	1	0	0	0	3001		1	0	20	0	0	0	0	xuefuzhanshi.png	text_materialsDescId_3001	0	0	400|10201|603	0
3002	text_materialsNameId_3002	fragment	hero	4	4	3	0	0	0	0	0	1	0	0	0	3002		1	0	20	0	0	0	0	luolifashi.png	text_materialsDescId_3002	0	0	400|10201|603	0
4003	text_materialsNameId_5003	fragment	hero	5	5	4	0	15	0	0	0	1	0	0	0	4003		1	0	40	0	0	0	0	juchuiairen.png	text_materialsDescId_5003	0	0	400|10201|603	0
4004	text_materialsNameId_5004	fragment	hero	5	5	4	0	15	0	0	0	1	0	0	0	4004		1	0	40	0	0	0	0	huopaodashi.png	text_materialsDescId_5004	0	0	400|10201|603	0
4007	text_materialsNameId_5007	fragment	hero	5	5	4	0	15	0	0	0	1	0	0	0	4007		1	0	40	0	0	0	0	shengguangqishi.png	text_materialsDescId_5007	0	0	400|10201|603	0
4008	text_materialsNameId_5008	fragment	hero	5	5	4	0	15	0	0	0	1	0	0	0	4008		1	0	40	0	0	0	0	guangmingshengnv.png	text_materialsDescId_5008	0	0	400|10201|603	0
4011	text_materialsNameId_5011	fragment	hero	5	5	4	0	15	0	0	0	1	0	0	0	4011		1	0	40	0	0	0	0	haidaotufu.png	text_materialsDescId_5011	0	0	400|10201|603	0
4012	text_materialsNameId_5012	fragment	hero	5	5	4	0	15	0	0	0	1	0	0	0	4012		1	0	40	0	0	0	0	huangjiayuchu.png	text_materialsDescId_5012	0	0	400|10201|603	0
4013	text_materialsNameId_5013	fragment	hero	5	5	4	0	15	0	0	0	1	0	0	0	4013		1	0	40	0	0	0	0	falao.png	text_materialsDescId_5013	0	0	400|10201|603	0
4014	text_materialsNameId_5014	fragment	hero	5	5	4	0	15	0	0	0	1	0	0	0	4014		1	0	40	0	0	0	0	yanhou.png	text_materialsDescId_5014	0	0	400|10201|603	0
4017	text_materialsNameId_5017	fragment	hero	5	5	4	0	15	0	0	0	1	0	0	0	4017		1	0	40	0	0	0	0	judunshouwei.png	text_materialsDescId_5017	0	0	400|10201|603	0
4018	text_materialsNameId_5018	fragment	hero	5	5	4	0	15	0	0	0	1	0	0	0	4018		1	0	40	0	0	0	0	yinyuesheshou.png	text_materialsDescId_5018	0	0	400|10201|603	0
4019	text_materialsNameId_5019	fragment	hero	5	5	4	0	15	0	0	0	1	0	0	0	4019		1	0	40	0	0	0	0	mofaqishi.png	text_materialsDescId_5019	0	0	400|10201|603	0
4020	text_materialsNameId_5020	fragment	hero	5	5	4	0	15	0	0	0	1	0	0	0	4020		1	0	40	0	0	0	0	shoumuren.png	text_materialsDescId_5020	0	0	400|10201|603	0
5001	text_materialsNameId_5001	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5001		1	0	60	0	0	0	0	senyuguowang.png	text_materialsDescId_5001	0	0	400|10201|603	0
5002	text_materialsNameId_5002	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5002		1	0	60	0	0	0	0	senyumonv.png	text_materialsDescId_5002	0	0	400|10201|603	0
5003	text_materialsNameId_5003	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5003		1	0	60	0	0	0	0	juchuiairen.png	text_materialsDescId_5003	0	0	400|10201|603	0
5004	text_materialsNameId_5004	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5004		1	0	60	0	0	0	0	huopaodashi.png	text_materialsDescId_5004	0	0	400|10201|603	0
5005	text_materialsNameId_5005	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5005		1	0	60	0	0	0	0	najianvwang.png	text_materialsDescId_5005	0	0	400|10201|603	0
5006	text_materialsNameId_5006	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5006		1	0	60	0	0	0	0	meidusha.png	text_materialsDescId_5006	0	0	400|10201|603	0
5007	text_materialsNameId_5007	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5007		1	0	60	0	0	0	0	shengguangqishi.png	text_materialsDescId_5007	0	0	400|10201|603	0
5008	text_materialsNameId_5008	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5008		1	0	60	0	0	0	0	guangmingshengnv.png	text_materialsDescId_5008	0	0	400|10201|603	0
5009	text_materialsNameId_5009	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5009		1	0	60	0	0	0	0	zhandoufashi.png	text_materialsDescId_5009	0	0	400|10201|603	0
5010	text_materialsNameId_5010	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5010		1	0	60	0	0	0	0	heianshengnv.png	text_materialsDescId_5010	0	0	400|10201|603	0
5011	text_materialsNameId_5011	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5011		1	0	60	0	0	0	0	haidaotufu.png	text_materialsDescId_5011	0	0	400|10201|603	0
5012	text_materialsNameId_5012	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5012		1	0	60	0	0	0	0	huangjiayuchu.png	text_materialsDescId_5012	0	0	400|10201|603	0
5013	text_materialsNameId_5013	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5013		1	0	60	0	0	0	0	falao.png	text_materialsDescId_5013	0	0	400|10201|603	0
5014	text_materialsNameId_5014	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5014		1	0	60	0	0	0	0	yanhou.png	text_materialsDescId_5014	0	0	400|10201|603	0
5015	text_materialsNameId_5015	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5015		1	0	60	0	0	0	0	shengqishi.png	text_materialsDescId_5015	0	0	400|10201|603	0
5016	text_materialsNameId_5016	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5016		1	0	60	0	0	0	0	dafashi.png	text_materialsDescId_5016	0	0	400|10201|603	0
5017	text_materialsNameId_5017	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5017		1	0	60	0	0	0	0	judunshouwei.png	text_materialsDescId_5017	0	0	400|10201|603	0
5018	text_materialsNameId_5018	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5018		1	0	60	0	0	0	0	yinyuesheshou.png	text_materialsDescId_5018	0	0	400|10201|603	0
5019	text_materialsNameId_5019	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5019		1	0	60	0	0	0	0	mofaqishi.png	text_materialsDescId_5019	0	0	400|10201|603	0
5020	text_materialsNameId_5020	fragment	hero	6	6	5	0	16	0	0	0	1	0	0	0	5020		1	0	60	0	0	0	0	shoumuren.png	text_materialsDescId_5020	0	0	400|10201|603	0
5021	text_materialsNameId_5021	fragment	hero	7	7	5	0	17	0	0	0	1	0	0	0	5021		1	0	60	0	0	0	0	zhengyizhizi.png	text_materialsDescId_5021	0	0	400|10201|603	0
5022	text_materialsNameId_5022	fragment	hero	7	7	5	0	17	0	0	0	1	0	0	0	5022		1	0	60	0	0	0	0	guguaiwushi.png	text_materialsDescId_5022	0	0	400|10201|603	0
5023	text_materialsNameId_5023	fragment	hero	7	7	5	0	17	0	0	0	1	0	0	0	5023		1	0	60	0	0	0	0	shijiuqishi.png	text_materialsDescId_5023	0	0	400|10201|603	0
5024	text_materialsNameId_5024	fragment	hero	7	7	5	0	17	0	0	0	1	0	0	0	5024		1	0	60	0	0	0	0	jinglingyouxia.png	text_materialsDescId_5024	0	0	400|10201|603	0
5025	text_materialsNameId_5025	fragment	hero	7	7	5	0	17	0	0	0	1	0	0	0	5025		1	0	60	0	0	0	0	chaoxizhizai.png	text_materialsDescId_5025	0	0	400|10201|603	0
5026	text_materialsNameId_5026	fragment	hero	7	7	5	0	17	0	0	0	1	0	0	0	5026		1	0	60	0	0	0	0	haiyangzhiling.png	text_materialsDescId_5026	0	0	400|10201|603	0
5027	text_materialsNameId_5027	fragment	hero	7	7	5	0	17	0	0	0	1	0	0	0	5027		1	0	60	0	0	0	0	siwangdadi.png	text_materialsDescId_5027	0	0	400|10201|10401	0
5028	text_materialsNameId_5028	fragment	hero	7	7	5	0	17	0	0	0	1	0	0	0	5028		1	0	60	0	0	0	0	xunlongluoli.png	text_materialsDescId_5028	0	0	400|10201|10701	0
5029	text_materialsNameId_5029	fragment	hero	7	7	5	0	17	0	0	0	1	0	0	0	5029		1	0	60	0	0	0	0	sunjian.png	text_materialsDescId_5029	0	0	400|10201|603	0
5030	text_materialsNameId_5030	fragment	hero	7	7	5	0	17	0	0	0	1	0	0	0	5030		1	0	60	0	0	0	0	nanhualaoxian.png	text_materialsDescId_5030	0	0	400|10201|603	0
5031	text_materialsNameId_5031	fragment	hero	7	7	5	0	17	0	0	0	1	0	0	0	5031		1	0	60	0	0	0	0	machao.png	text_materialsDescId_5031	0	0	400|10201|10401	0
5032	text_materialsNameId_5032	fragment	hero	7	7	5	0	17	0	0	0	1	0	0	0	5032		1	0	60	0	0	0	0	luoshen.png	text_materialsDescId_5032	0	0	400|10201|10701	0
100001	text_materialsNameId_100001	material	material	2	2	0	0	0	item	box	3100	1	box	0	0	drop.100001:1		1	0	0	0	0	0	0	gem_bag_1.png	text_materialsDescId_100001	0	0	1301|1302|603	0
100002	text_materialsNameId_100002	material	material	4	4	0	0	0	item	box	3100	1	box	0	0	drop.100002:1		1	0	0	0	0	0	0	gem_bag_3.png	text_materialsDescId_100002	0	0	1301|1302|603	0
100003	text_materialsNameId_100003	material	material	5	5	0	0	15	item	box	3100	1	box	0	0	drop.100003:1		1	0	0	0	0	0	0	gem_5.png	text_materialsDescId_100003	0	0	0	0
100004	text_materialsNameId_100004	material	material	5	5	0	0	15	item	box	3100	1	box	0	0	drop.100004:1		1	0	0	0	0	0	0	gem_6.png	text_materialsDescId_100004	0	0	0	0
100005	text_materialsNameId_100005	material	material	6	6	0	0	16	item	box	3100	1	box	0	0	drop.100005:1		1	0	0	0	0	0	0	gem_7.png	text_materialsDescId_100005	0	0	0	0
100006	text_materialsNameId_100006	material	material	6	6	0	0	16	item	box	3100	1	box	0	0	drop.100006:1		1	0	0	0	0	0	0	gem_8.png	text_materialsDescId_100006	0	0	0	0
100007	text_materialsNameId_100007	material	material	6	6	0	0	16	item	box	3100	1	box	0	0	drop.100007:1		1	0	0	0	0	0	0	gem_9.png	text_materialsDescId_100007	0	0	0	0
100008	text_materialsNameId_100008	material	material	7	7	0	0	17	item	box	3100	1	box	0	0	drop.100008:1		1	0	0	0	0	0	0	gem_10.png	text_materialsDescId_100008	0	0	0	0
100009	text_materialsNameId_100009	material	material	7	7	0	0	17	item	box	3100	1	box	0	0	drop.100009:1		1	0	0	0	0	0	0	gem_11.png	text_materialsDescId_100009	0	0	0	0
100010	text_materialsNameId_100010	material	material	7	7	0	0	17	item	box	3100	1	box	0	0	drop.1000010:1		1	0	0	0	0	0	0	gem_12.png	text_materialsDescId_100010	0	0	0	0
100101	text_materialsNameId_100101	material	material	3	3	0	0	0	item	box	3200	1	box	0	0	material.3:100		1	0	0	0	0	0	0	ds_bag_1.png	text_materialsDescId_100101	0	0	0	0
100102	text_materialsNameId_100102	material	material	4	4	0	0	0	item	box	3200	1	box	0	0	material.3:300		1	0	0	0	0	0	0	ds_bag_2.png	text_materialsDescId_100102	0	0	0	0
100103	text_materialsNameId_100103	material	material	5	5	0	0	0	item	box	3200	1	box	0	0	material.3:500		1	0	0	0	0	0	0	ds_bag_3.png	text_materialsDescId_100103	0	0	0	0
100201	text_materialsNameId_100201	material	material	2	2	0	0	0	item	box	3000	1	gold	0	0	50000		1	0	0	0	0	0	0	gold_bag_1.png	text_materialsDescId_100201	0	0	0	0
100202	text_materialsNameId_100202	material	material	3	3	0	0	0	item	box	3000	1	gold	0	0	100000		1	0	0	0	0	0	0	gold_bag_2.png	text_materialsDescId_100202	0	0	0	0
100203	text_materialsNameId_100203	material	material	4	4	0	0	0	item	box	3000	1	gold	0	0	300000		1	0	0	0	0	0	0	gold_bag_3.png	text_materialsDescId_100203	0	0	0	0
100204	text_materialsNameId_100204	material	material	5	5	0	0	0	item	box	3000	1	gold	0	0	500000		1	0	0	0	0	0	0	gold_bag_4.png	text_materialsDescId_100204	0	0	0	0
100205	text_materialsNameId_100205	material	material	6	6	0	0	0	item	box	3000	1	gold	0	0	1000000		1	0	0	0	0	0	0	gold_bag_5.png	text_materialsDescId_100205	0	0	0	0
100206	text_materialsNameId_100206	material	material	7	7	0	0	17	item	box	3000	1	gold	0	0	2000000		1	0	0	0	0	0	0	gold_bag_6.png	text_materialsDescId_100206	0	0	0	0
100301	text_materialsNameId_100301	material	material	3	3	0	0	0	item	box	3300	1	soul	0	0	100		1	0	0	0	0	0	0	soul_bag_1.png	text_materialsDescId_100301	0	0	0	0
100302	text_materialsNameId_100302	material	material	4	4	0	0	0	item	box	3300	1	soul	0	0	300		1	0	0	0	0	0	0	soul_bag_2.png	text_materialsDescId_100302	0	0	0	0
100303	text_materialsNameId_100303	material	material	5	5	0	0	0	item	box	3300	1	soul	0	0	500		1	0	0	0	0	0	0	soul_bag_3.png	text_materialsDescId_100303	0	0	0	0
100401	text_materialsNameId_100401	material	material	5	5	0	0	15	item	box	3340	1	box	0	0	drop.100401:1		1	0	0	0	0	0	0	danbao5.png	text_materialsDescId_100401	0	0	0	0
100402	text_materialsNameId_100402	material	material	4	4	0	0	0	item	box	3340	1	box	0	0	drop.100402:1		1	0	0	0	0	0	0	danbao3.png	text_materialsDescId_100402	0	0	0	0
