模板ID	模型ID	英雄名称	职业类型(1-物理，2-法系)	阵营(1-魏，2-蜀，3-吴，4-群雄，5-主角)	定位(1-物攻，2-法攻，3-防御，4-辅助)	基础品质	基础星级	兵种类型(1-步兵，2-弓兵，3-骑兵)	射程类型(1-近战，2-远程)	体型大小	攻击发起距离	基础移动速度	基础攻击速度	基础怒气恢复速度	突破类型	天赋组ID	技能组ID	技能效果名称1	技能效果描述1	技能效果名称2	技能效果描述2
4009	5009	text_heroNameId_5009	1	4	1	5	4	3	1	45	40	129	1166	200	4	5009	500900	text_skill_5009_effectName1	text_skill_5009_effectDesc1	text_skill_5009_effectName2	text_skill_5009_effectDesc2
4010	5010	text_heroNameId_5010	2	4	2	5	4	2	2	45	300	72	1000	200	4	5010	501000	text_skill_5010_effectName1	text_skill_5010_effectDesc1	text_skill_5010_effectName2	text_skill_5010_effectDesc2
4011	5011	text_heroNameId_5011	1	3	1	5	4	1	1	45	40	72	1500	200	4	5011	501100	text_skill_5011_effectName1	text_skill_5011_effectDesc1	text_skill_5011_effectName2	text_skill_5011_effectDesc2
4012	5012	text_heroNameId_5012	1	4	1	5	4	3	1	45	40	129	1016	200	4	5012	501200	text_skill_5012_effectName1	text_skill_5012_effectDesc1	text_skill_5012_effectName2	text_skill_5012_effectDesc2
4013	5013	text_heroNameId_5013	2	3	2	5	4	2	2	45	300	72	1033	200	4	5013	501300	text_skill_5013_effectName1	text_skill_5013_effectDesc1	text_skill_5013_effectName2	text_skill_5013_effectDesc2
4014	5014	text_heroNameId_5014	2	4	2	5	4	2	2	45	300	72	916	200	4	5014	501400	text_skill_5014_effectName1	text_skill_5014_effectDesc1	text_skill_5014_effectName2	text_skill_5014_effectDesc2
4015	5015	text_heroNameId_5015	1	4	3	5	4	3	1	45	40	129	1166	200	4	5015	501500	text_skill_5015_effectName1	text_skill_5015_effectDesc1	text_skill_5015_effectName2	text_skill_5015_effectDesc2
4016	5016	text_heroNameId_5016	2	4	2	5	4	2	2	45	300	72	916	200	4	5016	501600	text_skill_5016_effectName1	text_skill_5016_effectDesc1	text_skill_5016_effectName2	text_skill_5016_effectDesc2
4017	5017	text_heroNameId_5017	1	1	3	5	4	1	1	45	40	72	1500	200	4	5017	501700	text_skill_5017_effectName1	text_skill_5017_effectDesc1	text_skill_5017_effectName2	text_skill_5017_effectDesc2
4018	5018	text_heroNameId_5018	2	4	2	5	4	2	2	45	300	72	1000	200	4	5018	501800	text_skill_5018_effectName1	text_skill_5018_effectDesc1	text_skill_5018_effectName2	text_skill_5018_effectDesc2
4019	5019	text_heroNameId_5019	1	4	1	5	4	3	1	45	40	129	666	200	4	5019	501900	text_skill_5019_effectName1	text_skill_5019_effectDesc1	text_skill_5019_effectName2	text_skill_5019_effectDesc2
4020	5020	text_heroNameId_5020	2	4	2	5	4	2	2	45	300	72	916	200	4	5020	502000	text_skill_5020_effectName1	text_skill_5020_effectDesc1	text_skill_5020_effectName2	text_skill_5020_effectDesc2
4021	5021	text_heroNameId_5021	1	1	1	5	4	1	1	45	40	72	833	200	4	5021	502100	text_skill_5021_effectName1	text_skill_5021_effectDesc1	text_skill_5021_effectName2	text_skill_5021_effectDesc2
4022	5022	text_heroNameId_5022	2	4	2	5	4	2	2	45	300	72	916	200	4	5022	502200	text_skill_5022_effectName1	text_skill_5022_effectDesc1	text_skill_5022_effectName2	text_skill_5022_effectDesc2
4023	5023	text_heroNameId_5023	1	4	1	5	4	3	1	45	40	129	1083	200	4	5023	502300	text_skill_5023_effectName1	text_skill_5023_effectDesc1	text_skill_5023_effectName2	text_skill_5023_effectDesc2
4024	5024	text_heroNameId_5024	2	4	2	5	4	2	2	45	300	72	1250	200	4	5024	502400	text_skill_5024_effectName1	text_skill_5024_effectDesc1	text_skill_5024_effectName2	text_skill_5024_effectDesc2
4025	5025	text_heroNameId_5025	1	4	1	5	4	3	1	45	40	129	1333	200	4	5025	502500	text_skill_5025_effectName1	text_skill_5025_effectDesc1	text_skill_5025_effectName2	text_skill_5025_effectDesc2
4026	5026	text_heroNameId_5026	2	4	2	5	4	2	2	45	300	72	1166	200	4	5026	502600	text_skill_5026_effectName1	text_skill_5026_effectDesc1	text_skill_5026_effectName2	text_skill_5026_effectDesc2
4027	5027	text_heroNameId_5027	1	1	1	5	4	1	1	45	40	72	1500	200	4	5027	502700	text_skill_5027_effectName1	text_skill_5027_effectDesc1	text_skill_5027_effectName2	text_skill_5027_effectDesc2
4028	5028	text_heroNameId_5028	2	4	2	5	4	2	2	45	300	72	916	200	4	5028	502800	text_skill_5028_effectName1	text_skill_5028_effectDesc1	text_skill_5028_effectName2	text_skill_5028_effectDesc2
5001	5001	text_heroNameId_5001	1	1	1	6	5	1	1	45	40	72	1333	200	5	5001	500100	text_skill_5001_effectName1	text_skill_5001_effectDesc1	text_skill_5001_effectName2	text_skill_5001_effectDesc2
5002	5002	text_heroNameId_5002	2	3	3	6	5	2	2	45	300	72	1083	200	5	5002	500200	text_skill_5002_effectName1	text_skill_5002_effectDesc1	text_skill_5002_effectName2	text_skill_5002_effectDesc2
5003	5003	text_heroNameId_5003	1	1	3	6	5	1	1	45	40	72	1500	200	5	5003	500300	text_skill_5003_effectName1	text_skill_5003_effectDesc1	text_skill_5003_effectName2	text_skill_5003_effectDesc2
5004	5004	text_heroNameId_5004	2	3	1	6	5	2	2	45	300	72	1250	200	5	5004	500400	text_skill_5004_effectName1	text_skill_5004_effectDesc1	text_skill_5004_effectName2	text_skill_5004_effectDesc2
5005	5005	text_heroNameId_5005	1	3	1	6	5	1	1	45	40	72	1166	200	5	5005	500500	text_skill_5005_effectName1	text_skill_5005_effectDesc1	text_skill_5005_effectName2	text_skill_5005_effectDesc2
5006	5006	text_heroNameId_5006	2	4	2	6	5	2	2	45	300	72	1000	200	5	5006	500600	text_skill_5006_effectName1	text_skill_5006_effectDesc1	text_skill_5006_effectName2	text_skill_5006_effectDesc2
5007	5007	text_heroNameId_5007	1	4	3	6	5	3	1	45	40	129	1083	200	5	5007	500700	text_skill_5007_effectName1	text_skill_5007_effectDesc1	text_skill_5007_effectName2	text_skill_5007_effectDesc2
5008	5008	text_heroNameId_5008	2	4	2	6	5	2	2	45	300	72	633	200	5	5008	500800	text_skill_5008_effectName1	text_skill_5008_effectDesc1	text_skill_5008_effectName2	text_skill_5008_effectDesc2
5009	5009	text_heroNameId_5009	1	4	1	6	5	3	1	45	40	129	1166	200	5	5009	500900	text_skill_5009_effectName1	text_skill_5009_effectDesc1	text_skill_5009_effectName2	text_skill_5009_effectDesc2
5010	5010	text_heroNameId_5010	2	4	2	6	5	2	2	45	300	72	1000	200	5	5010	501000	text_skill_5010_effectName1	text_skill_5010_effectDesc1	text_skill_5010_effectName2	text_skill_5010_effectDesc2
5011	5011	text_heroNameId_5011	1	3	1	6	5	1	1	45	40	72	1500	200	5	5011	501100	text_skill_5011_effectName1	text_skill_5011_effectDesc1	text_skill_5011_effectName2	text_skill_5011_effectDesc2
5012	5012	text_heroNameId_5012	1	4	1	6	5	3	1	45	40	129	1016	200	5	5012	501200	text_skill_5012_effectName1	text_skill_5012_effectDesc1	text_skill_5012_effectName2	text_skill_5012_effectDesc2
5013	5013	text_heroNameId_5013	2	3	2	6	5	2	2	45	300	72	1033	200	5	5013	501300	text_skill_5013_effectName1	text_skill_5013_effectDesc1	text_skill_5013_effectName2	text_skill_5013_effectDesc2
5014	5014	text_heroNameId_5014	2	4	2	6	5	2	2	45	300	72	916	200	5	5014	501400	text_skill_5014_effectName1	text_skill_5014_effectDesc1	text_skill_5014_effectName2	text_skill_5014_effectDesc2
5015	5015	text_heroNameId_5015	1	4	3	6	5	3	1	45	40	129	1166	200	5	5015	501500	text_skill_5015_effectName1	text_skill_5015_effectDesc1	text_skill_5015_effectName2	text_skill_5015_effectDesc2
5016	5016	text_heroNameId_5016	2	4	2	6	5	2	2	45	300	72	916	200	5	5016	501600	text_skill_5016_effectName1	text_skill_5016_effectDesc1	text_skill_5016_effectName2	text_skill_5016_effectDesc2
5017	5017	text_heroNameId_5017	1	1	3	6	5	1	1	45	40	72	1500	200	5	5017	501700	text_skill_5017_effectName1	text_skill_5017_effectDesc1	text_skill_5017_effectName2	text_skill_5017_effectDesc2
5018	5018	text_heroNameId_5018	2	4	2	6	5	2	2	45	300	72	1000	200	5	5018	501800	text_skill_5018_effectName1	text_skill_5018_effectDesc1	text_skill_5018_effectName2	text_skill_5018_effectDesc2
5019	5019	text_heroNameId_5019	1	4	1	6	5	3	1	45	40	129	666	200	5	5019	501900	text_skill_5019_effectName1	text_skill_5019_effectDesc1	text_skill_5019_effectName2	text_skill_5019_effectDesc2
5020	5020	text_heroNameId_5020	2	4	2	6	5	2	2	45	300	72	916	200	5	5020	502000	text_skill_5020_effectName1	text_skill_5020_effectDesc1	text_skill_5020_effectName2	text_skill_5020_effectDesc2
5021	5021	text_heroNameId_5021	1	1	1	7	5	1	1	45	40	72	833	200	5	5021	502100	text_skill_5021_effectName1	text_skill_5021_effectDesc1	text_skill_5021_effectName2	text_skill_5021_effectDesc2
5022	5022	text_heroNameId_5022	2	4	2	7	5	2	2	45	300	72	916	200	5	5022	502200	text_skill_5022_effectName1	text_skill_5022_effectDesc1	text_skill_5022_effectName2	text_skill_5022_effectDesc2
5023	5023	text_heroNameId_5023	1	4	1	7	5	3	1	45	40	129	1083	200	5	5023	502300	text_skill_5023_effectName1	text_skill_5023_effectDesc1	text_skill_5023_effectName2	text_skill_5023_effectDesc2
5024	5024	text_heroNameId_5024	2	4	2	7	5	2	2	45	300	72	1250	200	5	5024	502400	text_skill_5024_effectName1	text_skill_5024_effectDesc1	text_skill_5024_effectName2	text_skill_5024_effectDesc2
5025	5025	text_heroNameId_5025	1	4	1	7	5	3	1	45	40	129	1333	200	5	5025	502500	text_skill_5025_effectName1	text_skill_5025_effectDesc1	text_skill_5025_effectName2	text_skill_5025_effectDesc2
5026	5026	text_heroNameId_5026	2	4	2	7	5	2	2	45	300	72	1166	200	5	5026	502600	text_skill_5026_effectName1	text_skill_5026_effectDesc1	text_skill_5026_effectName2	text_skill_5026_effectDesc2
5027	5027	text_heroNameId_5027	1	1	1	7	5	1	1	45	40	72	1500	200	5	5027	502700	text_skill_5027_effectName1	text_skill_5027_effectDesc1	text_skill_5027_effectName2	text_skill_5027_effectDesc2
5028	5028	text_heroNameId_5028	2	4	2	7	5	2	2	45	300	72	916	200	5	5028	502800	text_skill_5028_effectName1	text_skill_5028_effectDesc1	text_skill_5028_effectName2	text_skill_5028_effectDesc2
5029	5029	text_heroNameId_5029	1	4	1	7	5	1	1	45	40	72	1583	200	5	5029	502900	text_skill_5029_effectName1	text_skill_5029_effectDesc1	text_skill_5029_effectName2	text_skill_5029_effectDesc2
5030	5030	text_heroNameId_5030	2	4	2	7	5	2	2	45	300	72	1583	200	5	5030	503000	text_skill_5030_effectName1	text_skill_5030_effectDesc1	text_skill_5030_effectName2	text_skill_5030_effectDesc2
5031	5031	text_heroNameId_5031	1	4	1	7	5	3	1	45	40	129	1633	200	5	5031	503100	text_skill_5031_effectName1	text_skill_5031_effectDesc1	text_skill_5031_effectName2	text_skill_5031_effectDesc2
5032	5032	text_heroNameId_5032	2	4	2	7	5	2	2	45	300	72	1583	200	5	5032	503200	text_skill_5032_effectName1	text_skill_5032_effectDesc1	text_skill_5032_effectName2	text_skill_5032_effectDesc2
6001	5001	text_heroNameId_5001	1	1	1	6	6	1	1	45	40	72	1333	200	6	5001	500101	text_skill_5001_effectName1	text_skill_5001_effectDesc1	text_skill_5001_effectName2	text_skill_5001_effectDesc2
6002	5002	text_heroNameId_5002	2	3	3	6	6	2	2	45	300	72	1083	200	6	5002	500201	text_skill_5002_effectName1	text_skill_5002_effectDesc1	text_skill_5002_effectName2	text_skill_5002_effectDesc2
6003	5003	text_heroNameId_5003	1	1	3	6	6	1	1	45	40	72	1500	200	6	5003	500301	text_skill_5003_effectName1	text_skill_5003_effectDesc1	text_skill_5003_effectName2	text_skill_5003_effectDesc2
6004	5004	text_heroNameId_5004	2	3	1	6	6	2	2	45	300	72	1250	200	6	5004	500401	text_skill_5004_effectName1	text_skill_5004_effectDesc1	text_skill_5004_effectName2	text_skill_5004_effectDesc2
6005	5005	text_heroNameId_5005	1	3	1	6	6	1	1	45	40	72	1166	200	6	5005	500501	text_skill_5005_effectName1	text_skill_5005_effectDesc1	text_skill_5005_effectName2	text_skill_5005_effectDesc2
6006	5006	text_heroNameId_5006	2	4	2	6	6	2	2	45	300	72	1000	200	6	5006	500601	text_skill_5006_effectName1	text_skill_5006_effectDesc1	text_skill_5006_effectName2	text_skill_5006_effectDesc2
6007	5007	text_heroNameId_5007	1	4	3	6	6	3	1	45	40	129	1083	200	6	5007	500701	text_skill_5007_effectName1	text_skill_5007_effectDesc1	text_skill_5007_effectName2	text_skill_5007_effectDesc2
6008	5008	text_heroNameId_5008	2	4	2	6	6	2	2	45	300	72	633	200	6	5008	500801	text_skill_5008_effectName1	text_skill_5008_effectDesc1	text_skill_5008_effectName2	text_skill_5008_effectDesc2
6009	5009	text_heroNameId_5009	1	4	1	6	6	3	1	45	40	129	1166	200	6	5009	500901	text_skill_5009_effectName1	text_skill_5009_effectDesc1	text_skill_5009_effectName2	text_skill_5009_effectDesc2
6010	5010	text_heroNameId_5010	2	4	2	6	6	2	2	45	300	72	1000	200	6	5010	501001	text_skill_5010_effectName1	text_skill_5010_effectDesc1	text_skill_5010_effectName2	text_skill_5010_effectDesc2
6011	5011	text_heroNameId_5011	1	3	1	6	6	1	1	45	40	72	1500	200	6	5011	501101	text_skill_5011_effectName1	text_skill_5011_effectDesc1	text_skill_5011_effectName2	text_skill_5011_effectDesc2
6012	5012	text_heroNameId_5012	1	4	1	6	6	3	1	45	40	129	1016	200	6	5012	501201	text_skill_5012_effectName1	text_skill_5012_effectDesc1	text_skill_5012_effectName2	text_skill_5012_effectDesc2
6013	5013	text_heroNameId_5013	2	3	2	6	6	2	2	45	300	72	1033	200	6	5013	501301	text_skill_5013_effectName1	text_skill_5013_effectDesc1	text_skill_5013_effectName2	text_skill_5013_effectDesc2
6014	5014	text_heroNameId_5014	2	4	2	6	6	2	2	45	300	72	916	200	6	5014	501401	text_skill_5014_effectName1	text_skill_5014_effectDesc1	text_skill_5014_effectName2	text_skill_5014_effectDesc2
6015	5015	text_heroNameId_5015	1	4	3	6	6	3	1	45	40	129	1166	200	6	5015	501501	text_skill_5015_effectName1	text_skill_5015_effectDesc1	text_skill_5015_effectName2	text_skill_5015_effectDesc2
6016	5016	text_heroNameId_5016	2	4	2	6	6	2	2	45	300	72	916	200	6	5016	501601	text_skill_5016_effectName1	text_skill_5016_effectDesc1	text_skill_5016_effectName2	text_skill_5016_effectDesc2
6017	5017	text_heroNameId_5017	1	1	3	6	6	1	1	45	40	72	1500	200	6	5017	501701	text_skill_5017_effectName1	text_skill_5017_effectDesc1	text_skill_5017_effectName2	text_skill_5017_effectDesc2
6018	5018	text_heroNameId_5018	2	4	2	6	6	2	2	45	300	72	1000	200	6	5018	501801	text_skill_5018_effectName1	text_skill_5018_effectDesc1	text_skill_5018_effectName2	text_skill_5018_effectDesc2
6019	5019	text_heroNameId_5019	1	4	1	6	6	3	1	45	40	129	666	200	6	5019	501901	text_skill_5019_effectName1	text_skill_5019_effectDesc1	text_skill_5019_effectName2	text_skill_5019_effectDesc2
6020	5020	text_heroNameId_5020	2	4	2	6	6	2	2	45	300	72	916	200	6	5020	502001	text_skill_5020_effectName1	text_skill_5020_effectDesc1	text_skill_5020_effectName2	text_skill_5020_effectDesc2
6021	5021	text_heroNameId_5021	1	1	1	7	6	1	1	45	40	72	833	200	6	5021	502101	text_skill_5021_effectName1	text_skill_5021_effectDesc1	text_skill_5021_effectName2	text_skill_5021_effectDesc2
6022	5022	text_heroNameId_5022	2	4	2	7	6	2	2	45	300	72	916	200	6	5022	502201	text_skill_5022_effectName1	text_skill_5022_effectDesc1	text_skill_5022_effectName2	text_skill_5022_effectDesc2
6023	5023	text_heroNameId_5023	1	4	1	7	6	3	1	45	40	129	1083	200	6	5023	502301	text_skill_5023_effectName1	text_skill_5023_effectDesc1	text_skill_5023_effectName2	text_skill_5023_effectDesc2
6024	5024	text_heroNameId_5024	2	4	2	7	6	2	2	45	300	72	1250	200	6	5024	502401	text_skill_5024_effectName1	text_skill_5024_effectDesc1	text_skill_5024_effectName2	text_skill_5024_effectDesc2
6025	5025	text_heroNameId_5025	1	4	1	7	6	3	1	45	40	129	1333	200	6	5025	502501	text_skill_5025_effectName1	text_skill_5025_effectDesc1	text_skill_5025_effectName2	text_skill_5025_effectDesc2
6026	5026	text_heroNameId_5026	2	4	2	7	6	2	2	45	300	72	1166	200	6	5026	502601	text_skill_5026_effectName1	text_skill_5026_effectDesc1	text_skill_5026_effectName2	text_skill_5026_effectDesc2
6027	5027	text_heroNameId_5027	1	1	1	7	6	1	1	45	40	72	1500	200	6	5027	502701	text_skill_5027_effectName1	text_skill_5027_effectDesc1	text_skill_5027_effectName2	text_skill_5027_effectDesc2
6028	5028	text_heroNameId_5028	2	4	2	7	6	2	2	45	300	72	916	200	6	5028	502801	text_skill_5028_effectName1	text_skill_5028_effectDesc1	text_skill_5028_effectName2	text_skill_5028_effectDesc2
6029	5029	text_heroNameId_5029	1	4	1	7	6	1	1	45	40	72	1583	200	6	5029	502901	text_skill_5029_effectName1	text_skill_5029_effectDesc1	text_skill_5029_effectName2	text_skill_5029_effectDesc2
6030	5030	text_heroNameId_5030	2	4	2	7	6	2	2	45	300	72	1583	200	6	5030	503001	text_skill_5030_effectName1	text_skill_5030_effectDesc1	text_skill_5030_effectName2	text_skill_5030_effectDesc2
6031	5031	text_heroNameId_5031	1	4	1	7	6	3	1	45	40	129	1633	200	6	5031	503101	text_skill_5031_effectName1	text_skill_5031_effectDesc1	text_skill_5031_effectName2	text_skill_5031_effectDesc2
6032	5032	text_heroNameId_5032	2	4	2	7	6	2	2	45	300	72	1583	200	6	5032	503201	text_skill_5032_effectName1	text_skill_5032_effectDesc1	text_skill_5032_effectName2	text_skill_5032_effectDesc2
10001	5001	text_heroNameId_5001	1	1	1	7	6	1	1	45	40	72	1333	200	6	5001	500102	text_skill_5001_effectName1	text_skill_5001_effectDesc1	text_skill_5001_effectName2	text_skill_5001_effectDesc2
10002	5002	text_heroNameId_5002	2	3	3	7	6	2	2	45	300	72	1083	200	6	5002	500202	text_skill_5002_effectName1	text_skill_5002_effectDesc1	text_skill_5002_effectName2	text_skill_5002_effectDesc2
10003	5003	text_heroNameId_5003	1	1	3	7	6	1	1	45	40	72	1500	200	6	5003	500302	text_skill_5003_effectName1	text_skill_5003_effectDesc1	text_skill_5003_effectName2	text_skill_5003_effectDesc2
10004	5004	text_heroNameId_5004	2	3	1	7	6	2	2	45	300	72	1250	200	6	5004	500402	text_skill_5004_effectName1	text_skill_5004_effectDesc1	text_skill_5004_effectName2	text_skill_5004_effectDesc2
10005	5005	text_heroNameId_5005	1	3	1	7	6	1	1	45	40	72	1166	200	6	5005	500502	text_skill_5005_effectName1	text_skill_5005_effectDesc1	text_skill_5005_effectName2	text_skill_5005_effectDesc2
10006	5006	text_heroNameId_5006	2	4	2	7	6	2	2	45	300	72	1000	200	6	5006	500602	text_skill_5006_effectName1	text_skill_5006_effectDesc1	text_skill_5006_effectName2	text_skill_5006_effectDesc2
10007	5007	text_heroNameId_5007	1	4	3	7	6	3	1	45	40	129	1083	200	6	5007	500702	text_skill_5007_effectName1	text_skill_5007_effectDesc1	text_skill_5007_effectName2	text_skill_5007_effectDesc2
10008	5008	text_heroNameId_5008	2	4	2	7	6	2	2	45	300	72	633	200	6	5008	500802	text_skill_5008_effectName1	text_skill_5008_effectDesc1	text_skill_5008_effectName2	text_skill_5008_effectDesc2
10009	5009	text_heroNameId_5009	1	4	1	7	6	3	1	45	40	129	1166	200	6	5009	500902	text_skill_5009_effectName1	text_skill_5009_effectDesc1	text_skill_5009_effectName2	text_skill_5009_effectDesc2
10010	5010	text_heroNameId_5010	2	4	2	7	6	2	2	45	300	72	1000	200	6	5010	501002	text_skill_5010_effectName1	text_skill_5010_effectDesc1	text_skill_5010_effectName2	text_skill_5010_effectDesc2
10011	5011	text_heroNameId_5011	1	3	1	7	6	1	1	45	40	72	1500	200	6	5011	501102	text_skill_5011_effectName1	text_skill_5011_effectDesc1	text_skill_5011_effectName2	text_skill_5011_effectDesc2
10012	5012	text_heroNameId_5012	1	4	1	7	6	3	1	45	40	129	1016	200	6	5012	501202	text_skill_5012_effectName1	text_skill_5012_effectDesc1	text_skill_5012_effectName2	text_skill_5012_effectDesc2
10013	5013	text_heroNameId_5013	2	3	2	7	6	2	2	45	300	72	1033	200	6	5013	501302	text_skill_5013_effectName1	text_skill_5013_effectDesc1	text_skill_5013_effectName2	text_skill_5013_effectDesc2
10014	5014	text_heroNameId_5014	2	4	2	7	6	2	2	45	300	72	916	200	6	5014	501402	text_skill_5014_effectName1	text_skill_5014_effectDesc1	text_skill_5014_effectName2	text_skill_5014_effectDesc2
10015	5015	text_heroNameId_5015	1	4	3	7	6	3	1	45	40	129	1166	200	6	5015	501502	text_skill_5015_effectName1	text_skill_5015_effectDesc1	text_skill_5015_effectName2	text_skill_5015_effectDesc2
10016	5016	text_heroNameId_5016	2	4	2	7	6	2	2	45	300	72	916	200	6	5016	501602	text_skill_5016_effectName1	text_skill_5016_effectDesc1	text_skill_5016_effectName2	text_skill_5016_effectDesc2
10017	5017	text_heroNameId_5017	1	1	3	7	6	1	1	45	40	72	1500	200	6	5017	501702	text_skill_5017_effectName1	text_skill_5017_effectDesc1	text_skill_5017_effectName2	text_skill_5017_effectDesc2
10018	5018	text_heroNameId_5018	2	4	2	7	6	2	2	45	300	72	1000	200	6	5018	501802	text_skill_5018_effectName1	text_skill_5018_effectDesc1	text_skill_5018_effectName2	text_skill_5018_effectDesc2
10019	5019	text_heroNameId_5019	1	4	1	7	6	3	1	45	40	129	666	200	6	5019	501902	text_skill_5019_effectName1	text_skill_5019_effectDesc1	text_skill_5019_effectName2	text_skill_5019_effectDesc2
10020	5020	text_heroNameId_5020	2	4	2	7	6	2	2	45	300	72	916	200	6	5020	502002	text_skill_5020_effectName1	text_skill_5020_effectDesc1	text_skill_5020_effectName2	text_skill_5020_effectDesc2
10021	5021	text_heroNameId_5021	1	1	1	7	6	1	1	45	40	72	833	200	6	5021	502102	text_skill_5021_effectName1	text_skill_5021_effectDesc1	text_skill_5021_effectName2	text_skill_5021_effectDesc2
10022	5022	text_heroNameId_5022	2	4	2	7	6	2	2	45	300	72	916	200	6	5022	502202	text_skill_5022_effectName1	text_skill_5022_effectDesc1	text_skill_5022_effectName2	text_skill_5022_effectDesc2
10023	5023	text_heroNameId_5023	1	4	1	7	6	3	1	45	40	129	1083	200	6	5023	502302	text_skill_5023_effectName1	text_skill_5023_effectDesc1	text_skill_5023_effectName2	text_skill_5023_effectDesc2
10024	5024	text_heroNameId_5024	2	4	2	7	6	2	2	45	300	72	1250	200	6	5024	502402	text_skill_5024_effectName1	text_skill_5024_effectDesc1	text_skill_5024_effectName2	text_skill_5024_effectDesc2
10025	5025	text_heroNameId_5025	1	4	1	7	6	3	1	45	40	129	1333	200	6	5025	502502	text_skill_5025_effectName1	text_skill_5025_effectDesc1	text_skill_5025_effectName2	text_skill_5025_effectDesc2
10026	5026	text_heroNameId_5026	2	4	2	7	6	2	2	45	300	72	1166	200	6	5026	502602	text_skill_5026_effectName1	text_skill_5026_effectDesc1	text_skill_5026_effectName2	text_skill_5026_effectDesc2
10027	5027	text_heroNameId_5027	1	1	1	7	6	1	1	45	40	72	1500	200	6	5027	502702	text_skill_5027_effectName1	text_skill_5027_effectDesc1	text_skill_5027_effectName2	text_skill_5027_effectDesc2
10028	5028	text_heroNameId_5028	2	4	2	7	6	2	2	45	300	72	916	200	6	5028	502802	text_skill_5028_effectName1	text_skill_5028_effectDesc1	text_skill_5028_effectName2	text_skill_5028_effectDesc2
10029	5029	text_heroNameId_5029	1	4	1	7	6	1	1	45	40	72	1583	200	6	5029	502902	text_skill_5029_effectName1	text_skill_5029_effectDesc1	text_skill_5029_effectName2	text_skill_5029_effectDesc2
10030	5030	text_heroNameId_5030	2	4	2	7	6	2	2	45	300	72	1583	200	6	5030	503002	text_skill_5030_effectName1	text_skill_5030_effectDesc1	text_skill_5030_effectName2	text_skill_5030_effectDesc2
