玩家等级下限	硬币玩法奖励基础积分	每日奖励领取需求积分	每日奖励掉落ID	神秘宝藏奖励	怪人难度参数范围	怪人星级权重	怪人星级奖励积分	怪人名称	怪人形象	商人商品组ID	成就ID
151	300	900	300311	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
161	300	900	300312	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
171	300	900	300313	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
181	300	900	300314	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
191	300	900	300315	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
201	300	900	300316	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
211	300	900	300317	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
221	300	900	300318	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
231	300	900	300319	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
241	300	900	300320	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
251	300	900	300321	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
261	300	900	300322	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
271	300	900	300323	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
281	300	900	300324	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
291	300	900	300325	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
301	300	900	300326	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
311	300	900	300327	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
321	300	900	300328	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
331	300	900	300329	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
341	300	900	300330	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
351	300	900	300331	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
