类型(1-圣武，2-圣翼，3-圣骑)	外饰	外饰名称	品质	特效方案	种类(1-时限,2-永久)	种类描述	获得方式描述	获得条件	获得参数	圣武图片路径	基础存在时间(单位：天)	属性提升%	骨骼ID	换装ID	获得途径	额外加成	属性1	值1	属性2	值2	属性3	值3	属性4	值4	属性5	值5	属性6	值6
1	8	text_skyChangeName1_8	6	16	2	text_skyChangeClassDesc_2	text_skyChangeGetWayDesc1_8	activity	0	uires/icon/peopleking/weapon/nan_wuqi_8.png	0	10	1	8	0	1	1	200	2	125	3	125	4	2400	5	50	6	50
1	9	text_skyChangeName1_9	5	0	1	text_skyChangeClassDesc_2	text_skyChangeGetWayDesc1_9	activity	0	uires/icon/peopleking/weapon/nan_wuqi_9.png	7	10	1	9	0	1	1	200	2	125	3	125	4	2400	5	50	6	50
1	10	text_skyChangeName1_10	6	16	1	text_skyChangeClassDesc_2	text_skyChangeGetWayDesc1_10	activity	0	uires/icon/peopleking/weapon/nan_wuqi_10.png	7	10	1	10	0	1	1	200	2	125	3	125	4	2400	5	50	6	50
1	11	text_skyChangeName1_11	5	0	1	text_skyChangeClassDesc_2	text_skyChangeGetWayDesc1_11	activity	0	uires/icon/peopleking/weapon/nan_wuqi_11.png	7	10	1	11	0	1	1	200	2	125	3	125	4	2400	5	50	6	50
2	0	text_nil	5	0	2	text_skyChangeClassDesc_1	text_skyChangeGetWayDesc2_0	level	0	0	0	0	2|3	0|0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	text_skyChangeName2_1	5	0	2	text_skyChangeClassDesc_1	text_skyChangeGetWayDesc2_1	level	1	uires/icon/peopleking/wing/nan_chibang_1.png	0	4	2|3	1|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2	text_skyChangeName2_2	5	0	2	text_skyChangeClassDesc_1	text_skyChangeGetWayDesc2_2	level	4	uires/icon/peopleking/wing/nan_chibang_2.png	0	8	2|3	2|2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	3	text_skyChangeName2_3	5	0	2	text_skyChangeClassDesc_1	text_skyChangeGetWayDesc2_3	level	7	uires/icon/peopleking/wing/nan_chibang_3.png	0	12	2|3	3|3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	4	text_skyChangeName2_4	5	0	2	text_skyChangeClassDesc_1	text_skyChangeGetWayDesc2_4	level	10	uires/icon/peopleking/wing/nan_chibang_4.png	0	16	2|3	4|4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	5	text_skyChangeName2_5	7	17	2	text_skyChangeClassDesc_1	text_skyChangeGetWayDesc2_5	activity	0	uires/icon/peopleking/wing/nan_chibang_5.png	0	20	2|3	5|5	0	1	1	720	2	450	3	450	4	8640	11	100	12	100
2	6	text_skyChangeName2_6	5	0	1	text_skyChangeClassDesc_2	text_skyChangeGetWayDesc2_6	activity	0	uires/icon/peopleking/wing/nan_chibang_6.png	7	10	2|3	6|6	0	1	1	200	2	125	3	125	4	2400	11	50	12	50
2	7	text_skyChangeName2_7	5	0	1	text_skyChangeClassDesc_2	text_skyChangeGetWayDesc2_7	activity	0	uires/icon/peopleking/wing/nan_chibang_7.png	7	10	2|3	7|7	0	1	1	200	2	125	3	125	4	2400	11	50	12	50
2	8	text_skyChangeName2_8	6	16	2	text_skyChangeClassDesc_2	text_skyChangeGetWayDesc2_8	activity	0	uires/icon/peopleking/wing/nan_chibang_8.png	0	10	2|3	8|8	0	1	1	200	2	125	3	125	4	2400	11	50	12	50
2	9	text_skyChangeName2_9	5	0	1	text_skyChangeClassDesc_2	text_skyChangeGetWayDesc2_9	activity	0	uires/icon/peopleking/wing/nan_chibang_9.png	7	10	2|3	9|9	0	1	1	200	2	125	3	125	4	2400	11	50	12	50
2	10	text_skyChangeName2_10	6	16	1	text_skyChangeClassDesc_2	text_skyChangeGetWayDesc2_10	activity	0	uires/icon/peopleking/wing/nan_chibang_10.png	7	10	2|3	10|10	0	1	1	200	2	125	3	125	4	2400	11	50	12	50
2	11	text_skyChangeName2_11	5	0	1	text_skyChangeClassDesc_2	text_skyChangeGetWayDesc2_11	activity	0	uires/icon/peopleking/wing/nan_chibang_11.png	7	10	2|3	11|11	0	1	1	200	2	125	3	125	4	2400	11	50	12	50
3	0	text_nil	5	0	2	text_skyChangeClassDesc_1	text_skyChangeGetWayDesc3_0	level	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	text_skyChangeName3_1	5	0	2	text_skyChangeClassDesc_1	text_skyChangeGetWayDesc3_1	level	1	uires/icon/peopleking/mount/nan_zuoqi_1.png	0	4	0	10001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2	text_skyChangeName3_2	5	0	2	text_skyChangeClassDesc_1	text_skyChangeGetWayDesc3_2	level	4	uires/icon/peopleking/mount/nan_zuoqi_2.png	0	8	0	10002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	3	text_skyChangeName3_3	5	0	2	text_skyChangeClassDesc_1	text_skyChangeGetWayDesc3_3	level	7	uires/icon/peopleking/mount/nan_zuoqi_3.png	0	12	0	10003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	4	text_skyChangeName3_4	5	0	2	text_skyChangeClassDesc_1	text_skyChangeGetWayDesc3_4	level	10	uires/icon/peopleking/mount/nan_zuoqi_4.png	0	16	0	10004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	5	text_skyChangeName3_5	7	17	2	text_skyChangeClassDesc_1	text_skyChangeGetWayDesc3_5	activity	0	uires/icon/peopleking/mount/nan_zuoqi_5.png	0	20	0	10005	0	1	1	720	2	450	3	450	4	8640	18	100	19	100
3	6	text_skyChangeName3_6	5	0	1	text_skyChangeClassDesc_2	text_skyChangeGetWayDesc3_6	activity	0	uires/icon/peopleking/mount/nan_zuoqi_6.png	7	10	0	10006	0	1	1	200	2	125	3	125	4	2400	18	50	19	50
3	7	text_skyChangeName3_7	5	0	1	text_skyChangeClassDesc_2	text_skyChangeGetWayDesc3_7	activity	0	uires/icon/peopleking/mount/nan_zuoqi_7.png	7	10	0	10007	0	1	1	200	2	125	3	125	4	2400	18	50	19	50
3	8	text_skyChangeName3_8	6	16	2	text_skyChangeClassDesc_2	text_skyChangeGetWayDesc3_8	activity	0	uires/icon/peopleking/mount/nan_zuoqi_8.png	0	10	0	10008	0	1	1	200	2	125	3	125	4	2400	18	50	19	50
3	9	text_skyChangeName3_9	5	0	1	text_skyChangeClassDesc_2	text_skyChangeGetWayDesc3_9	activity	0	uires/icon/peopleking/mount/nan_zuoqi_9.png	7	10	0	10009	0	1	1	200	2	125	3	125	4	2400	18	50	19	50
3	10	text_skyChangeName3_10	5	0	1	text_skyChangeClassDesc_2	text_skyChangeGetWayDesc3_10	activity	0	uires/icon/peopleking/mount/nan_zuoqi_10.png	7	10	0	10010	0	1	1	200	2	125	3	125	4	2400	18	50	19	50
3	11	text_skyChangeName3_11	5	0	1	text_skyChangeClassDesc_2	text_skyChangeGetWayDesc3_11	activity	0	uires/icon/peopleking/mount/nan_zuoqi_11.png	7	10	0	10011	0	1	1	200	2	125	3	125	4	2400	18	50	19	50
