编号	战斗ID	等级限制	扫荡耗时(s)	奖励	符文宝箱
46	2004046	0	10	user.rune_exp:10,user.gold:200	0
47	2004047	0	10	user.rune_exp:10,user.gold:200	0
48	2004048	0	10	user.rune_exp:10,user.gold:200	0
49	2004049	0	10	user.rune_exp:10,user.gold:200	0
50	2004050	0	10	user.rune_exp:10,user.gold:200	1
51	2004051	102	10	user.rune_exp:10,user.gold:200	0
52	2004052	0	10	user.rune_exp:10,user.gold:200	0
53	2004053	0	10	user.rune_exp:10,user.gold:200	0
54	2004054	0	10	user.rune_exp:10,user.gold:200	0
55	2004055	0	10	user.rune_exp:10,user.gold:200	1
56	2004056	0	10	user.rune_exp:10,user.gold:200	0
57	2004057	0	10	user.rune_exp:10,user.gold:200	0
58	2004058	0	10	user.rune_exp:10,user.gold:200	0
59	2004059	0	10	user.rune_exp:10,user.gold:200	0
60	2004060	0	10	user.rune_exp:10,user.gold:200	1
61	2004061	0	10	user.rune_exp:10,user.gold:200	0
62	2004062	0	10	user.rune_exp:10,user.gold:200	0
63	2004063	0	10	user.rune_exp:10,user.gold:200	0
64	2004064	0	10	user.rune_exp:10,user.gold:200	0
65	2004065	0	10	user.rune_exp:10,user.gold:200	1
66	2004066	0	10	user.rune_exp:10,user.gold:200	0
67	2004067	0	10	user.rune_exp:10,user.gold:200	0
68	2004068	0	10	user.rune_exp:10,user.gold:200	0
69	2004069	0	10	user.rune_exp:10,user.gold:200	0
70	2004070	0	10	user.rune_exp:10,user.gold:200	1
71	2004071	0	10	user.rune_exp:10,user.gold:200	0
72	2004072	0	10	user.rune_exp:10,user.gold:200	0
73	2004073	0	10	user.rune_exp:10,user.gold:200	0
74	2004074	0	10	user.rune_exp:10,user.gold:200	0
75	2004075	0	10	user.rune_exp:10,user.gold:200	1
76	2004076	0	10	user.rune_exp:10,user.gold:200	0
77	2004077	0	10	user.rune_exp:10,user.gold:200	0
78	2004078	0	10	user.rune_exp:10,user.gold:200	0
79	2004079	0	10	user.rune_exp:10,user.gold:200	0
80	2004080	0	10	user.rune_exp:10,user.gold:200	1
81	2004081	0	10	user.rune_exp:10,user.gold:200	0
82	2004082	0	10	user.rune_exp:10,user.gold:200	0
83	2004083	0	10	user.rune_exp:10,user.gold:200	0
84	2004084	0	10	user.rune_exp:10,user.gold:200	0
85	2004085	0	10	user.rune_exp:10,user.gold:200	1
86	2004086	0	10	user.rune_exp:10,user.gold:200	0
87	2004087	0	10	user.rune_exp:10,user.gold:200	0
88	2004088	0	10	user.rune_exp:10,user.gold:200	0
89	2004089	0	10	user.rune_exp:10,user.gold:200	0
90	2004090	0	10	user.rune_exp:10,user.gold:200	1
91	2004091	0	10	user.rune_exp:10,user.gold:200	0
92	2004092	0	10	user.rune_exp:10,user.gold:200	0
93	2004093	0	10	user.rune_exp:10,user.gold:200	0
94	2004094	0	10	user.rune_exp:10,user.gold:200	0
95	2004095	0	10	user.rune_exp:10,user.gold:200	1
96	2004096	0	10	user.rune_exp:10,user.gold:200	0
97	2004097	0	10	user.rune_exp:10,user.gold:200	0
98	2004098	0	10	user.rune_exp:10,user.gold:200	0
99	2004099	0	10	user.rune_exp:10,user.gold:200	0
100	2004100	0	10	user.rune_exp:10,user.gold:200	1
101	2004101	104	10	user.rune_exp:10,user.gold:200	0
102	2004102	0	10	user.rune_exp:10,user.gold:200	0
103	2004103	0	10	user.rune_exp:10,user.gold:200	0
104	2004104	0	10	user.rune_exp:10,user.gold:200	0
105	2004105	0	10	user.rune_exp:10,user.gold:200	1
106	2004106	0	10	user.rune_exp:10,user.gold:200	0
107	2004107	0	10	user.rune_exp:10,user.gold:200	0
108	2004108	0	10	user.rune_exp:10,user.gold:200	0
109	2004109	0	10	user.rune_exp:10,user.gold:200	0
110	2004110	0	10	user.rune_exp:10,user.gold:200	1
111	2004111	0	10	user.rune_exp:10,user.gold:200	0
112	2004112	0	10	user.rune_exp:10,user.gold:200	0
113	2004113	0	10	user.rune_exp:10,user.gold:200	0
114	2004114	0	10	user.rune_exp:10,user.gold:200	0
115	2004115	0	10	user.rune_exp:10,user.gold:200	1
116	2004116	0	10	user.rune_exp:10,user.gold:200	0
117	2004117	0	10	user.rune_exp:10,user.gold:200	0
118	2004118	0	10	user.rune_exp:10,user.gold:200	0
119	2004119	0	10	user.rune_exp:10,user.gold:200	0
120	2004120	0	10	user.rune_exp:10,user.gold:200	1
121	2004121	106	10	user.rune_exp:10,user.gold:200	0
122	2004122	0	10	user.rune_exp:10,user.gold:200	0
123	2004123	0	10	user.rune_exp:10,user.gold:200	0
124	2004124	0	10	user.rune_exp:10,user.gold:200	0
125	2004125	0	10	user.rune_exp:10,user.gold:200	1
126	2004126	0	10	user.rune_exp:10,user.gold:200	0
127	2004127	0	10	user.rune_exp:10,user.gold:200	0
128	2004128	0	10	user.rune_exp:10,user.gold:200	0
129	2004129	0	10	user.rune_exp:10,user.gold:200	0
130	2004130	0	10	user.rune_exp:10,user.gold:200	1
131	2004131	0	10	user.rune_exp:10,user.gold:200	0
132	2004132	0	10	user.rune_exp:10,user.gold:200	0
133	2004133	0	10	user.rune_exp:10,user.gold:200	0
134	2004134	0	10	user.rune_exp:10,user.gold:200	0
135	2004135	0	10	user.rune_exp:10,user.gold:200	1
136	2004136	0	10	user.rune_exp:10,user.gold:200	0
137	2004137	0	10	user.rune_exp:10,user.gold:200	0
138	2004138	0	10	user.rune_exp:10,user.gold:200	0
139	2004139	0	10	user.rune_exp:10,user.gold:200	0
140	2004140	0	10	user.rune_exp:10,user.gold:200	1
141	2004141	108	10	user.rune_exp:10,user.gold:200	0
142	2004142	0	10	user.rune_exp:10,user.gold:200	0
143	2004143	0	10	user.rune_exp:10,user.gold:200	0
144	2004144	0	10	user.rune_exp:10,user.gold:200	0
145	2004145	0	10	user.rune_exp:10,user.gold:200	1
146	2004146	0	10	user.rune_exp:10,user.gold:200	0
147	2004147	0	10	user.rune_exp:10,user.gold:200	0
148	2004148	0	10	user.rune_exp:10,user.gold:200	0
149	2004149	0	10	user.rune_exp:10,user.gold:200	0
150	2004150	0	10	user.rune_exp:10,user.gold:200	1
151	2004151	0	10	user.rune_exp:10,user.gold:200	0
152	2004152	0	10	user.rune_exp:10,user.gold:200	0
153	2004153	0	10	user.rune_exp:10,user.gold:200	0
154	2004154	0	10	user.rune_exp:10,user.gold:200	0
155	2004155	0	10	user.rune_exp:10,user.gold:200	1
156	2004156	0	10	user.rune_exp:10,user.gold:200	0
157	2004157	0	10	user.rune_exp:10,user.gold:200	0
158	2004158	0	10	user.rune_exp:10,user.gold:200	0
159	2004159	0	10	user.rune_exp:10,user.gold:200	0
160	2004160	110	10	user.rune_exp:10,user.gold:200	1
161	2004161	0	10	user.rune_exp:10,user.gold:200	0
162	2004162	0	10	user.rune_exp:10,user.gold:200	0
163	2004163	0	10	user.rune_exp:10,user.gold:200	0
164	2004164	0	10	user.rune_exp:10,user.gold:200	0
165	2004165	0	10	user.rune_exp:10,user.gold:200	1
166	2004166	0	10	user.rune_exp:10,user.gold:200	0
167	2004167	0	10	user.rune_exp:10,user.gold:200	0
168	2004168	0	10	user.rune_exp:10,user.gold:200	0
169	2004169	0	10	user.rune_exp:10,user.gold:200	0
170	2004170	0	10	user.rune_exp:10,user.gold:200	1
171	2004171	0	10	user.rune_exp:10,user.gold:200	0
172	2004172	0	10	user.rune_exp:10,user.gold:200	0
173	2004173	0	10	user.rune_exp:10,user.gold:200	0
174	2004174	0	10	user.rune_exp:10,user.gold:200	0
175	2004175	0	10	user.rune_exp:10,user.gold:200	1
176	2004176	0	10	user.rune_exp:10,user.gold:200	0
177	2004177	0	10	user.rune_exp:10,user.gold:200	0
178	2004178	0	10	user.rune_exp:10,user.gold:200	0
179	2004179	0	10	user.rune_exp:10,user.gold:200	0
180	2004180	0	10	user.rune_exp:10,user.gold:200	1
181	2004181	115	10	user.rune_exp:10,user.gold:200	0
182	2004182	0	10	user.rune_exp:10,user.gold:200	0
183	2004183	0	10	user.rune_exp:10,user.gold:200	0
184	2004184	0	10	user.rune_exp:10,user.gold:200	0
185	2004185	0	10	user.rune_exp:10,user.gold:200	1
186	2004186	0	10	user.rune_exp:10,user.gold:200	0
187	2004187	0	10	user.rune_exp:10,user.gold:200	0
188	2004188	0	10	user.rune_exp:10,user.gold:200	0
189	2004189	0	10	user.rune_exp:10,user.gold:200	0
190	2004190	0	10	user.rune_exp:10,user.gold:200	1
191	2004191	0	10	user.rune_exp:10,user.gold:200	0
192	2004192	0	10	user.rune_exp:10,user.gold:200	0
193	2004193	0	10	user.rune_exp:10,user.gold:200	0
194	2004194	0	10	user.rune_exp:10,user.gold:200	0
195	2004195	0	10	user.rune_exp:10,user.gold:200	1
196	2004196	0	10	user.rune_exp:10,user.gold:200	0
197	2004197	0	10	user.rune_exp:10,user.gold:200	0
198	2004198	0	10	user.rune_exp:10,user.gold:200	0
199	2004199	0	10	user.rune_exp:10,user.gold:200	0
200	2004200	0	10	user.rune_exp:10,user.gold:200	1
201	2004201	120	10	user.rune_exp:10,user.gold:200	0
202	2004202	0	10	user.rune_exp:10,user.gold:200	0
203	2004203	0	10	user.rune_exp:10,user.gold:200	0
204	2004204	0	10	user.rune_exp:10,user.gold:200	0
205	2004205	0	10	user.rune_exp:10,user.gold:200	1
206	2004206	0	10	user.rune_exp:10,user.gold:200	0
207	2004207	0	10	user.rune_exp:10,user.gold:200	0
208	2004208	0	10	user.rune_exp:10,user.gold:200	0
209	2004209	0	10	user.rune_exp:10,user.gold:200	0
210	2004210	0	10	user.rune_exp:10,user.gold:200	1
211	2004211	0	10	user.rune_exp:10,user.gold:200	0
212	2004212	0	10	user.rune_exp:10,user.gold:200	0
213	2004213	0	10	user.rune_exp:10,user.gold:200	0
214	2004214	0	10	user.rune_exp:10,user.gold:200	0
215	2004215	0	10	user.rune_exp:10,user.gold:200	1
216	2004216	0	10	user.rune_exp:10,user.gold:200	0
217	2004217	0	10	user.rune_exp:10,user.gold:200	0
218	2004218	0	10	user.rune_exp:10,user.gold:200	0
219	2004219	0	10	user.rune_exp:10,user.gold:200	0
220	2004220	0	10	user.rune_exp:10,user.gold:200	1
221	2004221	125	10	user.rune_exp:10,user.gold:200	0
222	2004222	0	10	user.rune_exp:10,user.gold:200	0
223	2004223	0	10	user.rune_exp:10,user.gold:200	0
224	2004224	0	10	user.rune_exp:10,user.gold:200	0
225	2004225	0	10	user.rune_exp:10,user.gold:200	1
226	2004226	0	10	user.rune_exp:10,user.gold:200	0
227	2004227	0	10	user.rune_exp:10,user.gold:200	0
228	2004228	0	10	user.rune_exp:10,user.gold:200	0
229	2004229	0	10	user.rune_exp:10,user.gold:200	0
230	2004230	0	10	user.rune_exp:10,user.gold:200	1
231	2004231	0	10	user.rune_exp:10,user.gold:200	0
232	2004232	0	10	user.rune_exp:10,user.gold:200	0
233	2004233	0	10	user.rune_exp:10,user.gold:200	0
234	2004234	0	10	user.rune_exp:10,user.gold:200	0
235	2004235	0	10	user.rune_exp:10,user.gold:200	1
236	2004236	0	10	user.rune_exp:10,user.gold:200	0
237	2004237	0	10	user.rune_exp:10,user.gold:200	0
238	2004238	0	10	user.rune_exp:10,user.gold:200	0
239	2004239	0	10	user.rune_exp:10,user.gold:200	0
240	2004240	0	10	user.rune_exp:10,user.gold:200	1
241	2004241	130	10	user.rune_exp:10,user.gold:200	0
242	2004242	0	10	user.rune_exp:10,user.gold:200	0
243	2004243	0	10	user.rune_exp:10,user.gold:200	0
244	2004244	0	10	user.rune_exp:10,user.gold:200	0
245	2004245	0	10	user.rune_exp:10,user.gold:200	1
246	2004246	0	10	user.rune_exp:10,user.gold:200	0
247	2004247	0	10	user.rune_exp:10,user.gold:200	0
248	2004248	0	10	user.rune_exp:10,user.gold:200	0
249	2004249	0	10	user.rune_exp:10,user.gold:200	0
250	2004250	0	10	user.rune_exp:10,user.gold:200	1
251	2004251	0	10	user.rune_exp:10,user.gold:200	0
252	2004252	0	10	user.rune_exp:10,user.gold:200	0
253	2004253	0	10	user.rune_exp:10,user.gold:200	0
254	2004254	0	10	user.rune_exp:10,user.gold:200	0
255	2004255	0	10	user.rune_exp:10,user.gold:200	1
256	2004256	0	10	user.rune_exp:10,user.gold:200	0
257	2004257	0	10	user.rune_exp:10,user.gold:200	0
258	2004258	0	10	user.rune_exp:10,user.gold:200	0
259	2004259	0	10	user.rune_exp:10,user.gold:200	0
260	2004260	0	10	user.rune_exp:10,user.gold:200	1
261	2004261	135	10	user.rune_exp:10,user.gold:200	0
262	2004262	0	10	user.rune_exp:10,user.gold:200	0
263	2004263	0	10	user.rune_exp:10,user.gold:200	0
264	2004264	0	10	user.rune_exp:10,user.gold:200	0
265	2004265	0	10	user.rune_exp:10,user.gold:200	1
266	2004266	0	10	user.rune_exp:10,user.gold:200	0
267	2004267	0	10	user.rune_exp:10,user.gold:200	0
268	2004268	0	10	user.rune_exp:10,user.gold:200	0
269	2004269	0	10	user.rune_exp:10,user.gold:200	0
270	2004270	0	10	user.rune_exp:10,user.gold:200	1
271	2004271	0	10	user.rune_exp:10,user.gold:200	0
272	2004272	0	10	user.rune_exp:10,user.gold:200	0
273	2004273	0	10	user.rune_exp:10,user.gold:200	0
274	2004274	0	10	user.rune_exp:10,user.gold:200	0
275	2004275	0	10	user.rune_exp:10,user.gold:200	1
276	2004276	0	10	user.rune_exp:10,user.gold:200	0
277	2004277	0	10	user.rune_exp:10,user.gold:200	0
278	2004278	0	10	user.rune_exp:10,user.gold:200	0
279	2004279	0	10	user.rune_exp:10,user.gold:200	0
280	2004280	0	10	user.rune_exp:10,user.gold:200	1
281	2004281	140	10	user.rune_exp:10,user.gold:200	0
282	2004282	0	10	user.rune_exp:10,user.gold:200	0
283	2004283	0	10	user.rune_exp:10,user.gold:200	0
284	2004284	0	10	user.rune_exp:10,user.gold:200	0
285	2004285	0	10	user.rune_exp:10,user.gold:200	1
286	2004286	0	10	user.rune_exp:10,user.gold:200	0
287	2004287	0	10	user.rune_exp:10,user.gold:200	0
288	2004288	0	10	user.rune_exp:10,user.gold:200	0
289	2004289	0	10	user.rune_exp:10,user.gold:200	0
290	2004290	0	10	user.rune_exp:10,user.gold:200	1
291	2004291	0	10	user.rune_exp:10,user.gold:200	0
292	2004292	0	10	user.rune_exp:10,user.gold:200	0
293	2004293	0	10	user.rune_exp:10,user.gold:200	0
294	2004294	0	10	user.rune_exp:10,user.gold:200	0
295	2004295	0	10	user.rune_exp:10,user.gold:200	1
296	2004296	0	10	user.rune_exp:10,user.gold:200	0
297	2004297	0	10	user.rune_exp:10,user.gold:200	0
298	2004298	0	10	user.rune_exp:10,user.gold:200	0
299	2004299	0	10	user.rune_exp:10,user.gold:200	0
300	2004300	0	10	user.rune_exp:10,user.gold:200	1
301	2004301	150	10	user.rune_exp:10,user.gold:200	0
302	2004302	0	10	user.rune_exp:10,user.gold:200	0
303	2004303	0	10	user.rune_exp:10,user.gold:200	0
304	2004304	0	10	user.rune_exp:10,user.gold:200	0
305	2004305	0	10	user.rune_exp:10,user.gold:200	1
306	2004306	0	10	user.rune_exp:10,user.gold:200	0
307	2004307	0	10	user.rune_exp:10,user.gold:200	0
308	2004308	0	10	user.rune_exp:10,user.gold:200	0
309	2004309	0	10	user.rune_exp:10,user.gold:200	0
310	2004310	0	10	user.rune_exp:10,user.gold:200	1
311	2004311	0	10	user.rune_exp:10,user.gold:200	0
312	2004312	0	10	user.rune_exp:10,user.gold:200	0
313	2004313	0	10	user.rune_exp:10,user.gold:200	0
314	2004314	0	10	user.rune_exp:10,user.gold:200	0
315	2004315	0	10	user.rune_exp:10,user.gold:200	1
316	2004316	0	10	user.rune_exp:10,user.gold:200	0
317	2004317	0	10	user.rune_exp:10,user.gold:200	0
318	2004318	0	10	user.rune_exp:10,user.gold:200	0
319	2004319	0	10	user.rune_exp:10,user.gold:200	0
320	2004320	0	10	user.rune_exp:10,user.gold:200	1
321	2004321	0	10	user.rune_exp:10,user.gold:200	0
322	2004322	0	10	user.rune_exp:10,user.gold:200	0
323	2004323	0	10	user.rune_exp:10,user.gold:200	0
324	2004324	0	10	user.rune_exp:10,user.gold:200	0
325	2004325	0	10	user.rune_exp:10,user.gold:200	1
326	2004326	200	10	user.rune_exp:10,user.gold:200	0
327	2004327	0	10	user.rune_exp:10,user.gold:200	0
328	2004328	0	10	user.rune_exp:10,user.gold:200	0
329	2004329	0	10	user.rune_exp:10,user.gold:200	0
330	2004330	0	10	user.rune_exp:10,user.gold:200	1
331	2004331	0	10	user.rune_exp:10,user.gold:200	0
332	2004332	0	10	user.rune_exp:10,user.gold:200	0
333	2004333	0	10	user.rune_exp:10,user.gold:200	0
334	2004334	0	10	user.rune_exp:10,user.gold:200	0
335	2004335	0	10	user.rune_exp:10,user.gold:200	1
336	2004336	0	10	user.rune_exp:10,user.gold:200	0
337	2004337	0	10	user.rune_exp:10,user.gold:200	0
338	2004338	0	10	user.rune_exp:10,user.gold:200	0
339	2004339	0	10	user.rune_exp:10,user.gold:200	0
340	2004340	0	10	user.rune_exp:10,user.gold:200	1
341	2004341	0	10	user.rune_exp:10,user.gold:200	0
342	2004342	0	10	user.rune_exp:10,user.gold:200	0
343	2004343	0	10	user.rune_exp:10,user.gold:200	0
344	2004344	0	10	user.rune_exp:10,user.gold:200	0
345	2004345	0	10	user.rune_exp:10,user.gold:200	1
346	2004346	0	10	user.rune_exp:10,user.gold:200	0
347	2004347	0	10	user.rune_exp:10,user.gold:200	0
348	2004348	0	10	user.rune_exp:10,user.gold:200	0
349	2004349	0	10	user.rune_exp:10,user.gold:200	0
350	2004350	0	10	user.rune_exp:10,user.gold:200	1
