索引ID	注释1	描述	类型(1普通buff, 2光环buff)	buff模式(0:无类型，1:灼烧)	光环类型(1:不断的发送buff，并且出了范围就移除,2:只发送一次，除非发送的buff消失,出了范围不移除)	正负面(1负面2正面)	不可被驱散	是否受到负面抗性影响	效果类型(0没有效果，1普通伤害，2无视防御伤害，3召唤)	发送buffID	buff生效几率（万分比）	buff持续时间（毫秒）	范围选择目标类型(1英雄2士兵3所有单位)	范围	光环检测间隔时间(毫秒)	伤害类型（按武将类型，0物理，1魔法）	额外伤害类型	额外伤害值	伤害系数	发送第一次效果延迟时间(毫秒)	发送效果间隔时间(毫秒)	属性修改	属性值修改	属性百分比修改（万分比）	克制增幅0	克制增幅1	克制增幅2	克制增幅3	攻击吸血万分比	攻击吸血固定值	免疫负面物理效果	免疫负面魔法效果	免疫负面魔法次数	限制移动	限制普通攻击	限制释放技能	不受控制	反弹物理伤害万分比	改变技能组	变身资源名	变身资源类型	变身后缩放百分比	buff特效资源	buff特效类型(1只显示一次, 2循环特效)	buff特效挂载点(1上2中3下)	buff特效渲染层级(1上2下)	buff位置偏移	buff位置偏移1	buff特效资源1	buff特效类型(1只显示一次, 2循环特效)1	buff特效挂载点(1上2中3下)1	buff特效渲染层级(1上2下)1	buff位置偏移2	buff位置偏移3	特殊shader	隐藏飘字
1501	魔法免伤 一 次1级	免疫魔法伤害一次	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	buff_mofamianyi	2	3	1	0	0	0	0	0	0	0	0	0	1
1601	石化效果1级	眩晕一段时间	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	stone	1
1701	缴械效果1级	使目标无法普通攻击	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1
1801	中毒【每1秒损失最大生命的1%】1级	中毒（伤害）	1	1	0	1	0	1	1	0	0	0	0	0	0	1	200	100	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_haidaotufu01	2	2	1	0	0	0	0	0	0	0	0	0	1
1901	击飞1级	击飞	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2001	沉睡1级	沉睡	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	debuff_shuimian	2	1	1	0	0	0	0	0	0	0	0	0	1
30001	减速1级	减速	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	24	-5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiansu	2	2	1	0	0	0	0	0	0	0	0	0	1
31001	定身1级	定身	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	debuff_bingdong	2	3	1	0	0	0	0	0	0	0	0	0	1
32001	伤害加深+定身1级	伤害加深+定身	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	12	-2000	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	debuff_bingdong	2	3	1	0	0	0	0	0	0	0	0	0	1
40001	加攻击力1级	加攻击力	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_zhufu	2	1	1	0	0	0	0	0	0	0	0	0	1
40002	加攻击力2级	加攻击力	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_zhufu	2	1	1	0	0	0	0	0	0	0	0	0	1
40003	加攻击力3级	加攻击力	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_zhufu	2	1	1	0	0	0	0	0	0	0	0	0	1
40004	加攻击力4级	加攻击力	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_zhufu	2	1	1	0	0	0	0	0	0	0	0	0	1
40005	加攻击力5级	加攻击力	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_zhufu	2	1	1	0	0	0	0	0	0	0	0	0	1
40006	加攻击力6级	加攻击力	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_zhufu	2	1	1	0	0	0	0	0	0	0	0	0	1
40007	加攻击力7级	加攻击力	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_zhufu	2	1	1	0	0	0	0	0	0	0	0	0	1
40008	加攻击力8级	加攻击力	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_zhufu	2	1	1	0	0	0	0	0	0	0	0	0	1
40009	加攻击力9级	加攻击力	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	5030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_zhufu	2	1	1	0	0	0	0	0	0	0	0	0	1
40010	加攻击力10级	加攻击力	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	5875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_zhufu	2	1	1	0	0	0	0	0	0	0	0	0	1
41001	加命中1级	加命中	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	20	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50001	电击眩晕1级	电击眩晕	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	debuff_xuanyun	2	1	1	0	0	0	0	0	0	0	0	0	1
51001	降低回蓝速度1级	降低回蓝速度	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	19	-5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiannu	2	1	1	0	0	0	0	0	0	0	0	0	1
60001	减护甲、技防1级	减护甲、技防	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2|3	0	-1500|-1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jianfang	2	1	1	0	0	0	0	0	0	0	0	0	1
70001	普攻免伤1级	普攻免伤	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	buff_huzhao	2	2	1	0	0	0	0	0	0	0	0	0	1
71001	普攻免伤+负面抗性1级	普攻免伤+负面抗性	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	2000	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	buff_huzhao	2	2	1	0	0	0	0	0	0	0	0	0	1
72001	普攻免伤+负面抗性+降低技能伤害1级	普攻免伤+负面抗性+降低技能伤害	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14|29	2000|4000	0|0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	buff_huzhao	2	2	1	0	0	0	0	0	0	0	0	0	1
80001	灼烧效果1级	灼烧效果	1	1	0	1	0	1	2	0	0	0	0	0	0	1	0	0	530	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zhuoshao	2	2	1	0	0	0	0	0	0	0	0	0	1
80002	灼烧效果2级	灼烧效果	1	1	0	1	0	1	2	0	0	0	0	0	0	1	0	0	741	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zhuoshao	2	2	1	0	0	0	0	0	0	0	0	0	1
80003	灼烧效果3级	灼烧效果	1	1	0	1	0	1	2	0	0	0	0	0	0	1	0	0	1013	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zhuoshao	2	2	1	0	0	0	0	0	0	0	0	0	1
80004	灼烧效果4级	灼烧效果	1	1	0	1	0	1	2	0	0	0	0	0	0	1	0	0	1345	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zhuoshao	2	2	1	0	0	0	0	0	0	0	0	0	1
80005	灼烧效果5级	灼烧效果	1	1	0	1	0	1	2	0	0	0	0	0	0	1	0	0	1738	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zhuoshao	2	2	1	0	0	0	0	0	0	0	0	0	1
80006	灼烧效果6级	灼烧效果	1	1	0	1	0	1	2	0	0	0	0	0	0	1	0	0	2191	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zhuoshao	2	2	1	0	0	0	0	0	0	0	0	0	1
80007	灼烧效果7级	灼烧效果	1	1	0	1	0	1	2	0	0	0	0	0	0	1	0	0	2704	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zhuoshao	2	2	1	0	0	0	0	0	0	0	0	0	1
80008	灼烧效果8级	灼烧效果	1	1	0	1	0	1	2	0	0	0	0	0	0	1	0	0	3278	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zhuoshao	2	2	1	0	0	0	0	0	0	0	0	0	1
80009	灼烧效果9级	灼烧效果	1	1	0	1	0	1	2	0	0	0	0	0	0	1	0	0	4003	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zhuoshao	2	2	1	0	0	0	0	0	0	0	0	0	1
80010	灼烧效果10级	灼烧效果	1	1	0	1	0	1	2	0	0	0	0	0	0	1	0	0	4909	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zhuoshao	2	2	1	0	0	0	0	0	0	0	0	0	1
81001	减速1级	减速	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	24	-3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiansu	2	2	1	0	0	0	0	0	0	0	0	0	1
82001	减速+降攻击速度1级	减速+降攻击速度	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	24|25	-3000|-2000	0|0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiansu	2	2	1	0	0	0	0	0	0	0	0	0	1
83001	灼烧效果（额外伤害）1级	灼烧效果（额外伤害）	1	1	0	1	0	1	2	0	0	0	0	0	0	1	300	50	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
90001	伤害加深1级	伤害加深	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	12	-648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zuzhou	2	1	1	0	0	0	0	0	0	0	0	0	1
90002	伤害加深2级	伤害加深	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	12	-906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zuzhou	2	1	1	0	0	0	0	0	0	0	0	0	1
90003	伤害加深3级	伤害加深	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	12	-1114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zuzhou	2	1	1	0	0	0	0	0	0	0	0	0	1
90004	伤害加深4级	伤害加深	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	12	-1315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zuzhou	2	1	1	0	0	0	0	0	0	0	0	0	1
90005	伤害加深5级	伤害加深	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	12	-1487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zuzhou	2	1	1	0	0	0	0	0	0	0	0	0	1
90006	伤害加深6级	伤害加深	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	12	-1607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zuzhou	2	1	1	0	0	0	0	0	0	0	0	0	1
90007	伤害加深7级	伤害加深	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	12	-1901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zuzhou	2	1	1	0	0	0	0	0	0	0	0	0	1
90008	伤害加深8级	伤害加深	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	12	-2204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zuzhou	2	1	1	0	0	0	0	0	0	0	0	0	1
90009	伤害加深9级	伤害加深	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	12	-2569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zuzhou	2	1	1	0	0	0	0	0	0	0	0	0	1
90010	伤害加深10级	伤害加深	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	12	-3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_zuzhou	2	1	1	0	0	0	0	0	0	0	0	0	1
91001	降闪避1级	降闪避	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	21	-2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
92001	降闪避、治疗效果1级	降闪避、治疗效果	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	21|15	-2000|-3000	0|0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
100001	纯表现1级	纯表现	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_moyan	2	3	1	0	0	0	0	0	0	0	0	0	1
101001	降攻击力1级	降攻击力	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
102001	降攻击力+降命中1级	降攻击力+降命中	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|20	0|-2000	-2500|0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
103001	降攻击力+降命中+魔焰眩晕1级	降攻击力+降命中+魔焰眩晕	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|20	0|-2000	-2500|0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	debuff_xuanyun	2	1	1	0	0	0	0	0	0	0	0	0	1
500101	伤害加深1级	伤害加深	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	12	-5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
500201	治疗加强光环1级	治疗加强光环	2	0	1	2	1	0	0	500202	10000	-1	103	2000	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_aura_senyumonv1	2	3	2	0	0	0	0	0	0	0	0	0	1
500202	森语魔女存在于场上时，全体己方单位受到治疗效果提升10%1级	森语魔女存在于场上时，全体己方单位受到治疗效果提升10%	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	15	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
500501	伤害减免1级	伤害减免	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
500701	加攻击力1级	加攻击力	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
500801	加暴击值1级	加暴击值	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	22	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
500901	加伤害加成1级	加伤害加成	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	11	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
501101	回血效果1级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	0	0	6000	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
501301	加技能伤害加成1级	加技能伤害加成	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	28	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
501501	伤害减免光环1级	伤害减免光环	2	0	1	2	1	0	0	501502	10000	-1	103	2000	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_aura_shengqishi1	2	3	2	0	0	0	0	0	0	0	0	0	1
501502	圣骑士存在于场上时，全体己方单位伤害减免提升10%1级	圣骑士存在于场上时，全体己方单位伤害减免提升10%	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
501503	负面抗性光环1级	负面抗性光环	2	0	1	2	1	0	0	501504	10000	-1	103	2000	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
501504	圣骑士存在于场上时，全体己方单位负面抗性提升30%1级	海洋之灵存在于场上时，全体己方单位负面抗性提升20%	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
501601	大法师释放技能有30%几率造成暴击1级	大法师释放技能有30%几率造成暴击	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
501602	战斗开始时，暴击伤害提升75%，持续25秒1级	战斗开始时，暴击伤害提升75%，持续25秒	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	7500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
600101	战斗开始的前15秒内受到神之赐福，自身攻防提升12%1级	战斗开始的前15秒内受到神之赐福，自身攻防提升12%	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	1200|1200|1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
600301	对远程单位克制增强20%1级	对远程单位克制增强20%	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
600401	攻击无视敌方10%防御1级	攻击无视敌方10%防御	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5|6	1000|1000	0|0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
