掉落ID	奖励名称	必掉奖励	随机类型（0万分比，1权重）	奖励随机个数	奖励1	奖励1权重	奖励2	奖励2权重	奖励3	奖励3权重	奖励4	奖励4权重	奖励5	奖励5权重	奖励6	奖励6权重	奖励7	奖励7权重	奖励8	奖励8权重	奖励9	奖励9权重	奖励10	奖励10权重	奖励11	奖励11权重	奖励12	奖励12权重	奖励13	奖励13权重	奖励14	奖励14权重	奖励15	奖励15权重
1201	领地boss正义之子掉落	fragment.5021:1,user.legion:100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1202	领地boss古怪巫师掉落	fragment.5022:1,user.legion:100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1203	领地boss狮鹫骑士掉落	fragment.5023:1,user.legion:100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1204	领地boss精灵游侠掉落	fragment.5024:1,user.legion:100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1205	领地boss潮汐之灾掉落	fragment.5025:1,user.legion:100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1206	领地boss海洋之灵掉落	fragment.5026:1,user.legion:100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1207	领地boss死亡大帝掉落	fragment.5027:1,user.legion:100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1208	领地boss驯龙女巫掉落	fragment.5028:1,user.legion:100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1300	村庄荒地掉落	0	0	2	material.940:1	120	user.gold:200	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1301	本服村庄掉落1	0	0	2	fragment.4003:1	120	user.gold:200	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1302	本服村庄掉落2	0	0	2	fragment.4004:1	120	user.gold:200	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1303	本服村庄掉落3	0	0	2	fragment.4007:1	120	user.gold:200	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1304	本服村庄掉落4	0	0	2	fragment.4008:1	120	user.gold:200	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1305	本服村庄掉落5	0	0	2	fragment.4011:1	120	user.gold:200	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1306	本服村庄掉落6	0	0	2	fragment.4012:1	120	user.gold:200	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1307	本服村庄掉落7	0	0	2	fragment.4013:1	120	user.gold:200	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1308	本服村庄掉落8	0	0	2	fragment.4014:1	120	user.gold:200	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1309	本服村庄掉落9	0	0	2	fragment.4017:1	120	user.gold:200	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1310	本服村庄掉落10	0	0	2	fragment.4018:1	120	user.gold:200	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1311	本服村庄掉落11	0	0	2	fragment.4019:1	120	user.gold:200	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1312	本服村庄掉落12	0	0	2	fragment.4020:1	120	user.gold:200	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1320	跨服村庄掉落1	0	0	2	material.950:1	40	user.gold:400	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1321	跨服村庄掉落1	0	0	2	fragment.5001:1	40	user.gold:400	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1322	跨服村庄掉落2	0	0	2	fragment.5002:1	40	user.gold:400	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1323	跨服村庄掉落3	0	0	2	fragment.5005:1	40	user.gold:400	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1324	跨服村庄掉落4	0	0	2	fragment.5006:1	40	user.gold:400	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1325	跨服村庄掉落5	0	0	2	fragment.5009:1	40	user.gold:400	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1326	跨服村庄掉落6	0	0	2	fragment.5010:1	40	user.gold:400	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1327	跨服村庄掉落7	0	0	2	fragment.5015:1	40	user.gold:400	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1328	跨服村庄掉落8	0	0	2	fragment.5016:1	40	user.gold:400	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1329	跨服村庄掉落9	0	0	2	fragment.5021:1	40	user.gold:400	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1330	跨服村庄掉落10	0	0	2	fragment.5022:1	40	user.gold:400	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1331	跨服村庄掉落11	0	0	2	fragment.5023:1	40	user.gold:400	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1332	跨服村庄掉落12	0	0	2	fragment.5024:1	40	user.gold:400	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1333	跨服村庄掉落13	0	0	2	fragment.5025:1	40	user.gold:400	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1334	跨服村庄掉落14	0	0	2	fragment.5026:1	40	user.gold:400	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1335	跨服村庄掉落15	0	0	2	fragment.5027:1	40	user.gold:400	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1336	跨服村庄掉落16	0	0	2	fragment.5028:1	40	user.gold:400	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7101	尨境争夺_怪物掉落	user.legion:10	0	1	material.940:1	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7201	尨境争夺_秘匣产出	0	1	1	user.legion:100	2000	fragment.4013:3	3000	fragment.4014:3	3000	user.ntoken:1	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7301	尨境争夺_高级秘匣产出	0	1	1	user.legion:800	5000	fragment.5027:3	2000	fragment.5028:3	2000	user.htoken:1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7401	点金雕像_赏赐	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100001	宝石袋	0	1	1	gem.101:1	2000	gem.201:1	2000	gem.301:1	2000	gem.401:1	2000	gem.102:1	250	gem.202:1	250	gem.302:1	250	gem.402:1	250	gem.103:1	250	gem.203:1	250	gem.303:1	250	gem.403:1	250	0	0	0	0	0	0
100002	高级宝石袋	0	1	1	gem.103:1	1722	gem.203:1	1722	gem.303:1	1722	gem.403:1	1722	gem.104:1	528	gem.204:1	528	gem.304:1	528	gem.404:1	528	gem.105:1	250	gem.205:1	250	gem.305:1	250	gem.405:1	250	0	0	0	0	0	0
100003	5级宝石袋	0	1	1	gem.105:1	200	gem.205:1	200	gem.305:1	200	gem.405:1	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100004	6级宝石袋	0	1	1	gem.106:1	200	gem.206:1	200	gem.306:1	200	gem.406:1	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100005	7级宝石袋	0	1	1	gem.107:1	200	gem.207:1	200	gem.307:1	200	gem.407:1	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100006	8级宝石袋	0	1	1	gem.108:1	200	gem.208:1	200	gem.308:1	200	gem.408:1	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100007	9级宝石袋	0	1	1	gem.109:1	200	gem.209:1	200	gem.309:1	200	gem.409:1	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100008	10级宝石袋	0	1	1	gem.110:1	200	gem.210:1	200	gem.310:1	200	gem.410:1	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100009	11级宝石袋	0	1	1	gem.111:1	200	gem.211:1	200	gem.311:1	200	gem.411:1	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100010	12级宝石袋	0	1	1	gem.112:1	200	gem.212:1	200	gem.312:1	200	gem.412:1	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100401	高级龙晶包	0	1	1	dragon.103:1	6156	dragon.104:1	3230	dragon.105:1	95	dragon.106:1	19	dragon.1003:1	324	dragon.1004:1	170	dragon.1005:1	5	dragon.1006:1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100402	低级龙晶包	0	1	1	dragon.101:1	4275	dragon.102:1	4750	dragon.103:1	95	dragon.104:1	19	dragon.1001:1	225	dragon.1002:1	250	dragon.1003:1	5	dragon.1004:1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100501	1级龙晶包	0	1	1	dragon.101:1	8000	dragon.1001:1	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100502	2级龙晶包	0	1	1	dragon.102:1	8000	dragon.1002:1	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100503	3级龙晶包	0	1	1	dragon.103:1	8000	dragon.1003:1	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100504	4级龙晶包	0	1	1	dragon.104:1	8000	dragon.1004:1	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100505	5级龙晶包	0	1	1	dragon.105:1	8000	dragon.1005:1	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100601	低级符文宝箱	0	1	1	group.20000001.0:1	8900	group.20000002.0:1	1000	group.20000003.0:1	80	group.20000004.0:1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100602	高级符文宝箱	0	1	1	group.20000002.0:1	4520	group.20000003.0:1	5380	group.20000004.0:1	80	group.20000005.0:1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101101	黄铜宝箱掉落	0	1	1	user.smelt:200	25	user.gold:20000	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101102	白银宝箱掉落	0	1	1	user.smelt:300	25	user.gold:40000	25	material.1:10	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101103	黄金宝箱掉落	0	1	1	user.smelt:400	25	user.gold:60000	25	material.1:16	25	user.sky_book:30	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101104	紫金宝箱掉落	0	1	1	user.smelt:600	25	user.gold:80000	25	material.1:20	25	user.sky_book:40	25	material.11:40	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101105	钻石宝箱掉落	0	1	1	user.smelt:800	25	user.gold:100000	25	material.1:24	25	user.sky_book:50	25	material.12:25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101106	王者宝箱掉落	0	1	1	user.smelt:1000	25	user.gold:200000	25	material.1:60	25	user.sky_book:100	25	material.13:20	25	material.200002:2	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101201	至尊装备箱掉落	0	1	1	group.2002.0:1	750	group.2003.0:1	220	group.2004.0:1	25	group.2005.0:1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101301	军团初级宝箱掉落（废弃）	0	1	1	material.1:10	2000	material.11:10	2000	material.41:25	2000	material.3:50	2000	group.2003.0:1	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101302	军团中级宝箱掉落（废弃）	0	1	1	material.1:15	2500	material.12:10	2000	material.41:35	2500	material.3:75	2500	group.2004.0:1	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101303	军团高级宝箱掉落（废弃）	0	1	1	material.1:20	2600	material.13:10	2100	material.41:50	2600	material.3:100	2600	group.2005.0:1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101401	屠龙补给箱Lv.1	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:19400	200	user.hero_exp:7100	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101402	屠龙补给箱Lv.2	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:21600	200	user.hero_exp:12500	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101403	屠龙补给箱Lv.3	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:25100	200	user.hero_exp:21200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101404	屠龙补给箱Lv.4	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:29400	200	user.hero_exp:31800	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101405	屠龙补给箱Lv.5	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:33300	200	user.hero_exp:41100	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101406	屠龙补给箱Lv.6	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:37500	200	user.hero_exp:51600	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101407	屠龙补给箱Lv.7	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:42000	200	user.hero_exp:62800	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101408	屠龙补给箱Lv.8	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:46400	200	user.hero_exp:73700	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101409	屠龙补给箱Lv.9	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:49000	200	user.hero_exp:80200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101410	屠龙补给箱Lv.10	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:51800	200	user.hero_exp:86800	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101411	屠龙补给箱Lv.11	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:54400	200	user.hero_exp:93400	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101412	屠龙补给箱Lv.12	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:57300	200	user.hero_exp:101000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101413	屠龙补给箱Lv.13	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:60300	200	user.hero_exp:108000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101414	屠龙补给箱Lv.14	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:63400	200	user.hero_exp:115000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101415	屠龙补给箱Lv.15	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:66400	200	user.hero_exp:123000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101416	屠龙补给箱Lv.16	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:69200	200	user.hero_exp:130000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101417	屠龙补给箱Lv.17	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:69900	200	user.hero_exp:131000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101418	屠龙补给箱Lv.18	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:70800	200	user.hero_exp:133000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101419	屠龙补给箱Lv.19	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:71600	200	user.hero_exp:134000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101420	屠龙补给箱Lv.20	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:72600	200	user.hero_exp:136000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101421	屠龙补给箱Lv.21	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:73600	200	user.hero_exp:138000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101422	屠龙补给箱Lv.22	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:74700	200	user.hero_exp:140000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101423	屠龙补给箱Lv.23	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:75700	200	user.hero_exp:142000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101424	屠龙补给箱Lv.24	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:77000	200	user.hero_exp:144000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101425	屠龙补给箱Lv.25	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:78100	200	user.hero_exp:147000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101426	屠龙补给箱Lv.26	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:79500	200	user.hero_exp:149000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101427	屠龙补给箱Lv.27	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:80800	200	user.hero_exp:152000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101428	屠龙补给箱Lv.28	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:82300	200	user.hero_exp:154000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101429	屠龙补给箱Lv.29	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:83700	200	user.hero_exp:157000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101430	屠龙补给箱Lv.30	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:85300	200	user.hero_exp:160000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101431	屠龙补给箱Lv.31	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:86800	200	user.hero_exp:163000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101432	屠龙补给箱Lv.32	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:88600	200	user.hero_exp:166000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101433	屠龙补给箱Lv.33	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:90200	200	user.hero_exp:169000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101434	屠龙补给箱Lv.34	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:92100	200	user.hero_exp:173000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101435	屠龙补给箱Lv.35	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:93800	200	user.hero_exp:176000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101436	屠龙补给箱Lv.36	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:95800	200	user.hero_exp:180000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101437	屠龙补给箱Lv.37	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:97700	200	user.hero_exp:183000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101438	屠龙补给箱Lv.38	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:99800	200	user.hero_exp:187000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101439	屠龙补给箱Lv.39	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:102000	200	user.hero_exp:191000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101440	屠龙补给箱Lv.40	0	1	1	user.bindcash:20	100	material.1:50	100	user.ntoken:3	100	material.940:10	100	material.950:2	100	user.sky_book:200	100	user.gold:104000	200	user.hero_exp:194000	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
