建筑ID	建筑等级	需求主城等级	升至本级需求常规建筑等级	升至本级需求建筑等级	升至本级建筑消耗	参数
6	2	2	8	1	user.mine_1:-420,user.mine_3:-440	10
6	3	3	8	2	user.mine_1:-850,user.mine_3:-940	15
6	4	4	8	3	user.mine_1:-1720,user.mine_3:-2000	20
6	5	5	8	4	user.mine_1:-2320,user.mine_3:-2820	25
6	6	6	8	5	user.mine_1:-2950,user.mine_3:-3720	30
6	7	7	8	6	user.mine_1:-3580,user.mine_3:-4690	35
6	8	8	8	7	user.mine_1:-4240,user.mine_3:-5750	40
6	9	9	8	8	user.mine_1:-4910,user.mine_3:-6880	45
6	10	10	8	9	user.mine_1:-5590,user.mine_3:-8090	50
7	1	1	0	0	user.mine_1:-140,user.mine_3:-140	5
7	2	2	8	1	user.mine_1:-420,user.mine_3:-440	10
7	3	3	8	2	user.mine_1:-850,user.mine_3:-940	15
7	4	4	8	3	user.mine_1:-1720,user.mine_3:-2000	20
7	5	5	8	4	user.mine_1:-2320,user.mine_3:-2820	25
7	6	6	8	5	user.mine_1:-2950,user.mine_3:-3720	30
7	7	7	8	6	user.mine_1:-3580,user.mine_3:-4690	35
7	8	8	8	7	user.mine_1:-4240,user.mine_3:-5750	40
7	9	9	8	8	user.mine_1:-4910,user.mine_3:-6880	45
7	10	10	8	9	user.mine_1:-5590,user.mine_3:-8090	50
8	1	1	5|6|7	1	user.mine_1:-270,user.mine_3:-270	12|6
8	2	2	5|6|7	2	user.mine_1:-830,user.mine_3:-880	10|8
8	3	3	5|6|7	3	user.mine_1:-1690,user.mine_3:-1880	8|9
8	4	4	5|6|7	4	user.mine_1:-3440,user.mine_3:-3990	6.6|11
8	5	5	5|6|7	5	user.mine_1:-4650,user.mine_3:-5630	6|12
8	6	6	5|6|7	6	user.mine_1:-5890,user.mine_3:-7430	5.4|14
8	7	7	5|6|7	7	user.mine_1:-7170,user.mine_3:-9380	4.8|15
8	8	8	5|6|7	8	user.mine_1:-8470,user.mine_3:-11490	4|18
8	9	9	5|6|7	9	user.mine_1:-9810,user.mine_3:-13760	3.5|21
8	10	10	5|6|7	10	user.mine_1:-11190,user.mine_3:-16180	3|24
9	1	1	0	0	user.mine_1:-140,user.mine_4:-140	10
9	2	2	12	1	user.mine_1:-420,user.mine_4:-440	20
9	3	3	12	2	user.mine_1:-850,user.mine_4:-940	30
9	4	4	12	3	user.mine_1:-1720,user.mine_4:-2000	40
9	5	5	12	4	user.mine_1:-2320,user.mine_4:-2820	50
9	6	6	12	5	user.mine_1:-2950,user.mine_4:-3720	60
9	7	7	12	6	user.mine_1:-3580,user.mine_4:-4690	70
9	8	8	12	7	user.mine_1:-4240,user.mine_4:-5750	80
9	9	9	12	8	user.mine_1:-4910,user.mine_4:-6880	90
9	10	10	12	9	user.mine_1:-5590,user.mine_4:-8090	100
10	1	1	0	0	user.mine_1:-140,user.mine_4:-140	2
10	2	2	12	1	user.mine_1:-420,user.mine_4:-440	4
10	3	3	12	2	user.mine_1:-850,user.mine_4:-940	6
10	4	4	12	3	user.mine_1:-1720,user.mine_4:-2000	8
10	5	5	12	4	user.mine_1:-2320,user.mine_4:-2820	10
10	6	6	12	5	user.mine_1:-2950,user.mine_4:-3720	12
10	7	7	12	6	user.mine_1:-3580,user.mine_4:-4690	14
10	8	8	12	7	user.mine_1:-4240,user.mine_4:-5750	16
10	9	9	12	8	user.mine_1:-4910,user.mine_4:-6880	18
10	10	10	12	9	user.mine_1:-5590,user.mine_4:-8090	20
11	1	1	0	0	user.mine_1:-140,user.mine_4:-140	4
11	2	2	12	1	user.mine_1:-420,user.mine_4:-440	8
11	3	3	12	2	user.mine_1:-850,user.mine_4:-940	12
11	4	4	12	3	user.mine_1:-1720,user.mine_4:-2000	16
11	5	5	12	4	user.mine_1:-2320,user.mine_4:-2820	20
11	6	6	12	5	user.mine_1:-2950,user.mine_4:-3720	24
11	7	7	12	6	user.mine_1:-3580,user.mine_4:-4690	28
11	8	8	12	7	user.mine_1:-4240,user.mine_4:-5750	32
11	9	9	12	8	user.mine_1:-4910,user.mine_4:-6880	36
11	10	10	12	9	user.mine_1:-5590,user.mine_4:-8090	40
12	1	1	9|10|11	1	user.mine_1:-270,user.mine_4:-270	12|6
12	2	2	9|10|11	2	user.mine_1:-830,user.mine_4:-880	10|8
12	3	3	9|10|11	3	user.mine_1:-1690,user.mine_4:-1880	8|9
12	4	4	9|10|11	4	user.mine_1:-3440,user.mine_4:-3990	6.6|11
12	5	5	9|10|11	5	user.mine_1:-4650,user.mine_4:-5630	6|12
12	6	6	9|10|11	6	user.mine_1:-5890,user.mine_4:-7430	5.4|14
12	7	7	9|10|11	7	user.mine_1:-7170,user.mine_4:-9380	4.8|15
12	8	8	9|10|11	8	user.mine_1:-8470,user.mine_4:-11490	4|18
12	9	9	9|10|11	9	user.mine_1:-9810,user.mine_4:-13760	3.5|21
12	10	10	9|10|11	10	user.mine_1:-11190,user.mine_4:-16180	3|24
13	1	1	0	0	user.mine_1:-140,user.mine_5:-140	-12
13	2	2	16	1	user.mine_1:-420,user.mine_5:-440	-14
13	3	3	16	2	user.mine_1:-850,user.mine_5:-940	-16
13	4	4	16	3	user.mine_1:-1720,user.mine_5:-2000	-18
13	5	5	16	4	user.mine_1:-2320,user.mine_5:-2820	-20
13	6	6	16	5	user.mine_1:-2950,user.mine_5:-3720	-22
13	7	7	16	6	user.mine_1:-3580,user.mine_5:-4690	-24
13	8	8	16	7	user.mine_1:-4240,user.mine_5:-5750	-26
13	9	9	16	8	user.mine_1:-4910,user.mine_5:-6880	-28
13	10	10	16	9	user.mine_1:-5590,user.mine_5:-8090	-30
14	1	1	0	0	user.mine_1:-140,user.mine_5:-140	3
14	2	2	16	1	user.mine_1:-420,user.mine_5:-440	6
14	3	3	16	2	user.mine_1:-850,user.mine_5:-940	9
14	4	4	16	3	user.mine_1:-1720,user.mine_5:-2000	12
14	5	5	16	4	user.mine_1:-2320,user.mine_5:-2820	15
14	6	6	16	5	user.mine_1:-2950,user.mine_5:-3720	18
14	7	7	16	6	user.mine_1:-3580,user.mine_5:-4690	21
14	8	8	16	7	user.mine_1:-4240,user.mine_5:-5750	24
14	9	9	16	8	user.mine_1:-4910,user.mine_5:-6880	27
14	10	10	16	9	user.mine_1:-5590,user.mine_5:-8090	30
15	1	1	0	0	user.mine_1:-140,user.mine_5:-140	4
15	2	2	16	1	user.mine_1:-420,user.mine_5:-440	8
15	3	3	16	2	user.mine_1:-850,user.mine_5:-940	12
15	4	4	16	3	user.mine_1:-1720,user.mine_5:-2000	16
15	5	5	16	4	user.mine_1:-2320,user.mine_5:-2820	20
15	6	6	16	5	user.mine_1:-2950,user.mine_5:-3720	24
15	7	7	16	6	user.mine_1:-3580,user.mine_5:-4690	28
15	8	8	16	7	user.mine_1:-4240,user.mine_5:-5750	32
15	9	9	16	8	user.mine_1:-4910,user.mine_5:-6880	36
15	10	10	16	9	user.mine_1:-5590,user.mine_5:-8090	40
16	1	1	13|14|15	1	user.mine_1:-270,user.mine_5:-270	12|6
16	2	2	13|14|15	2	user.mine_1:-830,user.mine_5:-880	10|8
16	3	3	13|14|15	3	user.mine_1:-1690,user.mine_5:-1880	8|9
16	4	4	13|14|15	4	user.mine_1:-3440,user.mine_5:-3990	6.6|11
16	5	5	13|14|15	5	user.mine_1:-4650,user.mine_5:-5630	6|12
16	6	6	13|14|15	6	user.mine_1:-5890,user.mine_5:-7430	5.4|14
16	7	7	13|14|15	7	user.mine_1:-7170,user.mine_5:-9380	4.8|15
16	8	8	13|14|15	8	user.mine_1:-8470,user.mine_5:-11490	4|18
16	9	9	13|14|15	9	user.mine_1:-9810,user.mine_5:-13760	3.5|21
16	10	10	13|14|15	10	user.mine_1:-11190,user.mine_5:-16180	3|24
