章节ID	关数	名称	前置关卡	是否支线	战斗ID1	通关奖励1	战斗ID2	通关奖励2	战斗ID3	通关奖励3	坐标	章节奖励	索引ID
2	21	【支线】2-21	20	1	32007	user.soul:39	32008	user.soul:39	32009	user.soul:39	1013|302	enhance	3
2	22	【支线】2-22	14	2	32010	user.soul:39	32011	user.soul:39	32012	user.soul:39	625|594	0	0
2	23	【支线】2-23	22	2	32013	user.soul:39	32014	user.soul:39	32015	user.soul:39	542|605	box	4
3	1	【主线】3-1	0	0	31127	user.soul:70	31128	user.soul:70	31129	user.soul:70	55|400	0	0
3	2	【主线】3-2	1	0	31130	user.soul:70	31131	user.soul:70	31132	user.soul:70	180|335	0	0
3	3	【主线】3-3	2	0	31133	user.soul:70	31134	user.soul:70	31135	user.soul:70	308|270	0	0
3	4	【主线】3-4	3	0	31136	user.soul:70	31137	user.soul:70	31138	user.soul:70	427|342	0	0
3	5	【主线】3-5	4	0	31139	user.soul:70	31140	user.soul:70	31141	user.soul:70	315|400	0	0
3	6	【主线】3-6	5	0	31142	user.soul:70	31143	user.soul:70	31144	user.soul:70	424|466	0	0
3	7	【主线】3-7	6	0	31145	user.soul:70	31146	user.soul:70	31147	user.soul:70	310|532	0	0
3	8	【主线】3-8	7	0	31148	user.soul:70	31149	user.soul:70	31150	user.soul:70	523|645	0	0
3	9	【主线】3-9	8	0	31151	user.soul:70	31152	user.soul:70	31153	user.soul:70	623|595	0	0
3	10	【主线】3-10	9	0	31154	user.soul:70	31155	user.soul:70	31156	user.soul:70	530|540	0	0
3	11	【主线】3-11	10	0	31157	user.soul:70	31158	user.soul:70	31159	user.soul:70	658|448	0	0
3	12	【主线】3-12	11	0	31160	user.soul:70	31161	user.soul:70	31162	user.soul:70	744|403	0	0
3	13	【主线】3-13	12	0	31163	user.soul:70	31164	user.soul:70	31165	user.soul:70	848|468	0	0
3	14	【主线】3-14	13	0	31166	user.soul:70	31167	user.soul:70	31168	user.soul:70	960|514	0	0
3	15	【主线】3-15	14	0	31169	user.soul:70	31170	user.soul:70	31171	user.soul:70	1050|470	0	0
3	16	【主线】3-16	15	0	31172	user.soul:70	31173	user.soul:70	31174	user.soul:70	964|410	0	0
3	17	【主线】3-17	16	0	31175	user.soul:70	31176	user.soul:70	31177	user.soul:70	1027|364	0	0
3	18	【主线】3-18	17	0	31178	user.soul:70	31179	user.soul:70	31180	user.soul:70	830|239	0	0
3	19	【支线】3-19	11	1	32016	user.soul:42	32017	user.soul:42	32018	user.soul:42	556|391	0	0
3	20	【支线】3-20	19	1	32019	user.soul:42	32020	user.soul:42	32021	user.soul:42	647|338	0	0
3	21	【支线】3-21	20	1	32022	user.soul:42	32023	user.soul:42	32024	user.soul:42	532|269	box	1
3	22	【支线】3-22	12	2	32025	user.soul:42	32026	user.soul:42	32027	user.soul:42	846|345	0	0
3	23	【支线】3-23	22	2	32028	user.soul:42	32029	user.soul:42	32030	user.soul:42	650|216	enhance	3
3	24	【支线】3-24	13	3	32031	user.soul:42	32032	user.soul:42	32033	user.soul:42	761|519	box	4
4	1	【主线】4-1	0	0	31181	user.soul:75	31182	user.soul:75	31183	user.soul:75	155|590	0	0
4	2	【主线】4-2	1	0	31184	user.soul:75	31185	user.soul:75	31186	user.soul:75	83|549	0	0
4	3	【主线】4-3	2	0	31187	user.soul:75	31188	user.soul:75	31189	user.soul:75	200|500	0	0
4	4	【主线】4-4	3	0	31190	user.soul:75	31191	user.soul:75	31192	user.soul:75	340|560	0	0
4	5	【主线】4-5	4	0	31193	user.soul:75	31194	user.soul:75	31195	user.soul:75	431|511	0	0
4	6	【主线】4-6	5	0	31196	user.soul:75	31197	user.soul:75	31198	user.soul:75	331|490	0	0
4	7	【主线】4-7	6	0	31199	user.soul:75	31200	user.soul:75	31201	user.soul:75	145|380	0	0
4	8	【主线】4-8	7	0	31202	user.soul:75	31203	user.soul:75	31204	user.soul:75	241|333	0	0
4	9	【主线】4-9	8	0	31205	user.soul:75	31206	user.soul:75	31207	user.soul:75	372|392	0	0
4	10	【主线】4-10	9	0	31208	user.soul:75	31209	user.soul:75	31210	user.soul:75	481|435	0	0
4	11	【主线】4-11	10	0	31211	user.soul:75	31212	user.soul:75	31213	user.soul:75	650|385	0	0
4	12	【主线】4-12	11	0	31214	user.soul:75	31215	user.soul:75	31216	user.soul:75	731|317	0	0
4	13	【主线】4-13	12	0	31217	user.soul:75	31218	user.soul:75	31219	user.soul:75	804|279	0	0
4	14	【主线】4-14	13	0	31220	user.soul:75	31221	user.soul:75	31222	user.soul:75	873|340	0	0
4	15	【主线】4-15	14	0	31223	user.soul:75	31224	user.soul:75	31225	user.soul:75	997|358	0	0
4	16	【主线】4-16	15	0	31226	user.soul:75	31227	user.soul:75	31228	user.soul:75	1100|310	0	0
4	17	【主线】4-17	16	0	31229	user.soul:75	31230	user.soul:75	31231	user.soul:75	990|289	0	0
4	18	【主线】4-18	17	0	31232	user.soul:75	31233	user.soul:75	31234	user.soul:75	890|223	0	0
4	19	【支线】4-19	7	1	32034	user.soul:45	32035	user.soul:45	32036	user.soul:45	42|326	0	0
4	20	【支线】4-20	19	1	32037	user.soul:45	32038	user.soul:45	32039	user.soul:45	227|248	enhance	3
4	21	【支线】4-21	10	2	32040	user.soul:45	32041	user.soul:45	32042	user.soul:45	540|497	0	0
4	22	【支线】4-22	21	2	32043	user.soul:45	32044	user.soul:45	32045	user.soul:45	638|502	box	1
4	23	【支线】4-23	12	3	32046	user.soul:45	32047	user.soul:45	32048	user.soul:45	804|377	0	0
4	24	【支线】4-24	23	3	32049	user.soul:45	32050	user.soul:45	32051	user.soul:45	885|394	box	4
5	1	【主线】5-1	0	0	31235	user.soul:80	31236	user.soul:80	31237	user.soul:80	80|560	0	0
5	2	【主线】5-2	1	0	31238	user.soul:80	31239	user.soul:80	31240	user.soul:80	157|495	0	0
5	3	【主线】5-3	2	0	31241	user.soul:80	31242	user.soul:80	31243	user.soul:80	248|460	0	0
5	4	【主线】5-4	3	0	31244	user.soul:80	31245	user.soul:80	31246	user.soul:80	43|358	0	0
5	5	【主线】5-5	4	0	31247	user.soul:80	31248	user.soul:80	31249	user.soul:80	123|298	0	0
5	6	【主线】5-6	5	0	31250	user.soul:80	31251	user.soul:80	31252	user.soul:80	293|378	0	0
5	7	【主线】5-7	6	0	31253	user.soul:80	31254	user.soul:80	31255	user.soul:80	470|470	0	0
5	8	【主线】5-8	7	0	31256	user.soul:80	31257	user.soul:80	31258	user.soul:80	553|396	0	0
5	9	【主线】5-9	8	0	31259	user.soul:80	31260	user.soul:80	31261	user.soul:80	463|349	enhance	3
5	10	【主线】5-10	9	0	31262	user.soul:80	31263	user.soul:80	31264	user.soul:80	660|348	0	0
5	11	【主线】5-11	10	0	31265	user.soul:80	31266	user.soul:80	31267	user.soul:80	722|420	0	0
5	12	【主线】5-12	11	0	31268	user.soul:80	31269	user.soul:80	31270	user.soul:80	828|473	0	0
5	13	【主线】5-13	12	0	31271	user.soul:80	31272	user.soul:80	31273	user.soul:80	920|535	0	0
5	14	【主线】5-14	13	0	31274	user.soul:80	31275	user.soul:80	31276	user.soul:80	825|610	0	0
5	15	【主线】5-15	14	0	31277	user.soul:80	31278	user.soul:80	31279	user.soul:80	747|568	0	0
5	16	【支线】5-16	7	1	32052	user.soul:48	32053	user.soul:48	32054	user.soul:48	363|518	0	0
5	17	【支线】5-17	16	1	32055	user.soul:48	32056	user.soul:48	32057	user.soul:48	256|570	0	0
5	18	【支线】5-18	17	1	32058	user.soul:48	32059	user.soul:48	32060	user.soul:48	357|645	0	0
5	19	【支线】5-19	18	1	32061	user.soul:48	32062	user.soul:48	32063	user.soul:48	546|556	box	1
5	20	【支线】5-20	13	2	32064	user.soul:48	32065	user.soul:48	32066	user.soul:48	1100|449	0	0
5	21	【支线】5-21	20	2	32067	user.soul:48	32068	user.soul:48	32069	user.soul:48	1024|393	0	0
5	22	【支线】5-22	21	2	32070	user.soul:48	32071	user.soul:48	32072	user.soul:48	945|440	0	0
5	23	【支线】5-23	22	2	32073	user.soul:48	32074	user.soul:48	32075	user.soul:48	866|394	0	0
5	24	【支线】5-24	23	2	32076	user.soul:48	32077	user.soul:48	32078	user.soul:48	957|325	box	4
