召唤物ID	名称	模型ID	技能组Id	体型大小	基础攻击速度(毫秒)	基础移动速度(大于0则直接用该值做最终值)	射程类型	攻击距离(大于0则直接用该值做最终值)	生命上限继承百分比最小值	攻击继承百分比	物理护甲继承百分比	魔法抗性继承百分比	出生buff	层级类型(1下，2上, 3同级)	出现特效	特效层级类型(1下，2上)	出现特效缩放	出现特效坐标X	出现特效坐标Y	是否可移动	强制寻找最近的单位	目标最高优先级类型	可否选中	随召唤者一起死
51101201	text_summonName_51100201	17006	51101201	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51101202	text_summonName_51100201	17006	51101202	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51101203	text_summonName_51100201	17006	51101203	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51101204	text_summonName_51100201	17006	51101204	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51101205	text_summonName_51100201	17006	51101205	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51101206	text_summonName_51100201	17006	51101206	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51101207	text_summonName_51100201	17006	51101207	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51101208	text_summonName_51100201	17006	51101208	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51101209	text_summonName_51100201	17006	51101209	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51101210	text_summonName_51100201	17006	51101210	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51101211	text_summonName_51100201	17006	51101211	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51101212	text_summonName_51100201	17006	51101212	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51101213	text_summonName_51100201	17006	51101213	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51101214	text_summonName_51100201	17006	51101214	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51101215	text_summonName_51100201	17006	51101215	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51102201	text_summonName_51100201	17006	51102201	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51102202	text_summonName_51100201	17006	51102202	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51102203	text_summonName_51100201	17006	51102203	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51102204	text_summonName_51100201	17006	51102204	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51102205	text_summonName_51100201	17006	51102205	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51102206	text_summonName_51100201	17006	51102206	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51102207	text_summonName_51100201	17006	51102207	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51102208	text_summonName_51100201	17006	51102208	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51102209	text_summonName_51100201	17006	51102209	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51102210	text_summonName_51100201	17006	51102210	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51102211	text_summonName_51100201	17006	51102211	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51102212	text_summonName_51100201	17006	51102212	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51102213	text_summonName_51100201	17006	51102213	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51102214	text_summonName_51100201	17006	51102214	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51102215	text_summonName_51100201	17006	51102215	40	1266	100	1	0	100	100	0	0	0	3	0	2	40	0	0	1	0	1	1	0
51130101	text_summonName_51130101	17004	51130101	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51130102	text_summonName_51130101	17004	51130102	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51130103	text_summonName_51130101	17004	51130103	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51130104	text_summonName_51130101	17004	51130104	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51130105	text_summonName_51130101	17004	51130105	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51130106	text_summonName_51130101	17004	51130106	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51130107	text_summonName_51130101	17004	51130107	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51130108	text_summonName_51130101	17004	51130108	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51130109	text_summonName_51130101	17004	51130109	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51130110	text_summonName_51130101	17004	51130110	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51130111	text_summonName_51130101	17004	51130111	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51130112	text_summonName_51130101	17004	51130112	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51130113	text_summonName_51130101	17004	51130113	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51130114	text_summonName_51130101	17004	51130114	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51130115	text_summonName_51130101	17004	51130115	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51131101	text_summonName_51130101	17004	51131101	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51131102	text_summonName_51130101	17004	51131102	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51131103	text_summonName_51130101	17004	51131103	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51131104	text_summonName_51130101	17004	51131104	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51131105	text_summonName_51130101	17004	51131105	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51131106	text_summonName_51130101	17004	51131106	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51131107	text_summonName_51130101	17004	51131107	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51131108	text_summonName_51130101	17004	51131108	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51131109	text_summonName_51130101	17004	51131109	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51131110	text_summonName_51130101	17004	51131110	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51131111	text_summonName_51130101	17004	51131111	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51131112	text_summonName_51130101	17004	51131112	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51131113	text_summonName_51130101	17004	51131113	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51131114	text_summonName_51130101	17004	51131114	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51131115	text_summonName_51130101	17004	51131115	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51132101	text_summonName_51130101	17004	51132101	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51132102	text_summonName_51130101	17004	51132102	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51132103	text_summonName_51130101	17004	51132103	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51132104	text_summonName_51130101	17004	51132104	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51132105	text_summonName_51130101	17004	51132105	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51132106	text_summonName_51130101	17004	51132106	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51132107	text_summonName_51130101	17004	51132107	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51132108	text_summonName_51130101	17004	51132108	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51132109	text_summonName_51130101	17004	51132109	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51132110	text_summonName_51130101	17004	51132110	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51132111	text_summonName_51130101	17004	51132111	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51132112	text_summonName_51130101	17004	51132112	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51132113	text_summonName_51130101	17004	51132113	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51132114	text_summonName_51130101	17004	51132114	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
51132115	text_summonName_51130101	17004	51132115	25	1333	100	2	400	100	100	0	0	0	3	skill_falao01	2	100	0	0	0	0	1	0	0
61030201	text_summonName_61030201	5023	61030201	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61030202	text_summonName_61030201	5023	61030202	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61030203	text_summonName_61030201	5023	61030203	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61030204	text_summonName_61030201	5023	61030204	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61030205	text_summonName_61030201	5023	61030205	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61030206	text_summonName_61030201	5023	61030206	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61030207	text_summonName_61030201	5023	61030207	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61030208	text_summonName_61030201	5023	61030208	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61030209	text_summonName_61030201	5023	61030209	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61030210	text_summonName_61030201	5023	61030210	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61030211	text_summonName_61030201	5023	61030211	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61030212	text_summonName_61030201	5023	61030212	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61030213	text_summonName_61030201	5023	61030213	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61030214	text_summonName_61030201	5023	61030214	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61030215	text_summonName_61030201	5023	61030215	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61031201	text_summonName_61030201	5023	61031201	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61031202	text_summonName_61030201	5023	61031202	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61031203	text_summonName_61030201	5023	61031203	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61031204	text_summonName_61030201	5023	61031204	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61031205	text_summonName_61030201	5023	61031205	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61031206	text_summonName_61030201	5023	61031206	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61031207	text_summonName_61030201	5023	61031207	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61031208	text_summonName_61030201	5023	61031208	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61031209	text_summonName_61030201	5023	61031209	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61031210	text_summonName_61030201	5023	61031210	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61031211	text_summonName_61030201	5023	61031211	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61031212	text_summonName_61030201	5023	61031212	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61031213	text_summonName_61030201	5023	61031213	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61031214	text_summonName_61030201	5023	61031214	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61031215	text_summonName_61030201	5023	61031215	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61032201	text_summonName_61030201	5023	61032201	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61032202	text_summonName_61030201	5023	61032202	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61032203	text_summonName_61030201	5023	61032203	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61032204	text_summonName_61030201	5023	61032204	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61032205	text_summonName_61030201	5023	61032205	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61032206	text_summonName_61030201	5023	61032206	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61032207	text_summonName_61030201	5023	61032207	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61032208	text_summonName_61030201	5023	61032208	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61032209	text_summonName_61030201	5023	61032209	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61032210	text_summonName_61030201	5023	61032210	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61032211	text_summonName_61030201	5023	61032211	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61032212	text_summonName_61030201	5023	61032212	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61032213	text_summonName_61030201	5023	61032213	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61032214	text_summonName_61030201	5023	61032214	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61032215	text_summonName_61030201	5023	61032215	35	1083	129	1	40	20	100	100	100	0	3	0	0	0	0	0	1	0	1	1	0
61020101	text_summonName_61020101	17002	61020101	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61020102	text_summonName_61020101	17002	61020102	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61020103	text_summonName_61020101	17002	61020103	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61020104	text_summonName_61020101	17002	61020104	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61020105	text_summonName_61020101	17002	61020105	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61020106	text_summonName_61020101	17002	61020106	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61020107	text_summonName_61020101	17002	61020107	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61020108	text_summonName_61020101	17002	61020108	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61020109	text_summonName_61020101	17002	61020109	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61020110	text_summonName_61020101	17002	61020110	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61020111	text_summonName_61020101	17002	61020111	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61020112	text_summonName_61020101	17002	61020112	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61020113	text_summonName_61020101	17002	61020113	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61020114	text_summonName_61020101	17002	61020114	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61020115	text_summonName_61020101	17002	61020115	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61021101	text_summonName_61020101	17002	61021101	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61021102	text_summonName_61020101	17002	61021102	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61021103	text_summonName_61020101	17002	61021103	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61021104	text_summonName_61020101	17002	61021104	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61021105	text_summonName_61020101	17002	61021105	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61021106	text_summonName_61020101	17002	61021106	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61021107	text_summonName_61020101	17002	61021107	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61021108	text_summonName_61020101	17002	61021108	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61021109	text_summonName_61020101	17002	61021109	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61021110	text_summonName_61020101	17002	61021110	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61021111	text_summonName_61020101	17002	61021111	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61021112	text_summonName_61020101	17002	61021112	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61021113	text_summonName_61020101	17002	61021113	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61021114	text_summonName_61020101	17002	61021114	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61021115	text_summonName_61020101	17002	61021115	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61022101	text_summonName_61020101	17002	61022101	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61022102	text_summonName_61020101	17002	61022102	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61022103	text_summonName_61020101	17002	61022103	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61022104	text_summonName_61020101	17002	61022104	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61022105	text_summonName_61020101	17002	61022105	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61022106	text_summonName_61020101	17002	61022106	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61022107	text_summonName_61020101	17002	61022107	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
