等级	主角ID	最低英雄基础星级	最高英雄基础星级	英雄数	突破等级	军队等级	技能等级	基础怒气	命中率	闪避率	暴击率	抗暴率	伤害加成	伤害减免	暴击伤害	暴击减伤	技能伤害加成	技能伤害减免	无视护甲	无视技防	治疗加成	怒气回复加成	负面抗性
9	20000	1	4	3	0	1	1	4.7819439671	9.5426348499	9.5426348499	9.5426348499	9.5426348499	9.5426348499	9.5426348499	5.844598182	0	3.1879626447	7.4385795044	2.6566355373	2.6566355373	2.6566355373	2.6566355373	2.6566355373
10	20000	1	4	3	0	1	1	5.9112458663	11.796219529	11.796219529	11.796219529	11.796219529	11.796219529	11.796219529	7.2248560588	0	3.9408305775	9.1952713476	3.2840254813	3.2840254813	3.2840254813	3.2840254813	3.2840254813
11	20000	1	4	3	0	1	1	7.1456626043	14.259566708	14.259566708	14.259566708	14.259566708	14.259566708	14.259566708	8.7335876275	0	4.7637750696	11.115475162	3.969812558	3.969812558	3.969812558	3.969812558	3.969812558
12	20000	1	4	3	0	1	1	8.4829975119	16.928292813	16.928292813	16.928292813	16.928292813	16.928292813	16.928292813	10.36810807	0	5.6553316746	13.195773907	4.7127763955	4.7127763955	4.7127763955	4.7127763955	4.7127763955
13	20000	1	4	3	0	1	1	9.9213038197	19.798512956	19.798512956	19.798512956	19.798512956	19.798512956	19.798512956	12.126038002	0	6.6142025465	15.433139275	5.5118354554	5.5118354554	5.5118354554	5.5118354554	5.5118354554
14	20000	1	4	4	0	1	1	11.458836968	22.866745771	22.866745771	22.866745771	22.866745771	22.866745771	22.866745771	14.005245183	0	7.6392246452	17.824857506	6.3660205377	6.3660205377	6.3660205377	6.3660205377	6.3660205377
15	20000	1	4	4	0	1	1	13.094019114	26.129842588	26.129842588	26.129842588	26.129842588	26.129842588	26.129842588	16.00380114	0	8.7293460761	20.368474178	7.2744550635	7.2744550635	7.2744550635	7.2744550635	7.2744550635
16	20000	1	4	4	0	1	1	14.825412046	29.584933371	29.584933371	29.584933371	29.584933371	29.584933371	29.584933371	18.119948056	0	9.8836080304	23.061752071	8.2363400253	8.2363400253	8.2363400253	8.2363400253	8.2363400253
17	20000	1	4	4	0	1	1	16.651696057	33.229384576	33.229384576	33.229384576	33.229384576	33.229384576	33.229384576	20.352072958	0	11.101130705	25.902638311	9.2509422538	9.2509422538	9.2509422538	9.2509422538	9.2509422538
18	20000	1	4	4	0	1	1	18.571653183	37.060765685	37.060765685	37.060765685	37.060765685	37.060765685	37.060765685	22.698687223	0	12.381102122	28.889238284	10.317585102	10.317585102	10.317585102	10.317585102	10.317585102
19	20000	1	4	4	0	1	1	20.584153675	41.076822222	41.076822222	41.076822222	41.076822222	41.076822222	41.076822222	25.158410047	0	13.722769117	32.019794605	11.43564093	11.43564093	11.43564093	11.43564093	11.43564093
20	20000	1	4	4	0	1	1	22.688144946	45.275453692	45.275453692	45.275453692	45.275453692	45.275453692	45.275453692	27.729954934	0	15.125429964	35.292669916	12.60452497	12.60452497	12.60452497	12.60452497	12.60452497
21	20000	1	4	4	0	1	1	24.882642421	49.654695321	49.654695321	49.654695321	49.654695321	49.654695321	49.654695321	30.412118515	0	16.588428281	38.706332655	13.823690234	13.823690234	13.823690234	13.823690234	13.823690234
22	20000	1	4	4	0	1	1	27.166721891	54.212702796	54.212702796	54.212702796	54.212702796	54.212702796	54.212702796	33.2037712	0	18.111147927	42.259345164	15.092623273	15.092623273	15.092623273	15.092623273	15.092623273
23	20000	1	4	4	0	1	1	29.53951305	58.947739374	58.947739374	58.947739374	58.947739374	58.947739374	58.947739374	36.103849283	0	19.6930087	45.950353633	16.410840583	16.410840583	16.410840583	16.410840583	16.410840583
24	20000	1	4	4	0	1	1	32.000193996	63.858164907	63.858164907	63.858164907	63.858164907	63.858164907	63.858164907	39.111348217	0	21.333462664	49.778079549	17.777885553	17.777885553	17.777885553	17.777885553	17.777885553
25	20000	1	4	4	0	1	1	34.547986515	68.942426424	68.942426424	68.942426424	68.942426424	68.942426424	68.942426424	42.225316852	0	23.03199101	53.741312357	19.193325842	19.193325842	19.193325842	19.193325842	19.193325842
26	20000	1	4	4	0	1	1	37.182152002	74.199049994	74.199049994	74.199049994	74.199049994	74.199049994	74.199049994	45.444852446	0	24.788101334	57.838903114	20.656751112	20.656751112	20.656751112	20.656751112	20.656751112
27	20000	1	4	4	0	1	1	39.901987908	79.626633648	79.626633648	79.626633648	79.626633648	79.626633648	79.626633648	48.769096332	0	26.601325272	62.069758968	22.16777106	22.16777106	22.16777106	22.16777106	22.16777106
28	20000	1	4	4	0	1	1	42.706824648	85.223841187	85.223841187	85.223841187	85.223841187	85.223841187	85.223841187	52.197230125	0	28.471216432	66.432838341	23.726013693	23.726013693	23.726013693	23.726013693	23.726013693
29	20000	1	4	4	0	1	1	45.596022863	90.989396735	90.989396735	90.989396735	90.989396735	90.989396735	90.989396735	55.728472388	0	30.397348575	70.927146675	25.331123813	25.331123813	25.331123813	25.331123813	25.331123813
30	20000	1	4	5	0	1	1	48.568971012	96.92207993	96.92207993	96.92207993	96.92207993	96.92207993	96.92207993	59.362075681	0	32.379314008	75.551732685	26.982761673	26.982761673	26.982761673	26.982761673	26.982761673
31	20003	1	4	5	0	1	1	51.625083229	103.02072164	103.02072164	103.02072164	103.02072164	103.02072164	103.02072164	63.097323947	0	34.416722153	80.305685023	28.680601794	28.680601794	28.680601794	28.680601794	28.680601794
32	20003	1	4	5	0	1	1	54.763797416	109.28420018	109.28420018	109.28420018	109.28420018	109.28420018	109.28420018	66.933530176	0	36.509198278	85.188129314	30.424331898	30.424331898	30.424331898	30.424331898	30.424331898
33	20003	1	4	5	0	1	1	57.984573528	115.71143784	115.71143784	115.71143784	115.71143784	115.71143784	115.71143784	70.870034312	0	38.656382352	90.198225488	32.21365196	32.21365196	32.21365196	32.21365196	32.21365196
34	20003	1	4	6	0	1	1	61.28689204	122.30139789	122.30139789	122.30139789	122.30139789	122.30139789	122.30139789	74.906201382	0	40.857928026	95.335165395	34.048273355	34.048273355	34.048273355	34.048273355	34.048273355
35	20003	1	4	6	0	1	1	64.670252558	129.05308177	129.05308177	129.05308177	129.05308177	129.05308177	129.05308177	79.041419793	0	43.113501705	100.59817065	35.927918088	35.927918088	35.927918088	35.927918088	35.927918088
36	20003	1	4	6	0	1	1	68.134172571	135.9655266	135.9655266	135.9655266	135.9655266	135.9655266	135.9655266	83.275099809	0	45.422781714	105.98649067	37.852318095	37.852318095	37.852318095	37.852318095	37.852318095
37	20003	1	4	6	0	1	1	71.678186306	143.0378029	143.0378029	143.0378029	143.0378029	143.0378029	143.0378029	87.606672152	0	47.785457538	111.49940092	39.821214615	39.821214615	39.821214615	39.821214615	39.821214615
38	20003	1	4	7	0	1	1	75.3018437	150.26901254	150.26901254	150.26901254	150.26901254	150.26901254	150.26901254	92.035586745	0	50.201229134	117.13620131	41.834357611	41.834357611	41.834357611	41.834357611	41.834357611
39	20003	1	4	7	0	1	1	79.00470945	157.65828686	157.65828686	157.65828686	157.65828686	157.65828686	157.65828686	96.561311551	0	52.6698063	122.8962147	43.89150525	43.89150525	43.89150525	43.89150525	43.89150525
40	20003	1	4	7	1	1	1	82.786362152	165.20478492	165.20478492	165.20478492	165.20478492	165.20478492	165.20478492	101.18333152	0	55.190908101	128.77878557	45.992423418	45.992423418	45.992423418	45.992423418	45.992423418
41	20003	1	4	7	1	1	1	86.646393505	172.90769193	172.90769193	172.90769193	172.90769193	172.90769193	172.90769193	105.90114762	0	57.764262337	134.78327879	48.13688528	48.13688528	48.13688528	48.13688528	48.13688528
42	20003	1	4	7	1	1	1	90.584407587	180.76621781	180.76621781	180.76621781	180.76621781	180.76621781	180.76621781	110.71427594	0	60.389605058	140.90907847	50.324670882	50.324670882	50.324670882	50.324670882	50.324670882
43	20003	1	4	7	1	1	1	94.600020181	188.77959583	188.77959583	188.77959583	188.77959583	188.77959583	188.77959583	115.62224689	0	63.066680121	147.15558695	52.555566767	52.555566767	52.555566767	52.555566767	52.555566767
44	20003	1	4	7	1	1	1	98.692858157	196.94708139	196.94708139	196.94708139	196.94708139	196.94708139	196.94708139	120.62460441	0	65.795238772	153.5222238	54.829365643	54.829365643	54.829365643	54.829365643	54.829365643
45	20003	1	4	7	1	1	1	102.8625589	205.26795087	205.26795087	205.26795087	205.26795087	205.26795087	205.26795087	125.72090532	0	68.575039266	160.00842495	57.145866055	57.145866055	57.145866055	57.145866055	57.145866055
46	20003	1	4	7	1	1	1	107.10876977	213.74150057	213.74150057	213.74150057	213.74150057	213.74150057	213.74150057	130.91071861	0	71.405846515	166.61364187	59.504872096	59.504872096	59.504872096	59.504872096	59.504872096
47	20003	1	4	7	1	1	1	111.43114763	222.36704572	222.36704572	222.36704572	222.36704572	222.36704572	222.36704572	136.19362489	0	74.287431756	173.33734077	61.90619313	61.90619313	61.90619313	61.90619313	61.90619313
48	20003	1	4	7	1	1	1	115.82935837	231.1439196	231.1439196	231.1439196	231.1439196	231.1439196	231.1439196	141.56921579	0	77.21957225	180.17900192	64.349643541	64.349643541	64.349643541	64.349643541	64.349643541
49	20003	1	4	7	1	1	1	120.30307649	240.07147263	240.07147263	240.07147263	240.07147263	240.07147263	240.07147263	147.03709348	0	80.202050991	187.13811898	66.835042493	66.835042493	66.835042493	66.835042493	66.835042493
50	20003	1	4	7	2	2	1	124.85198468	249.14907164	249.14907164	249.14907164	249.14907164	249.14907164	249.14907164	152.59687016	0	83.23465645	194.21419838	69.362213709	69.362213709	69.362213709	69.362213709	69.362213709
51	20004	4	5	7	2	2	1	129.47577348	258.37609907	258.37609907	258.37609907	258.37609907	258.37609907	258.37609907	158.24816758	0	86.317182319	201.40675874	71.930985266	71.930985266	71.930985266	71.930985266	71.930985266
52	20004	4	5	7	2	2	1	134.17414092	267.75195233	267.75195233	267.75195233	267.75195233	267.75195233	267.75195233	163.99061668	0	89.449427282	208.71533033	74.541189402	74.541189402	74.541189402	74.541189402	74.541189402
53	20004	4	5	7	2	2	1	138.9467922	277.2760431	277.2760431	277.2760431	277.2760431	277.2760431	277.2760431	169.82385713	0	92.631194801	216.13945453	77.192662334	77.192662334	77.192662334	77.192662334	77.192662334
54	20004	4	5	7	2	2	1	143.79343936	286.94779677	286.94779677	286.94779677	286.94779677	286.94779677	286.94779677	175.74753699	0	95.862292906	223.67868345	79.885244088	79.885244088	79.885244088	79.885244088	79.885244088
55	20004	4	5	7	2	2	1	148.71380102	296.76665181	296.76665181	296.76665181	296.76665181	296.76665181	296.76665181	181.76131235	0	99.142534011	231.33257936	82.618778342	82.618778342	82.618778342	82.618778342	82.618778342
56	20004	4	5	7	2	2	1	153.70760209	306.73205928	306.73205928	306.73205928	306.73205928	306.73205928	306.73205928	187.864847	0	102.47173473	239.10071436	85.393112273	85.393112273	85.393112273	85.393112273	85.393112273
57	20004	4	5	7	2	2	1	158.77457355	316.84348233	316.84348233	316.84348233	316.84348233	316.84348233	316.84348233	194.05781212	0	105.8497157	246.98266997	88.208096416	88.208096416	88.208096416	88.208096416	88.208096416
58	20004	4	5	7	2	2	1	163.91445216	327.10039565	327.10039565	327.10039565	327.10039565	327.10039565	327.10039565	200.33988598	0	109.27630144	254.9780367	91.063584536	91.063584536	91.063584536	91.063584536	91.063584536
59	20004	4	5	7	2	2	1	169.12698029	337.50228512	337.50228512	337.50228512	337.50228512	337.50228512	337.50228512	206.71075369	0	112.75132019	263.08641379	93.959433495	93.959433495	93.959433495	93.959433495	93.959433495
60	20004	4	5	7	3	2	1	174.41190565	348.04864728	348.04864728	348.04864728	348.04864728	348.04864728	348.04864728	213.17010691	0	116.27460377	271.3074088	96.895503141	96.895503141	96.895503141	96.895503141	96.895503141
61	20004	4	5	7	3	2	1	179.76898114	358.73898903	358.73898903	358.73898903	358.73898903	358.73898903	358.73898903	219.71764362	0	119.84598743	279.64063733	99.87165619	99.87165619	99.87165619	99.87165619	99.87165619
62	20004	4	5	7	3	2	1	185.19796462	369.57282718	369.57282718	369.57282718	369.57282718	369.57282718	369.57282718	226.35306787	0	123.46530975	288.08572275	102.88775812	102.88775812	102.88775812	102.88775812	102.88775812
63	20004	4	5	7	3	2	1	190.69861876	380.5496881	380.5496881	380.5496881	380.5496881	380.5496881	380.5496881	233.07608959	0	127.1324125	296.64229584	105.94367709	105.94367709	105.94367709	105.94367709	105.94367709
64	20004	4	5	7	3	2	1	196.27071083	391.66910739	391.66910739	391.66910739	391.66910739	391.66910739	391.66910739	239.88642435	0	130.84714055	305.30999462	109.03928379	109.03928379	109.03928379	109.03928379	109.03928379
65	20004	4	5	7	3	2	1	201.91401259	402.93062957	402.93062957	402.93062957	402.93062957	402.93062957	402.93062957	246.78379317	0	134.60934173	314.08846403	112.17445144	112.17445144	112.17445144	112.17445144	112.17445144
66	20004	4	5	7	3	2	1	207.62830009	414.33380774	414.33380774	414.33380774	414.33380774	414.33380774	414.33380774	253.76792234	0	138.41886673	322.9773557	115.34905561	115.34905561	115.34905561	115.34905561	115.34905561
67	20004	4	5	7	3	2	1	213.41335355	425.87820331	425.87820331	425.87820331	425.87820331	425.87820331	425.87820331	260.83854323	0	142.27556903	331.97632775	118.5629742	118.5629742	118.5629742	118.5629742	118.5629742
68	20004	4	5	7	3	2	1	219.2689572	437.56338571	437.56338571	437.56338571	437.56338571	437.56338571	437.56338571	267.99539214	0	146.1793048	341.08504454	121.81608734	121.81608734	121.81608734	121.81608734	121.81608734
69	20004	4	5	7	3	2	1	225.19489917	449.38893213	449.38893213	449.38893213	449.38893213	449.38893213	449.38893213	275.2382101	0	150.12993278	350.30317649	125.10827732	125.10827732	125.10827732	125.10827732	125.10827732
70	20004	4	5	7	4	3	1	231.19097134	461.35442726	461.35442726	461.35442726	461.35442726	461.35442726	461.35442726	282.56674275	0	154.12731423	359.63039987	128.43942852	128.43942852	128.43942852	128.43942852	128.43942852
71	20005	5	6	7	4	3	1	237.25696924	473.45946307	473.45946307	473.45946307	473.45946307	473.45946307	473.45946307	289.98074019	0	158.17131283	369.0663966	131.80942736	131.80942736	131.80942736	131.80942736	131.80942736
72	20005	5	6	7	4	3	1	243.39269193	485.70363856	485.70363856	485.70363856	485.70363856	485.70363856	485.70363856	297.4799568	0	162.26179462	378.61085411	135.21816218	135.21816218	135.21816218	135.21816218	135.21816218
73	20005	5	6	7	4	3	1	249.59794186	498.08655953	498.08655953	498.08655953	498.08655953	498.08655953	498.08655953	305.06415116	0	166.39862791	388.26346512	138.66552326	138.66552326	138.66552326	138.66552326	138.66552326
74	20005	5	6	7	4	3	1	255.87252482	510.60783842	510.60783842	510.60783842	510.60783842	510.60783842	510.60783842	312.73308589	0	170.58168321	398.0239275	142.15140268	142.15140268	142.15140268	142.15140268	142.15140268
75	20005	5	6	7	4	3	1	262.2162498	523.26709405	523.26709405	523.26709405	523.26709405	523.26709405	523.26709405	320.48652754	0	174.8108332	407.89194414	145.67569433	145.67569433	145.67569433	145.67569433	145.67569433
76	20005	5	6	7	4	3	1	268.62892891	536.06395146	536.06395146	536.06395146	536.06395146	536.06395146	536.06395146	328.32424644	0	179.0859526	417.86722274	149.23829384	149.23829384	149.23829384	149.23829384	149.23829384
77	20005	5	6	7	4	3	1	275.11037726	548.99804173	548.99804173	548.99804173	548.99804173	548.99804173	548.99804173	336.24601665	0	183.40691817	427.94947574	152.83909848	152.83909848	152.83909848	152.83909848	152.83909848
78	20005	5	6	7	4	3	1	281.66041293	562.0690018	562.0690018	562.0690018	562.0690018	562.0690018	562.0690018	344.2516158	0	187.77360862	438.13842011	156.47800718	156.47800718	156.47800718	156.47800718	156.47800718
79	20005	5	6	7	4	3	1	288.27885682	575.27647427	575.27647427	575.27647427	575.27647427	575.27647427	575.27647427	352.340825	0	192.18590455	448.43377727	160.15492045	160.15492045	160.15492045	160.15492045	160.15492045
80	20005	5	6	7	5	3	1	294.96553261	588.62010731	588.62010731	588.62010731	588.62010731	588.62010731	588.62010731	360.51342875	0	196.64368841	458.83527296	163.86974034	163.86974034	163.86974034	163.86974034	163.86974034
81	20005	5	6	7	5	3	1	301.72026669	602.09955442	602.09955442	602.09955442	602.09955442	602.09955442	602.09955442	368.76921485	0	201.14684446	469.34263708	167.62237038	167.62237038	167.62237038	167.62237038	167.62237038
82	20005	5	6	7	5	3	1	308.54288804	615.71447436	615.71447436	615.71447436	615.71447436	615.71447436	615.71447436	377.10797427	0	205.69525869	479.95560362	171.41271558	171.41271558	171.41271558	171.41271558	171.41271558
83	20005	5	6	7	5	3	1	315.4332282	629.46453095	629.46453095	629.46453095	629.46453095	629.46453095	629.46453095	385.52950114	0	210.2888188	490.67391054	175.24068233	175.24068233	175.24068233	175.24068233	175.24068233
84	20005	5	6	7	5	3	1	322.39112119	643.34939295	643.34939295	643.34939295	643.34939295	643.34939295	643.34939295	394.03359256	0	214.92741413	501.49729963	179.10617844	179.10617844	179.10617844	179.10617844	179.10617844
85	20005	5	6	7	5	3	1	329.41640343	657.36873395	657.36873395	657.36873395	657.36873395	657.36873395	657.36873395	402.62004863	0	219.61093562	512.42551644	183.00911301	183.00911301	183.00911301	183.00911301	183.00911301
86	20005	5	6	7	5	3	1	336.50891369	671.52223221	671.52223221	671.52223221	671.52223221	671.52223221	671.52223221	411.28867229	0	224.3392758	523.45831019	186.9493965	186.9493965	186.9493965	186.9493965	186.9493965
87	20005	5	6	7	5	3	1	343.66849305	685.80957057	685.80957057	685.80957057	685.80957057	685.80957057	685.80957057	420.03926928	0	229.1123287	534.59543363	190.92694058	190.92694058	190.92694058	190.92694058	190.92694058
88	20005	5	6	7	5	3	1	350.89498479	700.23043631	700.23043631	700.23043631	700.23043631	700.23043631	700.23043631	428.87164807	0	233.92998986	545.836643	194.94165821	194.94165821	194.94165821	194.94165821	194.94165821
89	20005	5	6	7	5	3	1	358.18823437	714.78452103	714.78452103	714.78452103	714.78452103	714.78452103	714.78452103	437.78561978	0	238.79215624	557.1816979	198.99346354	198.99346354	198.99346354	198.99346354	198.99346354
90	20005	5	6	7	5	3	1	365.54808937	729.47152056	729.47152056	729.47152056	729.47152056	729.47152056	729.47152056	446.78099812	0	243.69872625	568.63036124	203.08227187	203.08227187	203.08227187	203.08227187	203.08227187
91	20005	5	6	7	5	3	1	372.97439944	744.29113488	744.29113488	744.29113488	744.29113488	744.29113488	744.29113488	455.85759931	0	248.64959963	580.18239913	207.20799969	207.20799969	207.20799969	207.20799969	207.20799969
92	20005	5	6	7	5	3	1	380.46701623	759.24306794	759.24306794	759.24306794	759.24306794	759.24306794	759.24306794	465.01524206	0	253.64467749	591.8375808	211.37056457	211.37056457	211.37056457	211.37056457	211.37056457
93	20005	5	6	7	5	3	1	388.02579337	774.32702766	774.32702766	774.32702766	774.32702766	774.32702766	774.32702766	474.25374745	0	258.68386225	603.59567857	215.5698852	215.5698852	215.5698852	215.5698852	215.5698852
94	20005	5	6	7	5	3	1	395.65058639	789.54272574	789.54272574	789.54272574	789.54272574	789.54272574	789.54272574	483.57293893	0	263.7670576	615.45646772	219.80588133	219.80588133	219.80588133	219.80588133	219.80588133
95	20005	5	6	7	5	3	1	403.34125272	804.88987764	804.88987764	804.88987764	804.88987764	804.88987764	804.88987764	492.97264221	0	268.89416848	627.41972645	224.07847373	224.07847373	224.07847373	224.07847373	224.07847373
96	20005	5	6	7	5	3	1	411.09765158	820.36820249	820.36820249	820.36820249	820.36820249	820.36820249	820.36820249	502.45268526	0	274.06510105	639.48523579	228.38758421	228.38758421	228.38758421	228.38758421	228.38758421
97	20005	5	6	7	5	3	1	418.91964401	835.97742293	835.97742293	835.97742293	835.97742293	835.97742293	835.97742293	512.01289823	0	279.27976267	651.65277957	232.73313556	232.73313556	232.73313556	232.73313556	232.73313556
98	20005	5	6	7	5	3	1	426.80709277	851.71726514	851.71726514	851.71726514	851.71726514	851.71726514	851.71726514	521.65311339	0	284.53806185	663.92214432	237.11505154	237.11505154	237.11505154	237.11505154	237.11505154
99	20005	5	6	7	5	3	1	434.75986235	867.58745865	867.58745865	867.58745865	867.58745865	867.58745865	867.58745865	531.3731651	0	289.83990823	676.29311921	241.53325686	241.53325686	241.53325686	241.53325686	241.53325686
100	20005	5	6	7	6	4	1	442.77781888	883.58773635	883.58773635	883.58773635	883.58773635	883.58773635	883.58773635	541.17288975	0	295.18521259	688.76549604	245.98767716	245.98767716	245.98767716	245.98767716	245.98767716
101	20006	6	6	7	6	4	1	450.86083014	899.71783437	899.71783437	899.71783437	899.71783437	899.71783437	899.71783437	551.05212573	0	300.57388676	701.3390691	250.47823897	250.47823897	250.47823897	250.47823897	250.47823897
102	20006	6	6	7	6	4	1	459.00876548	915.97749201	915.97749201	915.97749201	915.97749201	915.97749201	915.97749201	561.01071337	0	306.00584366	714.0136352	255.00486971	255.00486971	255.00486971	255.00486971	255.00486971
103	20006	6	6	7	6	4	1	467.22149584	932.3664517	932.3664517	932.3664517	932.3664517	932.3664517	932.3664517	571.04849492	0	311.48099723	726.78899353	259.56749769	259.56749769	259.56749769	259.56749769	259.56749769
104	20006	6	6	7	6	4	1	475.49889366	948.8844589	948.8844589	948.8844589	948.8844589	948.8844589	948.8844589	581.16531447	0	316.99926244	739.66494569	264.16605203	264.16605203	264.16605203	264.16605203	264.16605203
105	20006	6	6	7	6	4	1	483.84083287	965.53126205	965.53126205	965.53126205	965.53126205	965.53126205	965.53126205	591.36101796	0	322.56055525	752.64129558	268.80046271	268.80046271	268.80046271	268.80046271	268.80046271
106	20006	6	6	7	6	4	1	492.24718889	982.30661249	982.30661249	982.30661249	982.30661249	982.30661249	982.30661249	601.63545309	0	328.16479259	765.71784938	273.47066049	273.47066049	273.47066049	273.47066049	273.47066049
107	20006	6	6	7	6	4	1	500.71783853	999.21026444	999.21026444	999.21026444	999.21026444	999.21026444	999.21026444	611.98846931	0	333.81189235	778.89441549	278.17657696	278.17657696	278.17657696	278.17657696	278.17657696
108	20006	6	6	7	6	4	1	509.25266003	1016.2419749	1016.2419749	1016.2419749	1016.2419749	1016.2419749	1016.2419749	622.41991781	0	339.50177335	792.17080448	282.91814446	282.91814446	282.91814446	282.91814446	282.91814446
109	20006	6	6	7	6	4	1	517.85153298	1033.4015036	1033.4015036	1033.4015036	1033.4015036	1033.4015036	1033.4015036	632.92965142	0	345.23435532	805.54682908	287.6952961	287.6952961	287.6952961	287.6952961	287.6952961
110	20006	6	6	7	6	4	1	526.51433833	1050.6886129	1050.6886129	1050.6886129	1050.6886129	1050.6886129	1050.6886129	643.51752462	0	351.00955888	819.02230406	292.50796574	292.50796574	292.50796574	292.50796574	292.50796574
111	20006	6	6	7	6	4	1	535.24095833	1068.103068	1068.103068	1068.103068	1068.103068	1068.103068	1068.103068	654.18339352	0	356.82730555	832.59704629	297.35608796	297.35608796	297.35608796	297.35608796	297.35608796
112	20006	6	6	7	6	4	1	544.03127654	1085.6446363	1085.6446363	1085.6446363	1085.6446363	1085.6446363	1085.6446363	664.92711577	0	362.68751769	846.27087462	302.23959808	302.23959808	302.23959808	302.23959808	302.23959808
113	20006	6	6	7	6	4	1	552.88517776	1103.3130881	1103.3130881	1103.3130881	1103.3130881	1103.3130881	1103.3130881	675.7485506	0	368.59011851	860.04360985	307.15843209	307.15843209	307.15843209	307.15843209	307.15843209
114	20006	6	6	7	6	4	1	561.80254804	1121.1081959	1121.1081959	1121.1081959	1121.1081959	1121.1081959	1121.1081959	686.64755872	0	374.53503203	873.91507474	312.11252669	312.11252669	312.11252669	312.11252669	312.11252669
115	20006	6	6	7	6	4	1	570.78327466	1139.0297348	1139.0297348	1139.0297348	1139.0297348	1139.0297348	1139.0297348	697.62400236	0	380.5221831	887.88509391	317.10181925	317.10181925	317.10181925	317.10181925	317.10181925
116	20006	6	6	7	6	4	1	579.82724605	1157.0774821	1157.0774821	1157.0774821	1157.0774821	1157.0774821	1157.0774821	708.67774517	0	386.55149737	901.95349385	322.1262478	322.1262478	322.1262478	322.1262478	322.1262478
117	20006	6	6	7	6	4	1	588.93435185	1175.2512177	1175.2512177	1175.2512177	1175.2512177	1175.2512177	1175.2512177	719.80865226	0	392.62290123	916.12010287	327.18575103	327.18575103	327.18575103	327.18575103	327.18575103
118	20006	6	6	7	6	4	1	598.10448282	1193.5507235	1193.5507235	1193.5507235	1193.5507235	1193.5507235	1193.5507235	731.01659011	0	398.73632188	930.38475105	332.28026823	332.28026823	332.28026823	332.28026823	332.28026823
119	20006	6	6	7	6	4	1	607.33753085	1211.9757838	1211.9757838	1211.9757838	1211.9757838	1211.9757838	1211.9757838	742.3014266	0	404.89168723	944.74727021	337.40973936	337.40973936	337.40973936	337.40973936	337.40973936
120	20006	6	6	7	7	4	1	616.63338895	1230.5261851	1230.5261851	1230.5261851	1230.5261851	1230.5261851	1230.5261851	753.66303094	0	411.08892597	959.20749392	342.57410497	342.57410497	342.57410497	342.57410497	342.57410497
121	20006	6	6	7	7	4	1	625.99195119	1249.2017159	1249.2017159	1249.2017159	1249.2017159	1249.2017159	1249.2017159	765.10127367	0	417.32796746	973.7652574	347.77330621	347.77330621	347.77330621	347.77330621	347.77330621
