索引ID	位置	对应地图格子ID
174	14|21	339
175	14|20	338
176	14|19	0
177	15|22	362
178	15|21	361
179	15|20	360
180	15|19	0
181	16|22	386
182	16|21	385
183	16|20	384
184	16|19	0
185	2|48	90
186	3|47	114
187	1|47	72
188	3|45	112
189	5|44	164
190	6|44	180
191	6|43	179
192	6|48	0
193	6|47	183
194	6|46	182
195	6|45	181
196	7|47	199
197	7|46	198
198	7|45	197
199	7|44	196
200	7|43	0
201	6|42	0
202	8|47	214
203	8|46	213
204	8|45	212
205	8|43	0
206	8|44	211
207	9|47	235
208	9|46	234
209	9|45	233
210	9|44	232
211	9|43	231
212	9|42	230
213	9|41	229
214	9|40	228
215	9|39	0
216	10|46	255
217	10|45	254
218	10|44	253
219	10|43	252
220	10|42	251
221	10|41	250
222	10|40	249
223	10|39	0
224	11|42	276
225	11|41	275
226	11|40	274
227	11|39	0
228	12|42	301
229	12|41	300
230	12|40	299
231	12|39	0
232	13|44	324
233	13|43	323
234	13|41	0
235	13|42	322
236	14|44	348
237	14|43	347
238	14|42	346
239	14|41	345
240	14|40	0
241	15|44	374
242	15|43	373
243	15|41	371
244	15|42	372
245	15|40	0
246	16|43	402
247	16|42	401
248	16|41	400
249	16|40	399
250	16|39	398
251	16|38	397
252	16|37	0
253	15|39	370
254	15|38	369
255	15|37	0
256	17|42	0
257	17|41	424
258	17|40	423
259	17|39	422
260	17|38	0
261	18|41	451
262	18|40	450
263	18|39	449
264	18|38	0
265	19|40	479
266	19|39	478
267	19|38	0
268	20|39	509
269	20|38	0
270	19|44	481
271	19|43	480
272	19|42	0
273	20|44	512
274	20|43	511
275	20|42	510
276	20|41	0
277	21|43	535
278	21|42	534
279	21|41	0
280	22|42	559
281	22|41	558
282	22|40	557
283	22|39	556
284	22|38	555
285	21|40	533
286	21|39	532
287	21|38	531
288	21|37	530
289	21|36	529
290	21|35	528
291	21|34	527
292	21|33	0
293	22|37	554
294	22|36	553
295	22|35	552
296	22|34	551
297	22|33	0
298	23|40	593
299	23|39	592
300	23|37	0
301	23|38	591
302	24|40	628
303	24|39	627
304	24|38	626
305	20|35	508
306	20|34	507
307	20|33	0
308	19|35	477
309	19|34	476
310	19|33	475
311	19|32	474
312	19|31	473
313	19|30	472
314	18|35	448
315	18|34	447
316	18|33	446
317	18|32	445
318	18|31	0
319	17|34	421
320	17|33	0
321	16|35	396
322	16|34	395
323	16|33	0
324	20|30	506
325	20|29	505
326	20|28	504
327	20|27	503
328	20|26	502
329	20|25	501
330	20|24	500
331	20|23	499
332	20|22	498
333	20|21	497
334	20|20	496
335	20|19	0
336	19|29	471
337	19|28	470
338	19|27	469
339	19|25	467
340	19|24	466
341	19|23	465
342	19|22	464
343	19|21	463
344	19|20	462
345	19|19	0
346	19|26	468
347	18|28	444
348	18|27	443
349	18|26	442
350	18|25	441
351	18|24	440
352	18|23	439
353	18|22	438
354	18|21	437
355	18|20	0
356	17|28	420
357	17|27	419
358	17|26	418
359	17|25	417
360	17|23	415
361	17|22	414
362	17|21	413
363	17|20	412
364	17|24	416
365	16|30	394
366	16|29	393
367	16|28	392
368	16|26	390
369	16|24	388
370	15|31	368
371	15|30	367
372	15|29	0
373	15|28	366
374	15|26	364
375	15|25	363
376	15|24	0
377	15|27	365
378	16|27	391
379	16|23	387
380	16|25	389
381	14|29	344
382	14|28	343
383	14|27	342
384	14|26	341
385	14|25	0
386	13|30	321
387	13|29	320
388	13|28	319
389	13|27	318
390	13|26	317
391	13|25	0
392	12|33	298
393	12|32	297
394	12|31	296
395	12|30	295
396	12|28	293
397	12|27	292
398	12|26	0
399	12|29	294
400	11|34	273
401	11|33	272
402	11|32	271
403	11|31	270
404	11|30	269
405	11|29	268
406	11|28	267
407	11|27	0
408	10|34	248
409	10|33	247
410	10|32	246
411	10|31	245
412	10|30	244
413	10|29	243
414	10|28	0
415	9|34	227
416	9|33	226
417	9|32	225
418	9|31	224
419	9|30	223
420	9|29	222
421	9|28	221
422	9|27	0
423	8|35	210
424	8|34	209
425	8|33	208
426	8|32	207
427	8|31	206
428	8|30	0
429	8|29	205
430	8|28	204
431	8|27	0
432	7|37	195
433	7|36	194
434	7|35	193
435	7|34	192
436	7|33	191
437	7|32	190
438	7|31	0
439	6|39	178
440	6|38	177
441	6|37	176
442	6|36	175
443	6|35	174
444	6|34	173
445	6|33	172
446	6|32	0
447	5|39	161
448	5|38	160
449	5|37	0
450	5|36	0
451	5|35	0
452	5|34	159
453	5|33	158
454	5|32	0
455	4|35	135
456	4|34	134
457	3|36	107
458	3|35	106
459	3|34	105
460	3|33	0
461	2|36	82
462	2|35	81
463	4|38	0
464	10|17	239
465	10|16	238
466	10|15	237
467	10|14	0
468	9|17	218
469	9|16	217
470	9|15	0
471	11|16	262
472	11|15	261
473	11|14	260
474	11|13	259
475	11|12	0
476	11|11	0
477	11|10	0
478	11|9	0
479	11|8	258
480	11|7	257
481	11|6	256
482	11|5	0
483	12|15	287
484	12|14	286
485	12|11	283
486	12|10	282
487	12|12	284
488	12|13	285
489	12|8	280
490	12|9	281
491	12|7	279
492	12|6	278
493	12|5	277
494	12|4	0
495	13|15	313
496	13|14	312
497	13|13	311
498	13|12	310
499	13|11	309
500	13|10	308
501	13|9	307
502	13|8	306
503	13|7	305
504	13|6	304
505	13|5	303
506	13|4	302
507	13|3	0
508	14|15	337
509	14|12	334
510	14|10	332
511	14|11	333
512	14|13	335
513	14|14	336
514	14|9	331
515	14|8	330
516	14|7	329
517	14|6	328
518	14|5	327
519	14|4	326
520	14|3	325
521	14|2	0
522	15|3	350
523	15|2	349
524	15|1	0
525	15|17	359
526	15|15	357
527	15|14	356
528	15|13	355
529	15|12	354
530	15|11	353
531	15|10	352
532	15|9	351
533	15|8	0
534	15|16	358
535	16|15	382
536	16|14	381
537	16|13	380
538	16|12	379
539	16|11	378
540	16|9	376
541	16|8	0
542	16|10	377
543	17|14	410
544	17|13	409
545	17|10	0
546	17|11	407
547	17|12	408
548	18|17	436
549	18|16	435
550	18|15	434
551	18|14	433
552	18|13	432
553	18|12	431
554	18|11	0
555	19|17	461
556	19|16	460
557	19|15	459
558	19|14	458
559	19|13	457
560	19|12	456
561	19|11	0
562	20|17	495
563	20|15	493
564	20|16	494
565	20|14	492
566	20|13	491
567	20|12	490
568	20|11	489
569	20|10	0
570	21|19	526
571	21|18	525
572	21|17	524
573	21|16	523
574	21|15	522
575	21|14	521
576	21|13	520
577	21|12	519
578	21|11	518
579	21|10	517
580	21|9	0
581	22|19	550
582	22|18	549
583	22|17	548
584	22|16	547
585	22|15	546
586	22|14	545
587	22|13	544
588	22|12	543
589	22|11	542
590	22|10	541
591	22|9	540
592	22|8	0
593	27|35	701
594	27|34	700
595	27|33	699
596	27|32	698
597	27|31	697
598	27|30	696
599	27|29	695
600	27|28	0
601	26|36	684
602	26|35	683
603	26|34	682
604	26|33	681
605	26|32	680
606	26|31	679
607	26|30	678
608	26|29	677
609	26|28	676
610	26|27	0
611	25|35	656
612	25|34	655
613	25|33	654
614	25|32	653
615	25|31	652
616	25|30	651
617	25|29	650
618	25|28	649
619	25|27	648
620	25|26	0
621	24|31	625
622	24|30	624
623	24|29	623
624	24|28	622
625	24|27	621
626	24|26	620
627	23|30	590
628	23|29	589
629	23|28	588
630	23|27	587
631	23|26	586
632	23|25	585
633	24|24	618
634	24|23	617
635	24|22	616
636	24|21	615
637	24|20	614
638	24|19	613
639	24|17	611
640	24|16	610
641	24|15	609
642	24|14	608
643	24|13	607
644	24|12	606
645	24|11	605
646	24|10	604
647	24|9	0
648	23|8	568
649	23|7	567
650	23|9	569
651	23|10	570
652	23|12	572
653	23|13	573
654	23|11	571
655	23|14	574
656	23|15	575
657	23|16	576
658	23|17	577
659	23|18	578
660	23|19	579
661	23|20	580
662	23|21	581
663	23|22	582
664	23|23	583
665	24|18	612
666	23|24	584
667	25|9	0
668	25|10	635
669	25|11	636
670	25|12	637
671	25|13	638
672	25|14	639
673	25|15	640
674	25|16	641
675	25|17	642
676	25|18	643
677	25|19	644
678	25|20	645
679	25|21	646
680	25|22	647
681	25|23	0
682	28|9	0
683	26|10	664
684	26|9	0
685	26|12	666
686	26|11	665
687	26|13	667
688	26|14	668
689	26|15	669
690	26|16	670
691	26|17	671
692	26|19	673
693	26|18	672
694	26|20	674
695	26|21	675
696	27|18	0
697	27|19	692
698	27|20	693
699	27|21	694
700	28|18	0
701	28|19	709
702	28|20	710
703	28|21	711
704	28|22	712
705	28|23	713
706	27|22	0
707	28|24	714
708	29|21	722
709	29|22	723
710	29|23	724
711	29|24	725
712	29|25	0
713	28|25	0
714	30|22	0
715	30|23	735
716	30|24	736
717	31|22	0
718	31|23	751
719	32|21	767
720	32|15	0
721	32|17	763
722	32|16	762
723	32|18	764
724	32|19	765
725	32|20	766
726	31|17	749
727	31|18	750
728	33|12	0
729	33|13	778
730	33|14	779
731	33|15	780
732	32|12	0
733	32|13	760
734	32|14	761
735	29|13	0
736	29|15	721
737	29|14	720
738	30|12	0
739	30|13	732
740	30|14	733
741	30|15	734
742	30|8	0
743	30|9	730
744	30|10	731
745	31|8	0
746	31|9	743
747	31|10	744
748	31|11	745
749	31|12	746
750	31|13	747
751	31|14	748
752	32|9	0
753	33|8	0
754	32|10	759
755	33|9	776
756	33|10	777
757	34|8	0
758	34|9	785
759	36|4	0
760	36|6	795
761	36|7	796
762	36|5	794
763	33|3	0
764	31|5	0
765	31|6	0
766	31|7	0
767	33|4	773
768	32|5	757
769	32|6	758
770	33|6	775
771	32|7	0
772	33|5	774
773	34|6	784
774	33|7	0
775	32|8	0
776	34|7	0
777	34|3	0
778	34|4	782
779	34|5	783
780	35|5	0
781	35|6	788
782	38|-4	808
783	38|-3	809
784	38|-2	810
785	38|-1	811
786	37|-6	0
787	37|-4	798
788	37|-5	797
789	37|-3	799
790	37|-2	800
791	37|-1	801
792	37|0	802
793	37|1	803
794	37|2	804
795	37|3	805
796	36|-5	0
797	36|-3	792
798	36|-4	791
799	35|-4	0
800	35|-3	786
801	34|-2	781
802	34|-3	0
803	33|-4	0
804	33|-3	769
805	33|-1	771
806	33|-2	770
807	32|1	756
808	32|0	755
809	32|-1	754
810	32|-2	753
811	32|-3	752
812	32|-4	0
813	31|-4	0
814	31|-2	738
815	31|-3	737
816	31|0	740
817	31|-1	739
818	31|1	741
819	30|-4	0
820	30|-2	727
821	30|-3	726
822	29|-2	716
823	29|-3	715
824	28|-3	702
825	27|-2	685
826	27|-1	686
827	28|-2	703
828	29|-1	0
829	30|-1	0
830	26|-2	0
831	26|-1	658
832	26|0	659
833	25|-1	0
834	25|0	629
835	24|-2	0
836	24|0	596
837	24|-1	595
838	24|1	597
839	23|-2	0
840	23|-1	560
841	23|0	561
842	23|2	562
843	17|1	403
844	17|2	404
845	17|3	0
846	18|0	425
847	18|1	426
848	18|2	427
849	18|3	428
850	18|4	429
851	18|5	430
852	17|4	0
853	17|5	405
854	17|6	406
855	18|6	0
856	19|-1	0
857	19|0	452
858	19|1	453
859	19|2	454
860	19|3	455
861	19|4	0
862	19|5	0
863	19|6	0
864	20|-1	0
865	20|0	482
866	20|1	483
867	20|2	484
868	20|3	485
869	20|4	486
870	20|5	487
871	20|6	488
872	21|2	0
873	21|3	513
874	21|4	514
875	21|7	0
876	21|5	515
877	21|6	516
878	22|2	0
879	22|4	537
880	22|3	536
881	22|5	538
882	22|6	539
883	23|1	0
884	23|3	563
885	23|4	564
886	23|5	565
887	24|2	598
888	24|3	599
889	24|4	600
890	24|5	601
891	24|6	602
892	24|7	603
893	25|1	630
894	25|2	0
895	25|3	631
896	25|4	632
897	25|5	633
898	25|6	634
899	26|1	0
900	26|2	0
901	26|3	660
902	26|4	661
903	26|5	662
904	27|0	0
905	27|1	0
906	27|2	687
907	27|3	688
908	27|4	689
909	27|5	690
910	28|-1	0
911	28|0	0
912	28|1	704
913	28|2	705
914	28|3	706
915	28|4	707
916	28|5	708
917	27|6	691
918	26|6	663
919	25|7	0
920	24|8	0
921	29|0	0
922	29|1	0
923	29|2	717
924	29|3	718
925	30|0	0
926	30|1	0
927	30|2	728
928	30|3	729
929	31|2	742
930	32|2	0
931	33|0	772
932	35|-2	787
933	36|-2	793
934	34|-1	0
935	17|19	0
936	-3|39	0
937	-4|39	0
938	-3|38	0
939	-4|38	0
940	-5|39	0
941	-5|38	0
942	-4|37	0
943	-4|36	0
944	-3|37	0
945	-5|37	0
946	-5|35	0
947	-4|35	0
948	-4|34	0
949	-4|33	0
950	-4|32	0
951	-6|40	0
952	2|49	0
953	-5|40	0
954	-6|41	0
955	1|36	0
956	0|35	0
957	0|34	0
958	1|34	0
959	1|35	0
960	0|36	0
961	1|37	0
962	2|37	0
963	3|37	0
964	4|36	0
965	4|37	0
966	1|49	0
967	3|48	0
968	4|46	0
969	4|47	0
970	4|48	0
971	5|45	0
972	5|46	0
973	5|47	0
974	5|48	0
975	10|47	0
976	16|45	0
977	11|43	0
978	11|44	0
979	12|43	0
980	12|44	0
981	12|45	0
982	11|45	0
983	12|46	0
984	11|46	0
985	13|45	0
986	13|46	0
987	14|45	0
988	14|46	0
989	15|45	0
990	16|44	0
991	17|43	0
992	17|44	0
993	17|45	0
994	18|42	0
995	18|43	0
996	18|44	0
997	18|45	0
998	19|41	0
999	20|40	0
1000	21|44	0
1001	22|44	0
1002	25|42	0
1003	24|42	0
1004	23|41	594
1005	22|43	0
1006	23|42	0
1007	24|41	0
1008	23|43	0
1009	25|41	0
1010	26|43	0
1011	27|41	0
1012	28|38	0
1013	27|39	0
1014	27|38	0
1015	26|38	0
1016	25|39	0
1017	25|40	0
1018	26|41	0
1019	27|40	0
1020	26|40	0
1021	26|39	0
1022	-4|40	0
1023	-5|41	0
1024	28|37	0
1025	28|36	0
1026	28|35	0
1027	27|36	0
1028	27|37	0
1029	26|37	0
1030	25|38	0
1031	25|37	657
1032	25|36	0
1033	24|36	0
1034	24|35	0
1035	24|37	0
1036	23|36	0
1037	23|35	0
1038	24|34	0
1039	23|34	0
1040	23|33	0
1041	24|33	0
1042	24|32	0
1043	22|32	0
1044	23|32	0
1045	23|31	0
1046	22|31	0
1047	21|32	0
1048	20|32	0
1049	20|31	0
1050	21|30	0
1051	22|30	0
1052	21|31	0
1053	20|36	0
1054	19|37	0
1055	19|36	0
1056	20|37	0
1057	18|37	0
1058	18|36	0
1059	17|37	0
1060	17|36	0
1061	17|35	0
1062	16|36	0
1063	14|38	0
1064	13|39	0
1065	13|40	0
1066	14|39	0
1067	8|41	0
1068	8|42	0
1069	6|40	0
1070	6|41	0
1071	7|42	0
1072	7|38	0
1073	7|40	0
1074	7|39	0
1075	7|41	0
1076	8|39	0
1077	8|40	0
1078	8|38	0
1079	8|37	0
1080	8|36	0
1081	9|35	0
1082	9|36	0
1083	9|37	0
1084	9|38	0
1085	10|35	0
1086	10|36	0
1087	10|37	0
1088	10|38	0
1089	11|35	0
1090	11|36	0
1091	11|37	0
1092	11|38	0
1093	12|34	0
1094	12|35	0
1095	12|36	0
1096	12|37	0
1097	12|38	0
1098	13|32	0
1099	13|33	0
1100	13|34	0
1101	13|35	0
1102	13|36	0
1103	13|37	0
1104	13|38	0
1105	14|37	0
1106	14|36	0
1107	14|35	0
1108	14|34	0
1109	14|30	0
1110	13|31	0
1111	14|31	0
1112	14|32	0
1113	14|33	0
1114	15|32	0
1115	15|33	0
1116	15|34	0
1117	15|35	0
1118	15|36	0
1119	16|31	0
1120	17|29	0
1121	17|30	0
1122	17|31	0
1123	16|32	0
1124	17|32	0
1125	18|30	0
1126	18|29	0
1127	21|20	0
1128	21|21	0
1129	21|22	0
1130	21|23	0
1131	21|24	0
1132	21|25	0
1133	21|26	0
1134	21|27	0
1135	21|28	0
1136	21|29	0
1137	22|29	0
1138	22|26	0
1139	22|27	0
1140	22|28	0
1141	22|20	0
1142	22|21	0
1143	22|23	0
1144	22|22	0
1145	22|24	0
1146	22|25	0
1147	25|24	0
1148	24|25	619
1149	25|25	0
1150	26|22	0
1151	26|23	0
1152	26|24	0
1153	26|25	0
1154	26|26	0
1155	27|23	0
1156	27|24	0
1157	27|25	0
1158	27|26	0
1159	27|27	0
1160	28|26	0
1161	28|27	0
1162	28|28	0
1163	28|29	0
1164	28|30	0
1165	28|31	0
1166	28|32	0
1167	28|33	0
1168	28|34	0
1169	29|33	0
1170	29|32	0
1171	29|31	0
1172	30|30	0
1173	29|30	0
1174	30|29	0
1175	30|28	0
1176	29|28	0
1177	29|29	0
1178	30|27	0
1179	29|27	0
1180	30|26	0
1181	29|26	0
1182	30|25	0
1183	31|24	0
1184	31|25	0
1185	31|26	0
1186	30|31	0
1187	33|16	0
1188	34|11	0
1189	34|10	0
1190	33|11	0
1191	32|11	0
1192	30|11	0
1193	29|17	0
1194	29|18	0
1195	29|19	0
1196	30|19	0
1197	29|20	0
1198	30|20	0
1199	31|19	0
1200	31|20	0
1201	30|21	0
1202	31|21	0
1203	30|17	0
1204	30|18	0
1205	31|15	0
1206	30|16	0
1207	31|16	0
1208	29|16	0
1209	28|17	0
1210	28|16	0
1211	27|17	0
1212	27|13	0
1213	27|14	0
1214	27|15	0
1215	27|16	0
1216	28|15	0
1217	28|14	0
1218	28|13	0
1219	28|11	0
1220	28|10	0
1221	27|10	0
1222	27|11	0
1223	27|12	0
1224	29|10	0
1225	29|11	0
1226	28|12	0
1227	29|12	0
1228	29|9	0
1229	29|8	0
1230	26|7	0
1231	25|8	0
1232	26|8	0
1233	27|7	0
1234	28|6	0
1235	27|8	0
1236	28|7	0
1237	28|8	0
1238	27|9	0
1239	29|7	0
1240	29|6	0
1241	30|4	0
1242	29|4	719
1243	29|5	0
1244	30|5	0
1245	30|6	0
1246	30|7	0
1247	31|4	0
1248	31|3	0
1249	32|3	0
1250	32|4	0
1251	33|1	0
1252	33|2	0
1253	34|0	0
1254	34|1	0
1255	34|2	0
1256	35|-1	0
1257	35|0	0
1258	36|-1	0
1259	36|0	0
1260	35|1	0
1261	35|2	0
1262	35|3	0
1263	35|4	0
1264	36|3	0
1265	36|1	0
1266	36|2	0
1267	35|7	789
1268	35|8	790
1269	35|9	0
1270	32|22	768
1271	32|23	0
1272	31|27	0
1273	33|17	0
1274	33|18	0
1275	33|19	0
1276	34|12	0
1277	34|14	0
1278	34|13	0
1279	34|15	0
1280	35|10	0
1281	35|11	0
1282	26|42	0
1283	27|42	0
1284	25|43	0
1285	24|43	0
1286	38|-5	807
1287	39|-6	0
1288	38|-6	0
1289	35|-5	0
1290	34|-4	0
1291	33|-5	0
1292	34|-5	0
1293	36|-6	0
1294	25|-2	0
1295	21|0	0
1296	21|1	0
1297	22|1	0
1298	22|0	0
1299	22|-1	0
1300	21|-1	0
1301	16|0	0
1302	16|1	0
1303	16|2	375
1304	16|3	0
1305	15|4	0
1306	15|5	0
1307	16|4	0
1308	16|5	0
1309	15|6	0
1310	15|7	0
1311	16|6	0
1312	17|7	0
1313	16|7	0
1314	18|7	0
1315	17|8	0
1316	17|9	0
1317	18|8	0
1318	18|9	0
1319	18|10	0
1320	19|8	0
1321	19|7	0
1322	19|10	0
1323	19|9	0
1324	20|7	0
1325	20|8	0
1326	20|9	0
1327	21|8	0
1328	22|7	0
1329	23|6	566
1330	7|4	0
1331	8|4	0
1332	8|5	0
1333	8|6	0
1334	7|6	0
1335	7|5	0
1336	6|5	0
1337	6|6	0
1338	6|7	0
1339	6|8	0
1340	5|6	0
1341	5|5	0
1342	5|7	0
1343	5|8	0
1344	5|9	0
1345	4|6	0
1346	4|7	0
1347	4|8	0
1348	4|9	0
1349	4|10	0
1350	3|11	0
1351	9|3	0
1352	9|4	0
1353	9|5	0
1354	9|6	0
1355	8|7	0
1356	10|3	0
1357	10|4	0
1358	10|5	0
1359	11|3	0
1360	11|4	0
1361	11|2	0
1362	12|2	0
1363	12|3	0
1364	13|1	0
1365	13|2	0
1366	14|1	0
1367	32|-5	0
1368	31|-5	0
1369	29|-4	0
1370	28|-4	0
1371	27|-3	0
1372	26|-3	0
1373	17|0	0
1374	10|2	0
1375	8|3	0
1376	6|4	0
1377	7|3	0
1378	5|4	0
1379	6|3	0
1380	4|5	0
1381	35|-6	0
1382	18|-1	0
1383	22|-2	0
1384	3|10	0
1385	3|9	0
1386	2|13	0
1387	2|14	0
1388	2|15	0
1389	2|16	0
1390	2|17	0
1391	2|18	0
1392	8|11	202
1393	10|11	0
1394	8|12	0
1395	9|11	0
1396	9|12	0
1397	10|12	0
1398	10|13	0
1399	9|13	0
1400	9|14	0
1401	8|13	0
1402	8|14	0
1403	7|13	0
1404	6|14	0
1405	6|15	0
1406	6|16	0
1407	7|14	0
1408	8|15	0
1409	7|15	0
1410	7|16	0
1411	6|17	0
1412	8|16	0
1413	7|17	0
1414	6|18	0
1415	6|19	0
1416	6|20	0
1417	6|21	0
1418	6|22	0
1419	7|18	0
1420	7|19	0
1421	7|20	0
1422	7|21	0
1423	7|22	0
1424	8|17	0
1425	8|18	0
1426	8|19	0
1427	8|20	0
1428	8|21	0
1429	8|22	0
1430	9|18	0
1431	9|19	0
1432	9|20	0
1433	9|21	0
1434	10|18	0
1435	10|19	0
1436	10|20	0
1437	11|17	0
1438	11|18	0
1439	11|19	0
1440	12|16	0
1441	12|17	0
1442	12|18	0
1443	13|16	0
1444	13|17	0
1445	14|16	0
1446	14|17	0
1447	13|18	0
1448	14|18	0
1449	15|18	0
1450	16|16	383
1451	16|17	0
1452	16|18	0
1453	17|15	411
1454	17|16	0
1455	17|17	0
1456	17|18	0
1457	18|18	0
1458	18|19	0
1459	19|18	0
1460	20|18	0
1461	15|23	0
1462	14|23	0
1463	14|24	0
1464	13|23	0
1465	13|24	0
1466	12|24	0
1467	11|25	0
1468	12|25	0
1469	11|26	0
1470	10|25	0
1471	10|26	0
1472	10|27	0
1473	9|24	220
1474	9|25	0
1475	9|26	0
1476	8|25	0
1477	8|26	0
1478	7|25	189
1479	7|26	0
1480	6|27	0
1481	7|27	0
1482	6|28	0
1483	7|28	0
1484	6|29	0
1485	7|29	0
1486	7|30	0
1487	6|30	0
1488	6|31	0
1489	5|30	0
1490	5|31	0
1491	4|31	0
1492	4|32	0
1493	3|32	0
1494	4|33	0
1495	2|33	0
1496	2|34	0
1497	3|23	0
1498	3|24	0
1499	3|25	0
1500	2|24	0
1501	2|23	0
1502	1|23	0
1503	0|23	0
1504	1|18	0
1505	1|17	0
1506	0|22	43
1507	0|21	42
1508	0|20	0
1509	-3|31	7
1510	-2|28	0
1511	-3|30	0
1512	28|39	0
1513	29|34	0
1514	39|-5	0
1515	39|-4	0
1516	39|-3	0
1517	39|-2	0
1518	38|0	0
1519	-4|31	0
1520	-3|29	0
1521	-1|24	0
1522	-2|25	0
1523	-2|26	0
1524	-2|27	0
1525	-2|24	0
1526	-1|23	0
1527	-1|22	0
1528	-5|36	0
1529	-6|39	0
1530	-6|42	0
1531	-7|43	0
1532	2|46	88
1533	0|37	0
1534	4|44	138
1535	-1|38	35
1536	0|38	0
1537	-1|39	36
1538	0|39	49
1539	1|39	66
1540	1|38	0
1541	2|38	0
1542	3|38	0
1543	2|39	0
1544	-2|39	24
1545	-2|40	0
1546	0|49	0
1547	-1|40	37
1548	5|40	162
1549	4|45	0
1550	3|46	113
1551	2|47	89
1552	1|48	73
1553	5|43	163
1554	3|39	0
1555	4|39	0
1556	4|40	136
1557	5|41	0
1558	4|41	0
1559	-2|41	0
1560	-3|41	0
1561	-3|40	0
1562	-4|41	0
1563	3|40	108
1564	0|40	50
1565	-10|52	0
1566	-12|54	0
1567	-12|56	0
1568	-12|55	0
1569	-13|57	0
1570	-11|57	0
1571	-12|58	0
1572	-12|57	0
1573	-11|56	0
1574	-11|58	0
1575	-10|57	0
1576	-10|56	0
1577	-10|55	0
1578	-11|55	0
1579	-11|54	0
1580	-10|53	0
1581	-10|54	0
1582	-9|52	0
1583	-9|53	0
1584	-9|54	0
1585	-9|55	0
1586	-9|56	0
1587	-9|57	0
1588	-8|57	0
1589	-8|56	0
1590	-8|55	0
1591	-8|54	0
1592	-7|54	0
1593	-7|55	0
1594	-7|56	0
1595	-6|54	0
1596	-6|55	0
1597	-6|56	0
1598	-5|54	0
1599	-5|55	0
1600	-5|56	0
1601	-4|53	0
1602	-4|54	0
1603	-3|53	0
1604	-3|54	0
1605	-3|55	0
1606	-4|55	0
1607	-4|56	0
1608	-2|52	0
1609	-2|53	0
1610	-2|54	0
1611	-2|55	0
1612	-1|52	0
1613	-1|53	0
1614	-1|54	0
1615	0|53	0
1616	0|54	0
1617	-1|55	0
1618	0|50	0
1619	0|51	0
1620	0|52	0
1621	1|50	0
1622	1|51	0
1623	1|52	0
1624	1|53	0
1625	1|54	0
1626	2|50	0
1627	2|51	0
1628	2|52	0
1629	2|53	0
1630	2|54	0
1631	3|49	0
1632	3|50	0
1633	3|51	0
1634	3|52	0
1635	4|49	0
1636	4|50	0
1637	4|51	0
1638	4|52	0
