任务id	任务类型	条件限制	数量	奖励	抢购原价	抢购半价	任务描述
146	pay	0	4000	user.cash:688,equip.550401.3:1	0	0	text_av_openseven_desc_pay
147	pay	0	5000	user.cash:888,material.200010:10	0	0	text_av_openseven_desc_pay
148	digging	0	3	material.300004:30	0	0	text_av_openseven_desc_digging
149	digging	0	5	material.300004:60	0	0	text_av_openseven_desc_digging
150	digging	0	10	material.300004:90	0	0	text_av_openseven_desc_digging
151	digging	0	15	material.300004:120	0	0	text_av_openseven_desc_digging
152	digging	0	20	material.300005:90	0	0	text_av_openseven_desc_digging
153	digging	0	30	material.300006:120	0	0	text_av_openseven_desc_digging
154	dragon	2	1	user.cash:50	0	0	text_av_openseven_desc_dragon
155	dragon	2	2	user.cash:60	0	0	text_av_openseven_desc_dragon
156	dragon	2	4	user.cash:90	0	0	text_av_openseven_desc_dragon
157	dragon	3	1	user.cash:150	0	0	text_av_openseven_desc_dragon
158	dragon	3	2	user.cash:300	0	0	text_av_openseven_desc_dragon
159	battle	0	28	user.gold:5000,user.food:30	0	0	text_av_openseven_desc_battle
