标准等级	出战人数	标准战斗力	单个击杀奖励
303	7	2212811	user.gold:164
304	7	2231879	user.gold:164
305	7	2251220	user.gold:164
306	7	2270646	user.gold:164
307	7	2290074	user.gold:164
308	7	2309627	user.gold:164
309	7	2329185	user.gold:164
310	7	2348824	user.gold:164
311	7	2368511	user.gold:164
312	7	2388884	user.gold:164
313	7	2410246	user.gold:164
314	7	2431653	user.gold:164
315	7	2453109	user.gold:164
316	7	2474655	user.gold:164
317	7	2496254	user.gold:164
318	7	2517942	user.gold:164
319	7	2539679	user.gold:164
320	7	2582158	user.gold:164
321	7	2604906	user.gold:164
322	7	2627700	user.gold:164
323	7	2650546	user.gold:164
324	7	2676160	user.gold:164
325	7	2699187	user.gold:164
326	7	2722227	user.gold:164
327	7	2745350	user.gold:164
328	7	2771374	user.gold:164
329	7	2794678	user.gold:164
330	7	2818077	user.gold:164
331	7	2841535	user.gold:164
332	7	2865084	user.gold:164
333	7	2888690	user.gold:164
334	7	2912388	user.gold:164
335	7	2936141	user.gold:164
336	7	2960259	user.gold:164
337	7	2985770	user.gold:164
338	7	3011381	user.gold:164
339	7	3037011	user.gold:164
340	7	3087569	user.gold:164
341	7	3114285	user.gold:164
342	7	3141141	user.gold:164
343	7	3170760	user.gold:164
344	7	3197729	user.gold:164
345	7	3224756	user.gold:164
346	7	3251892	user.gold:164
347	7	3279121	user.gold:164
348	7	3306406	user.gold:164
349	7	3333798	user.gold:164
350	7	3361248	user.gold:164
351	7	3388804	user.gold:164
352	7	3416425	user.gold:164
353	7	3444151	user.gold:164
354	7	3471932	user.gold:164
355	7	3499818	user.gold:164
356	7	3527768	user.gold:164
357	7	3555827	user.gold:164
358	7	3583987	user.gold:164
359	7	3612211	user.gold:164
360	7	3687278	user.gold:164
