头像框ID	头像框类型	头像框类型名	头像框名字	未激活是否显示	头像框特效方案	激活条件	激活参数	头像框图片路径	解锁条件描述	时限性描述	目前是否显示	是否显示进度	头像描述
35004	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	4004	uires/icon/hero/big_huopaodashi.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35005	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5005	uires/icon/hero/big_najianvwang.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35006	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5006	uires/icon/hero/big_meidusha.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35007	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	4007	uires/icon/hero/big_shengguangqishi.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35008	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	4008	uires/icon/hero/big_guangmingshengnv.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35009	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5009	uires/icon/hero/big_zhandoufashi.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35010	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5010	uires/icon/hero/big_heianshengnv.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35011	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	4011	uires/icon/hero/big_haidaotufu.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35012	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	4012	uires/icon/hero/big_huangjiayuchu.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35013	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	4013	uires/icon/hero/big_falao.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35014	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	4014	uires/icon/hero/big_yanhou.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35015	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5015	uires/icon/hero/big_shengqishi.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35016	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5016	uires/icon/hero/big_dafashi.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35017	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	4017	uires/icon/hero/big_judunshouwei.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35018	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	4018	uires/icon/hero/big_yinyuesheshou.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35019	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	4019	uires/icon/hero/big_mofaqishi.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35020	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	4020	uires/icon/hero/big_shoumuren.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35029	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5029	uires/icon/hero/big_sunjian.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35030	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5030	uires/icon/hero/big_nanhualaoxian.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35031	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5031	uires/icon/hero/big_machao.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35032	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5032	uires/icon/hero/big_luoshen.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
36001	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5021	uires/icon/hero/big_zhengyizhizi.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
36002	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5022	uires/icon/hero/big_guguaiwushi.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
36003	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5023	uires/icon/hero/big_shijiuqishi.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
36004	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5024	uires/icon/hero/big_jinglingyouxia.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
36005	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5025	uires/icon/hero/big_chaoxizhizai.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
36006	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5026	uires/icon/hero/big_haiyangzhiling.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
36007	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5027	uires/icon/hero/big_siwangdadi.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
36008	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5028	uires/icon/hero/big_xunlongluoli.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
