索引ID	出现商店类型（1-神将，2-商店，3-竞技场，4-爬塔，5-弃用黑市，6-国家商店, 7-跨服战商店,8-荣誉商店,9-军团商店	获得物品	组id	组权重（0为必出）	最低刷出等级	最高刷出等级	物品刷新权重	将魂消耗	货币权重	元宝消耗	货币权重1	金币消耗	货币权重2	军功消耗	货币权重3	军团币消耗	货币权重4	令牌消耗	货币权重5	军团战功消耗	货币权重6	千层塔币消耗	货币权重7	试练代币消耗	货币权重8	国战货币消耗	货币权重9	俸禄消耗	货币权重10
17	1	fragment.3208:5	17	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	1	fragment.3301:5	18	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	1	fragment.3302:5	19	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	1	fragment.3303:5	20	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	1	fragment.3304:5	21	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	1	fragment.3305:5	22	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	1	fragment.3306:5	23	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	1	fragment.3307:5	24	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	1	fragment.3308:5	25	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	1	fragment.3401:5	26	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	1	fragment.3402:5	27	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	1	fragment.3403:5	28	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	1	fragment.3404:5	29	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	1	fragment.3405:5	30	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	1	fragment.3406:5	31	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	1	fragment.3407:5	32	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	1	fragment.3101:10	33	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	1	fragment.3102:10	34	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	1	fragment.3103:10	35	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	1	fragment.3104:10	36	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	1	fragment.3105:10	37	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	1	fragment.3106:10	38	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	1	fragment.3107:10	39	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	1	fragment.3108:10	40	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	1	fragment.3109:10	41	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	1	fragment.3201:10	42	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	1	fragment.3202:10	43	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	1	fragment.3203:10	44	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	1	fragment.3204:10	45	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	1	fragment.3205:10	46	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	1	fragment.3206:10	47	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	1	fragment.3207:10	48	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	1	fragment.3208:10	49	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	1	fragment.3301:10	50	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	1	fragment.3302:10	51	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	1	fragment.3303:10	52	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	1	fragment.3304:10	53	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	1	fragment.3305:10	54	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	1	fragment.3306:10	55	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	1	fragment.3307:10	56	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	1	fragment.3308:10	57	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	1	fragment.3401:10	58	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	1	fragment.3402:10	59	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	1	fragment.3403:10	60	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	1	fragment.3404:10	61	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	1	fragment.3405:10	62	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	1	fragment.3406:10	63	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	1	fragment.3407:10	64	195	0	100	2	user.soul:-100	100	user.cash:-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	1	fragment.4110:5	65	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	1	fragment.4102:5	66	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	1	fragment.4103:5	67	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	1	fragment.4104:5	68	1838	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	1	fragment.4105:5	69	1838	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	1	fragment.4106:5	70	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	1	fragment.4107:5	71	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	1	fragment.4108:5	72	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	1	fragment.4109:5	73	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	1	fragment.4201:5	74	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	1	fragment.4202:5	75	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	1	fragment.4203:5	76	1838	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	1	fragment.4204:5	77	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	1	fragment.4205:5	78	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	1	fragment.4206:5	79	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	1	fragment.4207:5	80	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	1	fragment.4208:5	81	1512	40	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	1	fragment.4209:5	82	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	1	fragment.4301:5	83	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	1	fragment.4302:5	84	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	1	fragment.4303:5	85	1838	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	1	fragment.4304:5	86	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	1	fragment.4305:5	87	1838	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	1	fragment.4306:5	88	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	1	fragment.4307:5	89	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	1	fragment.4308:5	90	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	1	fragment.4309:5	91	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	1	fragment.4401:5	92	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	1	fragment.4402:5	93	1838	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	1	fragment.4403:5	94	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	1	fragment.4404:5	95	1838	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	1	fragment.4405:5	96	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	1	fragment.4406:5	97	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	1	fragment.4407:5	98	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	1	fragment.4408:5	99	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	1	fragment.4409:5	100	1512	0	40	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	1	fragment.4110:10	101	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	1	fragment.4102:10	102	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	1	fragment.4103:10	103	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	1	fragment.4104:10	104	1838	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	1	fragment.4105:10	105	1838	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	1	fragment.4106:10	106	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	1	fragment.4107:10	107	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	1	fragment.4108:10	108	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	1	fragment.4109:10	109	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	1	fragment.4201:10	110	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	1	fragment.4202:10	111	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	1	fragment.4203:10	112	1838	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	1	fragment.4204:10	113	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	1	fragment.4205:10	114	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	1	fragment.4206:10	115	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	1	fragment.4207:10	116	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	1	fragment.4208:10	117	1512	40	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	1	fragment.4209:10	118	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	1	fragment.4301:10	119	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	1	fragment.4302:10	120	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	1	fragment.4303:10	121	1838	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	1	fragment.4304:10	122	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	1	fragment.4305:10	123	1838	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	1	fragment.4306:10	124	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	1	fragment.4307:10	125	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	1	fragment.4308:10	126	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	1	fragment.4309:10	127	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	1	fragment.4401:10	128	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	1	fragment.4402:10	129	1838	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130	1	fragment.4403:10	130	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	1	fragment.4404:10	131	1838	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	1	fragment.4405:10	132	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	1	fragment.4406:10	133	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	1	fragment.4407:10	134	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	1	fragment.4408:10	135	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	1	fragment.4409:10	136	1512	0	40	25	user.soul:-150	80	user.cash:-150	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	1	fragment.4110:5	137	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	1	fragment.4102:5	138	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	1	fragment.4103:5	139	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	1	fragment.4104:5	140	1838	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	1	fragment.4105:5	141	1838	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	1	fragment.4106:5	142	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	1	fragment.4107:5	143	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	1	fragment.4108:5	144	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
145	1	fragment.4109:5	145	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	1	fragment.4201:5	146	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147	1	fragment.4202:5	147	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148	1	fragment.4203:5	148	1838	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149	1	fragment.4204:5	149	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150	1	fragment.4205:5	150	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	1	fragment.4206:5	151	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	1	fragment.4207:5	152	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	1	fragment.4208:5	153	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	1	fragment.4209:5	154	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	1	fragment.4301:5	155	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156	1	fragment.4302:5	156	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
157	1	fragment.4303:5	157	1838	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
158	1	fragment.4304:5	158	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159	1	fragment.4305:5	159	1838	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160	1	fragment.4306:5	160	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
161	1	fragment.4307:5	161	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
162	1	fragment.4308:5	162	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
163	1	fragment.4309:5	163	1512	41	60	25	user.soul:-75	80	user.cash:-75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
