编号	名称	日志用名称	类别	是否记录	品质	特效方案	货币描述	图标	资源条编号	是否显示加号	是否显示Tips	前往查看	获取途径	描述
digging	text_userName_digging	text_userLogName_digging	digging	0	0	0	text_userTypeDesc1	gao.png	27	digging	1	0	0	text_userDesc_digging
love	text_userName_love	text_userLogName_love	love	1	0	0	text_userTypeDesc1	love.png	16	getway	1	0	1101	text_userDesc_love
wine	text_userName_wine	text_userLogName_wine	wine	1	0	0	text_userTypeDesc1	rum.png	28	getway	1	0	402|401	text_userDesc_wine
sky_book	text_userName_sky_book	text_userLogName_sky_book	sky_book	0	0	0	text_userTypeDesc1	sky_book.png	26	getway	1	0	1301	text_userDesc_sky_book
star	text_userName_star	text_userLogName_star	star	0	0	0	text_userTypeDesc1	star.png	0	0	1	0	0	text_userDesc_star
moon	text_userName_moon	text_userLogName_moon	moon	0	0	0	text_userTypeDesc1	moon.png	0	0	1	0	0	text_userDesc_moon
sun	text_userName_sun	text_userLogName_sun	sun	0	0	0	text_userTypeDesc1	sun.png	0	0	1	0	0	text_userDesc_sun
salary	text_userName_salary	text_userLogName_salary	salary	1	0	0	text_userTypeDesc1	salary.png	25	kingMe	1	shop:801	1301	text_userDesc_salary
team	text_userName_team	text_userLogName_team	team	1	0	0	text_userTypeDesc1	team.png	39	0	1	shop:601	0	text_userDesc_team
team_exp	text_userName_team_exp	text_userLogName_team_exp	team_exp	0	0	0	text_userTypeDesc1	team_exp.png	0	0	1	0	0	text_userDesc_team_exp
trial_coin	text_userName_trial_coin	text_userLogName_trial_coin	trial_coin	0	0	0	text_userTypeDesc1	trial_coin.png	13	0	1	0	801	text_userDesc_trial_coin
rob	text_userName_rob	text_userLogName_rob	rob	0	0	0	text_userTypeDesc1	rob.png	40	shop:101:2:1	1	0	0	text_userDesc_rob
legionwar	text_userName_legionwar	text_userLogName_legionwar	legionwar	0	0	0	text_userTypeDesc1	legionwar.png	12	getway	1	shop:304	1603	text_userDesc_legionwar
vip_xp	text_userName_vip_xp	text_userLogName_vip_xp	vip_xp	0	0	0	text_userTypeDesc1	vip_xp.png	0	0	0	0	0	text_userDesc_vip_xp
wand	text_userName_wand	text_userLogName_wand	wand	1	0	0	text_userTypeDesc1	wand.png	43	getway	1	0	10501	text_userDesc_wand
staying_power	text_userName_staying_power	text_userLogName_staying_power	staying_power	0	0	0	text_userTypeDesc1	stayingpower.png	15	0	0	0	0	text_userDesc_staying_power
action_point	text_userName_action_point	text_userLogName_action_point	action_point	0	0	0	text_userTypeDesc1	actionpoint.png	14	actionpointBuy	0	0	0	text_userDesc_action_point
rotate_score	text_userName_rotate_score	text_userLogName_rotate_score	rotate_score	1	0	0	text_userTypeDesc1	rotate_score.png	44	getway	1	shop:103	2301	text_userDesc_rotate_score
rotate_ncoin	text_userName_rotate_ncoin	text_userLogName_rotate_ncoin	rotate_ncoin	1	5	0	text_userTypeDesc1	rotate_ncoin.png	45	shop:101:2:2	1	activity:lucky_rotate	0	text_userDesc_rotate_ncoin
rotate_hcoin	text_userName_rotate_hcoin	text_userLogName_rotate_hcoin	rotate_hcoin	1	6	16	text_userTypeDesc1	rotate_hcoin.png	46	shop:101:2:3	1	activity:lucky_rotate	0	text_userDesc_rotate_hcoin
fate_coin	text_userName_fate_coin	text_userLogName_fate_coin	fate_coin	1	0	0	text_userTypeDesc1	fate_coin.png	48	fatecoinBuy	1	activity:destiny_rotate	0	text_userDesc_fate_coin
