关卡类型	关卡id	场景展示资源	经验展现	金币展现	英雄经验展现	挂机掉落经验	挂机掉落金币	挂机掉落英雄经验	挑战限制	限制参数	功能开启	功能开启界面是否显示	新手引导标示	是否可退出/暂停	是否展示BOSS信息	冒险送钻石	首通奖励	奖励展示	掉落解锁	战斗ID
1	27	npc_explore_1	11	37	11	82	262	80	level	1	0	0	17	1	0	6	material.940:2,user.xp:200,user.gold:3000,user.hero_exp:3500	material.940:2		1000027
1	28	npc_explore_1	11	37	11	83	263	82	level	1	0	0	0	1	0	6	user.xp:200,user.gold:3000,user.hero_exp:3700			1000028
1	29	npc_explore_1	12	37	12	84	264	84	level	1	0	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:4000			1000029
1	30	npc_explore_1	12	37	12	85	265	87	level	1	0	0	0	1	0	6	material.940:2,user.xp:300,user.gold:3000,user.hero_exp:4200	material.940:2	equip.10201.0:1	1000030
1	31	npc_explore_1	12	38	12	86	266	89	level	1	0	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:4400			1000031
1	32	npc_explore_1	12	38	13	87	267	91	level	1	exploreTask	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:4700			1000032
1	33	npc_explore_1	12	38	13	88	268	93	level	1	0	0	26	1	0	6	material.940:2,user.xp:300,user.gold:3000,user.hero_exp:4900	material.940:2		1000033
1	34	npc_explore_1	12	38	13	89	269	96	level	1	0	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:5200			1000034
1	35	npc_explore_1	12	38	14	90	270	98	level	1	0	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:5200			1000035
1	36	npc_explore_1	13	38	14	91	271	100	level	1	0	0	0	1	0	6	material.940:2,user.xp:300,user.gold:3000,user.hero_exp:5200	material.940:2		1000036
1	37	npc_explore_1	13	38	14	92	272	103	level	1	0	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:5200			1000037
1	38	npc_explore_1	13	38	15	92	272	105	level	1	0	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:5200			1000038
1	39	npc_explore_1	13	39	15	93	273	107	level	1	0	0	18	1	0	6	material.940:2,user.xp:300,user.gold:3000,user.hero_exp:5200	material.940:2		1000039
1	40	npc_explore_1	13	39	15	94	274	109	level	1	0	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:5200		equip.20201.0:1	1000040
1	41	npc_explore_1	13	39	16	95	275	112	level	1	0	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:5200			1000041
1	42	npc_explore_1	13	39	16	96	276	114	level	1	0	0	0	1	0	6	material.940:2,user.xp:300,user.gold:3000,user.hero_exp:5200	material.940:2		1000042
1	43	npc_explore_1	13	39	16	97	277	116	level	1	0	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:5200			1000043
1	44	npc_explore_1	14	39	17	98	278	119	level	1	0	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:5200			1000044
1	45	npc_explore_1	14	39	17	99	279	121	level	1	abyssTreasure	0	0	1	0	6	material.940:20,material.940:4,user.xp:300,user.gold:3000,user.hero_exp:5200	material.940:20		1000045
1	46	npc_explore_1	14	40	17	100	280	124	level	35	0	0	25	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:5200			1000046
1	47	npc_explore_1	14	40	18	101	281	126	level	1	0	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:5200			1000047
1	48	npc_explore_1	14	40	18	102	282	128	level	1	0	0	0	1	0	6	material.1:20,user.xp:300,user.gold:3000,user.hero_exp:5200	material.1:20		1000048
1	49	npc_explore_1	14	40	18	103	283	131	level	1	0	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:5200			1000049
1	50	npc_explore_1	14	40	19	104	284	133	level	1	0	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:5200		equip.30201.0:1	1000050
1	51	npc_explore_1	15	40	19	105	285	136	level	1	0	0	0	1	0	6	equip.10101.0:1,equip.20101.0:1,user.xp:300,user.gold:3000,user.hero_exp:5200	equip.10101.0:1		1000051
1	52	npc_explore_1	15	40	19	106	286	138	level	1	0	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:5200			1000052
1	53	npc_explore_1	15	41	20	107	287	140	level	1	0	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:5200			1000053
1	54	npc_explore_1	15	41	20	108	288	143	level	1	0	0	0	1	0	6	equip.30101.0:1,equip.40101.0:1,user.xp:300,user.gold:3000,user.hero_exp:5200	equip.30101.0:1		1000054
1	55	npc_explore_1	15	41	20	109	289	145	level	1	0	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:5200			1000055
1	56	npc_explore_1	15	41	21	110	290	148	level	1	0	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:5200			1000056
1	57	npc_explore_1	15	41	21	111	291	150	level	1	0	0	0	1	0	6	equip.50101.0:1,equip.60101.0:1,user.xp:300,user.gold:3000,user.hero_exp:5200	equip.50101.0:1		1000057
1	58	npc_explore_1	16	41	21	112	292	153	level	1	0	0	19	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:5200			1000058
1	59	npc_explore_1	16	41	22	113	293	155	level	1	0	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:5200			1000059
1	60	npc_explore_1	16	42	22	114	294	158	level	40	0	0	0	1	0	6	user.htoken:1,material.1:20,user.xp:300,user.gold:3000,user.hero_exp:5200	user.htoken:1	equip.40201.0:1	1000060
1	61	npc_explore_1	16	42	22	115	295	160	level	1	0	0	0	1	0	6	user.xp:300,user.gold:3000,user.hero_exp:5200			1000061
1	62	npc_explore_1	16	42	23	116	296	163	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000062
1	63	npc_explore_1	16	42	23	117	297	165	level	1	0	0	0	1	0	6	material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300	material.940:2		1000063
1	64	npc_explore_1	16	42	24	118	298	168	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000064
1	65	npc_explore_1	17	42	24	119	299	170	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000065
1	66	npc_explore_1	17	42	24	120	300	173	level	1	0	0	0	1	0	6	material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300	material.940:2		1000066
1	67	npc_explore_1	17	43	25	121	301	175	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000067
1	68	npc_explore_1	17	43	25	122	302	178	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000068
1	69	npc_explore_1	17	43	25	123	303	181	level	1	0	0	0	1	0	6	material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300	material.940:2		1000069
1	70	npc_explore_1	17	43	26	124	304	183	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300		equip.50201.0:1	1000070
1	71	npc_explore_1	17	43	26	125	305	186	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000071
1	72	npc_explore_1	18	43	26	126	306	188	level	1	0	0	0	1	0	6	material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300	material.940:2		1000072
1	73	npc_explore_1	18	43	27	127	307	191	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000073
1	74	npc_explore_1	18	44	27	128	308	194	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000074
1	75	npc_explore_1	18	44	28	130	310	196	level	1	0	0	0	1	0	6	material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300	material.940:2		1000075
1	76	npc_explore_1	18	44	28	131	311	199	level	45	0	0	20	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000076
1	77	npc_explore_1	18	44	28	132	312	201	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000077
1	78	npc_explore_1	19	44	29	133	313	204	level	1	0	0	0	1	0	6	material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300	material.940:2		1000078
1	79	npc_explore_1	19	44	29	134	314	207	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000079
1	80	npc_explore_1	19	45	29	135	315	209	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300		equip.60201.0:1	1000080
1	81	npc_explore_1	19	45	30	136	316	212	level	1	0	0	0	1	0	6	material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300	material.940:2		1000081
1	82	npc_explore_1	19	45	30	137	317	215	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000082
1	83	npc_explore_1	19	45	31	138	318	217	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000083
1	84	npc_explore_1	19	45	31	139	319	220	level	1	0	0	0	1	0	6	material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300	material.940:2		1000084
1	85	npc_explore_1	20	45	31	140	320	223	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000085
1	86	npc_explore_1	20	45	32	141	321	226	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000086
1	87	npc_explore_1	20	46	32	143	323	228	level	1	0	0	0	1	0	6	material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300	material.940:2		1000087
1	88	npc_explore_1	20	46	33	144	324	231	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000088
1	89	npc_explore_1	20	46	33	145	325	234	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000089
1	90	npc_explore_1	20	46	33	146	326	237	level	1	0	0	0	1	0	6	material.950:10,material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300	material.950:10	material.950:1	1000090
1	91	npc_explore_1	21	46	34	147	327	239	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000091
1	92	npc_explore_1	21	46	34	148	328	242	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000092
1	93	npc_explore_1	21	47	35	149	329	245	level	1	0	0	0	1	0	6	material.950:1,user.xp:600,user.gold:6000,user.hero_exp:10300	material.950:1		1000093
1	94	npc_explore_1	21	47	35	150	330	248	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000094
1	95	npc_explore_1	21	47	35	152	332	251	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000095
1	96	npc_explore_1	21	47	36	153	333	253	level	1	0	0	0	1	0	6	material.950:1,user.xp:600,user.gold:6000,user.hero_exp:10300	material.950:1		1000096
1	97	npc_explore_1	22	47	36	154	334	256	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000097
1	98	npc_explore_1	22	47	37	155	335	259	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000098
1	99	npc_explore_1	22	48	37	156	336	262	level	1	0	0	0	1	0	6	material.950:1,user.xp:600,user.gold:6000,user.hero_exp:10300	material.950:1		1000099
1	100	npc_explore_1	22	48	37	157	337	265	level	50	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300		equip.10301.0:1	1000100
1	101	npc_explore_1	22	48	38	158	338	268	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000101
1	102	npc_explore_1	22	48	38	160	340	270	level	1	0	0	0	1	0	6	material.950:1,user.xp:600,user.gold:6000,user.hero_exp:10300	material.950:1		1000102
1	103	npc_explore_1	23	48	39	161	341	273	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000103
1	104	npc_explore_1	23	48	39	162	342	276	level	1	0	0	0	1	0	6	user.xp:600,user.gold:6000,user.hero_exp:10300			1000104
1	105	npc_explore_1	23	49	39	163	343	279	level	1	0	0	0	1	0	6	fragment.4003:40,material.950:1,user.xp:600,user.gold:6000,user.hero_exp:10300	fragment.4003:40		1000105
1	106	npc_explore_1	23	49	40	164	344	282	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000106
1	107	npc_explore_1	23	49	40	165	345	285	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000107
1	108	npc_explore_1	23	49	41	167	347	288	level	1	0	0	0	1	0	6	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400	material.950:1		1000108
1	109	npc_explore_1	24	49	41	168	348	291	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000109
1	110	npc_explore_1	24	49	42	169	349	294	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400		equip.20301.0:1	1000110
1	111	npc_explore_1	24	50	42	170	350	297	level	1	0	0	0	1	0	6	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400	material.950:1		1000111
1	112	npc_explore_1	24	50	42	171	351	300	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000112
1	113	npc_explore_1	24	50	43	173	353	302	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000113
1	114	npc_explore_1	24	50	43	174	354	305	level	1	0	0	0	1	0	6	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400	material.950:1		1000114
1	115	npc_explore_1	25	50	44	175	355	308	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000115
1	116	npc_explore_1	25	50	44	176	356	311	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000116
1	117	npc_explore_1	25	51	44	177	357	314	level	1	0	0	0	1	0	6	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400	material.950:1		1000117
1	118	npc_explore_1	25	51	45	179	359	317	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000118
1	119	npc_explore_1	25	51	45	180	360	320	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000119
1	120	npc_explore_1	25	51	46	181	361	323	level	1	0	0	0	1	0	6	user.bindcash:100,material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400	user.bindcash:100	equip.30301.0:1	1000120
1	121	npc_explore_1	26	51	46	182	362	326	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000121
1	122	npc_explore_1	26	52	47	184	364	330	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000122
1	123	npc_explore_1	26	52	47	185	365	333	level	1	0	0	0	1	0	6	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400	material.950:1		1000123
1	124	npc_explore_1	26	52	48	186	366	336	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000124
1	125	npc_explore_1	26	52	48	187	367	339	level	52	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000125
1	126	npc_explore_1	27	52	48	189	369	342	level	1	0	0	0	1	0	6	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400	material.950:1		1000126
1	127	npc_explore_1	27	52	49	190	370	345	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000127
1	128	npc_explore_1	27	53	49	191	371	348	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000128
1	129	npc_explore_1	27	53	50	192	372	351	level	1	0	0	0	1	0	6	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400	material.950:1		1000129
1	130	npc_explore_1	27	53	50	194	374	354	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400		equip.40301.0:1	1000130
1	131	npc_explore_1	27	53	51	195	375	357	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000131
1	132	npc_explore_1	28	53	51	196	376	360	level	1	0	0	0	1	0	6	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400	material.950:1		1000132
1	133	npc_explore_1	28	53	52	197	377	364	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000133
1	134	npc_explore_1	28	54	52	199	379	367	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000134
1	135	npc_explore_1	28	54	52	200	380	370	level	1	0	0	0	1	0	6	material.101702:1,material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400	material.101702:1		1000135
1	136	npc_explore_1	28	54	53	201	381	373	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000136
1	137	npc_explore_1	28	54	53	202	382	376	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000137
1	138	npc_explore_1	29	54	54	204	384	379	level	1	0	0	0	1	0	6	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400	material.950:1		1000138
1	139	npc_explore_1	29	55	54	205	385	383	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000139
1	140	npc_explore_1	29	55	55	206	386	386	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400		equip.50301.0:1	1000140
1	141	npc_explore_1	29	55	55	208	388	389	level	1	0	0	0	1	0	6	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400	material.950:1		1000141
1	142	npc_explore_1	29	55	56	209	389	392	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000142
1	143	npc_explore_1	30	55	56	210	390	395	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000143
1	144	npc_explore_1	30	56	57	212	392	399	level	1	0	0	0	1	0	6	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400	material.950:1		1000144
1	145	npc_explore_1	30	56	57	213	393	402	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000145
1	146	npc_explore_1	30	56	57	214	394	405	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000146
1	147	npc_explore_1	30	56	58	216	396	408	level	1	0	0	0	1	0	6	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400	material.950:1		1000147
1	148	npc_explore_1	31	56	58	217	397	412	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000148
1	149	npc_explore_1	31	56	59	218	398	415	level	1	0	0	0	1	0	6	user.xp:800,user.gold:9000,user.hero_exp:15400			1000149
1	150	npc_explore_1	31	57	59	220	400	418	level	55	0	0	0	1	0	6	material.950:1,user.xp:1100,user.gold:12000,user.hero_exp:20500	material.950:1	equip.60301.0:1	1000150
2	1	npc_explore_2	31	57	60	221	401	421	level	1	0	0	0	1	0	6	user.xp:1100,user.gold:12000,user.hero_exp:20500			1000151
2	2	npc_explore_2	31	57	60	222	402	425	level	1	0	0	0	1	0	6	user.xp:1100,user.gold:12000,user.hero_exp:20500			1000152
2	3	npc_explore_2	32	57	61	224	404	428	level	1	0	0	0	1	0	6	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500	user.bindcash:10		1000153
2	4	npc_explore_2	32	57	61	225	405	431	level	1	0	0	0	1	0	6	user.xp:1100,user.gold:12000,user.hero_exp:20500			1000154
2	5	npc_explore_2	32	58	62	226	406	435	level	1	0	0	0	1	0	6	user.xp:1100,user.gold:12000,user.hero_exp:20500			1000155
2	6	npc_explore_2	32	58	62	228	408	438	level	1	0	0	0	1	0	6	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500	user.bindcash:10		1000156
2	7	npc_explore_2	32	58	63	229	409	441	level	1	0	0	0	1	0	6	user.xp:1100,user.gold:12000,user.hero_exp:20500			1000157
2	8	npc_explore_2	32	58	63	230	410	445	level	1	0	0	0	1	0	6	user.xp:1100,user.gold:12000,user.hero_exp:20500			1000158
2	9	npc_explore_2	33	58	64	232	412	448	level	1	0	0	0	1	0	6	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500	user.bindcash:10		1000159
2	10	npc_explore_2	33	59	64	233	413	451	level	1	0	0	0	1	0	6	user.xp:1100,user.gold:12000,user.hero_exp:20500			1000160
2	11	npc_explore_2	33	59	65	234	414	455	level	1	0	0	0	1	0	6	user.xp:1100,user.gold:12000,user.hero_exp:20500			1000161
2	12	npc_explore_2	33	59	65	236	416	458	level	1	0	0	0	1	0	6	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500	user.bindcash:10		1000162
2	13	npc_explore_2	33	59	66	237	417	462	level	1	0	0	0	1	0	6	user.xp:1100,user.gold:12000,user.hero_exp:20500			1000163
2	14	npc_explore_2	34	59	66	239	419	465	level	1	0	0	0	1	0	6	user.xp:1100,user.gold:12000,user.hero_exp:20500			1000164
2	15	npc_explore_2	34	60	66	240	420	468	level	1	0	0	0	1	0	6	material.101702:1,user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500	material.101702:1		1000165
2	16	npc_explore_2	34	60	67	241	421	472	level	1	0	0	0	1	0	6	user.xp:1100,user.gold:12000,user.hero_exp:20500			1000166
2	17	npc_explore_2	34	60	67	243	423	475	level	1	0	0	0	1	0	6	user.xp:1100,user.gold:12000,user.hero_exp:20500			1000167
2	18	npc_explore_2	34	60	68	244	424	479	level	1	0	0	0	1	0	6	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500	user.bindcash:10		1000168
2	19	npc_explore_2	35	60	68	245	425	482	level	1	0	0	0	1	0	6	user.xp:1100,user.gold:12000,user.hero_exp:20500			1000169
2	20	npc_explore_2	35	61	69	247	427	486	level	1	0	0	0	1	0	6	user.xp:1100,user.gold:12000,user.hero_exp:20500			1000170
2	21	npc_explore_2	35	61	69	248	428	489	level	1	0	0	0	1	0	6	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500	user.bindcash:10		1000171
2	22	npc_explore_2	35	61	70	250	430	493	level	1	0	0	0	1	0	6	user.xp:1100,user.gold:12000,user.hero_exp:20500			1000172
2	23	npc_explore_2	35	61	70	251	431	496	level	1	0	0	0	1	0	6	user.xp:1100,user.gold:12000,user.hero_exp:20500			1000173
2	24	npc_explore_2	36	61	71	253	433	500	level	1	0	0	0	1	0	6	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500	user.bindcash:10		1000174
2	25	npc_explore_2	36	62	71	254	434	503	level	57	0	0	0	1	0	6	user.xp:1100,user.gold:12000,user.hero_exp:20500		equip.10401.0:1	1000175
2	26	npc_explore_2	36	62	72	255	435	507	level	1	0	0	0	1	0	6	user.xp:1100,user.gold:12000,user.hero_exp:20500			1000176
