编号	编号1	编号2
6	13	user.gold:106000
6	14	user.hero_exp:132000
6	15	material.950:10
7	1	user.gold:58500
7	2	user.hero_exp:79000
7	3	material.1:60
7	4	user.gold:73200
7	5	user.hero_exp:98800
7	6	material.100402:1
7	7	user.gold:87800
7	8	user.hero_exp:119000
7	9	user.bindcash:100
7	10	user.gold:102000
7	11	user.hero_exp:138000
7	12	user.htoken:1
7	13	user.gold:117000
7	14	user.hero_exp:158000
7	15	material.950:10
8	1	user.gold:64200
8	2	user.hero_exp:93100
8	3	material.1:80
8	4	user.gold:80200
8	5	user.hero_exp:116000
8	6	material.100402:1
8	7	user.gold:96200
8	8	user.hero_exp:140000
8	9	user.bindcash:100
8	10	user.gold:112000
8	11	user.hero_exp:163000
8	12	user.htoken:1
8	13	user.gold:128000
8	14	user.hero_exp:186000
8	15	material.950:10
9	1	user.gold:82800
9	2	user.hero_exp:139000
9	3	material.1:100
9	4	user.gold:104000
9	5	user.hero_exp:174000
9	6	material.100402:1
9	7	user.gold:124000
9	8	user.hero_exp:208000
9	9	user.bindcash:100
9	10	user.gold:145000
9	11	user.hero_exp:243000
9	12	user.htoken:1
9	13	user.gold:166000
9	14	user.hero_exp:278000
9	15	material.950:10
10	1	user.gold:105000
10	2	user.hero_exp:195000
10	3	material.1:100
10	4	user.gold:132000
10	5	user.hero_exp:243000
10	6	material.100402:1
10	7	user.gold:158000
10	8	user.hero_exp:292000
10	9	user.bindcash:100
10	10	user.gold:184000
10	11	user.hero_exp:341000
10	12	user.htoken:1
10	13	user.gold:211000
10	14	user.hero_exp:389000
10	15	material.950:10
11	1	user.gold:114000
11	2	user.hero_exp:213000
11	3	material.1:100
11	4	user.gold:142000
11	5	user.hero_exp:267000
11	6	material.100402:1
11	7	user.gold:171000
11	8	user.hero_exp:320000
11	9	user.bindcash:100
11	10	user.gold:199000
11	11	user.hero_exp:374000
11	12	user.htoken:1
11	13	user.gold:228000
11	14	user.hero_exp:427000
11	15	material.950:10
12	1	user.gold:118000
12	2	user.hero_exp:222000
12	3	material.1:100
12	4	user.gold:148000
12	5	user.hero_exp:277000
12	6	material.100402:1
12	7	user.gold:177000
12	8	user.hero_exp:333000
12	9	user.bindcash:100
12	10	user.gold:207000
12	11	user.hero_exp:388000
12	12	user.htoken:1
12	13	user.gold:237000
12	14	user.hero_exp:444000
12	15	material.950:10
13	1	user.gold:123000
13	2	user.hero_exp:231000
13	3	material.1:100
13	4	user.gold:154000
13	5	user.hero_exp:289000
13	6	material.100402:1
13	7	user.gold:185000
13	8	user.hero_exp:346000
13	9	user.bindcash:100
13	10	user.gold:216000
13	11	user.hero_exp:404000
13	12	user.htoken:1
13	13	user.gold:246000
13	14	user.hero_exp:462000
13	15	material.950:10
14	1	user.gold:128000
14	2	user.hero_exp:240000
14	3	material.1:100
14	4	user.gold:160000
14	5	user.hero_exp:300000
14	6	material.100402:1
14	7	user.gold:192000
14	8	user.hero_exp:360000
14	9	user.bindcash:100
14	10	user.gold:224000
14	11	user.hero_exp:420000
14	12	user.htoken:1
14	13	user.gold:256000
14	14	user.hero_exp:480000
14	15	material.950:10
15	1	user.gold:133000
15	2	user.hero_exp:249000
15	3	material.1:100
15	4	user.gold:166000
15	5	user.hero_exp:312000
15	6	material.100402:1
15	7	user.gold:199000
15	8	user.hero_exp:374000
15	9	user.bindcash:100
15	10	user.gold:233000
15	11	user.hero_exp:436000
15	12	user.htoken:1
15	13	user.gold:266000
15	14	user.hero_exp:499000
15	15	material.950:10
16	1	user.gold:138000
16	2	user.hero_exp:259000
16	3	material.1:100
16	4	user.gold:172000
16	5	user.hero_exp:323000
16	6	material.100402:1
16	7	user.gold:207000
16	8	user.hero_exp:388000
16	9	user.bindcash:100
16	10	user.gold:241000
16	11	user.hero_exp:453000
16	12	user.htoken:1
16	13	user.gold:276000
16	14	user.hero_exp:517000
16	15	material.950:10
17	1	user.gold:143000
17	2	user.hero_exp:269000
17	3	material.1:100
17	4	user.gold:179000
17	5	user.hero_exp:336000
17	6	material.100402:1
17	7	user.gold:215000
17	8	user.hero_exp:403000
17	9	user.bindcash:100
17	10	user.gold:251000
17	11	user.hero_exp:470000
17	12	user.htoken:1
17	13	user.gold:286000
17	14	user.hero_exp:537000
17	15	material.950:10
18	1	user.gold:148000
18	2	user.hero_exp:278000
18	3	material.1:100
18	4	user.gold:186000
18	5	user.hero_exp:348000
18	6	material.100402:1
18	7	user.gold:223000
18	8	user.hero_exp:418000
18	9	user.bindcash:100
18	10	user.gold:260000
18	11	user.hero_exp:487000
18	12	user.htoken:1
18	13	user.gold:297000
18	14	user.hero_exp:557000
18	15	material.950:10
19	1	user.gold:153000
19	2	user.hero_exp:287000
19	3	material.1:100
19	4	user.gold:192000
19	5	user.hero_exp:359000
19	6	material.100402:1
19	7	user.gold:230000
19	8	user.hero_exp:431000
19	9	user.bindcash:100
19	10	user.gold:268000
19	11	user.hero_exp:503000
19	12	user.htoken:1
19	13	user.gold:306000
19	14	user.hero_exp:575000
19	15	material.950:10
20	1	user.gold:158000
20	2	user.hero_exp:297000
20	3	material.1:100
20	4	user.gold:198000
20	5	user.hero_exp:371000
20	6	material.100402:1
20	7	user.gold:237000
20	8	user.hero_exp:445000
20	9	user.bindcash:100
20	10	user.gold:277000
20	11	user.hero_exp:520000
20	12	user.htoken:1
20	13	user.gold:317000
20	14	user.hero_exp:594000
20	15	material.950:10
21	1	user.gold:164000
21	2	user.hero_exp:307000
21	3	material.1:100
21	4	user.gold:204000
21	5	user.hero_exp:384000
21	6	material.100402:1
21	7	user.gold:245000
21	8	user.hero_exp:460000
21	9	user.bindcash:100
21	10	user.gold:286000
21	11	user.hero_exp:537000
21	12	user.htoken:1
21	13	user.gold:327000
21	14	user.hero_exp:614000
21	15	material.950:10
22	1	user.gold:166000
22	2	user.hero_exp:311000
22	3	material.1:100
22	4	user.gold:207000
22	5	user.hero_exp:389000
22	6	material.100402:1
22	7	user.gold:249000
22	8	user.hero_exp:467000
22	9	user.bindcash:100
22	10	user.gold:290000
22	11	user.hero_exp:544000
22	12	user.htoken:1
22	13	user.gold:332000
22	14	user.hero_exp:622000
22	15	material.950:10
