关卡ID	战斗ID	挑战限制	限制参数	首通奖励
101700	1100170	level	140	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.10601.0:1
101701	1100171	level	140	user.gold:300000,user.hero_exp:410000,material.1:50
101702	1100172	level	140	user.gold:320000,user.hero_exp:430000,material.1:50
101703	1100173	level	140	user.gold:330000,user.hero_exp:460000,material.1:50
101704	1100174	level	140	user.gold:350000,user.hero_exp:480000,material.1:50
101705	1100175	level	140	user.gold:370000,user.hero_exp:510000,material.1:50
101800	1100180	level	140	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.30601.0:1
101801	1100181	level	140	user.gold:390000,user.hero_exp:530000,material.1:50
101802	1100182	level	140	user.gold:400000,user.hero_exp:550000,material.1:50
101803	1100183	level	140	user.gold:420000,user.hero_exp:580000,material.1:50
101804	1100184	level	140	user.gold:440000,user.hero_exp:600000,material.1:50
101805	1100185	level	140	user.gold:450000,user.hero_exp:630000,material.1:50
101900	1100190	level	140	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.50601.0:1
101901	1100191	level	140	user.gold:470000,user.hero_exp:650000,material.1:50
101902	1100192	level	140	user.gold:490000,user.hero_exp:670000,material.1:50
101903	1100193	level	140	user.gold:510000,user.hero_exp:700000,material.1:50
101904	1100194	level	140	user.gold:520000,user.hero_exp:720000,material.1:50
101905	1100195	level	140	user.gold:540000,user.hero_exp:750000,material.1:50
102000	1100200	level	140	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.20601.0:1
102001	1100201	level	140	user.gold:560000,user.hero_exp:770000,material.1:50
102002	1100202	level	140	user.gold:580000,user.hero_exp:790000,material.1:50
102003	1100203	level	140	user.gold:590000,user.hero_exp:820000,material.1:50
102004	1100204	level	140	user.gold:610000,user.hero_exp:840000,material.1:50
102005	1100205	level	140	user.gold:630000,user.hero_exp:870000,material.1:50
102100	1100210	level	141	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.40601.0:1
102101	1100211	level	141	user.gold:300000,user.hero_exp:410000,material.1:50
102102	1100212	level	141	user.gold:320000,user.hero_exp:430000,material.1:50
102103	1100213	level	141	user.gold:330000,user.hero_exp:460000,material.1:50
102104	1100214	level	141	user.gold:350000,user.hero_exp:480000,material.1:50
102105	1100215	level	141	user.gold:370000,user.hero_exp:510000,material.1:50
102200	1100220	level	141	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.60601.0:1
102201	1100221	level	141	user.gold:390000,user.hero_exp:530000,material.1:50
102202	1100222	level	141	user.gold:400000,user.hero_exp:550000,material.1:50
102203	1100223	level	141	user.gold:420000,user.hero_exp:580000,material.1:50
102204	1100224	level	141	user.gold:440000,user.hero_exp:600000,material.1:50
102205	1100225	level	141	user.gold:450000,user.hero_exp:630000,material.1:50
102300	1100230	level	141	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,group.20000005.0:1
102301	1100231	level	141	user.gold:470000,user.hero_exp:650000,material.1:50
102302	1100232	level	141	user.gold:490000,user.hero_exp:670000,material.1:50
102303	1100233	level	141	user.gold:510000,user.hero_exp:700000,material.1:50
102304	1100234	level	141	user.gold:520000,user.hero_exp:720000,material.1:50
102305	1100235	level	141	user.gold:540000,user.hero_exp:750000,material.1:50
102400	1100240	level	141	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,user.wand:10
102401	1100241	level	141	user.gold:560000,user.hero_exp:770000,material.1:50
102402	1100242	level	141	user.gold:580000,user.hero_exp:790000,material.1:50
102403	1100243	level	141	user.gold:590000,user.hero_exp:820000,material.1:50
102404	1100244	level	141	user.gold:610000,user.hero_exp:840000,material.1:50
102405	1100245	level	141	user.gold:630000,user.hero_exp:870000,material.1:50
102500	1100250	level	142	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.10601.0:1
102501	1100251	level	142	user.gold:300000,user.hero_exp:410000,material.1:50
102502	1100252	level	142	user.gold:320000,user.hero_exp:430000,material.1:50
102503	1100253	level	142	user.gold:330000,user.hero_exp:460000,material.1:50
102504	1100254	level	142	user.gold:350000,user.hero_exp:480000,material.1:50
102505	1100255	level	142	user.gold:370000,user.hero_exp:510000,material.1:50
102600	1100260	level	142	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.30601.0:1
102601	1100261	level	142	user.gold:390000,user.hero_exp:530000,material.1:50
102602	1100262	level	142	user.gold:400000,user.hero_exp:550000,material.1:50
102603	1100263	level	142	user.gold:420000,user.hero_exp:580000,material.1:50
102604	1100264	level	142	user.gold:440000,user.hero_exp:600000,material.1:50
102605	1100265	level	142	user.gold:450000,user.hero_exp:630000,material.1:50
102700	1100270	level	142	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.50601.0:1
102701	1100271	level	142	user.gold:470000,user.hero_exp:650000,material.1:50
102702	1100272	level	142	user.gold:490000,user.hero_exp:670000,material.1:50
102703	1100273	level	142	user.gold:510000,user.hero_exp:700000,material.1:50
102704	1100274	level	142	user.gold:520000,user.hero_exp:720000,material.1:50
102705	1100275	level	142	user.gold:540000,user.hero_exp:750000,material.1:50
102800	1100280	level	142	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.20601.0:1
102801	1100281	level	142	user.gold:560000,user.hero_exp:770000,material.1:50
102802	1100282	level	142	user.gold:580000,user.hero_exp:790000,material.1:50
102803	1100283	level	142	user.gold:590000,user.hero_exp:820000,material.1:50
102804	1100284	level	142	user.gold:610000,user.hero_exp:840000,material.1:50
102805	1100285	level	142	user.gold:630000,user.hero_exp:870000,material.1:50
102900	1100290	level	143	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.40601.0:1
102901	1100291	level	143	user.gold:300000,user.hero_exp:410000,material.1:50
102902	1100292	level	143	user.gold:320000,user.hero_exp:430000,material.1:50
102903	1100293	level	143	user.gold:330000,user.hero_exp:460000,material.1:50
102904	1100294	level	143	user.gold:350000,user.hero_exp:480000,material.1:50
102905	1100295	level	143	user.gold:370000,user.hero_exp:510000,material.1:50
103000	1100300	level	143	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.60601.0:1
103001	1100301	level	143	user.gold:390000,user.hero_exp:530000,material.1:50
103002	1100302	level	143	user.gold:400000,user.hero_exp:550000,material.1:50
103003	1100303	level	143	user.gold:420000,user.hero_exp:580000,material.1:50
103004	1100304	level	143	user.gold:440000,user.hero_exp:600000,material.1:50
103005	1100305	level	143	user.gold:450000,user.hero_exp:630000,material.1:50
103100	1100310	level	143	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,group.20000005.0:1
103101	1100311	level	143	user.gold:470000,user.hero_exp:650000,material.1:50
103102	1100312	level	143	user.gold:490000,user.hero_exp:670000,material.1:50
103103	1100313	level	143	user.gold:510000,user.hero_exp:700000,material.1:50
103104	1100314	level	143	user.gold:520000,user.hero_exp:720000,material.1:50
103105	1100315	level	143	user.gold:540000,user.hero_exp:750000,material.1:50
103200	1100320	level	143	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,user.wand:10
103201	1100321	level	143	user.gold:560000,user.hero_exp:770000,material.1:50
103202	1100322	level	143	user.gold:580000,user.hero_exp:790000,material.1:50
103203	1100323	level	143	user.gold:590000,user.hero_exp:820000,material.1:50
103204	1100324	level	143	user.gold:610000,user.hero_exp:840000,material.1:50
103205	1100325	level	143	user.gold:630000,user.hero_exp:870000,material.1:50
103300	1100330	level	144	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.10601.0:1
103301	1100331	level	144	user.gold:300000,user.hero_exp:410000,material.1:50
103302	1100332	level	144	user.gold:320000,user.hero_exp:430000,material.1:50
103303	1100333	level	144	user.gold:330000,user.hero_exp:460000,material.1:50
103304	1100334	level	144	user.gold:350000,user.hero_exp:480000,material.1:50
103305	1100335	level	144	user.gold:370000,user.hero_exp:510000,material.1:50
103400	1100340	level	144	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.30601.0:1
103401	1100341	level	144	user.gold:390000,user.hero_exp:530000,material.1:50
103402	1100342	level	144	user.gold:400000,user.hero_exp:550000,material.1:50
103403	1100343	level	144	user.gold:420000,user.hero_exp:580000,material.1:50
103404	1100344	level	144	user.gold:440000,user.hero_exp:600000,material.1:50
103405	1100345	level	144	user.gold:450000,user.hero_exp:630000,material.1:50
103500	1100350	level	144	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.50601.0:1
103501	1100351	level	144	user.gold:470000,user.hero_exp:650000,material.1:50
103502	1100352	level	144	user.gold:490000,user.hero_exp:670000,material.1:50
103503	1100353	level	144	user.gold:510000,user.hero_exp:700000,material.1:50
103504	1100354	level	144	user.gold:520000,user.hero_exp:720000,material.1:50
103505	1100355	level	144	user.gold:540000,user.hero_exp:750000,material.1:50
103600	1100360	level	144	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.20601.0:1
103601	1100361	level	144	user.gold:560000,user.hero_exp:770000,material.1:50
103602	1100362	level	144	user.gold:580000,user.hero_exp:790000,material.1:50
103603	1100363	level	144	user.gold:590000,user.hero_exp:820000,material.1:50
103604	1100364	level	144	user.gold:610000,user.hero_exp:840000,material.1:50
103605	1100365	level	144	user.gold:630000,user.hero_exp:870000,material.1:50
103700	1100370	level	145	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.40601.0:1
103701	1100371	level	145	user.gold:300000,user.hero_exp:410000,material.1:50
103702	1100372	level	145	user.gold:320000,user.hero_exp:430000,material.1:50
103703	1100373	level	145	user.gold:330000,user.hero_exp:460000,material.1:50
103704	1100374	level	145	user.gold:350000,user.hero_exp:480000,material.1:50
103705	1100375	level	145	user.gold:370000,user.hero_exp:510000,material.1:50
103800	1100380	level	145	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.60601.0:1
103801	1100381	level	145	user.gold:390000,user.hero_exp:530000,material.1:50
103802	1100382	level	145	user.gold:400000,user.hero_exp:550000,material.1:50
103803	1100383	level	145	user.gold:420000,user.hero_exp:580000,material.1:50
103804	1100384	level	145	user.gold:440000,user.hero_exp:600000,material.1:50
103805	1100385	level	145	user.gold:450000,user.hero_exp:630000,material.1:50
103900	1100390	level	145	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,group.20000005.0:1
103901	1100391	level	145	user.gold:470000,user.hero_exp:650000,material.1:50
103902	1100392	level	145	user.gold:490000,user.hero_exp:670000,material.1:50
103903	1100393	level	145	user.gold:510000,user.hero_exp:700000,material.1:50
103904	1100394	level	145	user.gold:520000,user.hero_exp:720000,material.1:50
103905	1100395	level	145	user.gold:540000,user.hero_exp:750000,material.1:50
104000	1100400	level	145	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,user.wand:10
104001	1100401	level	145	user.gold:560000,user.hero_exp:770000,material.1:50
104002	1100402	level	145	user.gold:580000,user.hero_exp:790000,material.1:50
104003	1100403	level	145	user.gold:590000,user.hero_exp:820000,material.1:50
104004	1100404	level	145	user.gold:610000,user.hero_exp:840000,material.1:50
104005	1100405	level	145	user.gold:630000,user.hero_exp:870000,material.1:50
104100	1100410	level	146	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.10601.0:1
104101	1100411	level	146	user.gold:300000,user.hero_exp:410000,material.1:50
104102	1100412	level	146	user.gold:320000,user.hero_exp:430000,material.1:50
104103	1100413	level	146	user.gold:330000,user.hero_exp:460000,material.1:50
104104	1100414	level	146	user.gold:350000,user.hero_exp:480000,material.1:50
104105	1100415	level	146	user.gold:370000,user.hero_exp:510000,material.1:50
104200	1100420	level	146	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.30601.0:1
104201	1100421	level	146	user.gold:390000,user.hero_exp:530000,material.1:50
104202	1100422	level	146	user.gold:400000,user.hero_exp:550000,material.1:50
104203	1100423	level	146	user.gold:420000,user.hero_exp:580000,material.1:50
104204	1100424	level	146	user.gold:440000,user.hero_exp:600000,material.1:50
104205	1100425	level	146	user.gold:450000,user.hero_exp:630000,material.1:50
104300	1100430	level	146	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.50601.0:1
104301	1100431	level	146	user.gold:470000,user.hero_exp:650000,material.1:50
104302	1100432	level	146	user.gold:490000,user.hero_exp:670000,material.1:50
104303	1100433	level	146	user.gold:510000,user.hero_exp:700000,material.1:50
104304	1100434	level	146	user.gold:520000,user.hero_exp:720000,material.1:50
104305	1100435	level	146	user.gold:540000,user.hero_exp:750000,material.1:50
104400	1100440	level	146	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.20601.0:1
104401	1100441	level	146	user.gold:560000,user.hero_exp:770000,material.1:50
104402	1100442	level	146	user.gold:580000,user.hero_exp:790000,material.1:50
104403	1100443	level	146	user.gold:590000,user.hero_exp:820000,material.1:50
104404	1100444	level	146	user.gold:610000,user.hero_exp:840000,material.1:50
104405	1100445	level	146	user.gold:630000,user.hero_exp:870000,material.1:50
104500	1100450	level	147	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.40601.0:1
104501	1100451	level	147	user.gold:300000,user.hero_exp:410000,material.1:50
104502	1100452	level	147	user.gold:320000,user.hero_exp:430000,material.1:50
104503	1100453	level	147	user.gold:330000,user.hero_exp:460000,material.1:50
104504	1100454	level	147	user.gold:350000,user.hero_exp:480000,material.1:50
104505	1100455	level	147	user.gold:370000,user.hero_exp:510000,material.1:50
104600	1100460	level	147	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.60601.0:1
104601	1100461	level	147	user.gold:390000,user.hero_exp:530000,material.1:50
104602	1100462	level	147	user.gold:400000,user.hero_exp:550000,material.1:50
104603	1100463	level	147	user.gold:420000,user.hero_exp:580000,material.1:50
104604	1100464	level	147	user.gold:440000,user.hero_exp:600000,material.1:50
104605	1100465	level	147	user.gold:460000,user.hero_exp:630000,material.1:50
104700	1100470	level	147	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,group.20000005.0:1
104701	1100471	level	147	user.gold:470000,user.hero_exp:650000,material.1:50
104702	1100472	level	147	user.gold:490000,user.hero_exp:670000,material.1:50
104703	1100473	level	147	user.gold:510000,user.hero_exp:700000,material.1:50
104704	1100474	level	147	user.gold:520000,user.hero_exp:720000,material.1:50
104705	1100475	level	147	user.gold:540000,user.hero_exp:750000,material.1:50
104800	1100480	level	147	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,user.wand:10
104801	1100481	level	147	user.gold:560000,user.hero_exp:770000,material.1:50
104802	1100482	level	147	user.gold:580000,user.hero_exp:790000,material.1:50
104803	1100483	level	147	user.gold:590000,user.hero_exp:820000,material.1:50
104804	1100484	level	147	user.gold:610000,user.hero_exp:840000,material.1:50
104805	1100485	level	147	user.gold:630000,user.hero_exp:870000,material.1:50
104900	1100490	level	148	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.10601.0:1
104901	1100491	level	148	user.gold:300000,user.hero_exp:410000,material.1:50
104902	1100492	level	148	user.gold:320000,user.hero_exp:430000,material.1:50
104903	1100493	level	148	user.gold:330000,user.hero_exp:460000,material.1:50
104904	1100494	level	148	user.gold:350000,user.hero_exp:480000,material.1:50
104905	1100495	level	148	user.gold:370000,user.hero_exp:510000,material.1:50
105000	1100500	level	148	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.30601.0:1
105001	1100501	level	148	user.gold:390000,user.hero_exp:530000,material.1:50
105002	1100502	level	148	user.gold:400000,user.hero_exp:550000,material.1:50
105003	1100503	level	148	user.gold:420000,user.hero_exp:580000,material.1:50
105004	1100504	level	148	user.gold:440000,user.hero_exp:600000,material.1:50
105005	1100505	level	148	user.gold:460000,user.hero_exp:630000,material.1:50
105100	1100510	level	148	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.50601.0:1
105101	1100511	level	148	user.gold:470000,user.hero_exp:650000,material.1:50
105102	1100512	level	148	user.gold:490000,user.hero_exp:670000,material.1:50
105103	1100513	level	148	user.gold:510000,user.hero_exp:700000,material.1:50
105104	1100514	level	148	user.gold:520000,user.hero_exp:720000,material.1:50
105105	1100515	level	148	user.gold:540000,user.hero_exp:750000,material.1:50
105200	1100520	level	148	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.20601.0:1
105201	1100521	level	148	user.gold:560000,user.hero_exp:770000,material.1:50
105202	1100522	level	148	user.gold:580000,user.hero_exp:790000,material.1:50
105203	1100523	level	148	user.gold:590000,user.hero_exp:820000,material.1:50
105204	1100524	level	148	user.gold:610000,user.hero_exp:840000,material.1:50
105205	1100525	level	148	user.gold:630000,user.hero_exp:870000,material.1:50
105300	1100530	level	149	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.40601.0:1
105301	1100531	level	149	user.gold:300000,user.hero_exp:410000,material.1:50
105302	1100532	level	149	user.gold:320000,user.hero_exp:430000,material.1:50
105303	1100533	level	149	user.gold:330000,user.hero_exp:460000,material.1:50
105304	1100534	level	149	user.gold:350000,user.hero_exp:480000,material.1:50
105305	1100535	level	149	user.gold:370000,user.hero_exp:510000,material.1:50
105400	1100540	level	149	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.60601.0:1
105401	1100541	level	149	user.gold:390000,user.hero_exp:530000,material.1:50
105402	1100542	level	149	user.gold:400000,user.hero_exp:550000,material.1:50
105403	1100543	level	149	user.gold:420000,user.hero_exp:580000,material.1:50
105404	1100544	level	149	user.gold:440000,user.hero_exp:600000,material.1:50
105405	1100545	level	149	user.gold:460000,user.hero_exp:630000,material.1:50
105500	1100550	level	149	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,group.20000005.0:1
105501	1100551	level	149	user.gold:470000,user.hero_exp:650000,material.1:50
105502	1100552	level	149	user.gold:490000,user.hero_exp:670000,material.1:50
105503	1100553	level	149	user.gold:510000,user.hero_exp:700000,material.1:50
105504	1100554	level	149	user.gold:520000,user.hero_exp:720000,material.1:50
105505	1100555	level	149	user.gold:540000,user.hero_exp:750000,material.1:50
105600	1100560	level	149	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,user.wand:10
105601	1100561	level	149	user.gold:560000,user.hero_exp:770000,material.1:50
105602	1100562	level	149	user.gold:580000,user.hero_exp:790000,material.1:50
105603	1100563	level	149	user.gold:590000,user.hero_exp:820000,material.1:50
105604	1100564	level	149	user.gold:610000,user.hero_exp:840000,material.1:50
105605	1100565	level	149	user.gold:630000,user.hero_exp:870000,material.1:50
105700	1100570	level	150	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.10601.0:1
105701	1100571	level	150	user.gold:300000,user.hero_exp:410000,material.1:50
105702	1100572	level	150	user.gold:320000,user.hero_exp:430000,material.1:50
105703	1100573	level	150	user.gold:330000,user.hero_exp:460000,material.1:50
105704	1100574	level	150	user.gold:350000,user.hero_exp:480000,material.1:50
105705	1100575	level	150	user.gold:370000,user.hero_exp:510000,material.1:50
105800	1100580	level	150	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.30601.0:1
105801	1100581	level	150	user.gold:390000,user.hero_exp:530000,material.1:50
105802	1100582	level	150	user.gold:400000,user.hero_exp:550000,material.1:50
105803	1100583	level	150	user.gold:420000,user.hero_exp:580000,material.1:50
105804	1100584	level	150	user.gold:440000,user.hero_exp:600000,material.1:50
105805	1100585	level	150	user.gold:460000,user.hero_exp:630000,material.1:50
105900	1100590	level	150	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.50601.0:1
105901	1100591	level	150	user.gold:470000,user.hero_exp:650000,material.1:50
105902	1100592	level	150	user.gold:490000,user.hero_exp:670000,material.1:50
105903	1100593	level	150	user.gold:510000,user.hero_exp:700000,material.1:50
105904	1100594	level	150	user.gold:520000,user.hero_exp:720000,material.1:50
105905	1100595	level	150	user.gold:540000,user.hero_exp:750000,material.1:50
106000	1100600	level	150	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.20601.0:1
106001	1100601	level	150	user.gold:560000,user.hero_exp:770000,material.1:50
106002	1100602	level	150	user.gold:580000,user.hero_exp:790000,material.1:50
106003	1100603	level	150	user.gold:590000,user.hero_exp:820000,material.1:50
106004	1100604	level	150	user.gold:610000,user.hero_exp:840000,material.1:50
106005	1100605	level	150	user.gold:630000,user.hero_exp:870000,material.1:50
106100	1100610	level	151	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.40601.0:1
106101	1100611	level	151	user.gold:300000,user.hero_exp:410000,material.1:50
106102	1100612	level	151	user.gold:320000,user.hero_exp:430000,material.1:50
