任务id	任务类型	条件限制	显示vip等级	显示天数	数量	奖励1	花费钻石（1混钻2金钻）	抢购原价	抢购半价	任务描述
513	position	8	0	0	1	material.940:5	0	0	0	text_av_openseven_desc_position8
514	position	7	0	0	1	material.940:5	0	0	0	text_av_openseven_desc_position7
515	position	6	0	0	1	material.940:5	0	0	0	text_av_openseven_desc_position6
516	position	5	0	0	1	material.940:5	0	0	0	text_av_openseven_desc_position5
517	position	4	0	0	1	material.940:10	0	0	0	text_av_openseven_desc_position4
611	partAwake	0	0	0	2	material.41:500	0	0	0	text_av_openseven_desc_partAwake
612	partAwake	0	0	0	4	material.41:500	0	0	0	text_av_openseven_desc_partAwake
613	partAwake	0	0	0	6	material.41:500	0	0	0	text_av_openseven_desc_partAwake
614	partAwake	0	0	0	8	material.41:1000	0	0	0	text_av_openseven_desc_partAwake
615	partAwake	0	0	0	10	material.41:1500	0	0	0	text_av_openseven_desc_partAwake
616	partAwake	0	0	0	20	material.41:3000	0	0	0	text_av_openseven_desc_partAwake
617	partAwake	0	0	0	40	material.41:5000	0	0	0	text_av_openseven_desc_partAwake
621	gemLevel	0	0	0	12	material.100002:1	0	0	0	text_av_openseven_desc_gemLevel
622	gemLevel	0	0	0	24	material.100002:1	0	0	0	text_av_openseven_desc_gemLevel
623	gemLevel	0	0	0	36	material.100002:1	0	0	0	text_av_openseven_desc_gemLevel
624	gemLevel	0	0	0	48	material.100002:1	0	0	0	text_av_openseven_desc_gemLevel
625	gemLevel	0	0	0	60	material.100002:1	0	0	0	text_av_openseven_desc_gemLevel
626	gemLevel	0	0	0	72	material.100002:1	0	0	0	text_av_openseven_desc_gemLevel
627	gemLevel	0	0	0	84	material.100002:1	0	0	0	text_av_openseven_desc_gemLevel
711	fightForce	500000	0	0	1	user.bindcash:20	0	0	0	text_av_openseven_desc_fightForce
712	fightForce	750000	0	0	1	user.bindcash:30	0	0	0	text_av_openseven_desc_fightForce
713	fightForce	1000000	0	0	1	user.bindcash:50	0	0	0	text_av_openseven_desc_fightForce
714	fightForce	1500000	0	0	1	user.bindcash:100	0	0	0	text_av_openseven_desc_fightForce
715	fightForce	2000000	0	0	1	user.bindcash:200	0	0	0	text_av_openseven_desc_fightForce
716	fightForce	2500000	0	0	1	user.bindcash:300	0	0	0	text_av_openseven_desc_fightForce
717	fightForce	3000000	0	0	1	user.bindcash:500	0	0	0	text_av_openseven_desc_fightForce
721	weapon	0	0	0	1	user.sky_book:300	0	0	0	text_av_openseven_desc_weapon
722	weapon	0	0	0	2	user.sky_book:400	0	0	0	text_av_openseven_desc_weapon
723	weapon	0	0	0	3	user.sky_book:600	0	0	0	text_av_openseven_desc_weapon
724	weapon	0	0	0	4	user.sky_book:1000	0	0	0	text_av_openseven_desc_weapon
725	weapon	0	0	0	5	user.sky_book:1500	0	0	0	text_av_openseven_desc_weapon
726	weapon	0	0	0	6	user.sky_book:2000	0	0	0	text_av_openseven_desc_weapon
727	weapon	0	0	0	7	user.sky_book:3000	0	0	0	text_av_openseven_desc_weapon
