索引ID	英雄模板ID	升至10星模板切换	消耗的本体关联	武将名字	兵种ID(等同于leigionType)	图鉴展示所需开服天数	上阵互斥ID	合成消耗类型	基础攻击	基础血量	基础武防	基础魔防	基础命中	基础闪避	基础暴击	基础韧性	分解产物	获取途径	试玩怪物id	商店描述（考虑废弃）	武将简介
4007	4007	4007	0	text_heroNameId_5007	3	gameday.1	5007	5	0	0	0	0	0	0	0	0	user.soul:200	400|10201|603	0	购买后可获得武将	text_heroDesc_5007
4008	4008	4008	0	text_heroNameId_5008	2	gameday.1	5008	5	0	0	0	0	0	0	0	0	user.soul:200	400|10201|603	0	购买后可获得武将	text_heroDesc_5008
4011	4011	4011	0	text_heroNameId_5011	1	gameday.1	5011	5	0	0	0	0	0	0	0	0	user.soul:200	400|10201|603	0	购买后可获得武将	text_heroDesc_5011
4012	4012	4012	0	text_heroNameId_5012	3	gameday.1	5012	5	0	0	0	0	0	0	0	0	user.soul:200	400|10201|603	0	购买后可获得武将	text_heroDesc_5012
4013	4013	4013	0	text_heroNameId_5013	2	gameday.1	5013	5	0	0	0	0	0	0	0	0	user.soul:200	400|10201|603	0	购买后可获得武将	text_heroDesc_5013
4014	4014	4014	0	text_heroNameId_5014	2	gameday.1	5014	5	0	0	0	0	0	0	0	0	user.soul:200	400|10201|603	0	购买后可获得武将	text_heroDesc_5014
4017	4017	4017	0	text_heroNameId_5017	1	gameday.1	5017	5	0	0	0	0	0	0	0	0	user.soul:200	400|10201|603	0	购买后可获得武将	text_heroDesc_5017
4018	4018	4018	0	text_heroNameId_5018	2	gameday.1	5018	5	0	0	0	0	0	0	0	0	user.soul:200	400|10201|603	0	购买后可获得武将	text_heroDesc_5018
4019	4019	4019	0	text_heroNameId_5019	3	gameday.1	5019	5	0	0	0	0	0	0	0	0	user.soul:200	400|10201|603	0	购买后可获得武将	text_heroDesc_5019
4020	4020	4020	0	text_heroNameId_5020	2	gameday.1	5020	5	0	0	0	0	0	0	0	0	user.soul:200	400|10201|603	0	购买后可获得武将	text_heroDesc_5020
5001	5001	5001	0	text_heroNameId_5001	1	gameday.1	5001	5	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603	0	购买后可获得武将	text_heroDesc_5001
5002	5002	5002	0	text_heroNameId_5002	2	gameday.1	5002	5	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603	0	购买后可获得武将	text_heroDesc_5002
5003	5003	5003	0	text_heroNameId_5003	1	gameday.1	5003	5	0	0	0	0	0	0	0	0	user.soul:1800	2401	0	购买后可获得武将	text_heroDesc_5003
5004	5004	5004	0	text_heroNameId_5004	2	gameday.1	5004	5	0	0	0	0	0	0	0	0	user.soul:1800	2401	0	购买后可获得武将	text_heroDesc_5004
5005	5005	5005	0	text_heroNameId_5005	1	gameday.1	5005	5	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603	0	购买后可获得武将	text_heroDesc_5005
5006	5006	5006	0	text_heroNameId_5006	2	gameday.1	5006	5	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603	0	购买后可获得武将	text_heroDesc_5006
5007	5007	5007	0	text_heroNameId_5007	3	gameday.1	5007	5	0	0	0	0	0	0	0	0	user.soul:1800	2401	0	购买后可获得武将	text_heroDesc_5007
5008	5008	5008	0	text_heroNameId_5008	2	gameday.1	5008	5	0	0	0	0	0	0	0	0	user.soul:1800	2401	0	购买后可获得武将	text_heroDesc_5008
5009	5009	5009	0	text_heroNameId_5009	3	gameday.1	5009	5	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603	0	购买后可获得武将	text_heroDesc_5009
5010	5010	5010	0	text_heroNameId_5010	2	gameday.1	5010	5	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603	0	购买后可获得武将	text_heroDesc_5010
5011	5011	5011	0	text_heroNameId_5011	1	gameday.1	5011	5	0	0	0	0	0	0	0	0	user.soul:1800	2401	0	购买后可获得武将	text_heroDesc_5011
5012	5012	5012	0	text_heroNameId_5012	3	gameday.1	5012	5	0	0	0	0	0	0	0	0	user.soul:1800	2401	0	购买后可获得武将	text_heroDesc_5012
5013	5013	5013	0	text_heroNameId_5013	2	gameday.1	5013	5	0	0	0	0	0	0	0	0	user.soul:1800	2401	0	购买后可获得武将	text_heroDesc_5013
5014	5014	5014	0	text_heroNameId_5014	2	gameday.1	5014	5	0	0	0	0	0	0	0	0	user.soul:1800	2401	0	购买后可获得武将	text_heroDesc_5014
5015	5015	5015	0	text_heroNameId_5015	3	gameday.1	5015	5	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603	0	购买后可获得武将	text_heroDesc_5015
5016	5016	5016	0	text_heroNameId_5016	2	gameday.1	5016	5	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603	0	购买后可获得武将	text_heroDesc_5016
5017	5017	5017	0	text_heroNameId_5017	1	gameday.1	5017	5	0	0	0	0	0	0	0	0	user.soul:1800	2401	0	购买后可获得武将	text_heroDesc_5017
5018	5018	5018	0	text_heroNameId_5018	2	gameday.1	5018	5	0	0	0	0	0	0	0	0	user.soul:1800	2401	0	购买后可获得武将	text_heroDesc_5018
5019	5019	5019	0	text_heroNameId_5019	3	gameday.1	5019	5	0	0	0	0	0	0	0	0	user.soul:1800	2401	0	购买后可获得武将	text_heroDesc_5019
5020	5020	5020	0	text_heroNameId_5020	2	gameday.1	5020	5	0	0	0	0	0	0	0	0	user.soul:1800	2401	0	购买后可获得武将	text_heroDesc_5020
5021	5021	5021	0	text_heroNameId_5021	1	gameday.22	5021	6	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603	0	购买后可获得武将	text_heroDesc_5021
5022	5022	5022	0	text_heroNameId_5022	2	gameday.22	5022	6	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603	0	购买后可获得武将	text_heroDesc_5022
5023	5023	5023	0	text_heroNameId_5023	3	gameday.15	5023	6	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603	0	购买后可获得武将	text_heroDesc_5023
5024	5024	5024	0	text_heroNameId_5024	2	gameday.15	5024	6	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603	0	购买后可获得武将	text_heroDesc_5024
5025	5025	5025	0	text_heroNameId_5025	3	gameday.8	5025	6	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603	0	购买后可获得武将	text_heroDesc_5025
5026	5026	5026	0	text_heroNameId_5026	2	gameday.8	5026	6	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603	0	购买后可获得武将	text_heroDesc_5026
5027	5027	5027	0	text_heroNameId_5027	1	gameday.1	5027	6	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603|10401	0	购买后可获得武将	text_heroDesc_5027
5028	5028	5028	0	text_heroNameId_5028	2	gameday.1	5028	6	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603|10701	0	购买后可获得武将	text_heroDesc_5028
5029	5029	5029	0	text_heroNameId_5029	1	gameday.29	5029	6	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603	0	购买后可获得武将	text_heroDesc_5029
5030	5030	5030	0	text_heroNameId_5030	2	gameday.29	5030	6	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603	0	购买后可获得武将	text_heroDesc_5030
5031	5031	5031	0	text_heroNameId_5031	3	gameday.1	5031	6	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603	0	购买后可获得武将	text_heroDesc_5031
5032	5032	5032	0	text_heroNameId_5032	2	gameday.1	5032	6	0	0	0	0	0	0	0	0	user.soul:1800	400|10201|603	0	购买后可获得武将	text_heroDesc_5032
6001	6001	10001	5001	text_heroNameId_5001	1	gameday.1	5001	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5001
6002	6002	10002	5002	text_heroNameId_5002	2	gameday.1	5002	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5002
6003	6003	10003	5003	text_heroNameId_5003	1	gameday.1	5003	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5003
6004	6004	10004	5004	text_heroNameId_5004	2	gameday.1	5004	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5004
6005	6005	10005	5005	text_heroNameId_5005	1	gameday.1	5005	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5005
6006	6006	10006	5006	text_heroNameId_5006	2	gameday.1	5006	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5006
6007	6007	10007	5007	text_heroNameId_5007	3	gameday.1	5007	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5007
6008	6008	10008	5008	text_heroNameId_5008	2	gameday.1	5008	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5008
6009	6009	10009	5009	text_heroNameId_5009	3	gameday.1	5009	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5009
6010	6010	10010	5010	text_heroNameId_5010	2	gameday.1	5010	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5010
6011	6011	10011	5011	text_heroNameId_5011	1	gameday.1	5011	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5011
6012	6012	10012	5012	text_heroNameId_5012	3	gameday.1	5012	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5012
6013	6013	10013	5013	text_heroNameId_5013	2	gameday.1	5013	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5013
6014	6014	10014	5014	text_heroNameId_5014	2	gameday.1	5014	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5014
6015	6015	10015	5015	text_heroNameId_5015	3	gameday.1	5015	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5015
6016	6016	10016	5016	text_heroNameId_5016	2	gameday.1	5016	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5016
6017	6017	10017	5017	text_heroNameId_5017	1	gameday.1	5017	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5017
6018	6018	10018	5018	text_heroNameId_5018	2	gameday.1	5018	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5018
6019	6019	10019	5019	text_heroNameId_5019	3	gameday.1	5019	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5019
6020	6020	10020	5020	text_heroNameId_5020	2	gameday.1	5020	5	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5020
6021	6021	10021	5021	text_heroNameId_5021	1	gameday.22	5021	6	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5021
6022	6022	10022	5022	text_heroNameId_5022	2	gameday.22	5022	6	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5022
6023	6023	10023	5023	text_heroNameId_5023	3	gameday.15	5023	6	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5023
6024	6024	10024	5024	text_heroNameId_5024	2	gameday.15	5024	6	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5024
6025	6025	10025	5025	text_heroNameId_5025	3	gameday.8	5025	6	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5025
6026	6026	10026	5026	text_heroNameId_5026	2	gameday.8	5026	6	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5026
6027	6027	10027	5027	text_heroNameId_5027	1	gameday.1	5027	6	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5027
6028	6028	10028	5028	text_heroNameId_5028	2	gameday.1	5028	6	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5028
6029	6029	10029	5029	text_heroNameId_5029	1	gameday.29	5029	6	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5029
6030	6030	10030	5030	text_heroNameId_5030	2	gameday.29	5030	6	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5030
6031	6031	10031	5031	text_heroNameId_5031	3	gameday.1	5031	6	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5031
6032	6032	10032	5032	text_heroNameId_5032	2	gameday.1	5032	6	0	0	0	0	0	0	0	0	user.soul:10800	2401	0	购买后可获得武将	text_heroDesc_5032
10000	1000020	1000020	0	text_heroNameId_10000	3	gameday.9999	10000	0	0	0	0	0	0	0	0	0	user.soul:0	0	0	无法获得	text_heroDesc_1000
10003	1000030	1000030	0	text_heroNameId_10000	3	gameday.9999	10000	0	0	0	0	0	0	0	0	0	user.soul:0	0	0	无法获得	text_heroDesc_1000
10004	1000040	1000040	0	text_heroNameId_10000	3	gameday.9999	10000	0	0	0	0	0	0	0	0	0	user.soul:0	0	0	无法获得	text_heroDesc_1000
10005	1000050	1000050	0	text_heroNameId_10000	3	gameday.9999	10000	0	0	0	0	0	0	0	0	0	user.soul:0	0	0	无法获得	text_heroDesc_1000
10006	1000060	1000100	0	text_heroNameId_10000	3	gameday.9999	10000	0	0	0	0	0	0	0	0	0	user.soul:0	0	0	无法获得	text_heroDesc_1000
20000	2000020	2000020	0	text_heroNameId_10000	3	gameday.9999	10000	0	0	0	0	0	0	0	0	0	user.soul:0	0	0	无法获得	text_heroDesc_1000
20003	2000030	2000030	0	text_heroNameId_10000	3	gameday.9999	10000	0	0	0	0	0	0	0	0	0	user.soul:0	0	0	无法获得	text_heroDesc_1000
20004	2000040	2000040	0	text_heroNameId_10000	3	gameday.9999	10000	0	0	0	0	0	0	0	0	0	user.soul:0	0	0	无法获得	text_heroDesc_1000
20005	2000050	2000050	0	text_heroNameId_10000	3	gameday.9999	10000	0	0	0	0	0	0	0	0	0	user.soul:0	0	0	无法获得	text_heroDesc_1000
20006	2000060	2000100	0	text_heroNameId_10000	3	gameday.9999	10000	0	0	0	0	0	0	0	0	0	user.soul:0	0	0	无法获得	text_heroDesc_1000
