强度等级	战斗阵型ID	掉落ID	积分系数
21	3001021|3002021|3003021|3004021|3005021|3006021|3007021|3008021	1201|1202|1203|1204|1205|1206|1207|1208	125
22	3001022|3002022|3003022|3004022|3005022|3006022|3007022|3008022	1201|1202|1203|1204|1205|1206|1207|1208	127
23	3001023|3002023|3003023|3004023|3005023|3006023|3007023|3008023	1201|1202|1203|1204|1205|1206|1207|1208	129
24	3001024|3002024|3003024|3004024|3005024|3006024|3007024|3008024	1201|1202|1203|1204|1205|1206|1207|1208	132
25	3001025|3002025|3003025|3004025|3005025|3006025|3007025|3008025	1201|1202|1203|1204|1205|1206|1207|1208	134
26	3001026|3002026|3003026|3004026|3005026|3006026|3007026|3008026	1201|1202|1203|1204|1205|1206|1207|1208	136
27	3001027|3002027|3003027|3004027|3005027|3006027|3007027|3008027	1201|1202|1203|1204|1205|1206|1207|1208	138
28	3001028|3002028|3003028|3004028|3005028|3006028|3007028|3008028	1201|1202|1203|1204|1205|1206|1207|1208	141
29	3001029|3002029|3003029|3004029|3005029|3006029|3007029|3008029	1201|1202|1203|1204|1205|1206|1207|1208	143
30	3001030|3002030|3003030|3004030|3005030|3006030|3007030|3008030	1201|1202|1203|1204|1205|1206|1207|1208	150
31	3001031|3002031|3003031|3004031|3005031|3006031|3007031|3008031	1201|1202|1203|1204|1205|1206|1207|1208	157
32	3001032|3002032|3003032|3004032|3005032|3006032|3007032|3008032	1201|1202|1203|1204|1205|1206|1207|1208	164
33	3001033|3002033|3003033|3004033|3005033|3006033|3007033|3008033	1201|1202|1203|1204|1205|1206|1207|1208	171
34	3001034|3002034|3003034|3004034|3005034|3006034|3007034|3008034	1201|1202|1203|1204|1205|1206|1207|1208	179
35	3001035|3002035|3003035|3004035|3005035|3006035|3007035|3008035	1201|1202|1203|1204|1205|1206|1207|1208	203
36	3001036|3002036|3003036|3004036|3005036|3006036|3007036|3008036	1201|1202|1203|1204|1205|1206|1207|1208	210
37	3001037|3002037|3003037|3004037|3005037|3006037|3007037|3008037	1201|1202|1203|1204|1205|1206|1207|1208	218
38	3001038|3002038|3003038|3004038|3005038|3006038|3007038|3008038	1201|1202|1203|1204|1205|1206|1207|1208	225
39	3001039|3002039|3003039|3004039|3005039|3006039|3007039|3008039	1201|1202|1203|1204|1205|1206|1207|1208	233
40	3001040|3002040|3003040|3004040|3005040|3006040|3007040|3008040	1201|1202|1203|1204|1205|1206|1207|1208	243
41	3001041|3002041|3003041|3004041|3005041|3006041|3007041|3008041	1201|1202|1203|1204|1205|1206|1207|1208	253
42	3001042|3002042|3003042|3004042|3005042|3006042|3007042|3008042	1201|1202|1203|1204|1205|1206|1207|1208	262
43	3001043|3002043|3003043|3004043|3005043|3006043|3007043|3008043	1201|1202|1203|1204|1205|1206|1207|1208	291
44	3001044|3002044|3003044|3004044|3005044|3006044|3007044|3008044	1201|1202|1203|1204|1205|1206|1207|1208	300
45	3001045|3002045|3003045|3004045|3005045|3006045|3007045|3008045	1201|1202|1203|1204|1205|1206|1207|1208	310
46	3001046|3002046|3003046|3004046|3005046|3006046|3007046|3008046	1201|1202|1203|1204|1205|1206|1207|1208	320
47	3001047|3002047|3003047|3004047|3005047|3006047|3007047|3008047	1201|1202|1203|1204|1205|1206|1207|1208	329
48	3001048|3002048|3003048|3004048|3005048|3006048|3007048|3008048	1201|1202|1203|1204|1205|1206|1207|1208	339
49	3001049|3002049|3003049|3004049|3005049|3006049|3007049|3008049	1201|1202|1203|1204|1205|1206|1207|1208	349
50	3001050|3002050|3003050|3004050|3005050|3006050|3007050|3008050	1201|1202|1203|1204|1205|1206|1207|1208	360
51	3001051|3002051|3003051|3004051|3005051|3006051|3007051|3008051	1201|1202|1203|1204|1205|1206|1207|1208	506
52	3001052|3002052|3003052|3004052|3005052|3006052|3007052|3008052	1201|1202|1203|1204|1205|1206|1207|1208	522
53	3001053|3002053|3003053|3004053|3005053|3006053|3007053|3008053	1201|1202|1203|1204|1205|1206|1207|1208	539
54	3001054|3002054|3003054|3004054|3005054|3006054|3007054|3008054	1201|1202|1203|1204|1205|1206|1207|1208	555
55	3001055|3002055|3003055|3004055|3005055|3006055|3007055|3008055	1201|1202|1203|1204|1205|1206|1207|1208	573
56	3001056|3002056|3003056|3004056|3005056|3006056|3007056|3008056	1201|1202|1203|1204|1205|1206|1207|1208	590
57	3001057|3002057|3003057|3004057|3005057|3006057|3007057|3008057	1201|1202|1203|1204|1205|1206|1207|1208	607
58	3001058|3002058|3003058|3004058|3005058|3006058|3007058|3008058	1201|1202|1203|1204|1205|1206|1207|1208	625
59	3001059|3002059|3003059|3004059|3005059|3006059|3007059|3008059	1201|1202|1203|1204|1205|1206|1207|1208	644
60	3001060|3002060|3003060|3004060|3005060|3006060|3007060|3008060	1201|1202|1203|1204|1205|1206|1207|1208	681
61	3001061|3002061|3003061|3004061|3005061|3006061|3007061|3008061	1201|1202|1203|1204|1205|1206|1207|1208	735
62	3001062|3002062|3003062|3004062|3005062|3006062|3007062|3008062	1201|1202|1203|1204|1205|1206|1207|1208	790
63	3001063|3002063|3003063|3004063|3005063|3006063|3007063|3008063	1201|1202|1203|1204|1205|1206|1207|1208	831
64	3001064|3002064|3003064|3004064|3005064|3006064|3007064|3008064	1201|1202|1203|1204|1205|1206|1207|1208	872
65	3001065|3002065|3003065|3004065|3005065|3006065|3007065|3008065	1201|1202|1203|1204|1205|1206|1207|1208	914
66	3001066|3002066|3003066|3004066|3005066|3006066|3007066|3008066	1201|1202|1203|1204|1205|1206|1207|1208	955
67	3001067|3002067|3003067|3004067|3005067|3006067|3007067|3008067	1201|1202|1203|1204|1205|1206|1207|1208	998
68	3001068|3002068|3003068|3004068|3005068|3006068|3007068|3008068	1201|1202|1203|1204|1205|1206|1207|1208	1041
69	3001069|3002069|3003069|3004069|3005069|3006069|3007069|3008069	1201|1202|1203|1204|1205|1206|1207|1208	1085
70	3001070|3002070|3003070|3004070|3005070|3006070|3007070|3008070	1201|1202|1203|1204|1205|1206|1207|1208	1126
71	3001071|3002071|3003071|3004071|3005071|3006071|3007071|3008071	1201|1202|1203|1204|1205|1206|1207|1208	1640
72	3001072|3002072|3003072|3004072|3005072|3006072|3007072|3008072	1201|1202|1203|1204|1205|1206|1207|1208	1711
73	3001073|3002073|3003073|3004073|3005073|3006073|3007073|3008073	1201|1202|1203|1204|1205|1206|1207|1208	1763
74	3001074|3002074|3003074|3004074|3005074|3006074|3007074|3008074	1201|1202|1203|1204|1205|1206|1207|1208	1815
75	3001075|3002075|3003075|3004075|3005075|3006075|3007075|3008075	1201|1202|1203|1204|1205|1206|1207|1208	1868
76	3001076|3002076|3003076|3004076|3005076|3006076|3007076|3008076	1201|1202|1203|1204|1205|1206|1207|1208	1921
77	3001077|3002077|3003077|3004077|3005077|3006077|3007077|3008077	1201|1202|1203|1204|1205|1206|1207|1208	1974
78	3001078|3002078|3003078|3004078|3005078|3006078|3007078|3008078	1201|1202|1203|1204|1205|1206|1207|1208	2027
79	3001079|3002079|3003079|3004079|3005079|3006079|3007079|3008079	1201|1202|1203|1204|1205|1206|1207|1208	2632
80	3001080|3002080|3003080|3004080|3005080|3006080|3007080|3008080	1201|1202|1203|1204|1205|1206|1207|1208	2764
81	3001081|3002081|3003081|3004081|3005081|3006081|3007081|3008081	1201|1202|1203|1204|1205|1206|1207|1208	2831
82	3001082|3002082|3003082|3004082|3005082|3006082|3007082|3008082	1201|1202|1203|1204|1205|1206|1207|1208	2923
83	3001083|3002083|3003083|3004083|3005083|3006083|3007083|3008083	1201|1202|1203|1204|1205|1206|1207|1208	2979
84	3001084|3002084|3003084|3004084|3005084|3006084|3007084|3008084	1201|1202|1203|1204|1205|1206|1207|1208	3037
85	3001085|3002085|3003085|3004085|3005085|3006085|3007085|3008085	1201|1202|1203|1204|1205|1206|1207|1208	3094
86	3001086|3002086|3003086|3004086|3005086|3006086|3007086|3008086	1201|1202|1203|1204|1205|1206|1207|1208	3153
87	3001087|3002087|3003087|3004087|3005087|3006087|3007087|3008087	1201|1202|1203|1204|1205|1206|1207|1208	3211
88	3001088|3002088|3003088|3004088|3005088|3006088|3007088|3008088	1201|1202|1203|1204|1205|1206|1207|1208	3558
89	3001089|3002089|3003089|3004089|3005089|3006089|3007089|3008089	1201|1202|1203|1204|1205|1206|1207|1208	3618
90	3001090|3002090|3003090|3004090|3005090|3006090|3007090|3008090	1201|1202|1203|1204|1205|1206|1207|1208	3679
91	3001091|3002091|3003091|3004091|3005091|3006091|3007091|3008091	1201|1202|1203|1204|1205|1206|1207|1208	3859
92	3001092|3002092|3003092|3004092|3005092|3006092|3007092|3008092	1201|1202|1203|1204|1205|1206|1207|1208	3923
93	3001093|3002093|3003093|3004093|3005093|3006093|3007093|3008093	1201|1202|1203|1204|1205|1206|1207|1208	3983
94	3001094|3002094|3003094|3004094|3005094|3006094|3007094|3008094	1201|1202|1203|1204|1205|1206|1207|1208	4043
95	3001095|3002095|3003095|3004095|3005095|3006095|3007095|3008095	1201|1202|1203|1204|1205|1206|1207|1208	4152
96	3001096|3002096|3003096|3004096|3005096|3006096|3007096|3008096	1201|1202|1203|1204|1205|1206|1207|1208	4209
97	3001097|3002097|3003097|3004097|3005097|3006097|3007097|3008097	1201|1202|1203|1204|1205|1206|1207|1208	4266
98	3001098|3002098|3003098|3004098|3005098|3006098|3007098|3008098	1201|1202|1203|1204|1205|1206|1207|1208	4324
99	3001099|3002099|3003099|3004099|3005099|3006099|3007099|3008099	1201|1202|1203|1204|1205|1206|1207|1208	4383
100	3001100|3002100|3003100|3004100|3005100|3006100|3007100|3008100	1201|1202|1203|1204|1205|1206|1207|1208	4581
101	3001101|3002101|3003101|3004101|3005101|3006101|3007101|3008101	1201|1202|1203|1204|1205|1206|1207|1208	6142
102	3001102|3002102|3003102|3004102|3005102|3006102|3007102|3008102	1201|1202|1203|1204|1205|1206|1207|1208	6258
103	3001103|3002103|3003103|3004103|3005103|3006103|3007103|3008103	1201|1202|1203|1204|1205|1206|1207|1208	6375
104	3001104|3002104|3003104|3004104|3005104|3006104|3007104|3008104	1201|1202|1203|1204|1205|1206|1207|1208	6493
105	3001105|3002105|3003105|3004105|3005105|3006105|3007105|3008105	1201|1202|1203|1204|1205|1206|1207|1208	6673
106	3001106|3002106|3003106|3004106|3005106|3006106|3007106|3008106	1201|1202|1203|1204|1205|1206|1207|1208	6788
107	3001107|3002107|3003107|3004107|3005107|3006107|3007107|3008107	1201|1202|1203|1204|1205|1206|1207|1208	7021
108	3001108|3002108|3003108|3004108|3005108|3006108|3007108|3008108	1201|1202|1203|1204|1205|1206|1207|1208	7139
109	3001109|3002109|3003109|3004109|3005109|3006109|3007109|3008109	1201|1202|1203|1204|1205|1206|1207|1208	7258
110	3001110|3002110|3003110|3004110|3005110|3006110|3007110|3008110	1201|1202|1203|1204|1205|1206|1207|1208	7378
111	3001111|3002111|3003111|3004111|3005111|3006111|3007111|3008111	1201|1202|1203|1204|1205|1206|1207|1208	7495
112	3001112|3002112|3003112|3004112|3005112|3006112|3007112|3008112	1201|1202|1203|1204|1205|1206|1207|1208	7615
113	3001113|3002113|3003113|3004113|3005113|3006113|3007113|3008113	1201|1202|1203|1204|1205|1206|1207|1208	7736
114	3001114|3002114|3003114|3004114|3005114|3006114|3007114|3008114	1201|1202|1203|1204|1205|1206|1207|1208	8047
115	3001115|3002115|3003115|3004115|3005115|3006115|3007115|3008115	1201|1202|1203|1204|1205|1206|1207|1208	8170
116	3001116|3002116|3003116|3004116|3005116|3006116|3007116|3008116	1201|1202|1203|1204|1205|1206|1207|1208	8293
117	3001117|3002117|3003117|3004117|3005117|3006117|3007117|3008117	1201|1202|1203|1204|1205|1206|1207|1208	8416
118	3001118|3002118|3003118|3004118|3005118|3006118|3007118|3008118	1201|1202|1203|1204|1205|1206|1207|1208	8539
119	3001119|3002119|3003119|3004119|3005119|3006119|3007119|3008119	1201|1202|1203|1204|1205|1206|1207|1208	8664
120	3001120|3002120|3003120|3004120|3005120|3006120|3007120|3008120	1201|1202|1203|1204|1205|1206|1207|1208	8802
121	3001121|3002121|3003121|3004121|3005121|3006121|3007121|3008121	1201|1202|1203|1204|1205|1206|1207|1208	9120
122	3001122|3002122|3003122|3004122|3005122|3006122|3007122|3008122	1201|1202|1203|1204|1205|1206|1207|1208	9366
123	3001123|3002123|3003123|3004123|3005123|3006123|3007123|3008123	1201|1202|1203|1204|1205|1206|1207|1208	9527
124	3001124|3002124|3003124|3004124|3005124|3006124|3007124|3008124	1201|1202|1203|1204|1205|1206|1207|1208	9690
125	3001125|3002125|3003125|3004125|3005125|3006125|3007125|3008125	1201|1202|1203|1204|1205|1206|1207|1208	9854
126	3001126|3002126|3003126|3004126|3005126|3006126|3007126|3008126	1201|1202|1203|1204|1205|1206|1207|1208	10135
127	3001127|3002127|3003127|3004127|3005127|3006127|3007127|3008127	1201|1202|1203|1204|1205|1206|1207|1208	10302
128	3001128|3002128|3003128|3004128|3005128|3006128|3007128|3008128	1201|1202|1203|1204|1205|1206|1207|1208	10470
129	3001129|3002129|3003129|3004129|3005129|3006129|3007129|3008129	1201|1202|1203|1204|1205|1206|1207|1208	10733
130	3001130|3002130|3003130|3004130|3005130|3006130|3007130|3008130	1201|1202|1203|1204|1205|1206|1207|1208	10904
131	3001131|3002131|3003131|3004131|3005131|3006131|3007131|3008131	1201|1202|1203|1204|1205|1206|1207|1208	11076
132	3001132|3002132|3003132|3004132|3005132|3006132|3007132|3008132	1201|1202|1203|1204|1205|1206|1207|1208	11365
133	3001133|3002133|3003133|3004133|3005133|3006133|3007133|3008133	1201|1202|1203|1204|1205|1206|1207|1208	11540
134	3001134|3002134|3003134|3004134|3005134|3006134|3007134|3008134	1201|1202|1203|1204|1205|1206|1207|1208	11715
135	3001135|3002135|3003135|3004135|3005135|3006135|3007135|3008135	1201|1202|1203|1204|1205|1206|1207|1208	11994
136	3001136|3002136|3003136|3004136|3005136|3006136|3007136|3008136	1201|1202|1203|1204|1205|1206|1207|1208	12171
137	3001137|3002137|3003137|3004137|3005137|3006137|3007137|3008137	1201|1202|1203|1204|1205|1206|1207|1208	12465
138	3001138|3002138|3003138|3004138|3005138|3006138|3007138|3008138	1201|1202|1203|1204|1205|1206|1207|1208	12645
139	3001139|3002139|3003139|3004139|3005139|3006139|3007139|3008139	1201|1202|1203|1204|1205|1206|1207|1208	12827
140	3001140|3002140|3003140|3004140|3005140|3006140|3007140|3008140	1201|1202|1203|1204|1205|1206|1207|1208	13026
141	3001141|3002141|3003141|3004141|3005141|3006141|3007141|3008141	1201|1202|1203|1204|1205|1206|1207|1208	13317
142	3001142|3002142|3003142|3004142|3005142|3006142|3007142|3008142	1201|1202|1203|1204|1205|1206|1207|1208	13606
143	3001143|3002143|3003143|3004143|3005143|3006143|3007143|3008143	1201|1202|1203|1204|1205|1206|1207|1208	13781
144	3001144|3002144|3003144|3004144|3005144|3006144|3007144|3008144	1201|1202|1203|1204|1205|1206|1207|1208	14066
145	3001145|3002145|3003145|3004145|3005145|3006145|3007145|3008145	1201|1202|1203|1204|1205|1206|1207|1208	14242
146	3001146|3002146|3003146|3004146|3005146|3006146|3007146|3008146	1201|1202|1203|1204|1205|1206|1207|1208	14419
147	3001147|3002147|3003147|3004147|3005147|3006147|3007147|3008147	1201|1202|1203|1204|1205|1206|1207|1208	14725
148	3001148|3002148|3003148|3004148|3005148|3006148|3007148|3008148	1201|1202|1203|1204|1205|1206|1207|1208	14903
149	3001149|3002149|3003149|3004149|3005149|3006149|3007149|3008149	1201|1202|1203|1204|1205|1206|1207|1208	15082
150	3001150|3002150|3003150|3004150|3005150|3006150|3007150|3008150	1201|1202|1203|1204|1205|1206|1207|1208	15261
151	3001151|3002151|3003151|3004151|3005151|3006151|3007151|3008151	1201|1202|1203|1204|1205|1206|1207|1208	15432
152	3001152|3002152|3003152|3004152|3005152|3006152|3007152|3008152	1201|1202|1203|1204|1205|1206|1207|1208	15612
153	3001153|3002153|3003153|3004153|3005153|3006153|3007153|3008153	1201|1202|1203|1204|1205|1206|1207|1208	16942
154	3001154|3002154|3003154|3004154|3005154|3006154|3007154|3008154	1201|1202|1203|1204|1205|1206|1207|1208	17124
155	3001155|3002155|3003155|3004155|3005155|3006155|3007155|3008155	1201|1202|1203|1204|1205|1206|1207|1208	17306
156	3001156|3002156|3003156|3004156|3005156|3006156|3007156|3008156	1201|1202|1203|1204|1205|1206|1207|1208	17488
157	3001157|3002157|3003157|3004157|3005157|3006157|3007157|3008157	1201|1202|1203|1204|1205|1206|1207|1208	17670
158	3001158|3002158|3003158|3004158|3005158|3006158|3007158|3008158	1201|1202|1203|1204|1205|1206|1207|1208	17853
159	3001159|3002159|3003159|3004159|3005159|3006159|3007159|3008159	1201|1202|1203|1204|1205|1206|1207|1208	18037
160	3001160|3002160|3003160|3004160|3005160|3006160|3007160|3008160	1201|1202|1203|1204|1205|1206|1207|1208	18242
161	3001161|3002161|3003161|3004161|3005161|3006161|3007161|3008161	1201|1202|1203|1204|1205|1206|1207|1208	18533
162	3001162|3002162|3003162|3004162|3005162|3006162|3007162|3008162	1201|1202|1203|1204|1205|1206|1207|1208	18827
163	3001163|3002163|3003163|3004163|3005163|3006163|3007163|3008163	1201|1202|1203|1204|1205|1206|1207|1208	19135
164	3001164|3002164|3003164|3004164|3005164|3006164|3007164|3008164	1201|1202|1203|1204|1205|1206|1207|1208	19433
165	3001165|3002165|3003165|3004165|3005165|3006165|3007165|3008165	1201|1202|1203|1204|1205|1206|1207|1208	19734
166	3001166|3002166|3003166|3004166|3005166|3006166|3007166|3008166	1201|1202|1203|1204|1205|1206|1207|1208	20038
167	3001167|3002167|3003167|3004167|3005167|3006167|3007167|3008167	1201|1202|1203|1204|1205|1206|1207|1208	20345
168	3001168|3002168|3003168|3004168|3005168|3006168|3007168|3008168	1201|1202|1203|1204|1205|1206|1207|1208	20654
169	3001169|3002169|3003169|3004169|3005169|3006169|3007169|3008169	1201|1202|1203|1204|1205|1206|1207|1208	20967
170	3001170|3002170|3003170|3004170|3005170|3006170|3007170|3008170	1201|1202|1203|1204|1205|1206|1207|1208	21281
171	3001171|3002171|3003171|3004171|3005171|3006171|3007171|3008171	1201|1202|1203|1204|1205|1206|1207|1208	21599
172	3001172|3002172|3003172|3004172|3005172|3006172|3007172|3008172	1201|1202|1203|1204|1205|1206|1207|1208	21920
173	3001173|3002173|3003173|3004173|3005173|3006173|3007173|3008173	1201|1202|1203|1204|1205|1206|1207|1208	22243
174	3001174|3002174|3003174|3004174|3005174|3006174|3007174|3008174	1201|1202|1203|1204|1205|1206|1207|1208	22570
175	3001175|3002175|3003175|3004175|3005175|3006175|3007175|3008175	1201|1202|1203|1204|1205|1206|1207|1208	22899
176	3001176|3002176|3003176|3004176|3005176|3006176|3007176|3008176	1201|1202|1203|1204|1205|1206|1207|1208	23231
177	3001177|3002177|3003177|3004177|3005177|3006177|3007177|3008177	1201|1202|1203|1204|1205|1206|1207|1208	23566
178	3001178|3002178|3003178|3004178|3005178|3006178|3007178|3008178	1201|1202|1203|1204|1205|1206|1207|1208	23904
179	3001179|3002179|3003179|3004179|3005179|3006179|3007179|3008179	1201|1202|1203|1204|1205|1206|1207|1208	24245
180	3001180|3002180|3003180|3004180|3005180|3006180|3007180|3008180	1201|1202|1203|1204|1205|1206|1207|1208	24704
181	3001181|3002181|3003181|3004181|3005181|3006181|3007181|3008181	1201|1202|1203|1204|1205|1206|1207|1208	25271
182	3001182|3002182|3003182|3004182|3005182|3006182|3007182|3008182	1201|1202|1203|1204|1205|1206|1207|1208	25693
183	3001183|3002183|3003183|3004183|3005183|3006183|3007183|3008183	1201|1202|1203|1204|1205|1206|1207|1208	26117
184	3001184|3002184|3003184|3004184|3005184|3006184|3007184|3008184	1201|1202|1203|1204|1205|1206|1207|1208	26542
185	3001185|3002185|3003185|3004185|3005185|3006185|3007185|3008185	1201|1202|1203|1204|1205|1206|1207|1208	26969
186	3001186|3002186|3003186|3004186|3005186|3006186|3007186|3008186	1201|1202|1203|1204|1205|1206|1207|1208	27415
187	3001187|3002187|3003187|3004187|3005187|3006187|3007187|3008187	1201|1202|1203|1204|1205|1206|1207|1208	27846
188	3001188|3002188|3003188|3004188|3005188|3006188|3007188|3008188	1201|1202|1203|1204|1205|1206|1207|1208	28279
189	3001189|3002189|3003189|3004189|3005189|3006189|3007189|3008189	1201|1202|1203|1204|1205|1206|1207|1208	28860
190	3001190|3002190|3003190|3004190|3005190|3006190|3007190|3008190	1201|1202|1203|1204|1205|1206|1207|1208	29296
191	3001191|3002191|3003191|3004191|3005191|3006191|3007191|3008191	1201|1202|1203|1204|1205|1206|1207|1208	29735
192	3001192|3002192|3003192|3004192|3005192|3006192|3007192|3008192	1201|1202|1203|1204|1205|1206|1207|1208	30176
193	3001193|3002193|3003193|3004193|3005193|3006193|3007193|3008193	1201|1202|1203|1204|1205|1206|1207|1208	30618
194	3001194|3002194|3003194|3004194|3005194|3006194|3007194|3008194	1201|1202|1203|1204|1205|1206|1207|1208	31062
195	3001195|3002195|3003195|3004195|3005195|3006195|3007195|3008195	1201|1202|1203|1204|1205|1206|1207|1208	31463
196	3001196|3002196|3003196|3004196|3005196|3006196|3007196|3008196	1201|1202|1203|1204|1205|1206|1207|1208	31866
197	3001197|3002197|3003197|3004197|3005197|3006197|3007197|3008197	1201|1202|1203|1204|1205|1206|1207|1208	32267
198	3001198|3002198|3003198|3004198|3005198|3006198|3007198|3008198	1201|1202|1203|1204|1205|1206|1207|1208	32659
199	3001199|3002199|3003199|3004199|3005199|3006199|3007199|3008199	1201|1202|1203|1204|1205|1206|1207|1208	33053
200	3001200|3002200|3003200|3004200|3005200|3006200|3007200|3008200	1201|1202|1203|1204|1205|1206|1207|1208	33447
201	3001201|3002201|3003201|3004201|3005201|3006201|3007201|3008201	1201|1202|1203|1204|1205|1206|1207|1208	33844
202	3001202|3002202|3003202|3004202|3005202|3006202|3007202|3008202	1201|1202|1203|1204|1205|1206|1207|1208	34241
203	3001203|3002203|3003203|3004203|3005203|3006203|3007203|3008203	1201|1202|1203|1204|1205|1206|1207|1208	34640
204	3001204|3002204|3003204|3004204|3005204|3006204|3007204|3008204	1201|1202|1203|1204|1205|1206|1207|1208	35040
205	3001205|3002205|3003205|3004205|3005205|3006205|3007205|3008205	1201|1202|1203|1204|1205|1206|1207|1208	35441
206	3001206|3002206|3003206|3004206|3005206|3006206|3007206|3008206	1201|1202|1203|1204|1205|1206|1207|1208	35844
207	3001207|3002207|3003207|3004207|3005207|3006207|3007207|3008207	1201|1202|1203|1204|1205|1206|1207|1208	36248
208	3001208|3002208|3003208|3004208|3005208|3006208|3007208|3008208	1201|1202|1203|1204|1205|1206|1207|1208	36653
209	3001209|3002209|3003209|3004209|3005209|3006209|3007209|3008209	1201|1202|1203|1204|1205|1206|1207|1208	37060
210	3001210|3002210|3003210|3004210|3005210|3006210|3007210|3008210	1201|1202|1203|1204|1205|1206|1207|1208	37498
211	3001211|3002211|3003211|3004211|3005211|3006211|3007211|3008211	1201|1202|1203|1204|1205|1206|1207|1208	37963
212	3001212|3002212|3003212|3004212|3005212|3006212|3007212|3008212	1201|1202|1203|1204|1205|1206|1207|1208	38404
213	3001213|3002213|3003213|3004213|3005213|3006213|3007213|3008213	1201|1202|1203|1204|1205|1206|1207|1208	38847
214	3001214|3002214|3003214|3004214|3005214|3006214|3007214|3008214	1201|1202|1203|1204|1205|1206|1207|1208	39291
215	3001215|3002215|3003215|3004215|3005215|3006215|3007215|3008215	1201|1202|1203|1204|1205|1206|1207|1208	39737
216	3001216|3002216|3003216|3004216|3005216|3006216|3007216|3008216	1201|1202|1203|1204|1205|1206|1207|1208	40476
217	3001217|3002217|3003217|3004217|3005217|3006217|3007217|3008217	1201|1202|1203|1204|1205|1206|1207|1208	40925
218	3001218|3002218|3003218|3004218|3005218|3006218|3007218|3008218	1201|1202|1203|1204|1205|1206|1207|1208	41375
219	3001219|3002219|3003219|3004219|3005219|3006219|3007219|3008219	1201|1202|1203|1204|1205|1206|1207|1208	41828
220	3001220|3002220|3003220|3004220|3005220|3006220|3007220|3008220	1201|1202|1203|1204|1205|1206|1207|1208	42281
221	3001221|3002221|3003221|3004221|3005221|3006221|3007221|3008221	1201|1202|1203|1204|1205|1206|1207|1208	42794
222	3001222|3002222|3003222|3004222|3005222|3006222|3007222|3008222	1201|1202|1203|1204|1205|1206|1207|1208	43308
223	3001223|3002223|3003223|3004223|3005223|3006223|3007223|3008223	1201|1202|1203|1204|1205|1206|1207|1208	43824
224	3001224|3002224|3003224|3004224|3005224|3006224|3007224|3008224	1201|1202|1203|1204|1205|1206|1207|1208	44488
225	3001225|3002225|3003225|3004225|3005225|3006225|3007225|3008225	1201|1202|1203|1204|1205|1206|1207|1208	45037
226	3001226|3002226|3003226|3004226|3005226|3006226|3007226|3008226	1201|1202|1203|1204|1205|1206|1207|1208	45589
227	3001227|3002227|3003227|3004227|3005227|3006227|3007227|3008227	1201|1202|1203|1204|1205|1206|1207|1208	46143
228	3001228|3002228|3003228|3004228|3005228|3006228|3007228|3008228	1201|1202|1203|1204|1205|1206|1207|1208	46698
229	3001229|3002229|3003229|3004229|3005229|3006229|3007229|3008229	1201|1202|1203|1204|1205|1206|1207|1208	47255
