等级	材料奖励1	材料奖励5	金币堆奖励	随机宝箱奖励	金币堆意外掉落ID	超级宝箱极品奖励
82	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
83	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
84	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
85	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
86	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
87	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
88	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
89	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
90	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
91	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
92	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
93	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
94	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
95	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
96	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
97	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
98	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
99	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
100	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
101	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
102	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
103	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
104	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
105	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
106	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
107	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
108	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
109	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
110	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
111	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
112	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
113	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
114	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
115	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
116	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
117	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
118	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
119	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
120	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
121	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
122	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
123	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
124	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
125	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
126	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
127	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
128	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
129	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
130	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
131	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
132	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
133	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
134	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
135	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
136	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
137	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
138	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
139	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
140	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
141	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
142	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
143	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
144	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
145	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
146	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
147	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
148	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
149	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
150	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
