符文等级	需求君主等级	升至本级消耗1	升至本级消耗2	升至本级消耗3	升至本级消耗4	升至本级消耗5	升至本级消耗6	升至本级消耗7
27	1	user.rune_exp:-9300	user.rune_exp:-13100	user.rune_exp:-19300	user.rune_exp:-27000	user.rune_exp:-38600	user.rune_exp:-54100	user.rune_exp:-77200
28	1	user.rune_exp:-9600	user.rune_exp:-13700	user.rune_exp:-20100	user.rune_exp:-28100	user.rune_exp:-40200	user.rune_exp:-56200	user.rune_exp:-80300
29	1	user.rune_exp:-10100	user.rune_exp:-14300	user.rune_exp:-21100	user.rune_exp:-29500	user.rune_exp:-42100	user.rune_exp:-59000	user.rune_exp:-84200
30	1	user.rune_exp:-10500	user.rune_exp:-14900	user.rune_exp:-21800	user.rune_exp:-30600	user.rune_exp:-43700	user.rune_exp:-61200	user.rune_exp:-87400
31	1	user.rune_exp:-10900	user.rune_exp:-15400	user.rune_exp:-22600	user.rune_exp:-31700	user.rune_exp:-45200	user.rune_exp:-63300	user.rune_exp:-90500
32	1	user.rune_exp:-11300	user.rune_exp:-16000	user.rune_exp:-23600	user.rune_exp:-33000	user.rune_exp:-47100	user.rune_exp:-65900	user.rune_exp:-94200
33	1	user.rune_exp:-11800	user.rune_exp:-16700	user.rune_exp:-24600	user.rune_exp:-34400	user.rune_exp:-49100	user.rune_exp:-68800	user.rune_exp:-98300
34	1	user.rune_exp:-12300	user.rune_exp:-17400	user.rune_exp:-25600	user.rune_exp:-35800	user.rune_exp:-51100	user.rune_exp:-71600	user.rune_exp:-102000
35	1	user.rune_exp:-12700	user.rune_exp:-18000	user.rune_exp:-26400	user.rune_exp:-37000	user.rune_exp:-52800	user.rune_exp:-73900	user.rune_exp:-106000
36	1	user.rune_exp:-13200	user.rune_exp:-18700	user.rune_exp:-27500	user.rune_exp:-38500	user.rune_exp:-55000	user.rune_exp:-76900	user.rune_exp:-110000
37	1	user.rune_exp:-13800	user.rune_exp:-19500	user.rune_exp:-28700	user.rune_exp:-40100	user.rune_exp:-57400	user.rune_exp:-80300	user.rune_exp:-115000
38	1	user.rune_exp:-14300	user.rune_exp:-20200	user.rune_exp:-29700	user.rune_exp:-41600	user.rune_exp:-59400	user.rune_exp:-83200	user.rune_exp:-119000
39	1	user.rune_exp:-14800	user.rune_exp:-20900	user.rune_exp:-30800	user.rune_exp:-43100	user.rune_exp:-61600	user.rune_exp:-86200	user.rune_exp:-123000
40	1	user.rune_exp:-15300	user.rune_exp:-21700	user.rune_exp:-31900	user.rune_exp:-44700	user.rune_exp:-63900	user.rune_exp:-89400	user.rune_exp:-128000
41	1	user.rune_exp:-16000	user.rune_exp:-22700	user.rune_exp:-33400	user.rune_exp:-46700	user.rune_exp:-66700	user.rune_exp:-93400	user.rune_exp:-133000
42	1	user.rune_exp:-16600	user.rune_exp:-23500	user.rune_exp:-34600	user.rune_exp:-48400	user.rune_exp:-69100	user.rune_exp:-96800	user.rune_exp:-138000
43	1	user.rune_exp:-17200	user.rune_exp:-24300	user.rune_exp:-35800	user.rune_exp:-50100	user.rune_exp:-71500	user.rune_exp:-100000	user.rune_exp:-143000
44	1	user.rune_exp:-17800	user.rune_exp:-25300	user.rune_exp:-37200	user.rune_exp:-52000	user.rune_exp:-74300	user.rune_exp:-104000	user.rune_exp:-149000
45	1	user.rune_exp:-18600	user.rune_exp:-26300	user.rune_exp:-38700	user.rune_exp:-54200	user.rune_exp:-77500	user.rune_exp:-108000	user.rune_exp:-155000
