索引	音效	内容1
GUIDE_STR_100	0	Gear Refine is unlocked, tap to enter the Refine interface.
GUIDE_STR_101	0	Refining gear increases its base stats and adds an additional special stat.
GUIDE_STR_102	0	Let\'s give it a try.
GUIDE_STR_103	0	Increase Fate to greatly increase your hero\'s stats and skill strength.
GUIDE_STR_104	0	Each time you tap there\'s a chance to upgrade Fate level. Give it a try.
GUIDE_STR_105	0	Gear Slots are unlocked, tap to check it out.
GUIDE_STR_106	0	Awaken slots to increase power.
GUIDE_STR_107	0	Awaken slots to two stars to inlay gems.
GUIDE_STR_108	0	Base Camp can store up to 12 hours of rewards at once, so remember to come back and claim them regularly.
GUIDE_STR_109	0	Let\'s see what gear shards we got.
GUIDE_STR_110	0	Tap the Craft button and see what kind of gear you get.
GUIDE_STR_111	0	Tap here to auto cast.
GUIDE_STR_112	0	When you have enough hero shards you can craft a new hero!
GUIDE_STR_113	0	Tap the Craft button, let\'s check out this new hero!
GUIDE_STR_114	0	Now keep adventuring!
GUIDE_STR_115	0	Ah, a new journey...
GUIDE_TIPS_19	0	Swipe left and right to view other unit types.
GUIDE_STR_116	0	Reports of a situation ahead!
GUIDE_STR_117	0	Thank you for your help, sir. I will make sure my father repays you!
GUIDE_STR_118	0	It was nothing!
GUIDE_STR_119	0	Don\'t run, little dragon!
GUIDE_STR_120	0	Princess, look out!
GUIDE_STR_121	0	Clear the adventure stage to unlock idle drops
GUIDE_STR_122	0	Recruit partners to take risks together.
GUIDE_STR_123	0	Let us conquer this area.
