编号	类型1	描述1
39	Legion Boss Intro	<font color="#8a4c0fff" size="24"><line>[Rules]</font><font color="#8a4c0fff" size="20"><line> ※Legion Bosses can be challenged every day between 10:00 - 22:00. <line> ※After legions kill a boss and reach the required level, they can challenge a stronger boss starting the next day. <line> ※Bosses of higher levels grant better participation and kill rewards. <line> ※Players can use Boost to increase damage dealt to bosses by all legion members for the current round. <line> ※When the event ends, all legion members will receive a reward in the mail based on their legion\'s rank.</font>
40	Legion Campfire Intro	<font color="#8a4c0fff" size="24"><line>[Rules]</font><font color="#8a4c0fff" size="20"><line> ※Players can only participate in the Campfire Event once per day. <line> ※Once the Campfire Event starts, players must manually join the event from the main Legion Interface. <line> ※Players who join the Campfire during the event will continuously accumulate EXP that is sent to them in the mail when the event ends. <line> ※Each participating player can increase Campfire level by adding wood and fire. <line> ※When the Campfire levels up, it triggers a Campfire Level Red Envelope. <line> ※When players add wood or fire, they have a chance to trigger Wood or Fire Red Envelopes. <line> ※Tap on the Red Envelope icon on the main interface to grab the envelope. Numbers are limited, so don\'t be slow!</font>
41	Runes Intro	<font color="#8a4c0fff" size="24"><line>[Rune Rules]</font><font color="#8a4c0fff" size="20"><line> ※Each hero has a Rune Altar that can hold 4 runes. <line> ※There are 4 types of runes: Sabotage, Resist, Insight and Blessings. <line> ※Each hero can use only 1 of each Rune type at a time. <line> ※Challenge Courage Tower to earn more runes and Rune Essence. <line> ※Level up runes using Rune Essence. <line> ※Runes can be deconstructed into Rune Crystals. Runes that have been leveled up will return all Rune Essence when deconstructed.</font>
42	Village Raid Intro	<font color="#8a4c0fff" size="24"><line>[Village Lord Raid]</font><font color="#8a4c0fff" size="20"><line> ※Only Party Leaders can initiate raids to become village lords, and can only be lord of 1 village at a time. <line> ※When raiding a new village, players must first withdraw from their original village. <line> ※After a successful raid, players will gain Protection for a certain period of time. <line> ※After becoming village lord, each party member that has unlocked the village can gather its resources until all resources are exhausted. <line> ※If another player raids the village and becomes the lord, all party members will lose the ability to gather there.  <line> ※Village resource storage resets daily at 5:00. </font><font color="#8a4c0fff" size="24"><line><line>[Village Land Raid]</font><font color="#8a4c0fff" size="20"><line> ※All players can initiate raids against village land, and can only occupy 1 piece of land at a time. <line> ※When raiding new land, players must first withdraw from their original land. <line> ※To successfully occupy land players consume 1 Occupier Certificate. <line> ※After successfully occupying land, players will gain Protection for a certain period of time. <line> ※After successfully occupying land, players can receive benefits from it for 6 hours. <line> ※If another player raids and occupies the land, you will no longer gain its benefits. </font><font color="#8a4c0fff" size="24"><line><line>[Other Rules]</font><font color="#8a4c0fff" size="20"><line> ※Players can\'t manually withdraw and will not be attacked while under Protection. <line> ※All village benefits are sent out in the mail.</font>
43	Cave Hunt Introduction	<font color="#8a4c0fff" size="24"><line>[Rules]</font><font color="#8a4c0fff" size="20"><line> ※Tap and hold to roll the dice. Each roll consumes 1 dice. <line> ※Rolling the dice when the cursor is stopped on the desired number will increase the chances of rolling that number. <line> ※1 dice recovers at 60 minutes, up to a max of 50 dice. <line> ※Pass through a destination to earn a random chest. <line> ※Collect 4 Majesty Chest Shard to get 1 Majesty Chest. <line> ※Move to an Encounter Space to trigger an encounter. Move to a Resource Space to earn those resources.</font>
44	Genie Wish Intro	<font color="#8a4c0fff" size="24"><line>[Event Rules]</font><font color="#8a4c0fff" size="20"><line> ※Players earn 1 Wish Point for every 5 minutes spent online, up to a max of 7 points per day. <line> ※Tap on the item you like to make a wish to the Genie. Each wish consumes 1 Wish Point. <line> ※Players can spend gold to reset items, and get 3 free resets per day. <line> ※Open up the event interface the next day to claim wishes from the day before.</font>
45	Replace Hero Intro	<font color="#8a4c0fff" size="24"><line>[Replace Rules]</font><font color="#8a4c0fff" size="20"><line> ※Players can spend Magic Wands or diamonds to replace the hero in the Magic Circle. <line> ※Replacing will consume Magic Wands before diamonds. <line> ※Hero Replacing can get a random hero of star. <line> ※Only 4-Star and 5-Star Heroes can be replaced. <line> ※Replacing 4-Star heroes costs: [1 Magic Wands] or [50 diamonds]. <line> ※Replacing 5-Star heroes costs: [10 Magic Wands] or [500 diamonds].</font>
46	Lucky Wheel Intro	<font color="#8a4c0fff" size="24"><line>『Rules』</font><font color="#8a4c0fff" size="20"><line> ※You have the chance to win 1%, 5% and 10% lucky points for every lottery. With higher prize pool comes more lucky points.<line> ※The lucky points will be increased by 8 for every lottery and the initial lucky points in superior wheel prize pool will be 20k.<line> ※The lucky points prize pool is shared by cross servers and will be initialized on every Monday.<line> ※The lucky points can be used to exchange rare items in Lucky Store and won\'t be reset. <line> ※You can get superior lucky points from the Specialty Store, packs and events.</font>
47	SP Lucky Wheel Intro	<font color="#8a4c0fff" size="24"><line>『Rules』</font><font color="#8a4c0fff" size="20"><line> ※You have the chance to win 1%, 5% and 10% lucky points for every lottery. With higher prize pool comes more lucky points.<line> ※The lucky points will be increased by 160 for every lottery and the initial lucky points in superior wheel prize pool will be 200k.<line> ※The lucky points prize pool is shared by cross servers and will be initialized on every Monday.<line> ※The lucky points can be used to exchange rare items in Lucky Store and won\'t be reset. <line> ※You can get superior lucky points from the Specialty Store, packs and events.</font>
48	Hero Fusion Intro	<font color="#8a4c0fff" size="24"><line>[Fusion Rules]</font><font color="#8a4c0fff" size="20"><line> ※Consume specified materials to get the ultimate hero you want. </font></font><font color="#8a4c0fff" size="24"><line><line>『Compound Cost Notice』</font><font color="#8a4c0fff" size="20"><line> ※The resource costs of material hero will be returned.<line> ※100% hero upgrade costs will be returned!<line> ※100% hero enhance costs will be returned!<line> ※100% slot awaken costs will be returned!<line> ※All gears will be returned!<line> ※All gems will be returned!<line> ※All runes will be returned!</font>
49	Octopus Treasure Info	<font color="#8a4c0fff" size="24"><line>[Challenge Rules]</font><font color="#8a4c0fff" size="20"><line> ※Defeat Treasure Keepers who are deluded by the Evil Octopus within time limit to obtain fabulous treasure!<line> ※Clear supply-depot stages to restore HP of all units.<line> ※If you succeed, you can keep the HP of all deployed heroes and get the relevant rewards.<line> ※If you fail, the HP will not be kept. You can try various arrays for the challenge.</font>
50	Sign Info	<font color="#8a4c0fff" size="24"><line>『Sign-In Rule』</font><font color="#8a4c0fff" size="20"><line> ※Log in the game to claim rewards everyday.<line> ※The rewards will be refreshed if all 30 rewards have been claimed.<line> ※The reward can be claimed at your next log in if you forget to claim the last reward.</font>
51	Fate Wheel Info	<font color="#8a4c0fff" size="24"><line>[Rules]</font><font color="#8a4c0fff" size="20"><line> ※Use Fate Coins to spin Small Fate Wheel and get rewards from the remaining items.<line> ※Big Fate Wheel can be activated when you get Fate Pointer, then you will obtain Big Fate Wheel items and remaining items in Small Fate Wheel.<line> ※You can get different rewards from the remaining items every time you draw. If there is only 1 item left, you will get it for sure.</font>
