索引	音效	内容
GUIDE_STR_100	0	裝備精煉已開啟，點擊進入精煉介面
GUIDE_STR_101	0	裝備精煉可提升基礎屬性並新增一條特殊屬性
GUIDE_STR_102	0	讓我們試試精煉裝吧
GUIDE_STR_103	0	提升天命可大幅提升英雄屬性和技能強度
GUIDE_STR_104	0	每次點擊都有機會提升天命等級，快來試試吧
GUIDE_STR_105	0	開啟裝備部位，點擊查看
GUIDE_STR_106	0	部位覺醒可獲得能力提升
GUIDE_STR_107	0	部位覺醒至2星將開啟寶石鑲嵌
GUIDE_STR_108	0	大本營最多可存12小時的產出，記得時常領取哦
GUIDE_STR_109	0	讓我們快去看看獲得的裝備碎片吧
GUIDE_STR_110	0	點擊合成按鈕，看看能夠獲得什麼好裝備吧
GUIDE_STR_111	0	點擊可自動釋放
GUIDE_STR_112	0	當有足夠的英雄碎片，即可合成新英雄！
GUIDE_STR_113	0	點擊合成按鈕，讓我們快來看看這位新英雄吧！
GUIDE_STR_114	0	繼續前往冒險吧！
GUIDE_STR_115	0	唔，新的征程~
GUIDE_TIPS_19	0	左右滑動查看其他兵種
GUIDE_STR_116	0	報告前方有情況耶！
GUIDE_STR_117	0	感謝勇士的相救，一定讓父王重賞你！
GUIDE_STR_118	0	小意思啦！
GUIDE_STR_119	0	小龍，別跑！
GUIDE_STR_120	0	公主，小心！
GUIDE_STR_121	0	冒險關卡可解鎖掛機掉落
GUIDE_STR_122	0	招募夥伴一起冒險
GUIDE_STR_123	0	讓我們征服這片大陸
