关键字	中文
ROLE_DESTINY_TITLE2	圖鑒緣分
ROLE_DESTINY_INFO1	獲取指定寶物激活屬性
ROLE_DESTINY_INFO2	【均突破+%d】
ROLE_DESTINY_INFO3	【同時上陣】
ROLE_DESTINY_INFO4	點亮圖鑒即可激活屬性
ROLE_LIST_TITLE1	上陣
ROLE_LIST_TITLE2	碎片
ROLE_LIST_TITLE3	卡牌
ROLE_EXCHANGE_TITLE	換將變化
ROLE_EXCHANGE_DESC1	繼承等級
ROLE_EXCHANGE_DESC2	繼承部隊
ROLE_EXCHANGE_DESC3	繼承裝備
ROLE_EXCHANGE_DESC4	繼承部位
ROLE_EXCHANGE_DESC5	繼承天命
ROLE_EXCHANGE_DESC6	返還英雄突破材料
ROLE_EXCHANGE_DESC7	返還頭銜晉級材料
ROLE_EXCHANGE_DESC8	返還英雄升品材料
ROLE_EXCHANGE_PERCENT	100%
ROLE_EXCHANGE_TIPS	提示：請放心更換英雄
ROLE_SELECT_TITLE1	英雄選擇
ROLE_SELECT_TITLE2	英雄更換
ROLE_SELECT_INFO1	暫無英雄
ROLE_SELECT_INFO2	擁有：
ROLE_SELECT_INFO3	上陣
ROLE_SELECT_INFO4	更換
ROLE_SELECT_INFO5	正在做為傭兵的英雄不能下陣
ROLE_SELECT_INFO6	成功分解1張%s獲得%s將魂
ROLE_SELECT_INFO7	是否分解高品質英雄？
ROLE_SELECT_INFO8	%d級開啟
ROLE_SELECT_INFO9	一鍵換裝
ROLE_BASE_ATTR_LABEL	英雄基礎屬性
ROLE_WINDOW_TILTE_PART	英雄部位
ROLE_WINDOW_TILTE_SOLDIER	部隊
ROLE_WINDOW_TILTE_SOLDIER_INFO	部隊詳情
ROLE_SOLDIER_SUB_TITLE	小兵升星
ROLE_SOLDIER_TIPS1	部隊所有單位均繼承英雄100%屬性
ROLE_SOLDIER_TIPS2	傷害提升+%d
ROLE_SOLDIER_TIPS3	無技能
ROLE_SOLDIER_TIPS4	部隊護甲：
ROLE_SOLDIER_TIPS5	解鎖新技能：
ROLE_WINDOW_TITLE_1	英雄上陣
ROLE_WINDOW_TITLE_3	英雄碎片
ROLE_WINDOW_TITLE_2	英雄
ROLE_EQUIP_TIPS_1	%d級開啟精煉
ROLE_EQUIP_TIPS_2	%d級開啟強化
ROLE_SKILL_TYPE_1	常規技
ROLE_SKILL_TYPE_2	怒氣技
ROLE_FATE_INFO_1	緣份激活：
SKILL_TIPS_DESC_1	怒氣滿時釋放
SKILL_TIPS_DESC_2	每攻擊
SKILL_TIPS_DESC_3	次釋放
SKILL_TIPS_DESC_4	升級後
ROLE_TIPS_TITLE_1	屬性加成詳情
ROLE_TIPS_INFOTX_1	評級
ROLE_TIPS_INFOTX_2	評級越高基礎屬性越高
ROLE_TIPS_INFOTX_3	基礎屬性
ROLE_TIPS_INFOTX_4	部位加成
ROLE_TIPS_INFOTX_5	強化加成
ROLE_TIPS_INFOTX_6	精煉加成
ROLE_TIPS_INFOTX_7	同時上陣 戰力提升
ROLE_TIPS_INFOTX_8	英雄%s階解鎖%s
ROLE_TIPS_INFOTX_9	常規技能
ROLE_TIPS_INFOTX_10	怒氣技能
ROLE_TIPS_INFOTX_11	英雄基礎
ROLE_STR_HERO_LEVEL_NOT_ENOUGH	英雄等級不足
ROLE_TIANMING_INFO	當前技能等級: %d
GEM_SELECT_TITLE	寶石選擇
GEM_SELECT_INFO1	暫無可鑲嵌寶石
GEM_SELECT_INFO2	部位僅可鑲嵌
STR_POSCANTOPEN1	%d級解鎖
STR_POSCANTOPEN2	上陣新英雄
STR_POSCANTOPEN3	暫無英雄
EQUIP_QUALITY_TX1	普通裝備
EQUIP_QUALITY_TX2	傑出裝備
EQUIP_QUALITY_TX3	稀有裝備
EQUIP_QUALITY_TX4	史詩裝備
EQUIP_QUALITY_TX5	神話裝備
EQUIP_QUALITY_TX6	遠古裝備
EQUIP_QUALITY_TX7	創世裝備
HERO_QUALITY_TX1	普通英雄
HERO_QUALITY_TX2	傑出英雄
HERO_QUALITY_TX3	稀有英雄
HERO_QUALITY_TX4	史詩英雄
HERO_QUALITY_TX5	神話英雄
HERO_QUALITY_TX6	遠古英雄
HERO_QUALITY_TX7	創世英雄
BAG_TAB_STR1	道具
BAG_TAB_STR2	寶石
BAG_TAB_STR3	裝備
BAG_TAB_STR4	碎片
BAG_TAB_STR5	沒有任何道具
BAG_BTN_STR1	使用
BAG_BTN_STR2	查看
BAG_BTN_STR3	合成
BAG_BTN_STR4	跳轉
BAG_BTN_STR5	獲取
BAG_BTN_STR6	提升
BAG_BTN_STR7	出售
MATERIAL_NOT_ENOUGH	材料不足
STR_NEEDLV	需要英雄%s級
MAINSCENE_BTN_STE1	冒險
MAINSCENE_BTN_STE2	回城
SIDEBR_BTN_STR1	英雄
SIDEBR_BTN_STR2	背包
SIDEBR_BTN_STR3	戰隊
SIDEBR_BTN_STR4	任務
SIDEBR_BTN_STR5	戰報
SIDEBR_BTN_STR6	聖物
SIDEBR_BTN_STR7	限時
SIDEBR_BTN_STR8	活動
SIDEBR_BTN_STR9	指引
SIDEBR_BTN_STR10	排行
SIDEBR_BTN_STR11	帝王
SIDEBR_BTN_STR12	打寶
SIDEBR_BTN_STR14	尋寶
SIDEBR_BTN_STR18	村莊爭奪
SIDEBR_BTN_STR19	變強
AREAN_TITLE_TX1	競技場成就
AREAN_TITLE_TX2	%s級
AREAN_TITLE_TX3	%s競技場
AREAN_BTN_TX1	換一換
AREAN_BTN_TX2	佈陣
AREAN_BTN_TX3	戰報
AREAN_BTN_TX4	排行
AREAN_BTN_TX5	商店
AREAN_BTN_TX6	成就
AREAN_BTN_TX7	挑 戰
AREAN_BTN_TX8	查 看
AREAN_BTN_TX9	我自己
AREAN_BTN_TX10	掃 蕩
AREAN_TIP_TX1	每日免費挑戰次數：
AREAN_TIP_TX2	每日
AREAN_TIP_TX3	郵件發送排名獎勵
AREAN_TIP_TX4	當前排名獎勵
AREAN_TIP_TX5	排名：
AREAN_TIP_TX6	剩餘挑戰次數不足
AREAN_TIP_TX7	已沒有購買次數
AREAN_TIP_TX8	%s獎勵
AREAN_TIP_TX9	當前排名：
AREAN_TIP_TX10	歷史最高
AREAN_TIP_TX11	%s成就預覽
AREAN_TIP_TX12	%s%d名
AREAN_TIP_TX13	排名上升%d名
AREAN_TIP_TX14	尚未解鎖該競技場，是否前往該關卡?
AREAN_TIP_TX15	您已參加%s競技場，參與新的競技場時舊競技場的排名信息將會清空!
AREAN_TIP_TX16	您的能力太強了，快去看看其他競技場吧!
AREAN_TIP_TX17	排名未改變
AREAN_TIP_TX18	額外獲取：
ARENA_BUY_CHALLENGE	是否花費%d鑽石購買1次挑戰次數？
ARENA_BUY_CHALLENGE_TIMES	今日剩餘購買%d次
ARENA_AWARDS_GET_TIME	每日%s:00發放排名獎勵至郵箱
ARENA_LEVEL_STR_1	黃銅
ARENA_LEVEL_STR_2	白銀
ARENA_LEVEL_STR_3	黃金
ARENA_LEVEL_STR_4	紫金
ARENA_LEVEL_STR_5	鑽石
ARENA_LEVEL_STR_6	王者
ARENA_TIPS_1	通關[%s.%s]解鎖
ARENA_TIPS_2	[%s.%s]
ARENA_SERVER_TITLE	%d服
HOOK_MIAN_TITLE1	大本營掛機
HOOK_MIAN_TITLE2	捕獲哥布林
HOOK_MIAN_TITLE3	探索任務
HOOK_MIAN_TITLE4	魔法陣
HOOK_MIAN_EXPLAIN1	魔法陣開啟後，掛機擊殺怪物時有機率將怪物死亡時釋放的能量轉化為所需的資源，若離線長達%d天，法陣將停止運轉
HOOK_MIAN_EXPLAIN2	轉化法陣
HOOK_MIAN_EXPLAIN3	法陣激活後，將持續產出
HOOK_MIAN_EXPLAIN4	激活法陣需要獲得
HOOK_MIAN_EXPLAIN5	魔法陣轉化率說明
HOOK_MIAN_EXPLAIN6	能量轉化率越高，每日資源產量越高
HOOK_MIAN_EXPLAIN7	基礎轉化率
HOOK_MIAN_EXPLAIN8	轉化率
HOOK_MIAN_BTNTX1	掛機
HOOK_MIAN_BTNTX2	BOSS
HOOK_MIAN_BTNTX3	搜尋
HOOK_MIAN_BTNTX4	前往挑戰
HOOK_MIAN_BTNTX5	全部領取
HOOK_MIAN_BTNTX6	加速掛機
HOOK_MIAN_BTNTX7	領取獎勵
HOOK_MIAN_BTNTX8	前往獲得
HOOK_MIAN_BTNTX9	查看詳情
HOOK_MIAN_INFOTX1	前往挑戰Lv.%d提升掛機獎勵
HOOK_MIAN_INFOTX2	需要戰力：
HOOK_MIAN_INFOTX3	%d/h
HOOK_MIAN_INFOTX4	當前收益狀態：
HOOK_MIAN_INFOTX5	收益暫停
HOOK_MIAN_INFOTX6	暫無獲取
HOOK_MIAN_INFOTX7	尚未探索到更強大的怪物
HOOK_MIAN_INFOTX8	哥布林可能掉落
HOOK_MIAN_INFOTX9	每趕走
HOOK_MIAN_INFOTX10	可開啟一個
HOOK_MIAN_INFOTX11	必掉
HOOK_MIAN_INFOTX12	今日剩餘探索次數：
HOOK_MIAN_INFOTX13	任務量級越高，獎勵越豐富
HOOK_MIAN_INFOTX14	【極】
HOOK_MIAN_INFOTX15	%d分鐘
HOOK_MIAN_INFOTX16	免費（%d）
HOOK_MIAN_INFOTX17	剩餘時間：
HOOK_MIAN_INFOTX18	馬上完成
HOOK_MIAN_INFOTX19	開始探索
HOOK_MIAN_INFOTX20	挑戰Lv.%s小怪掛機產出提升：
HOOK_MIAN_INFOTX21	是否花費
HOOK_MIAN_INFOTX22	獲取%d小時的收益
HOOK_MIAN_INFOTX23	今日剩餘加速次數：%d/%d
HOOK_MIAN_INFOTX24	馬上完成此次探索
HOOK_MIAN_INFOTX25	加速掛機
HOOK_MIAN_INFOTX26	英雄派遣
HOOK_MIAN_INFOTX27	派遣巡邏
HOOK_MIAN_INFOTX29	剩餘次數不足
HOOK_MIAN_INFOTX30	增加1次探索次數
HOOK_MIAN_INFOTX31	您是VIP%d,還可以購買%d次
HOOK_MIAN_INFOTX32	購買次數
HOOK_MIAN_INFOTX33	購買次數不足
HOOK_MIAN_INFOTX34	尚未選擇英雄探索
HOOK_MIAN_INFOTX35	派遣中
HOOK_MIAN_INFOTX36	搜尋結束
HOOK_MIAN_INFOTX37	當前已經是最大星級
HOOK_MIAN_INFOTX38	搜尋次數不足
HOOK_MIAN_INFOTX39	任務獎勵：
HOOK_MIAN_INFOTX40	正在搜索……
HOOK_MIAN_INFOTX41	提升當前探索星級
HOOK_MIAN_INFOTX42	升星確認
HOOK_MIAN_INFOTX43	已重置任務
HOOK_MIAN_INFOTX44	%s已開始探索
HOOK_MIAN_INFOTX45	小怪挑戰
HOOK_MIAN_INFOTX46	確認是否重置
HOOK_MIAN_INFOTX47	滿星任務
HOOK_MIAN_INFOTX48	極品任務
HOOK_MIAN_INFOTX49	重置確認
HOOK_MIAN_INFOTX50	新掉落：
HOOK_MIAN_INFOTX51	暫無可領取資源
HOOK_MIAN_INFOTX52	需要等級：
HOOK_MIAN_INFOTX53	收益詳情：
HOOK_MIAN_INFOTX54	掉落詳情：
HOOK_MIAN_INFOTX55	最多存儲24小時的掛機收益！
HOOK_MIAN_INFOTX56	解鎖新掉落：
HOOK_MIAN_INFOTX57	選擇英雄
HOOK_MIAN_INFOTX58	探索英雄獎勵
HOOK_MIAN_INFOTX59	由玩家選擇英雄所決定的英雄獎勵
HOOK_MIAN_INFOTX60	產量提升
HOOK_MIAN_INFOTX61	魔法陣產量提升
HOOK_MIAN_INFOTX62	最低戰鬥力需求：
HOOK_MONSTER_INFOTX1	普通怪物
HOOK_MONSTER_INFOTX2	中級怪物
HOOK_MONSTER_INFOTX3	高級怪物
HOOK_MONSTER_INFOTX4	精英怪物
HOOK_MONSTER_INFOTX5	稀有怪物
HOOK_MONSTER_INFOTX6	挑戰進度：
HOOK_MONSTER_INFOTX7	挑戰可解鎖獎勵：
HOOK_MONSTER_INFOTX8	需完成上一輪所有挑戰
HOOK_MONSTER_INFOTX9	已全部獲得所有獎勵
HOOK_MONSTER_INFOTX10	挑戰條件：
TAVERN_MAIN_INFO1	限時英雄：
TAVERN_MAIN_INFO2	停留時間:
TAVERN_MAIN_INFO3	消耗%s可直接兌換限時英雄
TAVERN_MAIN_INFO4	刷新成功
TAVERN_MAIN_INFO5	本次免費
TAVERN_MAIN_INFO6	後免費
TAVERN_MAIN_INFO7	今日金幣招募：
TAVERN_MAIN_INFO8	再招募
TAVERN_MAIN_INFO9	次必得
TAVERN_MAIN_INFO10	神話英雄
TAVERN_MAIN_INFO11	單次招募
TAVERN_MAIN_INFO12	招募十次
TAVERN_MAIN_INFO13	金幣招募次數不足
TAVERN_MAIN_INFO14	可獲得：
TAVERN_MAIN_INFO15	必贈
TAVERN_MAIN_INFO16	友情招募
TAVERN_MAIN_INFO17	招募%d次
TAVERN_MAIN_INFO18	刷新時限英雄？
TAVERN_MAIN_INFO19	兌換
TAVERN_MAIN_INFO20	已無金幣招募次數
TAVERN_MAIN_INFO21	%s不足，無法招募
CUSTOMS_MAP_BTNTX1	普通
CUSTOMS_MAP_BTNTX2	精英
CUSTOMS_MAP_BTNTX3	困難
CUSTOMS_MAP_BTNTX4	挑戰
CUSTOMS_MAP_BTNTX5	掃蕩%d次
CUSTOMS_MAP_BTNTX6	掃蕩
CUSTOMS_MAP_BTNTX7	切磋
CUSTOMS_MAP_BTNTX8	掉落
CUSTOMS_MAP_BTNTX9	信息
CUSTOMS_MAP_INFOTX1	今日挑戰次數：
CUSTOMS_MAP_INFOTX2	首通獎勵：
CUSTOMS_MAP_INFOTX3	可能掉落：
CUSTOMS_MAP_INFOTX4	掃蕩：
CUSTOMS_MAP_INFOTX5	消耗：
CUSTOMS_MAP_INFOTX6	挑戰次數不足
CUSTOMS_MAP_INFOTX7	數據異常
CUSTOMS_MAP_INFOTX8	第%d關
CUSTOMS_MAP_INFOTX9	掃蕩結果
CUSTOMS_MAP_INFOTX10	請提升VIP可增加每日重置次數
CUSTOMS_MAP_INFOTX11	解鎖
CUSTOMS_MAP_INFOTX12	今日次數
CUSTOMS_MAP_INFOTX13	開啟新功能
CUSTOMS_MAP_INFOTX14	通關即可開啟掃蕩
CUSTOMS_MAP_INFOTX15	獲取巨龍
CUSTOMS_MAP_INFOTX16	關卡詳情：
CUSTOMS_MAP_INFOTX17	重置挑戰次數
CUSTOMS_MAP_INFOTX18	您是VIP%d，還可以購買%d次
CUSTOMS_MAP_INFO19	傳承之書激活：
CUSTOMS_MAP_INFO20	傳承之書：
CUSTOMS_MAP_INFO21	解救後可獲得：
CUSTOMS_MAP_INFO22	請先通關[%s.%s]
STORE_STR_INFOTX01	限購
STORE_STR_INFOTX02	次
STORE_STR_INFOTX03	購買
STORE_STR_INFOTX04	下次刷新
STORE_STR_INFOTX05	剩餘次數：
STORE_STR_INFOTX06	刷新成功
STORE_STR_INFOTX07	%d級解鎖
STORE_STR_INFOTX08	售罄
STORE_STR_INFOTX09	未滿足購買條件
STORE_STR_INFOTX10	商品已經賣光啦
STORE_STR_INFOTX11	購買數量：
STORE_STR_INFOTX12	總價：
STORE_STR_INFOTX13	（剩餘：%d）
STORE_STR_INFOTX14	剩餘: %d
STORE_STR_INFOTX15	您沒有購買資格
STORE_STR_INFOTX16	商品已售罄
STORE_STR_INFOTX17	今日刷新次數已耗盡
STORE_STR_INFOTX18	%s解鎖
STORE_STR_INFOTX19	提升至%d級可再多購買%d次
STORE_STR_INFOTX20	提升至VIP%d可再多購買%d次
STORE_STR_INFOTX21	刷新確認
STORE_STR_INFOTX22	是否刷新商品
STORE_STR_INFOTX23	軍團%d級解鎖
STORE_STR_INFOTX24	戰隊%d級解鎖
STORE_STR_INFOTX25	勇者之塔%d層解鎖
STORE_BTN_TX1	刷 新
STORE_BTN_TX2	免費刷新(%d)
BATTLE_STR_ERROR	戰鬥異常
TAVERN_BTN_TX1	刷新
TAVERN_BTN_TX2	兌換
TAVERN_BTN_TX3	圖鑒
TAVERN_BTN_TX4	說明
TAVERN_BTN_TX5	招募
GETWAY_MAIN_INFO1	最高可精煉至%d級
GETWAY_MAIN_INFO2	【強化成長】
GETWAY_MAIN_INFO3	【精煉成長】
GETWAY_MAIN_INFO4	【%d件效果】
COMMON_EQUIP	裝 備
COMMON_EQUIPOFF	卸 下
COMMON_JIE	階
SOLDIER0	階
SOLDIER1	一階
SOLDIER2	二階
SOLDIER3	三階
SOLDIER4	四階
SOLDIER5	五階
SOLDIER6	六階
SOLDIER7	七階
SOLDIER8	八階
SOLDIER9	九階
SOLDIER10	十階
STRENGTH_SOLDIER	攜帶士兵
SOLDIER_UPGRADE_STR_1	部隊屬性得到提升
SOLDIER_UPGRADE_STR_2	部隊數量上限：
SOLDIER_UPGRADE_STR_3	對%s的傷害提升：
SOLDIER_UPGRADE_STR_4	恭喜您部隊人數增加
SOLDIER_UPGRADE_STR_5	恭喜您解鎖新技能
SOLDIER_UPGRADE_STR_6	恭喜您解鎖
SOLDIER_MAX	當前已經滿階
COMMON_RELEASE	解救
COMMON_ALREADY_FINISH	已達成
COMMON_ALREADY_CONTROL	已收服
COMMON_ALREADY_RELEASED	已解救
COMMON_ALREADY_CAN_RELEASED	可解救
COMMON_ALREADY_GOT	已獲得
COMMON_NOT_GOT	未獲得
COMMON_ALREADY_UNLOCK	已解鎖
COMMON_ALREADY_ACTIVE	已激活
COMMON_NOT_ACTIVE	未激活
COMMON_MAINROLE	領主
COMMON_STR_QUE	嗎？
COMMON_STR_RESOLVE	分解
COMMON_STR_MERGE	合成
COMMON_STR_MERGE_SUSS	合成成功
COMMON_STR_MERGE_FAIL	合成失敗
COMMON_STR_ASSIST	上陣
COMMON_STR_GET	獲取
COMMON_STR_OWN	擁有：
COMMON_STR_LQ	領取
COMMON_STR_NOFINISH	未達成
COMMON_STR_FIGHT	戰鬥力
COMMON_STR_OK	確定
STR_OK_1	確  定
STR_CANCEL_1	取  消
COMMON_STR_CANCLE	取消
COMMON_BUY_TIMES_OVER	已經沒有購買次數
COMMON_NO_CASH	鑽石不足
COMMON_NO_GOLD	金幣不足
COMMON_RANK_MING	名
COMMON_RANK_MING1	名之後
COMMON_RANK_GRADE	%d級
COMMON_STR_LEVELOPEN	領主%d級開放
COMMON_STR_USE_CUSTOM_OPEN	通關%s可使用
COMMON_STR_RELEASE_VILLAGE_OPEN	解救[%s.%s]開放
COMMON_STR_NOTOPEN	該功能尚未開放
COMMON_STR_CONTINUE	點擊任意位置繼續
COMMON_STR_QUIT	點擊任意位置退出
COMMON_STR_NOTENOUGH	%s不足，是否前往購買%s
COMMON_STR_COST	是否花費
COMMON_STR_COST1	確定花費
COMMON_STR_CONGRATS	恭喜獲得
COMMON_STR_PARTDESC	適用部位：
COMMON_STR_DELETE	刪除
COMMON_STR_ALLDELETE	全部刪除
COMMON_STR_ONLINE	在線
COMMON_STR_ERROR	error：%s
FOOD_RED_NOT_ENOUGH	紅色體力不足
FOOD_ERROR_SHOW	體力顯示異常
STR_CONNECTING	網路連接中
COLOR_1	普通
COLOR_2	傑出
COLOR_3	稀有
COLOR_4	史詩
COLOR_5	神話
COLOR_6	遠古
COLOR_7	創世
COMMON_QUALITY_1	普通
COMMON_QUALITY_2	傑出
COMMON_QUALITY_3	稀有
COMMON_QUALITY_4	史詩
COMMON_QUALITY_5	神話
COMMON_QUALITY_6	遠古
COMMON_QUALITY_7	創世
COMMON_QUALITY_STR	品質
COMMON_COLOR_STR	色
COMMON_COLLECT_STR	已搜集：
COMMON_NOT_EMBED	未鑲嵌任何寶石
COMMON_STR_GEM_NAME_1	紅寶石
COMMON_STR_GEM_NAME_2	黃寶石
COMMON_STR_GEM_NAME_3	藍寶石
COMMON_STR_GEM_NAME_4	綠寶石
COMMON_STR_NUM_LABEL	數量：
COMMON_STR_SOLDIER_NAME_1	步兵
COMMON_STR_SOLDIER_NAME_2	遠程
COMMON_STR_SOLDIER_NAME_3	騎兵
COMMON_STR_INPUT_LIMIT	最多輸入%d個字符
COMMON_STR_NOT_OPEN	未開啟
COMMON_STR_HAS_PASS	已通關
SOLDIER_LEGION_1	步兵軍團
SOLDIER_LEGION_2	遠程軍團
SOLDIER_LEGION_3	騎兵軍團
STR_ARMS_THANKS_1	優先尋找本排距離自己最近的敵人，可承受2個近戰單位攻擊
STR_ARMS_THANKS_2	優先尋找全場距離自己最近的敵人進行攻擊
STR_ARMS_THANKS_3	正前方沒有敵方軍團時，優先攻擊敵方後排距離自己最近的軍團
STR_COUNTER_RELATION	兵種克制
STR_BATTLE_CANCEL	取消施法
FIGHTFORCE_OF_ARMY	我方戰力
FIGHTFORCE_OF_ENEMY	敵方戰力
COMMON_STR_CHALLENGE	挑戰
COMMON_STR_FINISH_RIGHT_NOW	馬上完成
COMMON_STR_TITLE_COMMIT	確認
COMMON_STR_TITLE_COMMIT2	提示
COMMON_STR_PASSIVE_SKILL	被動技能
COMMON_STR_BASE	基礎
COMMON_STR_ATTR	屬性
COMMON_STR_WATING	敬請期待
COMMON_STR_NOT_OPEN_RECHARGE	暫未開放儲值
COMMON_STR_FATE_ASSIST	羈絆
COMMON_STR_CREATE	創建
COMMON_STR_NOT_TIME	未到時間
