Key	文本内容
text_rollNoticeHtmStr_8	<font color="#ffffffff" size="20">可喜可賀！恭喜領主</font><font color="#ff3300ff" size="20"><s1></font><font color="#ffffffff" size="20">等級升至</font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20">級。</font>
text_rollNoticeHtmStr_9	<font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">經過不懈的努力，成功的將</font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20">的天命提升至</font><font color="#ff3300ff" size="20"><s3></font><font color="#ffffffff" size="20">級。</font>
text_rollNoticeHtmStr_10	<font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">經過艱苦的訓練，成功的將</font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20">的部隊提升至</font><font color="#ff3300ff" size="20"><s3></font><font color="#ffffffff" size="20">階。</font>
text_rollNoticeHtmStr_11	<font color="#ffffffff" size="20">恭喜領主</font><font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">將英雄</font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20">提升至4星，實力大幅提升！</font>
text_rollNoticeHtmStr_12	<font color="#ffffffff" size="20">恭喜領主</font><font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">將英雄</font><font color="#ffff00ff" size="20"><s2></font><font color="#ffffffff" size="20">提升至5星，堪稱無敵！</font>
text_rollNoticeHtmStr_14	<font color="#ffffffff" size="20" strokeSize="1" strokeColor="#000000ff">歡迎大家加入官方玩家交流群：</font><font color="#25ed25ff" size="20" strokeSize="1"strokeColor="#000000ff">952846837</font><font color="#ffffffff" size="20" strokeSize="1" strokeColor="#000000ff">（加群有禮包）唯一官方微信公眾號：</font><font color="#25ed25ff" size="20" strokeSize="1" strokeColor="#000000ff">lzdld2018</font><font color="#ffffffff" size="20" strokeSize="1" strokeColor="#000000ff">（關注有驚喜哦）</font>
text_rollNoticeStr_1	恭喜領主<s1>在酒館中招募到英雄<s2>，實力大幅提升！
text_rollNoticeStr_2	恭喜領主<s1>合成英雄<s2>，實力大幅提升！
text_rollNoticeStr_3	恭喜<s1>擊敗了<s2>，登基成為國王！
text_rollNoticeStr_4	<s1>擊敗了<s2>成為競技場霸主，所向披靡，千古流芳！
text_rollNoticeStr_5	<s1>擊敗了<s2>成為競技場第<s3>名，名字已響徹大陸！
text_rollNoticeStr_6	恭喜<s1>服<s2>在王者之戰中奪冠，稱霸大陸，舉世無敵！
text_rollNoticeStr_7	恭喜<s1>使用朗姆酒兌換出5星英雄<s2>。
text_rollNoticeStr_8	可喜可賀！恭喜領主<s1>等級升至<s2>級。
text_rollNoticeStr_9	<s1>經過不懈的努力，成功的將<s2>的天命提升至<s3>級。
text_rollNoticeStr_10	<s1>經過艱苦的訓練，成功的將<s2>的部隊提升至<s3>階。
text_rollNoticeStr_11	恭喜領主<s1>將英雄<s2>提升至4星，實力大幅提升！
text_rollNoticeStr_12	恭喜領主<s1>將英雄<s2>提升至5星，堪稱無敵！
text_rollNoticeStr_14	歡迎大家加入官方玩家交流群：952846837（加群有禮包）唯一官方微信公眾號：lzdld2018（關注有驚喜）
text_systemNotice	系統公告
text_territoryLogHtmStr_1	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff">勢如破竹，在我方領地激活了一座石碑</font>
text_territoryLogHtmStr_2	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff">勢如破竹，在</font><font size = #"24"，color="#ff1e00ff">{2}</font><font size = #"24"，color="#ffffffff">領地激活了一座石碑</font>
text_territoryLogHtmStr_3	<font size = #"24"，color="#ffffffff">我方領地</font><font size = #"24"，color="#ffcc00ff">{1}</font><font size = #"24"，color="#ffffffff">遭到了</font><font size = #"24"，color="#ff1e00ff">{2}·{3}</font><font size = #"24"，color="#ffffffff">的掠奪，產量降低</font>
text_territoryLogHtmStr_4	<font size = #"24"，color="#ffffffff">我方軍團開啟了來往於敵我領地的</font><font size = #"24"，color="#ffcc00ff">傳送門</font><font size = #"24"，color="#ffffffff"></font>
text_territoryLogHtmStr_5	<font size = #"24"，color="#ffcc00ff">傳送門</font><font size = #"24"，color="#ffffffff">一陣湧動，感應到了敵方領地入口的位置</font>
text_territoryLogHtmStr_6	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff">爬上了</font><font size = #"24"，color="#ffcc00ff">{2}</font><font size = #"24"，color="#ffffffff">，驅散了遠方的迷霧</font>
text_territoryLogHtmStr_7	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff">成功佔領</font><font size = #"24"，color="#ffcc00ff">{2}</font><font size = #"24"，color="#ffffffff">，每日可為軍團成員帶來收益</font>
text_territoryLogHtmStr_8	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff">經一番惡戰，於我方領地擊退了</font><font size = #"24"，color="#ff1e00ff">{2}·{3}</font>
text_territoryLogHtmStr_9	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff">在敵方領地不幸被</font><font size = #"24"，color="#ff1e00ff">{2}·{3}</font><font size = #"24"，color="#ffffffff">擊敗</font>
text_territoryLogHtmStr_10	<font size = #"24"，color="#ff1e00ff">{1}·{2}</font><font size = #"24"，color="#ffffffff">正在我方領地大行殺伐</font>
text_territoryLogHtmStr_11	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff">掠奪了</font><font size = #"24"，color="#ff1e00ff">{2}</font><font size = #"24"，color="#ffffffff">領地的</font><font size = #"24"，color="#ffcc00ff">{3}</font><font size = #"24"，color="#ffffffff">，收獲頗豐</font>
text_territoryLogStr_1	{1}勢如破竹，在我方領地激活了一座石碑
text_territoryLogStr_2	{1}勢如破竹，在{2}領地激活了一座石碑
text_territoryLogStr_3	我方領地{1}遭到了{2}·{3}的掠奪，產量降低
text_territoryLogStr_4	我方軍團開啟了來往於敵我領地的傳送門
text_territoryLogStr_5	傳送門一陣湧動，感應到了敵方領地入口的位置
text_territoryLogStr_6	{1}爬上了{2}，驅散了遠方的迷霧
text_territoryLogStr_7	{1}成功佔領{2}，每日可為軍團成員帶來收益
text_territoryLogStr_8	{1}經一番惡戰，於我方領地擊退了{2}·{3}
text_territoryLogStr_9	{1}在敵方領地不幸被{2}·{3}擊敗
text_territoryLogStr_10	{1}·{2}正在我方領地大行殺伐
text_territoryLogStr_11	{1}掠奪了{2}領地的{3}，收獲頗豐
text_dragonLimit_1	VIP9專屬禮包
text_dragonLimit_2	超級首儲
text_dragonLimit_3	拜恩降臨禮包
text_dragonLimit_4	七天樂第4天
text_av_activittes_lucky_dragon	招財龍
text_av_activittes_open_rank_level	開服等級排行
text_av_activittes_open_rank_ff	5日強者榜
text_av_activittes_open_rank_ff_10	10日王者榜
text_av_activittes_open_rank_ff_15	15日至尊榜
text_av_activittes_levelUp	等級直升
text_av_activittes_open_seven	七天樂
text_av_activittes_first_pay	首儲
text_av_activittes_sign	簽到
text_av_activittes_sign_high	豪華簽到
text_av_activittes_level	等級禮包
text_av_activittes_vip_gift	VIP專屬禮包
text_av_activittes_grow_fund	成長基金
text_av_activittes_war_college	學院
text_av_activittes_week_card	特權卡
text_av_activittes_month_card	高級特權卡
text_av_activittes_gift_bag	禮包
text_av_activittes_assets_feed	補給站
text_av_activittes_perks	特權
text_av_activittes_todaydouble	村莊雙倍
text_av_activittes_login_goodgift	登入獎勵
text_av_activittes_human_arms	聖武進階
text_av_activittes_human_wing	聖翼進階
text_av_activittes_human_mount	聖騎進階
text_av_activittes_tavern_recruit	酒館派對
text_av_activittes_expend_gift	累計消費
text_av_activittes_ordinary_recruit	平凡招募
text_av_activittes_senior_recruit	奢華招募
text_av_activittes_limit_exchange	限時兌換
text_av_activittes_alasd_pray	燈神祈願
text_av_activittes_investment	一本萬利
text_av_activittes_day_recharge	鑽石狂歡
text_av_activittes_accumulate_recharge	累充豪禮
text_av_activittes_day_exchange	節日兌換
text_av_activittes_manually	龍紋手冊
text_av_activittes_open_holiday	限時盛典
text_av_activittes_lucky_rotate	幸運轉盤
text_av_activittes_doappraise	評價
text_av_activittes_zero_gift	0元禮包
text_av_activittes_doddqqgroup	加群領福利
text_av_activittes_open_rank_recharge	儲值排行
text_av_activittes_open_rank_expense	消費排行
text_av_activittes_facebook	facebook
text_av_activittes_single_recharge	單充有禮
text_av_activittes_exchange_item	積分兌換
text_av_activittes_accumulate_daily	每日累充
text_av_activittes_level_up	等級提升
text_av_activittes_follow_rewards	關注送禮
text_av_activittes_help_equip	矮人的援助
text_av_activittes_help_octopus	章魚寶藏
text_av_activittes_destiny_rotate	命運之輪
text_avmanually_recruit1	進行1次平凡招募
text_avmanually_recruit2	進行1次奢華招募
text_avmanually_diggingBox	獲得龍晶礦洞終極寶藏
text_avmanually_hero	合成1個6星英雄
text_avmanually_speedUp	進行1次加速掛機
text_avmanually_goblin	捕獲1只哥布林
text_avmanually_arena4	本服競技場結算前10名
text_avmanually_arena5	跨服競技場結算前10名
text_avmanually_arena6	王者競技場結算前10名
text_avmanually_king	王城結算時為國王
text_av_firstPay_desc_1	累計購買{1}金鑽立即獲得：
text_av_buyaward_week	限量搶購
text_av_buyaward_week_1	突破搶購
text_av_buyaward_week_2	號角搶購
text_av_buyaward_week_3	加速卡搶購
text_av_buyaward_week_4	寶石搶購
text_av_buyaward_week_5	龍晶搶購
text_av_buyaward_week_6	幸運幣搶購
text_av_buyaward_week_7	英雄搶購
text_popwindowopenseven_desc_1	暫無
text_popwindowopenseven_desc_2	暫無
text_av_openseven_notice_1	藍鑽
text_av_openseven_notice_2	法老
text_av_openseven_notice_3	雷霆護肩
text_av_openseven_notice_4	雷龍·托爾
text_av_openseven_notice_5	雷霆斗篷
text_av_openseven_notice_6	神話英雄
text_av_openseven_notice_7	死亡大帝
text_av_openseven_tab_0_1	每日福利
text_av_openseven_tab_0_2	特價搶購
text_av_openseven_tab_1_1	普通冒險
text_av_openseven_tab_1_2	英雄收集
text_av_openseven_tab_2_1	黃銅競技場
text_av_openseven_tab_2_2	黃銅競技場
text_av_openseven_tab_3_1	巨龍進階
text_av_openseven_tab_3_2	巨龍進階
text_av_openseven_tab_4_1	裝備穿戴
text_av_openseven_tab_4_2	裝備穿戴
text_av_openseven_tab_5_1	王城爭霸
text_av_openseven_tab_5_2	王城爭霸
text_av_openseven_tab_6_1	英雄突破
text_av_openseven_tab_6_2	部位覺醒
text_av_openseven_tab_7_1	戰力霸主
text_av_openseven_tab_7_2	聖武進階
text_av_openseven_desc_login	登入贈送
text_av_openseven_desc_sale	超值折扣，放心購買
text_av_openseven_desc_level	領主等級達到{2}級
text_av_openseven_desc_pay	累計購買{2}
text_av_openseven_desc_payOnce	單筆儲值{1}元{2}次
text_av_openseven_desc_battle	通關冒險-[普通.{2}]
text_av_openseven_desc_elite	通關冒險-[精英.{2}]
text_av_openseven_desc_soldierLevel	{2}名英雄部隊提升至{1}階
text_av_openseven_desc_roleReborn	{2}名英雄突破至+{1}
text_av_openseven_desc_digging	龍晶礦洞挖開{2}個寶藏
text_av_openseven_desc_dragon	{2}條巨龍提升至{1}級
text_av_openseven_desc_weapon	聖武進階至{2}階
text_av_openseven_desc_wing	聖翼進階至{2}階
text_av_openseven_desc_partAwake	英雄部位覺醒總星數達到{2}星
text_av_openseven_desc_gemLevel	鑲嵌寶石總等級達到{2}級
text_av_openseven_desc_towerTier	勇者之塔達到第{2}層
text_av_openseven_desc_destiny	{2}名英雄天命強化至+{1}
text_av_openseven_desc_heroShopRefresh	英雄商店累計刷新{2}次
text_av_openseven_desc_heroShopBuy	英雄商店累計購物{2}次
text_av_openseven_desc_equiprefine	穿戴裝備精煉總等階達到{2}階
text_av_openseven_desc_fightForce	總戰力達到{1}
text_av_openseven_desc_equipUpgrade	穿戴{2}件裝備強化至{1}級
text_av_openseven_desc_arenaRank1	黃銅或以上競技場達到前{1}名
text_av_openseven_desc_arenaRank2	本服競技場達到前{1}名
text_av_openseven_desc_arenaRank3	黃金或以上競技場達到前{1}名
text_av_openseven_desc_arenaRank4	跨服競技場達到前{1}名
text_av_openseven_desc_arenaRank5	鑽石或以上競技場達到前{1}名
text_av_openseven_desc_arenaRank6	王者競技場達到前{1}名
text_av_openseven_desc_roleReborn1	穿戴{2}件綠色以上品質裝備
text_av_openseven_desc_roleReborn2	穿戴{2}件紫色以上品質裝備
text_av_openseven_desc_roleReborn3	穿戴{2}件紅色以上品質裝備
text_av_openseven_desc_roleReborn4	穿戴{2}件橙色以上品質裝備
text_av_openseven_desc_roleReborn5	穿戴{2}件紅色以上品質裝備
text_av_openseven_desc_position0	王城爭霸爵位達到[國王]
text_av_openseven_desc_position1	王城爭霸爵位達到[親王]
text_av_openseven_desc_position2	王城爭霸爵位達到[公爵]
text_av_openseven_desc_position3	王城爭霸爵位達到[侯爵]
text_av_openseven_desc_position4	王城爭霸爵位達到[伯爵]
text_av_openseven_desc_position5	王城爭霸爵位達到[子爵]
text_av_openseven_desc_position6	王城爭霸爵位達到[男爵]
text_av_openseven_desc_position7	王城爭霸爵位達到[勛爵]
text_av_openseven_desc_position8	王城爭霸爵位達到[領主]
text_av_openseven_desc_position9	王城爭霸爵位達到[騎士]
text_av_openseven_desc_position10	王城爭霸爵位達到[公民]
text_av_openseven_desc_starHero	收集{2}個{1}星英雄
text_av_openseven_desc_giftBuy_1_1	一日特惠禮包#1
text_av_openseven_desc_giftBuy_1_2	一日特惠禮包#1
text_av_openseven_desc_giftBuy_1_3	一日特惠禮包#2
text_av_openseven_desc_giftBuy_1_4	一日特惠禮包#3
text_av_openseven_desc_giftBuy_1_5	一日特惠禮包#4
text_av_openseven_desc_giftBuy_1_6	一日特惠禮包#5
text_av_openseven_desc_giftBuy_1_7	一日特惠禮包#6
text_av_openseven_desc_giftBuy_2_1	二日特惠禮包#1
text_av_openseven_desc_giftBuy_2_2	二日特惠禮包#1
text_av_openseven_desc_giftBuy_2_3	二日特惠禮包#2
text_av_openseven_desc_giftBuy_2_4	二日特惠禮包#3
text_av_openseven_desc_giftBuy_2_5	二日特惠禮包#4
text_av_openseven_desc_giftBuy_2_6	二日特惠禮包#5
text_av_openseven_desc_giftBuy_2_7	二日特惠禮包#6
text_av_openseven_desc_giftBuy_3_1	三日特惠禮包#1
text_av_openseven_desc_giftBuy_3_2	三日特惠禮包#1
text_av_openseven_desc_giftBuy_3_3	三日特惠禮包#2
text_av_openseven_desc_giftBuy_3_4	三日特惠禮包#3
text_av_openseven_desc_giftBuy_3_5	三日特惠禮包#4
text_av_openseven_desc_giftBuy_3_6	三日特惠禮包#5
text_av_openseven_desc_giftBuy_3_7	三日特惠禮包#6
text_av_openseven_desc_giftBuy_4_1	四日特惠禮包#1
text_av_openseven_desc_giftBuy_4_2	四日特惠禮包#1
text_av_openseven_desc_giftBuy_4_3	四日特惠禮包#2
text_av_openseven_desc_giftBuy_4_4	四日特惠禮包#3
text_av_openseven_desc_giftBuy_4_5	四日特惠禮包#4
text_av_openseven_desc_giftBuy_4_6	四日特惠禮包#5
text_av_openseven_desc_giftBuy_4_7	四日特惠禮包#6
text_av_openseven_desc_giftBuy_5_1	五日特惠禮包#1
text_av_openseven_desc_giftBuy_5_2	五日特惠禮包#1
text_av_openseven_desc_giftBuy_5_3	五日特惠禮包#2
text_av_openseven_desc_giftBuy_5_4	五日特惠禮包#3
text_av_openseven_desc_giftBuy_5_5	五日特惠禮包#4
text_av_openseven_desc_giftBuy_5_6	五日特惠禮包#5
text_av_openseven_desc_giftBuy_5_7	五日特惠禮包#6
text_av_openseven_desc_giftBuy_6_1	六日特惠禮包#1
text_av_openseven_desc_giftBuy_6_2	六日特惠禮包#1
text_av_openseven_desc_giftBuy_6_3	六日特惠禮包#2
text_av_openseven_desc_giftBuy_6_4	六日特惠禮包#3
text_av_openseven_desc_giftBuy_6_5	六日特惠禮包#4
text_av_openseven_desc_giftBuy_6_6	六日特惠禮包#5
text_av_openseven_desc_giftBuy_6_7	六日特惠禮包#6
text_av_openseven_desc_giftBuy_7_1	七日特惠禮包#1
text_av_openseven_desc_giftBuy_7_2	七日特惠禮包#1
text_av_openseven_desc_giftBuy_7_3	七日特惠禮包#2
text_av_openseven_desc_giftBuy_7_4	七日特惠禮包#3
text_av_openseven_desc_giftBuy_7_5	七日特惠禮包#4
text_av_openseven_desc_giftBuy_7_6	七日特惠禮包#5
text_av_openseven_desc_giftBuy_7_7	七日特惠禮包#6
text_av_openholiday_notice_1	盛典任務
text_av_openholiday_notice_2	盛典福利
text_av_openholiday_notice_3	盛典搶購
text_av_openholiday_tab_1_1	競技專家
text_av_openholiday_tab_1_2	招募專家
text_av_openholiday_tab_1_3	轉盤專家
text_av_openholiday_tab_1_4	英雄專家
text_av_openholiday_tab_2_1	狂歡禮包
text_av_openholiday_tab_2_2	超值特惠
text_av_openholiday_tab_2_3	累充豪禮
text_av_openholiday_tab_2_4	登入狂歡
text_av_openholiday_tab_3_1	5星英雄搶購
text_av_openholiday_tab_3_2	高級幸運幣搶購
text_av_openholiday_tab_3_3	裝備搶購
text_av_openholiday_tab_3_4	號角搶購
text_av_openholiday_desc_battlefight	完成{2}次任意關卡
text_av_openholiday_desc_arena	在競技場進行{2}次挑戰
text_av_openholiday_desc_tavern	在酒館進行{2}平凡招募
text_av_openholiday_desc_RecruitNum	在酒館進行{2}招募
text_av_openholiday_desc_fancyRecruitNum	在酒館進行{2}奢華招募
text_av_openholiday_desc_luckyRotateNum	在幸運轉盤進行{2}次轉動
text_av_openholiday_desc_cave	龍晶礦洞挖開{2}個寶藏
text_av_openholiday_top_desc_2_1	盛典福利，連續登入拿超值好禮，超值折扣限時特惠！
text_av_openholiday_top_desc_3_1	盛典搶購，超值折扣
text_av_openholiday_desc_giftBuy1	狂歡禮包#1
text_av_openholiday_desc_giftBuy2	狂歡禮包#2
text_av_openholiday_desc_giftBuy3	狂歡禮包#3
text_av_openholiday_desc_giftBuy4	狂歡禮包#4
text_av_openholiday_desc_giftBuy5	狂歡禮包#5
text_av_openholiday_desc_giftBuy6	狂歡禮包#6
text_av_openholiday_desc_giftBuy7	狂歡禮包#7
text_av_openholiday_desc_cashBuy	限購{2}次
text_av_openholiday_desc_paid	累計購買{2}金鑽
text_av_openholiday_desc_login	累計登入{2}天
text_av_openholiday_desc_sale1	超值折扣，放心購買
text_av_openholiday_desc_sale2	超值折扣，放心購買
text_av_openholiday_desc_sale3	超值折扣，放心購買
text_av_openholiday_desc_sale4	超值折扣，放心購買
text_av_giftbag_name_1	每日強者禮包（1折起）
text_av_giftbag_name_2	每日王者禮包（1折起）
text_av_giftbag_name_3	每日至尊禮包（1折起）
text_av_giftbag_name_4	特殊禮包
text_av_giftbag_name_5	特殊禮包
text_av_giftbag_name_6	特殊禮包
text_av_giftbag_name_7	特殊禮包
text_av_giftbag_name_8	特殊禮包
text_av_giftbag_name_9	特殊禮包
text_av_giftbag_name_10	特殊禮包
text_av_giftbag_name_1000	神聖石包
text_av_giftbag_name_1009	資源補給包#2
text_av_giftbag_name_1010	資源補給包#1
text_av_giftbag_name_1020	裝備補給包
text_av_giftbag_name_1030	英雄補給包#1
text_av_giftbag_name_1031	英雄補給包#2
text_av_giftbag_name_1040	裝備大師包
text_av_giftbag_name_1050	符文大師包
text_av_giftbag_name_1060	覺醒大師包
text_av_giftbag_name_1070	寶石大師包
text_av_giftbag_name_1080	天命提升包
text_av_giftbag_name_2010	月度禮包#1
text_av_giftbag_name_2020	月度禮包#2
text_av_giftbag_name_2030	月度禮包#3
text_av_giftbag_name_2040	月度禮包#4
text_av_giftbag_name_2050	月度禮包#5
text_av_giftbag_name_2060	月度禮包#6
text_av_giftbag_name_3010	限時特賣#1
text_av_giftbag_name_3020	限時特賣#2
text_av_giftbag_name_3030	限時特賣#3
text_av_giftbag_name_3040	限時特賣#4
text_av_giftbag_name_3050	限時特賣#5
text_av_giftbag_name_3060	限時特賣#6
text_av_giftbag_name_3070	限時特賣#7
text_av_giftbag_name_3080	限時特賣#8
text_av_giftbag_name_3090	限時特賣#9
text_av_giftbag_name_10101	聖武進階包#1
text_av_giftbag_name_10102	聖武進階包#2
text_av_giftbag_name_10103	聖武進階包#3
text_av_giftbag_name_10104	聖武進階包#4
text_av_giftbag_name_10105	聖武進階包#5
text_av_giftbag_name_10201	聖翼進階包#1
text_av_giftbag_name_10202	聖翼進階包#2
text_av_giftbag_name_10203	聖翼進階包#3
text_av_giftbag_name_10204	聖翼進階包#4
text_av_giftbag_name_10205	聖翼進階包#5
text_av_giftbag_name_10301	聖騎進階包#1
text_av_giftbag_name_10302	聖騎進階包#2
text_av_giftbag_name_10303	聖騎進階包#3
text_av_giftbag_name_10304	聖騎進階包#4
text_av_giftbag_name_10305	聖騎進階包#5
text_av_giftbag_name_10111	聖武進階包#1
text_av_giftbag_name_10112	聖武進階包#2
text_av_giftbag_name_10113	聖武進階包#3
text_av_giftbag_name_10114	聖武進階包#4
text_av_giftbag_name_10115	聖武進階包#5
text_av_giftbag_name_10211	聖翼進階包#1
text_av_giftbag_name_10212	聖翼進階包#2
text_av_giftbag_name_10213	聖翼進階包#3
text_av_giftbag_name_10214	聖翼進階包#4
text_av_giftbag_name_10215	聖翼進階包#5
text_av_giftbag_name_10311	聖騎進階包#1
text_av_giftbag_name_10312	聖騎進階包#2
text_av_giftbag_name_10313	聖騎進階包#3
text_av_giftbag_name_10314	聖騎進階包#4
text_av_giftbag_name_10315	聖騎進階包#5
text_av_giftbag_name_4010	豪華助戰禮包#1
text_av_giftbag_name_4011	豪華助戰禮包#2
text_av_giftbag_name_4012	豪華助戰禮包#3
text_av_giftbag_name_4013	豪華助戰禮包#4
text_av_giftbag_name_4014	豪華助戰禮包#5
text_av_giftbag_name_4015	豪華助戰禮包#6
text_av_giftbag_name_4049	遠古至尊禮包
text_av_giftbag_name_4050	拜恩降臨禮包
text_av_giftbag_name_4051	創世至尊禮包
text_av_giftbag_name_4101	冰晶至尊禮包
text_av_giftbag_name_4102	雷霆至尊禮包
text_av_giftbag_name_4103	龍鱗至尊禮包
text_av_giftbag_name_4104	時光加速禮包
text_av_giftbag_name_1110	每周福利禮包#1
text_av_giftbag_name_1120	每周福利禮包#2
text_av_giftbag_name_1130	每周福利禮包#3
text_av_giftbag_name_1140	每周福利禮包#4
text_av_giftbag_name_1150	每周福利禮包#5
text_av_giftbag_name_1160	每周福利禮包#6
text_av_giftbag_name_6001	藍鑽英雄禮包#1
text_av_giftbag_name_6002	藍鑽英雄禮包#2
text_av_giftbag_name_6003	藍鑽成長禮包#1
text_av_giftbag_name_6004	藍鑽幸運禮包#1
text_av_giftbag_name_6005	藍鑽聖武禮包#1
text_av_giftbag_name_6006	藍鑽聖翼禮包#2
text_av_giftbag_name_6007	藍鑽聖騎禮包#3
text_av_giftbag_name_7010	犀牛特賣包#1
text_av_giftbag_name_7020	雷霆特賣包#1
text_av_giftbag_name_7030	雷霆特賣包#2
text_av_giftbag_name_7040	雷霆特賣包#3
text_av_giftbag_name_7050	龍鱗特賣包#1
text_av_giftbag_name_7060	龍鱗特賣包#2
text_av_giftbag_name_7070	龍鱗特賣包#3
text_av_giftbag_name_7080	龍鱗特賣包#4
text_av_giftbag_name_7090	巨龍特賣包#1
text_av_giftbag_name_8010	龍鱗至尊包#2
text_av_giftbag_name_8020	龍鱗至尊包#3
text_av_giftbag_name_9010	巨龍至尊包#1
text_av_giftbag_name_9011	巨龍至尊包#2
text_av_giftbag_name_9012	巨龍至尊包#3
text_av_giftbag_name_9013	巨龍至尊包#1
text_av_giftbag_name_9014	巨龍至尊包#2
text_av_giftbag_name_9015	巨龍至尊包#3
text_av_giftbag_name_9016	巨龍至尊包#1
text_av_giftbag_name_9017	巨龍至尊包#2
text_av_giftbag_name_9018	巨龍至尊包#3
text_av_giftbag_name_9019	雷神至尊包#1
text_av_giftbag_name_9020	雷神至尊包#2
text_av_giftbag_name_9021	雷神至尊包#3
text_av_giftbag_name_101	金幣補給
text_av_giftbag_name_102	經驗藥水補給
text_av_giftbag_name_103	突破石補給
text_av_giftbag_name_104	奢華號角補給
text_av_giftbag_name_105	5小時加速卡補給
text_av_giftbag_name_106	魔法棒補給
text_av_giftbag_name_107	龍晶包補給
text_av_giftbag_name_108	4星英雄碎片補給
text_av_giftbag_name_109	寶石袋補給
text_av_giftbag_name_110	星紋卷軸補給
text_av_giftbag_name_1111	每周招募禮包#1
text_av_giftbag_name_1112	每周招募禮包#2
text_av_giftbag_name_1113	每周招募禮包#3
text_av_giftbag_name_1114	每周招募禮包#4
text_av_giftbag_name_1115	每周招募禮包#5
text_av_giftbag_name_1211	每周突破禮包#1
text_av_giftbag_name_1212	每周突破禮包#2
text_av_giftbag_name_1213	每周突破禮包#3
text_av_giftbag_name_1214	每周突破禮包#4
text_av_giftbag_name_1215	每周突破禮包#5
text_av_giftbag_name_1311	每周覺醒禮包#1
text_av_giftbag_name_1312	每周覺醒禮包#2
text_av_giftbag_name_1313	每周覺醒禮包#3
text_av_giftbag_name_1314	每周覺醒禮包#4
text_av_giftbag_name_1315	每周覺醒禮包#5
text_av_giftbag_name_1411	每周金幣禮包#1
text_av_giftbag_name_1412	每周金幣禮包#2
text_av_giftbag_name_1413	每周金幣禮包#3
text_av_giftbag_name_1414	每周金幣禮包#4
text_av_giftbag_name_1415	每周金幣禮包#5
text_av_giftbag_name_1511	每周幸運禮包#1
text_av_giftbag_name_1512	每周幸運禮包#2
text_av_giftbag_name_1513	每周幸運禮包#3
text_av_giftbag_name_1514	每周幸運禮包#4
text_av_giftbag_name_1515	每周幸運禮包#5
text_av_follow_rewards_title_1	Like Fanpage & Get Reward
